cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.176367,	17.8131,	5.02645,	2.91005,	2.1164,	0.352734,	0.308642,	0.308642,	1.80776,	0.352734,	0.132275,	1.0582,	1.54321,	0.26455,	1.36684,	0.26455,	0.881834,	0.220459,	0.132275,	0.308642,	0.176367,	0.308642,	1.01411,	0.308642,	1.32275,	0.132275,	0.573192,	1.19048,	0.396825,	0.529101,	0.0881834,	1.41093,	1.0582,	1.14638,	0.220459,	0.308642,	0.26455,	0.396825,	1.94004,	1.98413,	0.617284,	0.308642,	0.26455,	0.0440917,	0,	0.529101,	0.132275,	1.54321,	1.19048,	0.176367,	0.0881834,	0.485009,	0.440917,	1.49912,	1.85185,	1.0582,	0.132275,	1.01411,	1.32275,	0.396825,	0.970018,	0.925926,	1.01411,	0.529101,	0.308642,	0.529101,	0.220459,	0.837743,	0.26455,	0.617284,	0.396825,	1.94004,	0.176367,	0.132275,	1.49912,	0.352734,	3.21869,	0.0440917,	2.77778,	0.529101,	2.1164,	0.793651,	0.0881834,	0.925926,	2.91005,	0.352734,	2.82187,	0.0881834,	0.26455,	0.220459,	0,	0.925926,	0.793651,	0.749559,	0.0440917,	0.837743,	0.970018,	0.220459,	0.617284,	1.76367,	
AoAF,	0.259628,	18.0441,	4.15405,	2.85591,	1.86067,	0.389442,	0.216357,	0.64907,	1.77412,	0.216357,	0.259628,	0.432713,	1.60104,	0.216357,	1.2116,	0.259628,	0.99524,	0.216357,	0.129814,	0.519256,	0.432713,	0.34617,	1.12505,	0.302899,	1.08178,	0.389442,	0.562527,	0.951969,	0.259628,	0.605798,	0.216357,	1.25487,	0.99524,	1.34141,	0.0865426,	0.34617,	0.432713,	0.216357,	1.73085,	1.99048,	0.865426,	0.173085,	0.0865426,	0.0865426,	0.0865426,	0.34617,	0.432713,	1.55777,	0.865426,	0.129814,	0.0432713,	0.562527,	0.519256,	1.77412,	2.46646,	1.12505,	0.259628,	1.12505,	0.908697,	0.34617,	1.03851,	0.692341,	0.951969,	0.692341,	0.129814,	0.64907,	0.302899,	0.64907,	0.519256,	0.475984,	0.475984,	1.77412,	0.173085,	0.389442,	1.55777,	0.34617,	3.59152,	0.0432713,	2.59628,	0.778884,	2.25011,	0.64907,	0.129814,	1.2116,	3.59152,	0.475984,	2.07702,	0.0865426,	0.302899,	0.173085,	0.0865426,	0.605798,	0.822155,	0.562527,	0,	0.865426,	1.08178,	0.0865426,	0.778884,	1.64431,	
CD20+,	0.762332,	16.7265,	3.67713,	1.88341,	2.55605,	0.179372,	0.269058,	0.358744,	1.52466,	0.134529,	0.134529,	1.34529,	2.19731,	0.224215,	0.896861,	0.493274,	0.672646,	0.403587,	0.0896861,	0.403587,	0.313901,	0,	0.807175,	0.403587,	1.56951,	0.269058,	0.403587,	0.807175,	0.627803,	0.58296,	0.134529,	1.52466,	1.03139,	1.43498,	0.179372,	0.448431,	0.852018,	0.493274,	1.61435,	1.92825,	0.538117,	0.627803,	0.269058,	0.358744,	0.313901,	0.762332,	0.358744,	1.30045,	1.21076,	0.224215,	0.044843,	0.538117,	0.403587,	1.65919,	1.43498,	0.852018,	0.134529,	0.896861,	1.25561,	0.448431,	0.852018,	0.896861,	0.627803,	0.762332,	0.044843,	0.269058,	0.448431,	0.896861,	1.07623,	0.807175,	0.58296,	2.6009,	0.224215,	0.224215,	1.61435,	0.313901,	3.8565,	0,	3.00448,	0.358744,	1.83857,	1.07623,	0.0896861,	0.448431,	2.37668,	0.807175,	1.47982,	0.044843,	0.358744,	0.224215,	0.044843,	1.30045,	0.986547,	0.672646,	0.0896861,	0.493274,	0.627803,	0.448431,	0.672646,	2.46637,	
GM06990,	0.157646,	26.0116,	3.7835,	2.20704,	2.31214,	0.420389,	0.210194,	0.788229,	0.578035,	0.157646,	0.210194,	0.893326,	2.41724,	1.41881,	1.05097,	1.26117,	1.31372,	0.0525486,	0.36784,	0.157646,	0.420389,	0.105097,	0.157646,	1.20862,	0.105097,	0.472937,	0.36784,	1.62901,	0.0525486,	0.998424,	0.157646,	0.630583,	0.420389,	1.99685,	0.315292,	0.262743,	0.578035,	1.8392,	0.630583,	1.05097,	0.578035,	0.315292,	0.105097,	0.210194,	0.315292,	0.105097,	0.210194,	0.105097,	1.47136,	0.578035,	0,	0.157646,	0.105097,	1.7341,	0.683132,	1.26117,	0,	0.472937,	0.105097,	0.525486,	0.36784,	1.99685,	0.893326,	0.525486,	0.262743,	0.683132,	0.36784,	1.20862,	1.47136,	0.36784,	0.315292,	2.0494,	0.105097,	0.315292,	1.41881,	0.578035,	1.99685,	0,	3.04782,	0.157646,	2.41724,	0.472937,	0.262743,	0.157646,	2.15449,	0.893326,	2.36469,	0.0525486,	0.578035,	0.210194,	0.315292,	0.998424,	0.315292,	0.210194,	0.0525486,	0.0525486,	0.315292,	0.315292,	0.36784,	1.15607,	
GM12865,	0.175901,	17.942,	5.32102,	2.63852,	1.84697,	0.219877,	0.131926,	0.307828,	2.06684,	0.219877,	0.175901,	1.18734,	1.84697,	0.131926,	1.31926,	0.615655,	0.57168,	0.351803,	0.131926,	0.483729,	0.263852,	0.175901,	0.791557,	0.351803,	1.27529,	0.263852,	0.659631,	1.18734,	0.307828,	0.351803,	0.0879507,	1.27529,	0.879508,	1.31926,	0.263852,	0.615655,	0.439754,	0.747581,	1.62709,	1.97889,	0.703606,	0.219877,	0.131926,	0.0879507,	0.131926,	0.175901,	0.263852,	2.06684,	1.09938,	0.263852,	0.0439754,	0.483729,	0.483729,	1.58311,	1.84697,	1.14336,	0.0879507,	0.879508,	0.659631,	0.263852,	1.31926,	0.527704,	0.879508,	0.527704,	0.175901,	0.659631,	0.439754,	0.923483,	0.923483,	0.659631,	0.527704,	2.41865,	0.131926,	0.219877,	1.53914,	0.219877,	3.56201,	0,	2.55057,	0.439754,	1.71504,	0.439754,	0.175901,	0.791557,	2.55057,	1.01143,	2.6825,	0.0439754,	0.263852,	0.263852,	0.0879507,	0.879508,	0.879508,	0.263852,	0.0879507,	0.439754,	0.791557,	0.175901,	0.703606,	1.93492,	
H7-hESC,	0.394564,	14.5989,	5.48005,	2.84963,	1.97282,	0.306883,	0.438404,	0.745287,	2.23586,	0.175362,	0.394564,	1.00833,	2.63043,	0.219202,	0.876808,	0.482245,	0.701447,	0.306883,	0.219202,	0.526085,	0.438404,	0.131521,	1.00833,	0.263043,	1.18369,	0.175362,	0.745287,	1.13985,	0.482245,	0.964489,	0.131521,	0.920649,	1.35905,	1.09601,	0.0438404,	0.569925,	0.306883,	0.569925,	1.49057,	2.71811,	0.789128,	0.263043,	0.0876808,	0.131521,	0.0876808,	0.306883,	0.0876808,	1.97282,	1.27137,	0.219202,	0.0438404,	0.920649,	0.569925,	1.79746,	1.53441,	0.920649,	0.350723,	0.920649,	0.832968,	0.526085,	1.31521,	0.613766,	0.789128,	0.613766,	0.0438404,	0.131521,	0.175362,	0.964489,	0.964489,	0.482245,	0.613766,	1.75362,	0.0438404,	0.175362,	1.6221,	0.263043,	4.73477,	0,	3.37571,	0.482245,	1.53441,	0.526085,	0.131521,	0.789128,	1.79746,	0.526085,	1.88514,	0.175362,	0.350723,	0.131521,	0.0438404,	0.789128,	1.05217,	0.613766,	0.0438404,	0.920649,	0.789128,	0.263043,	0.350723,	2.19202,	
HA-h,	0.373134,	13.0597,	5.14096,	3.23383,	1.16086,	0.538972,	0.373134,	0.787728,	1.78275,	0.331675,	0.538972,	0.829187,	1.57546,	0.207297,	1.45108,	0.331675,	1.03648,	0.414594,	0.165837,	0.538972,	0.538972,	0.248756,	1.24378,	0.414594,	1.69983,	0.373134,	0.373134,	1.28524,	0.497512,	0.456053,	0.165837,	1.49254,	0.746269,	0.746269,	0.0829187,	0.497512,	0.497512,	0.373134,	2.07297,	1.69983,	0.331675,	0.290216,	0.165837,	0.207297,	0.165837,	0.746269,	0.787728,	1.61692,	0.746269,	0.248756,	0,	0.497512,	0.248756,	1.86567,	1.78275,	1.1194,	0.248756,	0.995025,	1.45108,	0.456053,	1.45108,	0.829187,	1.03648,	0.704809,	0.165837,	0.414594,	0.66335,	0.953566,	0.331675,	0.580431,	0.621891,	1.90713,	0.124378,	0.331675,	1.61692,	0.66335,	2.61194,	0.165837,	1.99005,	1.3267,	3.06799,	0.414594,	0.165837,	0.66335,	3.35821,	0.373134,	2.15589,	0.124378,	0.124378,	0.331675,	0.0829187,	1.3267,	0.704809,	0.621891,	0.0414594,	0.912106,	0.787728,	0.290216,	0.746269,	1.86567,	
HAEpiC,	0.181077,	19.6016,	3.57628,	3.71209,	1.49389,	0.181077,	0.135808,	0.769579,	1.44862,	0.271616,	0.226347,	1.31281,	1.85604,	0.362155,	1.26754,	0.362155,	0.543232,	0.452693,	0.316885,	0.543232,	1.0412,	0.271616,	1.13173,	0.226347,	1.26754,	0.271616,	0.452693,	0.588502,	0.226347,	0.633771,	0.181077,	1.22227,	0.905387,	0.814848,	0.0905387,	0.452693,	0.362155,	0.407424,	2.39928,	2.2182,	1.13173,	0.452693,	0.316885,	0.226347,	0,	0.226347,	0.181077,	1.44862,	1.22227,	0.181077,	0.0905387,	0.452693,	0.497963,	2.35401,	2.44455,	1.26754,	0.316885,	0.588502,	0.452693,	0.588502,	1.0412,	0.769579,	0.814848,	0.588502,	0,	0.316885,	0.316885,	0.769579,	0.362155,	0.271616,	0.226347,	2.39928,	0.0905387,	0.316885,	1.72024,	0.452693,	3.57628,	0,	1.99185,	0.72431,	1.35808,	0.316885,	0.362155,	0.995926,	2.48981,	0.814848,	2.03712,	0.135808,	0.226347,	0.271616,	0.0905387,	0.497963,	1.0412,	0.905387,	0,	0.452693,	0.905387,	0.181077,	0.543232,	1.40335,	
HCF,	0.174596,	15.1026,	3.79747,	2.488,	2.4007,	0.0872981,	0.130947,	0.349192,	2.3134,	0.174596,	0.305543,	0.960279,	1.30947,	0.305543,	1.35312,	0.48014,	0.611087,	0.48014,	0.0436491,	0.392842,	0.523789,	0.174596,	0.742034,	0.218245,	1.39677,	0.305543,	0.611087,	0.960279,	0.261894,	0.349192,	0.0872981,	1.39677,	1.26582,	1.17852,	0.0872981,	0.261894,	0.261894,	0.436491,	2.2261,	2.2261,	0.305543,	0.349192,	0.349192,	0.349192,	0.0872981,	0.48014,	0.305543,	1.61502,	1.26582,	0.392842,	0.0436491,	0.436491,	0.48014,	1.87691,	2.09516,	1.57137,	0.261894,	1.09123,	1.00393,	0.305543,	1.48407,	0.872981,	0.742034,	0.436491,	0.130947,	0.523789,	0.48014,	0.742034,	0.523789,	0.829332,	0.305543,	2.35705,	0.0436491,	0.130947,	1.30947,	0.48014,	2.61894,	0.130947,	2.53165,	1.17852,	1.87691,	1.04758,	0.0436491,	0.829332,	3.88477,	0.523789,	2.96814,	0.0436491,	0.305543,	0.218245,	0.0436491,	1.09123,	0.698385,	0.218245,	0,	1.00393,	1.22217,	0.261894,	0.523789,	2.44435,	
HCM,	0.0879507,	18.1618,	4.26561,	3.43008,	1.36324,	0.263852,	0.219877,	0.527704,	2.33069,	0.439754,	0.175901,	1.09938,	1.62709,	0.483729,	1.23131,	0.175901,	0.659631,	0.703606,	0.0879507,	0.439754,	0.527704,	0.131926,	0.615655,	0.395778,	1.80299,	0.263852,	0.263852,	0.923483,	0.175901,	0.659631,	0.175901,	1.31926,	0.703606,	1.05541,	0.0879507,	0.395778,	0.307828,	0.483729,	2.11082,	1.67106,	0.879508,	0.0879507,	0.175901,	0.263852,	0.263852,	0.263852,	0.351803,	1.89094,	0.923483,	0.219877,	0,	1.01143,	0.527704,	1.75902,	1.84697,	1.09938,	0.351803,	0.791557,	0.923483,	0.439754,	1.05541,	0.791557,	1.31926,	0.351803,	0.0879507,	0.395778,	0.131926,	0.879508,	0.439754,	0.57168,	0.131926,	2.72647,	0.131926,	0.175901,	1.23131,	0.439754,	2.90237,	0.175901,	1.71504,	0.659631,	1.45119,	0.703606,	0.0879507,	0.879508,	3.47405,	0.659631,	3.16623,	0.175901,	0.219877,	0.219877,	0.0879507,	1.01143,	1.18734,	0.615655,	0,	0.659631,	0.747581,	0.263852,	0.527704,	1.62709,	
