cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.217865,	19.888,	1.55618,	4.57516,	2.33427,	0.0933707,	0.404606,	0.809213,	0.155618,	0.0311236,	0.591348,	1.08932,	4.48179,	0.217865,	1.68067,	0.622471,	0.87146,	0.404606,	1.15157,	0.622471,	0.280112,	0.342359,	0.0622471,	1.49393,	0.902583,	0,	0.591348,	0.43573,	1.86741,	0.902583,	0.155618,	0.248988,	0.373483,	1.1827,	0.778089,	0.0933707,	0.466853,	1.64955,	0.124494,	1.86741,	1.33831,	0.404606,	0.0622471,	0.529101,	0,	0.124494,	0.0622471,	0,	2.67663,	1.12045,	0.124494,	0.0622471,	1.36944,	0.684718,	0.778089,	1.33831,	0.43573,	0.684718,	0.155618,	0.497977,	0.497977,	1.55618,	0.0311236,	0.342359,	0,	0.280112,	0.342359,	0.96483,	0.87146,	0.373483,	0.311236,	1.74292,	0,	0.280112,	2.30314,	0.342359,	0.529101,	0.0311236,	5.91348,	0.591348,	1.49393,	1.80517,	0.0622471,	0.560224,	1.92966,	0.466853,	0.591348,	0.186741,	0.217865,	0.560224,	0.653595,	0.155618,	2.98786,	0.124494,	0.404606,	0.186741,	0.124494,	0.933707,	0.155618,	1.02708,	
AoAF,	0.450045,	19.2619,	1.56016,	5.07051,	2.64026,	0.150015,	0.180018,	1.0201,	0.210021,	0.060006,	0.750075,	0.630063,	4.14041,	0.120012,	2.34023,	0.540054,	0.660066,	0.630063,	0.960096,	0.480048,	0.270027,	0.30003,	0.090009,	1.23012,	1.47015,	0.060006,	0.840084,	0.270027,	1.23012,	0.510051,	0.210021,	0.210021,	0.60006,	1.26013,	0.60006,	0.150015,	0.330033,	1.41014,	0.240024,	1.74017,	1.23012,	0.480048,	0,	1.05011,	0.120012,	0.090009,	0.120012,	0.210021,	2.64026,	1.35013,	0.180018,	0.210021,	0.870087,	0.870087,	0.930093,	1.29013,	0.750075,	0.330033,	0.120012,	0.360036,	0.420042,	1.68017,	0.030003,	0.390039,	0.030003,	0.240024,	0.240024,	0.870087,	0.720072,	0.330033,	0.390039,	1.77018,	0,	0.390039,	2.40024,	0.540054,	0.690069,	0,	4.89049,	0.570057,	1.41014,	1.9502,	0.030003,	0.540054,	1.9802,	0.570057,	0.960096,	0.270027,	0.270027,	0.690069,	0.540054,	0.030003,	3.21032,	0.120012,	0.480048,	0.060006,	0.090009,	1.0201,	0.060006,	1.05011,	
CD20+,	0.395017,	18.6569,	1.64084,	3.49438,	1.9447,	0.121544,	0.425403,	0.850805,	0.395017,	0,	0.425403,	0.911577,	4.77059,	0.151929,	1.70161,	0.911577,	0.729262,	0.364631,	1.00273,	0.607718,	0.212701,	0.577332,	0.0303859,	1.42814,	1.36737,	0.0607718,	0.698876,	0.425403,	2.06624,	1.06351,	0.151929,	0.273473,	0.546946,	1.42814,	0.607718,	0.0607718,	0.364631,	1.21544,	0.243087,	1.24582,	0.941963,	0.273473,	0.0607718,	0.759647,	0.0911577,	0.182315,	0.243087,	0.425403,	3.12975,	1.06351,	0.273473,	0.0607718,	2.09663,	0.790033,	0.698876,	0.972349,	1.06351,	1.06351,	0.182315,	0.455789,	0.638104,	1.51929,	0.121544,	0.698876,	0,	0.151929,	0.577332,	0.790033,	0.820419,	0.273473,	0.395017,	1.54968,	0.0303859,	0.334245,	2.27894,	0.607718,	0.455789,	0.0303859,	5.07445,	0.546946,	1.24582,	1.9447,	0.121544,	0.66849,	1.45852,	0.425403,	1.06351,	0.212701,	0.334245,	0.425403,	0.51656,	0.0607718,	3.46399,	0.0607718,	0.334245,	0.0911577,	0.0303859,	1.27621,	0.0607718,	0.911577,	
GM06990,	0.385289,	22.732,	0.980736,	1.96147,	2.31173,	1.12084,	0.210158,	1.19089,	0.84063,	0.140105,	0.455341,	1.61121,	1.43608,	0.735552,	0.84063,	0.595447,	0.490368,	0.0700525,	0.665499,	0.56042,	0.84063,	0.245184,	0.980736,	1.43608,	0.210158,	0.420315,	0.455341,	0.420315,	0.245184,	0.210158,	0.665499,	1.40105,	0.595447,	1.89142,	1.12084,	0.735552,	0.455341,	2.03152,	0.770578,	1.22592,	0.980736,	0.735552,	0.175131,	0.595447,	0.0700525,	0.455341,	0.28021,	0.0700525,	0.595447,	0.56042,	0.420315,	0.140105,	0.315236,	2.20666,	1.92644,	0.945709,	0.210158,	0.140105,	0.105079,	2.10158,	1.08581,	0.350263,	1.01576,	0.805604,	0.56042,	0.56042,	0.350263,	1.40105,	2.662,	0.420315,	0.245184,	2.1366,	0.665499,	0.56042,	2.31173,	0.700525,	5.07881,	0.385289,	1.92644,	0.105079,	0.490368,	0.0700525,	0.0700525,	0.420315,	0.56042,	0.315236,	1.43608,	0,	0.630473,	0.210158,	0.350263,	0.28021,	0.105079,	0.735552,	0.0350263,	0.0700525,	0.175131,	0.140105,	1.19089,	0.665499,	
GM12865,	0.298063,	15.1118,	1.22206,	3.96423,	2.11624,	0.178838,	0.357675,	0.864382,	0.178838,	0,	0.655738,	1.04322,	5.06706,	0.0596125,	1.96721,	0.655738,	0.655738,	0.23845,	1.04322,	0.357675,	0.4769,	0.327869,	0.0894188,	0.71535,	1.63934,	0.119225,	0.864382,	0.268256,	1.96721,	1.01341,	0.119225,	0.298063,	0.804769,	1.28167,	0.834575,	0.149031,	0.536513,	1.66915,	0.208644,	1.57973,	1.25186,	0.506706,	0.0596125,	0.685544,	0.0596125,	0.149031,	0.23845,	0.23845,	3.01043,	1.16244,	0.119225,	0.0596125,	1.34128,	0.834575,	0.774963,	1.31148,	0.745157,	0.804769,	0.149031,	0.506706,	0.536513,	1.46051,	0.0298063,	0.298063,	0.0298063,	0.208644,	0.387481,	1.10283,	0.71535,	0.178838,	0.298063,	1.63934,	0,	0.566319,	2.74218,	0.506706,	0.864382,	0.0298063,	6.02086,	0.357675,	1.63934,	2.59314,	0.0894188,	0.745157,	1.46051,	0.655738,	1.16244,	0.23845,	0.387481,	0.536513,	0.9538,	0.0596125,	3.90462,	0.178838,	0.357675,	0.0596125,	0.0596125,	1.10283,	0.0596125,	0.774963,	
H7-hESC,	0.358852,	14.1148,	1.76435,	4.69498,	2.45215,	0.388756,	0.478469,	1.22608,	0.149522,	0.0598086,	0.837321,	0.837321,	4.45574,	0.0897129,	1.64474,	0.478469,	0.62799,	0.358852,	1.58493,	0.777512,	0.41866,	0.179426,	0.119617,	1.61483,	1.3756,	0.0598086,	1.07656,	0.687799,	1.88397,	0.867225,	0.0299043,	0.239234,	0.388756,	1.28589,	0.867225,	0.0598086,	0.358852,	1.55502,	0.0598086,	1.88397,	1.28589,	0.867225,	0.0299043,	0.867225,	0.0897129,	0.0897129,	0.20933,	0.179426,	2.7512,	1.28589,	0.20933,	0.119617,	1.01675,	0.538278,	0.837321,	1.31579,	0.568182,	0.62799,	0.239234,	0.598086,	0.687799,	1.58493,	0.149522,	0.478469,	0,	0.119617,	0.598086,	0.807416,	0.807416,	0.598086,	0.358852,	1.55502,	0,	0.956938,	2.33254,	0.598086,	0.687799,	0.119617,	6.30981,	0.508373,	1.25598,	2.24282,	0.0598086,	0.448565,	1.70455,	0.598086,	0.508373,	0.269139,	0.179426,	0.62799,	0.687799,	0.0897129,	3.67823,	0.179426,	0.388756,	0.0598086,	0.0299043,	0.986842,	0.0897129,	0.538278,	
HA-h,	0.513113,	12.0867,	1.73888,	4.44698,	1.56784,	0.171038,	0.256556,	1.22577,	0.199544,	0.0570125,	0.570125,	0.769669,	4.1049,	0.114025,	1.42531,	0.484607,	1.45382,	0.399088,	1.22577,	0.427594,	0.399088,	0.342075,	0.171038,	1.22577,	1.59635,	0.256556,	1.22577,	0.399088,	2.13797,	1.28278,	0.256556,	0.427594,	0.798176,	1.02623,	0.513113,	0.199544,	0.513113,	1.11174,	0.342075,	1.53934,	1.28278,	0.513113,	0.0570125,	0.912201,	0.0855188,	0.256556,	0.285063,	0.342075,	2.79361,	1.62486,	0.199544,	0.142531,	2.42303,	0.855188,	0.969213,	1.25428,	0.940707,	0.541619,	0.199544,	0.570125,	0.741163,	1.99544,	0.114025,	0.399088,	0.0285063,	0.0855188,	0.712657,	0.912201,	0.769669,	0.256556,	0.427594,	1.22577,	0.0285063,	0.484607,	2.45154,	0.598632,	0.541619,	0.0285063,	4.90308,	0.712657,	1.51083,	2.08096,	0.0570125,	0.741163,	2.2805,	0.712657,	0.627138,	0.541619,	0.4561,	0.570125,	0.712657,	0.171038,	3.67731,	0.171038,	0.570125,	0.171038,	0.171038,	1.56784,	0.0285063,	0.513113,	
HAEpiC,	0.563557,	18.5661,	1.65936,	4.07013,	2.47339,	0.156544,	0.313087,	1.15842,	0.344396,	0.0313087,	0.876644,	0.97057,	4.03882,	0.281778,	2.03507,	0.626174,	0.907952,	0.344396,	0.907952,	0.626174,	0.500939,	0.281778,	0.0313087,	1.31497,	1.22104,	0.0939261,	0.814026,	0.500939,	1.8159,	0.657483,	0.0626174,	0.407013,	0.532248,	1.4402,	0.594865,	0.0313087,	0.407013,	1.59674,	0.25047,	1.53413,	1.65936,	0.532248,	0.0939261,	0.782718,	0.0626174,	0.187852,	0.281778,	0.25047,	2.56731,	1.37758,	0.187852,	0.187852,	1.0645,	0.939261,	0.657483,	1.40889,	0.469631,	0.688791,	0.125235,	0.407013,	0.500939,	1.8159,	0.0313087,	0.313087,	0,	0.281778,	0.407013,	0.782718,	0.500939,	0.438322,	0.407013,	1.50282,	0,	0.594865,	1.75329,	0.626174,	0.532248,	0.0313087,	5.29117,	0.469631,	1.75329,	2.06637,	0.0626174,	0.532248,	1.7846,	0.594865,	0.814026,	0.375704,	0.281778,	0.500939,	0.939261,	0.0939261,	2.47339,	0.281778,	0.438322,	0.0939261,	0.0939261,	0.563557,	0.156544,	0.845335,	
HCF,	0.241911,	18.1433,	1.6329,	3.68914,	2.26792,	0.0907167,	0.302389,	0.786211,	0.241911,	0,	0.604778,	1.11884,	4.62655,	0.0907167,	1.87481,	0.665255,	1.02812,	0.302389,	1.05836,	0.604778,	0.423344,	0.27215,	0.0907167,	1.05836,	0.725733,	0.120956,	0.997883,	0.514061,	1.90505,	1.14908,	0.0907167,	0.27215,	0.695494,	1.45147,	0.453583,	0.0302389,	0.453583,	1.54218,	0.302389,	1.6329,	1.20956,	0.332628,	0.0302389,	0.786211,	0.0302389,	0.0302389,	0.0604778,	0.181433,	2.41911,	1.36075,	0.151194,	0.241911,	1.36075,	0.635017,	0.907167,	1.30027,	0.574539,	0.5443,	0.27215,	0.393106,	0.514061,	1.99577,	0.0907167,	0.362867,	0,	0.332628,	0.332628,	0.997883,	0.5443,	0.211672,	0.241911,	1.48171,	0.0604778,	0.362867,	2.54007,	0.241911,	0.695494,	0,	5.80587,	0.5443,	1.42123,	2.20744,	0.0907167,	0.725733,	1.87481,	0.5443,	0.846689,	0.332628,	0.453583,	0.574539,	0.81645,	0.0907167,	3.50771,	0.181433,	0.302389,	0.0907167,	0.27215,	0.907167,	0,	1.02812,	
HCM,	0.431433,	16.7951,	1.849,	4.34515,	2.2188,	0.123267,	0.3698,	0.955316,	0.154083,	0.0308166,	0.708783,	0.5547,	4.8074,	0.154083,	2.24961,	0.677966,	0.924499,	0.400616,	0.955316,	0.523883,	0.400616,	0.308166,	0.0308166,	1.07858,	1.51002,	0.0924499,	0.924499,	0.3698,	1.63328,	0.770416,	0.215716,	0.338983,	0.677966,	0.801233,	0.523883,	0.123267,	0.3698,	1.01695,	0.3698,	1.69492,	1.1094,	0.523883,	0.0924499,	0.708783,	0.0308166,	0.246533,	0.0924499,	0.0924499,	2.18798,	1.35593,	0.154083,	0.215716,	1.26348,	0.708783,	0.986133,	1.63328,	0.523883,	0.677966,	0.1849,	0.647149,	0.585516,	1.44838,	0.0616333,	0.27735,	0,	0.3698,	0.431433,	0.986133,	0.677966,	0.1849,	0.308166,	1.6641,	0,	0.3698,	2.55778,	0.46225,	0.677966,	0,	5.67026,	0.431433,	1.69492,	1.81818,	0.0308166,	0.832049,	1.75655,	0.647149,	0.770416,	0.493066,	0.215716,	0.924499,	1.04777,	0.0616333,	3.48228,	0.1849,	0.338983,	0.0616333,	0.1849,	1.2943,	0.0616333,	1.01695,	
