cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.109529,	19.3866,	3.28587,	1.86199,	0.657174,	0.219058,	0.109529,	0.438116,	0.219058,	0,	0.985761,	2.95728,	1.75246,	0.438116,	0.766703,	2.84775,	1.31435,	0.219058,	0.328587,	0.328587,	0.219058,	0.219058,	0,	1.42388,	0.109529,	0.328587,	2.40964,	0.547645,	2.95728,	0,	0.328587,	0.438116,	0.766703,	1.09529,	1.31435,	0.109529,	0.985761,	0.657174,	0.547645,	0.547645,	0.328587,	0.328587,	1.09529,	0.657174,	0,	0,	0.766703,	0.766703,	0.766703,	1.75246,	0,	0.657174,	0.219058,	2.73823,	0.657174,	0.766703,	0.328587,	0.876232,	0.219058,	1.86199,	0.109529,	0.438116,	0.109529,	0.219058,	0.219058,	0.547645,	0,	0.657174,	1.31435,	0.109529,	2.08105,	1.20482,	0,	0.657174,	2.73823,	0,	0.219058,	0.109529,	4.05257,	1.20482,	1.64294,	2.6287,	0,	1.09529,	1.97152,	2.08105,	0.657174,	0.109529,	0.219058,	2.40964,	0,	0,	1.31435,	0.109529,	0.328587,	0.109529,	0,	0,	0,	1.31435,	
AoAF,	0,	17.0103,	2.16495,	2.68041,	1.75258,	0.206186,	0.515464,	0.515464,	0.515464,	0,	0.824742,	2.37113,	1.85567,	0.103093,	0.824742,	1.23711,	0.824742,	0.103093,	0.206186,	0.618557,	0.206186,	0.927835,	0.206186,	2.16495,	0.206186,	0.206186,	1.4433,	0.618557,	3.50515,	0.103093,	0.103093,	1.23711,	0.72165,	1.13402,	1.23711,	0,	1.03093,	0.824742,	0.412371,	0.927835,	0.412371,	0.72165,	0.72165,	0.412371,	0,	0.103093,	0.515464,	0.206186,	1.23711,	1.85567,	0,	0.515464,	0.206186,	2.26804,	0.515464,	0.412371,	0,	1.64948,	0,	1.13402,	0.412371,	0.412371,	0.103093,	0.206186,	0.103093,	0,	0,	0.309278,	0.618557,	0,	1.95876,	1.64948,	0.103093,	0.618557,	2.78351,	0.206186,	0.618557,	0,	6.39175,	1.4433,	1.85567,	2.26804,	0.103093,	1.64948,	1.95876,	2.68041,	1.03093,	0,	0.412371,	2.16495,	0.103093,	0,	1.4433,	0,	0.206186,	0,	0,	0,	0,	1.75258,	
CD20+,	0.350467,	22.5467,	2.45327,	2.33645,	1.63551,	0.116822,	0.350467,	0.46729,	0,	0,	0.233645,	3.38785,	4.55607,	0.116822,	0.934579,	2.21963,	1.0514,	0.350467,	0,	0.233645,	0.350467,	0.934579,	0,	3.15421,	0.233645,	0.350467,	1.28505,	0.350467,	2.33645,	0.233645,	0.233645,	1.0514,	0.700935,	1.51869,	1.40187,	0.116822,	1.16822,	0.817757,	0.350467,	0.700935,	0,	0.934579,	0.817757,	0.46729,	0,	0,	0.233645,	0.584112,	1.40187,	1.75234,	0.116822,	0.233645,	0.233645,	2.68692,	0.700935,	0.700935,	0,	0.700935,	0.46729,	1.63551,	0.233645,	0.116822,	0,	0.584112,	0,	0.116822,	0,	0.46729,	1.16822,	0.116822,	0.817757,	1.98598,	0,	0.350467,	1.86916,	0.233645,	0.700935,	0,	4.32243,	0.700935,	0.934579,	2.21963,	0,	0.817757,	0.700935,	1.40187,	1.51869,	0,	0,	0.700935,	0.116822,	0,	1.0514,	0.350467,	0,	0,	0,	0,	0.233645,	1.86916,	
GM06990,	0,	28.1899,	1.63205,	0.890208,	2.52226,	0.593472,	0.296736,	0.593472,	0.593472,	0,	0.148368,	1.78042,	0.445104,	0.593472,	0.148368,	1.48368,	0.296736,	0.296736,	1.03858,	0.296736,	2.22552,	0.593472,	0.148368,	0.593472,	0.148368,	0.148368,	0.148368,	0.148368,	0,	0,	0.148368,	1.78042,	0.148368,	2.22552,	0.296736,	1.48368,	1.33531,	4.00593,	0.296736,	1.18694,	0.296736,	0.296736,	0.148368,	0.148368,	0.593472,	0.148368,	0.445104,	0,	2.81899,	0.148368,	0.296736,	0,	0,	1.33531,	0.890208,	1.48368,	0.148368,	0.148368,	0.148368,	0.593472,	0.445104,	0.74184,	0.74184,	0.890208,	0,	0.74184,	0,	0.593472,	5.04451,	0,	0.148368,	1.03858,	0.148368,	0,	4.89614,	0.890208,	1.33531,	0,	2.81899,	0.148368,	0.890208,	0.445104,	0,	0.296736,	0.296736,	1.48368,	3.56083,	0,	0.890208,	0,	0,	0.445104,	0,	0.148368,	0,	0,	0.148368,	0,	0.296736,	1.48368,	
GM12865,	0,	23.7832,	2.65487,	0.774336,	0.774336,	0.331858,	0.331858,	0.442478,	0.110619,	0,	0.442478,	3.20796,	3.65044,	0.331858,	0.995575,	1.65929,	1.43805,	0,	0.221239,	1.10619,	0.110619,	0.774336,	0.221239,	2.21239,	0.553097,	0.221239,	1.43805,	0.331858,	3.09735,	0.110619,	0.553097,	1.10619,	0.331858,	1.54867,	0.774336,	0.110619,	0.884956,	0.774336,	0.331858,	0.221239,	0.331858,	0.995575,	0.884956,	0.221239,	0,	0.110619,	0.110619,	0.331858,	1.32743,	1.54867,	0,	0.331858,	0.110619,	2.65487,	0.110619,	0.553097,	0.331858,	1.43805,	0.110619,	1.21681,	0.774336,	0.221239,	0,	0.774336,	0,	0.553097,	0.110619,	0.553097,	0.884956,	0.110619,	1.32743,	2.43363,	0,	0.221239,	2.54425,	0.221239,	0.663717,	0,	3.87168,	0.663717,	1.21681,	2.76549,	0,	0.221239,	1.21681,	2.43363,	0.663717,	0,	0.221239,	1.88053,	0.110619,	0,	0.995575,	0.221239,	0,	0,	0,	0,	0,	1.43805,	
H7-hESC,	0,	19.6057,	3.83352,	1.64294,	1.42388,	0.438116,	0.219058,	0.328587,	0,	0,	0.328587,	1.64294,	2.51917,	0.438116,	0.876232,	1.86199,	1.09529,	0.109529,	0.219058,	0.766703,	0.328587,	0.657174,	0,	2.19058,	0.109529,	0,	1.42388,	0.985761,	3.3954,	0.109529,	0.438116,	1.31435,	0.438116,	1.31435,	0.547645,	0.109529,	1.86199,	0.876232,	0.328587,	0.219058,	0.438116,	1.20482,	1.09529,	0.438116,	0.109529,	0.219058,	0.328587,	0.438116,	1.31435,	1.31435,	0,	0.438116,	0.219058,	3.3954,	0.438116,	0.219058,	0.109529,	1.20482,	0.219058,	0.876232,	0.328587,	0.328587,	0,	0.876232,	0.328587,	0.219058,	0,	0.438116,	0.985761,	0.109529,	1.31435,	1.97152,	0.109529,	0.219058,	2.6287,	0.438116,	0.109529,	0,	4.38116,	0.766703,	1.20482,	2.40964,	0,	0.985761,	1.64294,	2.30011,	1.20482,	0.438116,	0,	2.19058,	0,	0,	1.64294,	0,	0,	0.219058,	0,	0,	0,	2.19058,	
HA-h,	0.101626,	15.6504,	4.26829,	2.7439,	1.32114,	0.406504,	0.304878,	0.609756,	0.304878,	0,	0.50813,	2.43902,	2.7439,	0.711382,	1.52439,	1.52439,	0.914634,	1.01626,	0.101626,	1.11789,	0.101626,	0.406504,	0,	1.82927,	0.304878,	0.50813,	1.72764,	0.50813,	2.84553,	0.406504,	0.406504,	1.21951,	0.609756,	1.52439,	1.42276,	0.203252,	0.50813,	1.11789,	0.50813,	0.304878,	0.609756,	1.21951,	1.11789,	0.50813,	0,	0,	0.406504,	1.52439,	1.11789,	1.72764,	0,	0.609756,	0.50813,	1.82927,	0.101626,	0.914634,	0.50813,	0.304878,	0.813008,	2.54065,	0.609756,	1.01626,	0,	0.50813,	0.203252,	0.406504,	0.406504,	0.406504,	0.203252,	0.101626,	0.914634,	1.82927,	0,	0.203252,	1.52439,	0.50813,	0.50813,	0,	2.7439,	1.62602,	2.23577,	1.52439,	0,	1.42276,	2.03252,	1.42276,	0.50813,	0.101626,	0.50813,	1.21951,	0.203252,	0,	2.13415,	0.101626,	0.203252,	0.101626,	0,	0,	0,	1.42276,	
HAEpiC,	0.10917,	17.7948,	2.83843,	2.83843,	1.20087,	0.436681,	0.218341,	0.655022,	0.10917,	0,	0,	2.51092,	2.07424,	0.327511,	1.0917,	2.40175,	1.31004,	0.545852,	0.545852,	0.873362,	0.10917,	0.545852,	0.10917,	2.18341,	0.218341,	0.10917,	1.20087,	0.764192,	2.07424,	0.10917,	0.436681,	1.20087,	0.218341,	1.31004,	1.41921,	0.10917,	1.20087,	0.982533,	0.545852,	0.436681,	0.436681,	0.327511,	0.655022,	0.655022,	0,	0.10917,	0.436681,	0.982533,	1.0917,	1.8559,	0,	0.327511,	0.10917,	3.05677,	0,	0.327511,	0.327511,	0.982533,	0.436681,	1.41921,	0.10917,	0.436681,	0.10917,	1.0917,	0,	0.436681,	0,	0.436681,	0.655022,	0.10917,	1.96507,	2.07424,	0.10917,	0.545852,	2.72926,	0.436681,	0,	0,	4.25764,	0.982533,	2.51092,	1.96507,	0.10917,	1.20087,	2.40175,	3.16594,	0.873362,	0.327511,	0,	1.41921,	0,	0,	0.873362,	0.218341,	0,	0,	0,	0,	0.10917,	1.63755,	
HCF,	0,	17.9406,	2.44161,	1.91083,	1.59236,	0.424628,	0.318471,	0.530786,	0.212314,	0,	0.212314,	2.2293,	2.2293,	0.424628,	1.69851,	2.12314,	1.4862,	0.424628,	0.318471,	0.636943,	0.212314,	0.530786,	0,	2.2293,	0.212314,	0.318471,	1.80467,	0.636943,	3.50318,	0,	0.212314,	0.530786,	0.530786,	1.4862,	1.16773,	0,	0.636943,	0.849257,	0.318471,	0.106157,	0.212314,	1.06157,	1.27389,	0.636943,	0,	0.318471,	0.318471,	0.530786,	0.955414,	2.33546,	0.212314,	0.530786,	0.212314,	1.69851,	0.212314,	0.424628,	0.318471,	0.7431,	0.318471,	2.12314,	0.530786,	0.318471,	0,	0.530786,	0,	0,	0.106157,	0.7431,	0.530786,	0.106157,	2.12314,	1.38004,	0,	0.424628,	2.76008,	0.424628,	0.530786,	0.106157,	4.67091,	0.7431,	0.955414,	2.9724,	0.106157,	0.530786,	1.69851,	2.44161,	0.955414,	0,	0.424628,	2.65393,	0.212314,	0,	1.38004,	0.106157,	0.106157,	0.318471,	0,	0.106157,	0,	2.12314,	
HCM,	0,	19.1257,	2.62295,	3.06011,	0.546448,	0.327869,	0.218579,	0.765027,	0.218579,	0,	0.546448,	2.95082,	2.40437,	0.218579,	0.983607,	1.85792,	0.983607,	0.327869,	0.10929,	0.983607,	0.218579,	0.874317,	0,	1.63934,	0.437158,	0.218579,	1.20219,	0.218579,	4.59016,	0.218579,	0.327869,	0.765027,	0.437158,	1.85792,	1.0929,	0.10929,	1.20219,	0.874317,	0.327869,	0.218579,	0.218579,	0.765027,	0.874317,	0.327869,	0,	0.10929,	0.765027,	0.874317,	2.0765,	2.40437,	0.218579,	0.765027,	0.218579,	2.62295,	0.218579,	0.327869,	0.327869,	1.20219,	0.218579,	1.85792,	0.10929,	0.437158,	0.10929,	0.327869,	0.218579,	0.218579,	0,	0.655738,	0.546448,	0,	1.42077,	1.0929,	0.10929,	0.546448,	2.29508,	0.218579,	0.655738,	0,	3.06011,	0.983607,	1.85792,	2.0765,	0,	1.42077,	1.42077,	2.95082,	1.0929,	0.10929,	0.655738,	1.85792,	0,	0,	0.437158,	0.10929,	0.10929,	0.10929,	0,	0,	0,	1.31148,	
