cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.268216,	16.5847,	4.02325,	3.44211,	2.14573,	0.402325,	0.268216,	1.07287,	1.25168,	0.0894055,	0.357622,	1.07287,	2.50335,	0.312919,	1.38578,	0.312919,	0.625838,	0.625838,	0.0894055,	0.357622,	0.134108,	0.134108,	0.625838,	0.178811,	1.47519,	0.0894055,	0.581135,	0.715244,	0.98346,	0.759946,	0.0447027,	1.11757,	0.804649,	1.654,	0.268216,	0.268216,	0.447027,	0.447027,	1.34108,	1.6093,	0.268216,	0.312919,	0.134108,	0.0447027,	0.0447027,	0.98346,	0.0894055,	0.938757,	1.87751,	0.223514,	0.0447027,	0.223514,	0.49173,	1.20697,	1.11757,	1.20697,	0.0894055,	0.536433,	2.10103,	0.223514,	1.92222,	0.894054,	0.402325,	0.268216,	0.0894055,	0.670541,	0.447027,	0.447027,	0.759946,	1.07287,	0.670541,	1.51989,	0.0894055,	0.134108,	2.36924,	0.134108,	2.68216,	0.0447027,	4.15735,	0.402325,	3.17389,	1.43049,	0.134108,	0.536433,	3.308,	0.49173,	1.87751,	0.0894055,	0.223514,	0.268216,	0,	0.804649,	1.29638,	0.49173,	0.0447027,	0.98346,	0.536433,	0.268216,	0.134108,	1.6987,	
AoAF,	0.431779,	17.0553,	3.7133,	3.02245,	2.24525,	0.215889,	0.474957,	0.863558,	0.993092,	0.129534,	0.345423,	0.561313,	2.46114,	0.259067,	1.51123,	0.431779,	0.82038,	0.302245,	0.129534,	0.345423,	0.345423,	0.345423,	0.734024,	0.345423,	1.25216,	0.302245,	0.647668,	0.949914,	0.734024,	0.734024,	0.0863558,	1.46805,	0.949914,	0.949914,	0.129534,	0.431779,	0.431779,	0.259067,	1.51123,	1.29534,	0.561313,	0.172712,	0.0863558,	0.215889,	0.129534,	0.388601,	0.302245,	1.03627,	2.02936,	0.0863558,	0.0431779,	0.172712,	0.82038,	0.949914,	1.51123,	0.906736,	0.259067,	0.690846,	1.77029,	0.0431779,	1.89983,	0.734024,	0.647668,	0.561313,	0.129534,	0.690846,	0.302245,	0.906736,	1.25216,	0.82038,	0.604491,	1.33851,	0.129534,	0.259067,	1.94301,	0.215889,	2.46114,	0,	3.58377,	0.734024,	3.75648,	0.82038,	0.0863558,	0.690846,	3.45423,	0.431779,	1.46805,	0.215889,	0.172712,	0.172712,	0.172712,	0.690846,	1.33851,	0.82038,	0.215889,	0.734024,	1.12263,	0.345423,	0.302245,	1.38169,	
CD20+,	0.728266,	19.7997,	3.5503,	1.72963,	2.41238,	0.455166,	0.318616,	0.455166,	0.773782,	0.13655,	0.318616,	1.04688,	3.32271,	0.682749,	1.22895,	0.546199,	0.500683,	0.2731,	0.13655,	0.2731,	0.227583,	0.13655,	0.364133,	0.682749,	1.00137,	0.318616,	0.591716,	0.500683,	1.13792,	0.591716,	0.0910332,	1.3655,	1.27447,	1.86618,	0.182066,	0.364133,	0.2731,	0.455166,	1.27447,	1.6386,	0.364133,	0.591716,	0,	0.364133,	0.318616,	0.591716,	0.0910332,	0.682749,	2.00273,	0.0910332,	0.0455166,	0.227583,	0.318616,	1.22895,	0.910332,	0.637233,	0.13655,	0.955849,	1.13792,	0.2731,	2.1848,	0.773782,	0.318616,	0.546199,	0.0455166,	0.364133,	0.546199,	0.773782,	0.955849,	1.00137,	0.728266,	1.54756,	0.318616,	0.0910332,	1.54756,	0.0910332,	2.77651,	0,	5.00683,	0.364133,	2.54893,	1.22895,	0.13655,	0.40965,	2.00273,	0.637233,	1.3655,	0.13655,	0.364133,	0.0910332,	0.13655,	0.682749,	1.0924,	0.682749,	0,	0.819299,	0.364133,	0.227583,	0.318616,	2.77651,	
GM06990,	0.329852,	26.8829,	1.92413,	1.59428,	1.26443,	0.824629,	0.219901,	0.659703,	0.329852,	0.109951,	0.329852,	0.659703,	1.92413,	1.31941,	0.824629,	1.26443,	0.989555,	0.109951,	0.549753,	0.494777,	1.26443,	0.329852,	0.494777,	1.97911,	0.109951,	0.329852,	0.274876,	0.714678,	0.0549753,	0.274876,	0.329852,	1.37438,	0.384827,	1.37438,	0.604728,	0.549753,	1.31941,	1.97911,	0.439802,	1.09951,	0.769654,	0.549753,	0.219901,	0.329852,	0.439802,	0,	0.329852,	0.274876,	1.59428,	0.989555,	0.274876,	0.109951,	0.439802,	1.31941,	1.64926,	1.09951,	0,	0.604728,	0,	1.37438,	0.164926,	0.989555,	1.26443,	0.769654,	0.274876,	0.329852,	0.274876,	0.879604,	2.14404,	0.219901,	0.274876,	2.58384,	0.494777,	0.384827,	1.97911,	0.439802,	2.80374,	0.219901,	1.75921,	0.329852,	1.20946,	0.274876,	0.109951,	0.384827,	1.31941,	0.879604,	2.36394,	0.0549753,	0.549753,	0.329852,	0.274876,	0.549753,	0.604728,	0.274876,	0,	0,	0.219901,	0.109951,	0.659703,	0.989555,	
GM12865,	0.266904,	17.6601,	3.42527,	2.71352,	1.82384,	0.266904,	0.22242,	0.44484,	1.42349,	0.088968,	0.311388,	0.934164,	3.38078,	0.311388,	0.978648,	0.400356,	0.400356,	0.400356,	0.177936,	0.44484,	0.44484,	0.311388,	0.756228,	0.711744,	1.1121,	0.088968,	0.578292,	0.578292,	0.845196,	0.711744,	0.044484,	1.15658,	1.33452,	2.00178,	0.44484,	0.311388,	0.400356,	0.88968,	1.06762,	1.86833,	0.355872,	0.66726,	0.088968,	0.133452,	0,	0.622776,	0.133452,	0.756228,	1.60142,	0.355872,	0,	0.133452,	0.533808,	1.20107,	1.1121,	1.1121,	0.22242,	0.756228,	0.66726,	0.266904,	2.4911,	0.622776,	0.44484,	0.400356,	0.088968,	0.44484,	0.400356,	0.756228,	1.379,	0.88968,	0.934164,	1.60142,	0.177936,	0.266904,	1.82384,	0.133452,	2.53559,	0.044484,	3.95907,	0.311388,	3.02491,	1.29004,	0.177936,	0.578292,	2.98043,	0.66726,	2.04626,	0.133452,	0.22242,	0.088968,	0.133452,	0.756228,	1.06762,	0.489324,	0.044484,	0.622776,	0.578292,	0.311388,	0.622776,	2.00178,	
H7-hESC,	0.618921,	14.6331,	4.46508,	2.69673,	2.25464,	0.132626,	0.707339,	1.23784,	1.14943,	0.221043,	0.442087,	0.751547,	4.11141,	0.486295,	1.19363,	0.972591,	0.486295,	0.442087,	0.221043,	0.353669,	0.265252,	0.0442087,	0.795756,	0.530504,	0.972591,	0.0442087,	0.530504,	1.37047,	0.795756,	0.928382,	0.0442087,	1.06101,	1.19363,	1.45889,	0.0884173,	0.486295,	0.618921,	0.265252,	1.14943,	1.41468,	0.397878,	0.309461,	0.265252,	0.0884173,	0,	0.707339,	0.0442087,	1.14943,	2.0336,	0.176835,	0.132626,	0.0442087,	0.618921,	1.06101,	1.19363,	1.19363,	0.353669,	1.19363,	1.23784,	0.176835,	2.21043,	0.397878,	0.309461,	0.530504,	0,	0.66313,	0.353669,	0.751547,	1.23784,	0.795756,	0.66313,	1.45889,	0.0884173,	0.132626,	1.76835,	0.353669,	3.75774,	0.0884173,	4.46508,	0.574713,	2.07781,	1.10522,	0.132626,	0.66313,	1.76835,	0.751547,	1.41468,	0.176835,	0.265252,	0.132626,	0,	0.707339,	1.10522,	0.530504,	0.0442087,	1.23784,	0.574713,	0.442087,	0.309461,	1.94518,	
HA-h,	0.541441,	11.9534,	4.28988,	2.62391,	2.16576,	0.333194,	0.62474,	0.791337,	1.12453,	0.124948,	0.916285,	0.749688,	2.29071,	0.666389,	1.24948,	0.416493,	0.541441,	0.416493,	0.249896,	0.333194,	0.249896,	0.333194,	0.874636,	0.249896,	1.66597,	0.416493,	0.749688,	0.791337,	1.20783,	0.62474,	0.166597,	1.20783,	1.12453,	1.20783,	0.0832986,	0.124948,	0.458142,	0.249896,	1.66597,	1.58267,	0.499792,	0.374844,	0.166597,	0.0832986,	0.0832986,	0.832986,	0.291545,	1.20783,	1.87422,	0.249896,	0.124948,	0.291545,	0.749688,	1.49938,	1.49938,	1.24948,	0.333194,	0.708038,	1.99917,	0.58309,	1.99917,	1.20783,	0.416493,	0.458142,	0.0416493,	0.58309,	0.666389,	0.749688,	0.541441,	1.04123,	0.749688,	1.20783,	0.166597,	0.208247,	1.29113,	0.291545,	2.54061,	0.0832986,	3.1237,	1.04123,	4.41483,	0.999583,	0.0832986,	0.874636,	4.20658,	0.374844,	1.37443,	0.333194,	0.208247,	0.208247,	0.0832986,	0.832986,	0.999583,	0.458142,	0,	1.29113,	0.708038,	0.291545,	0.291545,	1.41608,	
HAEpiC,	0,	17.8587,	3.95861,	3.23887,	1.66442,	0.179937,	0.224921,	1.03464,	0.944669,	0.224921,	0.494827,	0.944669,	2.38417,	0.62978,	1.75439,	0.719748,	0.899685,	0.404858,	0.0899685,	0.359874,	0.404858,	0.404858,	0.899685,	0.31489,	1.07962,	0.134953,	0.674764,	0.584795,	0.62978,	0.899685,	0.0449843,	1.48448,	0.674764,	1.16959,	0.179937,	0.359874,	0.674764,	0.224921,	1.39451,	1.34953,	0.404858,	0.224921,	0.134953,	0.269906,	0.0899685,	0.674764,	0,	0.854701,	1.97931,	0.224921,	0,	0.31489,	0.539811,	1.57445,	1.16959,	1.34953,	0.449843,	0.944669,	1.16959,	0.359874,	1.34953,	0.854701,	0.449843,	0.269906,	0,	0.269906,	0.31489,	0.809717,	1.61943,	0.449843,	0.674764,	2.02429,	0.179937,	0.134953,	1.75439,	0.179937,	2.78902,	0,	2.96896,	0.764732,	3.19388,	0.944669,	0.179937,	0.674764,	3.55376,	0.764732,	1.48448,	0.0899685,	0.269906,	0.179937,	0.0899685,	0.899685,	1.25956,	0.494827,	0.0449843,	0.944669,	0.899685,	0.449843,	0.134953,	1.25956,	
HCF,	0.525394,	15.937,	3.37128,	1.92644,	1.92644,	0.131349,	0.394046,	0.656743,	1.13835,	0.131349,	0.350263,	0.831874,	2.05779,	0.350263,	1.22592,	0.569177,	0.875657,	0.30648,	0.218914,	0.350263,	0.350263,	0.394046,	0.788091,	0.394046,	1.61997,	0.131349,	1.00701,	0.744308,	1.2697,	1.00701,	0,	1.22592,	1.35727,	1.2697,	0.175131,	0.262697,	0.437828,	0.175131,	1.83888,	1.57618,	0.481611,	0.30648,	0.175131,	0.262697,	0.0437828,	0.91944,	0.175131,	0.700525,	2.10158,	0.131349,	0.131349,	0.262697,	0.61296,	1.2697,	1.09457,	1.09457,	0.394046,	1.00701,	1.97023,	0.218914,	2.05779,	1.00701,	0.30648,	0.569177,	0.0437828,	0.700525,	0.61296,	0.61296,	0.963222,	1.44483,	0.700525,	1.97023,	0.0875657,	0.175131,	1.44483,	0.218914,	2.36427,	0.0437828,	3.41506,	0.61296,	3.45884,	1.22592,	0.0875657,	0.350263,	3.19615,	0.831874,	1.5324,	0.0437828,	0.350263,	0.218914,	0.0437828,	0.700525,	1.22592,	0.700525,	0.0875657,	1.09457,	0.61296,	0.481611,	0.175131,	1.57618,	
