cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0804829,	19.9195,	1.12676,	3.17907,	1.6499,	1.32797,	0.321932,	1.77062,	1.81087,	0.120724,	0.241449,	1.28773,	0.603622,	2.61569,	0.160966,	0.523139,	0.120724,	0.0804829,	0.482897,	0.885312,	1.24748,	0.0804829,	0.724346,	2.45473,	0.120724,	1.08652,	0.241449,	0.482897,	0,	0.120724,	0.643863,	1.167,	0.482897,	2.17304,	1.48893,	0.442656,	0.804829,	2.1328,	0.925553,	0.362173,	0.56338,	0.28169,	0.362173,	0.56338,	0.201207,	0.201207,	0.84507,	0.0804829,	0.482897,	2.01207,	0.442656,	0.201207,	0.0402414,	1.73038,	1.81087,	0.603622,	0.0804829,	0.160966,	0.0804829,	1.52918,	2.29376,	0.28169,	2.05231,	0.362173,	0.603622,	1.56942,	0.241449,	0.56338,	2.05231,	0.402414,	0.28169,	1.73038,	1.20724,	0.724346,	0.965795,	0.643863,	4.34608,	0.201207,	1.6499,	0.0804829,	1.12676,	0.28169,	0.201207,	0.241449,	0.84507,	0.523139,	1.56942,	0.0402414,	1.32797,	0,	0.442656,	1.08652,	0.160966,	0.28169,	0.0402414,	0,	0.241449,	0,	1.12676,	0.442656,	
AoAF,	0.8577,	20.2729,	1.48148,	3.66472,	1.59844,	0.974659,	0.0389864,	2.72904,	1.63743,	0.116959,	0.233918,	1.09162,	0.584795,	2.14425,	0.311891,	0.623782,	0.311891,	0.0389864,	0.42885,	0.584795,	1.24756,	0.0779727,	0.779727,	2.06628,	0.155945,	1.28655,	0.311891,	0.506823,	0.155945,	0.155945,	0.623782,	1.16959,	0.272904,	1.7154,	1.63743,	0.662768,	0.42885,	2.45614,	0.974659,	0.467836,	0.467836,	0.233918,	0.272904,	0.545809,	0.545809,	0.389864,	0.896686,	0.0389864,	0.311891,	1.7154,	0.545809,	0.0779727,	0.0389864,	1.83236,	1.7154,	0.8577,	0,	0.155945,	0.116959,	1.36452,	2.37817,	0.272904,	1.79337,	0.584795,	0.272904,	1.55945,	0.233918,	0.662768,	1.75439,	0.42885,	0.194932,	1.32554,	1.55945,	1.24756,	0.506823,	0.896686,	3.04094,	0.194932,	1.36452,	0.0779727,	1.40351,	0.311891,	0.155945,	0.194932,	0.896686,	0.545809,	2.18324,	0,	1.4425,	0.116959,	0.194932,	0.779727,	0.155945,	0.233918,	0.0389864,	0,	0.42885,	0,	0.818713,	0.740741,	
CD20+,	0.766438,	19.9274,	1.73457,	2.33965,	1.9766,	0.806777,	0.121017,	1.85559,	1.61355,	0.0806777,	0.242033,	1.69423,	0.726099,	2.37999,	0.121017,	0.605083,	0.161355,	0.0806777,	0.766438,	0.726099,	1.00847,	0.201694,	0.36305,	2.54135,	0.121017,	0.645422,	0.443727,	0.645422,	0.242033,	0.242033,	0.484066,	1.08915,	0.121017,	2.37999,	1.49254,	0.645422,	0.524405,	3.99355,	0.887455,	0.605083,	0.36305,	0.161355,	0.524405,	0.322711,	0.161355,	0.36305,	0.726099,	0,	0.443727,	1.41186,	0.443727,	0.161355,	0.0403388,	1.4522,	1.2505,	0.645422,	0.0403388,	0.201694,	0,	1.29084,	2.1783,	0.322711,	2.50101,	0.605083,	0.484066,	1.21017,	0.282372,	0.726099,	2.54135,	0.403388,	0.161355,	1.61355,	1.49254,	0.927793,	1.04881,	0.68576,	4.43727,	0.201694,	1.61355,	0.121017,	0.847116,	0.282372,	0.201694,	0.0806777,	0.201694,	0.605083,	1.81525,	0,	1.04881,	0.121017,	0.201694,	1.08915,	0.121017,	0.242033,	0.121017,	0,	0.0403388,	0.0403388,	1.00847,	0.968132,	
GM06990,	0.471032,	25.5299,	2.63778,	2.73198,	2.16675,	0.376825,	0.235516,	0.329722,	0.471032,	0.188413,	0.188413,	0.612341,	1.97833,	0.141309,	0.612341,	1.36599,	0.471032,	0.423928,	0.800754,	0.565238,	1.17758,	0.800754,	0.188413,	2.11964,	0.75365,	0.188413,	0.235516,	0.376825,	0.282619,	0.471032,	0.141309,	0.706547,	0.376825,	0.989166,	0.659444,	0.329722,	0.471032,	1.88413,	0.518135,	1.17758,	1.31889,	1.03627,	0.141309,	0.612341,	0.0942063,	0.0471032,	0.376825,	0.942063,	1.60151,	1.31889,	0.0942063,	0.235516,	0.706547,	1.60151,	2.73198,	1.41309,	0.565238,	0.518135,	0.188413,	1.17758,	0.282619,	0.89496,	0.423928,	0.282619,	0.0471032,	0.0471032,	0.235516,	0.800754,	1.27179,	0.0942063,	0.423928,	2.21385,	0.141309,	0.376825,	3.29722,	0.659444,	1.83702,	0.0942063,	2.02544,	0.0942063,	0.89496,	0.518135,	0,	0.565238,	0.942063,	1.13048,	1.93123,	0.376825,	0.141309,	0.471032,	0.0942063,	0.235516,	1.93123,	0.282619,	0.188413,	0.0942063,	0.0471032,	0.376825,	0.235516,	1.13048,	
GM12865,	0.541796,	17.2214,	1.39319,	2.78638,	1.85759,	0.928793,	0.116099,	1.58669,	2.12848,	0.0773994,	0.270898,	0.928793,	0.735294,	2.86378,	0.193498,	0.503096,	0.116099,	0.0386997,	0.503096,	0.541796,	0.619195,	0.116099,	0.657895,	2.63158,	0.0773994,	0.773994,	0.348297,	0.541796,	0.154799,	0.154799,	0.348297,	1.58669,	0.425697,	2.36068,	1.19969,	0.735294,	0.425697,	3.05728,	1.04489,	0.541796,	0.193498,	0.541796,	0.386997,	0.348297,	0.348297,	0.386997,	0.851393,	0.0386997,	0.503096,	1.35449,	0.348297,	0.154799,	0,	1.78019,	0.928793,	1.08359,	0.0386997,	0.193498,	0.193498,	1.78019,	3.09598,	0.232198,	2.16718,	0.541796,	0.425697,	1.19969,	0.425697,	0.735294,	2.36068,	0.735294,	0.270898,	2.20588,	1.54799,	0.967492,	0.773994,	0.541796,	3.17337,	0.116099,	2.24458,	0.0386997,	1.54799,	0.386997,	0.116099,	0.232198,	0.425697,	1.00619,	1.54799,	0,	1.47059,	0.0773994,	0.425697,	1.50929,	0.116099,	0.348297,	0.0386997,	0,	0.193498,	0,	1.31579,	0.851393,	
H7-hESC,	0.982318,	14.1061,	1.611,	2.75049,	2.04322,	0.982318,	0.275049,	1.84676,	1.96464,	0.0392927,	0.353635,	1.21807,	0.707269,	2.59332,	0.314342,	0.628684,	0.235756,	0.0785855,	0.589391,	1.0609,	0.785855,	0.0392927,	0.86444,	2.82908,	0.117878,	0.667976,	0.0785855,	0.707269,	0.157171,	0.275049,	0.235756,	1.25737,	0.392927,	2.7112,	1.88605,	0.746562,	0.392927,	3.06483,	0.982318,	0.589391,	0.353635,	0.275049,	0.392927,	0.667976,	0.196464,	0.392927,	0.825147,	0,	0.235756,	1.49312,	0.275049,	0.235756,	0.0392927,	1.53242,	1.45383,	0.746562,	0,	0.157171,	0.117878,	1.49312,	2.7112,	0.0785855,	2.00393,	0.589391,	0.628684,	1.88605,	0.471513,	0.471513,	2.31827,	0.628684,	0.353635,	0.943026,	1.72888,	1.25737,	0.903733,	0.471513,	4.47937,	0.196464,	1.57171,	0.0785855,	1.41454,	0.550098,	0.196464,	0.117878,	0.943026,	0.707269,	1.68959,	0,	1.33595,	0.0392927,	0.314342,	1.72888,	0.314342,	0.275049,	0.0392927,	0.0392927,	0.275049,	0.0392927,	1.25737,	0.903733,	
HA-h,	0.706057,	13.8982,	1.22631,	3.08436,	1.78372,	1.07767,	0.483092,	2.04385,	2.30398,	0.297287,	0.334448,	1.07767,	0.483092,	3.04719,	0.40877,	0.520253,	0.185805,	0.111483,	0.520253,	0.631735,	1.33779,	0.0743218,	0.891862,	2.26682,	0.0743218,	1.22631,	0.483092,	0.594575,	0.0371609,	0.297287,	0.743218,	1.30063,	0.371609,	1.74656,	1.48644,	0.81754,	0.706057,	1.93237,	1.15199,	0.371609,	0.557414,	0.297287,	0.520253,	0.743218,	0.557414,	0.483092,	1.11483,	0.0371609,	0.185805,	2.00669,	0.483092,	0.371609,	0.0371609,	1.5236,	1.78372,	0.594575,	0,	0.148644,	0,	1.5236,	3.19584,	0.520253,	2.48978,	0.929023,	1.00334,	1.63508,	0.334448,	0.594575,	1.33779,	0.371609,	0.148644,	1.26347,	1.48644,	1.07767,	1.00334,	1.00334,	3.56745,	0.185805,	1.44928,	0.0743218,	1.44928,	0.148644,	0.297287,	0.334448,	0.557414,	0.594575,	2.04385,	0.0371609,	1.37495,	0.0371609,	0.668896,	1.04051,	0.111483,	0.185805,	0.0371609,	0.0371609,	0.222965,	0,	1.22631,	0.81754,	
HAEpiC,	0.594295,	22.6228,	1.8225,	2.93185,	1.42631,	1.18859,	0.158479,	1.58479,	1.18859,	0.158479,	0.198098,	0.990491,	0.277338,	2.17908,	0.554675,	0.752773,	0.158479,	0,	0.752773,	0.792393,	1.06973,	0.118859,	0.594295,	2.2187,	0.158479,	1.14897,	0.158479,	0.515055,	0.0792393,	0.198098,	0.673534,	1.38669,	0.277338,	1.98098,	1.03011,	0.475436,	0.435816,	2.37718,	1.03011,	0.673534,	0.594295,	0.237718,	0.277338,	0.594295,	0.277338,	0.515055,	0.792393,	0.0396197,	0.316957,	1.26783,	0.396196,	0.396196,	0.0396197,	1.46593,	1.70364,	1.14897,	0,	0.198098,	0.0396197,	1.38669,	2.73376,	0.356577,	1.03011,	0.396196,	0.316957,	1.70364,	0.158479,	0.515055,	1.30745,	0.633914,	0.158479,	1.42631,	1.03011,	0.713154,	1.18859,	0.871632,	3.16957,	0.158479,	1.34707,	0.0396197,	1.70364,	0.475436,	0.118859,	0.435816,	0.832013,	0.435816,	2.2187,	0,	1.70364,	0.0396197,	0.316957,	1.10935,	0.237718,	0.158479,	0.158479,	0,	0.118859,	0.0396197,	0.911252,	1.10935,	
HCF,	0.313234,	17.502,	1.64448,	3.52388,	2.03602,	1.21378,	0.156617,	2.23179,	1.8011,	0,	0.391543,	0.783085,	0.430697,	2.42756,	0.391543,	0.704777,	0.352388,	0.117463,	0.587314,	0.54816,	0.900548,	0.0391543,	0.783085,	2.46672,	0.0391543,	1.29209,	0.27408,	0.352388,	0.0391543,	0.195771,	0.391543,	1.48786,	0.195771,	1.99687,	1.3704,	0.900548,	0.783085,	2.58418,	1.21378,	0.234926,	0.430697,	0.117463,	0.234926,	0.587314,	0.313234,	0.391543,	1.17463,	0,	0.469851,	1.91856,	0.509005,	0.27408,	0.0391543,	1.72279,	1.60532,	0.743931,	0.0783085,	0.195771,	0.0391543,	1.84025,	2.38841,	0.313234,	2.23179,	0.313234,	0.743931,	1.44871,	0.352388,	0.54816,	1.99687,	0.509005,	0.156617,	1.29209,	1.60532,	1.05717,	0.743931,	0.900548,	3.44558,	0.0783085,	1.3704,	0.117463,	1.3704,	0.313234,	0.0391543,	0.156617,	0.430697,	0.430697,	2.11433,	0.0391543,	1.3704,	0.156617,	0.313234,	1.29209,	0.313234,	0.156617,	0.0783085,	0,	0.27408,	0.0391543,	1.09632,	1.01801,	
HCM,	0.630915,	18.4148,	0.55205,	3.11514,	1.18297,	1.38013,	0.118297,	2.40536,	1.73502,	0.276025,	0.473186,	1.14353,	0.473186,	3.39117,	0.276025,	0.512618,	0.197161,	0.118297,	0.394322,	0.90694,	1.26183,	0.0788644,	0.749211,	2.60252,	0.157729,	1.1041,	0.276025,	0.35489,	0.0394322,	0.118297,	0.433754,	1.18297,	0.433754,	2.08991,	0.985804,	0.90694,	0.591483,	2.05047,	0.946372,	0.236593,	0.512618,	0.315457,	0.197161,	0.55205,	0.35489,	0.276025,	0.90694,	0.0394322,	0.315457,	1.89274,	0.433754,	0.236593,	0.118297,	1.2224,	1.65615,	0.670347,	0.118297,	0.197161,	0.0394322,	1.49842,	2.79968,	0.315457,	2.64196,	0.512618,	0.55205,	1.57729,	0.55205,	0.709779,	1.38013,	0.512618,	0.118297,	1.45899,	1.34069,	1.18297,	0.788643,	1.02524,	3.07571,	0.118297,	1.2224,	0.0788644,	1.34069,	0.157729,	0.0788644,	0.197161,	1.06467,	0.828076,	1.89274,	0,	1.18297,	0.0788644,	0.630915,	1.77445,	0.236593,	0.276025,	0.0394322,	0,	0.236593,	0.0788644,	1.30126,	0.788643,	
HCPEpiC,	0.699301,	17.9876,	1.4763,	3.22455,	1.4763,	1.20435,	0.03885,	1.8648,	1.8648,	0.0777001,	0.27195,	0.699301,	0.621601,	2.05905,	0.2331,	0.777001,	0.2331,	0.1554,	0.699301,	0.815851,	0.932401,	0.0777001,	0.738151,	2.52525,	0.2331,	1.2432,	0.42735,	0.50505,	0.03885,	0.27195,	0.660451,	1.28205,	0.738151,	1.7094,	1.6317,	0.621601,	0.42735,	2.4864,	1.0101,	0.3108,	0.4662,	0.19425,	0.1554,	0.19425,	0.3885,	0.4662,	1.3986,	0.03885,	0.42735,	1.2432,	0.4662,	0.34965,	0.03885,	1.43745,	1.59285,	0.854701,	0.0777001,	0.27195,	0.11655,	1.9425,	2.4864,	0.2331,	1.98135,	0.42735,	0.50505,	2.05905,	0.4662,	0.621601,	1.7094,	0.582751,	0.1554,	1.74825,	1.43745,	0.854701,	0.854701,	0.738151,	3.1857,	0.19425,	1.3209,	0.11655,	1.67055,	0.0777001,	0.0777001,	0.1554,	0.42735,	0.699301,	2.1756,	0,	1.7094,	0.1554,	0.621601,	1.20435,	0.2331,	0.27195,	0.1554,	0,	0.2331,	0.03885,	1.1655,	0.777001,	
HEEpiC,	0.568397,	16.6351,	1.70519,	3.56196,	1.62941,	0.985222,	0.227359,	2.15991,	1.74308,	0.113679,	0.416825,	0.909435,	0.492611,	3.25881,	0.265252,	0.682077,	0.303145,	0.113679,	0.341038,	0.644183,	1.02311,	0.0757863,	0.71997,	2.53884,	0.265252,	0.947329,	0.341038,	0.757863,	0.0378931,	0.113679,	0.378931,	1.55362,	0.454718,	2.15991,	1.0989,	0.60629,	0.530504,	2.95567,	1.0989,	0.416825,	0.530504,	0.265252,	0.113679,	0.416825,	0.227359,	0.416825,	0.833649,	0.0378931,	0.265252,	1.51573,	0.341038,	0.265252,	0,	1.74308,	0.947329,	0.947329,	0,	0.189466,	0.0757863,	1.47783,	2.27359,	0.303145,	2.2357,	0.568397,	0.492611,	1.25047,	0.644183,	0.682077,	1.28837,	0.568397,	0.151573,	1.89466,	1.78098,	1.06101,	0.795756,	0.871542,	3.41038,	0.189466,	1.74308,	0.189466,	1.97044,	0.416825,	0.189466,	0.265252,	0.985222,	0.492611,	1.89466,	0,	1.36415,	0.0378931,	0.378931,	1.47783,	0.341038,	0.189466,	0.0757863,	0,	0.227359,	0,	1.21258,	0.644183,	
