cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.116868,	19.0235,	2.58408,	2.85677,	1.51928,	1.24659,	0.207765,	0.636281,	0,	0.792105,	1.63615,	0.519413,	1.12972,	1.89586,	1.07778,	1.42839,	1.51928,	0.285677,	0.402545,	1.53227,	1.25958,	0.168809,	0.38956,	2.50617,	0.0908973,	0.233736,	0.272692,	1.28555,	0.0519413,	0.441501,	0.895988,	0.636281,	0.363589,	2.33736,	1.38943,	0.545384,	1.36346,	1.42839,	0.973899,	1.66212,	1.38943,	0.792105,	0.129853,	2.50617,	0.324633,	0.038956,	0.947929,	0.155824,	0.350604,	0.870017,	0.597325,	0.376574,	1.33749,	1.07778,	2.16855,	0.831061,	0.0129853,	0.973899,	0.077912,	0.259707,	0.220751,	1.37644,	0.493442,	0.259707,	0.038956,	0.649266,	0.532398,	2.31139,	1.01286,	0.220751,	0.467472,	2.06467,	0.233736,	0.597325,	1.51928,	0.571354,	1.15569,	0.207765,	0.973899,	0.19478,	0.558369,	0.623296,	0.337618,	0.376574,	0.77912,	1.07778,	0.545384,	0.0259707,	1.62317,	1.22062,	0.103883,	0.38956,	0.908973,	0.662252,	0.038956,	0.129853,	0.19478,	0.129853,	0.207765,	1.03883,	
AoAF,	0.163666,	18.6705,	2.50535,	3.1726,	1.7122,	0.956817,	0.0503588,	0.742792,	0.0251794,	0.969407,	1.90104,	0.528767,	0.981997,	2.06471,	0.8561,	1.67443,	1.63666,	0.390281,	0.503588,	1.64925,	1.08271,	0.188846,	0.490998,	2.48017,	0.0881279,	0.276973,	0.163666,	1.07012,	0.0377691,	0.490998,	1.0953,	0.553947,	0.339922,	2.34168,	1.33451,	0.390281,	1.23379,	1.64925,	0.83092,	1.63666,	1.18343,	0.919048,	0.151076,	2.85786,	0.239204,	0.0251794,	0.931638,	0.163666,	0.302153,	0.755382,	0.692434,	0.490998,	1.2212,	1.01977,	2.08989,	0.642075,	0,	1.19602,	0.0251794,	0.276973,	0.176256,	1.69961,	0.566537,	0.302153,	0.188846,	0.805741,	0.566537,	2.11507,	0.956817,	0.276973,	0.566537,	1.69961,	0.151076,	0.83092,	1.12048,	0.616895,	1.37228,	0.138487,	0.692434,	0.239204,	0.591716,	0.604306,	0.352512,	0.214025,	0.717613,	1.04495,	0.453229,	0.0251794,	2.19061,	1.10789,	0.0629485,	0.163666,	0.717613,	0.667254,	0.0755382,	0.113307,	0.226615,	0.251794,	0.188846,	1.03236,	
CD20+,	0.22992,	24.9693,	2.54445,	1.16493,	2.28387,	0.766401,	0.199264,	0.444513,	0.0459841,	0.137952,	0.490497,	0.812385,	2.49847,	0.935009,	0.444513,	2.03863,	0.812385,	0.15328,	0.490497,	1.54813,	0.475169,	0.15328,	0.275904,	3.67872,	0.0766401,	0.183936,	0.0919681,	0.873697,	0.183936,	0.413857,	0.352544,	0.659105,	0.536481,	3.37216,	1.96199,	0.459841,	0.996321,	2.72839,	0.459841,	2.60576,	0.352544,	0.827713,	0.137952,	0.613121,	0.137952,	0.030656,	0.367872,	0.260576,	1.01165,	0.674433,	0.291232,	0.122624,	0.597793,	0.781729,	0.291232,	0.873697,	0.0766401,	0.781729,	0.015328,	0.260576,	0.260576,	1.1496,	0.3832,	0.245248,	0.137952,	0.444513,	0.245248,	2.19191,	2.48314,	0.137952,	0.613121,	2.95831,	0.137952,	0.950337,	3.01962,	0.122624,	2.09994,	0.0459841,	1.77805,	0.168608,	0.214592,	0.3832,	0.107296,	0.137952,	0.398529,	1.65543,	0.643777,	0,	0.720417,	0.475169,	0.0919681,	0.15328,	0.567137,	0.582465,	0.0919681,	0.107296,	0.137952,	0.122624,	0.199264,	1.57879,	
GM06990,	0.19988,	28.283,	2.29862,	0.779532,	1.95882,	0.19988,	0.4997,	0.239856,	0.659604,	0.119928,	0.219868,	2.93824,	1.27923,	0.359784,	0.29982,	1.85888,	0.179892,	0.079952,	0.59964,	0.379772,	0.459724,	0.29982,	0.459724,	1.39916,	0.259844,	0.4997,	0.4997,	0.559664,	0.559664,	0.439736,	0.139916,	0.4997,	0.559664,	2.89826,	0.719568,	0.339796,	0.29982,	3.53788,	0.419748,	1.37917,	0.319808,	0.959424,	0.179892,	0.259844,	0.079952,	0.09994,	0.119928,	0.279832,	1.69898,	0.239856,	0.119928,	0.259844,	0.119928,	1.79892,	0.659604,	0.539676,	0.279832,	0.219868,	0.179892,	0.659604,	0.69958,	0.459724,	0.539676,	0.9994,	0.379772,	0.819508,	0,	0.59964,	1.69898,	0.159904,	0.679592,	1.75894,	0.219868,	0.919448,	3.31801,	0.29982,	3.4979,	0.09994,	3.65781,	0.29982,	0.759544,	0.879472,	0.059964,	0.219868,	0.559664,	0.959424,	1.63902,	0.059964,	0.719568,	0.09994,	0.09994,	0.079952,	0.159904,	0.69958,	0.09994,	0.079952,	0.079952,	0,	0.739556,	2.1587,	
GM12865,	0.210467,	21.0327,	2.80623,	1.40311,	2.23095,	1.03831,	0.182405,	0.477059,	0.0561246,	0.477059,	0.799775,	1.03831,	2.25902,	1.24877,	0.434966,	2.27305,	0.715589,	0.266592,	0.631402,	1.40311,	0.519153,	0.168374,	0.463028,	3.21313,	0.0280623,	0.210467,	0.182405,	0.996212,	0.12628,	0.350779,	0.617371,	0.519153,	0.406903,	2.89042,	1.75389,	0.378841,	1.45924,	2.55367,	0.49109,	2.49754,	0.547215,	0.98218,	0.098218,	1.01024,	0.0420934,	0.0140311,	0.533184,	0.112249,	1.03831,	0.687526,	0.547215,	0.308685,	0.589308,	0.98218,	0.687526,	0.701557,	0.12628,	0.968149,	0.0140311,	0.294654,	0.308685,	1.27683,	0.336748,	0.505121,	0.112249,	0.519153,	0.392872,	2.17483,	2.00645,	0.196436,	0.589308,	2.7922,	0.0701557,	0.841869,	2.53964,	0.140311,	1.69777,	0.140311,	1.64164,	0.168374,	0.23853,	0.350779,	0.224498,	0.112249,	0.392872,	1.90824,	0.940087,	0,	1.34699,	0.575277,	0.168374,	0.196436,	0.799775,	0.897994,	0.0561246,	0.0561246,	0.182405,	0.112249,	0.252561,	1.64164,	
H7-hESC,	0.328515,	15.1117,	3.16689,	2.50986,	1.93167,	1.07753,	0.157687,	0.394218,	0.0394218,	1.05125,	1.62943,	0.64389,	1.36662,	1.66886,	0.696452,	1.85283,	1.15637,	0.302234,	0.735874,	2.20762,	0.906702,	0.170828,	0.775296,	2.81209,	0.0788436,	0.249671,	0.22339,	1.55059,	0.118265,	0.735874,	0.775296,	0.525624,	0.525624,	2.83837,	1.69514,	0.381078,	1.10381,	2.57556,	0.880421,	1.90539,	0.735874,	1.03811,	0.131406,	1.70828,	0.341656,	0.0262812,	0.854139,	0.262812,	0.525624,	0.827858,	0.630749,	0.381078,	1.01183,	0.86728,	1.19579,	0.735874,	0.0131406,	1.15637,	0.0131406,	0.43364,	0.197109,	1.40604,	0.551905,	0.394218,	0.0525624,	0.65703,	0.394218,	2.07622,	1.03811,	0.381078,	0.591327,	1.8134,	0.0788436,	1.06439,	1.76084,	0.381078,	1.70828,	0.118265,	1.23522,	0.197109,	0.512484,	0.735874,	0.473062,	0.289093,	0.578187,	1.3272,	0.788436,	0.0262812,	1.65572,	0.840999,	0.131406,	0.22339,	1.2615,	0.801577,	0.157687,	0.183968,	0.21025,	0.236531,	0.236531,	1.48489,	
HA-h,	0.355872,	17.9163,	2.25795,	3.06786,	1.25169,	1.32532,	0.233157,	1.0308,	0.0368143,	0.993987,	1.52166,	0.429501,	1.1167,	1.76709,	1.3744,	1.36213,	1.77936,	0.503129,	0.392686,	1.74255,	1.09216,	0.122714,	0.417229,	2.19659,	0.159529,	0.613572,	0.319058,	0.797644,	0.0245429,	0.527672,	1.07989,	0.625844,	0.441772,	1.65664,	1.43576,	0.478586,	1.42349,	1.30077,	0.993987,	1.09216,	1.98797,	1.01853,	0.269972,	3.0924,	0.355872,	0.0368143,	1.05534,	0.306786,	0.417229,	1.25169,	0.662658,	0.331329,	1.75482,	0.785372,	2.25795,	0.84673,	0.0245429,	1.16579,	0.0613572,	0.331329,	0.282243,	1.30077,	1.01853,	0.404958,	0.0981715,	0.552215,	0.650387,	1.66892,	0.76083,	0.208615,	0.417229,	1.53393,	0.294515,	0.552215,	1.52166,	0.589029,	1.15352,	0.1718,	0.84673,	0.269972,	0.589029,	0.404958,	0.306786,	0.245429,	0.822187,	1.05534,	0.490858,	0.0490858,	1.57074,	1.19033,	0.233157,	0.429501,	0.920358,	0.490858,	0.0490858,	0.196343,	0.319058,	0.110443,	0.122714,	0.834458,	
HAEpiC,	0.166581,	20.7201,	2.81907,	3.306,	1.38391,	0.794464,	0.166581,	0.756023,	0.0384418,	1.102,	2.28088,	0.679139,	0.756023,	1.51205,	1.0123,	1.35828,	1.25577,	0.384418,	0.679139,	1.44798,	0.948232,	0.128139,	0.435674,	2.19118,	0.153767,	0.320349,	0.281907,	1.11481,	0.0768836,	0.499744,	0.768836,	0.320349,	0.448488,	2.70374,	1.08918,	0.256279,	1.03793,	1.64018,	1.29421,	1.60174,	1.48642,	0.666325,	0.205023,	3.52383,	0.269093,	0.0384418,	0.999487,	0.166581,	0.230651,	0.807278,	0.563813,	0.294721,	1.21732,	1.14044,	2.24244,	0.589441,	0.0256279,	0.858534,	0.0128139,	0.243465,	0.205023,	1.49923,	0.512558,	0.256279,	0.102512,	0.97386,	0.371604,	1.67863,	0.794464,	0.205023,	0.512558,	1.52486,	0.128139,	0.794464,	1.29421,	0.589441,	1.28139,	0.166581,	0.948232,	0.42286,	0.666325,	0.615069,	0.589441,	0.179395,	0.935418,	0.832906,	0.563813,	0.0128139,	1.58893,	0.90979,	0.0768836,	0.179395,	0.602255,	0.820092,	0.0640697,	0.115325,	0.0768836,	0.179395,	0.102512,	1.11481,	
HCF,	0.180273,	15.8769,	2.38218,	2.49807,	1.5967,	1.44218,	0.141643,	0.811228,	0.0257533,	0.824105,	1.5967,	0.553696,	1.3778,	1.81561,	0.888488,	1.82848,	1.45506,	0.347669,	0.347669,	1.9315,	1.01725,	0.206026,	0.772599,	2.49807,	0.128766,	0.309039,	0.257533,	0.991501,	0.0515066,	0.476436,	0.888488,	0.566572,	0.489312,	2.25341,	1.28766,	0.566572,	1.32629,	1.72547,	0.927118,	2.06026,	1.00438,	1.41643,	0.19315,	2.7556,	0.309039,	0.0643832,	0.836982,	0.309039,	0.424929,	0.811228,	0.643832,	0.412053,	1.30054,	1.03013,	1.85424,	0.708215,	0.0257533,	1.32629,	0.0515066,	0.334793,	0.218903,	1.33917,	0.566572,	0.412053,	0.167396,	0.875612,	0.476436,	1.84136,	1.12027,	0.309039,	0.618079,	1.97013,	0.19315,	0.579449,	1.46794,	0.437806,	1.46794,	0.180273,	1.06876,	0.270409,	0.463559,	0.630955,	0.270409,	0.270409,	0.746845,	1.28766,	0.540819,	0.0515066,	1.94437,	1.19753,	0.180273,	0.283286,	1.1589,	0.811228,	0.0386299,	0.15452,	0.270409,	0.167396,	0.244656,	1.17177,	
HCM,	0.169514,	19.4549,	2.2428,	2.93389,	1.35611,	1.16052,	0.0912766,	0.991003,	0.026079,	0.964924,	1.77337,	0.547659,	1.03012,	1.92985,	1.21267,	1.46043,	1.43435,	0.325988,	0.430304,	1.62994,	1.19963,	0.169514,	0.247751,	2.26887,	0.0391185,	0.27383,	0.156474,	0.977963,	0.0782371,	0.52158,	0.743252,	0.612857,	0.430304,	2.32103,	1.36915,	0.391185,	1.39523,	1.57778,	0.79541,	1.87769,	1.25179,	1.00404,	0.195593,	2.94693,	0.0912766,	0.026079,	1.16052,	0.286869,	0.325988,	0.977963,	0.651976,	0.391185,	1.64298,	1.06924,	2.02112,	0.599817,	0.0130395,	1.10836,	0.0391185,	0.208632,	0.27383,	1.49954,	0.495501,	0.195593,	0.117356,	0.704134,	0.482462,	1.83857,	1.26483,	0.143435,	0.612857,	1.92985,	0.182553,	0.704134,	1.57778,	0.404225,	1.14748,	0.0912766,	1.00404,	0.299909,	0.495501,	0.378146,	0.365106,	0.352067,	0.912766,	1.14748,	0.599817,	0.0130395,	1.65602,	1.08228,	0.143435,	0.221672,	0.834529,	0.612857,	0.0782371,	0.195593,	0.143435,	0.117356,	0.143435,	0.912766,	
