cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.107724,	20.4998,	2.5746,	1.78821,	2.49919,	0.818701,	0.0754067,	0.646343,	0.387806,	0.0430895,	1.42195,	0.721749,	0.258537,	1.47582,	0.312399,	0.86179,	0.484757,	0.215448,	0.915652,	1.47582,	1.34655,	0.0969514,	0.236992,	2.43456,	0.204675,	2.21911,	0.840246,	0.829473,	0.290854,	0.140041,	0.958742,	0.538619,	0.150813,	3.73802,	2.02521,	0.355489,	0.732522,	2.18679,	1.33578,	0.40935,	0.387806,	0.118496,	0.161586,	1.65895,	0.420123,	0.366261,	1.64817,	0.0323171,	0.818701,	1.07724,	0.872563,	1.09878,	0,	1.15264,	0.280082,	0.570936,	0.0107724,	0.107724,	0.290854,	0.161586,	0.614026,	1.16342,	0.333944,	0.366261,	0.323171,	1.21728,	0.377033,	0.689432,	1.03415,	0.980287,	0.258537,	1.88517,	0.344716,	1.31423,	0.67866,	1.29269,	0.86179,	0.0646343,	2.31606,	0.377033,	2.39147,	1.19573,	0.624798,	0.0969514,	1.4435,	0.775611,	1.59431,	0.0323171,	2.19757,	0.0969514,	0.269309,	0.45244,	0.129269,	0.0323171,	0.129269,	0.118496,	0.161586,	0.0754067,	0.344716,	1.45427,	
AoAF,	0.206654,	18.1856,	2.7795,	1.78756,	2.52118,	0.867948,	0.144658,	0.826617,	0.578632,	0.0826617,	1.97355,	0.754288,	0.309981,	1.77723,	0.299649,	0.929944,	0.599297,	0.175656,	0.898946,	1.65323,	1.25026,	0.0619963,	0.144658,	1.97355,	0.185989,	2.41786,	0.857615,	0.960942,	0.289316,	0.175656,	1.06427,	0.506303,	0.103327,	3.62678,	1.99421,	0.38231,	0.816284,	2.43852,	1.41558,	0.34098,	0.402976,	0.0826617,	0.154991,	1.80822,	0.537301,	0.464972,	1.81856,	0.0103327,	0.650961,	0.816284,	0.867948,	1.34325,	0.0309981,	1.1366,	0.175656,	0.475305,	0.0103327,	0.216987,	0.278983,	0.258318,	0.640628,	1.25026,	0.237652,	0.568299,	0.216987,	1.17793,	0.351312,	0.444307,	0.826617,	1.11593,	0.361645,	1.45691,	0.258318,	1.38458,	0.743955,	1.29159,	0.578632,	0,	2.28353,	0.578632,	2.76917,	1.40525,	0.650961,	0.0413309,	1.57057,	0.909279,	1.59124,	0.0516636,	2.39719,	0.196322,	0.196322,	0.34098,	0.134325,	0.0619963,	0.185989,	0.072329,	0.0516636,	0.0619963,	0.309981,	1.33292,	
CD20+,	0.167267,	24.2409,	2.13587,	0.784869,	2.94647,	0.488935,	0.0643335,	0.501801,	0.463201,	0.0643335,	0.617602,	1.55687,	0.746269,	0.759135,	0.193001,	1.1966,	0.283067,	0.0643335,	0.604735,	1.20947,	0.617602,	0.0900669,	0.231601,	4.32321,	0.193001,	0.681935,	0.347401,	0.656202,	0.373134,	0.180134,	0.411734,	0.488935,	0.244467,	5.42975,	2.08441,	0.398868,	0.488935,	4.01441,	0.630468,	1.29954,	0.1544,	0.167267,	0.1158,	0.579002,	0.1544,	0.244467,	0.514668,	0,	2.08441,	0.411734,	0.386001,	0.321668,	0.0128667,	0.772002,	0.128667,	0.514668,	0.0128667,	0.0900669,	0.0643335,	0.360268,	1.05507,	1.1194,	0.283067,	0.463201,	0.205867,	0.900669,	0.0772002,	1.10654,	2.27741,	0.810602,	0.514668,	3.11374,	0.102934,	1.14514,	1.24807,	0.193001,	2.18734,	0.102934,	3.61554,	0.1544,	0.759135,	0.874936,	0.180134,	0.0257334,	0.527535,	0.862069,	1.67267,	0.0128667,	1.1966,	0.0643335,	0.0514668,	0.1544,	0.205867,	0.141534,	0.128667,	0.0514668,	0.0900669,	0.102934,	0.437468,	2.41894,	
GM06990,	0.200133,	28.519,	2.78519,	0.833889,	2.4016,	0.266845,	0.200133,	0.3002,	0.483656,	0.0667111,	0.166778,	2.33489,	2.35157,	0.116744,	0.416945,	3.48566,	0.4503,	0.116744,	0.483656,	0.833889,	0.416945,	0.233489,	0.166778,	2.45163,	0.233489,	0.0667111,	0.567045,	0.6004,	0.617078,	0.100067,	0.250167,	0.3002,	0.567045,	1.23416,	0.933956,	0.183456,	0.817211,	2.46831,	0.266845,	1.81788,	0.400267,	0.9006,	0.266845,	0.3002,	0.0333556,	0.0500334,	0.0667111,	0.100067,	1.56771,	0.383589,	0.0333556,	0.133422,	0.216811,	1.60107,	0.500334,	0.483656,	0.216811,	0.533689,	0.216811,	0.833889,	0.283522,	0.9006,	0.100067,	0.7505,	0.0166778,	0.0833889,	0.0333556,	0.917278,	1.51768,	0.100067,	1.00067,	1.91795,	0.0166778,	0.416945,	3.05203,	0.216811,	1.73449,	0.0667111,	6.1541,	0.333556,	0.983989,	0.883923,	0.0833889,	0.183456,	0.250167,	1.85123,	1.28419,	0.100067,	0.100067,	0.533689,	0.0333556,	0.1501,	1.03402,	0.233489,	0.100067,	0.0333556,	0.0833889,	0.0667111,	0.283522,	2.16811,	
GM12865,	0.197583,	19.5955,	2.88238,	0.918178,	2.73129,	0.674105,	0.151093,	0.534635,	0.55788,	0.04649,	0.825198,	1.1855,	0.69735,	1.1855,	0.151093,	1.31334,	0.4649,	0.13947,	0.941423,	1.27848,	0.546258,	0.127848,	0.127848,	3.11483,	0.18596,	1.04603,	0.546258,	1.27848,	0.523013,	0.209205,	0.825198,	0.662483,	0.162715,	4.60251,	2.2199,	0.441655,	0.987913,	3.53324,	0.953045,	1.06927,	0.127848,	0.151093,	0.104603,	0.708973,	0.290563,	0.23245,	0.860065,	0.0348675,	1.52255,	0.662483,	0.708973,	0.74384,	0.0348675,	1.13901,	0.116225,	0.685728,	0.0116225,	0.162715,	0.18596,	0.302185,	1.08089,	1.11576,	0.23245,	0.60437,	0.151093,	1.05765,	0.244073,	0.964668,	1.84798,	0.83682,	0.337053,	2.63831,	0.13947,	1.3947,	0.88331,	0.162715,	1.48768,	0.0813575,	3.49837,	0.209205,	1.33659,	1.22036,	0.395165,	0.09298,	0.860065,	1.13901,	1.73175,	0.023245,	1.42957,	0.162715,	0.255695,	0.32543,	0.27894,	0.116225,	0.151093,	0.04649,	0.127848,	0,	0.488145,	2.4291,	
H7-hESC,	0.263736,	15.6044,	2.87912,	1.30769,	2.46154,	0.89011,	0.142857,	0.648352,	0.912088,	0.0549451,	1.58242,	0.824176,	0.362637,	1.6044,	0.263736,	1.41758,	0.648352,	0.153846,	1.21978,	1.78022,	1.02198,	0.0989011,	0.175824,	2.58242,	0.197802,	1.17582,	0.934066,	1.48352,	0.483516,	0.131868,	0.934066,	0.538462,	0.164835,	4.01099,	2.38462,	0.351648,	0.725275,	3.7033,	1.06593,	0.681319,	0.153846,	0.0659341,	0.307692,	1.15385,	0.472527,	0.461538,	1.31868,	0.0659341,	1.04396,	0.736264,	0.637363,	0.879121,	0.021978,	1.01099,	0.153846,	0.615385,	0.032967,	0.164835,	0.318681,	0.241758,	0.901099,	1.40659,	0.395604,	0.637363,	0.164835,	0.934066,	0.384615,	0.659341,	1.24176,	0.824176,	0.637363,	1.69231,	0.252747,	1.74725,	0.703297,	0.802198,	1.03297,	0.0549451,	3.35165,	0.450549,	2.14286,	1.62637,	0.626374,	0.043956,	1.16484,	1.18681,	1.18681,	0.032967,	2.14286,	0.142857,	0.175824,	0.505495,	0.142857,	0.0549451,	0.241758,	0.0659341,	0.120879,	0.0659341,	0.417582,	1.91209,	
HA-h,	0.202388,	18.0227,	2.11496,	2.11496,	2.11496,	0.769075,	0.151791,	1.0423,	0.637523,	0.0404776,	1.46731,	0.769075,	0.374418,	1.61911,	0.465493,	0.890508,	0.597045,	0.202388,	1.02206,	1.92269,	1.24469,	0.101194,	0.232746,	2.18579,	0.212508,	2.46914,	1.16373,	0.829792,	0.252985,	0.202388,	0.900627,	0.414896,	0.252985,	3.15726,	2.27687,	0.303582,	0.728597,	2.31734,	1.39648,	0.283343,	0.526209,	0.121433,	0.222627,	1.91257,	0.607165,	0.597045,	1.32564,	0.0202388,	0.68812,	1.07266,	0.839911,	1.18397,	0.0202388,	1.31552,	0.445254,	0.698239,	0.0607165,	0.202388,	0.354179,	0.161911,	0.930986,	1.45719,	0.576806,	0.485732,	0.242866,	1.61911,	0.364299,	0.425015,	0.708359,	1.27505,	0.293463,	1.356,	0.333941,	1.33576,	0.566687,	1.24469,	0.941105,	0.111313,	1.70006,	0.50597,	2.93463,	0.991702,	0.637523,	0.0607165,	1.59887,	0.738717,	1.65958,	0.0404776,	2.06436,	0.182149,	0.293463,	0.455373,	0.212508,	0.0910747,	0.182149,	0.0910747,	0.111313,	0.111313,	0.34406,	0.880389,	
HAEpiC,	0.137785,	22.0138,	2.46953,	1.97138,	2.77689,	0.667727,	0.063593,	0.699523,	0.487546,	0.0211977,	2.02438,	0.688924,	0.169581,	1.44144,	0.317965,	0.975093,	0.466349,	0.127186,	1.17647,	1.90779,	1.11288,	0.0423953,	0.158983,	1.86539,	0.222576,	2.03498,	1.12348,	0.953895,	0.222576,	0.0953895,	0.784314,	0.392157,	0.169581,	3.40223,	2.21516,	0.339163,	0.508744,	2.6921,	1.20827,	0.36036,	0.328564,	0.0741918,	0.18018,	2.10917,	0.529942,	0.243773,	1.89719,	0,	0.63593,	0.964494,	0.614732,	1.46264,	0.0105988,	1.29306,	0.264971,	0.604134,	0.0211977,	0.0317965,	0.158983,	0.158983,	0.519343,	1.30366,	0.264971,	0.392157,	0.0953895,	1.16587,	0.233174,	0.36036,	0.773715,	0.943296,	0.45575,	1.32485,	0.190779,	1.42024,	0.540541,	1.54743,	0.540541,	0.0317965,	1.89719,	0.582936,	2.7239,	1.60042,	0.794913,	0.063593,	1.63222,	0.625331,	1.29306,	0.0211977,	1.91839,	0.169581,	0.18018,	0.370959,	0.116587,	0.0211977,	0.169581,	0.0529942,	0.0423953,	0.0105988,	0.222576,	1.29306,	
HCF,	0.128055,	14.9504,	2.44371,	1.56867,	2.37968,	1.01377,	0.160068,	0.778999,	0.736314,	0.0213424,	1.82478,	0.704301,	0.52289,	1.75008,	0.202753,	1.00309,	0.533561,	0.17074,	1.05645,	1.99552,	1.13115,	0.0426849,	0.117383,	2.4117,	0.362821,	2.1129,	0.917725,	1.21652,	0.288123,	0.17074,	1.13115,	0.394835,	0.149397,	4.02305,	2.01686,	0.362821,	0.78967,	2.60378,	1.35524,	0.576246,	0.416178,	0.149397,	0.160068,	1.98485,	0.60826,	0.35215,	1.47263,	0.0320137,	0.96041,	0.96041,	0.896382,	1.42994,	0.0426849,	1.08846,	0.213424,	0.629602,	0.0746985,	0.106712,	0.373493,	0.245438,	0.768328,	1.32323,	0.533561,	0.501547,	0.256109,	1.65404,	0.416178,	0.341479,	1.16316,	1.19518,	0.298794,	1.85679,	0.362821,	1.3339,	0.586917,	1.01377,	1.03511,	0.0533561,	2.02753,	0.565575,	2.72116,	1.53666,	0.661616,	0.0853698,	1.17383,	0.87504,	1.41927,	0.0320137,	2.4117,	0.160068,	0.256109,	0.426849,	0.0853698,	0.0533561,	0.224096,	0.0640273,	0.149397,	0.106712,	0.341479,	1.61135,	
HCM,	0.151009,	19.9008,	2.47007,	1.80132,	2.25434,	0.722684,	0.0755043,	0.722684,	0.517744,	0.0647179,	1.59638,	0.906051,	0.302017,	1.79053,	0.312803,	0.949196,	0.496171,	0.183367,	0.970769,	1.83367,	1.32672,	0.032359,	0.0970769,	2.13569,	0.258872,	1.9739,	0.73347,	1.13256,	0.226513,	0.107863,	0.798188,	0.657966,	0.20494,	3.71049,	1.99547,	0.485385,	0.798188,	2.23277,	1.22964,	0.399094,	0.399094,	0.140222,	0.172581,	1.9739,	0.366735,	0.312803,	1.59638,	0.032359,	0.711897,	1.01391,	0.625607,	1.30515,	0.032359,	1.32672,	0.32359,	0.604034,	0.0107863,	0.0970769,	0.248085,	0.151009,	0.647179,	1.16492,	0.291231,	0.485385,	0.20494,	1.35908,	0.334376,	0.399094,	1.12178,	0.927624,	0.32359,	1.79053,	0.194154,	1.38065,	0.73347,	1.35908,	0.73347,	0.0539316,	2.02783,	0.539316,	2.65344,	1.39144,	0.657966,	0.0215726,	1.76896,	0.701111,	1.36986,	0.0647179,	2.37299,	0.172581,	0.161795,	0.345162,	0.129436,	0.0647179,	0.151009,	0.0539316,	0.129436,	0.0970769,	0.258872,	1.35908,	
