cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0898876,	15.5506,	1.05618,	0.94382,	1.16854,	0.314607,	1.30337,	0.696629,	2.53933,	0,	5.03371,	0.966292,	0.853933,	0.696629,	0.741573,	1.59551,	1.03371,	0.0224719,	1.57303,	0.134831,	1.25843,	0.449438,	0.0224719,	0.247191,	0.157303,	0.0674157,	2.11236,	0.179775,	0.741573,	0.0674157,	0.382022,	0.382022,	0.134831,	1.16854,	0.247191,	0.988764,	1.16854,	2.58427,	0.157303,	0.764045,	0.337079,	0.359551,	0.966292,	0.179775,	0.831461,	0.269663,	0.157303,	0.0674157,	3.14607,	0.247191,	0.179775,	0.157303,	0.0674157,	0.808989,	0.337079,	0.629214,	1.48315,	0.516854,	0.741573,	0.494382,	1.21348,	1.82022,	0.0224719,	1.19101,	0.134831,	0.134831,	0,	0.269663,	1.77528,	0.134831,	1.48315,	1.01124,	0,	0.0898876,	1.21348,	3.73034,	0.337079,	0,	6.06742,	0.449438,	6.89888,	1.75281,	0,	0.561798,	0.876405,	1.23595,	2.17978,	0.314607,	0.831461,	0.561798,	0.0674157,	0.561798,	0.202247,	0.0449438,	0.11236,	0.0224719,	0.0224719,	0.314607,	0.0898876,	0.696629,	
AoAF,	0.198895,	14.2983,	1.03867,	0.81768,	1.12707,	0.0883978,	1.28177,	0.552486,	2.71823,	0,	6.09945,	0.861878,	0.81768,	0.508287,	0.79558,	0.906077,	0.883978,	0.0441989,	2.58564,	0.0441989,	1.32597,	0.287293,	0.110497,	0.220994,	0.0220994,	0.0662983,	1.54696,	0.0883978,	1.06077,	0.0662983,	0.464088,	0.552486,	0.0441989,	0.81768,	0.176796,	1.01657,	1.19337,	3.04972,	0.198895,	0.640884,	0.419889,	0.176796,	1.01657,	0.0883978,	0.287293,	0.198895,	0.0662983,	0.0662983,	3.07182,	0.154696,	0.176796,	0.0441989,	0.0220994,	0.861878,	0.39779,	0.751381,	1.63536,	0.176796,	0.618785,	0.751381,	1.30387,	1.59116,	0.154696,	1.67956,	0.176796,	0.0662983,	0,	0.176796,	1.45856,	0.176796,	1.65746,	0.950276,	0,	0.0662983,	0.839779,	4.1105,	0.265193,	0,	7.64641,	0.530387,	7.35912,	2.18785,	0,	0.464088,	0.79558,	1.67956,	1.72376,	0.39779,	0.574586,	0.441989,	0.0441989,	0.662983,	0.265193,	0.0441989,	0,	0.0220994,	0.110497,	0.154696,	0.110497,	0.508287,	
CD20+,	0.309524,	15.2143,	1.04762,	0.619048,	1.42857,	0.238095,	0.476191,	0.380952,	3.04762,	0,	4.59524,	1.30952,	1.40476,	0.571429,	0.571429,	1.42857,	0.833333,	0.047619,	2,	0.333333,	0.714286,	0.238095,	0.119048,	0.404762,	0.214286,	0.0238095,	1.95238,	0.166667,	1.11905,	0.047619,	0.309524,	0.238095,	0.285714,	0.928571,	0.595238,	1.16667,	0.880952,	2.88095,	0.285714,	0.761905,	0.142857,	0.142857,	1.14286,	0.190476,	0.690476,	0.285714,	0.119048,	0.142857,	3.59524,	0.285714,	0.0952381,	0.0238095,	0.0238095,	1.02381,	0.0714286,	0.357143,	1.45238,	0.238095,	0.952381,	0.52381,	1.11905,	2.07143,	0.119048,	1.97619,	0.190476,	0.119048,	0,	0.380952,	1.88095,	0.0714286,	0.904762,	1.45238,	0,	0.142857,	1,	3.35714,	0.428571,	0.047619,	7.16667,	0.309524,	5.57143,	2.42857,	0,	0.428571,	0.476191,	1.42857,	1.69048,	0.190476,	0.476191,	0.690476,	0.0952381,	1,	0.357143,	0.142857,	0.119048,	0.047619,	0.119048,	0.238095,	0.261905,	0.809524,	
GM06990,	0.739929,	16.114,	1.94574,	2.08276,	2.8775,	2.74048,	0.0822143,	0.548095,	0.0274048,	0.137024,	0.246643,	1.50726,	2.68567,	0.5755,	0.465881,	1.53467,	0.602905,	0.219238,	0.274048,	4.30255,	0.411072,	0.219238,	0.548095,	3.53522,	0.191833,	0.301452,	0.274048,	2.71307,	0.274048,	0.548095,	0.411072,	0.602905,	0.5755,	1.28802,	2.16498,	0.301452,	0.383667,	1.37024,	1.04138,	1.61688,	0.5755,	0.411072,	0.191833,	0.931762,	0.0548095,	0.0274048,	1.28802,	0.328857,	0.986572,	1.09619,	0.301452,	0.712524,	0.328857,	1.28802,	0.328857,	0.493286,	0.0822143,	0.191833,	0.0822143,	1.6991,	0.164429,	0.986572,	0.520691,	1.1236,	0.137024,	0.438476,	0.438476,	1.50726,	2.02795,	0.356262,	0.328857,	1.80871,	0.548095,	2.16498,	2.65826,	0.0274048,	2.13757,	0.164429,	1.26062,	0.328857,	0.356262,	2.02795,	0.657714,	0.493286,	0.383667,	0.438476,	0.986572,	0.0548095,	0.438476,	0.191833,	0.191833,	0.0548095,	1.1236,	0.219238,	0.164429,	0.0274048,	0.274048,	0.0274048,	0.465881,	2.41162,	
GM12865,	0.139276,	14.6704,	1.11421,	0.696379,	1.6481,	0.301764,	1.41597,	0.371402,	3.06407,	0,	5.77994,	1.20706,	0.88208,	0.394615,	0.649954,	1.25348,	0.97493,	0.0232126,	2.11235,	0.162488,	0.905293,	0.208914,	0.0928505,	0.464253,	0.0464253,	0.0464253,	1.57846,	0.255339,	0.696379,	0.0696379,	0.301764,	0.371402,	0.0928505,	1.23027,	0.232126,	1.16063,	0.928505,	3.27298,	0.162488,	0.998143,	0.0696379,	0.139276,	0.719591,	0.185701,	0.394615,	0.232126,	0.0696379,	0.0696379,	3.48189,	0.232126,	0.0464253,	0.0928505,	0.0232126,	1.02136,	0.208914,	0.603528,	1.81059,	0.208914,	0.603528,	0.673166,	1.20706,	1.41597,	0.0696379,	1.36955,	0.116063,	0.185701,	0,	0.557103,	1.76416,	0.0696379,	1.43918,	1.34633,	0.0232126,	0.139276,	1.23027,	3.45868,	0.510678,	0,	7.89229,	0.139276,	6.19777,	2.25162,	0,	0.464253,	0.53389,	1.6481,	1.53203,	0.324977,	0.510678,	0.324977,	0.116063,	0.719591,	0.208914,	0.0928505,	0,	0.0696379,	0.0696379,	0.208914,	0.0464253,	0.88208,	
H7-hESC,	0.180221,	11.5341,	1.21649,	0.518135,	1.41924,	0.247804,	1.23902,	0.765938,	3.33408,	0.0225276,	6.21762,	1.73462,	1.39671,	0.47308,	0.810993,	0.856049,	0.675828,	0.0901104,	3.10881,	0.135166,	1.23902,	0.382969,	0.0450552,	0.202748,	0.0225276,	0.0901104,	1.98243,	0.270331,	1.03627,	0.0901104,	0.518135,	0.360442,	0,	0.630773,	0.112638,	1.10385,	1.08132,	3.15386,	0.135166,	0.47308,	0.0901104,	0.135166,	0.856049,	0.0901104,	0.450552,	0.382969,	0,	0.0225276,	3.58189,	0.157693,	0.0675828,	0.0901104,	0.0450552,	1.12638,	0.315386,	0.608245,	2.23023,	0.180221,	0.585717,	0.743411,	1.10385,	1.9599,	0.0675828,	2.65826,	0.270331,	0.0675828,	0.0225276,	0.292859,	1.08132,	0.0901104,	1.46429,	0.923631,	0,	0.0225276,	0.788466,	3.94233,	0.270331,	0.0225276,	7.25389,	0.292859,	5.74454,	2.72584,	0,	0.630773,	0.518135,	1.66704,	1.39671,	0.428024,	0.56319,	0.337914,	0.0675828,	1.03627,	0.247804,	0.0450552,	0.0675828,	0.112638,	0.112638,	0.270331,	0.135166,	0.630773,	
HA-h,	0.25974,	11.0606,	1.34199,	1.14719,	0.606061,	0.281385,	0.844156,	0.562771,	2.94372,	0,	5.54113,	0.909091,	0.779221,	0.800866,	1.2987,	0.757576,	1.19048,	0.12987,	1.60173,	0.324675,	1.5368,	0.4329,	0.108225,	0.238095,	0.108225,	0.194805,	2.57576,	0.238095,	0.887446,	0.21645,	0.692641,	0.562771,	0.0865801,	0.865801,	0.584416,	0.887446,	1.12554,	2.20779,	0.34632,	0.714286,	0.324675,	0.194805,	1.12554,	0.30303,	0.974026,	0.324675,	0.0649351,	0.17316,	3.67965,	0.238095,	0.151515,	0.108225,	0.17316,	1.03896,	0.30303,	0.606061,	1.62338,	0.38961,	1.08225,	0.606061,	0.757576,	2.29437,	0.17316,	2.03463,	0.324675,	0.194805,	0.021645,	0.367965,	1.45022,	0.108225,	1.36364,	0.757576,	0.021645,	0.12987,	0.974026,	3.76623,	0.30303,	0.0649351,	4.97835,	0.692641,	6.66667,	2.35931,	0.021645,	0.411255,	0.822511,	1.08225,	2.03463,	0.519481,	0.367965,	0.692641,	0.12987,	1.51515,	0.38961,	0.0865801,	0.17316,	0.021645,	0.151515,	0.454545,	0.17316,	0.670996,	
HAEpiC,	0.228363,	10.5275,	0.936287,	0.639415,	1.21032,	0.114181,	1.11898,	0.662252,	3.37977,	0,	7.10208,	1.02763,	1.09614,	0.616579,	0.822106,	1.02763,	0.54807,	0.0456725,	4.11053,	0.0228363,	1.30167,	0.205526,	0.0228363,	0.159854,	0.0228363,	0.0685088,	1.84974,	0.159854,	1.11898,	0.0456725,	0.274035,	0.137018,	0.114181,	0.685088,	0.251199,	1.05047,	0.913451,	3.56246,	0.159854,	0.593743,	0.0913451,	0.205526,	0.707924,	0.114181,	0.319708,	0.411053,	0,	0,	3.60813,	0.137018,	0.228363,	0.0913451,	0.0456725,	0.844942,	0.319708,	0.639415,	1.8269,	0.251199,	0.54807,	0.776433,	0.959123,	1.87257,	0.0685088,	2.39781,	0.137018,	0.18269,	0,	0.159854,	1.23316,	0.0685088,	1.80406,	0.867778,	0,	0.114181,	0.776433,	4.45307,	0.342544,	0.0228363,	8.08404,	0.388216,	7.05641,	2.99155,	0,	0.593743,	0.54807,	1.55287,	1.21032,	0.296871,	0.433889,	0.342544,	0.0913451,	0.662252,	0.251199,	0.0228363,	0.0456725,	0,	0.0685088,	0.114181,	0,	0.685088,	
HCF,	0.133571,	13.9359,	1.13535,	0.823687,	1.2244,	0.289403,	1.53606,	0.556545,	2.89403,	0,	5.81033,	1.06857,	0.667854,	0.756901,	0.957257,	1.06857,	0.934996,	0.178094,	1.91451,	0.0890472,	1.71416,	0.400712,	0.133571,	0.400712,	0.178094,	0.0890472,	2.29297,	0.0890472,	1.02404,	0.0890472,	0.467498,	0.512021,	0.133571,	0.823687,	0.133571,	0.957257,	1.00178,	2.38201,	0.24488,	0.801425,	0.222618,	0.222618,	0.957257,	0.178094,	0.578807,	0.267142,	0.111309,	0.133571,	3.27248,	0.0890472,	0.178094,	0.0667854,	0.0222618,	1.06857,	0.378451,	0.601069,	1.40249,	0.200356,	0.62333,	0.645592,	0.957257,	1.91451,	0.0445236,	1.42476,	0.222618,	0.200356,	0,	0.378451,	1.58059,	0.0890472,	1.46928,	0.779163,	0,	0.0667854,	1.02404,	3.71772,	0.222618,	0.0222618,	6.63402,	0.422974,	6.94568,	2.09261,	0.0222618,	0.601069,	0.779163,	1.2244,	2.18166,	0.267142,	0.690116,	0.400712,	0.133571,	0.690116,	0.200356,	0.0667854,	0.0667854,	0.0667854,	0.0890472,	0.24488,	0.0890472,	0.912734,	
HCM,	0.178811,	12.4721,	1.02816,	0.804649,	1.00581,	0.268216,	1.654,	0.514081,	3.12919,	0,	5.87841,	0.871703,	0.961109,	0.692892,	0.871703,	0.938757,	0.827,	0.0447027,	2.79392,	0.245865,	1.13992,	0.312919,	0.0223514,	0.402325,	0.0894055,	0.0447027,	1.78811,	0.134108,	0.849352,	0.111757,	0.469379,	0.447027,	0.268216,	0.782298,	0.245865,	1.09522,	0.827,	2.77157,	0.111757,	0.759946,	0.268216,	0.178811,	0.98346,	0.111757,	0.402325,	0.536433,	0.0670541,	0.0670541,	3.91149,	0.312919,	0.134108,	0.0447027,	0.0670541,	0.692892,	0.290568,	0.514081,	1.6987,	0.223514,	0.715244,	0.514081,	1.07287,	1.43049,	0.0670541,	2.14573,	0.15646,	0.111757,	0.0223514,	0.245865,	1.78811,	0.111757,	1.78811,	0.692892,	0,	0.178811,	1.20697,	3.77738,	0.469379,	0,	8.00179,	0.290568,	7.24184,	2.19043,	0.0223514,	0.49173,	0.603487,	1.25168,	1.5646,	0.15646,	0.558784,	0.514081,	0.0447027,	0.759946,	0.290568,	0.0447027,	0.0447027,	0.0670541,	0.0894055,	0.223514,	0.0670541,	0.625838,	
