cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.263245,	16.9464,	1.80981,	0.625206,	1.97433,	0.230339,	0.723922,	0.559395,	1.08588,	0.0329056,	2.73116,	2.10596,	2.40211,	0.394867,	0.88845,	1.34913,	0.263245,	0.0329056,	1.21751,	0.263245,	0.855545,	0.526489,	0.361961,	0.5923,	0.0658111,	0.131622,	1.31622,	0.427772,	0.723922,	0.460678,	0.197433,	1.97433,	0.427772,	1.08588,	0.526489,	0.723922,	0.723922,	2.63244,	0.0987167,	0.329056,	0.0658111,	0.789734,	1.02007,	0.0329056,	0.197433,	0.197433,	0.131622,	0.164528,	2.86278,	0.493583,	0.0329056,	0.164528,	0.5923,	1.61237,	0.526489,	1.71109,	0.361961,	0.427772,	0.0329056,	2.66535,	0.394867,	0.691017,	0.131622,	0.723922,	0.131622,	0.164528,	0.0329056,	0.230339,	3.09312,	0.197433,	0.954261,	0.526489,	0.0329056,	0.263245,	1.15169,	1.31622,	0.691017,	0.0658111,	3.88286,	1.05298,	3.25765,	3.25765,	0.0329056,	5.46232,	1.1846,	2.69826,	1.21751,	0.164528,	0.427772,	0.5923,	0.329056,	0.0987167,	0.263245,	0.0329056,	0,	0,	0,	0,	0.0658111,	1.02007,	
AoAF,	0.126542,	14.1727,	1.36033,	0.474533,	1.83486,	0.695982,	0.379627,	0.949067,	1.04397,	0,	3.32173,	2.21449,	2.78393,	0.253084,	0.759253,	1.07561,	0.126542,	0.126542,	1.07561,	0.126542,	1.13888,	0.601076,	0.0632711,	0.189813,	0.126542,	0.221449,	1.45524,	0.379627,	0.85416,	0.253084,	0.0632711,	1.67668,	0.411262,	0.917431,	0.727618,	0.727618,	0.980702,	3.03701,	0.189813,	0.221449,	0.189813,	0.85416,	1.36033,	0.158178,	0.126542,	0.126542,	0.158178,	0.158178,	2.91047,	0.56944,	0.0316356,	0.253084,	0.506169,	1.55014,	0.347991,	1.26542,	0.379627,	0.727618,	0.0316356,	3.8279,	0.664347,	0.695982,	0.0949067,	0.885796,	0.0632711,	0.0632711,	0.0316356,	0.28472,	3.2901,	0.126542,	1.8665,	0.727618,	0,	0.28472,	1.13888,	0.822525,	0.759253,	0,	3.79627,	0.695982,	3.60645,	3.63809,	0,	5.63113,	0.822525,	2.91047,	1.26542,	0,	0.474533,	0.506169,	0.221449,	0.0316356,	0.189813,	0.0949067,	0.0632711,	0.0632711,	0.0632711,	0.0316356,	0.189813,	1.23379,	
CD20+,	0.144718,	19.7902,	1.5919,	0.65123,	2.35166,	0.253256,	0.434153,	0.397974,	0.759768,	0,	2.60492,	2.17077,	2.96671,	0.759768,	0.397974,	2.06223,	0.144718,	0.0361794,	0.795948,	0.180897,	0.615051,	0.434153,	0.868307,	0.542692,	0.0723589,	0.108538,	1.19392,	0.217077,	0.723589,	0.542692,	0.144718,	0.940666,	0.832127,	1.66425,	0.68741,	0.470333,	0.65123,	3.11143,	0.144718,	0.289436,	0.108538,	0.976845,	0.976845,	0,	0.0361794,	0.144718,	0.144718,	0.325615,	2.96671,	0.325615,	0.0723589,	0.108538,	0.361795,	1.66425,	0.253256,	1.19392,	0.434153,	0.217077,	0.0361794,	3.29233,	0.506512,	0.506512,	0.0361794,	0.795948,	0.217077,	0.0361794,	0.0361794,	0.108538,	2.24313,	0.144718,	0.759768,	1.0492,	0,	0.253256,	1.44718,	0.68741,	1.12156,	0.0723589,	6.00579,	0.759768,	2.56874,	3.07525,	0,	4.0521,	0.615051,	1.98987,	0.723589,	0.0723589,	0.397974,	0.289436,	0.361795,	0.0723589,	0.180897,	0.108538,	0.0361794,	0.0361794,	0.108538,	0,	0.144718,	1.98987,	
GM06990,	0.948509,	20.5962,	0.948509,	0.677507,	2.39386,	0.903342,	0.406504,	0.31617,	0.406504,	0.677507,	0.0451671,	1.49051,	2.98103,	1.53568,	0.496838,	1.67118,	0.135501,	0.271003,	0.63234,	0.406504,	1.03884,	0.31617,	1.17435,	1.98735,	0.180668,	0.0903342,	0.0903342,	1.08401,	0.271003,	0.406504,	0.180668,	0.767841,	0.406504,	2.52936,	0.948509,	0.767841,	0.451671,	2.39386,	0.361337,	1.89702,	0.180668,	0.767841,	0.0903342,	0.677507,	0.135501,	0.31617,	0.135501,	0.0451671,	1.98735,	0.361337,	0.225836,	0,	0.587173,	1.35501,	0.722674,	0.677507,	0.271003,	0.180668,	0.180668,	0.63234,	1.17435,	0.496838,	0.813008,	0.63234,	0,	0.677507,	0.496838,	0.677507,	5.51039,	0.361337,	0.31617,	1.71635,	0.31617,	0.63234,	4.42638,	0.225836,	2.80036,	0.677507,	4.24571,	0.180668,	0.587173,	0.225836,	0.271003,	0.225836,	0.496838,	1.08401,	1.30985,	0,	0.63234,	0.0903342,	0.135501,	0.406504,	0.0451671,	1.12918,	0.135501,	0,	0.361337,	0.0903342,	0.180668,	1.40018,	
GM12865,	0.279037,	18.7304,	1.63934,	0.418556,	2.51134,	0.104639,	0.453436,	0.523195,	0.976631,	0,	2.75549,	1.95326,	2.72061,	0.523195,	0.383676,	2.12766,	0.0697593,	0,	0.941751,	0.139519,	0.732473,	0.453436,	0.348797,	0.732473,	0.0348797,	0,	0.976631,	0.313917,	1.32543,	0.418556,	0.244158,	1.49983,	0.209278,	1.56958,	0.592954,	0.697593,	0.697593,	2.5811,	0.104639,	0.453436,	0,	1.08127,	0.871992,	0,	0.0697593,	0.209278,	0.0348797,	0.174398,	3.24381,	0.453436,	0.0697593,	0.209278,	0.279037,	1.46495,	0.174398,	1.60446,	0.418556,	0.348797,	0.104639,	3.27869,	0.279037,	0.697593,	0,	0.871992,	0.0697593,	0.104639,	0,	0.348797,	2.47646,	0,	1.43007,	1.08127,	0.0697593,	0.348797,	1.56958,	0.662714,	0.941751,	0,	4.35996,	0.523195,	2.79037,	3.9414,	0.0348797,	5.19707,	0.592954,	2.2323,	1.08127,	0.0348797,	0.279037,	0.488315,	0.174398,	0.104639,	0.104639,	0.104639,	0.104639,	0.0348797,	0.0348797,	0.0697593,	0.174398,	1.25567,	
H7-hESC,	0.166279,	13.3023,	1.79581,	0.631859,	1.59628,	0.631859,	0.498836,	0.432325,	1.66279,	0,	3.22581,	2.72697,	2.49418,	0.498836,	0.532092,	1.92883,	0.0997672,	0.0665115,	0.931161,	0.166279,	0.831393,	0.365813,	0.299302,	0.598603,	0.0332557,	0.0997672,	0.897905,	0.332557,	1.66279,	0.299302,	0.133023,	1.56302,	0.399069,	0.997672,	0.731626,	0.831393,	0.997672,	3.59162,	0,	0.23279,	0.133023,	0.731626,	1.82907,	0,	0.166279,	0.133023,	0.0665115,	0.133023,	2.85999,	0.399069,	0,	0.0332557,	0.399069,	1.09744,	0.266046,	1.03093,	0.565348,	0.565348,	0.0997672,	3.79115,	0.432325,	0.631859,	0,	0.997672,	0.0332557,	0,	0,	0.133023,	3.52511,	0.23279,	1.59628,	0.399069,	0.0332557,	0.332557,	1.1307,	0.997672,	0.764882,	0,	4.98836,	0.432325,	3.85767,	3.82441,	0,	5.88627,	0.897905,	2.39441,	0.964416,	0.23279,	0.46558,	0.532092,	0.133023,	0.133023,	0,	0.0665115,	0.0332557,	0.0332557,	0,	0.0332557,	0,	1.26372,	
HA-h,	0.154226,	13.6953,	1.26465,	0.462677,	1.63479,	0.339297,	0.616903,	0.801974,	0.9562,	0.0308452,	3.11536,	1.75817,	1.78902,	0.801974,	0.709439,	1.14127,	0.154226,	0.0925355,	0.801974,	0.123381,	0.863664,	0.647748,	0.678593,	0.431832,	0.0616903,	0.185071,	1.75817,	0.400987,	0.987045,	0.616903,	0.339297,	2.31339,	0.740284,	0.832819,	0.647748,	0.524368,	0.987045,	2.00494,	0.370142,	0.400987,	0.185071,	0.740284,	1.44972,	0.0925355,	0.215916,	0.185071,	0.0925355,	0.246761,	2.83775,	1.11043,	0.0616903,	0.246761,	0.524368,	1.14127,	0.555213,	2.06663,	0.493522,	0.493522,	0.215916,	2.89944,	0.493522,	0.832819,	0.0616903,	1.17212,	0.0616903,	0.400987,	0,	0.246761,	2.59099,	0.185071,	1.14127,	0.647748,	0.0925355,	0.400987,	1.2955,	1.23381,	0.89451,	0.0925355,	4.56508,	1.17212,	3.36212,	3.36212,	0,	5.3979,	1.14127,	2.12832,	0.9562,	0.277606,	0.89451,	0.493522,	0.493522,	0.123381,	0.0925355,	0.185071,	0.154226,	0,	0.0308452,	0.123381,	0.0308452,	1.07958,	
HAEpiC,	0.165125,	12.8137,	1.02378,	0.627477,	1.94848,	0.264201,	0.462351,	0.660502,	0.858653,	0,	3.69881,	1.88243,	3.20343,	0.528402,	0.660502,	1.61823,	0.1321,	0.0330251,	0.990753,	0.198151,	1.02378,	0.462351,	0.165125,	0.462351,	0.0330251,	0.165125,	1.12285,	0.231176,	1.1889,	0.429326,	0.0330251,	1.61823,	0.561427,	1.0568,	0.363276,	0.825628,	0.858653,	3.13738,	0.0660502,	0.231176,	0.198151,	0.561427,	1.12285,	0,	0.0990753,	0.198151,	0.0990753,	0.165125,	2.77411,	0.429326,	0.0990753,	0.0660502,	0.495376,	1.42008,	0.0990753,	1.55218,	0.396301,	0.561427,	0.165125,	4.49141,	0.495376,	0.495376,	0.0660502,	0.957728,	0,	0.1321,	0.0330251,	0.0990753,	4.35931,	0.1321,	1.78336,	0.396301,	0.0990753,	0.198151,	0.792602,	0.924703,	0.495376,	0.0330251,	5.41612,	0.363276,	4.59049,	4.35931,	0,	6.50594,	0.660502,	1.94848,	0.858653,	0.0990753,	0.594452,	0.528402,	0.0990753,	0.0990753,	0.0660502,	0.0660502,	0.198151,	0,	0.0330251,	0.0330251,	0.0660502,	1.12285,	
HCF,	0.131148,	15.5082,	1.37705,	0.52459,	2.13115,	0.262295,	0.688525,	0.557377,	1.11475,	0,	3.70492,	1.70492,	2.55738,	0.393443,	0.819672,	1.08197,	0.229508,	0,	1.21311,	0.229508,	1.01639,	0.622951,	0.262295,	0.655738,	0,	0.196721,	1.47541,	0.622951,	0.95082,	0.327869,	0.163934,	1.77049,	0.196721,	0.983607,	0.655738,	0.983607,	0.885246,	2.16393,	0.327869,	0.262295,	0.262295,	0.688525,	0.819672,	0.0655738,	0.0655738,	0.163934,	0.0983607,	0.196721,	2.81967,	0.42623,	0.0327869,	0.196721,	0.52459,	1.5082,	0.229508,	1.93443,	0.327869,	0.622951,	0.0983607,	3.08197,	0.295082,	0.721311,	0.0327869,	1.01639,	0.0983607,	0.0655738,	0,	0.229508,	2.98361,	0.229508,	1.2459,	0.721311,	0.0327869,	0.360656,	1.14754,	1.34426,	0.721311,	0,	4.62295,	1.01639,	3.67213,	3.40984,	0.0327869,	5.27869,	0.688525,	2.52459,	1.04918,	0.0655738,	0.327869,	0.491803,	0.262295,	0.131148,	0.229508,	0.131148,	0.0983607,	0,	0.0327869,	0.0983607,	0.0655738,	1.60656,	
HCM,	0.197759,	14.5682,	1.71391,	0.494397,	2.04351,	0.197759,	0.461437,	0.527357,	0.791035,	0,	3.39486,	1.97759,	2.43902,	0.593276,	0.823995,	1.25247,	0.329598,	0.164799,	1.54911,	0.164799,	0.758075,	0.692156,	0.560316,	0.461437,	0.0659196,	0.230719,	1.41727,	0.395517,	1.38431,	0.395517,	0.263678,	1.51615,	0.230719,	1.02175,	0.659196,	0.823995,	0.922874,	2.90046,	0.131839,	0.230719,	0.0329598,	0.659196,	1.02175,	0.0659196,	0.131839,	0.164799,	0.0659196,	0.0659196,	2.90046,	0.593276,	0.0329598,	0.230719,	0.329598,	1.45023,	0.263678,	1.74687,	0.593276,	0.296638,	0.0988794,	3.3619,	0.131839,	0.791035,	0.0988794,	1.02175,	0.0659196,	0.0659196,	0,	0.0988794,	3.1971,	0.197759,	1.84575,	0.725115,	0.0659196,	0.296638,	1.08767,	1.21951,	0.725115,	0,	4.61437,	0.758075,	3.1971,	4.02109,	0,	6.09756,	1.05471,	2.34015,	0.659196,	0.0659196,	0.296638,	0.329598,	0.329598,	0.0988794,	0.164799,	0.0988794,	0.0329598,	0,	0,	0,	0.0659196,	1.28543,	
