cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0561377,	21.7814,	2.86302,	1.29117,	3.05015,	1.40344,	0.318114,	0.58009,	0.130988,	0.692365,	0.187126,	1.16018,	0.785928,	0.280689,	0.636228,	0.72979,	0.954341,	1.96482,	0.261976,	0.467814,	0.636228,	0.355539,	1.44087,	0.823353,	0.336826,	0.299401,	0.355539,	0.58009,	0.0374252,	0.0561377,	0.318114,	2.00225,	0.449102,	1.74027,	0.224551,	0.617515,	1.0479,	0.767216,	2.17066,	1.60928,	0.898204,	0.842066,	0.205838,	0.673653,	0.112275,	0.0748503,	0.542665,	0.112275,	0.954341,	0.280689,	0.168413,	0.336826,	0.149701,	2.76946,	2.78817,	2.41392,	0.0374252,	0.336826,	0.112275,	0.617515,	0.411677,	1.53443,	1.01048,	0.336826,	0.168413,	1.08533,	0.0561377,	1.9274,	1.42216,	0.486527,	0.430389,	2.50749,	0.205838,	0.187126,	3.44311,	0.486527,	2.6759,	0.0935629,	0.692365,	0.711078,	0.430389,	0.243263,	0.243263,	0.336826,	0.561377,	1.21632,	1.74027,	0.112275,	0.168413,	0.112275,	0,	0.0935629,	0.0561377,	0.804641,	0.0374252,	0.130988,	0.561377,	0.318114,	0.542665,	2.5262,	
AoAF,	0,	23.0889,	3.39747,	0.849367,	2.73878,	0.970706,	0.156006,	0.762697,	0.0866701,	0.606691,	0.138672,	0.953371,	0.710695,	0.208008,	0.450685,	0.710695,	0.953371,	1.71607,	0.277344,	0.398683,	0.537355,	0.502687,	1.14405,	0.485353,	0.277344,	0.502687,	0.277344,	0.641359,	0.0693361,	0.017334,	0.346681,	2.25342,	0.329347,	1.95875,	0.26001,	0.416017,	1.24805,	0.624025,	2.04542,	1.33472,	1.05738,	0.884035,	0.225342,	0.589357,	0.104004,	0.208008,	0.329347,	0.190674,	0.866701,	0.416017,	0.208008,	0.329347,	0.104004,	3.50147,	3.12012,	2.86011,	0.017334,	0.138672,	0.0693361,	0.606691,	0.190674,	2.02808,	1.07471,	0.346681,	0.104004,	1.21338,	0.0520021,	2.23609,	0.901369,	0.225342,	0.554689,	2.89478,	0.121338,	0.138672,	3.55348,	0.537355,	1.97608,	0.0693361,	0.624025,	0.953371,	0.398683,	0.156006,	0.138672,	0.381349,	0.814699,	1.35205,	1.75074,	0.121338,	0.277344,	0.138672,	0.017334,	0.17334,	0.017334,	0.589357,	0.0693361,	0.0866701,	0.450685,	0.225342,	0.364015,	2.40943,	
CD20+,	0.0411946,	29.2276,	2.67765,	0.92688,	3.02781,	0.638517,	0.144181,	0.473738,	0.0823893,	0.494336,	0.205973,	1.27703,	1.05046,	0.185376,	0.494336,	1.29763,	0.720906,	0.782698,	0.350154,	0.494336,	0.370752,	0.370752,	0.84449,	0.803296,	0.329557,	0.453141,	0.288363,	0.432544,	0.123584,	0.144181,	0.288363,	1.48301,	0.267765,	2.34809,	0.30896,	0.370752,	0.720906,	0.988671,	0.968074,	2.16272,	0.865088,	0.576725,	0.102987,	0.53553,	0.144181,	0.144181,	0.267765,	0.185376,	1.91555,	0.329557,	0.061792,	0.411946,	0.123584,	2.63646,	2.08033,	1.5448,	0,	0.226571,	0.0411946,	0.391349,	0.226571,	0.885685,	0.720906,	0.288363,	0.061792,	0.885685,	0.0411946,	1.5448,	2.08033,	0.30896,	0.453141,	3.02781,	0.144181,	0.226571,	3.15139,	0.494336,	3.0484,	0.123584,	1.23584,	0.432544,	0.370752,	0.30896,	0.0823893,	0.473738,	0.700309,	1.00927,	1.64779,	0.061792,	0.329557,	0.185376,	0,	0.164779,	0.102987,	0.514933,	0.061792,	0.061792,	0.30896,	0.185376,	0.453141,	2.34809,	
GM06990,	0,	30.3621,	1.84857,	0.658395,	1.89921,	1.03824,	0.633072,	0.607749,	0.126614,	0.126614,	0.101291,	3.46923,	2.40567,	0.227906,	1.24082,	1.2155,	0.810332,	0.17726,	0.557103,	0.278552,	1.01291,	0.607749,	0.101291,	2.22841,	0.0253229,	0.227906,	0.582426,	0.607749,	0.202583,	0.227906,	0.253229,	0.582426,	0.35452,	2.91213,	0.607749,	0.126614,	0.633072,	2.40567,	0.227906,	2.02583,	0.911623,	0.607749,	0.253229,	0.53178,	0.253229,	0.0506457,	0.0759686,	0.202583,	1.13953,	1.01291,	0.0506457,	0.227906,	0.303874,	3.06407,	0.633072,	0.911623,	0.278552,	0.405166,	0.126614,	0.683717,	0.227906,	0.8863,	0.101291,	0.860977,	0,	0.278552,	0.0253229,	1.64599,	1.31679,	0.0253229,	0.379843,	2.50696,	0.151937,	0.582426,	3.11471,	0.430489,	1.08888,	0.17726,	2.53229,	0.278552,	0.430489,	0.329197,	0.0253229,	0.734363,	0.8863,	1.19017,	1.34211,	0,	0.860977,	0.17726,	0.0759686,	0.0506457,	0.227906,	0.101291,	0.151937,	0.101291,	0.0759686,	0.202583,	0.151937,	0.810332,	
GM12865,	0.0380084,	23.6792,	2.86963,	0.760167,	2.67959,	0.931205,	0.114025,	0.608134,	0.247054,	0.722159,	0.0950209,	1.46332,	1.14025,	0.285063,	0.247054,	1.19726,	0.513113,	1.08324,	0.342075,	0.304067,	0.551121,	0.304067,	1.10224,	0.798176,	0.361079,	0.437096,	0.285063,	0.760167,	0.171038,	0.114025,	0.342075,	1.72938,	0.513113,	2.33751,	0.570125,	0.551121,	1.06423,	1.12125,	2.05245,	1.91942,	0.760167,	0.627138,	0.171038,	0.551121,	0.0950209,	0.171038,	0.285063,	0.0760167,	1.12125,	0.152033,	0.0380084,	0.266059,	0.133029,	2.75561,	2.37552,	1.86241,	0.0380084,	0.247054,	0.0190042,	0.513113,	0.209046,	1.23527,	0.988217,	0.418092,	0.133029,	1.04523,	0.0380084,	1.86241,	2.12847,	0.4561,	0.380084,	2.85063,	0.0950209,	0.190042,	3.36374,	0.399088,	2.83162,	0.152033,	1.12125,	0.969213,	0.266059,	0.209046,	0.133029,	0.513113,	0.722159,	1.3493,	2.03345,	0.0380084,	0.304067,	0.209046,	0.0380084,	0.285063,	0.114025,	0.836184,	0.0760167,	0.0950209,	0.399088,	0.266059,	0.342075,	2.24249,	
H7-hESC,	0,	24.2704,	3.67162,	0.677838,	3.01262,	0.80964,	0.32009,	0.677838,	0.0941442,	0.451892,	0.225946,	1.76991,	0.80964,	0.225946,	0.414235,	0.941442,	0.80964,	1.20505,	0.32009,	0.244775,	0.32009,	0.640181,	0.9791,	0.65901,	0.131802,	0.357748,	0.32009,	0.715496,	0.150631,	0.0188288,	0.338919,	1.58162,	0.282433,	2.52307,	0.282433,	0.48955,	1.03559,	0.696667,	1.48748,	1.37451,	0.621352,	0.790812,	0.0753154,	0.640181,	0.16946,	0.131802,	0.357748,	0.263604,	1.37451,	0.32009,	0.150631,	0.244775,	0.0753154,	2.71135,	1.65694,	2.97496,	0,	0.188288,	0.0376577,	0.583694,	0.244775,	1.65694,	0.9791,	0.376577,	0.112973,	1.01676,	0,	2.74901,	1.52514,	0.338919,	0.414235,	3.44568,	0.150631,	0.32009,	4.27415,	0.527208,	1.88288,	0.16946,	0.753154,	0.564865,	0.244775,	0.131802,	0.0376577,	0.282433,	0.734325,	1.76991,	1.9582,	0.112973,	0.376577,	0.207117,	0.0376577,	0.112973,	0.0376577,	0.621352,	0.0564865,	0.0941442,	0.225946,	0.32009,	0.282433,	2.14649,	
HA-h,	0.117925,	18.2446,	2.98181,	1.28032,	2.12264,	1.04447,	0.320081,	0.724394,	0.117925,	0.859164,	0.117925,	1.1624,	0.977089,	0.336927,	0.774933,	0.673854,	0.92655,	1.76887,	0.488544,	0.320081,	0.640162,	0.522237,	1.41509,	0.724394,	0.505391,	0.454852,	0.488544,	0.977089,	0.151617,	0.18531,	0.724394,	1.73518,	0.505391,	1.71833,	0.219003,	0.74124,	1.06132,	0.55593,	2.0721,	1.22978,	1.53302,	1.04447,	0.320081,	0.993935,	0.303235,	0.336927,	0.74124,	0.320081,	0.707547,	0.303235,	0.202156,	0.336927,	0.303235,	3.08288,	2.86388,	3.20081,	0.0842318,	0.286388,	0.0505391,	0.606469,	0.320081,	1.65094,	1.02763,	0.37062,	0.134771,	1.53302,	0.134771,	1.73518,	0.673854,	0.404313,	0.488544,	2.45957,	0.235849,	0.235849,	3.11658,	0.859164,	1.61725,	0.286388,	0.774933,	0.859164,	0.572776,	0.37062,	0.235849,	0.539084,	0.960243,	1.21294,	1.53302,	0.134771,	0.454852,	0.168464,	0.101078,	0.454852,	0.0842318,	0.774933,	0.0673854,	0.18531,	0.724394,	0.404313,	0.438005,	2.05526,	
HAEpiC,	0.0183891,	23.4461,	3.32843,	0.919456,	2.62964,	0.956234,	0.20228,	0.809121,	0.147113,	0.386171,	0.220669,	1.6918,	0.698786,	0.20228,	0.459728,	0.937845,	1.12174,	1.93086,	0.367782,	0.275837,	0.441339,	0.496506,	0.882677,	0.606841,	0.183891,	0.331004,	0.404561,	0.662008,	0.0735565,	0.0551673,	0.331004,	1.76535,	0.294226,	2.22508,	0.20228,	0.551673,	1.04818,	0.62523,	1.71019,	1.43435,	0.993012,	0.919456,	0.220669,	0.588452,	0.0919456,	0.128724,	0.551673,	0.147113,	0.919456,	0.294226,	0.128724,	0.275837,	0.128724,	3.2181,	2.8687,	3.0342,	0,	0.220669,	0.0367782,	0.551673,	0.331004,	1.56307,	0.845899,	0.349393,	0.0919456,	1.48952,	0.0919456,	2.33542,	1.25046,	0.257448,	0.42295,	3.19971,	0.110335,	0.275837,	3.5491,	0.588452,	1.50791,	0.0919456,	0.62523,	1.1769,	0.514895,	0.128724,	0.0367782,	0.404561,	0.680397,	1.61824,	1.61824,	0.0735565,	0.312615,	0.0919456,	0,	0.147113,	0.0551673,	0.570063,	0.0919456,	0.147113,	0.312615,	0.20228,	0.331004,	2.11475,	
HCF,	0.0360036,	20.396,	3.09631,	0.990099,	2.46625,	1.26013,	0.216022,	0.468047,	0.144014,	0.612061,	0.306031,	1.26013,	1.0081,	0.432043,	0.558056,	0.612061,	0.70207,	1.74617,	0.360036,	0.450045,	0.432043,	0.450045,	1.54815,	0.864086,	0.522052,	0.468047,	0.432043,	0.774077,	0.090009,	0.108011,	0.378038,	2.26823,	0.648065,	1.42214,	0.39604,	0.792079,	0.936094,	0.558056,	2.30423,	1.45815,	0.90009,	0.70207,	0.19802,	0.594059,	0.126013,	0.360036,	0.594059,	0.144014,	0.918092,	0.39604,	0.162016,	0.432043,	0.144014,	2.66427,	2.62826,	2.59226,	0,	0.342034,	0.108011,	0.720072,	0.414041,	1.22412,	1.20612,	0.648065,	0.216022,	1.49415,	0.0540054,	2.07021,	1.63816,	0.540054,	0.324032,	1.9982,	0.0540054,	0.360036,	3.40234,	0.360036,	2.30423,	0.216022,	0.558056,	0.918092,	0.378038,	0.306031,	0.126013,	0.558056,	0.666067,	1.47615,	1.81818,	0.0540054,	0.378038,	0.180018,	0,	0.126013,	0.108011,	1.0261,	0.0540054,	0.144014,	0.486049,	0.19802,	0.432043,	2.79028,	
