cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	22.9084,	1.50808,	1.11311,	1.6158,	1.93896,	0.179533,	0.610413,	0.143627,	0.0359066,	0.466786,	2.54937,	1.65171,	0.897666,	1.00539,	2.11849,	1.50808,	0.179533,	0.897666,	0.10772,	1.18492,	0.466786,	0.0718133,	0.64632,	0.0359066,	0.10772,	0.43088,	0.21544,	0.0718133,	0.0359066,	0.969479,	2.40575,	0.251346,	2.22621,	0.287253,	0.75404,	2.26212,	3.41113,	0.574506,	1.18492,	0.502693,	0.718133,	0.466786,	0.21544,	0.0718133,	0.0359066,	0.10772,	0.143627,	1.6158,	0.21544,	0.143627,	0,	0.287253,	2.47756,	0.359066,	1.0772,	0.0359066,	1.25673,	0.0718133,	1.43627,	0,	0.861759,	0.394973,	0.64632,	0.143627,	0.359066,	0.10772,	1.86715,	5.386,	0,	1.00539,	2.1544,	0.0718133,	0.10772,	2.44165,	0.64632,	0.287253,	0.0718133,	0.933573,	0.179533,	0.32316,	0.143627,	0.0359066,	1.18492,	0.43088,	3.87792,	2.693,	0.0359066,	0.5386,	1.22083,	0,	0.10772,	0.21544,	0.0359066,	0.0359066,	0.143627,	0.0718133,	0.0359066,	0.0718133,	0.861759,	
AoAF,	0,	21.2935,	2.35489,	0.630182,	1.09453,	2.38806,	0.298507,	0.762852,	0.199005,	0,	0.26534,	2.32172,	1.82421,	1.16086,	1.45937,	1.59204,	1.5257,	0.199005,	0.862355,	0.165837,	1.19403,	0.995025,	0.0331675,	0.497512,	0.0331675,	0.232172,	0.364842,	0.165837,	0.0995025,	0.0331675,	1.16086,	3.54892,	0.199005,	1.95688,	0.232172,	1.29353,	3.08458,	3.54892,	0.0995025,	0.995025,	0.39801,	0.464345,	0.729685,	0.232172,	0.232172,	0.0331675,	0.0995025,	0.165837,	1.35987,	0.232172,	0.066335,	0.0331675,	0.0995025,	3.15091,	0.53068,	1.2272,	0.0331675,	0.762852,	0.0995025,	1.75788,	0.066335,	0.729685,	0.298507,	0.92869,	0.066335,	0.298507,	0.0995025,	1.69154,	4.01327,	0,	0.829187,	2.22222,	0,	0.0331675,	2.62023,	0.961857,	0.464345,	0,	0.298507,	0.431177,	0.26534,	0.0995025,	0,	1.12769,	0.331675,	3.61526,	2.32172,	0.066335,	1.12769,	1.55887,	0.066335,	0.066335,	0.26534,	0.066335,	0,	0,	0.0995025,	0.066335,	0.066335,	0.862355,	
CD20+,	0.0377786,	26.8984,	1.47337,	0.906687,	1.92671,	0.906687,	0.377786,	0.566679,	0.151114,	0,	0.26445,	2.41783,	2.6445,	0.755572,	0.868908,	2.68228,	1.28447,	0.151114,	0.793351,	0.302229,	1.20892,	0.340008,	0.188893,	1.62448,	0,	0.188893,	0.302229,	0.0755572,	0.188893,	0.226672,	1.43559,	1.54892,	0.26445,	1.66226,	0.566679,	0.453343,	1.85115,	3.81564,	0.0755572,	1.43559,	0.566679,	0.642237,	0.642237,	0.453343,	0.0755572,	0,	0.226672,	0.26445,	1.43559,	0.717794,	0.302229,	0.113336,	0.226672,	2.53117,	0.491122,	0.755572,	0.0755572,	0.793351,	0,	1.13336,	0,	1.09558,	0.566679,	0.604458,	0.151114,	0.415565,	0,	1.62448,	3.92898,	0,	0.604458,	2.26672,	0,	0.226672,	1.81337,	0.528901,	0.680015,	0,	0.944465,	0.151114,	0.642237,	0.113336,	0.0755572,	1.13336,	0.226672,	2.07782,	2.45561,	0.0377786,	0.680015,	0.680015,	0.0755572,	0.0755572,	0.453343,	0,	0.0377786,	0,	0.0755572,	0.151114,	0.113336,	0.982244,	
GM06990,	0.0941176,	27.0118,	3.2,	0.894118,	3.29412,	0.282353,	0.8,	0.188235,	0.423529,	0.0941176,	0.329412,	2.07059,	1.41176,	0,	0.470588,	0.8,	0.564706,	0.658824,	0.470588,	0.470588,	0.988235,	0.8,	0.188235,	0.894118,	0.141176,	0.376471,	0.188235,	0.658824,	0,	0.141176,	0.329412,	0.517647,	0.188235,	2.4,	0.423529,	0.0941176,	0.423529,	1.92941,	0.894118,	1.22353,	0.423529,	1.03529,	0.141176,	0.188235,	0.188235,	0.0470588,	0.235294,	0.564706,	3.95294,	0.423529,	0.0941176,	0.282353,	0.470588,	2.58824,	1.22353,	1.03529,	0.0941176,	0.188235,	0.0470588,	0.329412,	0.376471,	1.12941,	0.282353,	0.517647,	0.0470588,	0.658824,	0,	1.22353,	1.08235,	0.188235,	0.329412,	2.72941,	0,	0.0941176,	5.92941,	0.423529,	1.45882,	0.0470588,	1.22353,	0.517647,	0.988235,	0.376471,	0,	0.282353,	1.17647,	1.55294,	3.52941,	0,	0.705882,	0.0470588,	0.0470588,	0,	0.235294,	0.282353,	0.141176,	0,	0.0941176,	0,	0.282353,	2.11765,	
GM12865,	0.0353107,	24.5056,	1.9774,	0.670904,	1.34181,	1.51836,	0.247175,	0.353107,	0.141243,	0.105932,	0.423729,	2.43644,	1.48305,	0.635593,	1.02401,	1.6596,	1.12994,	0.0706215,	0.741525,	0.141243,	1.27119,	0.882768,	0.105932,	0.741525,	0.0353107,	0.353107,	0.247175,	0.317797,	0.0706215,	0.0353107,	0.988701,	2.61299,	0.141243,	1.94209,	0.141243,	0.988701,	2.61299,	3.60169,	0.176554,	1.41243,	0.423729,	0.45904,	0.706215,	0.141243,	0.176554,	0,	0.105932,	0.0706215,	1.20056,	0.45904,	0.211864,	0.176554,	0.317797,	2.78955,	0.423729,	1.16525,	0.247175,	0.776836,	0.0353107,	1.55367,	0,	0.95339,	0.423729,	0.706215,	0.141243,	0.353107,	0.0353107,	1.87147,	4.48446,	0,	1.02401,	2.75424,	0.141243,	0.105932,	1.73023,	0.918079,	0.741525,	0,	0.988701,	0.45904,	0.317797,	0.211864,	0,	1.12994,	0.423729,	3.42514,	2.22458,	0,	0.741525,	1.37712,	0.0353107,	0.105932,	0.0706215,	0.141243,	0,	0.0353107,	0.105932,	0.0353107,	0.0353107,	0.988701,	
H7-hESC,	0,	21.7198,	2.70641,	0.650908,	1.33607,	2.39808,	0.342583,	0.582391,	0.0342583,	0.0342583,	0.4111,	1.98698,	1.91847,	1.26756,	1.19904,	1.81569,	1.81569,	0.102775,	0.753683,	0.239808,	1.30182,	0.822199,	0,	0.342583,	0.0342583,	0.20555,	0.20555,	0.239808,	0.102775,	0,	0.924974,	2.43234,	0.20555,	1.78143,	0.239808,	1.2333,	2.94621,	3.15176,	0.171292,	0.890716,	0.4111,	0.685166,	0.822199,	0.239808,	0.171292,	0.0685166,	0.137033,	0.171292,	1.43885,	0.513875,	0.102775,	0.171292,	0.20555,	2.91196,	0.376841,	1.71292,	0.0342583,	0.856458,	0.0342583,	1.2333,	0.0685166,	0.993491,	0.342583,	0.890716,	0.171292,	0.274066,	0.0342583,	1.71292,	4.17951,	0.0342583,	0.959233,	2.36382,	0.0342583,	0.137033,	3.01473,	0.685166,	0.376841,	0,	0.513875,	0.376841,	0.20555,	0,	0,	0.787941,	0.479616,	4.14526,	2.39808,	0.102775,	0.719424,	1.71292,	0,	0.102775,	0.171292,	0.0342583,	0,	0.137033,	0.171292,	0.0685166,	0.0342583,	0.719424,	
HA-h,	0.063857,	18.1034,	2.36271,	1.40485,	1.21328,	1.5645,	0.478927,	0.63857,	0.41507,	0.127714,	0.63857,	1.24521,	1.91571,	1.08557,	1.5645,	1.14943,	1.24521,	0.159642,	0.734355,	0.510856,	1.5645,	0.830141,	0.0319285,	0.734355,	0.0319285,	0.446999,	0.351213,	0.127714,	0.287356,	0.383142,	1.78799,	2.39464,	0.478927,	1.18135,	0.41507,	0.798212,	3.00128,	3.28863,	0.446999,	0.606641,	0.542784,	0.542784,	1.1175,	0.63857,	0.255428,	0.063857,	0.191571,	0.223499,	0.957854,	0.862069,	0.41507,	0.063857,	0.606641,	3.09706,	1.30907,	1.40485,	0.41507,	0.798212,	0.063857,	1.46871,	0.0319285,	1.50064,	0.63857,	1.18135,	0.223499,	0.319285,	0.063857,	1.78799,	3.00128,	0.0319285,	0.798212,	1.69221,	0.0957854,	0.191571,	2.26692,	1.21328,	0.510856,	0.223499,	0.925926,	0.223499,	0.542784,	0.223499,	0,	1.81992,	0.446999,	2.61814,	1.91571,	0.0957854,	0.893997,	1.59642,	0.0319285,	0.127714,	0.63857,	0.191571,	0,	0.063857,	0.223499,	0.127714,	0,	0.670498,	
HAEpiC,	0,	22.5045,	2.32558,	0.465116,	1.28801,	1.78891,	0.322004,	0.608229,	0.107335,	0,	0.429338,	2.57603,	2.11091,	0.930233,	1.50268,	1.93202,	1.61002,	0.250447,	1.03757,	0.322004,	1.6458,	0.572451,	0.107335,	0.250447,	0,	0.178891,	0.214669,	0.107335,	0.0715563,	0.0715563,	1.18068,	2.7907,	0.107335,	1.43113,	0.357782,	0.715563,	2.11091,	3.36315,	0.357782,	1.18068,	0.500894,	0.536673,	0.751342,	0.250447,	0.178891,	0,	0.178891,	0.107335,	1.46691,	0.322004,	0,	0.143113,	0.250447,	2.68336,	0.429338,	1.00179,	0.0357782,	0.78712,	0.0715563,	1.53846,	0.0715563,	0.78712,	0.465116,	0.572451,	0.107335,	0.429338,	0,	1.86047,	4.65116,	0,	1.1449,	2.36136,	0.0357782,	0.107335,	2.54025,	0.966011,	0.429338,	0,	0.715563,	0.286225,	0.107335,	0.107335,	0,	1.53846,	0.608229,	3.25581,	2.57603,	0.0357782,	1.21646,	1.68157,	0.0357782,	0.0715563,	0.107335,	0,	0,	0,	0.0715563,	0.0715563,	0.0715563,	0.751342,	
HCF,	0,	21.5012,	2.1396,	0.561207,	1.26271,	2.03437,	0.245528,	0.526131,	0.175377,	0.0350754,	0.315679,	2.31498,	1.68362,	0.982112,	1.05226,	1.7187,	1.75377,	0.420905,	0.736584,	0.210452,	1.12241,	0.771659,	0.140302,	0.526131,	0,	0.140302,	0.45598,	0.105226,	0.105226,	0.175377,	1.43809,	3.05156,	0.210452,	1.57839,	0.420905,	1.05226,	2.91126,	3.05156,	0.245528,	1.12241,	0.491056,	0.911961,	0.982112,	0.315679,	0.0350754,	0.0701508,	0.105226,	0.105226,	1.22764,	0.561207,	0.140302,	0,	0.280603,	2.91126,	0.526131,	1.05226,	0,	1.15749,	0.0701508,	1.54332,	0.105226,	1.05226,	0.526131,	0.561207,	0.0701508,	0.175377,	0.0701508,	1.75377,	4.62995,	0,	0.876885,	2.52543,	0,	0.140302,	2.06945,	0.701508,	0.596282,	0.0350754,	0.911961,	0.420905,	0.420905,	0.105226,	0,	1.22764,	0.420905,	3.43739,	2.31498,	0,	0.561207,	1.68362,	0.0350754,	0.0350754,	0.315679,	0,	0.0701508,	0.0701508,	0.140302,	0.175377,	0.0350754,	0.947036,	
HCM,	0.0355114,	23.473,	1.70455,	0.852273,	1.17188,	1.34943,	0.319602,	0.639205,	0.0355114,	0.0710227,	0.426136,	2.13068,	1.49148,	1.34943,	1.20739,	1.95312,	1.52699,	0.177557,	0.852273,	0.284091,	1.02983,	0.745739,	0.0355114,	0.78125,	0.0355114,	0.24858,	0.426136,	0.177557,	0.0710227,	0.0710227,	1.17188,	2.62784,	0.142045,	1.95312,	0.284091,	0.745739,	2.55682,	3.40909,	0.24858,	0.78125,	0.568182,	0.923295,	0.852273,	0.319602,	0.177557,	0.0710227,	0.177557,	0.177557,	1.20739,	0.284091,	0.142045,	0.0355114,	0.390625,	2.66335,	0.568182,	1.20739,	0.142045,	1.13636,	0.0355114,	1.45597,	0.0355114,	1.02983,	0.426136,	0.887784,	0.177557,	0.426136,	0.177557,	1.77557,	4.01278,	0.0355114,	1.20739,	1.59801,	0,	0.0710227,	2.23722,	0.994318,	0.497159,	0.0710227,	0.674716,	0.390625,	0.213068,	0.177557,	0,	1.31392,	0.355114,	3.97727,	2.41477,	0.0355114,	0.568182,	1.66903,	0.106534,	0.0710227,	0.106534,	0.106534,	0,	0.106534,	0.0710227,	0.0355114,	0.0355114,	0.78125,	
