cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.114077,	20.0548,	3.65047,	1.52863,	3.23979,	0.342231,	0.433493,	0.205339,	0.114077,	0.296601,	0.273785,	1.20922,	1.04951,	0.182523,	0.684463,	1.09514,	0.775724,	0.775724,	1.89368,	1.64271,	0.821355,	0.456308,	0.342231,	3.23979,	0.0684463,	0.524755,	0.273785,	1.02669,	0.0912617,	0.114077,	0.935432,	0.54757,	0.501939,	2.16747,	2.2131,	0.456308,	0.684463,	4.40338,	1.1864,	1.82523,	0.844171,	0.479124,	0.136893,	0.889802,	0.273785,	0.0456308,	0.296601,	0.228154,	0.593201,	1.00388,	0.433493,	0.456308,	0.205339,	1.96213,	1.14077,	1.68834,	0.0684463,	0.205339,	0.0228154,	0.456308,	0.205339,	1.73397,	0.524755,	1.02669,	0.159708,	0.958248,	0.136893,	2.00776,	0.730094,	0.319416,	0.25097,	2.30436,	0.114077,	0.661647,	2.2131,	1.27766,	1.57426,	0.0912617,	0.730094,	0.501939,	0.387862,	0.25097,	0.273785,	0.182523,	0.501939,	1.1864,	1.483,	0.0684463,	0.730094,	0.0912617,	0.114077,	0.136893,	0.958248,	0.319416,	0.136893,	0.114077,	0.182523,	0.159708,	0.25097,	2.0762,	
AoAF,	0.0635459,	22.0292,	4.51176,	1.41919,	3.32557,	0.148274,	0.338911,	0.360093,	0,	0.233001,	0.487185,	1.24974,	1.01673,	0.233001,	0.360093,	0.76255,	1.03792,	1.0591,	1.80047,	2.3512,	1.16501,	0.402457,	0.275365,	2.20292,	0.0635459,	0.487185,	0.148274,	0.889642,	0.0635459,	0.148274,	1.22855,	0.338911,	0.360093,	2.77484,	1.69456,	0.0635459,	0.76255,	3.13493,	1.16501,	1.37683,	0.635459,	0.423639,	0.0847278,	1.10146,	0.317729,	0.0847278,	0.360093,	0.190638,	0.741368,	0.932006,	0.487185,	0.508367,	0.0635459,	2.47829,	1.20737,	2.22411,	0.0847278,	0.169456,	0.021182,	0.571913,	0.169456,	1.92756,	0.76255,	0.86846,	0.0847278,	1.0591,	0.021182,	2.24529,	0.275365,	0.296547,	0.338911,	2.79602,	0.0635459,	0.381275,	1.90638,	1.20737,	1.0591,	0.148274,	0.550731,	0.720186,	0.338911,	0.254183,	0.10591,	0.21182,	0.635459,	1.50392,	1.37683,	0.0847278,	0.614277,	0.190638,	0.0635459,	0.0423639,	0.86846,	0.21182,	0.0847278,	0.0847278,	0.0847278,	0.148274,	0.360093,	1.63101,	
CD20+,	0.166905,	23.8436,	2.7897,	1.0968,	3.38579,	0.405341,	0.214592,	0.405341,	0.143062,	0.190749,	0.643777,	1.33524,	1.04912,	0.309967,	0.357654,	1.12065,	0.739151,	0.715308,	1.69289,	1.54983,	0.643777,	0.190749,	0.381497,	3.05198,	0.0953743,	0.405341,	0.262279,	0.453028,	0.0953743,	0.309967,	0.66762,	0.500715,	0.238436,	2.74201,	1.90749,	0.33381,	0.619933,	4.62566,	0.643777,	1.76443,	0.643777,	0.476872,	0.238436,	1.23987,	0.286123,	0.0715308,	0.453028,	0.166905,	0.953743,	1.04912,	0.429185,	0.405341,	0.214592,	1.76443,	1.21602,	1.04912,	0.0953743,	0.262279,	0.0476872,	0.453028,	0.143062,	1.12065,	0.572246,	0.66762,	0.0953743,	0.572246,	0.143062,	1.57368,	0.977587,	0.190749,	0.381497,	3.00429,	0.0715308,	0.66762,	2.98045,	0.810682,	1.62136,	0.190749,	0.953743,	0.309967,	0.262279,	0.0953743,	0.166905,	0.0476872,	0.500715,	1.12065,	1.35908,	0.0476872,	0.882213,	0.143062,	0.0238436,	0.166905,	1.62136,	0.381497,	0.143062,	0.0476872,	0.119218,	0.166905,	0.286123,	1.76443,	
GM06990,	0.0575209,	24.3026,	4.19902,	0.949094,	1.86943,	0.66149,	0.143802,	0.258844,	0.258844,	0.287604,	0.402646,	3.96894,	1.58182,	0.143802,	1.2367,	0.977854,	0.546448,	0.258844,	0.373886,	0.316365,	0.776532,	0.316365,	0.488927,	1.00661,	0.172563,	0.517688,	0.862813,	0.920334,	0.460167,	0.345125,	0.345125,	0.431406,	1.49554,	2.27207,	0.143802,	0.115042,	0.69025,	2.12827,	0.920334,	1.6681,	0.834052,	0.402646,	0.258844,	0.258844,	0.143802,	0.115042,	0,	0.115042,	1.32298,	0.488927,	0.143802,	0.258844,	0.201323,	3.19241,	0.862813,	0.603969,	0.115042,	0.402646,	0.0575209,	0.834052,	0.517688,	1.15042,	1.06414,	0.977854,	0.0862813,	0.719011,	0,	1.3805,	1.03538,	0.488927,	0.66149,	2.01323,	0.0862813,	0.316365,	1.95571,	0.287604,	3.07737,	0.230083,	2.04199,	0.834052,	0.546448,	1.20794,	0.0575209,	0.546448,	0.920334,	0.977854,	1.46678,	0.0287604,	0.834052,	0.172563,	0.0287604,	0.143802,	0.0287604,	0.402646,	0.0575209,	0.115042,	0.0862813,	0.258844,	0.69025,	3.01984,	
GM12865,	0.0659776,	21.1568,	3.65076,	1.1656,	3.10095,	0.35188,	0.219925,	0.285903,	0.131955,	0.395865,	0.483835,	1.31955,	1.07763,	0.373873,	0.197933,	0.989663,	0.659776,	0.659776,	2.81504,	1.62745,	0.747746,	0.17594,	0.131955,	3.18892,	0.0879701,	0.527821,	0.26391,	0.813723,	0.0879701,	0.219925,	0.901693,	0.549813,	0.307895,	2.17726,	2.19925,	0.241918,	0.681768,	4.81636,	1.20959,	1.62745,	1.01166,	0.483835,	0.17594,	1.25357,	0.373873,	0.043985,	0.505828,	0.17594,	0.725753,	0.791731,	0.615791,	0.417858,	0.373873,	2.17726,	1.09963,	1.62745,	0.131955,	0.153948,	0,	0.417858,	0.109963,	1.27557,	0.615791,	0.549813,	0.0879701,	0.43985,	0.109963,	2.22124,	0.923686,	0.17594,	0.219925,	2.57313,	0.043985,	0.835716,	1.58346,	0.989663,	1.29756,	0.153948,	1.07763,	0.395865,	0.43985,	0.131955,	0.26391,	0.131955,	0.571806,	1.42951,	1.34154,	0.0219925,	0.967671,	0.197933,	0.131955,	0.197933,	1.14361,	0.219925,	0.131955,	0.043985,	0.0879701,	0.197933,	0.219925,	2.19925,	
H7-hESC,	0.0674309,	21.1508,	4.92245,	1.41605,	3.97842,	0.382108,	0.404585,	0.157339,	0.0674309,	0.179816,	0.539447,	1.9555,	0.786694,	0.112385,	0.674309,	1.10137,	1.07889,	0.899078,	1.57339,	1.461,	0.966509,	0.382108,	0.0899078,	2.06788,	0.0674309,	0.314677,	0.314677,	0.809171,	0.112385,	0.0449539,	1.12385,	0.404585,	0.382108,	2.49494,	1.64082,	0.337154,	0.899078,	2.36008,	1.25871,	2.09036,	0.764217,	0.269724,	0.112385,	0.944032,	0.51697,	0.0449539,	0.314677,	0.179816,	1.10137,	0.539447,	0.292201,	0.292201,	0.247247,	2.49494,	0.651832,	1.6633,	0.0674309,	0.0899078,	0.0449539,	0.472016,	0.157339,	1.93302,	0.696786,	0.854124,	0.0449539,	0.719263,	0.0674309,	2.65228,	0.561924,	0.314677,	0.314677,	2.96696,	0.0674309,	0.629355,	2.13531,	0.809171,	0.988986,	0.202293,	0.584401,	0.472016,	0.269724,	0.112385,	0.134862,	0.22477,	0.831648,	2.11283,	1.43853,	0.0899078,	1.25871,	0.179816,	0.0674309,	0.202293,	0.629355,	0.202293,	0.134862,	0.179816,	0.0899078,	0.157339,	0.404585,	1.93302,	
HA-h,	0.224307,	14.7431,	4.0783,	1.40701,	2.54894,	0.448613,	0.26509,	0.591354,	0.122349,	0.428222,	0.550571,	1.08075,	0.836052,	0.448613,	0.693312,	1.14192,	0.815661,	1.36623,	1.89641,	1.61093,	1.06036,	0.346656,	0.387439,	2.83442,	0.0611746,	0.428222,	0.448613,	1.24388,	0.122349,	0.203915,	1.26427,	0.795269,	0.448613,	1.93719,	2.07993,	0.367047,	0.754486,	4.24144,	1.16232,	1.32545,	0.93801,	0.611746,	0.305873,	1.42741,	0.428222,	0.203915,	0.958401,	0.26509,	0.469005,	1.10114,	0.550571,	0.570962,	0.346656,	1.9168,	1.14192,	2.03915,	0.101958,	0.305873,	0.0203915,	0.570962,	0.26509,	1.97798,	0.856444,	0.917618,	0.26509,	1.24388,	0.305873,	1.6925,	0.652529,	0.285481,	0.469005,	1.81484,	0.101958,	0.876835,	2.24307,	0.917618,	1.30506,	0.40783,	0.836052,	0.591354,	0.428222,	0.326264,	0.122349,	0.326264,	0.917618,	1.26427,	0.999184,	0.0815661,	0.958401,	0.448613,	0.183524,	0.26509,	1.61093,	0.326264,	0.183524,	0.040783,	0.244698,	0.305873,	0.346656,	1.50897,	
HAEpiC,	0.0450857,	23.2642,	4.35077,	1.14968,	3.65194,	0.338142,	0.270514,	0.1578,	0.180343,	0.180343,	0.473399,	1.53291,	0.87917,	0.202885,	0.631199,	1.19477,	1.12714,	1.1046,	1.7358,	1.69071,	1.14968,	0.3156,	0.180343,	2.11903,	0.135257,	0.383228,	0.360685,	0.788999,	0.0676285,	0.180343,	0.653742,	0.270514,	0.495942,	2.50225,	1.35257,	0.293057,	0.653742,	3.35888,	1.1046,	1.80343,	0.541028,	0.428314,	0.1578,	1.08206,	0.293057,	0.0901713,	0.270514,	0.1578,	0.924256,	0.586114,	0.270514,	0.450857,	0.293057,	2.50225,	1.05951,	1.91614,	0.0225428,	0.202885,	0,	0.698828,	0.0901713,	1.98377,	0.586114,	0.676285,	0.0450857,	0.924256,	0.0450857,	2.47971,	0.563571,	0.247971,	0.428314,	2.79531,	0.0450857,	0.495942,	2.09648,	1.08206,	1.05951,	0.180343,	0.676285,	0.743913,	0.270514,	0.112714,	0.0901713,	0.225428,	0.834085,	1.4202,	0.991885,	0.0225428,	0.743913,	0.1578,	0.0901713,	0.112714,	0.676285,	0.225428,	0.1578,	0.112714,	0.0450857,	0.135257,	0.1578,	1.8936,	
HCF,	0.26391,	19.4854,	4.02463,	1.51748,	3.14493,	0.417858,	0.241918,	0.241918,	0.153948,	0.285903,	0.483835,	1.36354,	1.03365,	0.285903,	0.483835,	0.967671,	0.879701,	0.879701,	2.13327,	1.89136,	0.923686,	0.417858,	0.26391,	3.01298,	0.0659776,	0.395865,	0.373873,	0.923686,	0.0879701,	0.109963,	0.945678,	0.483835,	0.637783,	1.78139,	2.3532,	0.329888,	0.593798,	4.61843,	1.20959,	1.27557,	0.681768,	0.593798,	0.197933,	1.1656,	0.35188,	0.0879701,	0.571806,	0.153948,	0.659776,	0.835716,	0.285903,	0.373873,	0.241918,	1.64944,	1.36354,	1.82538,	0.0219925,	0.153948,	0.043985,	0.571806,	0.17594,	1.69342,	0.681768,	1.09963,	0.153948,	0.857708,	0.109963,	2.0453,	0.703761,	0.329888,	0.417858,	1.89136,	0.131955,	0.857708,	2.30921,	1.03365,	1.36354,	0.219925,	0.967671,	0.879701,	0.285903,	0.153948,	0.131955,	0.131955,	0.593798,	1.31955,	1.23158,	0.0219925,	0.857708,	0.285903,	0.109963,	0.241918,	1.1876,	0.307895,	0.153948,	0.043985,	0.109963,	0.197933,	0.26391,	1.62745,	
HCM,	0.132217,	18.7748,	4.03261,	1.36624,	3.01895,	0.440723,	0.28647,	0.28647,	0.0661084,	0.396651,	0.550903,	1.38828,	0.947554,	0.308506,	0.528867,	0.881446,	0.749229,	1.21199,	2.60026,	1.89511,	1.01366,	0.352578,	0.28647,	3.37153,	0.0220361,	0.57294,	0.264434,	0.947554,	0.110181,	0.154253,	0.837373,	0.594976,	0.506831,	1.87307,	2.15954,	0.374614,	0.639048,	3.81225,	1.16792,	1.85104,	0.903482,	0.462759,	0.0881446,	1.01366,	0.462759,	0.0440723,	0.705156,	0.264434,	0.727193,	0.727193,	0.440723,	0.374614,	0.220361,	1.829,	1.41031,	1.41031,	0.154253,	0.176289,	0.0440723,	0.617012,	0.0881446,	1.67475,	0.550903,	0.771265,	0.132217,	0.947554,	0.176289,	1.98325,	0.727193,	0.220361,	0.220361,	2.64434,	0.110181,	0.771265,	2.33583,	1.07977,	1.18995,	0.264434,	0.96959,	0.617012,	0.352578,	0.154253,	0.264434,	0.132217,	0.57294,	1.12384,	1.47642,	0.0220361,	0.881446,	0.154253,	0.154253,	0.110181,	1.21199,	0.176289,	0.154253,	0.0220361,	0.132217,	0.242398,	0.242398,	2.09343,	
