cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0900293,	23.2275,	4.70403,	1.28292,	3.80374,	0.742741,	0.225073,	0.315102,	0.0900293,	0.427639,	0.292595,	1.10286,	0.810263,	0.112537,	0.630205,	0.697727,	0.697727,	2.79091,	0.495161,	0.697727,	0.630205,	0.450146,	0.472654,	0.810263,	0.360117,	0.360117,	0.450146,	0.990322,	0.0225073,	0.0675219,	0.270088,	0.787756,	0.58519,	1.89061,	0.405132,	0.495161,	0.697727,	0.832771,	2.40828,	2.07067,	0.832771,	0.540176,	0.135044,	0.877785,	0.135044,	0.0450146,	0.720234,	0.360117,	0.810263,	0.360117,	0.180059,	0.360117,	0.135044,	2.99347,	1.73306,	2.34076,	0,	0.24758,	0.0225073,	0.33761,	0.24758,	2.00315,	0.742741,	0.472654,	0.135044,	0.967815,	0.0225073,	2.11569,	0.517668,	0.697727,	0.33761,	3.01598,	0.225073,	0.225073,	3.10601,	0.675219,	1.71056,	0.0675219,	0.450146,	1.19289,	0.292595,	0.225073,	0.24758,	0.225073,	0.607697,	1.05784,	1.46298,	0.0900293,	0.135044,	0.0675219,	0.0675219,	0.180059,	0.202566,	0.495161,	0.0225073,	0.135044,	0.225073,	0.202566,	0.58519,	3.0835,	
AoAF,	0.0207987,	23.6481,	5.34526,	0.707155,	3.55657,	0.332779,	0.207987,	0.478369,	0.062396,	0.415973,	0.187188,	1.10233,	0.769551,	0.145591,	0.353577,	0.561564,	1.03993,	2.72463,	0.540765,	0.436772,	0.499168,	0.353577,	0.31198,	0.415973,	0.291181,	0.457571,	0.187188,	0.748752,	0.124792,	0.0207987,	0.415973,	0.748752,	0.415973,	2.47504,	0.249584,	0.166389,	0.62396,	0.582363,	2.43344,	1.66389,	0.956739,	0.644759,	0.166389,	0.62396,	0.0831947,	0.124792,	0.582363,	0.291181,	0.748752,	0.457571,	0.166389,	0.415973,	0.103993,	4.09734,	1.76789,	3.0574,	0,	0.166389,	0.062396,	0.415973,	0.145591,	2.45424,	0.93594,	0.603161,	0.103993,	1.03993,	0,	2.26705,	0.540765,	0.395175,	0.62396,	3.43178,	0.0207987,	0.166389,	2.70383,	0.499168,	1.41431,	0.0831947,	0.374376,	1.20632,	0.332779,	0.0831947,	0.166389,	0.249584,	0.894343,	1.5391,	1.39351,	0.207987,	0.436772,	0.166389,	0.062396,	0.332779,	0,	0.332779,	0.0831947,	0.124792,	0.249584,	0.291181,	0.436772,	2.84942,	
CD20+,	0.121921,	28.7979,	3.80395,	0.902219,	3.8771,	0.560839,	0.0975372,	0.365764,	0.0975372,	0.292612,	0.34138,	1.04852,	1.04852,	0.146306,	0.487686,	1.09729,	0.707145,	1.17045,	0.487686,	0.609607,	0.268227,	0.414533,	0.487686,	0.804682,	0.34138,	0.292612,	0.414533,	0.68276,	0.195074,	0.121921,	0.414533,	0.829066,	0.316996,	2.68227,	0.316996,	0.34138,	0.707145,	1.31675,	1.26798,	1.87759,	0.585223,	0.316996,	0.146306,	0.902219,	0.17069,	0.0731529,	0.755913,	0.121921,	1.34114,	0.390149,	0.121921,	0.390149,	0.0731529,	2.85296,	1.19483,	1.65813,	0,	0.34138,	0.121921,	0.34138,	0.219459,	1.58498,	0.390149,	0.487686,	0.0243843,	0.585223,	0.0975372,	1.7069,	0.926603,	0.438917,	0.365764,	3.24311,	0.121921,	0.316996,	3.07242,	0.390149,	1.97513,	0.0487686,	0.926603,	0.536454,	0.438917,	0.268227,	0.146306,	0.219459,	0.975372,	1.12168,	1.46306,	0.0975372,	0.365764,	0.121921,	0,	0.0975372,	0.219459,	0.438917,	0.121921,	0.292612,	0.195074,	0.34138,	0.658376,	2.90173,	
GM06990,	0,	29.852,	2.78503,	0.609225,	1.79867,	0.725268,	0.319118,	0.37714,	0.0580215,	0.174064,	0.261097,	4.64172,	2.52393,	0.0870322,	1.50856,	0.957354,	0.928343,	0.145054,	0.754279,	0.261097,	1.33449,	0.580215,	0.145054,	1.01538,	0.0580215,	0.290107,	0.957354,	0.435161,	0.319118,	0.37714,	0.551204,	0.40615,	0.40615,	2.75602,	0.0580215,	0.116043,	0.667247,	2.4369,	0.290107,	2.23383,	0.870322,	0.493182,	0.203075,	0.40615,	0.203075,	0.203075,	0.0290107,	0.0870322,	1.56658,	0.464172,	0.0580215,	0.116043,	0.319118,	3.45228,	0.464172,	1.18944,	0.174064,	0.232086,	0.145054,	0.725268,	0.203075,	1.24746,	0.145054,	1.45054,	0.0290107,	0.464172,	0.0290107,	2.20482,	1.21845,	0.0290107,	0.348129,	2.58196,	0.0290107,	0.435161,	2.08877,	0.667247,	1.16043,	0.116043,	2.29185,	0.232086,	0.174064,	0.261097,	0,	0.725268,	0.725268,	0.899333,	1.53757,	0.0290107,	0.986365,	0.145054,	0.0580215,	0.0290107,	0.174064,	0.116043,	0.0290107,	0.145054,	0.232086,	0.203075,	0.116043,	0.841311,	
GM12865,	0.0449741,	23.6789,	4.81223,	0.92197,	3.55296,	0.269845,	0.202384,	0.292332,	0.112435,	0.494716,	0.269845,	1.46166,	0.899483,	0.247358,	0.292332,	1.10187,	0.629638,	2.00135,	0.38228,	0.584664,	0.314819,	0.269845,	0.38228,	0.854509,	0.269845,	0.427254,	0.224871,	1.03441,	0.157409,	0.112435,	0.359793,	0.854509,	0.832022,	2.76591,	0.53969,	0.247358,	0.76456,	1.19181,	2.65347,	2.00135,	0.876996,	0.494716,	0.134922,	0.674612,	0.134922,	0.0224871,	0.629638,	0.179897,	1.05689,	0.224871,	0.0449741,	0.38228,	0.0674612,	3.14819,	1.19181,	1.97886,	0.0449741,	0.202384,	0.0674612,	0.269845,	0.0899483,	1.77648,	0.899483,	0.584664,	0.0224871,	0.832022,	0.0899483,	2.24871,	0.966944,	0.53969,	0.38228,	3.03575,	0.0224871,	0.269845,	2.76591,	0.494716,	1.77648,	0.157409,	0.899483,	1.19181,	0.337306,	0.157409,	0.112435,	0.202384,	0.899483,	1.68653,	1.66404,	0.0674612,	0.292332,	0.202384,	0.0449741,	0.314819,	0.179897,	0.38228,	0.0449741,	0.0899483,	0.337306,	0.179897,	0.359793,	3.05824,	
H7-hESC,	0,	24.708,	5.59299,	0.74124,	3.93082,	0.471698,	0.269542,	0.359389,	0.134771,	0.269542,	0.24708,	2.33603,	0.628931,	0.134771,	0.561545,	0.808625,	0.763702,	1.61725,	0.381851,	0.381851,	0.314465,	0.561545,	0.336927,	0.673854,	0.269542,	0.336927,	0.224618,	0.943396,	0.0673854,	0.0898473,	0.336927,	0.561545,	0.404313,	2.92004,	0.404313,	0.449236,	0.606469,	0.74124,	1.86433,	1.66217,	0.606469,	0.359389,	0.0898473,	0.673854,	0.202156,	0.0898473,	0.561545,	0.359389,	1.41509,	0.449236,	0.157233,	0.49416,	0.0898473,	3.14465,	1.14555,	2.69542,	0,	0.134771,	0.0673854,	0.336927,	0.134771,	2.58311,	0.786164,	0.561545,	0.0449236,	0.876011,	0.0449236,	2.78526,	0.808625,	0.449236,	0.449236,	3.4142,	0.112309,	0.336927,	3.32435,	0.539084,	1.05571,	0.112309,	0.673854,	0.584007,	0.179695,	0.179695,	0.0449236,	0.112309,	0.786164,	1.7071,	1.68464,	0.0898473,	0.336927,	0.134771,	0.0449236,	0.157233,	0.0673854,	0.179695,	0.0898473,	0.0224618,	0.179695,	0.292004,	0.426774,	2.42588,	
HA-h,	0.100806,	18.871,	4.97984,	1.22984,	2.88306,	0.483871,	0.201613,	0.645161,	0.120968,	0.584677,	0.201613,	1.37097,	0.846774,	0.282258,	0.745968,	0.544355,	0.806452,	2.64113,	0.887097,	0.504032,	0.584677,	0.383065,	0.604839,	0.927419,	0.383065,	0.504032,	0.504032,	1.10887,	0.282258,	0.201613,	0.685484,	1.04839,	0.524194,	2.1371,	0.302419,	0.483871,	0.846774,	0.665323,	2.58065,	1.35081,	1.12903,	0.544355,	0.141129,	0.967742,	0.302419,	0.241935,	0.887097,	0.342742,	0.705645,	0.524194,	0.181452,	0.342742,	0.221774,	3.36694,	1.69355,	3.30645,	0.0604839,	0.342742,	0.0806452,	0.322581,	0.16129,	2.19758,	0.745968,	0.705645,	0.120968,	1.45161,	0.181452,	1.77419,	0.362903,	0.403226,	0.504032,	2.5,	0.221774,	0.423387,	3.08468,	0.826613,	0.987903,	0.282258,	0.544355,	0.967742,	0.564516,	0.524194,	0.221774,	0.322581,	1.00806,	1.49194,	1.22984,	0.120968,	0.362903,	0.221774,	0.0403226,	0.383065,	0.241935,	0.504032,	0.201613,	0.141129,	0.262097,	0.383065,	0.423387,	2.15726,	
HAEpiC,	0,	25.8972,	5.58263,	0.708906,	3.72175,	0.376606,	0.0886132,	0.443066,	0.0443066,	0.177226,	0.310146,	1.63934,	0.509526,	0.0886132,	0.620292,	0.797519,	0.952592,	2.25964,	0.487373,	0.465219,	0.26584,	0.26584,	0.221533,	0.509526,	0.19938,	0.310146,	0.376606,	0.886132,	0.0664599,	0.0443066,	0.3323,	0.686752,	0.287993,	2.61409,	0.155073,	0.376606,	0.952592,	0.664599,	1.81657,	1.7058,	0.797519,	0.509526,	0.0886132,	0.797519,	0.13292,	0.13292,	0.531679,	0.287993,	0.863979,	0.443066,	0.177226,	0.354453,	0.13292,	4.05405,	1.52858,	2.92424,	0,	0.221533,	0.0443066,	0.221533,	0.110767,	2.0381,	0.775366,	0.664599,	0,	1.17412,	0.0886132,	2.6584,	0.354453,	0.287993,	0.598139,	3.323,	0.0664599,	0.376606,	2.63624,	0.819672,	1.06336,	0.0664599,	0.575986,	1.35135,	0.376606,	0.155073,	0.0664599,	0.19938,	0.908285,	1.55073,	1.39566,	0.0664599,	0.310146,	0.155073,	0.0221533,	0.155073,	0.0443066,	0.221533,	0.0221533,	0.110767,	0.110767,	0.310146,	0.221533,	2.41471,	
HCF,	0.0433369,	21.5385,	5.28711,	1.06176,	3.40195,	0.56338,	0.238353,	0.325027,	0.0650054,	0.498375,	0.368364,	1.30011,	0.758397,	0.390033,	0.411701,	0.71506,	0.628386,	2.64355,	0.498375,	0.71506,	0.368364,	0.303359,	0.433369,	0.606717,	0.346696,	0.606717,	0.455038,	0.888407,	0.130011,	0.0650054,	0.346696,	0.823402,	0.866739,	1.56013,	0.28169,	0.520043,	0.585049,	0.780065,	2.92524,	1.51679,	0.801733,	0.433369,	0.238353,	0.758397,	0.151679,	0.216685,	0.910076,	0.346696,	0.758397,	0.520043,	0.0866739,	0.411701,	0.238353,	3.14193,	2.01517,	2.68689,	0.0216685,	0.216685,	0.151679,	0.238353,	0.216685,	1.71181,	1.21343,	0.671723,	0.173348,	1.1701,	0.0866739,	2.29686,	0.931744,	0.693391,	0.390033,	2.51354,	0.108342,	0.368364,	2.77356,	0.541712,	1.6468,	0.216685,	0.650054,	1.38678,	0.390033,	0.303359,	0.151679,	0.216685,	0.671723,	1.32178,	1.47346,	0.0216685,	0.498375,	0.151679,	0.0216685,	0.108342,	0.195016,	0.476706,	0.0866739,	0.0433369,	0.260022,	0.173348,	0.541712,	2.92524,	
