cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0356252,	15.7107,	2.99252,	0.712504,	2.85002,	0.570004,	0.855005,	0.498753,	0.0712504,	0.0712504,	0.356252,	1.53188,	1.95939,	0.142501,	1.35376,	1.06876,	1.35376,	0.249377,	0.249377,	0.356252,	0.605629,	0.178126,	0.213751,	0.712504,	0.249377,	0.534378,	0.320627,	1.60314,	0.463128,	0.961881,	0.178126,	0.285002,	0.641254,	7.80192,	0.391877,	0.213751,	0.498753,	0.997506,	0.463128,	1.46063,	0.534378,	0.570004,	0.142501,	0.391877,	0.534378,	0.106876,	0.0712504,	0.712504,	2.99252,	0.285002,	0.0356252,	0.641254,	0.605629,	0.926256,	0.427503,	1.24688,	0.142501,	0.676879,	0.213751,	0.285002,	0.926256,	2.70752,	0.106876,	0.356252,	0,	1.49626,	0.106876,	1.06876,	0.783755,	0.570004,	0.605629,	1.71001,	0.0712504,	0.641254,	2.85002,	0.356252,	0.463128,	0.0356252,	6.69754,	0.356252,	1.28251,	1.10438,	0.178126,	0.427503,	2.77877,	1.60314,	1.14001,	0.0712504,	1.35376,	0.0712504,	0,	0,	0.570004,	0.106876,	0.249377,	1.17563,	0.0712504,	0.890631,	0.0712504,	1.63876,	
AoAF,	0,	14.3373,	3.87139,	1.08268,	2.23097,	0.62336,	0.787402,	0.688976,	0,	0.0656168,	0.492126,	1.5748,	1.64042,	0.328084,	1.04987,	0.951444,	1.04987,	0.295276,	0.557743,	0.19685,	0.492126,	0.557743,	0.0656168,	0.787402,	0.131234,	0.82021,	0.492126,	1.04987,	0.524934,	1.01706,	0.229659,	0.295276,	0.295276,	8.00525,	0.19685,	0.656168,	0.951444,	0.688976,	0.82021,	0.918635,	0.754593,	0.721785,	0.0984252,	0.426509,	0.229659,	0.164042,	0.131234,	0.328084,	2.52625,	0.164042,	0.0984252,	0.984252,	0.262467,	1.11549,	0.19685,	1.21391,	0.131234,	0.492126,	0.295276,	0.19685,	0.590551,	2.23097,	0.0328084,	0.229659,	0,	1.5748,	0.0984252,	1.27953,	0.787402,	0.459318,	1.11549,	1.47638,	0,	0.426509,	4.10105,	0.328084,	0.328084,	0.0656168,	7.05381,	0.853018,	1.47638,	0.754593,	0.131234,	0.62336,	3.87139,	1.47638,	1.11549,	0.19685,	1.67323,	0.229659,	0.0656168,	0.0984252,	0.393701,	0.164042,	0.19685,	0.885827,	0,	0.885827,	0.131234,	1.24672,	
CD20+,	0.114504,	22.7863,	3.12977,	1.10687,	2.93893,	0.152672,	0.496183,	0.19084,	0.0763359,	0,	0.267176,	1.22137,	3.35878,	0.267176,	0.877863,	1.48855,	1.0687,	0.19084,	0.687023,	0.343511,	0.458015,	0.267176,	0.0381679,	1.45038,	0.152672,	0.267176,	0.419847,	0.992366,	0.610687,	0.916031,	0.114504,	0.267176,	0.610687,	4.92366,	0.610687,	0.229008,	0.534351,	1.25954,	0.343511,	2.48092,	0.229008,	0.19084,	0,	0.152672,	0.152672,	0.152672,	0.19084,	0.19084,	2.78626,	0.19084,	0.0763359,	0.534351,	0.419847,	0.992366,	0.19084,	1.0687,	0.267176,	0.458015,	0.229008,	0.458015,	0.687023,	1.98473,	0.0763359,	0.458015,	0,	0.648855,	0.229008,	1.45038,	0.801527,	0.610687,	0.725191,	2.25191,	0,	0.725191,	3.0916,	0.114504,	0.992366,	0,	4.54198,	0.305344,	1.33588,	0.877863,	0.0763359,	0.381679,	2.25191,	1.45038,	1.45038,	0.0763359,	0.763359,	0.19084,	0.0763359,	0.0381679,	1.18321,	0.19084,	0.114504,	0.687023,	0.0381679,	0.229008,	0.229008,	2.0229,	
GM06990,	0.0497018,	26.6402,	1.29225,	0.695825,	1.54076,	0.944334,	0.0497018,	0.795229,	0.54672,	0.149105,	0.198807,	3.47913,	2.28628,	0.298211,	0.397614,	3.47913,	0.397614,	0.149105,	0.397614,	0.248509,	1.19284,	0.397614,	0.0994036,	1.14314,	0.0497018,	0.198807,	0.347913,	0,	0.248509,	0.0994036,	0.646123,	1.49105,	0.298211,	1.54076,	0.596421,	0.84493,	1.83897,	3.82704,	0.198807,	1.98807,	0.0994036,	1.09344,	0.795229,	0.149105,	0.248509,	0.198807,	0.248509,	0.0497018,	1.93837,	0.149105,	0.149105,	0.149105,	0.0994036,	1.59046,	0.397614,	0.596421,	0.0497018,	0.54672,	0,	1.19284,	0.248509,	0.695825,	1.14314,	1.19284,	0.795229,	0.347913,	0,	1.59046,	4.87078,	0.198807,	0.497018,	2.7336,	0,	0.198807,	2.7336,	0.347913,	2.18688,	0.0497018,	1.39165,	0.0497018,	0.497018,	0.198807,	0,	0.248509,	0.298211,	2.23658,	1.34195,	0.149105,	0.497018,	0.447316,	0,	0.198807,	0.149105,	0.198807,	0.0994036,	0,	0.0994036,	0,	0.198807,	1.04374,	
GM12865,	0.10699,	20.3638,	3.2097,	0.784593,	2.67475,	0.53495,	0.499287,	0.64194,	0.10699,	0.0356633,	0.142653,	1.89016,	2.42511,	0.142653,	0.713267,	1.10556,	0.784593,	0.142653,	0.463623,	0.42796,	0.392297,	0.285307,	0.0356633,	0.927247,	0.0713267,	0.677603,	0.178317,	1.4622,	0.53495,	1.17689,	0.142653,	0.285307,	0.570613,	6.66904,	0.463623,	0.21398,	0.392297,	1.21255,	0.356633,	1.92582,	0.570613,	0.64194,	0,	0.21398,	0.392297,	0.0713267,	0.0713267,	0.142653,	1.92582,	0.285307,	0.0713267,	0.64194,	0.249643,	0.927247,	0.392297,	0.998573,	0.10699,	0.42796,	0.249643,	0.32097,	0.85592,	2.31812,	0.0356633,	0.392297,	0,	1.39087,	0.10699,	1.60485,	1.03424,	0.463623,	0.820257,	2.24679,	0,	0.499287,	3.17404,	0.21398,	0.85592,	0,	6.52639,	0.285307,	0.96291,	1.14123,	0.0713267,	0.178317,	1.96148,	1.67618,	1.14123,	0.178317,	1.64051,	0.392297,	0.0356633,	0.10699,	0.392297,	0.0713267,	0.0713267,	0.820257,	0.0713267,	0.570613,	0.10699,	1.71184,	
H7-hESC,	0,	17.2925,	4.30589,	1.20565,	2.61798,	0.344471,	0.516707,	0.826731,	0.137789,	0.0688943,	0.585601,	1.44678,	1.68791,	0.24113,	0.895625,	1.06786,	1.03341,	0.48226,	0.344471,	0.310024,	0.275577,	0.344471,	0,	1.13676,	0.0344471,	1.06786,	0.48226,	1.55012,	0.72339,	0.861178,	0.0688943,	0.206683,	0.48226,	7.7506,	0.24113,	0.310024,	0.688942,	0.826731,	0.654495,	1.55012,	0.688942,	0.344471,	0.0688943,	0.413365,	0.137789,	0.172236,	0.172236,	0.413365,	1.86014,	0.172236,	0.0688943,	0.344471,	0.206683,	1.44678,	0.516707,	1.34344,	0.206683,	0.378918,	0.24113,	0.310024,	0.447813,	2.48019,	0.137789,	0.310024,	0.0344471,	1.58457,	0.0344471,	1.1712,	0.826731,	0.688942,	0.826731,	1.58457,	0,	0.585601,	3.20358,	0.172236,	0.413365,	0.0688943,	5.95935,	0.447813,	1.10231,	0.792284,	0.24113,	0.413365,	2.75577,	1.86014,	1.37788,	0.24113,	1.72236,	0.413365,	0,	0.0344471,	0.447813,	0.103341,	0.137789,	0.585601,	0.103341,	0.72339,	0.275577,	1.51567,	
HA-h,	0.388727,	13.0547,	3.07742,	1.94363,	1.55491,	0.453515,	1.069,	0.421121,	0.194363,	0.129576,	0.74506,	1.52251,	2.33236,	0.259151,	1.55491,	1.13379,	1.29576,	0.421121,	0.809848,	0.615484,	0.485909,	0.388727,	0.194363,	0.842242,	0.421121,	0.615484,	0.518303,	0.939423,	1.29576,	1.6197,	0.16197,	0.291545,	1.10139,	3.95206,	0.453515,	0.388727,	0.647878,	0.647878,	0.518303,	2.26757,	0.615484,	0.647878,	0.0323939,	0.518303,	0.453515,	0.194363,	0.323939,	0.453515,	3.23939,	0.550696,	0.0971817,	0.58309,	0.777454,	0.809848,	0.58309,	1.23097,	0.485909,	0.777454,	0.615484,	0.388727,	0.939423,	3.27179,	0.16197,	0.518303,	0,	0.874636,	0.0971817,	2.04082,	0.550696,	0.680272,	0.680272,	0.971817,	0.0971817,	0.58309,	2.29997,	0.453515,	0.485909,	0.0647878,	3.69291,	0.58309,	1.68448,	1.32815,	0.226757,	0.485909,	3.07742,	1.52251,	1.10139,	0.129576,	1.6197,	0.680272,	0.129576,	0,	1.32815,	0.16197,	0.356333,	0.842242,	0.0971817,	0.647878,	0.16197,	1.26336,	
HAEpiC,	0.0343289,	16.7182,	3.39856,	1.09852,	2.81497,	0.411946,	0.549262,	0.652249,	0.102987,	0.102987,	0.343289,	1.27017,	1.51047,	0.30896,	1.16718,	0.823893,	1.3045,	0.446275,	0.411946,	0.205973,	0.240302,	0.514933,	0,	0.61792,	0.240302,	1.02987,	0.480604,	1.20151,	0.240302,	0.823893,	0.205973,	0.240302,	0.377618,	7.82698,	0.205973,	0.343289,	0.686577,	0.755235,	0.686577,	1.20151,	1.02987,	0.755235,	0,	0.480604,	0.205973,	0.274631,	0.205973,	0.274631,	2.12839,	0.205973,	0.0686577,	0.755235,	0.205973,	1.3045,	0.343289,	0.961208,	0.102987,	0.411946,	0.240302,	0.240302,	0.30896,	1.85376,	0.205973,	0.30896,	0.0686577,	1.5448,	0.0343289,	1.75077,	0.274631,	0.583591,	0.92688,	1.92242,	0.0343289,	0.858222,	3.94782,	0.61792,	0.411946,	0,	6.24785,	0.61792,	1.57913,	0.892551,	0.240302,	0.61792,	3.50154,	1.57913,	1.40748,	0.30896,	1.37315,	0.274631,	0,	0.0686577,	0.240302,	0.0686577,	0.137315,	0.823893,	0.137315,	0.92688,	0.0686577,	1.44181,	
HCF,	0.102424,	16.183,	3.58484,	1.09252,	1.91192,	0.443837,	0.409696,	0.682827,	0.204848,	0.136565,	0.273131,	1.46808,	1.60464,	0.341413,	1.53636,	1.19495,	1.36565,	0.307272,	0.443837,	0.273131,	0.409696,	0.341413,	0.102424,	0.477979,	0.238989,	0.409696,	0.341413,	1.70707,	0.955958,	1.26323,	0.136565,	0.204848,	0.341413,	7.34039,	0.170707,	0.477979,	0.546262,	0.477979,	0.580403,	1.67293,	0.887675,	0.51212,	0.0341413,	0.307272,	0.341413,	0.102424,	0.102424,	0.409696,	2.66302,	0.307272,	0,	0.648686,	0.648686,	1.05838,	0.273131,	1.46808,	0.341413,	0.546262,	0.307272,	0.204848,	0.51212,	2.86787,	0.0341413,	0.341413,	0.0341413,	1.43394,	0.102424,	1.70707,	0.648686,	0.716968,	0.853534,	1.84363,	0.0341413,	0.75111,	3.00444,	0.238989,	0.477979,	0.0341413,	6.04302,	0.51212,	1.26323,	0.853534,	0.170707,	0.716968,	3.00444,	1.19495,	1.50222,	0.204848,	1.77535,	0.102424,	0.0341413,	0.0682827,	0.443837,	0.0682827,	0.273131,	1.12666,	0.0341413,	0.887675,	0,	1.16081,	
