cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.492041,	15.1085,	1.04197,	1.38929,	1.24457,	0.955137,	0.376266,	0.434153,	0.260492,	0.144718,	0.173661,	3.32851,	5.44139,	0.0868307,	1.04197,	1.88133,	1.15774,	0.0868307,	0.202605,	0.0868307,	0.347323,	0.752533,	0.81042,	0.40521,	0.0289436,	0.115774,	0.665702,	0.202605,	2.22865,	0.752533,	0.347323,	1.76556,	2.02605,	1.73661,	0.115774,	0.520984,	2.19971,	0.578871,	1.07091,	3.67583,	0.463097,	0.607815,	0.376266,	0.0578871,	0.0868307,	0.202605,	0.0289436,	0.144718,	1.64978,	0.173661,	0.0289436,	0.0289436,	0.318379,	1.93922,	0.549928,	0.578871,	0.202605,	2.69175,	0.463097,	1.21563,	0.463097,	1.38929,	0.694645,	0.578871,	0.0868307,	0.260492,	0,	2.66281,	1.93922,	0.0289436,	1.70767,	1.15774,	0,	0.520984,	1.47612,	0.173661,	3.09696,	0.0578871,	5.70188,	0.0289436,	0.636758,	0.347323,	0,	2.28654,	0.578871,	1.91027,	0.839363,	0.0289436,	0.636758,	0.520984,	0.0289436,	0.173661,	0.318379,	0.173661,	0.0289436,	0.260492,	0.520984,	0.202605,	0.636758,	0.752533,	
AoAF,	0.164429,	13.1817,	0.931762,	1.67169,	1.80871,	0.794738,	0.164429,	0.411072,	0.246643,	0.0548095,	0.328857,	3.72705,	4.32995,	0.164429,	1.45245,	1.47986,	1.6991,	0.0548095,	0.0548095,	0.109619,	0.411072,	0.63031,	0.986572,	0.301452,	0.0548095,	0.137024,	0.685119,	0.0548095,	2.32941,	0.876953,	0.465881,	1.47986,	2.21979,	2.16498,	0.246643,	0.520691,	1.80871,	0.520691,	1.34283,	3.06933,	0.411072,	0.959167,	0.465881,	0.0822143,	0,	0.328857,	0,	0.191833,	1.75391,	0.109619,	0,	0.0274048,	0.219238,	2.13757,	0.493286,	0.548095,	0.328857,	3.48041,	0.493286,	1.80871,	0.520691,	1.45245,	0.712524,	0.5755,	0.109619,	0.274048,	0.0548095,	2.32941,	1.64429,	0.109619,	1.58948,	1.151,	0.0274048,	0.520691,	1.80871,	0.191833,	2.41162,	0,	5.7276,	0,	0.822143,	0.438476,	0.0274048,	2.68567,	0.685119,	2.08276,	1.34283,	0.0548095,	0.520691,	0.712524,	0.0274048,	0.274048,	0.164429,	0.274048,	0.0548095,	0.219238,	0.465881,	0.109619,	0.328857,	0.520691,	
CD20+,	0.184729,	19.6121,	1.44704,	1.5702,	1.41626,	0.800493,	0.307882,	0.369458,	0.184729,	0,	0.0923645,	3.26355,	6.18842,	0.215517,	0.708128,	1.75493,	1.07759,	0.0307882,	0.0923645,	0.184729,	0.153941,	0.523399,	0.831281,	0.67734,	0,	0.0923645,	0.492611,	0.307882,	1.01601,	0.862069,	0.369458,	1.72414,	1.35468,	2.21675,	0.246305,	0.400246,	1.50862,	1.41626,	0.523399,	4.37192,	0.184729,	0.800493,	0.184729,	0.0615764,	0.0615764,	0.123153,	0.0615764,	0.0615764,	1.38547,	0.123153,	0.0615764,	0,	0.33867,	2.3399,	0.431034,	0.67734,	0.123153,	1.0468,	0.584975,	1.07759,	0.33867,	1.10837,	0.492611,	0.892857,	0.0923645,	0.400246,	0.0307882,	2.43227,	2.64778,	0.0923645,	0.738916,	1.44704,	0.0307882,	0.461823,	1.2931,	0.184729,	4.6798,	0,	3.75616,	0.0307882,	0.431034,	0.369458,	0.0307882,	1.23153,	0.738916,	2.03202,	1.16995,	0.0615764,	0.800493,	0.461823,	0,	0.0615764,	0.431034,	0.0923645,	0.0307882,	0.215517,	0.584975,	0.184729,	0.461823,	1.13916,	
GM06990,	0.19755,	24.5753,	2.33109,	1.02726,	3.31885,	0.316081,	0.15804,	0.474121,	0.23706,	0.15804,	0.0395101,	2.41011,	2.48913,	0.23706,	0.592651,	1.5804,	0.15804,	0.434611,	2.13354,	0.316081,	1.06677,	1.22481,	0.592651,	1.26432,	0.15804,	0.316081,	0.11853,	0.553141,	0.19755,	0.19755,	0.355591,	1.65942,	0.355591,	1.5804,	0.23706,	2.25207,	0.395101,	4.34611,	0.276571,	1.22481,	0.276571,	0.592651,	0.316081,	0.23706,	0.15804,	0.0790202,	0.15804,	0.23706,	2.33109,	0.23706,	0.434611,	0.0790202,	0.592651,	1.69893,	0.908732,	1.65942,	0.434611,	0.23706,	0,	0.592651,	0.316081,	0.434611,	0.19755,	1.1853,	0.11853,	0.434611,	0.0395101,	0.553141,	3.39787,	0.0790202,	0.19755,	1.81746,	0.11853,	0.355591,	3.55591,	0.434611,	2.29158,	0.316081,	2.21256,	0.276571,	0.434611,	0.15804,	0,	0.316081,	0.395101,	1.14579,	1.69893,	0.0790202,	0.276571,	0.355591,	0.0790202,	0.0395101,	0.869222,	0.276571,	0.19755,	0,	0.11853,	0.15804,	0.513631,	1.73844,	
GM12865,	0.146542,	18.728,	1.20164,	1.02579,	1.72919,	0.908558,	0.52755,	0.439625,	0.17585,	0.087925,	0.0293083,	3.34115,	4.63071,	0.234467,	1.0551,	1.72919,	0.996483,	0.0293083,	0.17585,	0.3517,	0.410317,	0.586166,	0.967175,	0.87925,	0.0293083,	0.17585,	0.644783,	0.234467,	1.17233,	0.996483,	0.234467,	1.31887,	1.46542,	2.60844,	0.381008,	0.322392,	1.69988,	1.0551,	0.820633,	3.48769,	0.234467,	0.674091,	0.293083,	0.087925,	0.087925,	0.263775,	0.0586166,	0.0293083,	1.52403,	0.117233,	0.0586166,	0.0586166,	0.498242,	2.34467,	0.468933,	0.52755,	0.17585,	2.05158,	0.439625,	1.34818,	0.52755,	1.20164,	0.410317,	0.849941,	0.0586166,	0.263775,	0.0293083,	2.98945,	2.05158,	0.0586166,	0.908558,	1.28957,	0.0293083,	0.644783,	2.40328,	0.263775,	3.517,	0,	4.89449,	0.0586166,	0.556858,	0.234467,	0.0293083,	1.23095,	0.263775,	2.31536,	0.820633,	0,	0.7034,	0.556858,	0.0586166,	0.087925,	0.234467,	0.234467,	0.17585,	0.0586166,	0.410317,	0.087925,	0.3517,	0.762016,	
H7-hESC,	0.11274,	13.5006,	1.18377,	1.91657,	1.66291,	1.26832,	0.197294,	0.760992,	0.450958,	0.140924,	0.169109,	3.80496,	5.60879,	0.169109,	1.32469,	1.71928,	0.986471,	0.0563698,	0.0845547,	0.281849,	0.394589,	0.873732,	0.817362,	0.422773,	0.0281849,	0.0845547,	1.21195,	0.0845547,	2.45209,	0.732807,	0.563698,	1.1274,	2.48027,	2.48027,	0.0845547,	0.366404,	1.80383,	0.817362,	0.901917,	3.49493,	0.310034,	0.648253,	0.422773,	0.11274,	0.11274,	0.394589,	0.0563698,	0,	1.43743,	0.140924,	0.0563698,	0.0281849,	0.253664,	2.84667,	0.366404,	0.507328,	0.140924,	2.76212,	0.338219,	1.57835,	0.422773,	1.15558,	0.986471,	0.591883,	0.0845547,	0.140924,	0.0281849,	2.22661,	1.07103,	0.11274,	1.04284,	0.817362,	0.0281849,	0.930101,	1.66291,	0.169109,	3.24126,	0.0281849,	5.72153,	0.0281849,	0.620068,	0.310034,	0,	2.76212,	0.563698,	1.69109,	1.07103,	0,	0.563698,	0.422773,	0,	0.0563698,	0.197294,	0.0845547,	0.0281849,	0.11274,	0.535513,	0.507328,	0.310034,	0.535513,	
HA-h,	0.422498,	10.5625,	0.950621,	2.00687,	1.10906,	1.16187,	0.316874,	0.712965,	0.316874,	0.211249,	0.290467,	2.66702,	4.96435,	0.34328,	1.24109,	0.844996,	1.98046,	0.0264061,	0.132031,	0.316874,	0.554529,	0.580935,	1.82202,	0.528123,	0.0528123,	0.211249,	0.712965,	0.105625,	1.87484,	1.7164,	0.633747,	2.1653,	2.05968,	1.34671,	0.264061,	0.686559,	1.55796,	0.501716,	1.18828,	4.22498,	0.660153,	0.739372,	0.448904,	0.0528123,	0.105625,	0.34328,	0.0264061,	0.211249,	1.32031,	0.34328,	0.0528123,	0.0528123,	0.554529,	2.1653,	0.660153,	0.81859,	0.712965,	1.63718,	0.633747,	1.24109,	0.712965,	1.63718,	0.792184,	1.16187,	0.290467,	0.396092,	0.105625,	2.27093,	2.40296,	0.290467,	1.00343,	0.633747,	0.158437,	0.686559,	1.18828,	0.369686,	3.77608,	0.0528123,	3.0103,	0.0264061,	0.580935,	0.34328,	0.0528123,	2.29733,	1.02984,	1.13546,	0.897808,	0.0528123,	1.18828,	0.739372,	0.0792184,	0.290467,	0.369686,	0.184843,	0.0792184,	0.607341,	1.24109,	0.264061,	0.396092,	1.05625,	
HAEpiC,	0.145476,	13.5292,	0.96014,	1.48385,	1.54204,	1.16381,	0.116381,	0.756474,	0.465522,	0.0581903,	0,	3.81146,	6.16817,	0.0872854,	1.39657,	1.71661,	1.54204,	0.0290951,	0.0872854,	0.174571,	0.494617,	0.640093,	0.814664,	0.378237,	0.0290951,	0.0581903,	1.01833,	0.0290951,	1.86209,	0.901949,	0.378237,	1.48385,	2.18214,	2.21123,	0.145476,	0.203666,	2.03666,	0.756474,	1.13471,	3.31685,	0.290951,	0.727379,	0.494617,	0.0872854,	0.0290951,	0.320047,	0.0290951,	0.116381,	1.62933,	0.203666,	0.116381,	0.0290951,	0.174571,	2.73494,	0.523713,	0.407332,	0.378237,	2.50218,	0.261856,	2.03666,	0.261856,	0.756474,	0.843759,	0.727379,	0.174571,	0.145476,	0.0581903,	2.03666,	1.71661,	0.145476,	1.28019,	1.16381,	0.0581903,	0.698283,	1.60023,	0.290951,	3.17137,	0.0872854,	5.3826,	0.0581903,	0.989235,	0.261856,	0,	2.9677,	0.640093,	1.8039,	0.814664,	0.0581903,	0.872854,	0.436427,	0.0290951,	0.0872854,	0.116381,	0.116381,	0.0581903,	0.145476,	0.436427,	0.203666,	0.349142,	0.552808,	
HCF,	0.225734,	12.5564,	0.733634,	1.63657,	1.58014,	1.10045,	0.141084,	0.592551,	0.366817,	0.112867,	0.197517,	3.49887,	5.72799,	0.282167,	0.987585,	1.38262,	1.72122,	0.0846501,	0.141084,	0.225734,	0.451467,	0.931151,	1.10045,	0.564334,	0.141084,	0.112867,	0.902935,	0.0564334,	1.94695,	0.959368,	0.25395,	1.55192,	2.17269,	1.80587,	0.0282167,	0.507901,	2.22912,	0.648984,	0.959368,	4.06321,	0.423251,	1.0158,	0.620767,	0.0564334,	0.0564334,	0.3386,	0,	0.0564334,	1.38262,	0.112867,	0,	0.0282167,	0.366817,	2.0316,	0.564334,	0.846501,	0.197517,	2.93454,	0.423251,	1.63657,	0.620767,	1.43905,	0.451467,	0.507901,	0.282167,	0.25395,	0.0564334,	2.48307,	1.89052,	0.0564334,	1.12867,	0.818284,	0.0846501,	0.507901,	2.0316,	0.197517,	3.49887,	0.0564334,	5.50226,	0.0282167,	0.874718,	0.395034,	0.0282167,	1.94695,	0.648984,	1.60835,	0.761851,	0.0564334,	0.507901,	0.536117,	0,	0.25395,	0.197517,	0.225734,	0.112867,	0.197517,	0.507901,	0.25395,	0.3386,	0.874718,	
