cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0529381,	18.4754,	1.05876,	0.847009,	1.42933,	0.105876,	0.952885,	0.158814,	0.529381,	0.211752,	0.26469,	1.48227,	0.26469,	0.105876,	0.317628,	0.688195,	0.635257,	0.476443,	2.96453,	0.688195,	1.58814,	3.28216,	0.158814,	2.54103,	0.158814,	0.582319,	0.423505,	0.26469,	0.211752,	0.105876,	0.688195,	0.688195,	0.105876,	0.582319,	3.17628,	0.158814,	0.26469,	5.18793,	0.741133,	0.741133,	1.90577,	1.58814,	0.105876,	2.17046,	0.26469,	0.158814,	0.476443,	0.423505,	1.21758,	2.01165,	1.32345,	0.423505,	0.529381,	1.74696,	2.32927,	0.794071,	0.688195,	0.26469,	0,	0.847009,	0.26469,	0.476443,	0.211752,	0.26469,	0.158814,	0.211752,	0,	0.688195,	0.529381,	0.0529381,	0.158814,	1.74696,	0.211752,	1.21758,	6.29963,	0.582319,	0.952885,	0.899947,	1.58814,	0.423505,	1.00582,	0.317628,	0.26469,	0.317628,	0.317628,	1.16464,	2.27634,	0.158814,	0.423505,	0.370566,	0.0529381,	0.105876,	0.794071,	0.847009,	0.794071,	0,	0.211752,	0.105876,	0.370566,	0.529381,	
AoAF,	0.456621,	16.0325,	1.16692,	1.67428,	1.97869,	0.152207,	1.06545,	0,	0.558092,	0.101471,	0.253678,	0.963978,	0.558092,	0,	0.405885,	0.811771,	0.558092,	0.811771,	2.63825,	0.963978,	1.92796,	2.18163,	0.152207,	3.29782,	0.253678,	0.405885,	0.35515,	0.558092,	0.152207,	0.152207,	0.913242,	0.710299,	0.101471,	0.710299,	3.50076,	0.202943,	0.253678,	5.8346,	0.608828,	0.963978,	1.97869,	1.06545,	0.304414,	2.73973,	0.152207,	0.202943,	0.862506,	0.608828,	1.36986,	1.47133,	1.52207,	0.558092,	0.35515,	1.31913,	2.89193,	1.21766,	0.659564,	0.152207,	0.0507357,	0.862506,	0.202943,	0.253678,	0.456621,	0.507357,	0.202943,	0.202943,	0.0507357,	0.507357,	0.710299,	0.101471,	0.0507357,	1.36986,	0,	1.67428,	5.47945,	1.01471,	0.659564,	0.963978,	1.57281,	0.304414,	0.456621,	0.456621,	0.304414,	0.202943,	0.152207,	0.913242,	2.23237,	0.152207,	0.304414,	0.456621,	0.152207,	0.202943,	0.811771,	0.35515,	1.01471,	0,	0.101471,	0.101471,	0.152207,	0.456621,	
CD20+,	0.231214,	21.6763,	1.6185,	0.982659,	2.13873,	0.231214,	0.635838,	0.231214,	0.867052,	0.231214,	0.404624,	2.42775,	1.09827,	0.115607,	0.289017,	0.924855,	0.231214,	0.520231,	1.90751,	0.404624,	0.578035,	1.79191,	0.462428,	3.46821,	0.231214,	1.09827,	0.289017,	0.404624,	0.289017,	0,	0.520231,	0.751445,	0.17341,	1.32948,	2.19653,	0.17341,	0.115607,	4.39306,	0.289017,	0.924855,	1.44509,	1.7341,	0.231214,	0.462428,	0.17341,	0.17341,	0.231214,	0.404624,	2.48555,	0.635838,	1.09827,	0.231214,	0.17341,	2.02312,	0.982659,	0.809249,	0.462428,	0.17341,	0,	0.809249,	0.289017,	0.404624,	0.520231,	1.04046,	0.289017,	0.231214,	0,	1.09827,	0.635838,	0,	0.0578035,	2.19653,	0,	0.751445,	6.99422,	0.520231,	1.38728,	0.578035,	2.54335,	0.115607,	0.635838,	0.346821,	0.0578035,	0.231214,	0.115607,	1.04046,	2.71676,	0,	0.289017,	0.289017,	0.115607,	0.0578035,	0.462428,	0.809249,	0.693642,	0,	0,	0.231214,	0,	0.867052,	
GM06990,	0,	28.8987,	2.58684,	1.92166,	3.91722,	0.739098,	0.295639,	1.40429,	0.0739098,	0.14782,	0.369549,	1.99557,	2.36511,	0.665188,	0.517369,	1.25647,	0.221729,	0.0739098,	0.517369,	0.517369,	0.369549,	0.0739098,	0.295639,	1.33038,	0.221729,	0.443459,	0.14782,	0.517369,	0.221729,	0.443459,	0,	0.517369,	0.886918,	3.91722,	0.517369,	1.10865,	0.369549,	1.77384,	0.960828,	1.10865,	0.295639,	0.295639,	0.221729,	0.221729,	0.14782,	0.221729,	0,	0.0739098,	1.40429,	0.517369,	0.14782,	0.14782,	0.0739098,	1.40429,	0.591279,	1.40429,	0,	0.295639,	0.14782,	0.591279,	0.591279,	1.18256,	0.665188,	0.443459,	0.0739098,	1.18256,	0,	0.886918,	2.51293,	0.221729,	0.0739098,	2.73466,	0.14782,	0.369549,	1.4782,	0.739098,	4.5085,	0.0739098,	1.77384,	0.0739098,	0.517369,	0.369549,	0,	0.517369,	0.517369,	0.665188,	1.03474,	0,	1.4782,	0,	0,	0.221729,	0.14782,	0.221729,	0,	0.0739098,	0.14782,	0.221729,	0.665188,	1.55211,	
GM12865,	0.165289,	19.8347,	0.661157,	0.881543,	1.87328,	0.165289,	0.606061,	0.275482,	0.495868,	0.0550964,	0.495868,	2.47934,	0.881543,	0.165289,	0.275482,	1.32231,	0.606061,	0.385675,	1.98347,	0.661157,	1.04683,	2.03857,	0.495868,	3.0303,	0.275482,	0.77135,	0.440771,	0.330579,	0.220386,	0.220386,	0.550964,	0.495868,	0.220386,	0.77135,	2.31405,	0.110193,	0.440771,	4.24242,	0.716253,	1.37741,	1.5978,	1.43251,	0.165289,	1.43251,	0.165289,	0.165289,	0.330579,	0.385675,	1.81818,	1.32231,	0.881543,	0.440771,	0.330579,	2.20386,	2.09366,	0.77135,	0.661157,	0.0550964,	0,	0.661157,	0.220386,	0.330579,	0.440771,	0.440771,	0,	0.0550964,	0.0550964,	1.04683,	1.04683,	0.0550964,	0.110193,	2.97521,	0,	0.991736,	6.06061,	0.495868,	1.98347,	0.661157,	1.92837,	0.0550964,	0.716253,	0.275482,	0.0550964,	0.110193,	0.220386,	1.04683,	3.25069,	0.0550964,	0.550964,	0.220386,	0.0550964,	0,	0.495868,	0.661157,	0.385675,	0.0550964,	0,	0.220386,	0.275482,	1.10193,	
H7-hESC,	0.265252,	15.8621,	1.48541,	1.00796,	2.33422,	0.371353,	1.11406,	0.265252,	0.530504,	0.212202,	0.583554,	1.11406,	0.583554,	0.159151,	0.318302,	0.848806,	0.424403,	0.477454,	3.18302,	1.37931,	1.90981,	2.01592,	0.424403,	3.97878,	0.265252,	0.530504,	0.530504,	0.424403,	0.106101,	0,	0.424403,	0.530504,	0.0530504,	0.689655,	3.71353,	0.318302,	0.212202,	6.25995,	0.689655,	0.530504,	1.32626,	1.06101,	0.265252,	1.90981,	0.0530504,	0.0530504,	0.848806,	0.265252,	1.22016,	1.53846,	1.00796,	0.371353,	0.636605,	1.48541,	1.90981,	1.43236,	0.689655,	0.159151,	0,	0.689655,	0,	0.318302,	0.212202,	0.636605,	0.0530504,	0.371353,	0,	0.530504,	0.583554,	0.159151,	0.0530504,	1.80371,	0.106101,	2.17507,	4.93369,	0.795756,	1.59151,	0.636605,	1.48541,	0.0530504,	0.901857,	0.212202,	0.212202,	0.106101,	0.159151,	1.37931,	2.97082,	0.159151,	0.371353,	0.265252,	0.159151,	0,	1.16711,	0.795756,	0.636605,	0,	0.0530504,	0.212202,	0.318302,	0.371353,	
HA-h,	0.296296,	13.037,	0.790123,	1.4321,	1.4321,	0.444444,	0.888889,	0.54321,	0.592593,	0.345679,	0.345679,	0.790123,	0.493827,	0.296296,	0.197531,	0.839506,	0.54321,	0.888889,	3.11111,	0.790123,	0.790123,	3.65432,	0.395062,	2.22222,	0.296296,	1.03704,	0.444444,	0.641975,	0.444444,	0.0493827,	1.08642,	0.54321,	0.0493827,	0.641975,	2.22222,	0.345679,	0.345679,	3.80247,	0.691358,	0.54321,	2.41975,	2.32099,	0.0987654,	1.72839,	0.493827,	0.246914,	0.592593,	0.54321,	1.03704,	0.888889,	1.08642,	1.03704,	0.592593,	2.51852,	2.32099,	1.28395,	0.839506,	0.197531,	0.0493827,	1.48148,	0,	0.345679,	0.54321,	0.839506,	0.296296,	0.493827,	0,	1.03704,	0.493827,	0.197531,	0.148148,	1.38272,	0.296296,	1.48148,	5.33333,	0.691358,	0.691358,	2.12346,	2.07407,	0.246914,	0.839506,	0.296296,	0.296296,	0.246914,	0.345679,	1.03704,	2.61728,	0.246914,	0.790123,	0.345679,	0.0493827,	0.148148,	0.54321,	1.1358,	1.18519,	0,	0.148148,	0.345679,	0.296296,	0.246914,	
HAEpiC,	0.159574,	15.7979,	1.17021,	1.2766,	2.5,	0.212766,	1.01064,	0.425532,	0.478723,	0.0531915,	0.478723,	1.01064,	0.425532,	0.159574,	0.37234,	0.744681,	0.425532,	0.638298,	3.08511,	1.2234,	1.75532,	2.02128,	0.37234,	3.67021,	0.37234,	0.531915,	0.37234,	0.638298,	0.0531915,	0.0531915,	0.957447,	0.638298,	0.159574,	0.797872,	3.40426,	0.212766,	0.478723,	5.37234,	0.531915,	0.478723,	1.70213,	1.17021,	0.159574,	2.28723,	0,	0.0531915,	1.01064,	0.106383,	1.8617,	1.2766,	1.64894,	0.585106,	0.904255,	1.8617,	2.28723,	1.17021,	0.478723,	0.265957,	0,	1.06383,	0.0531915,	0.212766,	0.478723,	0.319149,	0,	0.212766,	0.0531915,	0.585106,	0.797872,	0.106383,	0.159574,	2.28723,	0.159574,	1.54255,	5.05319,	0.904255,	0.957447,	0.691489,	0.904255,	0.159574,	0.851064,	0.319149,	0.159574,	0.0531915,	0.159574,	1.2766,	2.39362,	0.0531915,	0.425532,	0.478723,	0.0531915,	0.159574,	0.744681,	0.585106,	0.638298,	0.0531915,	0.0531915,	0.425532,	0.37234,	0.691489,	
HCF,	0.261233,	17.1891,	0.940439,	1.51515,	1.93312,	0.104493,	1.4629,	0.261233,	0.470219,	0.104493,	0.417973,	1.30617,	0.31348,	0.0522466,	0.470219,	0.992685,	0.365726,	0.679206,	2.45559,	1.09718,	1.88088,	2.87356,	0.261233,	2.82132,	0.31348,	0.783699,	0.626959,	0.626959,	0.15674,	0.0522466,	0.992685,	0.0522466,	0.261233,	1.09718,	2.66458,	0.261233,	0.261233,	4.96343,	0.522466,	0.783699,	1.72414,	1.30617,	0.15674,	2.2466,	0.261233,	0.15674,	0.835946,	0.31348,	1.25392,	1.30617,	1.25392,	0.679206,	0.731452,	1.25392,	2.87356,	0.992685,	0.940439,	0.0522466,	0,	1.35841,	0.104493,	0.31348,	0.470219,	0.626959,	0.104493,	0.261233,	0.15674,	0.835946,	0.783699,	0.104493,	0.15674,	2.2466,	0.15674,	1.67189,	5.59039,	0.626959,	0.992685,	0.470219,	1.61964,	0.261233,	0.417973,	0.417973,	0.208986,	0.15674,	0.15674,	0.888192,	2.03762,	0.0522466,	0.31348,	0.15674,	0.104493,	0.104493,	0.626959,	0.679206,	0.888192,	0.104493,	0.0522466,	0.104493,	0.208986,	0.417973,	
HCM,	0.627615,	14.8536,	1.20293,	1.72594,	1.93515,	0.104603,	0.993724,	0.732218,	0.41841,	0.0523013,	0.366109,	1.62134,	0.732218,	0.104603,	0.41841,	1.04603,	0.732218,	0.470711,	3.34728,	0.679916,	1.15063,	1.93515,	0.366109,	2.14435,	0.313808,	0.523013,	0.366109,	0.470711,	0.156904,	0.0523013,	0.732218,	0.313808,	0.104603,	0.889121,	2.98117,	0.104603,	0.313808,	4.60251,	0.313808,	0.993724,	2.03975,	1.46444,	0.209205,	2.14435,	0.261506,	0.209205,	0.784519,	0.313808,	1.35983,	1.35983,	1.15063,	0.41841,	0.627615,	1.93515,	3.50418,	1.20293,	0.83682,	0.104603,	0.0523013,	1.04603,	0.104603,	0.470711,	0.575314,	0.575314,	0.0523013,	0.209205,	0.0523013,	0.784519,	0.575314,	0.0523013,	0.209205,	2.14435,	0.156904,	1.72594,	6.32845,	0.784519,	0.575314,	1.04603,	2.14435,	0.104603,	0.941423,	0.156904,	0.209205,	0.156904,	0.156904,	0.83682,	2.14435,	0.104603,	0.523013,	0.366109,	0.209205,	0.261506,	0.784519,	0.627615,	0.679916,	0,	0.0523013,	0.41841,	0.104603,	0.575314,	
