cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.296359,	21.4225,	3.25995,	2.37087,	1.1431,	0.973751,	0.211685,	0.465707,	0.296359,	0.169348,	0.381033,	1.27011,	1.98984,	0.465707,	0.931414,	1.69348,	0.84674,	0.211685,	0.550381,	0.211685,	0.931414,	0.254022,	0.592718,	1.27011,	0.381033,	0.508044,	0.635055,	0.550381,	0.508044,	0.719729,	0.296359,	1.43946,	0.550381,	2.62489,	0.381033,	0.592718,	1.4818,	1.69348,	0.889077,	1.10076,	0.465707,	0.762066,	0.465707,	0.381033,	0.211685,	0.465707,	0.42337,	0.254022,	1.27011,	0.677392,	0,	0.169348,	0.381033,	2.11685,	1.39712,	1.01609,	0.084674,	1.82049,	0.508044,	0.592718,	1.01609,	0.762066,	0.804403,	0.931414,	0.254022,	0.635055,	0.084674,	1.43946,	2.03218,	0.42337,	1.10076,	1.10076,	0.169348,	0.211685,	1.18544,	0.465707,	1.9475,	0.042337,	2.41321,	0.465707,	1.43946,	0.931414,	0,	0.592718,	1.35478,	1.69348,	1.10076,	0.127011,	0.592718,	0.42337,	0.127011,	0.211685,	0.381033,	0.550381,	0.084674,	0.381033,	0.296359,	0.169348,	0.508044,	1.52413,	
AoAF,	0.203417,	19.8535,	2.40033,	1.91212,	1.38324,	0.650936,	0.366151,	0.691619,	0.610252,	0.203417,	0.528885,	1.05777,	2.80716,	0.650936,	1.09845,	1.26119,	0.650936,	0.366151,	0.610252,	0.325468,	0.976404,	0.284784,	0.854353,	1.34255,	0.244101,	0.488202,	0.406835,	0.610252,	0.569569,	0.732303,	0.203417,	1.62734,	0.528885,	2.60374,	0.610252,	0.528885,	1.54597,	1.74939,	0.895037,	1.09845,	0.691619,	0.732303,	0.406835,	0.244101,	0.325468,	0.569569,	0.284784,	0.162734,	1.05777,	0.732303,	0.162734,	0.12205,	0.12205,	1.95281,	1.30187,	0.976404,	0.447518,	1.95281,	0.447518,	0.772986,	0.569569,	0.854353,	0.81367,	0.569569,	0.162734,	0.93572,	0.0406835,	1.54597,	1.50529,	0.447518,	1.38324,	0.976404,	0.12205,	0.366151,	1.79007,	0.447518,	2.27828,	0.0406835,	2.68511,	0.528885,	1.30187,	0.650936,	0,	0.854353,	1.66802,	1.34255,	1.74939,	0.0406835,	1.05777,	0.93572,	0.0406835,	0.162734,	0.447518,	0.447518,	0.162734,	0.244101,	0.203417,	0.0406835,	0.610252,	0.976404,	
CD20+,	0.175208,	21.5068,	2.1025,	1.31406,	1.83968,	0.65703,	0.21901,	0.788436,	0.43802,	0.262812,	0.350416,	1.75208,	2.2777,	0.43802,	1.13885,	2.40911,	0.744634,	0.350416,	0.613228,	0.43802,	0.569426,	0.175208,	0.394218,	1.00745,	0.43802,	0.394218,	0.65703,	0.394218,	0.744634,	0.43802,	0.262812,	1.35786,	0.43802,	3.24135,	0.613228,	0.569426,	1.57687,	2.58432,	0.613228,	1.40166,	0.43802,	0.919842,	0.525624,	0.21901,	0.21901,	0.613228,	0.525624,	0.350416,	1.70828,	0.21901,	0.131406,	0.21901,	0.350416,	1.22646,	1.18265,	0.832238,	0.131406,	0.569426,	0.394218,	1.00745,	1.35786,	0.744634,	0.481822,	0.394218,	0.21901,	1.00745,	0.043802,	0.700832,	1.88349,	0.481822,	1.05125,	1.62067,	0.306614,	0.087604,	1.35786,	0.43802,	2.40911,	0,	2.71572,	0.65703,	0.919842,	0.744634,	0.087604,	0.613228,	1.18265,	1.70828,	1.35786,	0,	0.87604,	0.569426,	0.087604,	0.306614,	0.350416,	0.350416,	0,	0.306614,	0.262812,	0.43802,	0.350416,	2.05869,	
GM06990,	0.26824,	24.1416,	1.77039,	1.98498,	1.18026,	1.18026,	0.321888,	0.804721,	0.375536,	0.107296,	0.107296,	1.71674,	3.16524,	0.214592,	0.697425,	1.23391,	1.01931,	0.214592,	0.590129,	0.590129,	0.590129,	1.12661,	0.429185,	1.77039,	0.26824,	0.321888,	0.321888,	0.26824,	0.160944,	0.214592,	0.375536,	1.12661,	0.590129,	1.93133,	0.751073,	0.536481,	0.858369,	2.62876,	0.482833,	1.71674,	1.4485,	0.643777,	0.375536,	0.643777,	0.0536481,	0.0536481,	0.375536,	0.482833,	2.73605,	0.375536,	0.321888,	0.0536481,	1.3412,	1.93133,	1.07296,	1.28755,	0.107296,	0.751073,	0.160944,	0.858369,	0.321888,	0.804721,	0.858369,	0.751073,	0.160944,	0.429185,	0.0536481,	1.18026,	1.60944,	0.0536481,	0.321888,	1.71674,	0.160944,	0.804721,	2.52146,	0.321888,	1.4485,	0.160944,	2.30687,	0.214592,	0.429185,	0.214592,	0.214592,	0.751073,	0.751073,	0.804721,	2.03863,	0,	0.858369,	0.912017,	0,	0,	1.01931,	0.375536,	0.26824,	0.107296,	0.429185,	0.0536481,	0.160944,	1.18026,	
GM12865,	0.20816,	20.816,	2.45629,	1.74854,	1.91507,	0.457952,	0.41632,	0.333056,	0.499584,	0.249792,	0.41632,	1.20733,	2.49792,	0.374688,	0.999167,	1.20733,	0.749376,	0.124896,	0.374688,	0.499584,	0.915903,	0.41632,	0.791007,	1.20733,	0.333056,	0.249792,	0.62448,	0.249792,	0.791007,	0.499584,	0.20816,	1.45712,	0.41632,	2.62281,	0.791007,	0.249792,	1.37386,	1.58201,	0.999167,	1.49875,	0.957535,	1.1657,	0.374688,	0.457952,	0.166528,	0.374688,	0.374688,	0.041632,	1.99833,	0.582848,	0.0832639,	0.0832639,	0.249792,	1.9567,	1.45712,	0.749376,	0.20816,	1.33222,	0.457952,	0.457952,	1.45712,	0.666112,	0.582848,	0.791007,	0.124896,	0.666112,	0.0832639,	1.33222,	1.99833,	0.457952,	0.62448,	1.29059,	0.124896,	0.582848,	1.45712,	0.499584,	1.58201,	0.041632,	2.24813,	0.582848,	1.0408,	0.791007,	0.124896,	0.666112,	1.58201,	2.28976,	2.28976,	0.041632,	0.957535,	0.41632,	0,	0.249792,	0.166528,	0.291424,	0.041632,	0.124896,	0.41632,	0.124896,	0.791007,	2.03997,	
H7-hESC,	0.20517,	16.7009,	2.58515,	2.13377,	1.10792,	0.902749,	0.328272,	0.656545,	0.451375,	0.246204,	0.902749,	1.27206,	2.74928,	0.656545,	1.27206,	1.23102,	0.943783,	0.451375,	0.246204,	0.328272,	0.779647,	0.369307,	0.738613,	1.06689,	0.164136,	0.328272,	0.574477,	0.574477,	0.410341,	1.23102,	0.287238,	1.76446,	0.738613,	2.25687,	0.410341,	0.574477,	1.47723,	1.9286,	0.779647,	1.27206,	0.656545,	0.943783,	0.451375,	0.123102,	0.123102,	0.779647,	0.410341,	0.20517,	1.10792,	0.369307,	0.164136,	0.20517,	0.369307,	1.35412,	1.51826,	0.697579,	0.328272,	2.17481,	0.492409,	0.738613,	1.10792,	0.574477,	1.10792,	0.697579,	0.246204,	0.820681,	0.123102,	1.10792,	2.25687,	0.369307,	1.6824,	1.39516,	0.0820681,	0.492409,	2.0517,	0.574477,	2.58515,	0.0820681,	2.13377,	0.492409,	1.18999,	0.943783,	0.123102,	1.31309,	1.39516,	1.76446,	1.31309,	0,	0.738613,	0.738613,	0.0820681,	0.369307,	0.451375,	0.492409,	0.20517,	0.246204,	0.328272,	0.123102,	0.738613,	1.14895,	
HA-h,	0.506231,	15.8879,	2.60903,	1.83022,	1.12928,	0.895639,	0.350467,	0.584112,	0.700935,	0.272586,	0.739875,	1.51869,	1.9081,	0.856698,	1.01246,	0.817757,	0.934579,	0.311526,	0.584112,	0.428349,	0.97352,	0.389408,	0.661994,	0.856698,	0.545171,	0.506231,	0.661994,	0.350467,	1.16822,	0.739875,	0.584112,	1.12928,	1.01246,	1.75234,	0.778816,	0.661994,	1.83022,	1.09034,	1.12928,	1.12928,	1.12928,	1.24611,	0.856698,	0.389408,	0.0778816,	0.739875,	0.661994,	0.46729,	1.24611,	0.506231,	0.194704,	0.0778816,	0.428349,	1.94704,	1.20717,	1.01246,	0.350467,	1.0514,	1.01246,	0.661994,	1.75234,	0.934579,	0.778816,	0.97352,	0.311526,	0.97352,	0.194704,	0.856698,	0.934579,	0.46729,	1.24611,	1.51869,	0.506231,	0.661994,	1.0514,	0.739875,	1.75234,	0.0778816,	1.9081,	0.545171,	1.24611,	0.856698,	0.0778816,	1.09034,	1.75234,	1.67445,	1.51869,	0,	1.20717,	0.545171,	0.0389408,	0.428349,	0.506231,	0.389408,	0.155763,	0.661994,	0.623053,	0.0778816,	0.311526,	1.55763,	
HAEpiC,	0.211685,	21.9306,	2.32854,	2.24386,	1.4818,	0.973751,	0.127011,	0.550381,	0.296359,	0.084674,	0.677392,	0.804403,	2.37087,	0.169348,	1.31245,	1.77815,	0.719729,	0.296359,	0.381033,	0.254022,	1.22777,	0.465707,	0.508044,	0.931414,	0.296359,	0.465707,	0.169348,	0.592718,	0.677392,	0.592718,	0.169348,	1.52413,	0.42337,	2.07451,	0.42337,	0.508044,	1.60881,	1.69348,	0.889077,	0.973751,	0.635055,	0.889077,	0.42337,	0.296359,	0.084674,	0.338696,	0.42337,	0.211685,	1.18544,	1.18544,	0,	0.211685,	0.211685,	1.73582,	1.1431,	0.719729,	0.338696,	1.90517,	0.677392,	1.01609,	1.01609,	0.889077,	0.719729,	0.719729,	0.254022,	0.592718,	0.042337,	1.39712,	1.86283,	0.296359,	1.01609,	1.56647,	0.042337,	0.381033,	1.4818,	0.762066,	1.65114,	0,	2.58256,	0.550381,	1.52413,	0.84674,	0.169348,	0.804403,	1.27011,	2.24386,	1.35478,	0.084674,	0.762066,	0.635055,	0.042337,	0.296359,	0.254022,	0.592718,	0.084674,	0.084674,	0.338696,	0.127011,	0.381033,	1.43946,	
HCF,	0.0825764,	20.2312,	2.31214,	1.89926,	0.990917,	0.495458,	0.247729,	0.784476,	0.660611,	0.330306,	0.330306,	1.15607,	2.14699,	0.495458,	1.19736,	1.56895,	0.784476,	0.495458,	0.495458,	0.660611,	0.701899,	0.45417,	0.45417,	0.867052,	0.330306,	0.371594,	0.619323,	0.578035,	0.578035,	0.495458,	0.412882,	1.32122,	0.45417,	1.81668,	0.660611,	0.619323,	1.27993,	2.14699,	0.825764,	0.990917,	0.743187,	1.11478,	0.412882,	0.206441,	0.247729,	0.536747,	0.45417,	0.206441,	1.61024,	0.867052,	0.0825764,	0.0825764,	0.495458,	1.65153,	0.825764,	0.949628,	0.247729,	1.69282,	0.578035,	0.825764,	1.27993,	0.578035,	0.949628,	0.412882,	0.330306,	0.660611,	0.123865,	1.23865,	1.69282,	0.45417,	1.07349,	1.32122,	0.165153,	0.660611,	1.85797,	0.784476,	1.98183,	0,	2.39472,	0.495458,	1.19736,	1.11478,	0.0412882,	0.743187,	1.65153,	1.52766,	1.85797,	0.0412882,	0.825764,	0.619323,	0.0412882,	0.371594,	0.247729,	0.206441,	0.0412882,	0.495458,	0.495458,	0.0412882,	0.90834,	1.89926,	
HCM,	0.252101,	20.9244,	2.52101,	2.35294,	1.30252,	0.756303,	0.210084,	0.546219,	0.546219,	0.168067,	0.588235,	1.17647,	1.59664,	0.756303,	1.13445,	1.34454,	0.92437,	0.210084,	0.546219,	0.546219,	1.42857,	0.336134,	0.798319,	0.840336,	0.168067,	0.420168,	0.756303,	0.714286,	0.714286,	0.798319,	0.294118,	1.30252,	0.420168,	1.93277,	0.504202,	0.588235,	1.84874,	1.72269,	0.840336,	1.38655,	0.966387,	1.05042,	0.420168,	0.210084,	0.12605,	0.462185,	0.378151,	0.210084,	1.51261,	0.504202,	0.168067,	0.252101,	0.294118,	1.80672,	1.21849,	0.966387,	0.336134,	1.30252,	0.630252,	0.630252,	0.966387,	0.840336,	1.0084,	0.630252,	0.210084,	0.672269,	0.12605,	0.92437,	1.63866,	0.630252,	0.798319,	0.966387,	0.168067,	0.294118,	1.05042,	0.378151,	1.93277,	0.0420168,	2.43697,	0.630252,	1.55462,	0.714286,	0.12605,	1.17647,	1.38655,	1.76471,	1.30252,	0.12605,	1.2605,	0.672269,	0,	0.252101,	0.420168,	0.336134,	0.0420168,	0.378151,	0.168067,	0.12605,	0.504202,	1.68067,	
