cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.722098,	16.3534,	2.73973,	2.3362,	1.38048,	0.732717,	0.191144,	0.711479,	0.11681,	0.785813,	0.180525,	0.870766,	9.73771,	0.11681,	1.81587,	0.690241,	1.97515,	0.0637146,	0.0637146,	0.530955,	0.191144,	0.127429,	0.626526,	0.753956,	0.254858,	0.0849527,	0.286716,	0.541574,	1.08315,	1.28491,	0.148667,	0.998195,	1.19996,	1.17872,	0.23362,	0.286716,	0.605288,	0.403526,	0.753956,	5.30955,	0.307954,	0.446002,	0.0106191,	0.191144,	0.0106191,	0.148667,	0.0212382,	0.138048,	3.70606,	0.159286,	0.0637146,	0.0212382,	1.15748,	0.573431,	0.637146,	0.70086,	0.541574,	1.03005,	0.945099,	0.488478,	0.70086,	1.32739,	0.562812,	0.361049,	0.0106191,	0.424764,	0.435383,	2.80344,	1.68844,	0.297335,	0.499097,	1.46543,	0.0106191,	0.169905,	1.78401,	0.127429,	3.34501,	0.0212382,	2.92025,	0.0955718,	0.70086,	0.435383,	0.212382,	1.25305,	1.1681,	0.488478,	0.81767,	0.11681,	0.35043,	0.382287,	0.0424764,	0.0743337,	1.23181,	0.371668,	0.0318573,	1.33801,	0.81767,	0.148667,	0.223001,	0.976957,	
AoAF,	0.949687,	14.3766,	3.10164,	2.86927,	1.38412,	0.585977,	0.343504,	1.04061,	0.0707214,	0.757729,	0.171752,	0.72742,	9.68883,	0.181855,	1.56597,	0.555668,	1.90948,	0.0808244,	0.13134,	0.676904,	0.272782,	0.111134,	0.979996,	1.26288,	0.262679,	0.111134,	0.303092,	0.666801,	1.3235,	1.25278,	0.23237,	0.979996,	1.40432,	1.08103,	0.191958,	0.303092,	0.646595,	0.555668,	0.757729,	5.51627,	0.323298,	0.313195,	0.0303092,	0.151546,	0.0303092,	0.101031,	0.0505153,	0.101031,	3.38452,	0.212164,	0.0101031,	0.0202061,	0.858759,	0.626389,	0.666801,	0.777935,	0.49505,	0.72742,	1.18206,	0.46474,	0.939584,	1.03051,	0.798141,	0.343504,	0.0303092,	0.303092,	0.242473,	2.54597,	2.3237,	0.292988,	0.606183,	1.22247,	0.0404122,	0.101031,	1.3235,	0.0101031,	4.06143,	0.0505153,	2.96019,	0.13134,	0.585977,	0.434431,	0.161649,	1.01031,	1.16185,	0.424328,	1.04061,	0.13134,	0.323298,	0.444534,	0.0808244,	0.0707214,	1.14164,	0.303092,	0.0202061,	1.24268,	0.72742,	0.151546,	0.222267,	1.05072,	
CD20+,	0.40555,	19.9573,	1.98506,	1.8143,	1.6969,	0.72572,	0.458911,	0.640342,	0.117396,	0.394877,	0.117396,	0.960512,	8.78335,	0.149413,	1.1953,	0.928495,	1.21665,	0.117396,	0.0960512,	0.373533,	0.106724,	0.192102,	0.373533,	0.747065,	0.202775,	0.0533618,	0.330843,	0.416222,	1.20598,	1.06724,	0.202775,	1.09925,	1.02455,	1.99573,	0.458911,	0.341515,	0.704376,	0.437567,	0.651014,	4.39701,	0.234792,	0.36286,	0.0320171,	0.138741,	0.0853789,	0.138741,	0.0747065,	0.234792,	3.4365,	0.160085,	0.0533618,	0.0426894,	0.832444,	0.885806,	0.640342,	0.693703,	0.394877,	0.971185,	0.971185,	0.448239,	0.672359,	1.45144,	0.533618,	0.40555,	0.0106724,	0.426894,	0.266809,	2.51868,	2.55069,	0.256137,	0.576307,	2.01708,	0.0533618,	0.234792,	2.65742,	0.0960512,	2.88154,	0.0426894,	3.56457,	0.138741,	0.76841,	0.480256,	0.128068,	0.72572,	0.779082,	0.789755,	1.04589,	0.192102,	0.384205,	0.298826,	0.0320171,	0.0747065,	0.917823,	0.394877,	0.0320171,	0.512273,	0.640342,	0.106724,	0.202775,	1.16329,	
GM06990,	0.940273,	22.4474,	2.68839,	1.52298,	1.93352,	0.291352,	0.291352,	0.304595,	0.72838,	0.0794597,	0.384055,	1.50973,	0.900543,	0.516488,	0.251622,	1.89379,	0.225136,	0.145676,	1.56271,	0.860813,	0.966759,	0.463515,	0.92703,	3.68163,	0.198649,	0.357569,	0.238379,	0.675407,	0.11919,	0.092703,	0.370812,	0.741624,	0.516488,	1.39054,	3.28433,	0.331082,	0.516488,	6.31704,	0.450272,	0.84757,	0.423785,	0.675407,	0.423785,	0.595948,	0.0794597,	0.11919,	0.357569,	0.092703,	1.15217,	0.860813,	0.529731,	0.145676,	0.0662164,	1.25811,	0.68865,	0.476758,	0.198649,	0.264866,	0.0529731,	0.516488,	0.463515,	0.264866,	0.595948,	1.24487,	0.278109,	0.384055,	0.0132433,	0.662164,	2.03946,	0.251622,	0.185406,	1.72163,	0.185406,	0.622434,	2.58244,	0.384055,	4.56893,	0.331082,	2.64866,	0.185406,	0.384055,	0.635677,	0.0662164,	0.211892,	0.331082,	0.874056,	1.20514,	0,	0.476758,	0.145676,	0.105946,	0.0794597,	0.476758,	0.80784,	0.132433,	0.0132433,	0.0794597,	0.0132433,	1.78784,	1.61568,	
GM12865,	0.552034,	17.3993,	2.52505,	2.02413,	1.64588,	0.7156,	0.337354,	0.623594,	0.0920057,	0.654263,	0.0920057,	0.889389,	10.1206,	0.184011,	1.58454,	0.541811,	1.54365,	0.0511143,	0.21468,	0.7156,	0.204457,	0.163566,	0.521366,	1.15518,	0.276017,	0.0613372,	0.337354,	0.57248,	1.11429,	1.12451,	0.194234,	0.981394,	1.14496,	1.75833,	0.337354,	0.347577,	0.592926,	1.03251,	0.603149,	5.46923,	0.132897,	0.306686,	0.0408914,	0.14312,	0.0408914,	0.153343,	0.0408914,	0.14312,	3.11797,	0.224903,	0.0204457,	0.0102229,	0.838274,	0.920057,	0.582703,	0.674709,	0.449806,	0.807606,	0.736046,	0.531589,	0.848497,	1.03251,	0.562257,	0.388469,	0.0408914,	0.327131,	0.245349,	2.81129,	2.20814,	0.184011,	0.480474,	1.51298,	0.07156,	0.194234,	2.09569,	0.102229,	3.62911,	0.0204457,	3.38377,	0.0817829,	0.695154,	0.480474,	0.173789,	0.85872,	0.725823,	0.64404,	1.0734,	0.0817829,	0.347577,	0.337354,	0.0102229,	0.102229,	0.807606,	0.296463,	0.0408914,	0.736046,	0.531589,	0.112451,	0.306686,	1.00184,	
H7-hESC,	0.635076,	14.7533,	3.52711,	5.54958,	0.918417,	0.615535,	0.371275,	1.52418,	0.185638,	0.683928,	0.175867,	0.566683,	7.73815,	0.195408,	1.75867,	0.547142,	2.2765,	0.107474,	0.0586224,	0.537372,	0.351734,	0.117245,	0.850024,	0.693698,	0.283341,	0.0879336,	0.25403,	0.439668,	1.2213,	1.11383,	0.117245,	1.43625,	1.41671,	1.16268,	0.24426,	0.24426,	0.508061,	0.312653,	0.97704,	4.18173,	0.674157,	0.293112,	0,	0.205178,	0.0390816,	0.166097,	0.048852,	0.185638,	2.96043,	0.312653,	0.0195408,	0.0293112,	1.46556,	0.576453,	1.40694,	0.771861,	0.605765,	0.859795,	1.25061,	0.351734,	0.908647,	0.859795,	0.898876,	0.224719,	0.0097704,	0.293112,	0.107474,	1.90523,	1.75867,	0.25403,	0.459209,	0.801172,	0.0781632,	0.146556,	1.26038,	0.0586224,	4.00586,	0.0293112,	2.74548,	0.166097,	0.850024,	0.400586,	0.273571,	0.859795,	2.38398,	0.322423,	1.17245,	0.156326,	0.410357,	0.537372,	0.0390816,	0.0781632,	1.17245,	0.381045,	0.0683928,	1.3874,	0.635076,	0.146556,	0.205178,	0.586224,	
HA-h,	0.813316,	9.98676,	2.32646,	2.33592,	1.00246,	1.14432,	0.387744,	1.06866,	0.104029,	0.907887,	0.226972,	0.794401,	8.11424,	0.293172,	2.0522,	0.368829,	1.7874,	0.104029,	0.141857,	0.652544,	0.245886,	0.255343,	0.576887,	1.01192,	0.463401,	0.1324,	0.387744,	0.56743,	1.82523,	1.49423,	0.208058,	1.40912,	1.47532,	1.20106,	0.179686,	0.312086,	0.907887,	0.283715,	0.851144,	5.07849,	0.690373,	0.539058,	0.0472858,	0.359372,	0.0945716,	0.236429,	0.122943,	0.312086,	3.83961,	0.245886,	0.0756573,	0.0283715,	1.3902,	0.737658,	0.784944,	0.851144,	0.775487,	1.1254,	1.59826,	0.435029,	0.993002,	1.76849,	0.56743,	0.595801,	0.0189143,	0.510687,	0.690373,	2.28863,	2.26972,	0.274258,	0.539058,	1.08757,	0.104029,	0.1986,	1.54152,	0.208058,	2.5156,	0.0283715,	2.648,	0.208058,	1.03083,	0.803859,	0.170229,	1.2578,	1.44695,	0.576887,	0.888973,	0.170229,	0.416115,	0.416115,	0.0851144,	0.122943,	1.324,	0.482315,	0.0472858,	1.29563,	1.35237,	0.331001,	0.208058,	0.747116,	
HAEpiC,	0.904833,	15.1799,	3.39578,	2.83159,	1.11773,	0.510964,	0.287418,	0.968703,	0.106451,	0.745157,	0.191612,	0.574835,	9.01639,	0.244837,	1.61805,	0.659996,	1.89483,	0.0638706,	0.117096,	0.702576,	0.191612,	0.0745156,	0.851607,	0.926123,	0.266127,	0.0851607,	0.191612,	0.659996,	1.27741,	1.00064,	0.0745156,	1.00064,	1.55418,	1.36257,	0.149031,	0.308708,	0.553545,	0.383223,	0.968703,	5.6419,	0.308708,	0.404514,	0.0319353,	0.159676,	0.0319353,	0.138386,	0.0532255,	0.212902,	2.83159,	0.191612,	0.0106451,	0,	0.947413,	0.670641,	0.52161,	0.60677,	0.702576,	0.787737,	1.07515,	0.457739,	1.01128,	0.989994,	0.989994,	0.234192,	0.0319353,	0.308708,	0.180967,	2.09708,	2.10773,	0.372578,	0.500319,	1.40515,	0.0638706,	0.106451,	1.44773,	0.0425804,	4.56674,	0,	3.09772,	0.0851607,	0.734511,	0.447094,	0.351288,	1.22419,	1.12838,	0.489674,	0.968703,	0.212902,	0.308708,	0.372578,	0.0532255,	0.0745156,	1.01128,	0.383223,	0.0425804,	1.37322,	0.904833,	0.106451,	0.276772,	1.09644,	
HCF,	0.878178,	14.4491,	2.85918,	2.92045,	1.32748,	0.878178,	0.255284,	0.673951,	0.122537,	0.806699,	0.132748,	0.786276,	9.7825,	0.204228,	1.46023,	0.561626,	2.01164,	0.0714796,	0.081691,	0.612683,	0.326764,	0.142959,	0.571837,	1.05177,	0.265496,	0.081691,	0.316553,	0.684162,	1.3479,	1.00071,	0.173593,	1.04156,	1.51128,	1.42959,	0.285919,	0.234862,	0.694374,	0.571837,	0.704585,	5.50393,	0.398244,	0.36761,	0.0306341,	0.326764,	0.0612683,	0.163382,	0.0306341,	0.214439,	3.62504,	0.234862,	0.0204228,	0.0510569,	1.11304,	0.530991,	0.643317,	0.663739,	0.551414,	0.898601,	1.17431,	0.500357,	0.776065,	1.31727,	0.52078,	0.561626,	0.0306341,	0.326764,	0.357398,	2.78771,	1.85847,	0.306341,	0.479935,	1.32748,	0.0919024,	0.132748,	1.51128,	0.0408455,	3.47187,	0.0204228,	2.84897,	0.132748,	0.755642,	0.377821,	0.142959,	1.23558,	1.30706,	0.479935,	0.867967,	0.173593,	0.459512,	0.265496,	0.0204228,	0.0919024,	1.10283,	0.347187,	0.0102114,	1.26621,	0.765853,	0.163382,	0.163382,	0.684162,	
HCM,	0.850358,	14.9331,	2.30219,	2.55107,	1.41035,	0.839988,	0.290366,	0.757026,	0.0933319,	0.995541,	0.186664,	0.93332,	9.62356,	0.197034,	1.89775,	0.705175,	2.35404,	0.114072,	0.0933319,	0.642953,	0.217775,	0.217775,	0.591102,	0.9748,	0.331847,	0.0725915,	0.279996,	0.632583,	1.19257,	1.23406,	0.145183,	1.23406,	1.16146,	1.42072,	0.248885,	0.228145,	0.549622,	0.508141,	0.611843,	5.7451,	0.46666,	0.46666,	0.0207404,	0.300736,	0.0414809,	0.114072,	0.0829617,	0.176294,	3.27699,	0.279996,	0.0103702,	0.0518511,	1.10961,	0.829617,	0.601473,	0.622213,	0.4874,	0.736285,	0.839988,	0.539251,	0.642953,	1.3585,	0.819247,	0.321477,	0.0103702,	0.279996,	0.300736,	2.5407,	2.14663,	0.279996,	0.559992,	1.28591,	0.0414809,	0.186664,	1.69035,	0.124443,	3.26662,	0.0518511,	2.08441,	0.134813,	0.757026,	0.311107,	0.248885,	1.21332,	1.37924,	0.549622,	1.02665,	0.207404,	0.4874,	0.352587,	0.0829617,	0.134813,	0.850358,	0.321477,	0.0725915,	1.24443,	0.902209,	0.145183,	0.165923,	0.995541,	
