cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0323415,	24.6766,	1.00259,	1.16429,	1.16429,	1.48771,	0.258732,	0.323415,	0.0323415,	0.808538,	0.0970246,	2.23157,	3.46054,	0.226391,	2.13454,	1.09961,	1.81113,	0.0970246,	0.355757,	0.194049,	0.679172,	0.776197,	0.291074,	0.614489,	0.0323415,	0.0970246,	0.291074,	0.258732,	0.0970246,	0.485123,	1.39069,	1.06727,	0.549806,	2.36093,	0.355757,	0.355757,	1.42303,	1.13195,	0.355757,	1.87581,	1.61708,	0.776197,	0.0970246,	0.776197,	0.291074,	0.0970246,	0.0970246,	0.258732,	1.52005,	0.291074,	0.161708,	0.0323415,	0.485123,	3.16947,	0.937904,	1.09961,	0.0970246,	0.388098,	0.0323415,	2.1022,	0.129366,	1.61708,	0.776197,	1.09961,	0.0323415,	0.646831,	0.064683,	3.23415,	1.87581,	0,	0.614489,	2.55498,	0,	0.323415,	2.32859,	0.323415,	1.29366,	0.291074,	0.582147,	0.0970246,	0.291074,	0.064683,	0.0323415,	2.65201,	0.582147,	1.16429,	2.32859,	0.064683,	0.646831,	0.388098,	0.129366,	0.0970246,	0.388098,	0.226391,	0.0323415,	0.0970246,	0.485123,	0.452781,	0.0970246,	0.42044,	
AoAF,	0,	24.303,	1.51515,	0.69697,	1.15152,	1.21212,	0.181818,	0.393939,	0.0909091,	0.909091,	0.242424,	2.21212,	3.54545,	0.30303,	2.78788,	0.666667,	2.33333,	0.242424,	0.272727,	0.181818,	1.09091,	0.666667,	0.212121,	0.454545,	0.0606061,	0.393939,	0.484848,	0.0606061,	0.121212,	0.212121,	1.45455,	1.18182,	0.484848,	2.09091,	0.121212,	0.151515,	2.0303,	0.636364,	0.424242,	1.63636,	1.30303,	0.818182,	0.181818,	0.606061,	0.151515,	0.181818,	0.030303,	0.272727,	1.48485,	0.30303,	0.181818,	0.030303,	0.575758,	3.24242,	1.09091,	0.848485,	0.0606061,	0.393939,	0.030303,	2.36364,	0.0606061,	1.24242,	0.818182,	0.909091,	0.0909091,	0.787879,	0.0909091,	3.72727,	1.39394,	0.030303,	0.636364,	2.81818,	0.030303,	0.242424,	2.90909,	0.515152,	0.909091,	0.212121,	0.545455,	0.212121,	0.393939,	0,	0,	2.39394,	0.636364,	1,	2.69697,	0.0606061,	1.15152,	0.30303,	0,	0.030303,	0.212121,	0.151515,	0.030303,	0.0909091,	0.545455,	0.30303,	0.121212,	0.333333,	
CD20+,	0.0354108,	29.2847,	0.92068,	0.531161,	1.6289,	0.885269,	0.212465,	0.318697,	0.212465,	0.177054,	0.106232,	3.22238,	3.68272,	0.283286,	0.743626,	1.27479,	0.92068,	0.106232,	0.389518,	0.318697,	0.601983,	0.637394,	0.318697,	1.13314,	0.0708215,	0.247875,	0.424929,	0.283286,	0.354108,	0.283286,	0.885269,	1.06232,	0.354108,	2.79745,	0.46034,	0.212465,	1.13314,	1.80595,	0.354108,	2.37252,	0.849858,	0.743626,	0.141643,	0.424929,	0,	0.177054,	0.177054,	0.354108,	1.52266,	0.283286,	0.141643,	0.0708215,	0.212465,	2.72663,	1.20397,	0.814448,	0.177054,	0.318697,	0.0708215,	1.45184,	0.247875,	1.02691,	0.601983,	0.814448,	0.247875,	0.283286,	0.0354108,	2.72663,	2.69122,	0.0708215,	0.318697,	3.22238,	0.0708215,	0.247875,	2.58499,	0.106232,	2.05382,	0.177054,	1.6289,	0.106232,	0.424929,	0.106232,	0,	0.779037,	0.354108,	1.20397,	2.08924,	0.0708215,	0.601983,	0.141643,	0.106232,	0.0354108,	0.354108,	0.318697,	0,	0.0354108,	0.354108,	0.212465,	0.177054,	0.46034,	
GM06990,	0.138504,	30.2401,	2.21607,	0.692521,	5.12465,	0.0923361,	0.323176,	0.323176,	0.277008,	0.0461681,	0.369344,	3.37027,	1.98523,	0.138504,	0.415512,	1.47738,	0.184672,	0.23084,	1.20037,	0.0923361,	1.10803,	0.646353,	0.184672,	1.47738,	0.0923361,	0.323176,	0.507849,	0.323176,	0.277008,	0.415512,	0.323176,	0.646353,	0.277008,	2.77008,	0.646353,	0.138504,	0.323176,	3.87812,	0.0923361,	1.24654,	0.184672,	0.323176,	0,	0.184672,	0.0923361,	0,	0.0923361,	0.138504,	2.07756,	0.600185,	0.0461681,	0.0923361,	0.184672,	3.27793,	0.461681,	1.70822,	0.138504,	0.23084,	0,	1.0157,	0.323176,	0.923361,	0.184672,	1.1542,	0,	0.554017,	0.0461681,	0.923361,	0.969529,	0.23084,	0.138504,	2.21607,	0.0923361,	0.877193,	2.44691,	0.877193,	1.1542,	0.0461681,	2.44691,	0.461681,	1.1542,	0.369344,	0,	0.831025,	0.646353,	1.70822,	1.06187,	0.0461681,	0.23084,	0.138504,	0,	0,	0.323176,	0.0923361,	0.0923361,	0.0461681,	0.0461681,	0.138504,	0.23084,	1.29271,	
GM12865,	0.0665115,	26.6711,	1.16395,	0.764882,	1.43,	1.03093,	0.23279,	0.332557,	0.166279,	0.565348,	0.166279,	2.49418,	4.09046,	0.299302,	1.33023,	1.09744,	1.46325,	0.133023,	0.199534,	0.0997672,	0.764882,	0.498836,	0.199534,	1.09744,	0.0332557,	0.0997672,	0.199534,	0.199534,	0.0332557,	0.0997672,	1.29697,	0.964416,	0.166279,	2.85999,	0.598603,	0.299302,	1.79581,	1.99534,	0.432325,	2.16162,	0.731626,	0.764882,	0.0665115,	0.365813,	0.0665115,	0.133023,	0,	0.166279,	1.43,	0.365813,	0.133023,	0.0665115,	0.365813,	2.72697,	1.33023,	0.831393,	0,	0.299302,	0.0332557,	1.76255,	0.133023,	1.33023,	0.665115,	0.897905,	0.0997672,	0.565348,	0.0332557,	3.19255,	2.39441,	0,	0.598603,	2.82674,	0.0997672,	0.23279,	3.25906,	0.332557,	1.33023,	0.199534,	0.964416,	0.166279,	0.23279,	0.0332557,	0.0332557,	1.43,	0.565348,	1.66279,	2.42767,	0,	0.69837,	0.332557,	0.0332557,	0.0332557,	0.199534,	0.23279,	0.0665115,	0.0665115,	0.365813,	0.23279,	0.0997672,	0.69837,	
H7-hESC,	0.0962464,	25.1203,	1.66827,	0.930382,	1.66827,	1.05871,	0.384986,	0.44915,	0.0320821,	0.737889,	0.352903,	2.98364,	3.11197,	0.224575,	2.18158,	0.994546,	2.24575,	0.0641643,	0.128329,	0.288739,	0.705807,	0.44915,	0.224575,	0.705807,	0,	0.192493,	0.545396,	0.0962464,	0.0641643,	0.384986,	1.41161,	0.8983,	0.288739,	2.24575,	0.128329,	0.192493,	2.02117,	0.962464,	0.44915,	1.50786,	0.802053,	0.705807,	0.128329,	0.705807,	0.160411,	0.128329,	0.0641643,	0.320821,	1.34745,	0.352903,	0.160411,	0.160411,	0.352903,	3.52903,	1.4437,	1.15496,	0.0320821,	0.417068,	0,	1.70035,	0.128329,	1.70035,	0.513314,	0.60956,	0.0641643,	0.866218,	0.0641643,	3.84986,	1.60411,	0,	0.481232,	3.27238,	0.0320821,	0.160411,	2.56657,	0.384986,	0.962464,	0.128329,	0.60956,	0.160411,	0.128329,	0.0641643,	0,	2.6949,	0.769971,	1.02663,	2.1495,	0.0962464,	0.962464,	0.288739,	0.128329,	0.0320821,	0.192493,	0.224575,	0.0962464,	0.0962464,	0.224575,	0.288739,	0.0962464,	0.417068,	
HA-h,	0.235919,	18.6671,	1.41551,	1.23857,	1.12061,	1.29755,	0.353878,	0.589797,	0.206429,	0.648776,	0.147449,	2.06429,	3.30286,	0.412858,	1.26806,	0.678266,	1.35653,	0.176939,	0.442347,	0.265408,	1.00265,	1.09112,	0.589797,	1.1501,	0.0294898,	0.176939,	0.973164,	0.353878,	0.0884695,	0.530817,	1.68092,	1.32704,	0.235919,	2.35919,	0.589797,	0.412858,	1.50398,	1.00265,	0.353878,	1.76939,	1.20908,	0.766735,	0.147449,	0.766735,	0.235919,	0.294898,	0.117959,	0.648776,	1.1501,	0.825715,	0.471837,	0.324388,	0.855205,	3.1849,	1.56296,	1.00265,	0.206429,	0.530817,	0.117959,	1.85786,	0.294898,	1.53347,	1.06163,	1.06163,	0.0884695,	0.825715,	0.0589797,	2.71306,	2.21174,	0,	0.324388,	2.53613,	0.176939,	0.530817,	2.94898,	0.678266,	1.38602,	0.294898,	0.825715,	0.147449,	0.530817,	0.117959,	0.0294898,	1.97582,	0.766735,	1.1501,	1.85786,	0.147449,	0.973164,	0.353878,	0.0884695,	0.117959,	0.353878,	0.294898,	0.147449,	0.206429,	0.766735,	0.324388,	0.294898,	0.412858,	
HAEpiC,	0,	27.3743,	1.01873,	0.624384,	1.28163,	0.953007,	0.394348,	0.328623,	0.0328623,	0.657246,	0.0985869,	2.46467,	3.28623,	0.0657246,	1.38022,	0.755833,	1.93888,	0.197174,	0.328623,	0.230036,	0.887282,	0.42721,	0.131449,	0.394348,	0.0657246,	0.262898,	0.394348,	0.0985869,	0.0985869,	0.262898,	0.920145,	1.51167,	0.262898,	2.33322,	0.328623,	0.295761,	1.97174,	1.11732,	0.394348,	2.10319,	0.821558,	0.887282,	0.0328623,	0.42721,	0,	0.164312,	0.0985869,	0.164312,	1.84029,	0.42721,	0.0328623,	0.0657246,	0.361485,	3.91061,	1.41308,	0.920145,	0.0985869,	0.262898,	0,	2.2675,	0.131449,	1.90601,	0.690108,	0.657246,	0,	0.821558,	0.0657246,	3.94348,	1.51167,	0.0328623,	0.460072,	3.54913,	0.0657246,	0.197174,	2.82616,	0.525797,	1.18304,	0.230036,	0.460072,	0.0985869,	0.0985869,	0.0328623,	0.0328623,	2.0046,	0.591522,	1.21591,	2.30036,	0.164312,	0.755833,	0.164312,	0,	0,	0.230036,	0.262898,	0.0328623,	0.131449,	0.295761,	0.0985869,	0.0657246,	0.295761,	
HCF,	0.063012,	21.9912,	1.66982,	1.0712,	1.26024,	1.0397,	0.47259,	0.441084,	0.031506,	0.882168,	0.126024,	2.55198,	3.62319,	0.220542,	1.85885,	0.661626,	2.48897,	0.15753,	0.47259,	0.31506,	0.724638,	1.0397,	0.220542,	0.724638,	0.063012,	0.189036,	0.283554,	0.15753,	0.126024,	0.252048,	1.63831,	1.32325,	0.346566,	2.42596,	0.47259,	0.598614,	1.5753,	0.976686,	0.441084,	1.60681,	1.26024,	1.00819,	0.283554,	0.567108,	0.126024,	0.283554,	0.063012,	0.346566,	1.48078,	0.31506,	0.15753,	0.15753,	0.724638,	2.77253,	1.29175,	0.693132,	0.063012,	0.535602,	0.063012,	2.20542,	0.15753,	1.22873,	0.756144,	0.724638,	0.063012,	0.693132,	0.063012,	3.84373,	1.54379,	0.031506,	0.756144,	2.58349,	0.063012,	0.220542,	3.1821,	0.535602,	0.913674,	0.220542,	0.724638,	0.094518,	0.126024,	0,	0.031506,	2.615,	0.63012,	0.94518,	2.48897,	0,	0.913674,	0.31506,	0.126024,	0.031506,	0.47259,	0.189036,	0.031506,	0.031506,	0.535602,	0.378072,	0.15753,	0.598614,	
