cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.216216,	17.9459,	0.648649,	0.432432,	0.648649,	0.540541,	0.756757,	1.83784,	0.108108,	0.108108,	0.216216,	0.972973,	2.48649,	0.324324,	1.72973,	0.972973,	2.7027,	0,	0.108108,	0.216216,	0.540541,	0.108108,	0.216216,	0.324324,	0.108108,	0.216216,	0.756757,	0.216216,	1.18919,	1.94595,	0.540541,	0.756757,	0.108108,	7.67568,	0.432432,	0,	1.51351,	0.756757,	0,	2.48649,	0.540541,	0.648649,	0.108108,	0.972973,	0.216216,	0.432432,	0,	0.108108,	2.16216,	0.324324,	0.108108,	0,	0.324324,	1.08108,	0.432432,	0.432432,	0.864865,	0.216216,	0.108108,	0.432432,	2.37838,	1.83784,	0,	0,	0,	1.18919,	0.324324,	1.94595,	1.40541,	0.216216,	1.18919,	1.83784,	0.108108,	0.648649,	1.62162,	0.108108,	0.432432,	0,	5.18919,	0.108108,	1.94595,	0.864865,	0,	1.18919,	7.24324,	0.432432,	1.2973,	0.216216,	1.08108,	0.216216,	0.108108,	0,	0.324324,	0,	0.216216,	1.18919,	0.432432,	0.324324,	0,	0,	
AoAF,	0.101833,	20.8758,	0.712831,	1.222,	0.203666,	0.509165,	0.203666,	1.12016,	0,	0.305499,	0.610998,	0.814664,	1.52749,	0.814664,	2.74949,	0.814664,	1.93483,	0,	0,	0,	1.01833,	0.101833,	0,	0.203666,	0,	1.01833,	0.610998,	0.101833,	1.52749,	2.44399,	0.101833,	0.509165,	0.203666,	6.41548,	0.101833,	0.101833,	2.13849,	0.407332,	0.203666,	2.24033,	0.712831,	0.509165,	0,	0.814664,	0.509165,	0.407332,	0,	0.101833,	1.52749,	0.407332,	0.203666,	0.101833,	0.407332,	0.712831,	0.203666,	0.203666,	0.610998,	0.509165,	0.305499,	0.203666,	0.916497,	1.83299,	0.101833,	0.101833,	0,	1.62933,	0.101833,	1.52749,	0.916497,	0,	1.42566,	1.52749,	0,	0.305499,	2.44399,	0,	0.509165,	0,	6.00815,	0.101833,	2.03666,	0.916497,	0.101833,	1.01833,	7.23014,	0.509165,	1.222,	0,	1.62933,	0.610998,	0.101833,	0.101833,	0.101833,	0.101833,	0,	1.62933,	0.305499,	0.305499,	0,	0.203666,	
CD20+,	0.107296,	25.7511,	1.07296,	2.03863,	0.858369,	0.214592,	0.321888,	2.57511,	0,	0.536481,	0.429185,	0.965665,	2.03863,	0.429185,	2.36052,	0.536481,	2.03863,	0.107296,	0.107296,	0.107296,	0.214592,	0.107296,	0.107296,	0.214592,	0.107296,	0.429185,	1.07296,	0.536481,	1.18026,	0.751073,	0.107296,	1.07296,	0.107296,	4.18455,	0.321888,	0.107296,	1.50215,	0.965665,	0.107296,	1.93133,	0.643777,	0.429185,	0,	0.536481,	0.107296,	0.536481,	0,	0,	2.36052,	0.429185,	0.107296,	0.214592,	0.536481,	1.18026,	0.429185,	0.858369,	0.536481,	0.643777,	0.214592,	0.214592,	1.71674,	1.39485,	0.321888,	0,	0.107296,	1.39485,	0.107296,	0.965665,	1.18026,	0.214592,	0.321888,	2.14592,	0,	0.321888,	1.60944,	0,	0.536481,	0,	4.82833,	0.214592,	1.28755,	0.536481,	0.107296,	0.536481,	5.4721,	0.536481,	2.36052,	0.214592,	0.965665,	0.429185,	0,	0.107296,	0.214592,	0.107296,	0,	0.858369,	0.536481,	0.321888,	0,	0.321888,	
GM06990,	0,	22.0443,	0.985222,	2.0936,	1.47783,	0.369458,	0.492611,	0.738916,	0.369458,	0.615764,	0.246305,	0.862069,	0.492611,	2.83251,	0,	2.70936,	0,	0.492611,	0.123153,	0.246305,	0.615764,	1.35468,	1.35468,	1.72414,	0.246305,	1.35468,	0.246305,	0.123153,	0,	0.123153,	0.123153,	2.58621,	0.123153,	1.23153,	0.492611,	0.738916,	1.60099,	1.60099,	0.862069,	0.862069,	2.21675,	2.58621,	0.369458,	0.985222,	0,	0,	1.97044,	0,	1.10837,	1.10837,	0.738916,	0.123153,	0.492611,	2.83251,	4.18719,	0.862069,	0.123153,	0.738916,	0,	0.615764,	0,	0.492611,	0.615764,	0.246305,	0.369458,	1.10837,	0,	0.492611,	1.97044,	0.246305,	0.492611,	1.35468,	1.23153,	0,	3.32512,	0.123153,	1.47783,	0.123153,	0.369458,	0.246305,	0.246305,	0.246305,	0.123153,	0.369458,	0.738916,	2.0936,	1.97044,	0,	0,	0.492611,	0,	0,	0.123153,	0.369458,	0.123153,	0,	0.369458,	0.246305,	0.738916,	1.84729,	
GM12865,	0.208551,	21.585,	0.729927,	1.14703,	0.312826,	0.312826,	0.938478,	1.14703,	0.104275,	0.104275,	0.625652,	1.14703,	1.77268,	0.521376,	2.50261,	1.04275,	2.39833,	0.104275,	0.208551,	0,	0.417101,	0.208551,	0.104275,	0.417101,	0,	0.208551,	0.417101,	0,	1.14703,	2.18978,	0,	0.521376,	0.104275,	6.04797,	0.312826,	0.312826,	1.14703,	0.521376,	0.104275,	2.08551,	0.208551,	0.208551,	0.104275,	0.625652,	0.208551,	0.417101,	0,	0,	2.71116,	0.104275,	0,	0.312826,	0.417101,	1.14703,	0.312826,	0.521376,	0.312826,	0.521376,	0,	0.312826,	1.2513,	2.18978,	0.208551,	0,	0.104275,	1.2513,	0,	1.56413,	1.35558,	0.208551,	1.04275,	2.18978,	0.312826,	0.208551,	1.87696,	0,	0.417101,	0,	6.04797,	0.208551,	1.2513,	0.417101,	0,	0.729927,	7.71637,	0.521376,	1.87696,	0.312826,	1.35558,	1.2513,	0,	0,	0.208551,	0,	0,	0.729927,	0.521376,	0.625652,	0.208551,	0.208551,	
H7-hESC,	0.310881,	16.5803,	0.518135,	2.90155,	0.621762,	0.829016,	0.414508,	1.45078,	0.103627,	0,	0.932642,	1.45078,	2.27979,	0.310881,	1.5544,	1.1399,	3.10881,	0,	0,	0.207254,	0.621762,	0.103627,	0.103627,	0.103627,	0.103627,	0.414508,	0.932642,	0.103627,	1.65803,	2.90155,	0.207254,	0.725389,	0.414508,	7.46114,	0.103627,	0.103627,	1.76166,	1.34715,	0.207254,	2.6943,	0.207254,	0.103627,	0.207254,	0.207254,	0.207254,	0.310881,	0.103627,	0.103627,	2.6943,	0.310881,	0.207254,	0.207254,	0.414508,	1.03627,	0.310881,	0.414508,	0.829016,	0.207254,	0.103627,	0.414508,	1.24352,	1.1399,	0,	0,	0,	1.34715,	0.103627,	1.86528,	1.34715,	0,	0.932642,	1.34715,	0,	0.310881,	2.17617,	0.103627,	0.103627,	0,	6.21762,	0.103627,	1.65803,	0.829016,	0,	0.621762,	5.28497,	0.725389,	1.45078,	0.207254,	1.34715,	1.03627,	0,	0.103627,	0.207254,	0,	0.103627,	1.45078,	0.207254,	0.621762,	0.103627,	0.310881,	
HA-h,	0,	16.9793,	1.67818,	1.28332,	0.493583,	0.0987167,	0.197433,	2.17177,	0.0987167,	0.0987167,	0.987167,	1.57947,	2.56663,	0.691017,	2.46792,	0.493583,	2.66535,	0.0987167,	0.0987167,	0.394867,	0.691017,	0.394867,	0,	0.5923,	0.197433,	0.394867,	0.789734,	0.29615,	1.28332,	1.7769,	0.197433,	0.493583,	0.0987167,	5.03455,	0.0987167,	0.0987167,	2.46792,	0.691017,	0.0987167,	1.28332,	0.5923,	0.394867,	0,	0.5923,	0.5923,	0.5923,	0,	0,	2.07305,	0.691017,	0,	0.394867,	0.789734,	0.691017,	0.789734,	0.394867,	1.67818,	0.493583,	0.197433,	0,	1.7769,	1.87562,	0.29615,	0.197433,	0,	1.08588,	0.0987167,	0.691017,	0.789734,	0.197433,	1.38203,	1.67818,	0.0987167,	0.691017,	1.38203,	0.394867,	0.5923,	0,	3.65252,	0.29615,	1.67818,	0.493583,	0.0987167,	0.5923,	7.1076,	0.789734,	2.27048,	0.394867,	1.28332,	1.08588,	0.0987167,	0,	0.29615,	0,	0.197433,	2.07305,	0.789734,	0.394867,	0,	0.0987167,	
HAEpiC,	0,	23.449,	0.736067,	2.10305,	0.84122,	0.105152,	0.630915,	1.36698,	0.105152,	0.210305,	0.42061,	0.736067,	2.52366,	0.42061,	1.78759,	0.946372,	2.2082,	0.105152,	0.105152,	0.210305,	0.525762,	0.210305,	0.105152,	0.525762,	0,	0.315457,	1.36698,	0.105152,	0.946372,	1.78759,	0.315457,	0.315457,	0.105152,	5.36278,	0,	0,	1.68244,	0.84122,	0,	2.10305,	0.42061,	0.315457,	0,	0.210305,	0,	0.525762,	0,	0,	2.94427,	0.105152,	0,	0.42061,	0.42061,	1.05152,	0.42061,	0.42061,	0.42061,	0.42061,	0.105152,	0.42061,	2.41851,	1.47213,	0,	0,	0,	1.26183,	0.105152,	1.26183,	0.946372,	0.315457,	0.84122,	1.9979,	0,	0.210305,	1.89274,	0,	0.630915,	0,	5.15247,	0.105152,	2.10305,	0.210305,	0,	0.736067,	6.94006,	0.42061,	2.31335,	0.42061,	0.84122,	0.946372,	0.105152,	0,	0,	0,	0,	1.36698,	0.42061,	0.210305,	0,	0.105152,	
HCF,	0.10352,	17.0807,	0.724638,	1.44928,	0.724638,	0.414079,	0.414079,	1.65631,	0.10352,	0.10352,	0.621118,	0.931677,	2.48447,	0.724638,	1.5528,	0.414079,	2.48447,	0,	0,	0,	0.310559,	0.207039,	0,	0.10352,	0,	0.310559,	1.0352,	0,	1.65631,	2.27743,	0.10352,	0.414079,	0.10352,	7.3499,	0,	0.10352,	1.5528,	0.621118,	0.310559,	3.31263,	0.828157,	0.207039,	0.414079,	0.724638,	0,	0.621118,	0,	0,	2.89855,	0.414079,	0,	0.10352,	0.207039,	0.621118,	0.414079,	0.310559,	0.517598,	0.517598,	0,	0.207039,	1.44928,	1.86335,	0.207039,	0,	0,	1.24224,	0.207039,	1.86335,	1.5528,	0,	1.13872,	1.65631,	0,	0.517598,	1.34576,	0,	0.724638,	0,	6.21118,	0.310559,	1.34576,	0.931677,	0.10352,	0.931677,	7.8675,	0.931677,	1.65631,	0.207039,	1.5528,	0.621118,	0,	0.10352,	0,	0,	0.10352,	1.75983,	0.414079,	0.310559,	0.10352,	0,	
HCM,	0.212089,	18.2397,	0.424178,	2.01485,	0.318134,	0.424178,	0.954401,	1.37858,	0.212089,	0,	0.954401,	0.954401,	1.59067,	0.424178,	2.12089,	0.848356,	3.18134,	0.106045,	0,	0,	0.848356,	0,	0.106045,	0.212089,	0,	0.212089,	0.848356,	0,	0.954401,	2.01485,	0.212089,	0.530223,	0,	7.10498,	0.106045,	0.106045,	1.48462,	0.636267,	0.212089,	1.59067,	0.530223,	0.212089,	0.106045,	0.424178,	0.106045,	0.954401,	0,	0,	2.54507,	0.106045,	0.106045,	0.318134,	0.106045,	0.636267,	0.530223,	0.530223,	0.954401,	0.424178,	0.106045,	0.318134,	1.37858,	1.59067,	0.106045,	0.106045,	0,	1.48462,	0.318134,	1.80276,	0.848356,	0.106045,	1.16649,	1.9088,	0,	0.530223,	1.27253,	0.106045,	0,	0,	6.36267,	0.212089,	2.12089,	0.742312,	0,	1.06045,	7.21103,	0.954401,	1.59067,	0.212089,	1.9088,	0.848356,	0,	0,	0,	0.106045,	0,	1.48462,	0.954401,	0.636267,	0,	0.318134,	
HCPEpiC,	0.104167,	18.6458,	0.729167,	1.5625,	0.9375,	1.04167,	0.625,	1.77083,	0.104167,	0.3125,	0.520833,	0.729167,	1.77083,	0.833333,	2.39583,	0.833333,	2.1875,	0.104167,	0,	0.208333,	0.729167,	0.104167,	0,	0.3125,	0,	0.833333,	0.625,	0,	1.04167,	2.5,	0.3125,	0.3125,	0.104167,	7.60417,	0.104167,	0,	2.1875,	0.3125,	0,	1.5625,	0.3125,	0.625,	0.3125,	0.833333,	0,	0.416667,	0.104167,	0,	2.39583,	0.416667,	0,	0.104167,	0.3125,	0.9375,	0.520833,	0.3125,	0.833333,	0.625,	0.208333,	0.3125,	1.25,	1.66667,	0.104167,	0.208333,	0,	1.04167,	0,	1.35417,	1.35417,	0.104167,	0.625,	1.35417,	0,	0.729167,	1.77083,	0.104167,	0.104167,	0,	6.35417,	0.3125,	1.5625,	0.729167,	0,	1.04167,	6.97917,	1.25,	1.35417,	0.416667,	1.5625,	0.833333,	0.104167,	0,	0.104167,	0,	0.104167,	1.04167,	0.416667,	0.3125,	0,	0.104167,	
HEEpiC,	0.20555,	19.7328,	0.719424,	0.822199,	1.13052,	0.61665,	0.513875,	1.54162,	0,	0.102775,	0.822199,	1.13052,	2.4666,	0.513875,	2.77492,	0.61665,	2.26105,	0,	0.20555,	0.4111,	0.308325,	0.4111,	0,	0.102775,	0.102775,	0.20555,	0.822199,	0.20555,	1.54162,	2.36382,	0.20555,	0.822199,	0.4111,	6.26927,	0.20555,	0.102775,	1.6444,	0.822199,	0.20555,	2.67215,	0.20555,	0.513875,	0,	0.513875,	0.4111,	0.4111,	0,	0.20555,	2.67215,	0.308325,	0,	0.102775,	0.61665,	0.61665,	0.102775,	0.20555,	0.61665,	0.20555,	0.308325,	0.308325,	1.13052,	1.43885,	0.102775,	0.102775,	0.102775,	1.33607,	0,	1.6444,	1.13052,	0.102775,	0.924974,	1.43885,	0,	0.719424,	2.26105,	0,	0.102775,	0,	4.72765,	0,	1.74717,	0.719424,	0.102775,	1.13052,	6.98869,	0.822199,	2.67215,	0,	1.2333,	0.513875,	0.102775,	0,	0.4111,	0,	0,	0.61665,	0.308325,	0.513875,	0.102775,	0.4111,	
