cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.110558,	17.6893,	0.442233,	1.02266,	1.35434,	1.54782,	0.552792,	1.13322,	0.829187,	0.276396,	0.110558,	2.45992,	2.76396,	0.248756,	0.497512,	0.856827,	0.580431,	0.110558,	0.414594,	0.0552792,	0.608071,	2.40464,	1.87949,	0.884467,	0.138198,	0.497512,	0.525152,	0.0829187,	0.248756,	0.221117,	0.525152,	3.8419,	0.608071,	1.35434,	0.193477,	1.07794,	0.884467,	1.38198,	0.469873,	1.3267,	0.469873,	0.967385,	0.359315,	0.110558,	0.0552792,	0.304035,	0.221117,	0.221117,	2.10061,	0.442233,	0.193477,	0.165837,	0.773908,	2.40464,	1.3267,	0.967385,	0.248756,	0.442233,	0.0276396,	2.23881,	0.386954,	0.580431,	0.773908,	0.469873,	0.829187,	0.497512,	0.0552792,	1.07794,	6.93753,	0.0552792,	0.165837,	1.57546,	0.276396,	0.276396,	3.34439,	0.746269,	5.11332,	0.110558,	2.21117,	0.0552792,	0.525152,	0.165837,	0.0552792,	0.939746,	0.331675,	0.856827,	1.79657,	0.193477,	0.359315,	0.0829187,	0.193477,	0.0276396,	0.386954,	0.773908,	0.0276396,	0.0552792,	0.386954,	0.0552792,	0.497512,	0.497512,	
AoAF,	0.129668,	15.6639,	0.337137,	1.27075,	1.19295,	1.29668,	0.803942,	1.01141,	0.829876,	0.181535,	0.0518672,	3.0861,	3.60477,	0.363071,	0.492739,	0.544606,	0.466805,	0.0259336,	0.311203,	0.129668,	0.596473,	3.44917,	2.10062,	0.93361,	0.207469,	0.596473,	0.207469,	0.103734,	0.181535,	0.337137,	0.363071,	4.01971,	0.622407,	1.37448,	0.259336,	1.19295,	0.907676,	1.47822,	0.155602,	1.14108,	0.778008,	1.14108,	0.233403,	0.155602,	0,	0.337137,	0.129668,	0.0778008,	1.34855,	0.596473,	0.181535,	0.0518672,	1.01141,	2.61929,	1.76349,	1.47822,	0.103734,	0.311203,	0,	2.10062,	0.337137,	0.518672,	0.778008,	0.544606,	0.518672,	0.363071,	0.0778008,	0.907676,	6.53527,	0.0518672,	0.207469,	1.65975,	0.363071,	0.129668,	3.29357,	0.596473,	4.40871,	0.207469,	2.46369,	0.207469,	0.881743,	0.0259336,	0,	0.855809,	0.389004,	0.93361,	2.25622,	0.155602,	0.311203,	0.181535,	0.181535,	0.0778008,	0.233403,	1.37448,	0.129668,	0.0518672,	0.414938,	0.129668,	0.570539,	0.233403,	
CD20+,	0.0647249,	25.1456,	0.776699,	0.776699,	2.91262,	0.776699,	0.2589,	0.614887,	0.614887,	0.0970874,	0.0970874,	3.52751,	3.17152,	0.2589,	0.355987,	1.0356,	0.420712,	0.226537,	0.517799,	0.0323625,	0.550162,	1.13269,	0.809062,	1.45631,	0.0970874,	0.291262,	0.0970874,	0.291262,	0.2589,	0.291262,	0.355987,	2.16828,	0.453074,	2.13592,	0.485437,	1.19741,	0.744337,	2.81553,	0.38835,	1.84466,	0.2589,	0.647249,	0.161812,	0.12945,	0,	0.161812,	0.161812,	0.194175,	3.23625,	0.323625,	0.12945,	0,	0.0970874,	2.62136,	1.0356,	1.0356,	0.0323625,	0.323625,	0,	1.19741,	0.291262,	0.485437,	0.355987,	0.453074,	0.355987,	0.2589,	0.0970874,	0.970874,	5.33981,	0.0647249,	0.291262,	1.58576,	0.12945,	0.0970874,	3.72168,	0.323625,	4.17476,	0,	2.39482,	0.0323625,	0.420712,	0.0323625,	0,	0.2589,	0.161812,	1.0356,	2.49191,	0.0323625,	0.161812,	0.0647249,	0.0323625,	0.161812,	0.2589,	0.711974,	0.0323625,	0,	0.2589,	0.0647249,	0.161812,	0.938511,	
GM06990,	0.329083,	28.3422,	1.64541,	0.987248,	3.33196,	0.329083,	0.452489,	0.329083,	0.164541,	0.0411353,	0.329083,	1.52201,	2.71493,	0.205677,	0.575895,	2.50926,	0.287947,	0.123406,	0.329083,	0.164541,	0.205677,	0.287947,	0.287947,	2.26244,	0.123406,	0.123406,	0.329083,	0.329083,	0.61703,	0.123406,	0.246812,	0.411353,	0.411353,	2.6738,	0.946113,	0.61703,	0.699301,	1.64541,	0.370218,	1.43974,	0.370218,	0.822707,	0.0411353,	0.287947,	0,	0.164541,	0.123406,	0,	1.89223,	0.123406,	0.123406,	0,	0.329083,	0.822707,	0.658165,	1.43974,	0.123406,	0.329083,	0.0411353,	0.329083,	0.575895,	0.904977,	0.164541,	0.370218,	0,	0.329083,	0.0411353,	0.863842,	2.71493,	0.123406,	0.411353,	2.63266,	0.0411353,	0.658165,	4.56602,	0.123406,	2.38585,	0.0822707,	6.37598,	0.246812,	0.699301,	0.534759,	0,	0.287947,	0.493624,	2.55039,	1.2752,	0.0411353,	0.287947,	0.246812,	0.164541,	0,	0.740436,	0.287947,	0,	0,	0,	0.0822707,	0.164541,	1.64541,	
GM12865,	0.17673,	21.6495,	0.677467,	1.06038,	2.32695,	1.08984,	0.412371,	0.648012,	0.648012,	0.11782,	0.0294551,	2.91605,	3.97644,	0.530191,	0.294551,	0.913108,	0.324006,	0.147275,	0.382916,	0.265096,	0.412371,	2.09131,	1.64948,	0.942563,	0.147275,	0.265096,	0.265096,	0.206186,	0.294551,	0.235641,	0.382916,	2.59205,	0.382916,	1.91458,	0.412371,	1.14875,	0.824742,	2.35641,	0.265096,	1.70839,	0.353461,	0.677467,	0.11782,	0,	0.0589102,	0.294551,	0.11782,	0.0294551,	2.32695,	0.235641,	0.235641,	0.0294551,	0.589102,	2.56259,	0.618557,	1.11929,	0.0883652,	0.17673,	0.0589102,	1.7673,	0.471281,	0.265096,	0.559647,	0.530191,	0.412371,	0.353461,	0.0294551,	1.47275,	6.0972,	0.0294551,	0.324006,	1.38439,	0.17673,	0.17673,	3.59352,	0.324006,	4.68336,	0.0294551,	2.82769,	0.0589102,	0.530191,	0.17673,	0,	0.441826,	0.206186,	0.824742,	2.17968,	0.0294551,	0.206186,	0.147275,	0.11782,	0.0883652,	0.265096,	1.00147,	0,	0.0294551,	0.265096,	0.0589102,	0.382916,	0.706922,	
H7-hESC,	0.318471,	19.7742,	0.318471,	1.21598,	2.14244,	0.984366,	0.492183,	0.839606,	0.550087,	0.260567,	0.115808,	3.12681,	3.56109,	0.347423,	0.260567,	0.810654,	0.318471,	0.0868558,	0.347423,	0.0579039,	0.521135,	2.48987,	1.65026,	1.01332,	0.0868558,	0.607991,	0.289519,	0.115808,	0.318471,	0.318471,	0.434279,	3.09786,	0.810654,	1.5055,	0.231616,	0.984366,	0.984366,	2.11349,	0.260567,	1.53445,	0.521135,	1.12913,	0.202664,	0.0579039,	0.0289519,	0.202664,	0.14476,	0.0868558,	2.2872,	0.723798,	0.347423,	0.0289519,	0.665895,	2.1714,	1.65026,	1.12913,	0.260567,	0.231616,	0,	1.91083,	0.463231,	0.405327,	0.463231,	0.463231,	0.579039,	0.289519,	0.0289519,	0.75275,	6.19571,	0.0289519,	0.115808,	1.38969,	0.0289519,	0.0868558,	3.56109,	0.550087,	4.48755,	0.173712,	2.77939,	0,	0.463231,	0.115808,	0.0289519,	0.463231,	0.318471,	0.984366,	2.34511,	0.0868558,	0.492183,	0.202664,	0.115808,	0.115808,	0.347423,	1.01332,	0.0289519,	0.0289519,	0.202664,	0.0579039,	0.318471,	0.347423,	
HA-h,	0.151286,	12.8089,	0.706001,	0.93293,	1.51286,	1.84065,	0.630358,	1.51286,	1.21029,	0.353,	0.226929,	2.37015,	2.97529,	1.03379,	0.731215,	0.605144,	0.479072,	0.252143,	0.630358,	0.126072,	1.15986,	1.91629,	1.5885,	1.08422,	0.226929,	0.605144,	0.504286,	0.151286,	0.302572,	0.403429,	0.907716,	3.50479,	0.504286,	1.5885,	0.302572,	1.38679,	1.18507,	1.66415,	0.504286,	1.26072,	0.504286,	1.15986,	0.378215,	0.100857,	0.226929,	0.353,	0.353,	0.479072,	1.36157,	0.579929,	0.353,	0.0504286,	1.00857,	2.95008,	1.91629,	1.43722,	0.302572,	0.1765,	0.075643,	1.48764,	0.428643,	0.706001,	0.655572,	0.958144,	0.680787,	0.781644,	0.151286,	1.2355,	5.19415,	0.1765,	0.327786,	1.03379,	0.302572,	0.353,	2.84922,	1.15986,	3.47958,	0.151286,	2.14322,	0.126072,	0.731215,	0.075643,	0,	0.983359,	0.479072,	0.75643,	2.44579,	0.1765,	0.504286,	0.1765,	0.428643,	0.1765,	0.151286,	0.806858,	0.1765,	0.126072,	0.327786,	0.1765,	0.731215,	0.579929,	
HAEpiC,	0.109709,	17.4438,	0.246846,	1.8102,	1.17937,	1.26166,	0.493692,	1.31651,	0.685683,	0.438837,	0.0274273,	2.77016,	2.85244,	0.438837,	0.329128,	0.575974,	0.438837,	0.191991,	0.356555,	0.082282,	0.630828,	2.87987,	2.02962,	1.37137,	0.0548546,	0.438837,	0.438837,	0.0274273,	0.41141,	0.301701,	0.438837,	3.70269,	0.767965,	1.12452,	0.246846,	1.01481,	1.17937,	1.75535,	0.137137,	1.23423,	0.521119,	0.987383,	0.164564,	0.0274273,	0.0548546,	0.219419,	0.164564,	0.164564,	2.02962,	0.41141,	0.274273,	0,	0.795392,	2.38618,	1.86506,	1.53593,	0.274273,	0.301701,	0.0274273,	2.13933,	0.301701,	0.438837,	0.521119,	0.521119,	0.493692,	0.41141,	0.0548546,	0.767965,	7.32309,	0.082282,	0.137137,	1.2068,	0.219419,	0.246846,	3.94953,	0.685683,	4.33352,	0.137137,	1.83763,	0.109709,	0.383982,	0.0548546,	0.0274273,	0.905101,	0.383982,	0.630828,	2.77016,	0.246846,	0.41141,	0.356555,	0.219419,	0.0274273,	0.274273,	1.04224,	0.0274273,	0,	0.329128,	0.137137,	0.274273,	0.137137,	
HCF,	0.248207,	17.6503,	0.275786,	1.07557,	1.26862,	1.37893,	0.523993,	0.689465,	0.99283,	0.496415,	0.0551572,	3.58522,	3.75069,	0.496415,	0.689465,	0.689465,	0.551572,	0.19305,	0.330943,	0.110314,	0.744622,	1.98566,	1.40651,	1.32377,	0.19305,	0.579151,	0.441258,	0.0275786,	0.19305,	0.330943,	0.413679,	3.28185,	0.358522,	1.02041,	0.303365,	1.32377,	0.882515,	1.68229,	0.330943,	1.57198,	0.248207,	0.937672,	0.19305,	0.137893,	0.0551572,	0.220629,	0.19305,	0.165472,	1.73745,	0.579151,	0.110314,	0.0275786,	0.854937,	2.8406,	1.79261,	1.13072,	0.110314,	0.413679,	0,	2.12355,	0.330943,	0.413679,	1.04799,	0.551572,	0.579151,	0.496415,	0.0275786,	1.02041,	6.61886,	0.0275786,	0.220629,	1.76503,	0.248207,	0.137893,	3.36459,	0.579151,	4.6332,	0.19305,	2.09597,	0.19305,	0.413679,	0.0551572,	0.0275786,	0.606729,	0.358522,	0.772201,	2.26145,	0.110314,	0.248207,	0.165472,	0.19305,	0.0827358,	0.275786,	1.07557,	0.0551572,	0.0275786,	0.330943,	0.220629,	0.441258,	0.413679,	
HCM,	0.0559754,	18.0241,	0.36384,	1.48335,	1.28743,	1.48335,	0.307865,	0.783655,	0.72768,	0.251889,	0.111951,	2.99468,	3.33053,	0.72768,	0.447803,	0.391828,	0.559754,	0.139938,	0.391828,	0.0839631,	0.475791,	2.29499,	1.5953,	1.1475,	0.111951,	0.531766,	0.279877,	0.167926,	0.251889,	0.139938,	0.643717,	2.96669,	0.643717,	1.42737,	0.335852,	1.39938,	0.979569,	1.5953,	0.307865,	0.867618,	0.755668,	1.1475,	0.279877,	0.0839631,	0.0839631,	0.139938,	0.167926,	0.139938,	1.79121,	0.419815,	0.223901,	0.0839631,	0.699692,	3.49846,	1.70725,	1.11951,	0.139938,	0.167926,	0,	1.87517,	0.335852,	0.503778,	0.895606,	0.559754,	0.475791,	0.447803,	0.0559754,	0.867618,	7.75259,	0.0279877,	0.167926,	1.67926,	0.167926,	0.0839631,	3.4145,	0.587741,	4.53401,	0.111951,	1.98713,	0.139938,	0.503778,	0.0839631,	0,	0.839631,	0.447803,	0.895606,	1.95914,	0.139938,	0.307865,	0,	0.0839631,	0.0559754,	0.279877,	1.11951,	0.0279877,	0.0279877,	0.419815,	0.139938,	0.72768,	0.503778,	
