cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0260196,	26.1432,	2.7776,	2.16614,	0.670006,	1.15137,	0.104079,	0.390295,	0.429324,	1.10583,	0.182138,	1.00826,	0.533403,	0.312236,	0.305731,	0.247187,	0.35777,	0.975737,	0.130098,	0.214662,	1.91244,	0.448839,	0.995251,	0.266701,	0.793599,	0.494373,	0.74156,	0.676511,	0.130098,	0.0455344,	0.292721,	2.6475,	0.422819,	1.02127,	0.143108,	0.552917,	0.377285,	0.845638,	2.69954,	0.917192,	0.598452,	0.624471,	0.0845638,	0.253692,	0.136603,	0.390295,	0.0650491,	0.416314,	0.546413,	0.136603,	0.149613,	0.683016,	0.0260196,	3.35653,	5.34704,	0.676511,	0.0390295,	0.143108,	0.143108,	0.455344,	0.533403,	0.338255,	4.39081,	0.435829,	0.253692,	1.03428,	0.00650491,	1.23593,	1.66526,	0.143108,	0.240682,	1.70429,	0.182138,	0.221167,	2.34177,	0.936707,	3.29799,	0.117088,	0.429324,	0.852143,	0.305731,	0.195147,	0.0780589,	0.546413,	0.969232,	0.260196,	2.58895,	0.0130098,	0.318741,	0.0260196,	0.0325246,	0.299226,	0.0325246,	2.08808,	0.0130098,	0.0195147,	0.74156,	0.0260196,	0.565927,	0.591947,	
AoAF,	0.0378263,	21.044,	2.47132,	1.97327,	0.649351,	1.36805,	0.145001,	0.308914,	0.40348,	1.1537,	0.163914,	1.09696,	0.60522,	0.321523,	0.365654,	0.195436,	0.365654,	1.14109,	0.163914,	0.182827,	1.94175,	0.416089,	1.015,	0.176523,	0.933048,	0.611524,	0.60522,	0.964569,	0.145001,	0.0693481,	0.50435,	2.69197,	0.321523,	1.10957,	0.113479,	0.586307,	0.378263,	0.870004,	3.14588,	1.10957,	0.731308,	0.788047,	0.107174,	0.397176,	0.126088,	0.479133,	0.0567394,	0.416089,	0.365654,	0.0819569,	0.176523,	0.870004,	0.0882613,	3.91502,	5.68024,	0.926743,	0.0126087,	0.195436,	0.176523,	0.580002,	0.548481,	0.409784,	5.06241,	0.479133,	0.441306,	1.31761,	0.0252175,	1.36174,	1.48783,	0.195436,	0.252175,	1.2987,	0.0882613,	0.258479,	2.50284,	0.876308,	3.13327,	0.163914,	0.390871,	1.04022,	0.30261,	0.195436,	0.113479,	0.743916,	0.983482,	0.258479,	2.50914,	0.0378263,	0.264784,	0.0441306,	0.0126087,	0.384567,	0.00630437,	2.57849,	0.0441306,	0.0630438,	0.838482,	0.0756525,	0.661959,	0.510654,	
CD20+,	0.10511,	26.3907,	2.72477,	1.19664,	1.48771,	0.743855,	0.137451,	0.185964,	0.501294,	0.307245,	0.177878,	2.88648,	1.3826,	0.468952,	0.145537,	0.85705,	0.202135,	0.234476,	0.21022,	0.380013,	0.533635,	0.404269,	0.768111,	0.897477,	0.428525,	0.234476,	0.307245,	0.84088,	0.291074,	0.153622,	0.21022,	1.11578,	0.533635,	2.50647,	0.363842,	0.606404,	0.380013,	2.64392,	1.11578,	2.36093,	0.129366,	0.380013,	0.0727684,	0.121281,	0.0727684,	0.202135,	0.0485123,	0.145537,	1.73836,	0.145537,	0.113195,	0.363842,	0.0889392,	1.98092,	0.557891,	0.509379,	0.0242561,	0.0889392,	0.145537,	0.412354,	0.881307,	0.339586,	0.913648,	0.687257,	0.299159,	0.719599,	0.0161708,	1.18047,	3.52523,	0.266818,	0.226391,	2.8784,	0.10511,	0.412354,	3.44437,	0.185964,	7.34153,	0.0889392,	2.24774,	0.137451,	0.307245,	0.436611,	0.0323415,	0.177878,	0.307245,	0.590233,	1.4958,	0.0161708,	0.533635,	0.0727684,	0.0323415,	0.161708,	0.10511,	1.39069,	0.0323415,	0.0242561,	0.412354,	0.0323415,	1.1077,	2.06986,	
GM06990,	0.113204,	28.9493,	1.5231,	0.833591,	2.77864,	0.442523,	0.360193,	0.185242,	0.0308737,	0.0308737,	0.0617475,	2.50077,	4.82659,	0.277864,	0.638057,	1.98621,	0.771843,	0.133786,	0.535145,	0.638057,	0.421941,	0.504271,	0.123495,	3.72543,	0.041165,	0.216116,	0.16466,	0.452815,	0.236699,	0.607183,	0.0926212,	0.308737,	0.65864,	3.37553,	1.30699,	0.24699,	0.41165,	2.01708,	0.123495,	2.92271,	0.319028,	1.03942,	0.0617475,	0.226407,	0.0720387,	0,	0.0926212,	0.32932,	1.61573,	0.679222,	0.0720387,	0.0720387,	0.483688,	1.54369,	0.463106,	0.792426,	0.16466,	0.452815,	0.0823299,	0.627766,	0.205825,	1.44077,	0.185242,	0.648348,	0.0308737,	0.195534,	0,	2.17145,	1.74951,	0.102912,	0.205825,	1.83184,	0.0823299,	0.977668,	4.3532,	0.133786,	0.946794,	0.0308737,	2.51106,	0.154369,	0.277864,	0.195534,	0.0205825,	0.432232,	0.236699,	1.21437,	0.761552,	0.0205825,	0.535145,	0.288155,	0.0617475,	0.0205825,	1.09087,	0.267572,	0.0823299,	0.0720387,	0.0308737,	0.102912,	0.0823299,	1.48194,	
GM12865,	0.108131,	20.7468,	2.82584,	0.901096,	1.10294,	1.08852,	0.288351,	0.281142,	0.612745,	0.4109,	0.093714,	2.47261,	1.13898,	0.677624,	0.17301,	0.706459,	0.295559,	0.432526,	0.309977,	0.475779,	0.619954,	0.4109,	1.3192,	0.612745,	0.598328,	0.194637,	0.389273,	1.25433,	0.317186,	0.165802,	0.216263,	1.60035,	0.511822,	2.27797,	0.266724,	1.11015,	0.439735,	2.3068,	1.88149,	2.03287,	0.194637,	0.677624,	0.158593,	0.136967,	0.122549,	0.540657,	0.0576701,	0.266724,	1.21828,	0.122549,	0.0865052,	0.605536,	0.0504614,	2.68887,	1.11736,	0.605536,	0.0288351,	0.129758,	0.201845,	0.749712,	1.08852,	0.418108,	2.15542,	0.944348,	0.461361,	1.08131,	0.0144175,	1.32641,	3.33045,	0.396482,	0.266724,	2.49423,	0.165802,	0.367647,	3.36649,	0.288351,	5.62284,	0.144175,	1.4778,	0.273933,	0.259516,	0.389273,	0.0792964,	0.273933,	0.403691,	0.64158,	1.66522,	0.0144175,	0.504614,	0.0432526,	0.0432526,	0.367647,	0.0720877,	2.63841,	0.0432526,	0.0360438,	0.562284,	0.0432526,	1.1534,	1.65081,	
H7-hESC,	0.101502,	16.511,	2.70673,	1.4481,	1.00149,	1.15713,	0.182704,	0.345108,	0.690215,	1.05562,	0.175937,	1.84057,	0.798484,	0.453377,	0.378942,	0.480444,	0.493978,	0.751117,	0.290973,	0.493978,	1.08269,	0.487211,	1.25863,	0.433076,	0.954121,	0.554879,	0.609013,	1.21126,	0.243605,	0.115036,	0.392475,	2.26012,	0.473677,	1.53607,	0.175937,	0.974422,	0.541345,	1.46163,	2.39545,	1.5293,	0.568413,	1.05562,	0.135336,	0.358641,	0.16917,	0.76465,	0.0947354,	0.345108,	0.859386,	0.128569,	0.175937,	1.02179,	0.115036,	3.40371,	2.58492,	0.920287,	0.0203004,	0.196238,	0.263906,	0.812018,	0.818785,	0.568413,	3.53904,	0.784951,	0.541345,	1.38043,	0.0338341,	1.5293,	2.10448,	0.351874,	0.378942,	2.05711,	0.230072,	0.46691,	3.29544,	0.676682,	4.22249,	0.290973,	0.886453,	0.561646,	0.270673,	0.277439,	0.175937,	0.676682,	0.757883,	0.31804,	2.03004,	0.0406009,	0.439843,	0.0473677,	0.0609013,	0.351874,	0.0676682,	2.62552,	0.0812018,	0.0812018,	1.02856,	0.0812018,	0.940587,	0.886453,	
HA-h,	0.0432339,	24.4333,	2.41492,	2.62492,	0.500278,	1.03144,	0.135878,	0.592922,	0.648508,	1.11791,	0.203817,	0.858502,	0.395281,	0.457044,	0.475573,	0.0926441,	0.457044,	0.87703,	0.135878,	0.284108,	2.45816,	0.419986,	1.07467,	0.222346,	0.982027,	0.568217,	0.969675,	0.531159,	0.228522,	0.0494102,	0.450868,	2.24199,	0.296461,	0.722624,	0.203817,	0.487925,	0.370576,	0.716447,	2.76079,	0.506454,	1.08085,	0.444691,	0.067939,	0.358224,	0.203817,	0.580569,	0.0617627,	0.333519,	0.234698,	0.253227,	0.154407,	0.691742,	0.129702,	3.71812,	6.49126,	0.759681,	0.0308814,	0.179112,	0.352047,	0.339695,	0.531159,	0.228522,	4.80514,	0.302637,	0.376752,	0.889383,	0.0123525,	1.00673,	1.30937,	0.216169,	0.271756,	1.24143,	0.240875,	0.191464,	1.65524,	0.907912,	3.08196,	0.067939,	0.457044,	1.13026,	0.580569,	0.240875,	0.185288,	0.753505,	1.34025,	0.14823,	2.79167,	0.0370576,	0.41381,	0.0555864,	0.0308814,	0.296461,	0.0247051,	1.72936,	0.0926441,	0.0617627,	0.654685,	0.0370576,	0.636156,	0.457044,	
HAEpiC,	0.025669,	29.4295,	2.16903,	2.27171,	0.577552,	0.827825,	0.11551,	0.3722,	0.224604,	1.13585,	0.0898415,	0.654559,	0.397869,	0.25669,	0.404287,	0.25669,	0.494128,	0.949753,	0.0962587,	0.263107,	1.99576,	0.359366,	0.988256,	0.179683,	0.545466,	0.474876,	0.455625,	0.558301,	0.0705897,	0.0705897,	0.340114,	2.84284,	0.32728,	0.789322,	0.211769,	0.365783,	0.295193,	0.564718,	2.83642,	0.853494,	1.03959,	0.51338,	0.0641725,	0.506963,	0.121928,	0.295193,	0.0320862,	0.320863,	0.378618,	0.147597,	0.141179,	0.590387,	0.0641725,	3.4974,	7.25791,	0.834242,	0.0192517,	0.121928,	0.0898415,	0.320863,	0.263107,	0.359366,	4.2033,	0.243855,	0.160431,	1.12302,	0,	1.54656,	1.13585,	0.166848,	0.218186,	1.64282,	0.128345,	0.211769,	2.32304,	0.879163,	2.50914,	0.109093,	0.263107,	1.03959,	0.25669,	0.160431,	0.0641725,	0.551883,	0.962587,	0.1861,	2.77225,	0.0128345,	0.243855,	0.0385035,	0.00641725,	0.192517,	0.025669,	1.90592,	0.0449207,	0.025669,	0.609639,	0.0577552,	0.423538,	0.436373,	
HCF,	0.0649182,	17.0216,	2.77201,	1.88263,	0.655674,	1.42171,	0.0973773,	0.434952,	0.766035,	1.07764,	0.233706,	1.46066,	0.512854,	0.577772,	0.408985,	0.292132,	0.402493,	0.882888,	0.162296,	0.266165,	1.52558,	0.363542,	1.188,	0.266165,	1.05167,	0.603739,	0.798494,	1.05167,	0.149312,	0.0519346,	0.434952,	2.69411,	0.441444,	1.20748,	0.162296,	0.876396,	0.415477,	1.12308,	3.03168,	1.09712,	0.506362,	0.766035,	0.110361,	0.259673,	0.181771,	0.636198,	0.0584264,	0.396001,	0.551805,	0.129836,	0.175279,	0.986757,	0.07141,	3.91457,	4.29759,	0.740068,	0.0259673,	0.21423,	0.259673,	0.610231,	0.792002,	0.421968,	4.64165,	0.610231,	0.655674,	1.28538,	0.0519346,	1.42171,	2.25266,	0.376526,	0.227214,	1.55155,	0.292132,	0.318099,	2.53181,	0.85692,	3.7263,	0.201246,	0.610231,	0.85692,	0.396001,	0.350558,	0.0779018,	0.623215,	0.895871,	0.220722,	2.18774,	0.0194755,	0.389509,	0.0389509,	0.0259673,	0.467411,	0.0389509,	3.10958,	0.0584264,	0.0389509,	0.824461,	0.0843937,	0.882888,	0.766035,	
HCM,	0.058916,	22.5517,	2.93925,	2.19298,	0.648075,	1.30924,	0.111286,	0.451689,	0.543336,	1.15868,	0.163655,	0.851008,	0.477874,	0.43205,	0.392773,	0.216025,	0.418958,	0.981932,	0.157109,	0.229118,	1.92459,	0.399319,	1.1194,	0.209479,	0.792092,	0.510605,	0.641529,	0.864101,	0.163655,	0.0392773,	0.464781,	2.88034,	0.366588,	0.857554,	0.117832,	0.693899,	0.399319,	0.870647,	2.72977,	1.07358,	0.680807,	0.576067,	0.0720084,	0.333857,	0.163655,	0.543336,	0.0261849,	0.412412,	0.569521,	0.150563,	0.163655,	0.621891,	0.0851008,	3.67243,	5.3679,	0.72663,	0.0327311,	0.124378,	0.222571,	0.353496,	0.530244,	0.445143,	4.60854,	0.333857,	0.340403,	1.21105,	0.0130924,	1.26997,	1.87222,	0.144017,	0.235664,	1.63001,	0.18984,	0.229118,	2.40246,	0.91647,	3.34512,	0.130924,	0.471328,	0.975386,	0.360042,	0.196386,	0.0523697,	0.530244,	1.09322,	0.216025,	2.52029,	0.0130924,	0.399319,	0.0392773,	0.0130924,	0.333857,	0.0327311,	2.47447,	0.0458235,	0.058916,	0.785546,	0.0720084,	0.510605,	0.654622,	
