cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.169492,	24.2373,	1.90207,	2.12806,	2.3258,	0.433145,	0.282486,	0.819209,	0.235405,	0.216572,	0.649718,	1.70433,	1.69492,	0.640301,	0.913371,	1.22411,	0.536723,	0.263653,	0.536723,	0.357815,	1.02637,	0.367232,	0.254237,	1.01695,	0.141243,	0.66855,	0.856874,	0.630885,	0.536723,	0.527307,	0.47081,	0.772128,	0.254237,	3.6064,	0.838041,	0.169492,	1.11111,	1.71375,	0.612053,	0.743879,	0.894539,	0.59322,	0.338983,	0.781544,	0.131827,	0.282486,	0.216572,	0.160075,	1.27119,	0.86629,	0.178908,	0.414313,	0.244821,	1.83616,	1.10169,	1.03578,	0.338983,	0.480226,	0.244821,	0.555556,	1.13936,	0.687382,	0.376648,	0.451977,	0.103578,	1.52542,	0.0564972,	0.838041,	1.08286,	0.357815,	0.922787,	1.72316,	0.131827,	0.894539,	1.84557,	0.517891,	1.51601,	0.141243,	3.22976,	0.546139,	1.54426,	0.838041,	0.131827,	0.489642,	1.85499,	1.67608,	1.47834,	0.094162,	0.988701,	0.602637,	0.103578,	0.0847458,	0.207156,	0.263653,	0.207156,	0.160075,	0.19774,	0.112994,	0.188324,	1.12994,	
AoAF,	0.238221,	23.6545,	2.05576,	2.07341,	1.7646,	0.317628,	0.379389,	0.970531,	0.299982,	0.132345,	0.670549,	1.44697,	1.27934,	0.714664,	1.12935,	1.2264,	0.758779,	0.291159,	0.511735,	0.317628,	1.15581,	0.529381,	0.202929,	0.829363,	0.105876,	0.705841,	0.926416,	0.573496,	0.573496,	0.494089,	0.414681,	0.723487,	0.282336,	3.53803,	0.73231,	0.202929,	1.55285,	1.6499,	0.564673,	0.608788,	0.873478,	0.661726,	0.405858,	0.90877,	0.158814,	0.282336,	0.114699,	0.185283,	1.3411,	0.864655,	0.132345,	0.361743,	0.273513,	1.994,	1.3411,	1.15581,	0.335274,	0.785248,	0.220575,	0.538204,	1.3411,	0.758779,	0.476443,	0.582319,	0.123522,	1.38521,	0.0705841,	0.847009,	0.873478,	0.220575,	0.979354,	1.72049,	0.141168,	0.617611,	1.8793,	0.626434,	1.35874,	0.0882301,	2.58514,	0.511735,	1.78225,	0.661726,	0.114699,	0.582319,	2.67337,	1.49109,	1.73813,	0.132345,	1.25287,	0.591142,	0.0705841,	0.158814,	0.202929,	0.194106,	0.17646,	0.220575,	0.211752,	0.149991,	0.123522,	0.749956,	
CD20+,	0.19769,	27.8743,	2.12257,	1.51909,	2.1954,	0.353761,	0.312142,	0.873999,	0.260119,	0.2185,	0.489023,	1.88326,	1.95609,	0.520237,	0.780356,	1.5399,	0.478618,	0.249714,	0.41619,	0.228904,	0.665904,	0.353761,	0.374571,	1.59193,	0.083238,	0.374571,	0.59307,	0.624285,	0.478618,	0.374571,	0.280928,	0.749142,	0.374571,	3.64166,	0.926022,	0.239309,	1.0925,	2.52835,	0.436999,	1.19655,	0.426595,	0.447404,	0.280928,	0.489023,	0.156071,	0.280928,	0.114452,	0.135262,	1.58152,	0.645094,	0.124857,	0.280928,	0.166476,	1.81043,	0.81157,	0.863594,	0.176881,	0.520237,	0.260119,	0.384976,	0.978046,	0.520237,	0.301738,	0.572261,	0.0936427,	1.01967,	0.0728332,	0.915617,	1.49828,	0.176881,	0.530642,	2.45552,	0.239309,	0.551451,	2.27864,	0.322547,	1.71678,	0.0728332,	3.74571,	0.291333,	0.978046,	0.447404,	0.0728332,	0.384976,	1.63354,	1.36302,	1.40464,	0.0728332,	0.821975,	0.374571,	0.0728332,	0.135262,	0.364166,	0.187285,	0.124857,	0.156071,	0.0936427,	0.124857,	0.187285,	1.23816,	
GM06990,	0.11658,	31.101,	1.5544,	1.23057,	2.3057,	0.388601,	0.427461,	0.466321,	0.181347,	0.0777202,	0.388601,	1.20466,	2.09845,	0.310881,	0.544041,	2.02073,	0.518135,	0.129534,	0.699482,	0.712435,	0.816062,	0.388601,	0.375648,	2.27979,	0.0518135,	0.310881,	0.505181,	0.297927,	0.259067,	0.11658,	0.310881,	1.15285,	0.233161,	1.5285,	1.04922,	0.414508,	1.24352,	2.56477,	0.466321,	1.32124,	0.647668,	0.867876,	0.129534,	0.492228,	0.0388601,	0.0647668,	0.349741,	0.0906736,	2.43523,	0.854922,	0.310881,	0.11658,	0.414508,	1.30829,	0.790155,	0.841969,	0.103627,	0.440415,	0.0647668,	0.440415,	0.207254,	0.673575,	0.349741,	0.388601,	0.0518135,	0.492228,	0.0259067,	1.08808,	2.42228,	0.0518135,	0.621762,	2.87565,	0.0647668,	0.375648,	2.37047,	0.531088,	1.47668,	0.0518135,	2.51295,	0.336788,	0.829016,	0.479275,	0.0388601,	0.246114,	0.725389,	1.45078,	2.29275,	0.181347,	0.272021,	0.440415,	0.168394,	0.0129534,	0.375648,	0.233161,	0.11658,	0,	0.142487,	0.0518135,	0.233161,	1.77461,	
GM12865,	0.165627,	27.0655,	1.99727,	1.50039,	2.22136,	0.35074,	0.370226,	0.66251,	0.321512,	0.204599,	0.487139,	1.86087,	1.64653,	0.584567,	0.76968,	1.49065,	0.467654,	0.185113,	0.399454,	0.311769,	0.691738,	0.340998,	0.233827,	1.42245,	0.0974279,	0.428683,	0.652767,	0.555339,	0.477397,	0.59431,	0.360483,	0.847623,	0.399454,	3.79969,	0.984022,	0.185113,	1.00351,	2.71824,	0.652767,	0.759938,	0.516368,	0.516368,	0.233827,	0.487139,	0.0681995,	0.263055,	0.126656,	0.0779423,	1.57833,	0.643024,	0.116913,	0.263055,	0.194856,	1.58807,	0.730709,	0.876851,	0.185113,	0.643024,	0.155885,	0.574825,	1.28605,	0.545596,	0.35074,	0.467654,	0.0681995,	1.13991,	0.0389712,	0.876851,	1.43219,	0.155885,	0.83788,	2.39673,	0.146142,	0.555339,	2.32853,	0.292284,	1.5491,	0.136399,	3.6438,	0.204599,	1.29579,	0.740452,	0.0681995,	0.506625,	1.7537,	1.63679,	1.4809,	0.0681995,	0.90608,	0.331255,	0.0584567,	0.048714,	0.272798,	0.155885,	0.126656,	0.165627,	0.194856,	0.136399,	0.233827,	1.25682,	
H7-hESC,	0.0476417,	27.2606,	1.97237,	1.9152,	2.12482,	0.276322,	0.505002,	0.848023,	0.304907,	0.181039,	0.638399,	1.54359,	1.66746,	0.495474,	1.01,	1.23869,	0.428776,	0.22868,	0.438304,	0.381134,	1.20057,	0.447832,	0.190567,	1.06717,	0.0571701,	0.524059,	0.628871,	0.495474,	0.438304,	0.524059,	0.381134,	0.686041,	0.428776,	3.55407,	0.600286,	0.104812,	1.09576,	1.81039,	0.505002,	0.647928,	0.771796,	0.628871,	0.381134,	0.619343,	0.133397,	0.247737,	0.123869,	0.142925,	1.61029,	0.724154,	0.0762268,	0.28585,	0.209624,	1.61982,	1.17199,	1.23869,	0.323964,	0.695569,	0.161982,	0.600286,	0.952835,	0.705098,	0.400191,	0.495474,	0.133397,	1.18151,	0.0666984,	0.952835,	0.905193,	0.142925,	0.686041,	2.46784,	0.142925,	0.533587,	2.26775,	0.381134,	1.24821,	0.0571701,	3.04907,	0.371606,	1.6484,	0.600286,	0.0476417,	0.657456,	1.97237,	1.63888,	1.61029,	0.0857551,	1.17199,	0.524059,	0.0476417,	0.104812,	0.200095,	0.123869,	0.238209,	0.17151,	0.133397,	0.133397,	0.104812,	0.98142,	
HA-h,	0.379998,	17.7476,	2.01226,	2.27999,	1.6409,	0.544088,	0.449089,	1.26954,	0.544088,	0.233181,	0.829087,	1.50272,	1.3559,	0.863632,	1.12272,	1.13136,	0.673633,	0.302271,	0.84636,	0.604543,	1.00181,	0.49227,	0.345453,	0.993177,	0.189999,	0.725451,	1.01909,	0.561361,	0.690906,	0.811815,	0.474998,	0.924087,	0.518179,	2.94499,	1.08818,	0.32818,	1.13136,	1.61499,	0.820451,	0.526816,	0.880905,	0.690906,	0.449089,	1.05363,	0.25909,	0.500907,	0.267726,	0.155454,	1.17454,	0.863632,	0.284999,	0.544088,	0.397271,	1.96908,	1.64954,	1.01045,	0.544088,	0.68227,	0.310908,	0.639088,	1.44227,	0.906814,	0.621815,	0.785905,	0.276362,	1.38181,	0.0949996,	0.716815,	1.01909,	0.319544,	0.734088,	1.53727,	0.215908,	0.975905,	1.97772,	0.75136,	1.27818,	0.138181,	2.8759,	0.388635,	1.81363,	0.863632,	0.103636,	0.734088,	2.27999,	1.27818,	1.42499,	0.138181,	1.05363,	0.466361,	0.207272,	0.302271,	0.656361,	0.310908,	0.32818,	0.25909,	0.310908,	0.207272,	0.181363,	0.777269,	
HAEpiC,	0.122503,	25.0848,	1.79043,	2.20505,	1.95062,	0.395778,	0.395778,	0.970599,	0.339239,	0.216736,	0.91406,	1.536,	1.47003,	0.659631,	1.22503,	1.29099,	0.697324,	0.245006,	0.555974,	0.329815,	1.33811,	0.358085,	0.282699,	1.07426,	0.0942329,	0.621937,	0.77271,	0.376932,	0.527704,	0.518281,	0.395778,	0.659631,	0.226159,	3.67508,	0.951753,	0.254429,	1.15907,	1.70562,	0.621937,	0.819827,	0.82925,	0.640784,	0.301545,	0.970599,	0.141349,	0.282699,	0.160196,	0.179043,	1.32868,	0.895213,	0.179043,	0.273276,	0.301545,	1.52657,	1.20618,	0.951753,	0.395778,	0.866943,	0.160196,	0.471165,	1.08368,	0.650207,	0.348662,	0.527704,	0.122503,	1.2533,	0.0565398,	0.932906,	0.791557,	0.197889,	0.71617,	1.91293,	0.131926,	0.640784,	2.09197,	0.405202,	1.1308,	0.0471165,	2.73276,	0.442895,	1.63023,	0.669054,	0.103656,	0.631361,	2.56314,	1.73389,	1.28157,	0.0848097,	0.970599,	0.631361,	0.0942329,	0.131926,	0.292122,	0.179043,	0.310969,	0.160196,	0.216736,	0.141349,	0.150773,	0.91406,	
HCF,	0.257282,	21.7403,	1.97556,	1.95718,	2.03069,	0.468621,	0.385923,	0.817789,	0.60645,	0.220527,	0.928053,	1.65396,	1.51613,	0.790223,	1.16696,	1.35992,	0.588073,	0.275659,	0.496187,	0.514564,	0.918864,	0.486998,	0.358357,	1.05669,	0.303225,	0.578884,	0.698337,	0.836166,	0.578884,	0.532941,	0.431866,	0.88211,	0.459432,	3.27116,	0.836166,	0.20215,	1.04751,	1.81016,	0.615639,	0.863732,	0.872921,	0.643205,	0.468621,	0.891298,	0.192961,	0.367546,	0.192961,	0.128641,	1.2129,	0.891298,	0.220527,	0.376734,	0.284848,	1.52531,	1.20371,	1.00156,	0.294037,	0.707525,	0.220527,	0.624828,	1.41505,	0.560507,	0.477809,	0.532941,	0.192961,	1.79179,	0.0918864,	0.817789,	0.955619,	0.266471,	0.964808,	1.86529,	0.211339,	0.854544,	1.90205,	0.560507,	1.13939,	0.128641,	2.94037,	0.4043,	1.6172,	0.88211,	0.110264,	0.597262,	2.26041,	1.55288,	1.35992,	0.110264,	1.28641,	0.486998,	0.0735091,	0.192961,	0.303225,	0.248093,	0.229716,	0.284848,	0.211339,	0.165396,	0.229716,	0.88211,	
HCM,	0.259837,	21.9562,	1.80958,	2.05085,	1.90238,	0.324796,	0.380475,	0.909428,	0.473274,	0.259837,	0.853749,	1.57758,	1.4755,	0.927988,	1.03007,	1.30846,	0.603192,	0.306236,	0.566073,	0.491834,	0.965108,	0.417595,	0.269117,	1.05791,	0.167038,	0.640312,	0.78879,	0.77951,	0.686711,	0.640312,	0.408315,	0.714551,	0.445434,	2.88604,	0.863029,	0.306236,	1.07647,	1.7075,	0.566073,	0.900149,	0.937268,	0.593912,	0.361915,	0.872309,	0.129918,	0.296956,	0.278396,	0.176318,	1.29918,	0.890869,	0.213437,	0.408315,	0.306236,	1.83742,	1.23422,	0.900149,	0.306236,	0.686711,	0.278396,	0.612472,	1.28062,	0.686711,	0.621752,	0.584633,	0.176318,	1.41982,	0.0463994,	0.909428,	0.974387,	0.343356,	0.955828,	1.9395,	0.204157,	1.00223,	2.09725,	0.575353,	1.07647,	0.120638,	2.7654,	0.482554,	1.55902,	0.965108,	0.0649592,	0.519673,	2.13437,	1.65182,	1.41982,	0.102079,	1.30846,	0.528953,	0.139198,	0.194878,	0.361915,	0.334076,	0.334076,	0.222717,	0.157758,	0.0742391,	0.185598,	1.10431,	
