cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.316247,	17.1169,	1.72618,	0.540256,	2.04243,	0.118593,	0.672025,	0.105416,	0.329424,	0.224008,	0.13177,	3.07023,	0.513902,	0.171301,	0.105416,	0.909211,	0.342601,	0.368955,	4.40111,	1.80524,	0.935565,	1.34405,	0.698379,	3.36013,	0.105416,	0.395309,	0.118593,	1.3704,	0.013177,	0.0395309,	0.724733,	0.316247,	0.30307,	0.764264,	3.22836,	0.144947,	0.237185,	7.53722,	0.368955,	1.09369,	1.23863,	1.10687,	0.184478,	0.698379,	0.0658848,	0.0790618,	0.540256,	0.210831,	1.1464,	1.08051,	0.830149,	0.724733,	0.210831,	2.35868,	1.3177,	0.882857,	0.184478,	0.0658848,	0,	2.18738,	0.0527079,	0.316247,	0.56661,	1.26499,	0.0658848,	0.105416,	0,	0.935565,	0.803795,	0.0790618,	0.0395309,	2.04243,	0.0395309,	1.73936,	5.46844,	0.355778,	2.14785,	1.38358,	0.685202,	0.197655,	0.105416,	0.0658848,	0.0790618,	0.0790618,	0.13177,	0.777441,	1.55488,	0,	0.461194,	0.171301,	0.0658848,	0.0790618,	0.658848,	1.84478,	0.158124,	0.013177,	0.0790618,	0.171301,	0.988272,	1.00145,	
AoAF,	0.320829,	14.9309,	2.25814,	0.826752,	2.28282,	0.123396,	0.826752,	0.0740375,	0.30849,	0.0863771,	0.382527,	3.25765,	0.518263,	0.185094,	0.148075,	0.826752,	0.345508,	0.370188,	4.59033,	1.64116,	1.41905,	1.96199,	0.493583,	2.94916,	0.0370188,	0.456565,	0.148075,	1.11056,	0.0863771,	0.0863771,	0.987167,	0.29615,	0.135735,	0.740375,	2.73939,	0.148075,	0.345508,	8.07009,	0.370188,	0.950148,	1.03653,	1.07354,	0.197433,	1.38203,	0.0616979,	0.0370188,	0.567621,	0.271471,	1.15992,	1.1229,	0.876111,	0.703356,	0.29615,	3.15893,	1.38203,	1.15992,	0.123396,	0.0493583,	0.0123396,	2.09773,	0.0616979,	0.456565,	0.629319,	1.62883,	0.0987167,	0.28381,	0.0123396,	1.20928,	0.789734,	0.0987167,	0.0740375,	1.96199,	0.0493583,	1.56713,	4.56565,	0.579961,	1.15992,	1.50543,	0.493583,	0.259131,	0.172754,	0.0987167,	0.111056,	0.246792,	0.0863771,	0.987167,	1.51777,	0.0123396,	0.60464,	0.135735,	0.0863771,	0.0740375,	0.691017,	1.23396,	0.197433,	0.0246792,	0.0863771,	0.135735,	0.728036,	0.678677,	
CD20+,	0.168744,	17.4714,	5.84112,	1.07736,	2.41433,	0.168744,	0.48027,	0.0908619,	0.415369,	0.142783,	0.246625,	2.45327,	0.402388,	0.129803,	0.168744,	0.687954,	0.220665,	0.558152,	1.99896,	1.66147,	1.44081,	1.27207,	3.12825,	2.53115,	0.129803,	0.726895,	0.116822,	1.70042,	0.0129803,	0.0649014,	0.532191,	0.337487,	0.584112,	0.584112,	2.25857,	0.168744,	0.220665,	5.77622,	0.882658,	0.687954,	0.791797,	0.713915,	0.220665,	0.674974,	0.0519211,	0.0649014,	0.791797,	0.311526,	0.908619,	0.908619,	0.597092,	0.649014,	0.155763,	3.34891,	1.64849,	1.06438,	0.0908619,	0.103842,	0.0259605,	0.986501,	0.0649014,	0.259605,	0.830737,	1.22015,	0.142783,	0.155763,	0.0129803,	0.778816,	0.610073,	0.0778816,	0.129803,	1.92108,	0.0778816,	1.03842,	4.27051,	0.402388,	2.8297,	1.25909,	0.415369,	0.571132,	0.116822,	0.129803,	0.116822,	0.142783,	0.155763,	0.661994,	1.16822,	0,	0.298546,	0.0649014,	0.0129803,	0.129803,	0.415369,	1.83022,	0.220665,	0,	0.0908619,	0.0778816,	1.66147,	1.57061,	
GM06990,	0.237342,	24.6203,	4.24051,	1.21835,	3.81329,	0.696203,	0.174051,	0.300633,	0.0316456,	0.316456,	0.237342,	2.08861,	6.28165,	0.158228,	1.25,	0.727848,	0.838608,	0.205696,	0.39557,	0.28481,	0.205696,	0.110759,	0.553797,	0.411392,	0.0632911,	0.0949367,	0.348101,	0.664557,	0.379747,	0.474684,	0.237342,	0.85443,	1.28165,	3.32278,	0.126582,	0.39557,	0.348101,	1.12342,	0.712025,	3.84494,	0.158228,	0.126582,	0.0632911,	0.205696,	0.0632911,	0.110759,	0.0474684,	0.110759,	1.64557,	0.0949367,	0.0316456,	0.110759,	0.253165,	1.5981,	0.300633,	1.15506,	0.0632911,	0.553797,	0.39557,	0.601266,	0.379747,	2.67405,	0.363924,	1.20253,	0.0316456,	0.56962,	0.110759,	2.18354,	2.07278,	0.490506,	0.348101,	2.04114,	0.0158228,	0.0949367,	1.34494,	0.189873,	2.92722,	0.0158228,	1.91456,	0.221519,	0.316456,	0.664557,	0.0474684,	0.537975,	0.743671,	0.648734,	1.10759,	0.0316456,	0.617089,	0.0791139,	0.0949367,	0.189873,	0.363924,	0.237342,	0.0158228,	0.268987,	0.411392,	0.0791139,	0.458861,	2.53165,	
GM12865,	0.287356,	15.3048,	2.5987,	1.03698,	2.12394,	0.09995,	0.637181,	0.112444,	0.287356,	0.249875,	0.349825,	2.89855,	0.724638,	0.137431,	0.137431,	0.712144,	0.312344,	0.474763,	4.26037,	1.86157,	1.11194,	1.5992,	1.12444,	2.87356,	0.0874563,	0.462269,	0.224888,	1.53673,	0.049975,	0.049975,	0.849575,	0.274863,	0.249875,	0.5997,	3.01099,	0.174913,	0.449775,	7.47126,	0.49975,	1.09945,	1.17441,	1.02449,	0.137431,	0.962019,	0.09995,	0.0124938,	0.837081,	0.337331,	1.09945,	0.962019,	0.787106,	0.774613,	0.262369,	2.49875,	1.51174,	0.937032,	0.162419,	0.112444,	0,	2.07396,	0.0374813,	0.362319,	0.724638,	1.28686,	0.0874563,	0.212394,	0.0124938,	1.03698,	0.687156,	0.112444,	0.0874563,	1.81159,	0.0374813,	1.49925,	4.7976,	0.449775,	1.86157,	1.71164,	0.762119,	0.162419,	0.124938,	0.112444,	0.049975,	0.137431,	0.137431,	0.712144,	1.27436,	0.0749625,	0.487256,	0.124938,	0.0374813,	0.0749625,	0.562219,	1.89905,	0.187406,	0,	0.049975,	0.149925,	0.874563,	1.01199,	
H7-hESC,	0.232919,	17.1713,	2.08333,	0.672878,	2.61387,	0.207039,	0.724638,	0.0646998,	0.271739,	0.11646,	0.388199,	3.59731,	0.530538,	0.10352,	0.181159,	0.841097,	0.401139,	0.478778,	4.74896,	1.73395,	1.30694,	2.01863,	0.414079,	3.14441,	0.11646,	0.323499,	0.271739,	1.12578,	0.0517598,	0.0646998,	1.11284,	0.349379,	0.168219,	0.737578,	2.17391,	0.1294,	0.181159,	7.98395,	0.452899,	0.996377,	0.711698,	0.854037,	0.258799,	1.13872,	0.14234,	0.0646998,	0.530538,	0.323499,	1.17754,	0.892857,	0.815217,	0.582298,	0.310559,	3.68789,	0.970497,	1.20342,	0.1294,	0.0517598,	0,	1.86335,	0.0646998,	0.491718,	0.634058,	1.37164,	0.11646,	0.168219,	0,	1.08696,	0.621118,	0.0517598,	0.0776398,	2.22567,	0.0388199,	1.12578,	4.61957,	0.789338,	1.5528,	0.970497,	0.478778,	0.310559,	0.0517598,	0.10352,	0.0646998,	0.15528,	0.207039,	0.905797,	1.70807,	0,	0.452899,	0.181159,	0.0776398,	0.0258799,	0.672878,	0.815217,	0.168219,	0,	0.0258799,	0.0776398,	0.582298,	0.931677,	
HA-h,	0.252738,	14.6708,	1.84138,	0.986882,	2.15429,	0.288843,	0.794319,	0.168492,	0.517511,	0.156457,	0.39716,	2.16633,	0.433265,	0.180527,	0.264773,	0.637863,	0.505476,	0.529546,	4.33265,	1.43218,	1.42015,	1.82934,	0.710073,	3.21338,	0.288843,	0.39716,	0.324949,	1.10723,	0.0962811,	0.120351,	1.35997,	0.457335,	0.216633,	0.698038,	3.03286,	0.264773,	0.529546,	7.26923,	0.613792,	0.782284,	1.20351,	0.938741,	0.336984,	1.05909,	0.120351,	0.144422,	0.710073,	0.324949,	0.902636,	1.11927,	1.23962,	0.673968,	0.39716,	2.45517,	1.42015,	0.962811,	0.156457,	0.120351,	0,	1.86545,	0.0722109,	0.457335,	0.746179,	1.46829,	0.180527,	0.228668,	0.0361054,	1.15537,	0.926706,	0.120351,	0.108316,	1.68492,	0.144422,	1.35997,	4.06788,	0.601757,	1.51643,	2.05801,	0.661933,	0.300879,	0.132387,	0.0962811,	0.108316,	0.132387,	0.240703,	1.05909,	1.51643,	0.0240703,	0.613792,	0.156457,	0.0601757,	0.180527,	0.686003,	1.28776,	0.228668,	0.0120351,	0.084246,	0.0722109,	1.0952,	0.722109,	
HAEpiC,	0.384157,	16.8102,	2.38442,	0.940522,	2.34468,	0.251689,	0.78156,	0.0794807,	0.291429,	0.119221,	0.291429,	3.53689,	0.543118,	0.185455,	0.105974,	0.78156,	0.317923,	0.490131,	4.25222,	1.88104,	0.993509,	1.49689,	1.07299,	2.94079,	0.0662339,	0.476884,	0.145715,	1.36442,	0.0662339,	0.0529872,	0.847794,	0.344416,	0.238442,	0.715327,	3.00702,	0.172208,	0.198702,	7.68314,	0.543118,	1.0465,	0.980262,	0.940522,	0.185455,	1.12598,	0.0529872,	0.0662339,	0.622599,	0.317923,	1.17896,	0.887535,	0.70208,	0.543118,	0.198702,	2.56988,	1.19221,	1.00676,	0.132468,	0.105974,	0.0132468,	1.92078,	0.0529872,	0.37091,	0.768314,	1.29819,	0.105974,	0.225195,	0.0132468,	0.993509,	0.503378,	0.0927275,	0.158961,	1.96052,	0.0794807,	1.33793,	4.47741,	0.662339,	2.14598,	1.02,	0.37091,	0.225195,	0.0662339,	0.119221,	0.0794807,	0.132468,	0.105974,	0.755067,	2.00027,	0,	0.516625,	0.119221,	0.0397404,	0.0529872,	0.437144,	1.28494,	0.105974,	0.0264936,	0.0529872,	0.0794807,	0.940522,	1.23195,	
HCF,	0.282595,	14.2967,	1.86256,	0.603725,	1.93963,	0.256904,	0.642261,	0.0513809,	0.32113,	0.231214,	0.411047,	2.73603,	0.565189,	0.154143,	0.154143,	0.924855,	0.32113,	0.436737,	4.80411,	1.79833,	1.25883,	1.75979,	0.603725,	3.46821,	0.141297,	0.29544,	0.192678,	1.52858,	0.0385356,	0.0899165,	0.847784,	0.308285,	0.179833,	0.61657,	3.46821,	0.231214,	0.244059,	8.07964,	0.346821,	1.15607,	1.36159,	1.16891,	0.166988,	0.989082,	0.128452,	0.0513809,	0.822094,	0.26975,	1.09184,	1.13038,	1.13038,	0.629416,	0.333976,	2.53051,	1.1946,	1.05331,	0.205523,	0.141297,	0.0128452,	2.47913,	0.0513809,	0.436737,	0.513809,	1.28452,	0.0770713,	0.154143,	0.0128452,	0.937701,	0.667951,	0.115607,	0.128452,	1.66988,	0.0256904,	1.68272,	5.16378,	0.423892,	1.38728,	1.54143,	0.91201,	0.154143,	0.115607,	0.115607,	0.0642261,	0.0770713,	0.102762,	0.680796,	1.45151,	0.0385356,	0.629416,	0.205523,	0.0385356,	0.0385356,	0.578035,	1.84971,	0.141297,	0,	0.0770713,	0.205523,	0.989082,	0.719332,	
HCM,	0.364299,	14.8452,	1.7044,	0.78064,	2.3159,	0.104085,	0.767629,	0.0910747,	0.286235,	0.19516,	0.338277,	2.9274,	0.520427,	0.221181,	0.130107,	0.949779,	0.416341,	0.364299,	5.28233,	1.84751,	1.35311,	1.53526,	0.598491,	3.81213,	0.0520427,	0.429352,	0.104085,	1.23601,	0.039032,	0.078064,	0.819672,	0.19516,	0.221181,	0.624512,	3.73406,	0.156128,	0.247203,	7.96253,	0.260213,	0.910747,	1.10591,	1.10591,	0.260213,	0.923757,	0.156128,	0.039032,	0.481395,	0.338277,	1.05386,	1.13193,	1.13193,	0.663544,	0.182149,	2.49805,	1.19698,	0.78064,	0.143117,	0.0910747,	0,	2.36794,	0.0910747,	0.299245,	0.455373,	1.49623,	0.117096,	0.182149,	0.0260213,	0.78064,	0.663544,	0.117096,	0.078064,	1.56128,	0.0910747,	2.00364,	5.15222,	0.58548,	1.35311,	1.8345,	0.663544,	0.19516,	0.078064,	0.078064,	0.117096,	0.0650533,	0.078064,	0.624512,	1.24902,	0.039032,	0.58548,	0.169139,	0.039032,	0.0520427,	0.728597,	1.80848,	0.156128,	0.0130107,	0.039032,	0.169139,	0.858704,	0.832683,	
