cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0761035,	16.1339,	1.75038,	1.36986,	1.75038,	2.207,	0.22831,	0.913242,	0.152207,	1.67428,	0,	1.67428,	7.15373,	0.532724,	1.29376,	1.06545,	0.684932,	0,	0.608828,	0.380517,	0.456621,	0.22831,	0.380517,	0.380517,	0.152207,	0.380517,	0.0761035,	0.456621,	0.152207,	0.456621,	0.684932,	1.52207,	0.456621,	3.65297,	0.22831,	0.456621,	1.21766,	0.837138,	1.21766,	3.57686,	0,	0.22831,	0.22831,	0.304414,	0.380517,	1.14155,	0.0761035,	0.152207,	0.456621,	0.380517,	0.152207,	0.0761035,	0.0761035,	2.66362,	0.532724,	1.36986,	0,	0.380517,	0.152207,	1.52207,	1.14155,	1.14155,	1.14155,	1.44597,	0.0761035,	3.27245,	0.684932,	2.35921,	3.50076,	0.456621,	0.304414,	1.75038,	0.152207,	0.380517,	0.608828,	0.608828,	2.1309,	0.0761035,	0.989346,	0.152207,	0.304414,	0.22831,	0.152207,	1.52207,	0.837138,	0.989346,	1.75038,	0.0761035,	0.913242,	0.152207,	0.304414,	0.761035,	0.0761035,	0.152207,	0.0761035,	0,	1.44597,	0.0761035,	0,	0.913242,	
AoAF,	0.146199,	18.9327,	1.68129,	1.46199,	1.97368,	2.33918,	0.438596,	0.438596,	0.219298,	1.02339,	0,	1.82749,	5.62865,	0.511696,	1.09649,	0.730994,	1.24269,	0.146199,	0.438596,	0.219298,	0.730994,	0.0730994,	0.511696,	0.438596,	0,	0.365497,	0.438596,	0.0730994,	0.146199,	0.511696,	0.511696,	1.38889,	0.730994,	3.94737,	0.365497,	1.02339,	0.877193,	0.804094,	0.950292,	3.36257,	0.219298,	0.146199,	0.146199,	0.657895,	0.950292,	1.09649,	0,	0.0730994,	0.292398,	0.219298,	0,	0.0730994,	0.146199,	2.48538,	0.292398,	1.68129,	0,	0.219298,	0.0730994,	1.68129,	1.31579,	2.11988,	1.38889,	1.16959,	0,	2.77778,	0.365497,	1.82749,	3.43567,	0.657895,	0.438596,	1.24269,	0.0730994,	0.584795,	0.657895,	0.584795,	2.55848,	0,	1.24269,	0,	0.292398,	0,	0.146199,	1.60819,	0.292398,	0.292398,	1.46199,	0.0730994,	0.730994,	0.0730994,	0.438596,	0.804094,	0.0730994,	0.146199,	0,	0.146199,	1.24269,	0.0730994,	0,	1.46199,	
CD20+,	0.250417,	24.0401,	1.66945,	1.5025,	2.75459,	1.16861,	0.33389,	1.00167,	0.166945,	0.751252,	0.166945,	2.08681,	3.50584,	0.584307,	0.66778,	1.33556,	0.918197,	0,	0.417362,	0.33389,	0.751252,	0.166945,	0.500835,	1.58598,	0,	0.166945,	0.250417,	0.417362,	0.0834725,	0.584307,	0.500835,	1.33556,	0.250417,	3.42237,	0.500835,	0.500835,	0.834725,	1.75292,	1.08514,	2.67112,	0,	0.0834725,	0.250417,	0.0834725,	0.166945,	0.500835,	0.166945,	0.0834725,	1.00167,	0.166945,	0.166945,	0,	0.166945,	1.83639,	0.166945,	1.00167,	0,	0.500835,	0,	0.834725,	1.66945,	0.918197,	1.33556,	0.751252,	0.166945,	1.91987,	0.0834725,	2.33723,	4.00668,	0.33389,	0.33389,	2.58765,	0.166945,	0.66778,	1.33556,	0.0834725,	3.50584,	0.0834725,	1.66945,	0.166945,	0.166945,	0,	0,	0.584307,	0.66778,	0.834725,	1.5025,	0,	0.584307,	0,	0.166945,	0.584307,	0.0834725,	0.166945,	0,	0.250417,	0.584307,	0.250417,	0.417362,	0.834725,	
GM06990,	0.10661,	24.0938,	2.98507,	0.639659,	2.45203,	0.319829,	0.10661,	0.21322,	0.319829,	0.21322,	0,	2.87846,	2.87846,	0.426439,	0.533049,	2.87846,	0.10661,	0.533049,	0.639659,	0.852879,	0.959488,	0.639659,	0.426439,	1.0661,	0.21322,	0,	0.426439,	0.746269,	0.533049,	0.21322,	0.21322,	0.639659,	0.319829,	1.17271,	0.426439,	0.10661,	0.959488,	3.09168,	0.426439,	1.27932,	0.639659,	0.852879,	0.426439,	0.533049,	0.10661,	0,	0.21322,	0.533049,	1.17271,	0.959488,	0,	0.10661,	0.21322,	2.98507,	1.59915,	1.27932,	0,	0.426439,	0,	1.81237,	0.426439,	0.746269,	0.21322,	0.746269,	0.21322,	0.10661,	0.10661,	0.639659,	1.81237,	0,	0.746269,	2.77185,	0.10661,	0.533049,	3.09168,	0.533049,	2.34542,	0.10661,	2.55864,	0.426439,	0.426439,	0.319829,	0.10661,	0.10661,	0.533049,	1.91898,	1.59915,	0.10661,	0.319829,	0.746269,	0,	0.21322,	0.426439,	0.533049,	0.10661,	0.10661,	0.10661,	0.21322,	0.746269,	2.23881,	
GM12865,	0,	21.4562,	1.85902,	1.16189,	1.93648,	1.62665,	0.232378,	0.774593,	0,	0.697134,	0.154919,	1.78156,	5.57707,	0.619675,	0.542215,	0.542215,	0.852053,	0,	0.154919,	0.232378,	0.387297,	0.0774593,	1.08443,	1.08443,	0.0774593,	0.387297,	0.232378,	0.387297,	0.154919,	0.619675,	0.542215,	1.62665,	0.309837,	4.49264,	0.232378,	1.00697,	0.774593,	1.54919,	0.619675,	3.25329,	0.0774593,	0.154919,	0.154919,	0.542215,	0.232378,	0.852053,	0,	0.0774593,	0.774593,	0.232378,	0,	0,	0.154919,	2.01394,	0.309837,	1.39427,	0,	0.154919,	0.0774593,	1.39427,	1.16189,	1.23935,	1.23935,	0.697134,	0.232378,	2.4787,	0.387297,	2.71108,	3.87297,	0.542215,	0.309837,	2.0914,	0.0774593,	0.232378,	0.929512,	0.464756,	2.78854,	0,	1.70411,	0,	0.154919,	0,	0.154919,	1.47173,	0.542215,	0.542215,	1.23935,	0,	1.23935,	0.154919,	0.387297,	0.619675,	0.232378,	0.232378,	0,	0.232378,	0.774593,	0,	0.0774593,	1.08443,	
H7-hESC,	0.226074,	20.4974,	2.41145,	1.80859,	1.88395,	1.50716,	0.301432,	0.602864,	0.37679,	0.979653,	0.226074,	2.48681,	4.97362,	0.37679,	0.828937,	0.904295,	0.602864,	0,	0.150716,	0.226074,	0.828937,	0.075358,	0.37679,	1.13037,	0.150716,	0.37679,	0.37679,	0.150716,	0.226074,	0.979653,	0.37679,	1.35644,	0.37679,	4.67219,	0.452148,	1.13037,	0.301432,	0.904295,	1.13037,	3.84326,	0.150716,	0.226074,	0.075358,	0.527506,	0.602864,	0.828937,	0.226074,	0.075358,	0.452148,	0.37679,	0.075358,	0,	0.075358,	1.73323,	0.602864,	0.602864,	0.075358,	0.150716,	0,	1.58252,	1.28109,	2.03466,	0.904295,	0.979653,	0.075358,	2.41145,	0,	3.08968,	2.78824,	0.452148,	0.226074,	2.11002,	0.075358,	0.301432,	0.37679,	0.452148,	2.48681,	0,	0.678222,	0.075358,	0.075358,	0.075358,	0.075358,	1.58252,	0.904295,	0.979653,	0.828937,	0,	1.35644,	0.075358,	0.226074,	0.678222,	0.37679,	0.075358,	0,	0,	0.904295,	0.075358,	0.301432,	1.58252,	
HA-h,	0.491228,	15.7895,	1.33333,	1.47368,	1.75439,	2.80702,	0.280702,	1.12281,	0.0701754,	1.12281,	0.491228,	1.82456,	2.87719,	1.40351,	1.12281,	0.491228,	0.561404,	0.140351,	0.210526,	0.421053,	0.561404,	0.0701754,	0.561404,	1.05263,	0.0701754,	0.350877,	0.701754,	0.561404,	0.210526,	0.912281,	1.19298,	2.03509,	0.210526,	4,	0.210526,	1.54386,	1.05263,	0.77193,	0.982456,	0.982456,	0.210526,	0.350877,	0.350877,	0.491228,	0.561404,	1.26316,	0.140351,	0.140351,	0.561404,	0.421053,	0.210526,	0.0701754,	0.0701754,	2.73684,	0.701754,	0.701754,	0,	0.280702,	0.140351,	1.96491,	1.47368,	1.68421,	1.47368,	0.842105,	0.0701754,	2.66667,	0.701754,	2.31579,	2.80702,	0.842105,	0.350877,	1.19298,	0.210526,	0.280702,	0.631579,	0.561404,	3.08772,	0.0701754,	1.75439,	0,	0.421053,	0.210526,	0,	0.912281,	1.05263,	0.350877,	1.82456,	0,	1.12281,	0.140351,	0.350877,	1.33333,	0.421053,	0.350877,	0.140351,	0.140351,	1.33333,	0.0701754,	0.210526,	1.40351,	
HAEpiC,	0.229885,	21.1494,	1.6092,	1.30268,	1.99234,	1.99234,	0.45977,	0.613027,	0.153257,	0.91954,	0,	2.37548,	5.59387,	0.842912,	0.766284,	0.613027,	0.842912,	0.153257,	0.229885,	0.229885,	0.766284,	0.0766284,	0.229885,	0.613027,	0.0766284,	0.306513,	0.153257,	0.383142,	0.0766284,	0.383142,	0.766284,	1.0728,	0.689655,	4.5977,	0.0766284,	0.536398,	0.613027,	1.0728,	0.689655,	2.60536,	0.229885,	0.229885,	0.0766284,	0.306513,	0.306513,	0.842912,	0,	0.153257,	0.91954,	0.229885,	0.0766284,	0.153257,	0.0766284,	2.75862,	0.689655,	1.14943,	0,	0.0766284,	0,	1.30268,	1.0728,	2.37548,	1.14943,	0.996169,	0,	2.45211,	0.153257,	2.83525,	3.90805,	0.306513,	0.153257,	1.45594,	0.229885,	0.689655,	0.383142,	0.613027,	2.29885,	0.0766284,	0.842912,	0,	0.229885,	0.229885,	0.153257,	1.30268,	0.842912,	0.383142,	1.76245,	0.0766284,	0.91954,	0.0766284,	0.306513,	1.0728,	0.383142,	0,	0.0766284,	0.229885,	1.37931,	0.0766284,	0,	1.0728,	
HCF,	0.151286,	19.6672,	1.28593,	0.983359,	1.66415,	1.5885,	0.075643,	0.832073,	0.151286,	1.5885,	0.302572,	1.73979,	5.74887,	0.832073,	0.832073,	0.680787,	0.680787,	0,	0.453858,	0.075643,	0.680787,	0.226929,	0.605144,	0.302572,	0,	0.378215,	0.151286,	0.075643,	0.151286,	0.529501,	0.605144,	1.28593,	0.605144,	4.84115,	0.075643,	1.21029,	1.43722,	1.36157,	0.832073,	2.87443,	0.151286,	0.151286,	0.151286,	0.302572,	0.378215,	0.75643,	0.075643,	0.151286,	0.605144,	0.453858,	0.075643,	0,	0.151286,	1.96672,	0.453858,	0.832073,	0.075643,	0.453858,	0,	1.5885,	0.907716,	1.73979,	1.5885,	0.605144,	0.302572,	2.95008,	0.529501,	2.57186,	3.63086,	0.302572,	0.226929,	1.96672,	0.226929,	0.453858,	0.832073,	0.605144,	2.49622,	0.075643,	0.832073,	0.151286,	0.529501,	0.075643,	0.378215,	1.51286,	0.75643,	0.378215,	1.51286,	0,	0.832073,	0,	0.529501,	0.832073,	0.302572,	0.378215,	0,	0.151286,	1.28593,	0,	0.151286,	1.059,	
HCM,	0.078125,	20.3125,	1.79688,	1.32812,	1.95312,	1.875,	0.46875,	0.78125,	0.15625,	1.09375,	0.234375,	2.34375,	6.01562,	0.625,	0.859375,	1.17188,	0.703125,	0,	0.234375,	0.078125,	0.15625,	0.15625,	0.15625,	0.546875,	0,	0.078125,	0.3125,	0.390625,	0.15625,	0.703125,	0.859375,	2.34375,	0.3125,	4.29688,	0.078125,	0.703125,	0.859375,	1.09375,	0.703125,	2.73438,	0.15625,	0.078125,	0.15625,	0.46875,	0.546875,	0.703125,	0.078125,	0.078125,	1.01562,	0.390625,	0.078125,	0.15625,	0.3125,	2.03125,	0.546875,	1.17188,	0,	0.234375,	0.15625,	1.40625,	1.32812,	1.5625,	1.09375,	0.9375,	0.3125,	2.5,	0.3125,	2.34375,	3.82812,	0.625,	0.546875,	1.95312,	0,	0.234375,	0.625,	0.15625,	2.1875,	0,	1.01562,	0.078125,	0.234375,	0.078125,	0.15625,	1.48438,	0.859375,	0.3125,	1.71875,	0.078125,	0.859375,	0,	0.15625,	0.46875,	0.234375,	0.15625,	0,	0.15625,	1.25,	0.078125,	0.234375,	1.32812,	
