cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0420433,	43.2415,	1.40845,	1.89195,	1.11415,	0.189195,	0.231238,	0.420433,	0.273281,	0.25226,	0.231238,	0.714736,	0.588606,	0.441455,	1.76582,	0.273281,	1.11415,	0.462476,	0.168173,	0.441455,	0.714736,	0.37839,	0.12613,	0.273281,	0.063065,	0.525541,	0.840866,	0.273281,	0.0840866,	0.210217,	0.861888,	1.05108,	0.147152,	1.72378,	0.231238,	0.12613,	0.924953,	0.399411,	0.609628,	1.15619,	1.19823,	0.210217,	0.12613,	1.21926,	0.0840866,	0.105108,	0.147152,	0.12613,	0.294303,	0.756779,	0.0420433,	0.420433,	0.25226,	2.60668,	1.89195,	1.11415,	0.168173,	0.294303,	0.063065,	0.315325,	0.147152,	2.0391,	0.273281,	0.315325,	0.0210217,	1.2613,	0.063065,	1.5556,	0.37839,	0.063065,	0.231238,	3.1112,	0.357368,	0.168173,	0.882909,	0.567585,	0.50452,	0.0840866,	0.399411,	0.25226,	0.819844,	0.0840866,	0.063065,	0.525541,	3.42653,	0.441455,	1.63969,	0.0840866,	0.651671,	0.210217,	0,	0.420433,	0.12613,	0.231238,	0.063065,	0.147152,	0.210217,	0.462476,	0.0840866,	0.210217,	
AoAF,	0.0841928,	41.9912,	1.89434,	1.36813,	0.968217,	0.420964,	0.336771,	0.673542,	0.126289,	0.252578,	0.547253,	1.03136,	0.652494,	0.526205,	1.68386,	0.46306,	1.1787,	0.315723,	0.315723,	0.147337,	0.778783,	0.210482,	0.105241,	0.147337,	0.147337,	0.715639,	0.841928,	0.168386,	0.105241,	0.252578,	0.484109,	0.82088,	0.189434,	1.34708,	0.252578,	0.0841928,	1.03136,	0.252578,	0.568301,	0.968217,	1.34708,	0.189434,	0.147337,	0.989265,	0.336771,	0.126289,	0.147337,	0.105241,	0.252578,	0.673542,	0.0420964,	0.294675,	0.273627,	2.48369,	1.95748,	1.49442,	0.126289,	0.273627,	0.126289,	0.105241,	0.105241,	2.08377,	0.420964,	0.484109,	0.0631446,	1.53652,	0.0841928,	2.16796,	0.294675,	0.0210482,	0.252578,	3.13618,	0.336771,	0.23153,	1.36813,	0.58935,	0.505157,	0.105241,	0.58935,	0.420964,	0.610398,	0.126289,	0.0210482,	0.505157,	2.90465,	0.694591,	1.57862,	0,	0.694591,	0.210482,	0.0210482,	0.23153,	0.147337,	0.210482,	0.168386,	0.0841928,	0.23153,	0.294675,	0.23153,	0.294675,	
CD20+,	0.165941,	48.3717,	1.45198,	1.22381,	0.663763,	0.290396,	0.103713,	0.56005,	0.165941,	0.207426,	0.248911,	0.72599,	0.539307,	0.456337,	1.49347,	0.290396,	0.808961,	0.414852,	0.207426,	0.228168,	0.684505,	0.124456,	0.0622278,	0.207426,	0.0622278,	0.56005,	0.746733,	0.290396,	0.207426,	0.207426,	0.601535,	0.808961,	0.186683,	0.891931,	0.248911,	0.103713,	0.72599,	0.248911,	0.746733,	0.933416,	0.933416,	0.228168,	0.103713,	1.20307,	0.394109,	0.103713,	0.145198,	0.207426,	0.145198,	0.663763,	0.0414852,	0.414852,	0.207426,	2.94545,	2.15723,	0.912674,	0.103713,	0.186683,	0.124456,	0.228168,	0.165941,	1.76312,	0.373367,	0.456337,	0.0622278,	0.684505,	0.186683,	1.45198,	0.207426,	0.124456,	0.103713,	2.84173,	0.56005,	0.269654,	1.22381,	0.788218,	0.414852,	0.145198,	0.248911,	0.352624,	0.311139,	0.186683,	0,	0.394109,	3.11139,	0.290396,	1.47272,	0.103713,	0.663763,	0.290396,	0.0622278,	0.352624,	0.207426,	0.269654,	0.0829703,	0.228168,	0.186683,	0.352624,	0.0829703,	0.207426,	
GM06990,	0.0209468,	41.8517,	2.49267,	1.34059,	2.03184,	0.418936,	0.188521,	0.439883,	0.293255,	0.104734,	0.188521,	0.837872,	0.335149,	0.230415,	1.04734,	0.209468,	0.544617,	0.397989,	0.58651,	0.188521,	1.19397,	0.607457,	0.272308,	0.167574,	0.0837872,	0.712191,	0.628404,	0.188521,	0.0837872,	0.0628404,	0.858819,	1.19397,	0.167574,	0.607457,	0.230415,	0.146628,	1.08923,	0.858819,	0.649351,	0.188521,	2.24131,	0.900712,	0.251362,	0.607457,	0.125681,	0.0209468,	0.314202,	0.272308,	0.52367,	0.795978,	0.0209468,	0.397989,	0.460829,	4.33599,	3.56096,	1.63385,	0.0209468,	0.293255,	0.0209468,	0.691244,	0.167574,	1.04734,	0.209468,	0.356096,	0.0837872,	0.230415,	0.0837872,	0.607457,	0.544617,	0.0209468,	0.230415,	2.19941,	0.0209468,	0.0628404,	1.2987,	1.69669,	0.272308,	0.0418936,	0.377042,	0.670297,	0.816925,	0.104734,	0.0209468,	0.984499,	1.19397,	0.900712,	2.53456,	0.209468,	0.251362,	0.460829,	0.0418936,	0.0628404,	0.0628404,	0.0418936,	0.0837872,	0.0628404,	0.0628404,	0.209468,	0.125681,	0.314202,	
GM12865,	0.0621375,	44.4905,	1.07705,	1.40845,	0.57995,	0.207125,	0.186413,	0.434963,	0.1657,	0.1657,	0.24855,	0.6628,	0.4971,	0.4971,	1.76056,	0.1657,	1.07705,	0.538525,	0.207125,	0.124275,	0.642088,	0.1657,	0.124275,	0.372825,	0.144988,	0.642088,	0.683513,	0.207125,	0.124275,	0.186413,	0.6628,	0.932063,	0.207125,	1.44988,	0.207125,	0.041425,	0.849213,	0.269263,	0.704225,	1.07705,	1.26346,	0.144988,	0.08285,	1.1599,	0.1657,	0.207125,	0.124275,	0.08285,	0.289975,	0.57995,	0.0621375,	0.352113,	0.186413,	2.67191,	1.9884,	1.28418,	0.08285,	0.144988,	0.103563,	0.227838,	0.103563,	2.4855,	0.310688,	0.372825,	0.0621375,	1.20133,	0.124275,	1.88484,	0.269263,	0.041425,	0.1657,	3.70754,	0.372825,	0.227838,	0.973488,	0.704225,	0.41425,	0.124275,	0.517813,	0.269263,	0.787075,	0.124275,	0.0207125,	0.57995,	3.62469,	0.476388,	1.90555,	0.0621375,	0.559238,	0.352113,	0.041425,	0.4971,	0.186413,	0.041425,	0.103563,	0.103563,	0.207125,	0.3314,	0.08285,	0.124275,	
H7-hESC,	0,	34.7528,	1.66182,	1.93187,	1.05941,	0.415455,	0.353137,	0.623182,	0.103864,	0.311591,	0.477773,	0.810137,	0.747819,	0.394682,	1.80723,	0.290818,	1.62027,	0.581637,	0.166182,	0.290818,	0.581637,	0.373909,	0.186955,	0.290818,	0.2285,	0.685501,	0.810137,	0.270046,	0.207727,	0.332364,	0.789364,	1.18405,	0.207727,	1.26714,	0.249273,	0.186955,	1.05941,	0.290818,	0.851683,	0.976319,	1.22559,	0.270046,	0.124636,	1.30868,	0.207727,	0.0415455,	0.2285,	0.166182,	0.623182,	0.623182,	0.083091,	0.332364,	0.560864,	2.53428,	1.95264,	1.45409,	0.124636,	0.436228,	0.124636,	0.145409,	0.166182,	2.80432,	0.60241,	0.436228,	0.0415455,	1.84877,	0.103864,	1.93187,	0.249273,	0.124636,	0.145409,	3.15746,	0.249273,	0.311591,	1.51641,	0.851683,	0.373909,	0.249273,	0.581637,	0.436228,	1.12173,	0.290818,	0.0415455,	0.955546,	3.96759,	0.685501,	1.371,	0.083091,	0.706273,	0.353137,	0.0415455,	0.249273,	0.124636,	0.166182,	0.103864,	0.207727,	0.332364,	0.457,	0.145409,	0.415455,	
HA-h,	0.143708,	42.2295,	1.37549,	1.64237,	0.451653,	0.225826,	0.205297,	0.677479,	0.307945,	0.266886,	0.349004,	0.513242,	0.349004,	0.554301,	2.13509,	0.123178,	1.04701,	0.307945,	0.225826,	0.205297,	1.06754,	0.287415,	0.123178,	0.184767,	0.225826,	0.739068,	0.862246,	0.184767,	0.143708,	0.123178,	0.944365,	0.841716,	0.266886,	1.04701,	0.246356,	0.143708,	0.923835,	0.184767,	0.698009,	0.718538,	1.23178,	0.205297,	0.0410593,	1.37549,	0.492712,	0.266886,	0.0205297,	0.143708,	0.143708,	0.759598,	0.0821187,	0.841716,	0.246356,	3.01786,	2.13509,	0.903305,	0.164237,	0.184767,	0.061589,	0.164237,	0.061589,	1.80661,	0.390064,	0.451653,	0.061589,	0.985424,	0.328475,	1.60131,	0.0205297,	0.0410593,	0.246356,	3.46951,	0.63642,	0.205297,	1.04701,	0.677479,	0.431123,	0.307945,	0.349004,	0.369534,	0.574831,	0.143708,	0.0410593,	0.718538,	4.12646,	0.246356,	1.92979,	0.0410593,	0.472182,	0.349004,	0.0410593,	0.513242,	0.0821187,	0.164237,	0.0821187,	0.184767,	0.307945,	0.533771,	0.0410593,	0.143708,	
HAEpiC,	0.0421407,	42.3093,	2.00169,	1.62242,	0.800674,	0.358196,	0.294985,	0.653182,	0.105352,	0.294985,	0.273915,	0.800674,	0.58997,	0.379267,	1.98062,	0.273915,	1.03245,	0.316056,	0.273915,	0.294985,	0.884956,	0.252845,	0.168563,	0.358196,	0.0632111,	0.526759,	0.632111,	0.231774,	0.168563,	0.210704,	0.674252,	1.11673,	0.189633,	1.32743,	0.252845,	0.126422,	0.800674,	0.294985,	0.821745,	0.990308,	1.36957,	0.273915,	0.0632111,	1.22208,	0.168563,	0.0842815,	0.126422,	0.168563,	0.337126,	0.632111,	0.0842815,	0.337126,	0.316056,	2.76022,	1.93847,	1.17994,	0.126422,	0.273915,	0.0842815,	0.231774,	0.126422,	1.7067,	0.526759,	0.273915,	0.0632111,	1.26422,	0.105352,	1.81205,	0.210704,	0.0421407,	0.379267,	2.90771,	0.316056,	0.358196,	1.39064,	0.842815,	0.505689,	0.105352,	0.484619,	0.358196,	0.948167,	0.210704,	0.0842815,	0.716393,	3.03413,	0.484619,	1.51707,	0.0210704,	0.58997,	0.337126,	0.0632111,	0.231774,	0.126422,	0.231774,	0.126422,	0.0842815,	0.273915,	0.379267,	0.0842815,	0.105352,	
HCF,	0,	42.0137,	1.42946,	1.61591,	0.952973,	0.310752,	0.227885,	0.745805,	0.145018,	0.352186,	0.559354,	0.642221,	0.476486,	0.45577,	1.88523,	0.186451,	1.24301,	0.600787,	0.227885,	0.186451,	0.497203,	0.207168,	0.227885,	0.0828672,	0.145018,	0.662938,	0.704371,	0.124301,	0.0828672,	0.207168,	0.766522,	0.870106,	0.124301,	1.47089,	0.290035,	0.165734,	0.870106,	0.352186,	0.662938,	0.952973,	1.30516,	0.186451,	0.0828672,	1.13942,	0.331469,	0.0621504,	0.0414336,	0.0621504,	0.372902,	0.600787,	0.0414336,	0.331469,	0.186451,	3.14895,	2.05096,	1.40874,	0.0621504,	0.393619,	0.103584,	0.331469,	0.207168,	2.42387,	0.45577,	0.414336,	0.103584,	1.32588,	0.227885,	1.71949,	0.165734,	0.0207168,	0.269318,	3.48042,	0.393619,	0.227885,	1.09799,	0.476486,	0.269318,	0.165734,	0.310752,	0.310752,	0.683654,	0.0414336,	0.103584,	0.621504,	3.77046,	0.414336,	1.51233,	0.0621504,	0.745805,	0.145018,	0.0207168,	0.186451,	0.207168,	0.103584,	0.145018,	0.124301,	0.248602,	0.372902,	0.103584,	0.352186,	
