cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.410678,	19.0218,	2.14672,	1.34404,	1.79205,	0.634684,	0.504013,	0.522681,	0.784021,	0.0933358,	0.653351,	1.94139,	4.62946,	0.504013,	0.85869,	0.933358,	0.578682,	0.280007,	1.04536,	0.373343,	1.21337,	0.578682,	0.429345,	0.98936,	0.26134,	0.0933358,	0.672018,	0.504013,	0.653351,	0.728019,	0.373343,	1.54937,	0.765354,	1.17603,	0.765354,	0.39201,	1.06403,	2.27739,	0.690685,	1.54937,	0.560015,	0.485346,	0.26134,	0.336009,	0.0746687,	0.26134,	0.186672,	0.896024,	1.84805,	0.690685,	0.149337,	0.112003,	0.98936,	1.92272,	1.17603,	1.1947,	0.504013,	0.26134,	0.317342,	1.58671,	0.280007,	0.597349,	0.466679,	1.0827,	0.205339,	0.149337,	0.186672,	1.2507,	2.52007,	0.205339,	0.634684,	1.81071,	0.13067,	0.429345,	2.10939,	0.578682,	2.20273,	0.13067,	3.60276,	0.354676,	1.32537,	0.746687,	0.0933358,	1.12003,	0.634684,	0.952025,	1.1387,	0.205339,	0.205339,	0.429345,	0.0746687,	0.205339,	1.00803,	0.541348,	0.0560015,	0.149337,	0.466679,	0.168004,	0.317342,	1.64271,	
AoAF,	0.443971,	18.6645,	2.37968,	1.74037,	1.49174,	0.674836,	0.497247,	0.657077,	0.674836,	0.284141,	0.621559,	1.5983,	4.10229,	0.6038,	0.905701,	1.04777,	0.692595,	0.355177,	0.834665,	0.284141,	1.01225,	0.639318,	0.497247,	1.10105,	0.443971,	0.124312,	0.639318,	0.586042,	0.621559,	0.710353,	0.355177,	2.1133,	0.816906,	0.976736,	0.870183,	0.568283,	0.976736,	2.43296,	0.621559,	1.15432,	0.816906,	0.497247,	0.372936,	0.408453,	0.0887942,	0.142071,	0.195347,	0.568283,	1.58054,	0.657077,	0.15983,	0.0887942,	0.710353,	2.00675,	1.22536,	1.10105,	0.639318,	0.497247,	0.408453,	1.5983,	0.426212,	0.657077,	0.3019,	1.11881,	0.124312,	0.230865,	0.213106,	1.38519,	1.93571,	0.195347,	0.728112,	1.49174,	0.0887942,	0.390694,	2.2021,	0.568283,	2.46848,	0.106553,	3.64056,	0.319659,	1.54502,	0.621559,	0.0532765,	1.13657,	0.76363,	0.923459,	1.45622,	0.106553,	0.443971,	0.46173,	0.142071,	0.124312,	1.11881,	0.284141,	0.0887942,	0.124312,	0.497247,	0.195347,	0.319659,	1.42071,	
CD20+,	0.326797,	22.03,	2.19146,	1.36486,	2.3068,	0.653595,	0.442138,	0.653595,	0.499808,	0.249904,	0.346021,	2.09535,	4.03691,	0.403691,	0.845829,	1.05729,	0.615148,	0.17301,	0.672818,	0.403691,	0.807382,	0.576701,	0.403691,	1.21107,	0.211457,	0.192234,	0.499808,	0.384468,	0.499808,	0.845829,	0.346021,	1.36486,	0.538254,	1.53787,	0.865052,	0.519031,	0.941945,	2.76817,	0.788158,	1.4802,	0.442138,	0.653595,	0.269127,	0.326797,	0.0192234,	0.153787,	0.17301,	0.538254,	1.92234,	0.403691,	0.211457,	0.0961169,	0.615148,	2.11457,	1.05729,	0.653595,	0.365244,	0.307574,	0.307574,	1.38408,	0.307574,	0.538254,	0.442138,	0.980392,	0.0961169,	0.519031,	0.23068,	1.24952,	2.22991,	0.17301,	0.442138,	2.03768,	0.153787,	0.595925,	2.32603,	0.480584,	2.69127,	0.0768935,	3.74856,	0.23068,	0.884275,	0.365244,	0.0192234,	0.634371,	0.692042,	1.11496,	1.46098,	0.0576701,	0.442138,	0.307574,	0.17301,	0.249904,	0.653595,	0.403691,	0.0576701,	0.0961169,	0.422914,	0.211457,	0.346021,	1.69166,	
GM06990,	0.468823,	26.5588,	2.43788,	1.61744,	1.80497,	0.820441,	0.328176,	0.468823,	0.3985,	0.187529,	0.3985,	1.47679,	2.27379,	0.515706,	0.703235,	1.03141,	0.281294,	0.117206,	0.421941,	0.632911,	0.867323,	0.21097,	0.726676,	2.06282,	0.304735,	0.492264,	0.257853,	0.328176,	0.281294,	0.586029,	0.328176,	1.05485,	0.679794,	2.22691,	0.867323,	0.351617,	0.515706,	2.83638,	0.703235,	1.80497,	0.468823,	0.492264,	0.164088,	0.3985,	0.0703235,	0.187529,	0.0937646,	0.0937646,	1.28926,	0.445382,	0.21097,	0.164088,	0.21097,	1.89873,	1.1955,	0.539147,	0.140647,	0.3985,	0.21097,	0.375059,	0.515706,	0.797,	0.492264,	0.632911,	0.164088,	0.820441,	0.0468823,	1.47679,	2.5082,	0.375059,	0.375059,	1.80497,	0.117206,	0.586029,	2.29723,	0.257853,	4.12564,	0.0234412,	2.55509,	0.281294,	0.937647,	0.468823,	0.0937646,	0.3985,	0.703235,	0.679794,	1.594,	0.0234412,	0.961088,	0.0703235,	0.187529,	0.117206,	0.351617,	0.632911,	0.164088,	0.164088,	0.21097,	0.0703235,	0.937647,	1.50023,	
GM12865,	0.21838,	21.6742,	2.2384,	1.25569,	1.80164,	0.618744,	0.363967,	0.655141,	0.655141,	0.10919,	0.454959,	1.60146,	5.15014,	0.382166,	0.818926,	1.18289,	0.400364,	0.272975,	0.764331,	0.200182,	0.582348,	0.673339,	0.309372,	1.27389,	0.254777,	0.181984,	0.564149,	0.509554,	0.764331,	0.673339,	0.454959,	1.51046,	0.764331,	1.32848,	0.909918,	0.454959,	0.964513,	2.63876,	0.636943,	1.56506,	0.509554,	0.454959,	0.236579,	0.418562,	0.0727934,	0.0909918,	0.0909918,	0.436761,	2.00182,	0.509554,	0.163785,	0.0363967,	0.764331,	2.29299,	0.764331,	1.01911,	0.436761,	0.509554,	0.181984,	1.45587,	0.436761,	0.600546,	0.382166,	0.673339,	0.0909918,	0.272975,	0.0545951,	1.38308,	2.63876,	0.309372,	0.636943,	2.05642,	0.0545951,	0.309372,	2.36579,	0.600546,	2.16561,	0.0545951,	3.87625,	0.236579,	1.1465,	0.473157,	0.0181984,	1.00091,	0.491356,	1.1101,	1.38308,	0.127389,	0.327571,	0.254777,	0.0545951,	0.200182,	0.855323,	0.418562,	0.0909918,	0.10919,	0.236579,	0.0909918,	0.545951,	1.58326,	
H7-hESC,	0.233981,	17.9626,	1.72786,	1.79986,	1.47588,	0.989921,	0.593952,	0.809935,	0.611951,	0.287977,	0.449964,	1.36789,	3.83369,	0.413967,	1.06192,	0.935925,	0.881929,	0.323974,	0.863931,	0.323974,	1.07991,	0.575954,	0.575954,	1.2959,	0.341973,	0.0899928,	0.665947,	0.431965,	0.719942,	0.953924,	0.521958,	1.67387,	0.737941,	0.845932,	0.863931,	0.467963,	1.11591,	2.4658,	0.611951,	1.2419,	0.773938,	0.521958,	0.197984,	0.50396,	0.0539957,	0.143988,	0.215983,	0.557955,	1.97984,	0.899928,	0.305976,	0.0719942,	1.1879,	1.85385,	1.42189,	0.935925,	0.62995,	0.467963,	0.413967,	1.2959,	0.37797,	0.557955,	0.449964,	0.719942,	0.197984,	0.287977,	0.161987,	1.15191,	2.4658,	0.143988,	0.719942,	1.90785,	0.0899928,	0.395968,	2.96976,	0.449964,	2.33981,	0.0719942,	3.7617,	0.395968,	1.42189,	0.737941,	0.0719942,	0.935925,	0.845932,	1.00792,	1.31389,	0.233981,	0.305976,	0.467963,	0.179986,	0.12599,	1.2059,	0.647948,	0.0359971,	0.12599,	0.287977,	0.215983,	0.359971,	1.1879,	
HA-h,	0.584893,	13.1517,	2.74064,	1.6377,	1.28676,	0.752005,	0.534759,	0.534759,	1.08623,	0.367647,	0.752005,	2.07219,	3.84358,	0.501337,	1.10294,	0.534759,	0.718583,	0.417781,	1.1865,	0.518048,	0.768717,	0.868984,	0.785428,	0.852273,	0.651738,	0.217246,	0.718583,	0.735294,	0.68516,	0.852273,	0.551471,	1.67112,	0.985963,	1.05281,	0.802139,	0.584893,	0.969251,	2.25602,	0.935829,	1.11965,	0.68516,	0.568182,	0.350936,	0.551471,	0.150401,	0.250668,	0.284091,	0.718583,	1.58757,	0.451203,	0.200535,	0.250668,	1.0361,	2.17246,	1.11965,	1.15307,	0.785428,	0.601604,	0.434492,	1.38703,	0.451203,	1.0361,	0.768717,	1.45388,	0.384358,	0.384358,	0.401069,	1.47059,	1.82152,	0.317513,	0.568182,	1.42045,	0.200535,	0.518048,	1.82152,	0.835561,	2.13904,	0.150401,	2.87433,	0.601604,	1.53743,	0.852273,	0.116979,	1.53743,	0.81885,	0.919118,	1.25334,	0.0835561,	0.518048,	0.300802,	0.250668,	0.401069,	1.0361,	0.618315,	0.100267,	0.167112,	0.584893,	0.250668,	0.735294,	1.16979,	
HAEpiC,	0.340522,	19.4665,	1.89179,	1.72153,	1.70261,	0.586455,	0.548619,	0.662126,	0.737798,	0.283768,	0.472947,	1.75936,	4.31328,	0.378358,	1.02157,	1.0594,	0.529701,	0.397276,	0.662126,	0.340522,	1.17291,	0.510783,	0.605373,	1.21075,	0.321604,	0.151343,	0.567537,	0.510783,	0.737798,	0.964813,	0.283768,	1.5891,	0.699962,	1.00265,	0.851305,	0.45403,	0.81347,	2.38365,	0.586455,	1.24858,	0.681044,	0.605373,	0.264851,	0.491865,	0.0756716,	0.227015,	0.170261,	0.510783,	1.7972,	0.416194,	0.0756716,	0.0945895,	1.15399,	1.64586,	1.36209,	1.07832,	0.491865,	0.378358,	0.283768,	1.41884,	0.245933,	0.945895,	0.302686,	0.775634,	0.0756716,	0.132425,	0.151343,	1.34317,	2.45933,	0.264851,	0.510783,	1.98638,	0.132425,	0.529701,	2.40257,	0.662126,	2.0053,	0.0945895,	3.76466,	0.378358,	1.30533,	0.756716,	0.0567537,	1.21075,	0.699962,	1.02157,	1.60802,	0.208097,	0.397276,	0.283768,	0.151343,	0.264851,	0.81347,	0.643209,	0.0567537,	0.0378358,	0.397276,	0.283768,	0.340522,	1.53235,	
HCF,	0.363901,	18.559,	2.45633,	1.63755,	1.69214,	0.800582,	0.309316,	0.509461,	0.836972,	0.236536,	0.673217,	1.96507,	4.14847,	0.418486,	1.05531,	0.582242,	0.636827,	0.272926,	0.982533,	0.382096,	0.982533,	0.527656,	0.454876,	1.12809,	0.400291,	0.181951,	0.745997,	0.527656,	0.691412,	0.800582,	0.327511,	2.01965,	0.909753,	1.00073,	0.764192,	0.582242,	0.982533,	2.41994,	0.709607,	1.34643,	0.454876,	0.473071,	0.291121,	0.382096,	0.0727802,	0.163755,	0.327511,	0.782387,	1.74672,	0.509461,	0.181951,	0.200146,	1.25546,	2.12882,	1.07351,	1.18268,	0.473071,	0.527656,	0.400291,	1.74672,	0.309316,	0.927948,	0.400291,	1.03712,	0.127365,	0.200146,	0.181951,	1.21907,	2.18341,	0.0727802,	0.655022,	1.41921,	0.0727802,	0.345706,	1.80131,	0.691412,	1.89229,	0.218341,	3.63901,	0.363901,	1.23726,	0.564047,	0.0363901,	1.43741,	0.655022,	1.00073,	1.16448,	0.200146,	0.400291,	0.491266,	0.163755,	0.200146,	1.1099,	0.491266,	0.0181951,	0.0545852,	0.418486,	0.181951,	0.363901,	1.65575,	
HCM,	0.458211,	18.4201,	2.10777,	1.63123,	1.53959,	0.696481,	0.274927,	0.82478,	0.678153,	0.146628,	0.696481,	1.83284,	4.60044,	0.549853,	0.989736,	0.696481,	0.623167,	0.34824,	1.11804,	0.293255,	1.09971,	0.678153,	0.47654,	1.00806,	0.513197,	0.183284,	0.696481,	0.403226,	0.641496,	0.82478,	0.421554,	1.8695,	0.751466,	0.879765,	0.678153,	0.403226,	0.751466,	2.40103,	0.659824,	1.42962,	0.549853,	0.531525,	0.201613,	0.311584,	0.109971,	0.146628,	0.109971,	0.769795,	1.57625,	0.659824,	0.201613,	0.109971,	1.13636,	2.18109,	1.24633,	1.09971,	0.696481,	0.329912,	0.439883,	1.57625,	0.274927,	0.769795,	0.47654,	0.898094,	0.0549853,	0.256598,	0.183284,	1.41129,	2.84091,	0.219941,	0.733138,	1.31965,	0.0916422,	0.47654,	1.90616,	0.934751,	2.08944,	0.0916422,	3.83065,	0.311584,	1.22801,	0.58651,	0.0733138,	1.39296,	0.659824,	0.916422,	1.50293,	0.23827,	0.58651,	0.329912,	0.23827,	0.274927,	0.678153,	0.439883,	0.0183284,	0.164956,	0.513197,	0.0916422,	0.23827,	1.37463,	
