cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.128074,	17.5205,	2.12602,	0.947746,	2.48463,	0.947746,	0.332992,	0.947746,	0.332992,	0,	0.742828,	1.51127,	5.58402,	0.640369,	0.512295,	2.12602,	0.563525,	0.0512295,	0.435451,	0.179303,	0.409836,	0.0512295,	0.281762,	0.614754,	0.0256148,	0.102459,	0.640369,	0.435451,	0.717213,	0.563525,	0.153689,	2.63832,	0.435451,	1.48566,	0.409836,	2.63832,	1.7418,	1.15266,	0.512295,	1.17828,	0.102459,	0.589139,	1.07582,	0.0512295,	0.0512295,	0.0768443,	0.204918,	0.0512295,	2.68955,	0.358607,	0,	0.0512295,	0.102459,	1.40881,	0.358607,	1.86988,	0.179303,	1.07582,	0.153689,	1.79303,	0.358607,	1.25512,	0.230533,	0.563525,	0.128074,	0.281762,	0.0512295,	0.461066,	4.96926,	0.307377,	2.15164,	1.02459,	0.0512295,	0.153689,	0.665984,	0.614754,	1.63934,	0,	4.22643,	0.307377,	1.0502,	1.94672,	0,	1.92111,	1.0502,	2.84324,	0.819672,	0.0512295,	0.179303,	0.53791,	0.384221,	0.0512295,	0.384221,	0.0512295,	0,	0.0256148,	0.307377,	0.0512295,	0.153689,	2.20287,	
AoAF,	0.241896,	15.9168,	2.58829,	0.919207,	2.806,	0.846638,	0.290276,	0.846638,	0.145138,	0,	0.774069,	1.79003,	5.66038,	0.749879,	0.628931,	1.83841,	0.556362,	0.0967586,	0.798258,	0.120948,	0.628931,	0.0241896,	0.435414,	0.387034,	0.0483793,	0.0967586,	1.11272,	0.338655,	0.725689,	0.507983,	0.241896,	2.90276,	0.556362,	1.49976,	0.266086,	2.39478,	1.6449,	1.69328,	0.241896,	0.604741,	0.169328,	0.628931,	1.06434,	0.217707,	0.0725689,	0,	0.193517,	0.169328,	2.05612,	0.169328,	0.0483793,	0.120948,	0.0241896,	1.52395,	0.387034,	1.59652,	0.120948,	1.11272,	0.266086,	1.71747,	0.459603,	1.30624,	0.217707,	0.725689,	0.0483793,	0.362845,	0.145138,	0.7015,	5.17658,	0.193517,	2.17707,	0.943396,	0.0241896,	0.120948,	0.895017,	0.65312,	1.52395,	0.0241896,	4.08805,	0.604741,	1.54814,	1.76584,	0,	2.73343,	1.08853,	2.63667,	0.507983,	0.0725689,	0.169328,	0.483793,	0.362845,	0.0483793,	0.362845,	0.0483793,	0,	0.0483793,	0.290276,	0.0241896,	0.145138,	1.6449,	
CD20+,	0.262261,	20.9809,	1.62602,	0.839234,	2.80619,	0.786782,	0.236035,	1.2064,	0.157356,	0.0524521,	0.760556,	1.86205,	5.27144,	0.813008,	0.340939,	2.09809,	0.393391,	0.0524521,	0.681878,	0.236035,	0.6032,	0.0786782,	0.472069,	1.18017,	0.104904,	0.13113,	0.681878,	0.340939,	0.629426,	0.498295,	0.183582,	2.15054,	0.576973,	1.57356,	0.393391,	1.8096,	1.62602,	1.9145,	0.314713,	0.917912,	0.0786782,	0.86546,	0.970365,	0.183582,	0.157356,	0.0524521,	0.262261,	0.104904,	1.88828,	0.288487,	0.0524521,	0.0262261,	0.104904,	1.44243,	0.288487,	1.38998,	0.288487,	0.970365,	0.157356,	1.41621,	0.209809,	0.786782,	0.236035,	0.576973,	0.0524521,	0.13113,	0.104904,	0.6032,	5.90087,	0.157356,	1.52111,	1.73092,	0.0524521,	0.262261,	1.07527,	0.629426,	2.09809,	0.0262261,	4.24862,	0.157356,	1.28508,	1.36376,	0.0262261,	1.04904,	0.576973,	2.15054,	0.655652,	0.157356,	0.367165,	0.262261,	0.367165,	0.0524521,	0.314713,	0.0786782,	0,	0.0786782,	0.13113,	0.0262261,	0.104904,	1.75715,	
GM06990,	0.516462,	21.5946,	1.35571,	0.87153,	1.58167,	0.839251,	0.419626,	0.484183,	0.322789,	0.387347,	0.193673,	2.38864,	1.45255,	0.645578,	0.322789,	0.516462,	0.355068,	0.0968367,	0.806972,	0.225952,	0.58102,	1.09748,	1.09748,	1.87218,	0.29051,	0.322789,	0.29051,	0.677857,	0.516462,	0.161394,	0.29051,	1.16204,	0.484183,	2.22724,	1.29116,	0.968367,	0.129116,	3.64751,	0.419626,	2.06585,	0.677857,	0.968367,	0,	0.419626,	0.0645578,	0.193673,	0.225952,	0.258231,	2.13041,	0.225952,	0.387347,	0.193673,	0.29051,	1.8399,	1.00065,	0.645578,	0.161394,	0.258231,	0.0322789,	0.839251,	0.677857,	0.484183,	0.387347,	1.00065,	0.0968367,	0.484183,	0.0968367,	1.45255,	3.64751,	0.322789,	0.129116,	2.25952,	0.0322789,	0.936088,	5.45513,	0.225952,	3.45384,	0.322789,	3.06649,	0.0322789,	0.484183,	0.129116,	0,	0.0645578,	0.225952,	0.419626,	1.45255,	0,	0.548741,	0.0968367,	0.0645578,	0.129116,	0.677857,	2.48547,	0.29051,	0.193673,	0.193673,	0.355068,	0.419626,	1.42027,	
GM12865,	0.299625,	17.7528,	2.3221,	0.574282,	2.77154,	0.898876,	0.324594,	0.724095,	0.274657,	0.0249688,	0.62422,	1.69788,	5.49313,	1.02372,	0.549313,	1.67291,	0.399501,	0.0998752,	0.474407,	0.19975,	0.374532,	0.0998752,	0.349563,	0.699126,	0.0249688,	0.0499376,	0.574282,	0.699126,	1.02372,	0.474407,	0.149813,	2.77154,	0.249688,	1.22347,	0.349563,	2.54682,	1.44819,	1.67291,	0.324594,	1.14856,	0.0499376,	0.549313,	1.14856,	0.0749064,	0.0749064,	0.124844,	0.299625,	0.0998752,	2.34707,	0.374532,	0.0998752,	0.0499376,	0.124844,	1.24844,	0.274657,	1.54806,	0.149813,	0.948814,	0.19975,	1.39825,	0.349563,	1.34831,	0.174782,	0.549313,	0.0749064,	0.124844,	0.0998752,	0.62422,	5.54307,	0.149813,	2.42197,	1.37328,	0.0998752,	0.324594,	0.699126,	0.324594,	1.27341,	0.0499376,	5.01873,	0.224719,	1.47316,	1.77278,	0.0249688,	1.42322,	0.848939,	2.64669,	0.674157,	0.0998752,	0.249688,	0.374532,	0.374532,	0.0499376,	0.449438,	0.149813,	0,	0.0249688,	0.224719,	0.0249688,	0.174782,	2.44694,	
H7-hESC,	0.271003,	14.3139,	2.09411,	1.03474,	2.88248,	1.0101,	0.566642,	1.42892,	0.197093,	0,	0.813008,	1.67529,	6.55334,	0.640552,	0.542005,	1.20719,	0.517369,	0.14782,	0.418822,	0.0739098,	0.517369,	0.0492732,	0.344913,	0.468096,	0.172456,	0.0739098,	1.20719,	0.394186,	1.08401,	0.665188,	0.123183,	2.53757,	0.689825,	1.50283,	0.123183,	2.7593,	1.55211,	1.25647,	0.369549,	0.886918,	0.0985464,	0.418822,	1.65065,	0.14782,	0.0739098,	0.14782,	0.246366,	0.0985464,	2.53757,	0.271003,	0.0492732,	0.0985464,	0.271003,	1.33038,	0.123183,	1.30574,	0.197093,	1.52747,	0.246366,	1.37965,	0.344913,	1.18256,	0.221729,	0.886918,	0.0739098,	0.295639,	0.197093,	0.788372,	4.80414,	0.295639,	2.19266,	0.911555,	0.0492732,	0.246366,	0.665188,	0.566642,	1.77384,	0,	5.42005,	0.246366,	1.7492,	2.31584,	0,	2.04484,	0.862281,	1.99557,	0.517369,	0.0985464,	0.295639,	0.591279,	0.344913,	0.0492732,	0.443459,	0.0739098,	0.0246366,	0.0246366,	0.221729,	0.0739098,	0.0246366,	1.69993,	
HA-h,	0.388749,	11.9598,	1.80654,	1.41779,	2.12669,	1.41779,	0.343014,	1.30345,	0.182941,	0.0457352,	1.00617,	1.44066,	4.52778,	1.28059,	0.800366,	1.21198,	0.457352,	0.0457352,	0.823233,	0.274411,	0.846101,	0.0686028,	0.777498,	0.823233,	0.114338,	0.160073,	1.12051,	0.548822,	1.07478,	0.66316,	0.251544,	3.52161,	0.708896,	1.14338,	0.228676,	2.4697,	1.89801,	1.05191,	0.434484,	0.48022,	0.274411,	0.800366,	1.48639,	0.114338,	0.137206,	0.182941,	0.320146,	0.137206,	2.08095,	0.434484,	0.182941,	0.0914704,	0.251544,	1.39492,	0.66316,	1.76081,	0.205808,	1.21198,	0.320146,	1.78367,	0.320146,	1.6236,	0.48022,	0.708896,	0.137206,	0.297279,	0.228676,	0.708896,	4.20764,	0.343014,	1.82941,	1.05191,	0.228676,	0.343014,	1.00617,	0.800366,	1.78367,	0,	3.01852,	0.57169,	2.03522,	1.98948,	0.0686028,	2.65264,	0.914704,	2.24102,	0.891836,	0.160073,	0.274411,	0.503087,	0.708896,	0.0457352,	0.411617,	0.160073,	0.0914704,	0.0686028,	0.251544,	0.0228676,	0.0686028,	1.66933,	
HAEpiC,	0.151019,	15.8319,	1.8374,	1.20816,	2.24012,	0.931286,	0.226529,	0.729927,	0.226529,	0.0251699,	0.906116,	1.40951,	6.97206,	0.729927,	0.855776,	1.66121,	0.478228,	0.0251699,	0.478228,	0.0755097,	0.578908,	0.0503398,	0.226529,	0.578908,	0.0251699,	0.0251699,	1.13265,	0.553738,	1.35917,	0.427888,	0.10068,	2.81903,	0.578908,	1.68638,	0.125849,	2.18978,	1.61087,	1.20816,	0.528568,	0.755097,	0.0251699,	0.453058,	1.35917,	0.0755097,	0.0755097,	0.10068,	0.151019,	0.0755097,	2.16461,	0.276869,	0.10068,	0.125849,	0.0755097,	1.35917,	0.151019,	1.78706,	0.201359,	1.18299,	0.327209,	1.86257,	0.553738,	1.35917,	0.226529,	0.704757,	0.10068,	0.201359,	0.10068,	0.528568,	5.4367,	0.226529,	1.93808,	0.729927,	0.0251699,	0.201359,	0.276869,	0.755097,	1.334,	0,	5.48704,	0.427888,	1.81223,	1.86257,	0,	2.18978,	1.25849,	2.3408,	0.654417,	0.125849,	0.327209,	0.276869,	0.528568,	0.226529,	0.302039,	0,	0,	0.0251699,	0.176189,	0.0251699,	0.0755097,	1.68638,	
HCF,	0.149663,	15.1409,	2.26989,	0.848092,	2.89349,	0.89798,	0.374158,	0.573709,	0.349214,	0.0249439,	0.798204,	1.47169,	5.6872,	0.947867,	0.673485,	1.62135,	0.44899,	0.0498878,	0.673485,	0.32427,	0.598653,	0.149663,	0.32427,	0.548765,	0.124719,	0.0748316,	1.04764,	0.424046,	0.798204,	0.399102,	0.274383,	3.0681,	0.349214,	1.49663,	0.274383,	2.29484,	1.72113,	1.49663,	0.424046,	0.77326,	0.0997755,	0.77326,	1.39686,	0.149663,	0.0997755,	0.124719,	0.249439,	0.124719,	2.02045,	0.424046,	0.0748316,	0.0748316,	0.149663,	1.37191,	0.224495,	1.52158,	0.174607,	1.29708,	0.299327,	1.62135,	0.349214,	1.4218,	0.299327,	0.648541,	0.0249439,	0.124719,	0.224495,	0.723372,	5.36293,	0.249439,	2.51933,	1.04764,	0.174607,	0.349214,	0.723372,	0.648541,	1.34697,	0.0249439,	4.36518,	0.274383,	1.69618,	2.07034,	0.0249439,	1.99551,	0.848092,	2.56922,	0.77326,	0.0748316,	0.249439,	0.424046,	0.573709,	0.124719,	0.32427,	0.0249439,	0.0249439,	0.0498878,	0.249439,	0.0249439,	0.0748316,	1.74607,	
HCM,	0.252908,	15.3515,	2.07385,	0.91047,	3.36368,	0.986343,	0.429944,	1.01163,	0.379363,	0,	1.03692,	1.13809,	5.84219,	1.08751,	0.733434,	1.69449,	0.404654,	0.101163,	0.480526,	0.202327,	0.404654,	0.0505817,	0.30349,	0.834598,	0.0252908,	0.126454,	0.91047,	0.531108,	0.834598,	0.556399,	0.151745,	2.93374,	0.30349,	1.56803,	0.101163,	2.07385,	1.69449,	0.986343,	0.202327,	0.682853,	0.151745,	0.404654,	1.21396,	0.177036,	0.151745,	0.0252908,	0.278199,	0.126454,	2.27618,	0.429944,	0.0505817,	0.101163,	0.202327,	1.46687,	0.202327,	1.6439,	0.101163,	1.28983,	0.177036,	1.54274,	0.252908,	1.49216,	0.354072,	0.404654,	0.0505817,	0.328781,	0.101163,	0.733434,	5.31108,	0.30349,	2.09914,	1.08751,	0.177036,	0.177036,	0.682853,	0.60698,	1.49216,	0.0252908,	4.60293,	0.455235,	1.71978,	2.02327,	0.0252908,	2.37734,	1.06222,	2.40263,	0.455235,	0.126454,	0.252908,	0.531108,	0.60698,	0.126454,	0.328781,	0.0758725,	0,	0.0758725,	0.227618,	0.101163,	0.101163,	1.87152,	
