cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0793651,	19.7619,	3.57143,	1.50794,	0.873016,	0.873016,	0.396825,	0.31746,	0.714286,	0.555556,	0.31746,	2.53968,	2.06349,	0.873016,	0.952381,	1.34921,	0.793651,	0.396825,	0,	0.793651,	0.31746,	0.396825,	1.03175,	1.74603,	0.396825,	0,	0.793651,	0.793651,	0.476191,	0.396825,	0.31746,	1.03175,	0.873016,	1.26984,	0.952381,	0.15873,	0.793651,	0.476191,	1.42857,	1.98413,	1.03175,	1.34921,	0.238095,	0.238095,	0.0793651,	0.793651,	0.476191,	0.396825,	1.11111,	0.793651,	0.238095,	0.238095,	0.714286,	4.04762,	1.98413,	0.31746,	0.0793651,	1.34921,	0.238095,	0.634921,	0.31746,	0.396825,	0.714286,	0.15873,	0.238095,	0.476191,	0.0793651,	1.42857,	1.42857,	0.15873,	1.11111,	2.38095,	0.396825,	0.31746,	2.22222,	0.15873,	3.4127,	0.31746,	1.34921,	0.555556,	0.793651,	0.873016,	0.0793651,	0.634921,	0.873016,	0.873016,	2.14286,	0.0793651,	0.396825,	0.15873,	0,	0.31746,	0.0793651,	0.952381,	0,	0.0793651,	0.555556,	0.31746,	0.0793651,	2.38095,	
AoAF,	0.225904,	19.2771,	2.86145,	1.58133,	0.978916,	0.828313,	0,	0.301205,	0.527108,	0.828313,	0.225904,	1.95783,	1.20482,	0.527108,	0.527108,	0.828313,	0.60241,	0.60241,	0.225904,	1.35542,	0.376506,	0.527108,	1.58133,	1.65663,	0.451807,	0.301205,	0.677711,	1.50602,	0.0753012,	0.0753012,	0.150602,	1.05422,	1.20482,	1.50602,	0.677711,	0.0753012,	1.12952,	1.35542,	1.80723,	2.40964,	0.978916,	1.35542,	0.0753012,	0.451807,	0.0753012,	0.903614,	0.903614,	0.150602,	0.828313,	0.677711,	0.301205,	0.451807,	0.225904,	4.21687,	1.88253,	0.677711,	0.150602,	0.677711,	0.301205,	0.376506,	0.451807,	0.527108,	0.677711,	0.150602,	0.0753012,	0.60241,	0,	1.12952,	1.43072,	0,	0.527108,	2.56024,	0.225904,	0.301205,	3.01205,	0.0753012,	3.38855,	0.225904,	1.35542,	0.978916,	0.60241,	0.753012,	0,	0.60241,	1.05422,	0.978916,	2.18373,	0.0753012,	0.301205,	0.301205,	0,	0.150602,	0.451807,	1.50602,	0,	0.376506,	0.60241,	0.225904,	0.150602,	2.25904,	
CD20+,	0,	28.6496,	2.18978,	1.64234,	0.912409,	0.0912409,	0,	0,	0.456204,	0.182482,	0.273723,	2.28102,	1.91606,	0.456204,	0.456204,	1.64234,	0.364964,	0,	0.547445,	0.456204,	0.364964,	0.456204,	0.456204,	2.18978,	0.273723,	0.0912409,	0.547445,	0.729927,	0.456204,	0.182482,	0.364964,	0.729927,	0.547445,	2.55474,	0.456204,	0.0912409,	0.912409,	0.821168,	0.912409,	2.91971,	0.0912409,	0.456204,	0.0912409,	0.456204,	0,	0.547445,	0.182482,	0.273723,	1.55109,	0.456204,	0.273723,	0.364964,	0.0912409,	1.91606,	1.00365,	0.638686,	0,	0.638686,	0.182482,	0.547445,	1.00365,	0.821168,	0.638686,	0.182482,	0.364964,	0.182482,	0.0912409,	1.64234,	2.91971,	0.0912409,	0.912409,	2.28102,	0,	0.273723,	3.74088,	0,	3.28467,	0,	2.64599,	0.182482,	0.547445,	0.912409,	0,	0.0912409,	0.364964,	1.09489,	1.18613,	0,	0,	0.182482,	0,	0.273723,	0.729927,	0.821168,	0,	0.273723,	1.00365,	0.182482,	0.456204,	2.28102,	
GM06990,	0.371747,	30.4833,	1.11524,	0.495663,	2.97398,	0.247831,	0.123916,	0.371747,	0.123916,	0,	0.371747,	1.73482,	2.10657,	0.371747,	0.371747,	2.72615,	0.123916,	0,	0.86741,	0.247831,	1.11524,	0.123916,	0.371747,	2.72615,	0.247831,	0.247831,	0,	0.619579,	0.247831,	0.247831,	0.247831,	0.495663,	0.123916,	4.21313,	1.98265,	0,	0.371747,	4.7088,	0.123916,	1.6109,	0.371747,	0.247831,	0,	0.123916,	0.123916,	0.123916,	0,	0,	1.36307,	0.86741,	0.247831,	0.247831,	0,	1.11524,	0.247831,	0.495663,	0,	0,	0.123916,	0.371747,	0.743494,	0.619579,	0.247831,	1.23916,	0,	0.371747,	0,	0.991326,	2.10657,	0,	0.371747,	2.97398,	0,	1.6109,	1.73482,	0,	1.23916,	0,	5.94796,	0,	0.991326,	0.371747,	0,	0.123916,	0.495663,	1.11524,	1.11524,	0,	0.619579,	0.123916,	0.123916,	0.123916,	1.11524,	0.123916,	0,	0,	0.123916,	0.123916,	0.371747,	1.6109,	
GM12865,	0.258621,	27.2414,	2.75862,	1.37931,	1.46552,	0.431034,	0.258621,	0,	0.258621,	0.517241,	0.0862069,	2.41379,	3.18966,	0.344828,	0.258621,	1.2069,	0.258621,	0.172414,	0.0862069,	0.948276,	0.603448,	0.344828,	0.948276,	1.89655,	0.258621,	0.172414,	0.258621,	1.37931,	0.517241,	0.258621,	0.344828,	0.862069,	0.0862069,	1.12069,	0.689655,	0.258621,	1.12069,	1.55172,	1.12069,	2.41379,	0,	0.775862,	0.258621,	0.948276,	0.0862069,	0.258621,	0.0862069,	0.431034,	1.55172,	0.431034,	0.172414,	0.258621,	0,	2.24138,	0.775862,	0.172414,	0,	0.258621,	0.172414,	0.517241,	0.431034,	0.344828,	0.517241,	0.258621,	0.0862069,	0.344828,	0.0862069,	1.89655,	1.55172,	0.0862069,	1.03448,	3.18966,	0.0862069,	0.258621,	3.53448,	0,	3.96552,	0.172414,	2.06897,	0.603448,	1.12069,	0.689655,	0,	0.431034,	0.431034,	0.689655,	1.72414,	0,	0.431034,	0.344828,	0,	0.0862069,	0.0862069,	0.862069,	0,	0.0862069,	0.603448,	0.172414,	0.258621,	2.32759,	
H7-hESC,	0.0806452,	20.3226,	2.90323,	1.45161,	1.6129,	0.564516,	0.322581,	0.403226,	0.564516,	0.322581,	0.241935,	2.41935,	1.37097,	0.0806452,	0.806452,	1.12903,	0.887097,	0.241935,	0.0806452,	0.725806,	0.564516,	0.483871,	1.37097,	2.17742,	0.241935,	0.0806452,	0.322581,	2.74194,	0.322581,	0.241935,	0.16129,	0.887097,	0.483871,	1.45161,	0.967742,	0.16129,	1.12903,	0.887097,	1.29032,	1.77419,	0.725806,	1.29032,	0.16129,	0.645161,	0,	0.645161,	0.564516,	0.241935,	0.806452,	1.12903,	0,	0.0806452,	0.241935,	3.14516,	1.12903,	0.403226,	0.0806452,	0.806452,	0.483871,	0.967742,	0.564516,	0.564516,	0.645161,	0.16129,	0.0806452,	0.483871,	0.241935,	2.01613,	1.6129,	0.0806452,	0.564516,	2.41935,	0.241935,	0.564516,	2.82258,	0.0806452,	4.27419,	0.241935,	1.69355,	0.403226,	0.725806,	0.483871,	0.0806452,	0.564516,	0.887097,	1.04839,	2.09677,	0,	0.483871,	0.403226,	0,	0.241935,	0.0806452,	0.967742,	0.0806452,	0.403226,	0.967742,	0.403226,	0.322581,	2.17742,	
HA-h,	0.146306,	15.289,	3.07242,	1.97513,	0.51207,	0.804682,	0.146306,	1.31675,	0.877835,	0.877835,	0.731529,	1.3899,	1.3899,	0.51207,	0.51207,	1.09729,	0.731529,	0.658376,	0.438917,	0.804682,	0.438917,	0.804682,	1.02414,	1.02414,	0.950988,	0.585223,	0.585223,	1.46306,	0.438917,	0.365764,	0.292612,	0.804682,	0.51207,	1.09729,	0.658376,	0.292612,	1.2436,	0.438917,	1.60936,	2.6335,	1.46306,	1.60936,	0.146306,	0.804682,	0.0731529,	0.950988,	0.51207,	0.292612,	0.585223,	1.02414,	0.0731529,	0.51207,	0.292612,	3.43819,	2.04828,	0.804682,	0.146306,	0.585223,	0.658376,	0.658376,	0.365764,	0.585223,	1.2436,	0.219459,	0.292612,	0.658376,	0.219459,	2.26774,	1.3899,	0.0731529,	1.46306,	2.12143,	0.438917,	0.365764,	3.58449,	0.0731529,	2.34089,	0.292612,	1.17045,	0.365764,	0.585223,	0.877835,	0,	0.585223,	1.97513,	1.17045,	2.12143,	0.0731529,	0.365764,	0.146306,	0,	0.292612,	1.02414,	0.51207,	0.219459,	0.219459,	0.877835,	0.219459,	0.292612,	1.68252,	
HAEpiC,	0.0793651,	22.9365,	2.53968,	1.98413,	0.793651,	1.11111,	0,	0.476191,	0.476191,	1.50794,	0.238095,	0.952381,	1.03175,	0.476191,	0.634921,	1.03175,	1.34921,	0.873016,	0.0793651,	0.714286,	0.238095,	0.634921,	1.50794,	1.50794,	0.396825,	0.396825,	0.555556,	1.11111,	0.238095,	0,	0.15873,	0.952381,	0.634921,	0.793651,	0.476191,	0.0793651,	1.19048,	0.793651,	1.66667,	1.74603,	1.19048,	1.19048,	0.0793651,	0.555556,	0,	0.555556,	0.555556,	0.0793651,	0.634921,	0.238095,	0.0793651,	0.555556,	0,	4.28571,	2.77778,	1.26984,	0,	0.873016,	0.31746,	0.873016,	0.15873,	0.634921,	1.11111,	0.15873,	0.238095,	0.476191,	0,	2.06349,	0.873016,	0.15873,	0.634921,	3.09524,	0.0793651,	0.15873,	2.85714,	0.238095,	2.53968,	0.15873,	0.793651,	1.03175,	0.396825,	0.476191,	0,	0.555556,	1.66667,	0.793651,	1.90476,	0.0793651,	0.238095,	0.238095,	0,	0.238095,	0.396825,	1.19048,	0,	0.238095,	0.396825,	0.15873,	0.476191,	2.61905,	
HCF,	0,	21.5593,	3.34129,	1.7502,	1.11376,	0.556881,	0.0795545,	0.636436,	0.238663,	0.556881,	0.397772,	1.43198,	2.86396,	0.159109,	1.11376,	1.11376,	0.636436,	0.238663,	0.238663,	0.477327,	0.477327,	0.636436,	1.11376,	1.98886,	0.318218,	0.0795545,	0.318218,	0.875099,	0.318218,	0.318218,	0.318218,	1.19332,	0.875099,	1.27287,	0.556881,	0.159109,	0.636436,	0.556881,	1.82975,	2.78441,	1.11376,	1.35243,	0.0795545,	0.636436,	0,	0.397772,	0.477327,	0.238663,	0.875099,	0.477327,	0.238663,	0.238663,	0.318218,	3.34129,	2.06842,	0.71599,	0.238663,	0.875099,	0.238663,	0.71599,	0.159109,	0.477327,	0.875099,	0.238663,	0.159109,	0.71599,	0.318218,	2.06842,	1.43198,	0.0795545,	0.71599,	1.90931,	0.318218,	0.477327,	3.57995,	0.318218,	2.78441,	0.159109,	1.43198,	0.556881,	0.71599,	0.556881,	0,	0.477327,	1.03421,	1.03421,	1.7502,	0,	0.556881,	0.318218,	0.0795545,	0.159109,	0.477327,	1.67064,	0,	0,	0.636436,	0.238663,	0.397772,	1.35243,	
HCM,	0.0812348,	21.121,	3.00569,	1.21852,	1.05605,	0.812348,	0.324939,	0.487409,	0.731113,	0.731113,	0.324939,	1.70593,	1.8684,	0.812348,	0.487409,	1.05605,	1.05605,	0.406174,	0.243704,	0.812348,	0.324939,	1.13729,	1.05605,	1.54346,	0.0812348,	0.324939,	0.568643,	0.974817,	0.16247,	0,	0.487409,	0.812348,	0.487409,	1.6247,	0.568643,	0.324939,	1.05605,	0.893583,	0.649878,	1.54346,	1.29976,	1.13729,	0.16247,	0.568643,	0.0812348,	0.649878,	0.568643,	0.16247,	0.568643,	0.487409,	0.0812348,	0.0812348,	0.487409,	2.59951,	1.6247,	0.568643,	0.0812348,	0.812348,	0.16247,	0.487409,	0.406174,	0.568643,	0.649878,	0.243704,	0.0812348,	0.568643,	0.16247,	1.94963,	1.6247,	0,	1.05605,	2.84322,	0.324939,	0.649878,	3.24939,	0.16247,	4.14297,	0.243704,	1.13729,	0.731113,	0.568643,	0.893583,	0,	0.812348,	0.812348,	1.13729,	1.54346,	0,	0.406174,	0.568643,	0,	0.16247,	0.243704,	1.54346,	0.243704,	0.0812348,	1.38099,	0.243704,	0.324939,	2.59951,	
