cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.123671,	18.229,	3.24017,	1.83032,	0.939896,	0.890428,	0.148405,	0.692555,	0.148405,	0.0247341,	0.0494682,	4.84789,	8.50853,	0.766757,	1.63245,	0.519416,	0.568884,	0.0742023,	0.173139,	0.667821,	0.197873,	0.593619,	0.173139,	2.12713,	0,	0.272075,	0.519416,	0.643087,	0.321543,	1.87979,	0.197873,	1.65719,	1.03883,	2.79495,	0.717289,	0.395746,	0.568884,	0.643087,	0.791491,	0.766757,	0.173139,	0.321543,	0.247341,	0.272075,	0,	0.0742023,	0.321543,	0.84096,	1.73139,	0.791491,	0.0742023,	0.643087,	0.296809,	3.24017,	0.222607,	0.445214,	0.0247341,	0.346278,	0.123671,	4.22953,	0.0989364,	0.42048,	0.148405,	0.618353,	0.148405,	0.445214,	0.371012,	0.96463,	3.80905,	0.0989364,	0.296809,	2.49815,	0.197873,	0.915162,	0.766757,	0.0989364,	1.58298,	0.0742023,	0.865694,	0.272075,	0.197873,	0.272075,	0.0494682,	2.49815,	0.791491,	0.54415,	0.989364,	0.0247341,	0.519416,	0.42048,	0.222607,	0,	1.58298,	0.0742023,	0,	0.494682,	0.197873,	0,	0.0989364,	1.53351,	
AoAF,	0.296668,	15.1073,	3.40027,	2.23642,	1.09539,	1.3236,	0.251027,	0.798722,	0.0684619,	0.0456413,	0.159744,	5.27157,	8.87722,	0.570516,	1.87129,	0.502054,	0.867184,	0.0456413,	0.182565,	0.502054,	0.36513,	0.251027,	0.342309,	1.23231,	0,	0.319489,	0.616157,	0.70744,	0.273848,	2.23642,	0.273848,	1.82565,	0.958466,	2.00822,	0.433592,	0.342309,	0.70744,	0.798722,	0.616157,	1.07257,	0.136924,	0.136924,	0.228206,	0.410771,	0.0228206,	0.0684619,	0.36513,	0.981287,	1.34642,	0.844363,	0.0912825,	0.798722,	0.228206,	3.28617,	0.410771,	0.524875,	0.114103,	0.593336,	0.114103,	4.26746,	0.205386,	0.502054,	0.319489,	0.912825,	0.342309,	0.775901,	0.228206,	0.912825,	2.28206,	0.0684619,	0.205386,	2.67001,	0.319489,	1.09539,	1.09539,	0.136924,	1.36924,	0.0228206,	0.616157,	0.296668,	0.114103,	0.319489,	0.0228206,	2.94386,	1.20949,	0.547695,	1.11821,	0.0228206,	0.73026,	0.456413,	0.159744,	0.0456413,	1.5518,	0.136924,	0,	0.319489,	0.228206,	0.0228206,	0.159744,	1.68873,	
CD20+,	0.118941,	27.1186,	2.91406,	1.18941,	1.18941,	0.743384,	0.237883,	0.356824,	0.0297354,	0,	0,	4.93607,	7.67172,	0.44603,	0.921796,	0.981267,	0.416295,	0,	0.208147,	0.713648,	0.237883,	0.327089,	0.0594707,	2.76539,	0,	0.148677,	0.148677,	0.624442,	0.208147,	0.981267,	0.178412,	1.15968,	0.624442,	3.21142,	1.12994,	0.327089,	0.564972,	0.802855,	0.237883,	1.84359,	0.0594707,	0.148677,	0.0892061,	0.208147,	0,	0.0594707,	0.0892061,	0.44603,	1.90306,	0.416295,	0.118941,	0.475766,	0.0892061,	2.34909,	0.148677,	0.148677,	0.148677,	0.505501,	0,	2.40856,	0.118941,	0.356824,	0.148677,	0.44603,	0.0892061,	0.237883,	0.237883,	1.12994,	4.01427,	0.0297354,	0.178412,	2.88433,	0.148677,	0.594707,	1.21915,	0.0594707,	1.4273,	0,	1.48677,	0.148677,	0.178412,	0.148677,	0.0297354,	1.21915,	0.44603,	0.683913,	1.66518,	0,	0.44603,	0.148677,	0.237883,	0,	1.15968,	0.118941,	0.0594707,	0.178412,	0.0594707,	0.0297354,	0.178412,	2.46803,	
GM06990,	0.656276,	29.3683,	1.92781,	0.984413,	2.99426,	0.328138,	0.287121,	0.0820345,	0.45119,	0.123052,	0.0410172,	2.09188,	1.55865,	0.0410172,	0.205086,	1.96883,	0.328138,	0.123052,	0.820345,	0.45119,	0.574241,	0.287121,	1.10747,	1.31255,	0.328138,	0.0820345,	0.0820345,	0.328138,	0.123052,	0.0820345,	0.287121,	0.205086,	0.533224,	1.55865,	0.73831,	0.123052,	0.287121,	3.89664,	0.246103,	4.84003,	0.328138,	0.820345,	0.0410172,	0.0820345,	0.0820345,	0.0820345,	0.0820345,	0.0410172,	1.80476,	0.164069,	0.0820345,	0,	0.0820345,	0.820345,	0.656276,	0.615258,	0.0820345,	0.246103,	0.0410172,	0.164069,	0.533224,	1.27153,	0.615258,	1.10747,	0.0410172,	0.369155,	0,	1.64069,	1.55865,	0.164069,	0.533224,	1.39459,	0.123052,	0.123052,	4.14274,	0.0410172,	6.48072,	0.0820345,	2.99426,	0.0820345,	0.533224,	0.123052,	0.0410172,	0.0410172,	0.0820345,	1.27153,	1.39459,	0,	0.328138,	0.205086,	0.0410172,	0.123052,	0.246103,	0.615258,	0.0820345,	0,	0.0410172,	0.410172,	1.02543,	1.92781,	
GM12865,	0.139237,	25.4804,	2.45057,	1.16959,	1.69869,	0.779727,	0.0278474,	0.501253,	0,	0.0556948,	0.0835422,	4.17711,	9.55166,	0.278474,	0.612643,	0.974659,	0.445558,	0.0835422,	0.139237,	0.417711,	0.194932,	0.389864,	0.167084,	2.39488,	0,	0.222779,	0.222779,	0.64049,	0.362016,	1.53161,	0.139237,	1.36452,	0.779727,	3.81509,	0.529101,	0.194932,	0.584795,	0.75188,	0.334169,	1.42022,	0.0556948,	0.167084,	0.194932,	0.139237,	0.0278474,	0,	0.194932,	0.529101,	1.643,	0.501253,	0.0835422,	0.417711,	0.139237,	2.53411,	0.0556948,	0.306321,	0,	0.250627,	0.11139,	2.86828,	0.167084,	0.334169,	0.0835422,	0.918964,	0.0835422,	0.529101,	0.139237,	1.0582,	3.7594,	0.11139,	0.222779,	2.75689,	0.11139,	0.64049,	1.86578,	0.0835422,	2.00501,	0,	1.0582,	0.222779,	0.0556948,	0.0556948,	0.0556948,	1.42022,	0.389864,	0.863269,	1.22529,	0,	0.612643,	0.139237,	0.139237,	0,	1.1139,	0.139237,	0,	0.139237,	0.0278474,	0.0278474,	0.0835422,	2.03286,	
H7-hESC,	0.0809062,	22.411,	2.26537,	1.64509,	1.13269,	1.02481,	0.21575,	0.458468,	0.0269687,	0.107875,	0.0269687,	5.47465,	9.06149,	0.674218,	1.40237,	0.512406,	0.647249,	0.0809062,	0.134844,	0.431499,	0.242718,	0.269687,	0.21575,	1.83387,	0.0269687,	0.242718,	0.350593,	0.647249,	0.161812,	1.96872,	0.188781,	1.75297,	0.970874,	2.96656,	0.566343,	0.269687,	0.458468,	0.970874,	0.566343,	1.24056,	0.0809062,	0.350593,	0.161812,	0.296656,	0.0269687,	0.0269687,	0.296656,	0.647249,	2.13053,	0.431499,	0.134844,	0.458468,	0.188781,	2.88565,	0.296656,	0.350593,	0.0539374,	0.404531,	0.107875,	3.452,	0.0539374,	0.377562,	0.134844,	0.566343,	0.188781,	0.647249,	0.21575,	1.34844,	3.26321,	0.0539374,	0.134844,	2.72384,	0.134844,	0.701187,	1.15965,	0.0269687,	1.88781,	0,	0.701187,	0.107875,	0.0809062,	0.188781,	0.107875,	1.53722,	0.458468,	0.431499,	1.48328,	0.0269687,	0.539374,	0.188781,	0.134844,	0,	1.07875,	0.161812,	0,	0.269687,	0.161812,	0,	0.188781,	2.02265,	
HA-h,	0.225581,	15.4072,	3.4965,	2.16558,	0.857207,	1.24069,	0.203023,	1.1279,	0.0902323,	0.0225581,	0.248139,	4.12813,	7.1058,	0.812091,	1.60162,	0.47372,	0.609068,	0.0451162,	0.135349,	0.992556,	0.383487,	0.518836,	0.225581,	1.94,	0.0225581,	0.47372,	0.609068,	0.834649,	0.428604,	2.32348,	0.338371,	1.8272,	1.17302,	1.96255,	0.699301,	0.315813,	0.563952,	0.924882,	0.541394,	0.924882,	0.157907,	0.248139,	0.383487,	0.428604,	0.0225581,	0.0676743,	0.496278,	1.30837,	1.37604,	0.902324,	0.11279,	0.721859,	0.270697,	2.7972,	0.270697,	0.563952,	0.157907,	0.631626,	0.248139,	3.22581,	0.0902323,	0.518836,	0.451162,	0.924882,	0.225581,	0.721859,	0.857207,	1.1279,	2.68441,	0.11279,	0.180465,	2.48139,	0.360929,	1.21814,	0.924882,	0.203023,	1.80465,	0.0451162,	0.699301,	0.428604,	0.293255,	0.225581,	0.0902323,	2.30092,	1.08279,	0.338371,	1.26325,	0,	0.631626,	0.338371,	0.293255,	0,	2.0979,	0.0902323,	0.0225581,	0.518836,	0.203023,	0.0451162,	0.180465,	1.51139,	
HAEpiC,	0.0488998,	18.6064,	2.93399,	2.05379,	1.12469,	1.27139,	0.195599,	0.488998,	0.0733496,	0.122249,	0,	5.18337,	8.06846,	0.684597,	1.34474,	0.391198,	0.904646,	0.0733496,	0.0733496,	0.684597,	0.391198,	0.415648,	0.244499,	1.58924,	0,	0.440098,	0.537897,	0.660147,	0.122249,	1.98044,	0.293399,	2.05379,	1.12469,	2.34719,	0.366748,	0.244499,	0.513447,	0.709046,	0.733496,	0.977995,	0.268949,	0.171149,	0.195599,	0.440098,	0,	0.122249,	0.391198,	0.880196,	1.66259,	0.537897,	0.0488998,	0.586797,	0.366748,	3.22738,	0.244499,	0.464548,	0.0488998,	0.537897,	0.122249,	3.69193,	0.0488998,	0.391198,	0.171149,	0.977995,	0.220049,	0.537897,	0.391198,	1.12469,	3.00733,	0.0244499,	0.146699,	2.66504,	0.195599,	0.953545,	1.34474,	0.0488998,	1.95599,	0,	0.537897,	0.171149,	0.0977995,	0.122249,	0.0733496,	2.88509,	0.586797,	0.562347,	1.44254,	0.0244499,	0.586797,	0.220049,	0.195599,	0.0488998,	1.46699,	0.0977995,	0,	0.415648,	0.220049,	0.0488998,	0.195599,	1.71149,	
HCF,	0.246731,	18.5048,	2.76339,	2.17123,	0.96225,	0.96225,	0.123365,	0.616827,	0.0493462,	0.0246731,	0.296077,	5.05798,	8.85764,	0.715519,	1.48038,	0.592154,	0.542808,	0.0246731,	0.0740192,	0.740192,	0.32075,	0.468789,	0.172712,	2.17123,	0.0246731,	0.172712,	0.419442,	0.666173,	0.370096,	1.70244,	0.246731,	1.9245,	0.838885,	2.78806,	0.542808,	0.518135,	0.592154,	0.567481,	0.740192,	1.13496,	0.123365,	0.197385,	0.246731,	0.32075,	0,	0.123365,	0.197385,	0.616827,	1.20898,	0.6415,	0.0740192,	0.690846,	0.345423,	2.71404,	0.32075,	0.444115,	0.0246731,	0.493462,	0.0246731,	3.97237,	0.172712,	0.468789,	0.172712,	0.814212,	0.172712,	0.542808,	0.246731,	1.40637,	3.65162,	0.0740192,	0.172712,	2.51665,	0.296077,	0.838885,	0.814212,	0.0246731,	1.77646,	0,	0.937577,	0.123365,	0.271404,	0.222058,	0.0493462,	1.85048,	0.96225,	0.616827,	1.23365,	0.0246731,	0.838885,	0.32075,	0.123365,	0,	1.87515,	0.0246731,	0,	0.345423,	0.0986923,	0.0246731,	0.172712,	1.75179,	
HCM,	0.297103,	17.9252,	3.14434,	1.88165,	1.08938,	1.36172,	0.321862,	0.569448,	0.0247586,	0.0742758,	0.123793,	5.49641,	9.33399,	0.668482,	1.7331,	0.470413,	0.841792,	0.17331,	0.0742758,	0.866551,	0.247586,	0.544689,	0.123793,	1.60931,	0,	0.297103,	0.34662,	0.817034,	0.297103,	1.93117,	0.445655,	2.12924,	0.990344,	2.67393,	0.594206,	0.445655,	0.420896,	0.742758,	0.693241,	0.693241,	0.0990344,	0.123793,	0.297103,	0.420896,	0,	0.123793,	0.321862,	0.841792,	1.90641,	0.817034,	0.123793,	0.668482,	0.297103,	2.89676,	0.272345,	0.445655,	0.123793,	0.693241,	0.123793,	3.54048,	0.0990344,	0.272345,	0.0990344,	0.742758,	0.123793,	0.767517,	0.222827,	1.1389,	3.02055,	0.0742758,	0.148552,	2.50062,	0.222827,	0.792275,	1.28745,	0.0742758,	1.60931,	0.0495172,	0.594206,	0.148552,	0.148552,	0.148552,	0.0247586,	2.20352,	0.643724,	0.569448,	0.940827,	0,	0.668482,	0.371379,	0.198069,	0.0247586,	1.26269,	0.123793,	0.0247586,	0.396138,	0.198069,	0.0247586,	0.123793,	1.26269,	
