cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.585176,	13.9467,	3.83615,	1.17035,	1.69051,	1.13784,	0.195059,	1.04031,	0.617685,	0.357607,	0.325098,	1.04031,	3.41352,	1.07282,	0.617685,	1.98309,	0.357607,	0.325098,	0.390117,	0.812744,	0.292588,	0.0325098,	1.13784,	1.07282,	0.780234,	0.0975293,	0.357607,	2.0156,	0.292588,	0.357607,	0.0325098,	1.59298,	0.650195,	1.82055,	0.520156,	0.682705,	1.0078,	0.812744,	1.98309,	2.50325,	0.260078,	0.975293,	0.357607,	0.260078,	0.0325098,	0.325098,	0.780234,	0.325098,	0.812744,	0.325098,	0.0975293,	0.650195,	0.0975293,	1.30039,	1.36541,	0.650195,	0.0650195,	1.20286,	0.162549,	0.617685,	0.780234,	0.682705,	1.23537,	0.780234,	0.617685,	0.715215,	1.07282,	0.975293,	2.40572,	0.325098,	1.04031,	2.60078,	0.390117,	0.422627,	1.52796,	0.130039,	5.03901,	0.0975293,	3.21847,	0.422627,	0.780234,	0.422627,	0.0975293,	0.357607,	0.650195,	1.88557,	0.650195,	0.0650195,	0.195059,	0.130039,	0.0650195,	0.552666,	0.487646,	0.455137,	0,	0.0325098,	0.617685,	0.325098,	0.617685,	3.51105,	
AoAF,	0.483969,	12.9462,	3.56927,	1.17967,	1.5124,	0.846945,	0.15124,	1.39141,	1.02843,	0.393224,	0.241984,	1.11918,	2.38959,	1.63339,	1.02843,	1.54265,	0.211736,	0.241984,	0.241984,	0.756201,	0.393224,	0.211736,	1.45191,	0.846945,	0.604961,	0.30248,	0.483969,	1.69389,	0.181488,	0.393224,	0.0604961,	1.30067,	0.756201,	1.60315,	0.423472,	0.665457,	1.24017,	0.967937,	1.69389,	2.84332,	0.574713,	0.846945,	0.483969,	0.30248,	0.0604961,	0.211736,	1.14943,	0.453721,	0.786449,	0.30248,	0.120992,	0.937689,	0.181488,	1.54265,	1.39141,	1.05868,	0.120992,	1.27042,	0.181488,	0.544465,	0.544465,	1.14943,	0.877193,	0.453721,	0.453721,	0.756201,	1.39141,	1.17967,	2.23835,	0.665457,	1.36116,	2.96431,	0.483969,	0.241984,	1.63339,	0.332728,	3.69026,	0.211736,	2.87356,	0.241984,	0.937689,	0.877193,	0.0604961,	0.211736,	0.665457,	1.81488,	0.816697,	0.120992,	0.211736,	0.211736,	0.241984,	0.544465,	0.695705,	0.665457,	0,	0.15124,	0.544465,	0.332728,	0.725953,	2.87356,	
CD20+,	0.269854,	23.4773,	3.46955,	0.578258,	2.15883,	0.848111,	0.231303,	0.269854,	0.308404,	0.192753,	0.0385505,	2.08173,	3.70085,	0.886662,	0.501157,	2.77564,	0.115652,	0.077101,	0.346955,	0.462606,	0.346955,	0.192753,	0.886662,	1.77332,	0.424056,	0.154202,	0.269854,	0.925212,	0.578258,	0.462606,	0,	0.925212,	0.578258,	2.12028,	0.462606,	0.501157,	0.77101,	1.31072,	0.578258,	2.39013,	0.077101,	0.732459,	0.154202,	0.0385505,	0,	0.154202,	0.462606,	0.077101,	0.809561,	0.269854,	0.0385505,	0.346955,	0,	1.00231,	0.655358,	0.693909,	0.0385505,	0.809561,	0.077101,	0.848111,	0.462606,	0.578258,	0.578258,	0.539707,	0.231303,	0.385505,	0.578258,	1.19507,	3.23824,	0.462606,	0.616808,	3.31534,	0.115652,	0.346955,	2.23593,	0,	4.89591,	0.0385505,	3.7394,	0.346955,	0.501157,	0.462606,	0.0385505,	0.0385505,	0.231303,	1.96608,	0.693909,	0,	0.192753,	0.192753,	0,	0.192753,	0.655358,	0.539707,	0.0385505,	0,	0.115652,	0.115652,	0.501157,	3.8936,	
GM06990,	0.417101,	28.9885,	1.30344,	0.729927,	3.1804,	0.573514,	0.573514,	0.104275,	0.469239,	0.0521376,	0.208551,	2.29406,	2.50261,	0.573514,	0.208551,	2.08551,	0.312826,	0,	0.521376,	0.729927,	0.573514,	0.469239,	0.417101,	2.60688,	0.104275,	0.417101,	0.104275,	0.938478,	0.677789,	0.521376,	0.0521376,	0.573514,	0.364964,	2.60688,	0.364964,	0.104275,	0.104275,	3.1804,	0.104275,	2.34619,	0.208551,	0.469239,	0,	0,	0.104275,	0.104275,	0.0521376,	0.104275,	2.50261,	0.104275,	0.104275,	0.208551,	0.156413,	1.30344,	0.260688,	0.782065,	0.0521376,	0.0521376,	0.0521376,	0.208551,	0.364964,	1.04275,	0.469239,	0.782065,	0.104275,	0.260688,	0.0521376,	1.19917,	2.55474,	0.0521376,	0.417101,	1.98123,	0.104275,	0.782065,	3.70177,	0.260688,	2.7633,	0,	4.64025,	0.0521376,	0.469239,	0.312826,	0.104275,	0.417101,	0.260688,	1.45985,	1.51199,	0,	0.104275,	0.104275,	0.104275,	0.364964,	0.469239,	0.364964,	0.104275,	0.104275,	0.208551,	0.208551,	0.469239,	1.98123,	
GM12865,	0.42796,	21.4337,	3.03138,	0.677603,	2.21113,	0.713267,	0.285307,	0.606277,	0.142653,	0.178317,	0.249643,	2.21113,	3.49501,	0.927247,	0.606277,	2.38944,	0.285307,	0.142653,	0.21398,	0.53495,	0.178317,	0.10699,	0.96291,	1.31954,	0.42796,	0.0713267,	0.249643,	1.42653,	0.356633,	0.178317,	0.0356633,	1.0699,	0.356633,	2.24679,	0.570613,	0.356633,	0.784593,	1.56919,	1.0699,	2.46077,	0.0713267,	0.74893,	0.392297,	0.178317,	0,	0.178317,	0.64194,	0.285307,	1.03424,	0.142653,	0.0713267,	0.285307,	0.10699,	1.71184,	0.713267,	0.499287,	0.0356633,	0.998573,	0.178317,	0.499287,	0.713267,	0.570613,	0.53495,	0.42796,	0.285307,	0.392297,	0.499287,	1.35521,	2.63909,	0.21398,	1.24822,	3.85164,	0.249643,	0.21398,	1.89016,	0.10699,	4.13695,	0.0713267,	3.28103,	0.249643,	0.64194,	0.463623,	0.0356633,	0.21398,	0.285307,	1.67618,	0.820257,	0.0356633,	0.285307,	0.21398,	0.178317,	0.21398,	0.392297,	0.64194,	0,	0.0713267,	0.249643,	0.32097,	0.677603,	4.31526,	
H7-hESC,	0.519931,	19.6534,	3.25823,	1.17851,	1.76776,	0.901213,	0.17331,	1.03986,	0.381282,	0.138648,	0.207972,	1.49047,	3.88215,	0.797227,	0.693241,	2.25303,	0.277296,	0.34662,	0.242634,	0.450607,	0.34662,	0.207972,	1.03986,	1.24783,	0.381282,	0.103986,	0.519931,	1.52513,	0.277296,	0.34662,	0.103986,	1.03986,	0.658579,	2.18371,	0.485269,	0.623917,	1.42114,	1.10919,	1.07452,	2.42634,	0.17331,	0.519931,	0.277296,	0.138648,	0.103986,	0.207972,	0.381282,	0.207972,	1.03986,	0.311958,	0.0693241,	0.797227,	0.034662,	1.76776,	0.762565,	0.519931,	0,	1.0052,	0.17331,	0.866551,	0.415945,	1.0052,	0.866551,	0.519931,	0.450607,	0.693241,	0.866551,	1.62912,	2.87695,	0.207972,	1.07452,	3.08492,	0.207972,	0.17331,	1.7331,	0.138648,	4.15945,	0.0693241,	2.70364,	0.311958,	0.866551,	0.519931,	0.0693241,	0.17331,	0.450607,	1.52513,	1.07452,	0.034662,	0.207972,	0.103986,	0.207972,	0.242634,	0.34662,	0.658579,	0,	0.17331,	0.415945,	0.450607,	0.485269,	2.66898,	
HA-h,	0.595593,	10.7504,	3.72245,	1.36986,	1.84634,	0.625372,	0.327576,	0.80405,	1.07207,	0.327576,	0.476474,	1.36986,	2.29303,	1.36986,	0.565813,	1.13163,	0.357356,	0.178678,	0.327576,	0.83383,	0.506254,	0.148898,	1.3103,	0.80405,	0.625372,	0.238237,	0.327576,	1.66766,	0.327576,	0.565813,	0.119119,	1.19119,	0.982728,	1.3103,	0.506254,	0.595593,	1.25074,	0.83383,	1.72722,	2.29303,	0.416915,	1.01251,	0.446694,	0.297796,	0.148898,	0.238237,	1.39964,	1.01251,	0.923169,	0.357356,	0.148898,	1.22096,	0.148898,	1.6081,	1.25074,	0.83383,	0.119119,	1.22096,	0.208457,	1.07207,	0.952948,	0.982728,	1.48898,	0.893389,	0.565813,	0.595593,	1.4592,	0.923169,	2.29303,	0.506254,	0.80405,	1.9059,	0.565813,	0.595593,	1.99524,	0.208457,	4.13937,	0.148898,	3.33532,	0.357356,	1.01251,	0.80405,	0.0595593,	0.327576,	0.565813,	1.48898,	0.536033,	0.119119,	0.208457,	0.208457,	0.268017,	0.684932,	1.13163,	0.952948,	0.0595593,	0.119119,	0.476474,	0.536033,	0.982728,	2.97796,	
HAEpiC,	0.545571,	15.3081,	3.3697,	1.54044,	2.08601,	1.09114,	0.160462,	1.05905,	0.802311,	0.481386,	0.12837,	0.93068,	3.08087,	1.44416,	0.738126,	1.79718,	0.320924,	0.288832,	0.385109,	0.738126,	0.224647,	0.0962773,	1.09114,	0.802311,	0.545571,	0.192555,	0.545571,	1.41207,	0.385109,	0.320924,	0.160462,	1.34788,	0.673941,	1.60462,	0.417202,	0.256739,	1.37997,	0.866496,	1.86136,	2.85623,	0.256739,	1.02696,	0.256739,	0.449294,	0.12837,	0.12837,	0.834403,	0.481386,	0.834403,	0.288832,	0.0320924,	1.21951,	0.0962773,	1.82927,	1.12323,	0.866496,	0,	1.41207,	0.353017,	0.353017,	0.481386,	0.834403,	0.834403,	0.545571,	0.192555,	0.641849,	1.2837,	1.50834,	2.15019,	0.385109,	1.05905,	2.75995,	0.288832,	0.320924,	1.92555,	0.160462,	4.30038,	0.0320924,	2.72786,	0.385109,	0.802311,	1.02696,	0.0320924,	0.481386,	0.609756,	1.82927,	0.641849,	0.0641849,	0.320924,	0.0641849,	0.0962773,	0.577664,	0.513479,	0.866496,	0.12837,	0.288832,	0.545571,	0.192555,	0.609756,	2.18228,	
HCF,	0.449438,	15.1204,	4.23756,	1.38042,	1.86196,	0.70626,	0,	0.866774,	0.70626,	0.449438,	0.256822,	1.31621,	3.14607,	1.34831,	0.770465,	1.63724,	0.288925,	0.224719,	0.192616,	0.738363,	0.288925,	0.0321027,	1.76565,	0.930979,	0.834671,	0.321027,	0.577849,	1.63724,	0.256822,	0.609952,	0.128411,	1.41252,	0.577849,	1.57303,	0.256822,	0.609952,	1.1557,	0.802568,	1.44462,	3.24238,	0.224719,	1.2199,	0.256822,	0.224719,	0.0642055,	0.224719,	0.963082,	0.192616,	0.930979,	0.256822,	0.224719,	0.481541,	0.128411,	1.38042,	1.02729,	0.866774,	0.128411,	1.1557,	0.321027,	0.449438,	0.642055,	0.738363,	0.802568,	0.70626,	0.385233,	0.417335,	0.995185,	0.995185,	2.3756,	0.513644,	1.1236,	2.60032,	0.481541,	0.481541,	1.54093,	0.160514,	4.30177,	0,	3.01766,	0.192616,	0.674157,	0.738363,	0.0321027,	0.256822,	0.770465,	1.57303,	0.417335,	0.0642055,	0.160514,	0.256822,	0.224719,	0.385233,	0.802568,	0.738363,	0.0321027,	0.160514,	0.609952,	0.321027,	0.70626,	3.72392,	
HCM,	0.326052,	15.0962,	3.58657,	1.63026,	1.36942,	1.01076,	0.0978155,	0.912944,	0.521682,	0.391262,	0.163026,	1.14118,	3.22791,	0.880339,	0.619498,	1.95631,	0.326052,	0.358657,	0.195631,	0.521682,	0.423867,	0.163026,	1.53244,	0.782524,	0.749919,	0.358657,	0.554288,	2.05412,	0.391262,	0.554288,	0.130421,	1.30421,	0.880339,	1.17379,	0.489077,	0.749919,	1.10858,	0.945549,	1.59765,	2.64102,	0.326052,	1.07597,	0.326052,	0.260841,	0.0978155,	0.163026,	0.912944,	0.423867,	0.652103,	0.130421,	0.163026,	1.07597,	0.0978155,	1.239,	1.04336,	0.782524,	0.130421,	1.2716,	0.260841,	0.619498,	0.749919,	0.684708,	1.10858,	0.456472,	0.423867,	0.489077,	0.945549,	1.33681,	2.93446,	0.391262,	1.17379,	2.73883,	0.326052,	0.326052,	1.66286,	0.163026,	3.48875,	0.0978155,	3.22791,	0.358657,	0.782524,	0.749919,	0.130421,	0.326052,	0.554288,	1.8911,	0.749919,	0.130421,	0.228236,	0.163026,	0.260841,	0.489077,	1.07597,	0.847734,	0,	0.130421,	0.521682,	0.260841,	0.815129,	2.83665,	
