cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.367401,	15.4309,	3.34001,	1.87041,	1.43621,	1.60321,	0.534402,	0.901804,	0.167001,	0.0334001,	0.0668003,	1.50301,	4.00802,	0.300601,	1.002,	0.868403,	0.734803,	0.133601,	0.400802,	0.634603,	0.768203,	0.400802,	0.734803,	3.37341,	0.0668003,	0.200401,	0.167001,	0.801603,	0.400802,	0.601202,	0.434202,	3.13961,	1.0688,	1.1022,	1.43621,	0.567802,	0.835003,	1.46961,	0.200401,	1.53641,	0.801603,	1.0688,	0.334001,	0.400802,	0,	0.0334001,	0.434202,	1.1356,	1.53641,	1.83701,	0.835003,	0.1002,	1.1022,	1.40281,	0.734803,	0.935204,	0.267201,	0.935204,	0.567802,	2.47161,	0.0334001,	0.835003,	0.367401,	0.734803,	0.133601,	0.0668003,	0.0668003,	1.26921,	4.27522,	0.267201,	0.267201,	1.1022,	0.267201,	0.300601,	1.63661,	0.334001,	3.17301,	0.0668003,	1.36941,	0.334001,	0.434202,	0.334001,	0,	1.50301,	1.63661,	0.868403,	1.169,	0,	0.400802,	0.467602,	0.233801,	0.0334001,	0.567802,	0.200401,	0.0334001,	1.0688,	0.267201,	0,	0.334001,	1.97061,	
AoAF,	0.633914,	13.9461,	3.48653,	1.96513,	1.07765,	1.99683,	0.602219,	0.919176,	0.0316957,	0.190174,	0.0633914,	1.58479,	4.15214,	0.348653,	0.570523,	0.729002,	0.950872,	0.0633914,	0.285262,	0.44374,	0.570523,	0.44374,	0.697306,	3.45483,	0.22187,	0.126783,	0.348653,	0.380349,	0.538827,	0.729002,	0.380349,	4.05705,	0.792393,	0.602219,	1.17274,	0.475436,	1.14105,	1.39461,	0.412044,	1.67987,	0.507132,	1.10935,	0.44374,	0.507132,	0,	0.0950872,	0.285262,	1.33122,	1.83835,	1.458,	0.824089,	0.0950872,	0.697306,	1.67987,	0.697306,	0.824089,	0.253566,	1.10935,	0.697306,	1.93344,	0.0633914,	0.919176,	0.66561,	0.855784,	0.0316957,	0.0316957,	0.158479,	1.52139,	4.21553,	0.253566,	0.507132,	0.760697,	0.380349,	0.190174,	1.4897,	0.316957,	4.02536,	0.158479,	1.20444,	0.22187,	0.22187,	0.380349,	0.0316957,	2.78922,	1.71157,	0.633914,	0.919176,	0.0950872,	0.190174,	0.380349,	0.253566,	0.0633914,	0.855784,	0.380349,	0.0633914,	1.14105,	0.285262,	0,	0.0316957,	1.55309,	
CD20+,	0.120968,	25.3629,	2.94355,	1.12903,	2.70161,	0.806452,	0.241935,	0.443548,	0.120968,	0.0403226,	0.120968,	2.5,	5.3629,	0.443548,	0.725806,	1.57258,	0.362903,	0.16129,	0.201613,	0.403226,	0.362903,	0.362903,	0.524194,	3.14516,	0.0403226,	0.120968,	0,	0.766129,	0.403226,	0.483871,	0.120968,	1.29032,	0.766129,	1.6129,	1.45161,	0.443548,	0.483871,	1.73387,	0.16129,	1.89516,	0.16129,	0.443548,	0.0403226,	0.241935,	0,	0,	0.0806452,	0.483871,	2.21774,	0.524194,	0.403226,	0.0403226,	0.362903,	1.6129,	0.362903,	0.645161,	0.0806452,	0.645161,	0.16129,	2.01613,	0.201613,	0.362903,	0.201613,	0.483871,	0.0403226,	0,	0.16129,	1.77419,	4.1129,	0.16129,	0.564516,	1.93548,	0.120968,	0.241935,	3.02419,	0.0403226,	2.98387,	0.120968,	1.89516,	0.16129,	0.282258,	0.443548,	0,	0.403226,	0.443548,	1.37097,	1.04839,	0.0403226,	0.282258,	0.241935,	0.0806452,	0,	0.483871,	0.362903,	0.0403226,	0.524194,	0.120968,	0,	0.403226,	2.37903,	
GM06990,	0.21097,	29.4304,	0.791139,	1.26582,	3.16456,	0.21097,	0.316456,	0.21097,	0.263713,	0.158228,	0.158228,	2.74262,	1.58228,	0.0527426,	0.263713,	1.52954,	0.474684,	0,	0.527426,	0.316456,	1.05485,	0.316456,	0.421941,	1.05485,	0.158228,	0.263713,	0.369198,	0.21097,	0.421941,	0.316456,	0.21097,	0.527426,	0.738397,	2.26793,	0.580169,	0.105485,	0.316456,	4.90506,	0.421941,	1.68776,	0.369198,	0.474684,	0.263713,	0.105485,	0.0527426,	0.158228,	0,	0,	2.68987,	0.263713,	0.263713,	0.0527426,	0.0527426,	1.58228,	0.632911,	0.527426,	0.21097,	0.158228,	0.316456,	0.685654,	1.42405,	0.421941,	0.843882,	1.42405,	0.158228,	0.105485,	0,	1.10759,	2.05696,	0.21097,	0.421941,	2.37342,	0,	0.316456,	2.53165,	0.158228,	3.48101,	0.105485,	6.01266,	0.158228,	0.843882,	0.421941,	0,	0.369198,	0.580169,	1.00211,	1.52954,	0.0527426,	0.685654,	0.158228,	0.0527426,	0,	0.316456,	0.580169,	0.0527426,	0,	0,	0,	0.474684,	0.685654,	
GM12865,	0.220022,	23.469,	2.86029,	1.02677,	2.31023,	1.13678,	0.183352,	0.403374,	0.0733407,	0.0733407,	0.0733407,	1.83352,	5.24386,	0.293363,	0.440044,	1.46681,	0.843418,	0,	0.293363,	0.476714,	0.440044,	0.256692,	0.550055,	3.9604,	0.0733407,	0.110011,	0.110011,	0.476714,	0.366703,	0.513385,	0.110011,	1.94353,	0.696736,	2.09021,	1.06344,	0.623396,	0.586725,	1.90686,	0.183352,	1.68684,	0.146681,	0.513385,	0.330033,	0.256692,	0,	0,	0.220022,	0.843418,	1.72351,	0.733407,	0.366703,	0,	0.733407,	1.39347,	0.513385,	0.843418,	0.183352,	0.623396,	0.513385,	1.90686,	0.110011,	0.366703,	0.183352,	0.660066,	0.146681,	0.0733407,	0.0733407,	2.09021,	3.85039,	0.0733407,	0.550055,	1.61349,	0.110011,	0.183352,	2.01687,	0.0366703,	2.93363,	0.0366703,	1.79685,	0.366703,	0.256692,	0.256692,	0.0366703,	1.28346,	0.843418,	1.39347,	1.68684,	0.0366703,	0.220022,	0.220022,	0.146681,	0,	0.843418,	0.220022,	0.110011,	0.366703,	0.183352,	0,	0.330033,	1.9802,	
H7-hESC,	0.344116,	19.9587,	3.44116,	1.23882,	1.30764,	1.37646,	0.550585,	1.03235,	0.103235,	0,	0.0344116,	0.997935,	5.67791,	0.275293,	0.688231,	1.03235,	0.757054,	0.137646,	0.172058,	0.378527,	0.516173,	0.309704,	0.894701,	2.61528,	0.103235,	0.137646,	0.103235,	0.44735,	0.44735,	0.722643,	0.172058,	2.71851,	1.2044,	1.51411,	1.10117,	0.412939,	0.722643,	1.51411,	0.240881,	1.96146,	0.344116,	0.584997,	0.309704,	0.309704,	0,	0,	0.275293,	0.481762,	1.7894,	1.30764,	0.584997,	0.0688231,	0.825877,	1.4797,	0.516173,	1.13558,	0.240881,	1.03235,	0.344116,	1.89264,	0.275293,	0.722643,	0.309704,	0.825877,	0.0344116,	0.172058,	0.206469,	1.41087,	4.37027,	0.137646,	0.378527,	1.41087,	0.206469,	0.137646,	2.23675,	0.0688231,	3.81968,	0.0688231,	1.27323,	0.0688231,	0.309704,	0.344116,	0.0688231,	1.54852,	0.757054,	1.16999,	1.2044,	0,	0.137646,	0.240881,	0.206469,	0,	0.65382,	0.309704,	0,	1.10117,	0.516173,	0.0344116,	0.206469,	2.16793,	
HA-h,	0.436817,	12.1685,	4.14977,	1.99688,	1.31045,	1.12325,	0.530421,	0.624025,	0.280811,	0.218409,	0.124805,	2.24649,	4.08736,	0.24961,	0.842434,	0.780031,	0.842434,	0.124805,	0.530421,	0.655226,	0.780031,	0.312012,	0.592824,	3.49454,	0.312012,	0.24961,	0.374415,	0.624025,	0.561623,	0.811232,	0.592824,	2.74571,	1.27925,	0.904836,	1.46646,	0.655226,	0.967239,	1.43526,	0.312012,	1.24805,	0.592824,	0.99844,	0.49922,	0.468019,	0.0312012,	0.0624025,	0.436817,	1.43526,	1.56006,	1.52886,	0.74883,	0.187207,	1.12325,	1.71607,	0.904836,	0.624025,	0.187207,	0.936037,	0.967239,	2.12168,	0.156006,	0.780031,	0.530421,	0.74883,	0.0624025,	0.218409,	0.218409,	1.56006,	2.83931,	0.24961,	0.561623,	1.31045,	0.218409,	0.24961,	2.02808,	0.530421,	2.99532,	0.218409,	0.936037,	0.436817,	0.468019,	0.655226,	0.0936037,	1.80967,	1.74727,	0.873635,	0.936037,	0.0624025,	0.24961,	0.374415,	0.343214,	0,	0.873635,	0.468019,	0,	0.936037,	0.156006,	0.0936037,	0.343214,	2.4961,	
HAEpiC,	0.364359,	16.4293,	3.04737,	2.02054,	1.22557,	1.65618,	0.397483,	1.25869,	0.132494,	0.132494,	0.0662471,	1.78867,	3.9417,	0.264988,	0.794965,	0.662471,	1.1262,	0.0993707,	0.165618,	0.46373,	0.529977,	0.496853,	1.05995,	2.8155,	0.165618,	0.0662471,	0.198741,	0.46373,	0.695595,	0.828089,	0.46373,	3.3786,	0.728718,	0.993707,	0.662471,	0.794965,	0.960583,	1.02683,	0.0993707,	1.88804,	0.46373,	0.828089,	0.397483,	0.331236,	0.0331235,	0.0331235,	0.298112,	0.894336,	1.88804,	1.62305,	0.397483,	0.0331235,	0.828089,	1.39119,	1.09308,	0.695595,	0.430606,	1.25869,	0.529977,	3.04737,	0.0993707,	0.728718,	0.397483,	0.728718,	0.132494,	0.132494,	0.0993707,	1.75555,	4.93541,	0.0331235,	0.46373,	1.02683,	0.397483,	0.165618,	1.39119,	0.132494,	3.87546,	0.165618,	0.993707,	0.198741,	0.231865,	0.430606,	0.0331235,	2.35177,	1.32494,	0.927459,	1.05995,	0.0331235,	0.231865,	0.529977,	0.231865,	0,	0.662471,	0.298112,	0.0331235,	0.993707,	0.198741,	0,	0.397483,	1.32494,	
HCF,	0.532623,	16.0453,	4.19441,	1.93076,	1.46471,	1.63116,	0.665779,	0.865513,	0.0998669,	0.166445,	0.0998669,	1.33156,	3.69507,	0.266312,	0.432756,	0.732357,	0.832224,	0.0665779,	0.499334,	0.532623,	0.665779,	0.466045,	0.565912,	3.46205,	0.166445,	0.199734,	0.332889,	0.599201,	0.432756,	0.732357,	0.499334,	2.52996,	1.26498,	1.1984,	1.33156,	0.532623,	0.63249,	1.53129,	0.299601,	1.36485,	0.63249,	0.565912,	0.299601,	0.266312,	0.0665779,	0.0332889,	0.233023,	0.965379,	2.29694,	1.39814,	0.798935,	0.133156,	0.798935,	1.29827,	0.898802,	0.732357,	0.0998669,	1.36485,	0.599201,	2.03063,	0.199734,	0.665779,	0.599201,	0.932091,	0.166445,	0.166445,	0.299601,	1.73103,	3.59521,	0.166445,	0.532623,	1.16511,	0.266312,	0.299601,	1.39814,	0.332889,	3.46205,	0.0998669,	1.36485,	0.266312,	0.366178,	0.565912,	0.0332889,	1.86418,	1.56458,	1.1984,	0.832224,	0.0332889,	0.266312,	0.432756,	0.332889,	0.0665779,	0.532623,	0.299601,	0.0332889,	1.13182,	0.0998669,	0.0332889,	0.133156,	2.06391,	
HCM,	0.370121,	17.0929,	2.86003,	1.71602,	1.17766,	1.78331,	0.302826,	0.908479,	0.134589,	0.235532,	0.0672947,	1.68237,	3.43203,	0.336474,	0.6393,	0.908479,	0.874832,	0.0672947,	0.336474,	0.403769,	0.605653,	0.370121,	0.908479,	3.60027,	0.201884,	0.0672947,	0.269179,	0.336474,	0.504711,	0.672948,	0.269179,	3.39838,	0.672948,	1.00942,	1.24495,	0.572005,	0.908479,	1.21131,	0.437416,	1.61507,	0.908479,	0.807537,	0.336474,	0.504711,	0.0336474,	0,	0.302826,	1.24495,	1.51413,	1.3459,	0.975774,	0,	0.874832,	1.71602,	0.740242,	0.740242,	0.201884,	0.942126,	0.874832,	2.45626,	0.168237,	0.605653,	0.740242,	1.00942,	0.0672947,	0.134589,	0.134589,	1.71602,	3.70121,	0.100942,	0.504711,	0.942126,	0.134589,	0.302826,	1.78331,	0.336474,	3.49933,	0.269179,	0.942126,	0.269179,	0.6393,	0.437416,	0,	2.08614,	1.21131,	0.77389,	0.942126,	0.100942,	0.336474,	0.605653,	0.269179,	0.0336474,	0.874832,	0.370121,	0.0336474,	1.14401,	0.235532,	0.0672947,	0.0672947,	1.68237,	
