cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.170524,	33.8124,	2.28989,	1.9732,	3.43484,	0.170524,	0.292326,	0.511571,	0.243605,	0.0487211,	0.316687,	0.852619,	1.31547,	0.0487211,	0.560292,	0.487211,	0.609013,	0.316687,	1.48599,	0.365408,	0.876979,	0.414129,	0.730816,	0.90134,	0.43849,	0.487211,	0.243605,	0.243605,	0.194884,	0.194884,	0.0730816,	1.48599,	0.730816,	0.998782,	0.535932,	0.682095,	0.219245,	1.90012,	0.46285,	0.365408,	0.682095,	0.365408,	0.146163,	0.292326,	0.0730816,	0.0487211,	0.803898,	0.43849,	2.60658,	0.706456,	0.170524,	0.0974421,	0.950061,	1.24239,	1.43727,	1.6078,	0.365408,	0.146163,	0.146163,	0.584653,	0.219245,	0.9257,	0.389769,	0.341047,	0.0243605,	0.170524,	0.0730816,	0.46285,	1.07186,	0.365408,	0.365408,	0.779537,	0.0730816,	0.194884,	1.8514,	1.75396,	1.21803,	0.0487211,	2.31425,	0.535932,	2.67966,	0.706456,	0,	1.21803,	1.43727,	0.657734,	1.80268,	0.170524,	0.194884,	0.341047,	0.316687,	0.0730816,	0.365408,	0.243605,	0.0243605,	0.0974421,	0.0487211,	0.0487211,	0.316687,	1.68088,	
AoAF,	0.188014,	28.4371,	2.04465,	2.25617,	3.54877,	0.282021,	0.493537,	0.376028,	0.329025,	0.0235018,	0.39953,	0.634548,	1.59812,	0.282021,	0.634548,	0.493537,	0.517039,	0.376028,	1.45711,	0.188014,	0.893067,	0.493537,	0.846063,	0.987074,	0.470035,	0.329025,	0.235018,	0.188014,	0.235018,	0.211516,	0.141011,	1.90364,	0.775558,	0.846063,	0.705053,	0.705053,	0.376028,	1.95065,	0.446534,	0.39953,	0.728555,	0.540541,	0.0235018,	0.117509,	0.117509,	0.0705053,	1.2926,	0.493537,	2.35018,	1.01058,	0.117509,	0.117509,	1.43361,	1.2926,	1.69213,	1.83314,	0.352526,	0.164512,	0.141011,	0.423032,	0.329025,	0.916569,	0.329025,	0.493537,	0.117509,	0.282021,	0.0470035,	0.634548,	1.15159,	0.611046,	0.258519,	0.963572,	0.117509,	0.235018,	1.73913,	1.92714,	1.3631,	0.0705053,	2.6557,	0.611046,	2.98472,	0.869565,	0.0470035,	1.57462,	1.59812,	0.775558,	1.50411,	0.282021,	0.235018,	0.188014,	0.305523,	0.0705053,	0.141011,	0.235018,	0.0705053,	0.0705053,	0.0470035,	0.0235018,	0.470035,	1.64512,	
CD20+,	0.213333,	31.0667,	2.66667,	1.78667,	4.66667,	0.346667,	0.293333,	0.4,	0.213333,	0.0266667,	0.24,	0.986667,	2.02667,	0.0533333,	0.533333,	1.17333,	0.48,	0.16,	0.826667,	0.213333,	0.666667,	0.266667,	0.8,	1.86667,	0.56,	0.346667,	0.08,	0.64,	0.133333,	0.24,	0.106667,	0.826667,	0.693333,	1.54667,	0.56,	0.32,	0.4,	2.13333,	0.213333,	0.773333,	0.533333,	0.426667,	0,	0.133333,	0.106667,	0.0266667,	0.56,	0.4,	2.64,	0.533333,	0.106667,	0.0533333,	0.613333,	0.906667,	1.22667,	1.36,	0.266667,	0.293333,	0.16,	0.373333,	0.346667,	0.533333,	0.0533333,	0.56,	0.0266667,	0.266667,	0.0533333,	0.693333,	2.18667,	0.426667,	0.24,	0.933333,	0.106667,	0.533333,	2.74667,	0.88,	2.05333,	0.0266667,	3.04,	0.48,	1.84,	0.746667,	0.0533333,	0.453333,	1.14667,	0.853333,	1.86667,	0.08,	0.266667,	0.0533333,	0.266667,	0.106667,	0.426667,	0.293333,	0.106667,	0.106667,	0.0266667,	0.0533333,	0.453333,	2.34667,	
GM06990,	0.712106,	34.1133,	1.28857,	2.33978,	0.847745,	0.373008,	0.169549,	0.746016,	0.135639,	0.135639,	0.339098,	2.37369,	3.56053,	0.373008,	1.0512,	1.42421,	0.373008,	0,	0.169549,	0.440827,	1.11902,	0.169549,	0.271278,	1.25466,	0.0339098,	0.101729,	0.508647,	0.440827,	0.610376,	0.508647,	0.474737,	0.644286,	0.406918,	2.50933,	1.01729,	0.101729,	0.678196,	2.74669,	0.271278,	1.83113,	0.508647,	0.373008,	0.135639,	0.474737,	0.0339098,	0.101729,	0,	0.0339098,	0.847745,	0.542557,	0.101729,	0.0678196,	0.203459,	1.62767,	0.813835,	0.271278,	0.271278,	0.542557,	0.135639,	1.22075,	0.712106,	0.474737,	0.406918,	0.678196,	0.0339098,	0.474737,	0,	1.08511,	2.33978,	0,	0.406918,	2.27196,	0.0678196,	0.474737,	1.86504,	0.271278,	2.37369,	0.0678196,	3.69617,	0.101729,	0.746016,	0.271278,	0.101729,	0.576467,	0.576467,	0.712106,	1.0512,	0.0339098,	0.678196,	0.373008,	0,	0.0678196,	0.508647,	0.203459,	0.0678196,	0.135639,	0.169549,	0.0678196,	0.101729,	0.779925,	
GM12865,	0.175835,	26.5511,	2.13514,	1.70811,	4.14469,	0.226074,	0.37679,	0.326551,	0.477267,	0.0251193,	0.35167,	0.602864,	2.38634,	0.301432,	0.753579,	0.527506,	0.627983,	0.326551,	1.40668,	0.301432,	0.678222,	0.753579,	0.828937,	1.02989,	0.452148,	0.427028,	0.251193,	0.527506,	0.226074,	0.200955,	0.0251193,	1.60764,	0.703341,	1.18061,	0.72846,	0.577744,	0.427028,	2.31098,	0.35167,	0.552625,	0.401909,	0.251193,	0.100477,	0.075358,	0.175835,	0.0502386,	0.602864,	0.577744,	2.9892,	0.577744,	0.0502386,	0.125597,	0.703341,	1.02989,	1.28109,	1.93419,	0.452148,	0.175835,	0.100477,	0.678222,	0.401909,	0.527506,	0.226074,	0.527506,	0,	0.37679,	0.0251193,	0.678222,	1.48204,	0.326551,	0.100477,	1.00477,	0.075358,	0.200955,	2.63753,	1.73323,	2.16026,	0.0251193,	3.44135,	0.552625,	2.56217,	0.854057,	0.0251193,	1.60764,	1.20573,	0.778699,	2.3361,	0.125597,	0.200955,	0.175835,	0.226074,	0.075358,	0.35167,	0.276313,	0.0502386,	0.100477,	0.0251193,	0.100477,	0.602864,	1.90907,	
H7-hESC,	0.0969462,	28.5749,	1.7208,	3.07804,	3.12651,	0.169656,	0.339312,	0.387785,	0.363548,	0.0242365,	0.387785,	0.412021,	1.59961,	0.218129,	0.751333,	0.63015,	0.678623,	0.339312,	1.67232,	0.242365,	0.969462,	0.605914,	0.77557,	1.09064,	0.339312,	0.266602,	0.242365,	0.242365,	0.0969462,	0.315075,	0,	1.47843,	0.727096,	0.63015,	0.896752,	0.799806,	0.412021,	2.39942,	0.315075,	0.387785,	0.533204,	0.436258,	0.169656,	0.193892,	0.0484731,	0.0484731,	0.872516,	0.654387,	2.54484,	0.896752,	0.193892,	0.0727096,	1.18759,	0.993698,	1.59961,	1.86621,	0.363548,	0.218129,	0.218129,	0.484731,	0.218129,	0.848279,	0.339312,	0.242365,	0.0242365,	0.169656,	0,	0.363548,	1.42996,	0.266602,	0.218129,	0.799806,	0.0242365,	0.121183,	1.57538,	1.81774,	1.74503,	0.0727096,	3.53854,	0.533204,	3.49006,	0.751333,	0,	2.03587,	1.23606,	0.799806,	1.64809,	0.218129,	0.193892,	0.218129,	0.193892,	0.145419,	0.605914,	0.339312,	0.0242365,	0.0484731,	0.0484731,	0.145419,	0.63015,	1.47843,	
HA-h,	0.204685,	28.0646,	2.50171,	2.84285,	2.75188,	0.295656,	0.523084,	0.750512,	0.386627,	0.0909711,	0.363884,	0.614055,	1.25085,	0.181942,	0.636798,	0.568569,	0.614055,	0.454856,	1.54651,	0.204685,	0.864226,	0.636798,	0.886968,	0.864226,	0.705026,	0.523084,	0.181942,	0.432113,	0.227428,	0.318399,	0.113714,	1.31908,	0.841483,	1.13714,	0.432113,	0.523084,	0.40937,	1.36457,	0.614055,	0.454856,	0.909711,	0.500341,	0.159199,	0.295656,	0.272913,	0.0454856,	1.1144,	0.614055,	2.16056,	1.06891,	0.204685,	0,	1.02343,	1.02343,	2.38799,	1.61474,	0.272913,	0.227428,	0.227428,	0.523084,	0.432113,	0.909711,	0.318399,	0.500341,	0.113714,	0.295656,	0.181942,	0.614055,	1.09165,	0.886968,	0.272913,	0.568569,	0.0454856,	0.227428,	2.18331,	1.70571,	1.25085,	0.0227428,	1.81942,	0.682283,	3.1385,	0.682283,	0.136457,	0.81874,	2.16056,	0.750512,	1.22811,	0.204685,	0.272913,	0.204685,	0.386627,	0.0682283,	0.477598,	0.500341,	0.0682283,	0.0682283,	0.0682283,	0.0454856,	0.432113,	1.81942,	
HAEpiC,	0.097229,	31.964,	1.94458,	2.62518,	3.96208,	0.145843,	0.315994,	0.364609,	0.218765,	0.097229,	0.340301,	0.680603,	1.26398,	0.243072,	0.486145,	0.559067,	0.43753,	0.43753,	1.62859,	0.121536,	1.3369,	0.559067,	0.850753,	0.947983,	0.218765,	0.315994,	0.243072,	0.243072,	0.243072,	0.218765,	0.194458,	2.11473,	0.486145,	0.559067,	0.802139,	0.631988,	0.243072,	2.6738,	0.364609,	0.291687,	0.753525,	0.291687,	0.0486145,	0.170151,	0.121536,	0.0486145,	1.06952,	0.388916,	2.40642,	0.850753,	0.121536,	0,	1.06952,	1.31259,	1.77443,	1.57997,	0.413223,	0.097229,	0.0486145,	0.43753,	0.26738,	0.631988,	0.218765,	0.413223,	0.0243072,	0.243072,	0.0243072,	0.461838,	1.43413,	0.291687,	0.243072,	0.364609,	0.0486145,	0.243072,	1.62859,	2.13904,	1.70151,	0,	2.60088,	0.43753,	3.0141,	0.607681,	0,	1.50705,	1.26398,	0.947983,	1.75012,	0.097229,	0.0729217,	0.26738,	0.145843,	0.0729217,	0.26738,	0.218765,	0.097229,	0.0486145,	0.0243072,	0.0243072,	0.461838,	1.21536,	
HCF,	0.260602,	30.7747,	2.10851,	2.15589,	3.15091,	0.189529,	0.355366,	0.355366,	0.379057,	0.0236911,	0.568586,	0.687041,	1.53992,	0.260602,	0.592277,	0.497512,	0.66335,	0.236911,	1.87159,	0.284293,	1.30301,	0.639659,	0.734423,	1.16086,	0.568586,	0.331675,	0.236911,	0.355366,	0.142146,	0.284293,	0.0947643,	1.37408,	0.544895,	0.805496,	0.592277,	0.66335,	0.189529,	1.82421,	0.331675,	0.331675,	0.687041,	0.284293,	0.118455,	0.307984,	0.165837,	0.0473821,	0.947643,	0.592277,	2.96138,	1.01872,	0.189529,	0.0947643,	1.20824,	1.18455,	1.70576,	1.65837,	0.307984,	0.189529,	0.0710732,	0.568586,	0.402748,	0.758114,	0.21322,	0.355366,	0.0947643,	0.284293,	0.165837,	0.331675,	1.3267,	0.521204,	0.402748,	0.615968,	0.0710732,	0.236911,	1.61099,	1.68207,	1.30301,	0,	2.20327,	0.426439,	3.12722,	0.734423,	0.0236911,	1.42146,	1.65837,	0.852879,	1.68207,	0.118455,	0.142146,	0.0947643,	0.331675,	0.0473821,	0.379057,	0.142146,	0.118455,	0.0947643,	0.0710732,	0.142146,	0.615968,	1.42146,	
HCM,	0.120192,	31.5385,	1.65865,	2.5,	3.4375,	0.144231,	0.504808,	0.432692,	0.384615,	0,	0.288462,	0.552885,	1.51442,	0.360577,	0.528846,	0.504808,	0.745192,	0.360577,	1.73077,	0.168269,	0.889423,	0.721154,	1.08173,	1.10577,	0.528846,	0.480769,	0.120192,	0.168269,	0.192308,	0.120192,	0.0480769,	1.46635,	0.552885,	1.00962,	0.600962,	0.552885,	0.264423,	2.16346,	0.432692,	0.432692,	0.721154,	0.336538,	0.120192,	0.240385,	0.0961538,	0.0961538,	0.841346,	0.456731,	2.37981,	0.841346,	0.168269,	0.0721154,	0.913462,	1.05769,	1.75481,	1.77885,	0.697115,	0.120192,	0.0480769,	0.408654,	0.192308,	0.865385,	0.408654,	0.408654,	0.0240385,	0.192308,	0.120192,	0.360577,	1.05769,	0.456731,	0.3125,	0.625,	0.144231,	0.192308,	1.65865,	1.875,	1.34615,	0.0240385,	2.23558,	0.697115,	3.07692,	0.649038,	0.0480769,	1.32212,	1.80288,	0.865385,	1.70673,	0.216346,	0.264423,	0.120192,	0.264423,	0.0240385,	0.336538,	0.408654,	0.0961538,	0.0480769,	0.0240385,	0.0721154,	0.3125,	1.58654,	
