cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.153061,	20.1276,	1.19898,	0.841837,	1.09694,	0.892857,	0.663265,	0.612245,	0.382653,	0.153061,	0.255102,	3.46939,	1.35204,	0.357143,	0.637755,	1.09694,	0.816326,	0.0765306,	1.55612,	0.918367,	1.88776,	1.37755,	0.306122,	1.96429,	0.178571,	0.484694,	1.32653,	0.357143,	0.255102,	0.459184,	1.25,	0.688775,	0.204082,	2.01531,	1.5051,	0.255102,	0.841837,	4.77041,	0.229592,	1.09694,	1.19898,	1.02041,	0.459184,	0.484694,	0.510204,	0.306122,	0.178571,	0.255102,	1.04592,	0.790816,	0.535714,	0.459184,	0.918367,	3.29082,	0.943878,	0.637755,	0.102041,	0.255102,	0,	1.22449,	0.280612,	0.561224,	0.943878,	0.714286,	0.204082,	0.510204,	0,	1.9898,	1.35204,	0.102041,	0.484694,	2.16837,	0.178571,	1.32653,	4.0051,	0.688775,	1.07143,	0.510204,	1.47959,	0.153061,	0.433673,	0.357143,	0.0510204,	0.357143,	0.510204,	1.27551,	1.40306,	0.0255102,	1.47959,	0.204082,	0.127551,	0,	0.255102,	0.586735,	0.255102,	0.0255102,	0.127551,	0.127551,	0.331633,	0.612245,	
AoAF,	0.0952381,	16.2143,	1.42857,	0.857143,	0.833333,	1.19048,	1.07143,	0.857143,	0.452381,	0.214286,	0.238095,	2.97619,	1.09524,	0.452381,	0.714286,	1.07143,	0.571429,	0.0952381,	1.54762,	0.904762,	2.21429,	1.33333,	0.214286,	1.85714,	0,	0.690476,	1.59524,	0.309524,	0.380952,	0.52381,	0.952381,	0.690476,	0.142857,	1.92857,	1.59524,	0.261905,	0.857143,	4.38095,	0.261905,	1.21429,	1.54762,	1.61905,	0.666667,	0.714286,	0.428571,	0.190476,	0.119048,	0.238095,	0.666667,	0.595238,	0.666667,	0.52381,	0.571429,	3.69048,	1.11905,	0.595238,	0.166667,	0.547619,	0.0238095,	1.5,	0.214286,	0.5,	0.666667,	1.07143,	0.0714286,	0.476191,	0.0238095,	1.90476,	0.97619,	0.047619,	0.642857,	1.85714,	0.047619,	2.21429,	4.54762,	1,	0.809524,	0.452381,	2.2619,	0.190476,	0.547619,	0.190476,	0.0238095,	0.738095,	0.595238,	1.40476,	1.5,	0,	1.95238,	0.142857,	0.119048,	0.0714286,	0.309524,	0.52381,	0.238095,	0.047619,	0.119048,	0.166667,	0.5,	0.357143,	
CD20+,	0.0863807,	27.0659,	1.3245,	0.806219,	1.52606,	0.633458,	0.374316,	0.259142,	0.345523,	0.0863807,	0.230348,	3.51281,	1.58365,	0.230348,	0.230348,	1.55485,	0.604665,	0.115174,	0.978981,	0.575871,	1.12295,	1.00777,	0.345523,	1.92917,	0.0863807,	0.259142,	0.460697,	0.40311,	0.431903,	0.460697,	0.921394,	0.575871,	0.172761,	2.47625,	1.09415,	0.0863807,	0.575871,	5.61474,	0.287935,	1.46847,	0.316729,	0.921394,	0.172761,	0.40311,	0.259142,	0.0863807,	0.0287936,	0.143968,	1.67003,	0.777426,	0.460697,	0.345523,	0.316729,	2.62021,	0.547077,	0.518284,	0.143968,	0.201555,	0,	1.15174,	0.316729,	0.460697,	0.719839,	1.06536,	0.115174,	0.374316,	0,	1.49726,	1.95796,	0.0863807,	0.374316,	2.62021,	0,	0.662252,	3.36885,	0.374316,	2.04434,	0.662252,	1.64123,	0.0863807,	0.287935,	0.201555,	0,	0.40311,	0.230348,	1.3245,	1.61244,	0.0287936,	1.58365,	0.287935,	0.0863807,	0.143968,	0.287935,	0.633458,	0.172761,	0.0863807,	0.0863807,	0.0575871,	0.40311,	0.662252,	
GM06990,	0.159046,	29.7416,	3.53877,	0.715706,	3.49901,	0.437376,	0.238569,	0.516899,	0.159046,	0.0397614,	0.198807,	2.10736,	2.58449,	0.516899,	0.198807,	1.70974,	0.397614,	0.318091,	0.357853,	0.357853,	0.238569,	0.397614,	0.437376,	1.39165,	0.119284,	0.27833,	0.159046,	1.07356,	0.397614,	0.357853,	0.119284,	0.596421,	0.119284,	2.86282,	0.238569,	0.636183,	0.437376,	1.5507,	0.636183,	1.7495,	0.198807,	0.516899,	0.119284,	0.119284,	0.0795229,	0.0397614,	0.159046,	0.318091,	2.22664,	0.238569,	0,	0.159046,	0.198807,	1.39165,	0.397614,	1.11332,	0.0795229,	0.516899,	0.198807,	0.357853,	0.357853,	0.994036,	0.0397614,	0.516899,	0.0397614,	0.55666,	0.0795229,	1.0338,	2.82306,	0.596421,	0.437376,	1.98807,	0,	0.437376,	3.14115,	0.27833,	1.51093,	0,	3.10139,	0.477137,	1.07356,	0.755467,	0.198807,	0.198807,	0.874752,	1.47117,	1.47117,	0.0397614,	0.437376,	0.198807,	0.0795229,	0.0795229,	0.397614,	0.159046,	0.0795229,	0.198807,	0,	0.238569,	0.238569,	3.37972,	
GM12865,	0.136537,	23.621,	1.25614,	0.464227,	1.69306,	0.600765,	1.01038,	0.32769,	0.409612,	0.10923,	0.354997,	3.19498,	1.88422,	0.300382,	0.491535,	1.39268,	0.518842,	0.191152,	1.17422,	0.628072,	0.873839,	0.955762,	0.245767,	1.74768,	0.163845,	0.354997,	1.0923,	0.382305,	0.21846,	0.518842,	0.573457,	0.32769,	0.245767,	2.81267,	1.52922,	0.191152,	0.873839,	5.8438,	0.191152,	1.50191,	0.737302,	1.20153,	0.191152,	0.464227,	0.43692,	0.300382,	0.10923,	0.10923,	1.39268,	0.43692,	0.21846,	0.354997,	0.518842,	3.03113,	0.573457,	0.682687,	0.10923,	0.300382,	0,	1.4473,	0.245767,	0.791917,	0.65538,	0.791917,	0.191152,	0.382305,	0.0273075,	2.04806,	1.41999,	0.054615,	0.76461,	2.23921,	0.136537,	1.0923,	3.87766,	0.43692,	1.25614,	0.43692,	2.34844,	0.054615,	0.382305,	0.32769,	0,	0.32769,	0.273075,	1.31076,	1.66576,	0.0273075,	1.36537,	0.191152,	0,	0.0273075,	0.245767,	0.354997,	0.136537,	0.10923,	0.054615,	0.0273075,	0.32769,	0.573457,	
H7-hESC,	0.0779423,	19.7973,	1.58483,	0.649519,	0.987269,	1.27306,	1.03923,	0.961289,	0.441673,	0.181865,	0.207846,	2.90985,	1.2211,	0.259808,	0.467654,	1.24708,	0.519616,	0.129904,	1.01325,	0.571577,	1.76669,	1.14315,	0.103923,	2.18238,	0.103923,	0.467654,	1.32502,	0.363731,	0.285789,	0.753442,	0.831385,	0.571577,	0.233827,	2.23435,	1.27306,	0.181865,	0.753442,	4.31281,	0.441673,	1.42894,	1.11717,	1.03923,	0.259808,	0.545596,	0.363731,	0.259808,	0.181865,	0.129904,	0.831385,	0.779423,	0.363731,	0.285789,	0.597558,	3.01377,	1.06521,	0.545596,	0.207846,	0.571577,	0.0259808,	1.66277,	0.155885,	0.441673,	0.571577,	1.2211,	0.181865,	0.545596,	0.0519615,	2.00052,	1.4809,	0.0519615,	0.597558,	2.28631,	0.155885,	1.97454,	4.41673,	0.571577,	1.29904,	0.259808,	1.92258,	0.129904,	0.597558,	0.259808,	0.0259808,	0.701481,	0.545596,	1.68875,	1.66277,	0.0259808,	1.58483,	0.259808,	0,	0.0519615,	0.259808,	0.6755,	0.129904,	0.0519615,	0.103923,	0.207846,	0.259808,	0.441673,	
HA-h,	0.189439,	15.8892,	1.61023,	1.44447,	1.08927,	1.11295,	0.639356,	0.497277,	0.805115,	0.165759,	0.307838,	3.24414,	1.16031,	0.497277,	0.994554,	0.994554,	0.781435,	0.284158,	1.23135,	0.639356,	1.96543,	1.61023,	0.331518,	1.34975,	0.189439,	0.686716,	0.899834,	0.568316,	0.497277,	0.473597,	2.01279,	0.852475,	0.402557,	2.22591,	1.30239,	0.307838,	0.923514,	4.92541,	0.520957,	1.06559,	1.11295,	0.923514,	0.568316,	0.663036,	0.449917,	0.378878,	0.189439,	0.189439,	0.805115,	0.591996,	0.520957,	0.686716,	0.426237,	3.0547,	1.27871,	0.615676,	0.165759,	0.260478,	0.0710395,	0.923514,	0.260478,	0.757755,	1.34975,	1.27871,	0.402557,	0.757755,	0.0236798,	1.56287,	1.27871,	0.165759,	0.686716,	1.42079,	0.236798,	0.994554,	2.74686,	1.04191,	1.42079,	0.828795,	1.27871,	0.118399,	0.568316,	0.284158,	0.0947194,	0.402557,	0.591996,	1.84703,	1.91807,	0.0947194,	1.70495,	0.426237,	0.213119,	0.189439,	0.307838,	0.591996,	0.307838,	0.118399,	0.0947194,	0.307838,	0.449917,	0.307838,	
HAEpiC,	0.049776,	18.3922,	1.41862,	0.796416,	1.11996,	1.59283,	0.920856,	0.74664,	0.37332,	0.199104,	0.174216,	2.88701,	1.19462,	0.273768,	0.920856,	1.02041,	0.970632,	0.12444,	1.36884,	0.945744,	2.2897,	1.31906,	0.12444,	2.0657,	0.074664,	0.597312,	1.81682,	0.323544,	0.398208,	0.597312,	0.970632,	0.771528,	0.199104,	1.94126,	0.920856,	0.24888,	1.11996,	4.00697,	0.323544,	1.49328,	1.4435,	1.4435,	0.447984,	0.970632,	0.572424,	0.174216,	0.24888,	0.24888,	0.99552,	0.970632,	0.273768,	0.522648,	0.87108,	3.40966,	1.16974,	0.597312,	0.12444,	0.398208,	0,	1.46839,	0.149328,	0.647088,	0.696864,	0.821304,	0.12444,	0.597312,	0,	2.0657,	0.970632,	0.024888,	0.87108,	1.89149,	0.074664,	1.26929,	3.03634,	1.2444,	1.14485,	0.273768,	1.31906,	0.074664,	0.447984,	0.24888,	0.049776,	0.771528,	0.37332,	1.59283,	1.41862,	0.049776,	1.56794,	0.348432,	0.12444,	0.074664,	0.223992,	0.647088,	0.149328,	0.099552,	0.24888,	0.174216,	0.273768,	0.37332,	
HCF,	0.099231,	17.4398,	1.06673,	1.14116,	0.843463,	0.843463,	0.818655,	0.843463,	0.421732,	0.0744232,	0.322501,	2.70404,	1.14116,	0.22327,	0.719424,	1.06673,	0.917886,	0.0744232,	1.38923,	0.694617,	2.5552,	2.2327,	0.198462,	2.10866,	0.173654,	0.669809,	1.66212,	0.347308,	0.570578,	0.620193,	1.24039,	0.76904,	0.22327,	1.68693,	1.5877,	0.173654,	0.719424,	5.1352,	0.22327,	1.24039,	1.11635,	1.41404,	0.54577,	0.496155,	0.471347,	0.372116,	0.173654,	0.173654,	1.11635,	0.669809,	0.347308,	0.620193,	0.620193,	3.77078,	1.14116,	0.744232,	0.297693,	0.297693,	0,	1.56289,	0.198462,	0.54577,	0.917886,	0.843463,	0.248077,	0.372116,	0.0496155,	2.03423,	0.99231,	0,	0.620193,	1.73654,	0.099231,	1.73654,	3.5227,	0.868271,	0.868271,	0.595386,	1.36443,	0.099231,	0.520963,	0.0744232,	0.0496155,	0.595386,	0.595386,	1.51327,	1.66212,	0.0744232,	1.26519,	0.198462,	0.173654,	0.124039,	0.421732,	0.570578,	0.396924,	0.099231,	0.124039,	0.198462,	0.347308,	0.347308,	
HCM,	0.0508647,	19.3286,	1.29705,	1.24619,	1.11902,	1.19532,	1.24619,	0.457782,	0.610376,	0.254323,	0.406918,	3.07731,	1.42421,	0.559512,	0.610376,	1.19532,	0.839268,	0.203459,	1.67854,	0.762971,	2.16175,	1.6531,	0.101729,	1.78026,	0.0508647,	0.737538,	1.60224,	0.43235,	0.254323,	0.534079,	1.01729,	0.813835,	0.178026,	1.95829,	1.19532,	0.152594,	0.686673,	3.68769,	0.279756,	1.29705,	1.37335,	1.39878,	0.254323,	0.762971,	0.508647,	0.305188,	0.0508647,	0.152594,	0.8647,	0.813835,	0.483215,	0.635809,	0.762971,	3.07731,	1.14446,	0.737538,	0.127162,	0.330621,	0,	1.39878,	0.152594,	0.839268,	0.8647,	1.11902,	0.101729,	0.661241,	0,	2.33978,	1.16989,	0.0254324,	0.686673,	2.08545,	0.152594,	1.19532,	3.10275,	0.8647,	0.712106,	0.483215,	1.39878,	0.127162,	0.228891,	0.228891,	0.076297,	0.584944,	0.610376,	1.27162,	1.62767,	0.076297,	1.57681,	0.279756,	0.127162,	0.0508647,	0.178026,	0.534079,	0.178026,	0.0508647,	0.152594,	0.152594,	0.254323,	0.356053,	
