cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.133038,	23.592,	0.620843,	1.81818,	0.842572,	1.10865,	0.177384,	2.1286,	0.354767,	0.443459,	0.0886918,	0.665188,	0.842572,	1.55211,	0.443459,	0.620843,	0.487805,	0.221729,	0.266075,	0.0886918,	0.798226,	0.443459,	0.310421,	0.399113,	0.221729,	0.399113,	0.576497,	0.221729,	0.221729,	0.0443459,	0.310421,	5.94235,	0.177384,	1.41907,	0.0886918,	0.886918,	4.56763,	0.620843,	0.75388,	0.399113,	0.798226,	2.35033,	1.01996,	0.354767,	0,	0.399113,	0.221729,	0.0443459,	0.266075,	0.266075,	0.0443459,	0.0886918,	0.177384,	2.03991,	3.68071,	1.46341,	0,	1.15299,	0.0886918,	1.19734,	0.532151,	0.665188,	1.41907,	0.221729,	0.532151,	0.97561,	0.0443459,	0.886918,	2.7051,	0.221729,	0.709534,	1.55211,	0.842572,	0.221729,	1.24169,	0.75388,	2.1286,	0.0886918,	1.15299,	0.221729,	1.33038,	0.266075,	0.0443459,	1.10865,	1.0643,	2.61641,	1.37472,	0.0886918,	0.709534,	0.399113,	0.221729,	0.133038,	0,	0.487805,	0.0886918,	0.0443459,	1.15299,	0.0443459,	0.133038,	0.620843,	
AoAF,	0.0880669,	26.4201,	0.572435,	0.880669,	0.880669,	1.321,	0.176134,	3.12638,	0.220167,	0.484368,	0,	0.748569,	0.352268,	2.20167,	0.264201,	0.484368,	0.396301,	0.0440335,	0.1321,	0.0880669,	0.748569,	0.220167,	0.308234,	0.440335,	0.352268,	0.528402,	0.484368,	0,	0.0440335,	0.0880669,	0.264201,	5.90048,	0.176134,	1.76134,	0.220167,	0.792602,	5.19595,	0.440335,	0.836636,	0.264201,	1.1889,	2.15764,	1.1889,	0.220167,	0.0880669,	0.220167,	0.308234,	0.0440335,	0.396301,	0.308234,	0.0440335,	0,	0.0880669,	1.93747,	3.74284,	1.10084,	0.0440335,	0.616469,	0.1321,	0.748569,	0.704535,	0.396301,	0.704535,	0.0440335,	0.264201,	1.4531,	0,	0.352268,	3.25848,	0.0880669,	0.484368,	1.67327,	1.0568,	0.176134,	1.89344,	0.572435,	2.50991,	0.0440335,	0.792602,	0.1321,	1.40907,	0.1321,	0.1321,	0.792602,	0.704535,	2.90621,	1.27697,	0.1321,	0.704535,	0.352268,	0.176134,	0,	0,	0.352268,	0.0880669,	0.0440335,	0.968736,	0,	0.176134,	0.528402,	
CD20+,	0.354453,	24.0585,	0.841825,	1.46212,	0.974745,	1.24058,	0.398759,	2.08241,	0.664599,	0.708906,	0.310146,	0.664599,	0.664599,	2.12672,	0.310146,	0.841825,	0.310146,	0.177226,	0.177226,	0.0886132,	0.797519,	0.354453,	0.841825,	0.398759,	0.443066,	0.487373,	0.620292,	0.310146,	0.13292,	0.0443066,	0.443066,	5.27249,	0.398759,	0.974745,	0.177226,	0.708906,	3.01285,	0.797519,	1.24058,	0.354453,	0.974745,	2.34825,	0.620292,	0.13292,	0.0886132,	0.398759,	0.221533,	0,	0.575986,	0.443066,	0.13292,	0.0443066,	0.0886132,	2.30394,	3.23438,	1.63934,	0,	0.620292,	0.0886132,	0.664599,	0.930439,	0.443066,	1.46212,	0.398759,	0.708906,	1.28489,	0.0443066,	0.620292,	1.86088,	0.310146,	0.708906,	1.24058,	1.28489,	0.310146,	1.15197,	0.487373,	2.6584,	0.0443066,	1.24058,	0.26584,	1.3735,	0.487373,	0,	0.930439,	1.50642,	1.19628,	1.3735,	0.13292,	0.575986,	0.221533,	0.0443066,	0.0443066,	0,	0.886132,	0.0443066,	0.0443066,	1.28489,	0,	0.398759,	1.10767,	
GM06990,	0.189125,	25.3428,	1.13475,	1.65485,	1.18203,	0.0472813,	1.04019,	0.661939,	0.236407,	0.236407,	0.283688,	0.378251,	0.945626,	0.378251,	0.472813,	0.803783,	0.803783,	0.803783,	0.614657,	0.189125,	0.851064,	1.18203,	0.0472813,	1.04019,	1.22931,	1.79669,	0.851064,	0.472813,	0.236407,	0.425532,	0.283688,	0.898345,	0.330969,	1.46572,	0.425532,	0.141844,	0.425532,	0.756501,	0.520095,	0.425532,	2.64775,	2.0331,	0.189125,	1.2766,	0.0472813,	0.330969,	0.330969,	0.661939,	1.41844,	0.567376,	0.141844,	0.189125,	1.46572,	1.08747,	3.49882,	1.04019,	0.661939,	0.425532,	0.141844,	0.330969,	0.567376,	0.378251,	0.0945626,	0.141844,	0.0472813,	0.70922,	0.0472813,	0.992908,	0.992908,	0.0945626,	0.141844,	1.84397,	0.141844,	0.283688,	6.66667,	0.425532,	0.520095,	0.378251,	1.513,	1.04019,	1.513,	0.236407,	0.0945626,	0.0945626,	3.12057,	0.992908,	2.7896,	0.330969,	0.661939,	0.756501,	0.0945626,	0.0472813,	0.378251,	0.425532,	0.472813,	0.0472813,	0.0472813,	0.283688,	0.236407,	0.661939,	
GM12865,	0.0440529,	24.7577,	0.660793,	1.01322,	1.18943,	1.67401,	0.176211,	2.77533,	0.220264,	0.704846,	0.132159,	0.881057,	0.484581,	2.3348,	0.440529,	0.748899,	0.440529,	0.132159,	0.0881057,	0.176211,	0.396476,	0.264317,	0.660793,	0.528634,	0.30837,	0.61674,	0.572687,	0.176211,	0.176211,	0.176211,	0.484581,	6.1674,	0.132159,	1.54185,	0.30837,	0.881057,	5.02203,	0.484581,	0.748899,	0.30837,	1.01322,	1.85022,	0.792952,	0.132159,	0.0881057,	0.220264,	0.132159,	0.132159,	0.440529,	0.264317,	0.0881057,	0.264317,	0.220264,	1.80617,	3.61233,	1.10132,	0.0440529,	0.704846,	0.0881057,	0.61674,	0.61674,	0.264317,	0.92511,	0.132159,	0.528634,	1.27753,	0.0440529,	0.792952,	3.21586,	0.0440529,	1.01322,	1.4978,	0.792952,	0.352423,	1.27753,	0.881057,	2.02643,	0,	1.01322,	0.132159,	1.23348,	0.0881057,	0.0881057,	1.01322,	1.18943,	2.15859,	1.05727,	0.132159,	0.660793,	0.352423,	0.0440529,	0.132159,	0,	0.396476,	0,	0.0440529,	1.40969,	0,	0.264317,	0.264317,	
H7-hESC,	0,	25.0762,	0.522421,	0.957771,	1.43666,	1.7414,	0.0870701,	3.70048,	0.522421,	0.696561,	0.130605,	0.522421,	0.478886,	1.34959,	0.522421,	0.565956,	0.609491,	0.130605,	0.0870701,	0.0870701,	0.740096,	0.26121,	0.391815,	0.478886,	0.26121,	0.653026,	0.304745,	0.043535,	0.043535,	0.043535,	0.783631,	5.22421,	0.217675,	1.30605,	0.043535,	0.696561,	5.13714,	0.17414,	0.827166,	0.26121,	1.34959,	2.35089,	0.914236,	0.522421,	0,	0.130605,	0.130605,	0.130605,	0.217675,	0.391815,	0.130605,	0.130605,	0.17414,	1.87201,	4.04876,	1.17545,	0,	0.870701,	0.130605,	1.08838,	0.827166,	0.43535,	1.08838,	0.26121,	0.304745,	1.34959,	0.17414,	0.522421,	2.4815,	0.043535,	0.696561,	1.69787,	0.827166,	0.17414,	1.87201,	0.957771,	1.87201,	0,	1.30605,	0.130605,	1.04484,	0.217675,	0,	0.957771,	0.653026,	2.39443,	1.48019,	0.130605,	0.609491,	0.696561,	0.0870701,	0.17414,	0,	0.217675,	0,	0.043535,	0.653026,	0.0870701,	0.130605,	0.522421,	
HA-h,	0.553899,	19.1308,	0.937367,	1.02258,	0.809544,	1.57648,	0.255646,	1.87473,	0.298253,	0.596506,	0.17043,	0.724329,	0.639114,	1.61909,	0.468683,	0.340861,	0.468683,	0.213038,	0.0852152,	0.255646,	1.02258,	0.298253,	0.766936,	0.468683,	0.766936,	0.766936,	0.639114,	0.213038,	0.127823,	0.17043,	0.596506,	6.39114,	0.213038,	0.852152,	0.0852152,	1.19301,	3.87729,	0.511291,	1.49127,	0.340861,	1.06519,	2.47124,	0.852152,	0.255646,	0.127823,	0.468683,	0.426076,	0.0426076,	0.298253,	0.468683,	0.127823,	0.0426076,	0.17043,	1.49127,	4.43119,	1.44866,	0.0426076,	0.724329,	0.426076,	1.06519,	0.596506,	0.553899,	1.36344,	0.0852152,	1.1078,	1.23562,	0.127823,	0.553899,	1.49127,	0.213038,	1.27823,	0.894759,	1.87473,	0.298253,	1.19301,	1.23562,	3.02514,	0,	0.937367,	0.255646,	1.49127,	0.468683,	0.0852152,	1.32084,	1.1504,	1.36344,	1.61909,	0,	0.383468,	0.255646,	0.298253,	0.0852152,	0.0426076,	0.809544,	0.0852152,	0.0426076,	1.53387,	0.127823,	0.724329,	0.511291,	
HAEpiC,	0.133749,	25.0111,	0.757914,	1.11458,	1.15916,	2.27374,	0.222916,	2.05082,	0.356665,	0.668747,	0.0445831,	1.02541,	0.84708,	1.87249,	0.668747,	0.624164,	0.624164,	0.267499,	0.222916,	0.222916,	0.757914,	0.624164,	0.267499,	0.401248,	0.133749,	0.356665,	0.490415,	0,	0.267499,	0.178333,	0.445831,	6.19706,	0.312082,	1.47124,	0.0891663,	0.668747,	5.0379,	0.222916,	0.579581,	0.356665,	1.47124,	1.24833,	0.84708,	0.133749,	0.0445831,	0.312082,	0.0891663,	0,	0.312082,	0.445831,	0,	0,	0.133749,	1.91708,	2.49666,	1.07,	0,	1.33749,	0.0891663,	0.668747,	0.490415,	0.445831,	0.891663,	0.178333,	0.222916,	1.07,	0.0445831,	0.802497,	3.20999,	0,	1.02541,	1.24833,	0.71333,	0.222916,	1.78333,	1.29291,	1.33749,	0,	0.802497,	0.178333,	0.757914,	0.178333,	0.0445831,	1.42666,	1.51583,	2.71957,	1.96166,	0.0445831,	0.757914,	0.668747,	0.133749,	0.0445831,	0,	0.445831,	0.0445831,	0.0445831,	0.71333,	0.0891663,	0.312082,	0.490415,	
HCF,	0.263852,	23.131,	0.57168,	0.835532,	1.01143,	1.45119,	0.175901,	2.02287,	0.219877,	0.703606,	0.0439754,	0.923483,	0.747581,	1.93492,	0.351803,	0.527704,	0.351803,	0.0879507,	0.0439754,	0.131926,	0.791557,	0.307828,	0.703606,	0.395778,	0.351803,	0.395778,	0.483729,	0.263852,	0.0879507,	0.175901,	0.57168,	5.8927,	0.219877,	1.31926,	0.131926,	1.14336,	5.93668,	0.395778,	0.659631,	0.747581,	1.05541,	1.80299,	0.439754,	0.175901,	0.219877,	0.351803,	0.0879507,	0.131926,	0.263852,	0.219877,	0.131926,	0,	0.0879507,	1.67106,	4.04573,	1.14336,	0.0879507,	1.14336,	0,	0.615655,	0.791557,	0.219877,	1.31926,	0.131926,	0.791557,	1.14336,	0.0439754,	0.527704,	2.33069,	0.175901,	0.527704,	1.62709,	1.31926,	0.175901,	1.40721,	0.791557,	2.8584,	0,	1.31926,	0.131926,	1.36324,	0.131926,	0,	1.18734,	1.18734,	2.37467,	1.53914,	0.175901,	0.351803,	0.527704,	0.175901,	0.0439754,	0,	0.527704,	0,	0.0439754,	1.49516,	0.0439754,	0.439754,	0.57168,	
