cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.27088,	19.1422,	2.97968,	1.53499,	0.857788,	0.902935,	0.27088,	0.586907,	0.812641,	0.180587,	0.180587,	4.51467,	4.65011,	0.27088,	1.21896,	0.541761,	0.857788,	0.225734,	0.496614,	0.316027,	0.27088,	1.17381,	0.27088,	1.03837,	0.451467,	0.406321,	1.4447,	0.361174,	0.451467,	0.902935,	0.722348,	1.3544,	1.30926,	1.48984,	0.225734,	0.225734,	0.586907,	0.812641,	0.722348,	1.30926,	0.632054,	0.767494,	0.406321,	0.361174,	0.0451467,	0.27088,	0.180587,	0.993228,	3.06998,	0.361174,	0.0451467,	0.451467,	1.3544,	4.37923,	1.08352,	0.586907,	0.316027,	0.541761,	0.316027,	2.07675,	0.180587,	0.316027,	0.586907,	0.857788,	0.857788,	0.541761,	0,	1.12867,	1.39955,	0.0451467,	0.316027,	2.43792,	0.451467,	0.767494,	1.98646,	0.225734,	2.30248,	0.27088,	1.21896,	0.27088,	0.406321,	0.316027,	0.13544,	0.722348,	0.857788,	0.586907,	1.4447,	0.0902935,	0.361174,	0.0902935,	0.0451467,	0.0902935,	1.26411,	0.496614,	0.180587,	0.225734,	0.0902935,	0.0902935,	0.451467,	1.30926,	
AoAF,	0.084674,	16.7655,	2.54022,	1.65114,	1.31245,	1.18544,	0.296359,	0.635055,	0.550381,	0.127011,	0.211685,	3.34462,	4.31837,	0.889077,	1.56647,	0.42337,	0.719729,	0.381033,	0.338696,	0.338696,	0.042337,	1.18544,	0.508044,	0.508044,	0.296359,	0.296359,	1.35478,	0.677392,	0.508044,	0.465707,	0.42337,	1.22777,	1.22777,	1.27011,	0.592718,	0.508044,	0.762066,	0.84674,	0.465707,	0.889077,	0.338696,	0.931414,	0.508044,	0.465707,	0,	0.296359,	0.254022,	1.35478,	2.79424,	0.381033,	0,	0.338696,	1.60881,	5.08044,	0.550381,	1.05843,	0.254022,	0.296359,	0.381033,	2.75191,	0.508044,	0.508044,	0.296359,	0.635055,	0.762066,	0.719729,	0.042337,	0.889077,	1.69348,	0.296359,	0.211685,	2.2862,	0.42337,	0.84674,	3.04826,	0.127011,	2.07451,	0.254022,	1.31245,	0.508044,	0.465707,	0.338696,	0.042337,	1.65114,	1.27011,	0.762066,	2.07451,	0.042337,	0.381033,	0.296359,	0.042337,	0.084674,	1.01609,	0.381033,	0.042337,	0.254022,	0.465707,	0.042337,	0.211685,	1.31245,	
CD20+,	0.426945,	21.7742,	2.70398,	1.04364,	1.18596,	0.474383,	0.474383,	0.28463,	0.948767,	0.189753,	0.0474383,	3.32068,	3.70019,	0.474383,	0.759013,	0.806452,	0.948767,	0.189753,	0.379507,	0.28463,	0.426945,	0.806452,	0.189753,	1.2334,	0.142315,	0.142315,	0.948767,	0.332068,	0.521822,	0.664137,	0.189753,	1.28083,	0.996205,	2.13472,	0.996205,	0.332068,	0.806452,	1.18596,	0.426945,	1.75522,	0.237192,	0.474383,	0.426945,	0.332068,	0,	0.711575,	0,	0.759013,	2.03985,	0.332068,	0.142315,	0.28463,	1.09108,	4.03226,	0.948767,	0.711575,	0.189753,	0.616698,	0.142315,	1.85009,	0.521822,	0.426945,	0.426945,	0.711575,	0.664137,	0.56926,	0.0474383,	0.948767,	2.03985,	0.28463,	0.237192,	3.13093,	0.426945,	0.901328,	2.89374,	0.0948767,	2.65655,	0.142315,	1.32827,	0.521822,	0.28463,	0.332068,	0,	0.426945,	0.521822,	0.85389,	1.28083,	0.0474383,	0.189753,	0.28463,	0,	0.0474383,	1.56546,	0.759013,	0.189753,	0.28463,	0.237192,	0.0948767,	1.04364,	1.32827,	
GM06990,	0.179748,	26.6627,	1.79748,	0.838826,	2.99581,	0.299581,	0.539245,	0.359497,	0.0599161,	0.119832,	0.119832,	1.43799,	2.03715,	0.359497,	0.119832,	1.4979,	0.898742,	0,	0.838826,	0.479329,	1.01857,	0.359497,	0.239664,	2.39664,	0.119832,	0.179748,	0.179748,	0.299581,	0.119832,	0.179748,	0.299581,	0.419413,	0.479329,	2.51648,	1.01857,	0.539245,	0.539245,	3.65488,	0.359497,	2.51648,	0.479329,	0.718993,	0.119832,	0.239664,	0.419413,	0.299581,	0.359497,	0.0599161,	2.03715,	0.599161,	0.119832,	0,	0.718993,	1.4979,	0.77891,	1.25824,	0.179748,	0.299581,	0,	0.77891,	0.898742,	1.55782,	0.77891,	1.37807,	0.359497,	0.479329,	0,	1.8574,	2.03715,	0.239664,	0.119832,	2.03715,	0.0599161,	0.539245,	2.81606,	0.539245,	2.2169,	0.119832,	4.19413,	0.119832,	0.419413,	0.179748,	0.0599161,	0.299581,	0.539245,	0.898742,	1.43799,	0.0599161,	0.718993,	0.119832,	0,	0.179748,	0.479329,	0.0599161,	0.0599161,	0.119832,	0.0599161,	0.239664,	0.718993,	0.958658,	
GM12865,	0.0897666,	20.1526,	2.9623,	0.5386,	1.16697,	1.3465,	0.40395,	0.359066,	0.359066,	0.0897666,	0.0897666,	4.35368,	4.44345,	0.5386,	0.987433,	0.718133,	0.763016,	0.224417,	0.40395,	0.40395,	0.314183,	0.67325,	0.40395,	1.21185,	0.314183,	0.224417,	1.03232,	0.67325,	0.359066,	0.583483,	0.2693,	0.987433,	1.48115,	1.97487,	0.493716,	0.40395,	0.718133,	1.21185,	0.763016,	1.48115,	0.224417,	1.03232,	0.314183,	0.359066,	0,	0.5386,	0.224417,	0.942549,	2.693,	0.2693,	0.0897666,	0.359066,	0.942549,	4.3088,	0.448833,	0.67325,	0.13465,	0.359066,	0.0897666,	2.78276,	0.359066,	0.2693,	0.40395,	0.942549,	0.67325,	0.314183,	0,	1.21185,	1.66068,	0.179533,	0.2693,	2.73788,	0.224417,	0.583483,	2.82765,	0.179533,	2.37881,	0.2693,	1.57092,	0.448833,	0.224417,	0.179533,	0.0448833,	0.807899,	0.583483,	0.718133,	2.64811,	0.0448833,	0.314183,	0.2693,	0,	0,	1.0772,	0.763016,	0,	0.40395,	0.13465,	0.0897666,	0.359066,	1.0772,	
H7-hESC,	0.177305,	17.3316,	3.28014,	1.59574,	1.72872,	1.77305,	0.0886525,	0.842199,	0.753546,	0.221631,	0.132979,	4.25532,	4.25532,	0.531915,	1.32979,	0.620567,	1.15248,	0.132979,	0.35461,	0.753546,	0.221631,	1.0195,	0.531915,	0.842199,	0.177305,	0.177305,	1.15248,	0.753546,	0.35461,	0.930851,	0.132979,	1.06383,	1.81738,	1.50709,	0.620567,	0.487589,	0.487589,	0.531915,	0.930851,	1.10816,	0.0443262,	0.70922,	0.398936,	0.398936,	0,	0.265957,	0.0443262,	1.32979,	2.5266,	0.221631,	0.132979,	0.177305,	1.50709,	4.78723,	0.487589,	0.70922,	0,	0.576241,	0.0886525,	2.5266,	0.310284,	0.531915,	0.576241,	0.620567,	0.70922,	0.842199,	0.0886525,	0.975177,	1.55142,	0.132979,	0.443262,	2.26064,	0.70922,	0.886525,	2.03901,	0.0443262,	1.90603,	0.0886525,	1.37411,	0.398936,	0.35461,	0.132979,	0.0886525,	0.975177,	0.842199,	0.531915,	1.8617,	0.132979,	0.310284,	0.310284,	0.0886525,	0.0886525,	1.32979,	0.620567,	0.0886525,	0.177305,	0.398936,	0.132979,	0.310284,	1.64007,	
HA-h,	0.243112,	13.5332,	2.75527,	1.53971,	1.2966,	1.05348,	0.648298,	0.445705,	1.2966,	0.121556,	0.243112,	3.11994,	2.55267,	0.28363,	0.972447,	0.567261,	0.526742,	0.243112,	0.243112,	0.60778,	0.769854,	1.13452,	0.445705,	0.931929,	0.769854,	0.364668,	1.17504,	1.25608,	0.526742,	0.769854,	0.526742,	1.25608,	1.58023,	1.33712,	0.729335,	0.324149,	0.810373,	1.094,	1.01297,	1.05348,	0.769854,	0.89141,	0.60778,	0.364668,	0.0405186,	0.648298,	0.202593,	1.094,	2.22853,	0.526742,	0.121556,	0.202593,	1.94489,	3.6872,	0.769854,	0.688817,	0.405186,	0.648298,	0.405186,	1.70178,	0.729335,	0.60778,	1.094,	1.01297,	1.58023,	0.567261,	0.121556,	1.094,	1.21556,	0.364668,	0.486224,	1.25608,	0.486224,	0.931929,	2.35008,	0.364668,	2.75527,	0.324149,	1.78282,	0.324149,	0.486224,	0.567261,	0.162075,	0.850891,	0.60778,	0.769854,	1.45867,	0.162075,	0.567261,	0.0810373,	0.0405186,	0.243112,	2.43112,	1.13452,	0.0810373,	0.445705,	0.202593,	0.28363,	1.01297,	0.850891,	
HAEpiC,	0.223614,	18.7388,	2.54919,	1.69946,	1.5653,	1.20751,	0.268336,	0.581395,	0.313059,	0.268336,	0.357782,	3.57782,	3.98032,	0.670841,	1.47585,	0.760286,	0.805009,	0.402504,	0.313059,	0.49195,	0.313059,	0.805009,	0.357782,	0.805009,	0.313059,	0.223614,	1.65474,	0.357782,	0.313059,	0.849732,	0.313059,	1.9678,	1.34168,	1.47585,	0.536673,	0.49195,	0.447227,	0.536673,	0.715563,	1.87835,	0.581395,	0.715563,	0.447227,	0.313059,	0.0894454,	0.313059,	0.313059,	0.805009,	2.54919,	0.626118,	0.223614,	0.536673,	1.20751,	5.322,	0.805009,	0.805009,	0.134168,	0.268336,	0.0894454,	3.39893,	0.134168,	0.357782,	0.49195,	0.805009,	0.626118,	0.536673,	0.0894454,	0.805009,	1.29696,	0.0447227,	0.357782,	2.9517,	0.313059,	0.670841,	1.78891,	0.223614,	1.74419,	0.0894454,	0.715563,	0.357782,	0.357782,	0.357782,	0.223614,	1.11807,	0.670841,	0.581395,	1.29696,	0.0894454,	0.313059,	0.49195,	0.0447227,	0.0447227,	1.61002,	0.49195,	0.178891,	0.313059,	0.357782,	0.0894454,	0.268336,	1.20751,	
HCF,	0.174902,	17.7088,	2.7547,	1.44294,	1.09314,	1.13686,	0.349803,	0.56843,	0.874508,	0.218627,	0.262352,	4.59117,	4.24136,	0.480979,	1.09314,	0.524705,	0.655881,	0.393529,	0.306078,	0.480979,	0.174902,	0.830783,	0.787057,	0.918234,	0.393529,	0.349803,	0.918234,	0.787057,	0.437254,	0.612156,	0.393529,	1.66157,	1.83647,	1.26804,	0.437254,	0.56843,	0.524705,	0.874508,	0.56843,	1.13686,	0.437254,	0.787057,	0.349803,	0.349803,	0,	0.612156,	0.131176,	1.09314,	2.62352,	0.524705,	0.0874508,	0.306078,	1.13686,	4.28509,	0.56843,	0.612156,	0.218627,	0.349803,	0.131176,	2.44862,	0.349803,	0.218627,	0.612156,	0.918234,	1.04941,	0.699606,	0.0437254,	0.918234,	1.74902,	0.306078,	0.262352,	2.62352,	0.349803,	0.918234,	2.05509,	0.262352,	2.05509,	0.0874508,	1.26804,	0.56843,	0.612156,	0.306078,	0.174902,	1.09314,	1.18059,	0.56843,	1.92392,	0.0437254,	0.174902,	0.524705,	0.0437254,	0.0874508,	1.53039,	0.393529,	0.0874508,	0.174902,	0.218627,	0.174902,	0.306078,	1.18059,	
