cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.292954,	20.7705,	0.981397,	1.58195,	1.02534,	1.43548,	0.615204,	0.878863,	0.703091,	0.263659,	0.336898,	2.41687,	1.99209,	0.673795,	0.659148,	0.629852,	0.878863,	0.13183,	0.468727,	0.351545,	1.43548,	0.703091,	0.32225,	1.50872,	0.13183,	0.380841,	1.55266,	0.395489,	0.615204,	0.498023,	0.6445,	1.61125,	0.380841,	2.28504,	0.468727,	0.51267,	0.6445,	3.5594,	0.32225,	1.53801,	0.864216,	0.541966,	0.161125,	0.366193,	0.219716,	0.51267,	0.219716,	0.13183,	1.47942,	0.6445,	0.527318,	0.175773,	1.08393,	2.07998,	1.3183,	0.6445,	0.410136,	0.13183,	0.146477,	0.937454,	0.776329,	0.703091,	0.732386,	1.08393,	0.380841,	0.556613,	0.117182,	1.75773,	3.04673,	0.0878863,	0.249011,	1.80167,	0.249011,	0.717738,	2.56335,	0.541966,	2.10927,	0.0878863,	2.65124,	0.13183,	0.952102,	0.468727,	0.0439432,	0.424784,	0.790977,	0.51267,	2.2704,	0.102534,	1.52336,	0.146477,	0.175773,	0.249011,	0.395489,	0.278307,	0.219716,	0.146477,	0.600557,	0.219716,	0.307602,	0.629852,	
AoAF,	0.277508,	20.9519,	1.16553,	1.54017,	0.804773,	1.52629,	0.971278,	0.985153,	0.749272,	0.263633,	0.51339,	2.08131,	1.97031,	0.763147,	0.652144,	0.457888,	0.679895,	0.0832524,	0.541141,	0.319134,	1.8038,	0.804773,	0.305259,	1.0129,	0.152629,	0.33301,	1.78993,	0.33301,	0.610518,	0.471764,	0.402387,	1.84543,	0.291383,	2.35882,	0.374636,	0.388511,	0.804773,	3.17747,	0.555016,	1.31816,	1.31816,	0.666019,	0.222006,	0.485639,	0.305259,	0.388511,	0.0971278,	0.111003,	1.12391,	0.485639,	0.610518,	0.194256,	1.44304,	2.56695,	1.65117,	0.638268,	0.33301,	0.277508,	0.0416262,	0.860275,	0.638268,	0.638268,	0.971278,	0.735396,	0.388511,	0.499514,	0.124879,	1.30429,	2.92771,	0.111003,	0.263633,	1.52629,	0.277508,	0.596642,	3.3856,	0.638268,	1.73442,	0.0971278,	2.49757,	0.208131,	1.24879,	0.444013,	0.0555016,	0.388511,	1.06841,	0.568891,	2.13681,	0.166505,	1.26266,	0.222006,	0.166505,	0.111003,	0.263633,	0.305259,	0.124879,	0.152629,	0.471764,	0.18038,	0.388511,	0.457888,	
CD20+,	0.335775,	22.2375,	1.06838,	0.915751,	1.64835,	0.900488,	0.549451,	0.717338,	0.778388,	0.228938,	0.381563,	2.45726,	2.1978,	0.824176,	0.457875,	0.839438,	0.595238,	0.152625,	0.702076,	0.30525,	1.221,	0.641026,	0.610501,	1.93834,	0.0763126,	0.289988,	0.625763,	0.488401,	0.656288,	0.641026,	0.3663,	0.946276,	0.335775,	2.67094,	0.732601,	0.778388,	0.702076,	3.57143,	0.488401,	1.77045,	0.42735,	0.442613,	0.213675,	0.30525,	0.381563,	0.396825,	0.198413,	0.0763126,	1.98413,	0.625763,	0.412088,	0.0457875,	0.641026,	2.13675,	0.885226,	0.961538,	0.30525,	0.198413,	0.0610501,	0.656288,	0.732601,	0.747863,	0.671551,	0.900488,	0.442613,	0.702076,	0.1221,	1.52625,	3.06777,	0.0610501,	0.335775,	2.04518,	0.228938,	0.641026,	3.14408,	0.351038,	2.8083,	0.1221,	3.12882,	0.0457875,	0.656288,	0.228938,	0.0457875,	0.3663,	0.442613,	0.671551,	1.98413,	0.0915751,	0.961538,	0.1221,	0.18315,	0.167888,	0.503663,	0.473138,	0.213675,	0.0915751,	0.30525,	0.1221,	0.442613,	0.900488,	
GM06990,	0.308582,	26.7695,	2.37223,	1.09932,	2.2758,	0.308582,	0.443587,	0.617165,	0.231437,	0.115718,	0.154291,	1.87078,	2.58438,	0.308582,	0.501446,	1.6972,	0.48216,	0.424301,	0.540019,	0.48216,	0.27001,	0.424301,	0.308582,	1.81292,	0.21215,	0.27001,	0.462874,	1.02218,	0.366442,	0.21215,	0.0578592,	0.983607,	0.520733,	2.19865,	0.887175,	0.308582,	0.540019,	1.65863,	0.559306,	0.983607,	0.655738,	1.29219,	0.173578,	0.366442,	0.0385728,	0.308582,	0.308582,	0.308582,	2.08293,	0.385728,	0.21215,	0.135005,	0.501446,	1.40791,	0.983607,	1.09932,	0.173578,	0.520733,	0.347155,	0.540019,	0.559306,	0.597879,	0.115718,	0.424301,	0.21215,	0.694311,	0.0192864,	0.983607,	1.87078,	0.135005,	0.308582,	2.25651,	0.135005,	0.347155,	5.1109,	0.231437,	2.29508,	0.0771456,	2.66152,	0.520733,	0.694311,	0.520733,	0.0578592,	0.347155,	0.694311,	1.48505,	1.54291,	0.0771456,	0.366442,	0.366442,	0,	0.0771456,	0.559306,	0.790743,	0.096432,	0.135005,	0.154291,	0.192864,	0.501446,	2.29508,	
GM12865,	0.204858,	22.432,	1.4779,	1.31694,	1.22915,	1.08282,	0.468247,	0.819432,	0.760901,	0.16096,	0.380451,	2.38513,	2.54609,	0.702371,	0.380451,	0.790167,	0.599941,	0.219491,	0.687738,	0.248756,	1.00966,	0.731636,	0.336553,	1.5218,	0.219491,	0.278022,	0.980392,	0.307287,	0.599941,	0.468247,	0.512145,	1.39011,	0.292654,	2.80948,	0.731636,	0.599941,	0.731636,	3.62891,	0.409716,	1.93152,	0.570676,	0.497512,	0.175593,	0.234123,	0.278022,	0.409716,	0.0877963,	0.146327,	1.53644,	0.424349,	0.278022,	0.0585309,	1.12672,	2.04858,	0.760901,	0.585309,	0.219491,	0.278022,	0.0731636,	0.848698,	0.614574,	0.687738,	0.790167,	0.907229,	0.395083,	0.570676,	0.0731636,	1.5657,	3.11677,	0.0731636,	0.292654,	2.26807,	0.0731636,	0.658472,	3.11677,	0.424349,	2.39977,	0.117062,	3.24846,	0.190225,	1.02429,	0.234123,	0.0731636,	0.438982,	0.599941,	0.64384,	1.82909,	0.0585309,	1.31694,	0.0877963,	0.175593,	0.292654,	0.409716,	0.278022,	0.131694,	0.117062,	0.48288,	0.131694,	0.438982,	0.629207,	
H7-hESC,	0.254705,	18.8623,	1.23107,	1.33013,	1.01882,	1.64143,	0.976369,	1.34428,	0.679213,	0.155653,	0.382057,	2.09424,	1.95274,	1.18862,	0.650913,	0.50941,	0.792415,	0.183954,	0.665063,	0.268855,	1.54238,	0.707514,	0.283006,	1.30183,	0.0990519,	0.410358,	1.68388,	0.466959,	0.481109,	0.679213,	0.52356,	1.49993,	0.283006,	2.68855,	0.50941,	0.297156,	0.679213,	2.99986,	0.566011,	1.48578,	0.962219,	0.382057,	0.113202,	0.438659,	0.155653,	0.353757,	0.198104,	0.0849017,	1.18862,	0.735814,	0.466959,	0.0990519,	1.41503,	2.5612,	1.37258,	0.50941,	0.353757,	0.283006,	0.141503,	0.849017,	0.594312,	0.622612,	0.919768,	0.806566,	0.311306,	0.608462,	0.0849017,	1.88199,	2.8159,	0.0849017,	0.283006,	1.95274,	0.268855,	0.551861,	3.43852,	0.424508,	2.00934,	0.155653,	2.68855,	0.183954,	1.24522,	0.452809,	0.0566011,	0.50941,	1.16032,	0.608462,	2.29234,	0.127352,	1.65558,	0.155653,	0.155653,	0.268855,	0.410358,	0.339607,	0.212254,	0.113202,	0.481109,	0.113202,	0.382057,	0.53771,	
HA-h,	0.634585,	14.5426,	1.53358,	2.04918,	1.00476,	1.53358,	0.713908,	1.04442,	1.17663,	0.330513,	0.661026,	2.11528,	1.90375,	1.11052,	0.713908,	0.555262,	0.76679,	0.277631,	1.05764,	0.330513,	1.15019,	0.912216,	0.608144,	1.38815,	0.185087,	0.5156,	1.01798,	0.343733,	0.594923,	0.594923,	0.75357,	1.36171,	0.528821,	2.18139,	0.832893,	0.780011,	0.594923,	2.74987,	0.555262,	1.13696,	0.885775,	0.75357,	0.185087,	0.542041,	0.462718,	0.780011,	0.409836,	0.145426,	0.965098,	0.674246,	0.687467,	0.132205,	1.25595,	2.04918,	1.42782,	1.04442,	0.396616,	0.224749,	0.0661026,	0.885775,	1.01798,	0.898995,	1.24273,	1.0973,	0.965098,	0.912216,	0.118985,	1.34849,	2.53834,	0.171867,	0.356954,	1.29561,	0.277631,	0.898995,	2.68377,	0.740349,	1.86409,	0.304072,	2.43258,	0.224749,	0.991539,	0.462718,	0.0396616,	0.423057,	0.76679,	0.674246,	2.04918,	0.0793231,	1.50714,	0.277631,	0.581703,	0.396616,	0.647805,	0.555262,	0.370174,	0.171867,	0.343733,	0.343733,	0.528821,	0.581703,	
HAEpiC,	0.145539,	20.2882,	1.14976,	1.60093,	1.06244,	1.97933,	1.1061,	1.49905,	0.800466,	0.320186,	0.422064,	2.16853,	2.54694,	1.09154,	0.611265,	0.422064,	1.01877,	0.130985,	0.422064,	0.363848,	1.57182,	0.654927,	0.218309,	0.946005,	0.130985,	0.305632,	1.58638,	0.40751,	0.465726,	0.582157,	0.523941,	1.73192,	0.218309,	2.2413,	0.291078,	0.40751,	0.74225,	3.07088,	0.40751,	1.42628,	1.28075,	0.523941,	0.174647,	0.320186,	0.160093,	0.349294,	0.130985,	0.0873235,	1.28075,	0.785912,	0.494833,	0.0727696,	1.61549,	2.27041,	1.63004,	0.698588,	0.33474,	0.174647,	0.0873235,	0.887789,	0.480279,	0.74225,	0.771358,	0.81502,	0.392956,	0.640373,	0.0727696,	1.64459,	3.08543,	0.145539,	0.116431,	1.65915,	0.160093,	0.611265,	3.43473,	0.494833,	1.64459,	0.101877,	2.28497,	0.130985,	1.20798,	0.480279,	0.0582157,	0.538495,	0.81502,	0.509387,	1.89201,	0.160093,	1.17887,	0.145539,	0.174647,	0.189201,	0.465726,	0.378402,	0.116431,	0.0873235,	0.596711,	0.0582157,	0.349294,	0.727696,	
HCF,	0.460187,	18.8398,	1.19927,	1.60368,	0.934319,	1.56185,	0.725143,	1.15744,	0.864594,	0.264956,	0.529912,	1.99414,	2.30093,	0.990099,	0.766978,	0.418352,	0.794868,	0.0976154,	0.711198,	0.390462,	1.56185,	0.711198,	0.348626,	1.31084,	0.139451,	0.432297,	1.8268,	0.376517,	0.557802,	0.794868,	0.613582,	1.45029,	0.237066,	2.2591,	0.892484,	0.390462,	0.641473,	3.10975,	0.585692,	1.18533,	1.21322,	0.599637,	0.264956,	0.446242,	0.334681,	0.557802,	0.237066,	0.0976154,	1.19927,	0.822758,	0.529912,	0.139451,	1.58974,	2.31488,	1.39451,	0.766978,	0.376517,	0.223121,	0.0976154,	1.05982,	0.697253,	0.711198,	0.892484,	0.864594,	0.543857,	0.529912,	0.0278901,	1.50607,	2.9703,	0.0697253,	0.125506,	1.5479,	0.320736,	0.502022,	2.73323,	0.766978,	1.81286,	0.237066,	2.60773,	0.0836703,	1.01799,	0.404407,	0.0418352,	0.529912,	0.976154,	0.432297,	1.93836,	0.0418352,	1.31084,	0.125506,	0.334681,	0.278901,	0.418352,	0.251011,	0.125506,	0.167341,	0.571747,	0.167341,	0.432297,	0.585692,	
HCM,	0.444381,	19.8538,	1.33314,	1.59117,	0.931766,	1.73452,	0.759748,	0.989105,	0.788417,	0.272362,	0.53039,	2.20757,	2.16456,	1.08945,	0.616399,	0.458716,	0.860092,	0.157683,	0.716743,	0.301032,	1.59117,	0.817087,	0.358372,	1.06078,	0.172018,	0.50172,	1.53383,	0.372706,	0.573394,	0.673739,	0.458716,	1.57683,	0.301032,	1.79186,	0.53039,	0.630734,	0.659404,	2.99599,	0.401376,	1.18979,	1.08945,	0.487385,	0.129014,	0.458716,	0.272362,	0.444381,	0.229358,	0.114679,	1.24713,	0.602064,	0.544725,	0.114679,	1.59117,	2.55161,	1.64851,	0.602064,	0.487385,	0.229358,	0.100344,	0.903096,	0.602064,	0.702408,	1.00344,	1.03211,	0.444381,	0.731078,	0.143349,	1.73452,	2.90998,	0.114679,	0.444381,	1.70585,	0.114679,	0.544725,	2.76663,	0.745413,	2.00688,	0.186353,	2.06422,	0.129014,	0.946101,	0.415711,	0.0716743,	0.602064,	0.989105,	0.47305,	1.82053,	0.0573394,	1.16112,	0.129014,	0.286697,	0.272362,	0.53039,	0.358372,	0.215023,	0.0716743,	0.544725,	0.315367,	0.229358,	0.544725,	
HCPEpiC,	0.282805,	18.7783,	1.17364,	1.83824,	0.777715,	1.75339,	0.989819,	1.28676,	0.791855,	0.268665,	0.438348,	2.26244,	2.00792,	1.0181,	0.749434,	0.381787,	0.848416,	0.183824,	0.650452,	0.282805,	1.62613,	0.763575,	0.339367,	0.933258,	0.0707014,	0.593891,	1.65441,	0.438348,	0.466629,	0.636312,	0.650452,	2.00792,	0.339367,	2.319,	0.367647,	0.53733,	0.805996,	3.29468,	0.452489,	1.39989,	1.44231,	0.410068,	0.254525,	0.424208,	0.169683,	0.438348,	0.197964,	0.127262,	1.27262,	0.579751,	0.622172,	0.113122,	1.59785,	2.40385,	1.52715,	0.622172,	0.381787,	0.155543,	0.0707014,	1.13122,	0.622172,	0.53733,	0.876697,	0.650452,	0.50905,	0.480769,	0.0707014,	1.58371,	3.15328,	0.127262,	0.240385,	1.59785,	0.212104,	0.438348,	2.84219,	0.579751,	2.00792,	0.169683,	2.34729,	0.113122,	1.17364,	0.367647,	0.0565611,	0.452489,	1.03224,	0.325226,	1.78167,	0.127262,	1.55543,	0.212104,	0.226244,	0.254525,	0.49491,	0.296946,	0.254525,	0.0848416,	0.622172,	0.183824,	0.353507,	0.579751,	
