cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.120506,	44.768,	1.25192,	2.14903,	1.32557,	0.0736426,	0.789985,	0.803374,	0.241012,	0.0535583,	0.334739,	1.45277,	0.528888,	0.200844,	0.656089,	0.107117,	0.642699,	0.30796,	0.723037,	0.174064,	0.883712,	0.696258,	0.0401687,	0.636005,	0.120506,	0.61592,	1.11133,	0.294571,	0.856932,	0.589141,	0.220928,	0.16737,	0.127201,	2.75156,	0.46194,	0.0401687,	0.0736426,	1.031,	0.187454,	0.428466,	1.37913,	0.207538,	0.0267791,	0.522193,	0.200844,	0.16737,	0.0535583,	0.15398,	0.723037,	0.970744,	0.0535583,	0.160675,	0.341434,	1.76073,	1.1582,	1.10464,	0.448551,	0.0870322,	0.113811,	0.32135,	0.582446,	0.495414,	0.093727,	0.30796,	0.0200844,	0.964049,	0.0267791,	0.676173,	0.127201,	0.254402,	0.15398,	0.863627,	0.0133896,	1.33896,	2.04191,	0.897101,	0.388297,	0.0535583,	2.80511,	0.334739,	1.59336,	0.428466,	0.0401687,	0.441856,	2.74486,	0.220928,	0.689563,	0.0602531,	1.39921,	0.127201,	0.0334739,	0.0468635,	0.394992,	0.120506,	0.468635,	0.147285,	0.0468635,	0.133896,	0.0870322,	0.341434,	
AoAF,	0.0855151,	47.2833,	0.65123,	1.93396,	1.12485,	0.0197342,	0.78937,	1.09854,	0.17103,	0.0394685,	0.197342,	1.53269,	0.506512,	0.236811,	0.545981,	0.157874,	0.407841,	0.190764,	0.710433,	0.0920931,	0.795948,	0.703855,	0.0328904,	0.460466,	0.0723589,	0.914353,	0.980134,	0.394685,	0.835416,	0.473622,	0.105249,	0.124984,	0.0592027,	3.40087,	0.407841,	0.0394685,	0.0723589,	0.795948,	0.078937,	0.322326,	1.7695,	0.269701,	0,	0.51309,	0.197342,	0.17103,	0.0197342,	0.0723589,	0.61834,	0.92751,	0.0263123,	0.131562,	0.335482,	1.6511,	1.05249,	1.11827,	0.328904,	0.0592027,	0.0460466,	0.269701,	0.638074,	0.322326,	0.0723589,	0.177608,	0.0197342,	0.947244,	0.0197342,	0.427575,	0.164452,	0.223655,	0.0855151,	0.638074,	0.0131562,	1.27615,	2.11156,	0.638074,	0.184186,	0.0328904,	3.16406,	0.34206,	1.75635,	0.296014,	0.0263123,	0.302592,	3.28904,	0.256545,	0.717011,	0.0855151,	1.73661,	0.105249,	0.0197342,	0.0460466,	0.289436,	0.151296,	0.578871,	0.0657808,	0.0197342,	0.111827,	0.0263123,	0.197342,	
CD20+,	0.169745,	42.701,	1.45301,	2.0641,	1.22216,	0.0678979,	0.719718,	0.427757,	0.30554,	0.0882672,	0.346279,	1.51412,	1.10674,	0.183324,	0.930201,	0.210483,	0.780826,	0.285171,	0.821564,	0.244432,	0.909832,	0.543183,	0.108637,	0.936991,	0.190114,	0.719718,	0.753667,	0.434546,	0.658609,	0.733297,	0.149375,	0.108637,	0.271592,	2.60049,	0.604291,	0.0271592,	0.115426,	1.37833,	0.210483,	0.848723,	1.39191,	0.230853,	0.0271592,	0.461706,	0.196904,	0.176534,	0.0746877,	0.190114,	0.889462,	0.787615,	0.0543183,	0.162955,	0.373438,	1.7314,	1.20858,	0.760456,	0.475285,	0.101847,	0.122216,	0.373438,	0.563552,	0.597501,	0.129006,	0.271592,	0.0475285,	0.746877,	0.0203694,	0.719718,	0.162955,	0.244432,	0.095057,	1.03884,	0.0339489,	1.25611,	2.36964,	0.64503,	0.461706,	0.0814775,	2.80418,	0.30554,	1.37154,	0.488865,	0.0882672,	0.387018,	2.67518,	0.291961,	0.903042,	0.0611081,	1.066,	0.196904,	0.0882672,	0.0882672,	0.461706,	0.183324,	0.414177,	0.203694,	0.0407387,	0.095057,	0.142586,	0.420967,	
GM06990,	0.0735294,	44.0686,	1.13562,	1.71569,	1.58497,	0.915033,	0.179739,	0.776144,	0.0653595,	0.0980392,	0.0653595,	0.996732,	2.07516,	0.416667,	0.767974,	1.42157,	0.637255,	0.122549,	0.236928,	0.236928,	0.751634,	0.130719,	0.187909,	1.26634,	0.0898693,	0.0898693,	0.302288,	0.155229,	0.138889,	0.163399,	0.285948,	1.45425,	0.212418,	1.21732,	0.482026,	0.400327,	1.47876,	1.35621,	0.367647,	1.21732,	0.539216,	0.653595,	0.171569,	0.375817,	0,	0.0571895,	0.122549,	0.00816994,	1.07026,	0.580065,	0.163399,	0.0408497,	0.187909,	1.14379,	1.5768,	1.06209,	0.0408497,	0.465686,	0.0245098,	0.375817,	0.187909,	0.669935,	0.285948,	0.302288,	0.0898693,	0.228758,	0.0653595,	1.39706,	2.67974,	0.0326797,	0.367647,	2.20588,	0.130719,	0.130719,	1.96078,	0.294118,	1.64216,	0.0163399,	1.87092,	0.130719,	0.669935,	0.179739,	0.00816994,	0.294118,	0.596405,	1.58497,	1.36438,	0.0408497,	0.253268,	0.482026,	0.0408497,	0.0490196,	0.122549,	0.236928,	0.0326797,	0.0490196,	0.220588,	0.0490196,	0.130719,	0.906863,	
GM12865,	0.0656211,	39.9173,	1.20743,	2.26393,	1.12212,	0.111556,	0.977754,	0.866199,	0.229674,	0.0853074,	0.269047,	1.82427,	0.564341,	0.301857,	0.616838,	0.157491,	0.71527,	0.282171,	1.07619,	0.275609,	0.971192,	0.728394,	0.0524969,	0.584028,	0.177177,	0.879323,	0.958068,	0.393727,	0.912133,	0.669335,	0.229674,	0.157491,	0.118118,	3.09732,	0.603714,	0.118118,	0.0787453,	1.25993,	0.12468,	0.459348,	1.50929,	0.275609,	0.0196863,	0.551217,	0.229674,	0.183739,	0.0262484,	0.131242,	0.702146,	1.06306,	0.131242,	0.183739,	0.419975,	1.94895,	1.1943,	0.918695,	0.49872,	0.0393727,	0.104994,	0.505283,	0.616838,	0.479034,	0.0984317,	0.354354,	0.0459348,	1.06306,	0.0131242,	0.564341,	0.196863,	0.328106,	0.111556,	0.774329,	0.00656211,	1.63397,	2.25737,	0.833388,	0.295295,	0.0721832,	3.15638,	0.223112,	1.51585,	0.544655,	0.0656211,	0.446224,	3.13669,	0.223112,	0.846512,	0.0787453,	1.8177,	0.183739,	0.0262484,	0.0524969,	0.367478,	0.21655,	0.426537,	0.164053,	0.0524969,	0.170615,	0.118118,	0.282171,	
H7-hESC,	0.130031,	42.9166,	0.656654,	1.98947,	0.832196,	0.0455107,	1.25479,	1.44984,	0.240557,	0.0585138,	0.292569,	1.89194,	0.286067,	0.25356,	0.487615,	0.0845199,	0.435602,	0.195046,	0.897211,	0.0975229,	0.955725,	0.910214,	0.0390092,	0.422599,	0.0780183,	0.910214,	1.24829,	0.403095,	1.04675,	0.455107,	0.208049,	0.0780183,	0.0520122,	3.37429,	0.390092,	0.0455107,	0.0780183,	0.897211,	0.0520122,	0.21455,	1.72941,	0.292569,	0.0325076,	0.546128,	0.221052,	0.201547,	0.0260061,	0.0845199,	0.546128,	1.12476,	0.0780183,	0.266563,	0.247058,	1.66439,	1.07925,	1.13127,	0.539627,	0.0455107,	0.0390092,	0.364086,	0.689162,	0.38359,	0.0780183,	0.221052,	0.0390092,	1.11826,	0.0195046,	0.38359,	0.0715168,	0.21455,	0.0780183,	0.630648,	0,	1.80092,	2.09349,	0.812691,	0.149535,	0.0520122,	3.50432,	0.227553,	1.66439,	0.364086,	0.0260061,	0.377089,	3.32878,	0.234055,	0.585137,	0.0520122,	2.34705,	0.149535,	0.0455107,	0.0520122,	0.286067,	0.117028,	0.676159,	0.104024,	0.0195046,	0.16904,	0.0585138,	0.162538,	
HA-h,	0.218565,	38.6989,	1.58138,	2.43636,	1.05426,	0.0771407,	0.809977,	0.572127,	0.443559,	0.0642839,	0.347133,	1.5621,	0.629982,	0.224994,	1.12497,	0.109283,	1.22139,	0.379275,	1.03497,	0.302134,	0.932116,	0.629982,	0.128568,	0.59784,	0.289277,	1.01569,	0.816405,	0.430702,	1.09283,	0.912831,	0.263564,	0.0964258,	0.308563,	1.88352,	0.475701,	0.0257136,	0.0707123,	0.854976,	0.244279,	0.527128,	1.76781,	0.295706,	0.0321419,	0.752121,	0.385703,	0.289277,	0.0707123,	0.308563,	0.925688,	1.11854,	0.0514271,	0.250707,	0.572127,	1.79352,	1.69709,	0.777835,	0.700694,	0.102854,	0.173566,	0.372846,	0.739265,	0.63641,	0.16071,	0.295706,	0.0321419,	0.809977,	0.0128568,	0.771407,	0.128568,	0.488557,	0.147853,	0.649267,	0.0578555,	1.37567,	1.67781,	0.919259,	0.276421,	0.0899974,	1.61353,	0.584983,	1.55567,	0.520699,	0.083569,	0.59784,	3.81846,	0.23785,	0.777835,	0.109283,	1.18925,	0.186423,	0.0642839,	0.102854,	0.55927,	0.250707,	0.430702,	0.35999,	0.0321419,	0.19928,	0.218565,	0.308563,	
HAEpiC,	0.0802515,	43.5297,	1.00983,	1.91266,	1.23721,	0.0267505,	0.989768,	0.95633,	0.240754,	0.0601886,	0.314318,	1.98622,	0.494884,	0.294255,	0.488196,	0.127065,	0.414632,	0.25413,	0.896141,	0.11369,	1.12352,	0.668762,	0.053501,	0.53501,	0.127065,	0.789139,	1.28402,	0.287568,	0.769076,	0.528322,	0.207316,	0.0936267,	0.0668762,	3.30368,	0.441383,	0.0668762,	0.0468133,	0.916204,	0.0936267,	0.314318,	1.34421,	0.234067,	0.0468133,	0.555073,	0.240754,	0.153815,	0.0334381,	0.100314,	0.695513,	0.822577,	0.107002,	0.207316,	0.25413,	2.04641,	1.17033,	0.929579,	0.334381,	0.0668762,	0.0267505,	0.354444,	0.601886,	0.314318,	0.167191,	0.240754,	0.0668762,	1.18371,	0.0133752,	0.42132,	0.0869391,	0.240754,	0.0936267,	0.795827,	0.0200629,	1.65184,	2.05979,	0.896141,	0.193941,	0.0668762,	2.92918,	0.207316,	1.88591,	0.407945,	0.0468133,	0.42132,	3.43075,	0.321006,	0.695513,	0.053501,	2.06647,	0.107002,	0.0133752,	0.053501,	0.147128,	0.0735638,	0.474821,	0.187253,	0.0200629,	0.107002,	0.0401257,	0.327693,	
HCF,	0.151405,	44.8818,	0.941347,	1.92877,	1.14542,	0.0263314,	0.816273,	0.895267,	0.2304,	0.0658285,	0.309394,	1.64571,	0.401554,	0.2304,	0.645119,	0.164571,	0.697782,	0.269897,	0.730696,	0.210651,	0.928181,	0.770193,	0.0658285,	0.572708,	0.18432,	0.750444,	1.02034,	0.302811,	1.00718,	0.53321,	0.177737,	0.105326,	0.13824,	2.85037,	0.368639,	0.0724113,	0.0789941,	0.803107,	0.13824,	0.315977,	1.44823,	0.263314,	0.0197485,	0.552959,	0.309394,	0.2304,	0.0263314,	0.164571,	0.783359,	1.00718,	0.0592456,	0.164571,	0.329142,	1.79712,	1.26391,	1.07959,	0.414719,	0.105326,	0.131657,	0.408136,	0.599039,	0.381805,	0.0789941,	0.355474,	0.0592456,	0.80969,	0.0263314,	0.585873,	0.0987427,	0.296228,	0.085577,	0.783359,	0.0263314,	1.34948,	2.0736,	0.99401,	0.302811,	0.0658285,	2.79113,	0.2304,	1.37581,	0.342308,	0.0197485,	0.473965,	3.33092,	0.243565,	0.566125,	0.0724113,	1.56013,	0.164571,	0.0197485,	0.0526628,	0.388388,	0.118491,	0.394971,	0.105326,	0.0460799,	0.177737,	0.157988,	0.263314,	
HCM,	0.118835,	45.8969,	0.917673,	1.92117,	1.28078,	0.0792236,	0.77243,	0.798838,	0.270681,	0.0462138,	0.316894,	1.79574,	0.46874,	0.198059,	0.83845,	0.158447,	0.580973,	0.3367,	0.917673,	0.171651,	1.0101,	0.746022,	0.0396118,	0.389516,	0.0990295,	0.87146,	0.970489,	0.277283,	0.759226,	0.627187,	0.132039,	0.0528157,	0.158447,	2.54836,	0.442332,	0.0462138,	0.0660197,	0.851654,	0.178253,	0.376312,	1.30059,	0.151845,	0,	0.481944,	0.316894,	0.204661,	0.0330098,	0.0990295,	0.686605,	0.83845,	0.0858256,	0.204661,	0.343302,	1.85515,	1.29399,	0.937479,	0.442332,	0.0132039,	0.132039,	0.330098,	0.574371,	0.554565,	0.0858256,	0.290487,	0.0132039,	0.983693,	0.0198059,	0.561167,	0.0660197,	0.237671,	0.105631,	0.686605,	0.0132039,	1.30059,	1.95418,	0.930877,	0.231069,	0.0330098,	2.56156,	0.30369,	1.61748,	0.43573,	0.0594177,	0.330098,	3.32739,	0.217865,	0.699809,	0.0528157,	1.84855,	0.118835,	0.0462138,	0.0660197,	0.198059,	0.158447,	0.455536,	0.132039,	0.0264079,	0.132039,	0.0528157,	0.237671,	
