cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.433781,	16.6734,	2.83313,	1.45045,	4.08025,	0.433781,	0.433781,	0.62356,	0.338891,	0.325336,	0.0948895,	2.0469,	1.05734,	0.420225,	0.257557,	0.515115,	0.772672,	1.13867,	2.57557,	0.759116,	0.772672,	0.826894,	1.08445,	2.2909,	0.366002,	0.826894,	0.176223,	0.691338,	0.176223,	0.149112,	0.637115,	0.799783,	0.433781,	1.53179,	1.24712,	0.555781,	0.271113,	2.81957,	0.84045,	1.20645,	0.854006,	0.745561,	0.176223,	0.515115,	0.122001,	0.108445,	1.28779,	0.366002,	1.03023,	1.00312,	0.203335,	0.189779,	0.406669,	2.72468,	1.64023,	2.34513,	0.0813339,	0.0948895,	0.0677782,	1.6809,	0.21689,	0.677782,	0.515115,	2.08757,	0.149112,	0.488003,	0.0948895,	1.17934,	1.93846,	0.637115,	0.162668,	0.881117,	0.189779,	1.66734,	3.59225,	0.555781,	2.42646,	0.515115,	1.24712,	0.284669,	0.298224,	0.433781,	0.203335,	0.284669,	0.501559,	0.610004,	1.13867,	0.0406669,	1.3149,	0.203335,	0.0948895,	0.108445,	0.596448,	0.948895,	0.230446,	0.0813339,	0.244002,	0.149112,	0.786227,	1.61312,	
AoAF,	0.336352,	15.6016,	2.57439,	1.88875,	4.70893,	0.478655,	0.608021,	0.750323,	0.349288,	0.413972,	0.0905563,	3.00129,	0.853816,	0.465718,	0.232859,	0.349288,	0.310479,	0.905563,	2.40621,	0.711514,	0.80207,	1.19017,	1.21604,	2.04398,	0.401035,	0.84088,	0.142303,	0.76326,	0.168176,	0.271669,	0.556274,	0.931436,	0.375162,	1.50065,	1.15136,	0.737387,	0.271669,	2.48383,	0.905563,	0.737387,	0.983182,	0.983182,	0.258732,	0.569211,	0.0776197,	0.064683,	1.00906,	0.323415,	0.931436,	0.918499,	0.323415,	0.194049,	0.517464,	2.70375,	1.78525,	2.39327,	0.155239,	0.142303,	0.129366,	1.66882,	0.258732,	0.659767,	0.426908,	2.35446,	0.129366,	0.413972,	0.0776197,	0.87969,	1.79819,	0.517464,	0.245796,	1.03493,	0.284605,	1.63001,	3.54463,	0.426908,	2.60026,	0.297542,	1.48771,	0.323415,	0.491591,	0.323415,	0.271669,	0.232859,	0.491591,	0.608021,	0.970246,	0.155239,	1.19017,	0.129366,	0.11643,	0.11643,	0.672704,	1.29366,	0.375162,	0.064683,	0.181113,	0.232859,	0.68564,	1.34541,	
CD20+,	0.251678,	20.0364,	2.06935,	1.07662,	3.55145,	0.503356,	0.475392,	0.307606,	0.349553,	0.307606,	0.153803,	1.88758,	1.37025,	0.433445,	0.279642,	0.755034,	0.475392,	1.35626,	2.57271,	0.447427,	0.894855,	0.713087,	0.964765,	2.27908,	0.321588,	0.699105,	0.251678,	0.894855,	0.167785,	0.26566,	0.86689,	0.824944,	0.391499,	2.04139,	1.38423,	0.587248,	0.363535,	3.03412,	0.671141,	1.06264,	0.629195,	0.727069,	0.167785,	0.475392,	0.111857,	0.0699105,	1.18848,	0.237696,	1.23043,	0.824944,	0.209732,	0.195749,	0.699105,	2.79642,	1.27237,	1.8736,	0.125839,	0.26566,	0.125839,	1.21644,	0.209732,	0.86689,	0.685123,	1.46812,	0.153803,	0.53132,	0.0978747,	1.0906,	1.66387,	0.447427,	0.0978747,	1.23043,	0.111857,	1.21644,	3.49553,	0.461409,	2.23714,	0.433445,	1.566,	0.349553,	0.377517,	0.307606,	0.153803,	0.377517,	0.629195,	0.86689,	1.07662,	0.0978747,	1.25839,	0.0838926,	0.153803,	0.0838926,	0.559284,	0.699105,	0.237696,	0.111857,	0.139821,	0.223714,	0.657159,	1.70582,	
GM06990,	0.397746,	21.2463,	3.14882,	2.12131,	1.06066,	2.25389,	0.198873,	0.828638,	0.513755,	0.0497183,	0.795492,	1.44183,	2.20418,	0.414319,	1.70699,	1.54127,	1.11037,	0.149155,	0.563474,	0.894929,	0.546901,	0.132582,	0.165728,	1.62413,	0.1823,	0.149155,	0.944647,	0.894929,	0.712628,	0.198873,	0.745774,	0.762347,	0.248591,	1.95559,	1.62413,	0.149155,	0.944647,	2.51906,	0.530328,	4.0769,	0.580046,	0.696056,	0.215446,	0.430892,	0.0331455,	0.430892,	0.0828638,	0.0497183,	1.17667,	0.48061,	0.29831,	0.248591,	0.0994365,	0.878356,	0.348028,	0.430892,	0.331455,	0.464037,	0.364601,	0.381173,	0.596619,	1.47498,	0.198873,	0.778919,	0.215446,	0.314882,	0.0165728,	2.08817,	1.80643,	0.0331455,	1.11037,	2.3699,	0.0828638,	0.530328,	1.93901,	0.215446,	1.55784,	0.132582,	4.39178,	0.397746,	0.928074,	1.19324,	0.0497183,	0.165728,	0.795492,	0.928074,	1.12695,	0.0994365,	0.513755,	0.29831,	0.0828638,	0.132582,	0.812065,	0.165728,	0.0331455,	0.265164,	0.248591,	0.165728,	0.132582,	1.83958,	
GM12865,	0.436562,	18.1855,	2.61937,	1.3779,	4.36562,	0.422919,	0.559345,	0.300136,	0.395634,	0.327422,	0.095498,	2.23738,	1.14598,	0.286494,	0.231924,	0.709413,	0.627558,	1.11869,	2.42838,	0.763984,	0.613915,	0.832196,	0.982265,	2.52387,	0.245566,	0.436562,	0.190996,	0.900409,	0.300136,	0.204638,	0.395634,	0.941337,	0.395634,	1.85539,	1.22783,	0.450205,	0.341064,	3.08322,	0.804911,	0.968622,	0.804911,	0.613915,	0.150068,	0.47749,	0.0545703,	0.0272851,	1.02319,	0.245566,	1.02319,	0.995907,	0.218281,	0.163711,	0.47749,	2.34652,	1.32333,	2.57844,	0.136426,	0.109141,	0.095498,	1.77353,	0.313779,	0.613915,	0.58663,	2.12824,	0.109141,	0.47749,	0.095498,	1.14598,	1.66439,	0.53206,	0.136426,	1.17326,	0.136426,	1.51432,	3.28786,	0.300136,	2.55116,	0.422919,	1.9236,	0.163711,	0.313779,	0.286494,	0.163711,	0.218281,	0.572988,	0.859482,	1.07776,	0.109141,	1.11869,	0.150068,	0.136426,	0.0409277,	0.463847,	1.15962,	0.300136,	0.0136426,	0.177353,	0.0818554,	0.723056,	1.78718,	
H7-hESC,	0.28997,	15.3025,	2.24067,	2.05615,	4.74496,	0.448135,	0.777646,	0.540398,	0.421774,	0.342691,	0.0790826,	3.15013,	1.01489,	0.474496,	0.487676,	0.514037,	0.487676,	0.935811,	2.05615,	0.434955,	0.711744,	1.33122,	1.6871,	2.62291,	0.408594,	0.830368,	0.184526,	0.90945,	0.118624,	0.329511,	0.619481,	1.05444,	0.59312,	1.83208,	1.15988,	0.645842,	0.210887,	2.30658,	0.764466,	0.421774,	1.05444,	0.817187,	0.448135,	0.659022,	0.105444,	0.0790826,	1.04125,	0.329511,	0.90945,	1.10716,	0.395413,	0.30315,	0.448135,	2.20113,	1.67392,	2.33294,	0.0659022,	0.171346,	0.105444,	1.6871,	0.421774,	0.487676,	0.316331,	2.18795,	0.105444,	0.514037,	0.0659022,	0.975353,	1.47621,	0.329511,	0.105444,	0.975353,	0.224067,	1.51575,	3.41373,	0.566759,	2.8997,	0.30315,	1.62119,	0.237248,	0.619481,	0.276789,	0.210887,	0.250428,	0.711744,	0.566759,	0.843548,	0.105444,	1.76618,	0.118624,	0.0790826,	0.144985,	0.698563,	0.883089,	0.263609,	0.0395413,	0.28997,	0.0659022,	0.448135,	1.39713,	
HA-h,	0.498194,	12.1435,	2.78989,	1.83086,	3.54963,	0.535559,	0.510649,	0.572923,	0.660107,	0.373646,	0.224187,	1.66895,	0.87184,	0.510649,	0.41101,	0.647652,	0.722381,	1.50704,	2.74007,	0.971478,	0.909204,	0.87184,	1.19567,	2.16714,	0.548013,	0.772201,	0.323826,	0.934114,	0.137003,	0.3861,	1.09603,	1.03375,	0.548013,	1.71877,	1.43231,	0.734836,	0.311371,	2.78989,	1.03375,	0.610288,	1.03375,	1.05866,	0.336281,	0.87184,	0.174368,	0.087184,	1.4074,	0.261552,	0.859385,	0.859385,	0.423465,	0.261552,	0.834475,	2.46606,	1.66895,	2.29169,	0.161913,	0.199278,	0.149458,	1.34512,	0.43592,	0.87184,	0.697472,	1.64404,	0.274007,	0.734836,	0.323826,	0.971478,	1.10848,	0.660107,	0.236642,	0.87184,	0.186823,	1.81841,	2.7027,	0.784656,	2.16714,	0.610288,	1.23303,	0.41101,	0.510649,	0.398555,	0.186823,	0.336281,	0.82202,	0.79711,	0.84693,	0.137003,	1.39494,	0.186823,	0.298916,	0.149458,	0.610288,	0.896749,	0.361191,	0.0498194,	0.249097,	0.348736,	1.18321,	1.44476,	
HAEpiC,	0.33972,	16.5783,	2.29651,	2.1878,	4.66096,	0.57073,	0.652263,	0.529963,	0.326131,	0.244598,	0.149477,	3.07107,	0.883272,	0.489197,	0.326131,	0.434842,	0.448431,	0.693029,	2.13344,	0.529963,	0.801739,	1.454,	1.64425,	2.32369,	0.475608,	0.625085,	0.23101,	0.883272,	0.122299,	0.258187,	0.557141,	0.978394,	0.638674,	1.53553,	1.10069,	0.502786,	0.271776,	2.50034,	1.0871,	0.462019,	1.11428,	0.924039,	0.244598,	0.638674,	0.0543552,	0.0407664,	0.883272,	0.298954,	1.04634,	0.883272,	0.23101,	0.203832,	0.489197,	2.05191,	1.56271,	2.35086,	0.0951216,	0.23101,	0.0407664,	1.73937,	0.163066,	0.366898,	0.584319,	2.0655,	0.10871,	0.529963,	0.149477,	1.01916,	1.53553,	0.543552,	0.244598,	0.828917,	0.176654,	1.454,	3.47873,	0.448431,	3.26131,	0.298954,	1.26376,	0.285365,	0.584319,	0.176654,	0.298954,	0.366898,	0.67944,	0.706618,	0.924039,	0.149477,	1.15505,	0.067944,	0.10871,	0.0407664,	0.529963,	1.35888,	0.353309,	0.0543552,	0.217421,	0.0543552,	0.625085,	1.61707,	
HCF,	0.328601,	15.3523,	2.40536,	1.39327,	3.90379,	0.433754,	0.55205,	0.55205,	0.48633,	0.499474,	0.118297,	2.30021,	0.893796,	0.236593,	0.35489,	0.512618,	0.880652,	1.30126,	2.37907,	0.696635,	0.670347,	1.11724,	1.09096,	2.37907,	0.407466,	0.722923,	0.157729,	0.814932,	0.157729,	0.236593,	0.630915,	1.09096,	0.433754,	1.53785,	1.18297,	0.525762,	0.35489,	2.64196,	1.03838,	1.13039,	1.24869,	0.630915,	0.236593,	0.565195,	0.105152,	0.0788644,	1.30126,	0.341746,	1.05152,	0.959516,	0.302313,	0.262881,	0.512618,	2.45794,	1.47213,	2.64196,	0.157729,	0.184017,	0.131441,	1.80074,	0.249737,	0.736067,	0.565195,	2.03733,	0.197161,	0.801788,	0.118297,	1.13039,	1.6693,	0.565195,	0.131441,	0.933228,	0.289169,	2.01104,	3.25973,	0.55205,	2.5368,	0.42061,	1.34069,	0.368034,	0.368034,	0.341746,	0.289169,	0.210305,	0.617771,	0.749211,	0.828076,	0.118297,	1.06467,	0.0920084,	0.157729,	0.0920084,	0.499474,	1.13039,	0.210305,	0.0394322,	0.236593,	0.118297,	0.762355,	1.81388,	
HCM,	0.413168,	14.8607,	2.61229,	1.53272,	4.3316,	0.506464,	0.453152,	0.479808,	0.373184,	0.439824,	0.173264,	1.86592,	0.826336,	0.46648,	0.359856,	0.573104,	0.439824,	1.3328,	2.65227,	0.693056,	0.59976,	0.972944,	1.4261,	2.21245,	0.46648,	0.639744,	0.19992,	0.786352,	0.053312,	0.359856,	0.626416,	0.86632,	0.639744,	1.51939,	1.15954,	0.59976,	0.319872,	3.22538,	0.972944,	1.05291,	1.11955,	0.773024,	0.213248,	0.413168,	0.159936,	0.093296,	1.4261,	0.39984,	0.786352,	1.14621,	0.306544,	0.319872,	0.546448,	2.7589,	1.61269,	2.55898,	0.026656,	0.13328,	0.06664,	1.97254,	0.239904,	0.746368,	0.653072,	2.19912,	0.106624,	0.546448,	0.119952,	0.786352,	1.59936,	0.679728,	0.213248,	0.919632,	0.19992,	1.71931,	3.35866,	0.479808,	2.35906,	0.453152,	1.2395,	0.39984,	0.559776,	0.3332,	0.279888,	0.346528,	0.6664,	0.546448,	0.6664,	0.06664,	0.972944,	0.13328,	0.19992,	0.119952,	0.626416,	1.31947,	0.253232,	0.079968,	0.226576,	0.213248,	0.786352,	1.666,	
