cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	49.1503,	0.849749,	2.70375,	0.482812,	0.1545,	0.135187,	0.984936,	0.328312,	0.0965624,	0.405562,	0.502124,	1.66087,	0.0965624,	4.24874,	0.0965624,	1.19737,	0.115875,	0.0965624,	0.251062,	0.405562,	0.193125,	0.0579374,	0.1545,	0.173812,	0.270375,	1.46775,	0.135187,	0.309,	0.579374,	0.38625,	0.38625,	0.23175,	1.00425,	0.23175,	0.135187,	0.617999,	0.270375,	0.193125,	0.946311,	0.869061,	0.0386249,	0,	0.598687,	0.0193125,	0.135187,	0.0579374,	0.135187,	0.444187,	0.521437,	0,	0.135187,	0.444187,	1.33256,	1.10081,	0.617999,	0.212437,	0.366937,	0.0386249,	0.270375,	0.1545,	1.81537,	0.0965624,	0.173812,	0,	0.849749,	0.0579374,	0.811124,	0.309,	0.0386249,	0.270375,	2.20162,	0.0772499,	0.0965624,	0.444187,	0.405562,	0.289687,	0.0386249,	1.98919,	0.173812,	2.06643,	0.251062,	0.0193125,	1.17806,	3.16725,	0.0965624,	1.13944,	0.0965624,	0.463499,	0.289687,	0,	0.309,	0.289687,	0.0579374,	0.0193125,	0.23175,	0.347625,	0.502124,	0.0193125,	0.115875,	
AoAF,	0.0580945,	47.8118,	1.14253,	2.45933,	0.580945,	0.271108,	0.309837,	0.987607,	0.174284,	0.174284,	0.774593,	0.697134,	1.58792,	0.0968242,	4.02789,	0.135554,	1.41363,	0.154919,	0.174284,	0.0774593,	0.271108,	0.193648,	0.0193648,	0.0774593,	0.116189,	0.154919,	1.7622,	0.0774593,	0.251743,	0.60031,	0.309837,	0.503486,	0.213013,	0.63904,	0.0774593,	0.0580945,	0.426026,	0.251743,	0.193648,	0.948877,	1.12316,	0.0774593,	0.0580945,	0.542215,	0.193648,	0.174284,	0.0580945,	0.135554,	0.367932,	0.329202,	0,	0.135554,	0.658404,	1.08443,	1.35554,	0.948877,	0.154919,	0.406661,	0.193648,	0.116189,	0.213013,	2.28505,	0.174284,	0.213013,	0.0387297,	0.871417,	0.116189,	1.08443,	0.193648,	0.0387297,	0.251743,	2.24632,	0.0774593,	0.0968242,	0.619675,	0.387297,	0.154919,	0.0193648,	2.07204,	0.290473,	1.74283,	0.445391,	0,	1.0457,	3.31139,	0.367932,	1.23935,	0,	0.464756,	0.329202,	0.0193648,	0.232378,	0.174284,	0.0193648,	0,	0.116189,	0.213013,	0.251743,	0.0580945,	0.154919,	
CD20+,	0.134409,	62.0968,	0.864055,	1.95853,	0.326421,	0.115207,	0.115207,	0.768049,	0.192012,	0.0192012,	0.384025,	0.460829,	0.806452,	0.172811,	2.05453,	0.115207,	0.806452,	0.0960061,	0.0960061,	0.0576037,	0.518433,	0.115207,	0.0384025,	0.172811,	0.0768049,	0.15361,	0.94086,	0.0576037,	0.30722,	0.30722,	0.230415,	0.499232,	0.115207,	0.556836,	0.134409,	0,	0.441628,	0.192012,	0.288018,	0.825653,	0.729647,	0.0384025,	0.0192012,	0.556836,	0.326421,	0.0960061,	0.0384025,	0.0960061,	0.268817,	0.364823,	0.0192012,	0.134409,	0.30722,	1.30568,	0.998464,	0.480031,	0.230415,	0.249616,	0.249616,	0.192012,	0.192012,	1.5169,	0.115207,	0.230415,	0.0384025,	0.249616,	0.211214,	0.614439,	0.115207,	0.0384025,	0.15361,	1.6129,	0.192012,	0.192012,	0.556836,	0.403226,	0.211214,	0,	0.729647,	0.172811,	0.883257,	0.172811,	0.0192012,	0.595238,	2.89939,	0.134409,	1.09447,	0.0384025,	0.288018,	0.288018,	0.0192012,	0.326421,	0.384025,	0.0576037,	0.0384025,	0.192012,	0.211214,	0.384025,	0.0192012,	0.0960061,	
GM06990,	0.0968242,	45.2556,	1.47173,	2.22696,	2.53679,	0.387297,	0.154919,	0.426026,	0.193648,	0.0193648,	0.116189,	0.464756,	0.251743,	0.271108,	0.464756,	0.251743,	0.290473,	0.329202,	0.697134,	0.174284,	1.95585,	0.406661,	0.677769,	0.329202,	0.116189,	0.852053,	0.348567,	0.213013,	0.0387297,	0.0193648,	0.716499,	1.20062,	0.193648,	0.251743,	1.12316,	0.213013,	0.60031,	1.14253,	0.832688,	0.135554,	1.58792,	0.426026,	0.213013,	0.755229,	0.0774593,	0.0387297,	0.503486,	0.174284,	0.271108,	1.33617,	0.290473,	0.232378,	0.271108,	2.74981,	4.27963,	1.62665,	0.0387297,	0.0580945,	0.0193648,	0.580945,	0.0387297,	0.503486,	0.56158,	0.290473,	0.135554,	0.193648,	0.0387297,	0.484121,	0.716499,	0.0193648,	0.0387297,	2.82727,	0.0968242,	0.135554,	0.735864,	1.78156,	0.968242,	0.0387297,	0.251743,	0.309837,	0.716499,	0.0968242,	0.0387297,	0.542215,	0.387297,	0.464756,	2.8079,	0.0968242,	0.193648,	0.251743,	0.0580945,	0.0580945,	0.116189,	0.174284,	0.0387297,	0.0193648,	0,	0.0774593,	0.290473,	0.426026,	
GM12865,	0.0573943,	43.371,	0.631337,	2.75493,	0.497417,	0.153051,	0.153051,	0.956572,	0.210446,	0.0765257,	0.688732,	0.459154,	2.06619,	0.153051,	5.01244,	0.0765257,	1.53051,	0.172183,	0.0956572,	0.0956572,	0.344366,	0.13392,	0.0573943,	0.210446,	0.13392,	0.286972,	1.95141,	0.0956572,	0.248709,	0.975703,	0.229577,	0.40176,	0.191314,	0.688732,	0.153051,	0.0191314,	0.573943,	0.229577,	0.325234,	1.24354,	0.93744,	0.0573943,	0.0191314,	0.478286,	0.114789,	0.153051,	0,	0.0573943,	0.478286,	0.40176,	0,	0.153051,	0.459154,	1.05223,	1.01397,	0.707863,	0.210446,	0.382629,	0.153051,	0.191314,	0.172183,	2.50622,	0.0765257,	0.191314,	0.0573943,	0.899177,	0.13392,	0.93744,	0.229577,	0.0191314,	0.172183,	2.54448,	0.0765257,	0.0765257,	0.478286,	0.40176,	0.26784,	0.0191314,	2.25751,	0.191314,	2.73579,	0.478286,	0,	1.79835,	3.92194,	0.172183,	1.49225,	0.0956572,	0.440023,	0.325234,	0.0573943,	0.344366,	0.286972,	0,	0.0382629,	0.286972,	0.325234,	0.631337,	0.0191314,	0.114789,	
H7-hESC,	0.0576812,	32.3592,	1.1344,	2.9802,	0.65372,	0.422996,	0.480677,	1.38435,	0.115362,	0.0576812,	0.615266,	0.499904,	2.48029,	0.134589,	5.24899,	0.153817,	1.73044,	0.230725,	0.0961354,	0.307633,	0.634493,	0.249952,	0.0576812,	0.192271,	0.211498,	0.269179,	2.13421,	0.153817,	0.403769,	1.32667,	0.346087,	0.538358,	0.192271,	0.615266,	0.134589,	0.0961354,	0.634493,	0.288406,	0.365314,	1.26899,	1.09594,	0.153817,	0.0576812,	0.730629,	0.134589,	0.115362,	0.0192271,	0.211498,	0.865218,	0.365314,	0.0384541,	0.134589,	0.961354,	1.07672,	1.30744,	0.922899,	0.288406,	0.769083,	0.134589,	0.211498,	0.230725,	3.09556,	0.0961354,	0.230725,	0.0384541,	1.23053,	0.153817,	0.961354,	0.211498,	0.115362,	0.230725,	2.36493,	0.0384541,	0.134589,	0.692175,	0.634493,	0.365314,	0.0192271,	2.88406,	0.346087,	2.61488,	1.17285,	0.0192271,	1.21131,	4.69141,	0.269179,	1.09594,	0.0961354,	0.499904,	0.384541,	0.0576812,	0.346087,	0.384541,	0.269179,	0.0384541,	0.422996,	0.596039,	0.615266,	0.0576812,	0.230725,	
HA-h,	0.152178,	48.678,	0.894046,	2.37778,	0.209245,	0.1712,	0.190223,	0.665779,	0.361423,	0.076089,	0.475556,	0.342401,	1.06525,	0.285334,	3.21476,	0.0380445,	0.894046,	0.076089,	0.133156,	0.114134,	0.703823,	0.1712,	0.0570668,	0.076089,	0.152178,	0.209245,	1.10329,	0.114134,	0.437512,	0.627734,	0.475556,	0.627734,	0.133156,	0.437512,	0.209245,	0.0190223,	0.722846,	0.152178,	0.209245,	0.76089,	1.00818,	0.133156,	0.0951113,	0.646757,	0.361423,	0.266312,	0,	0.152178,	0.247289,	0.513601,	0.0380445,	0.304356,	0.342401,	1.27449,	1.12231,	0.380445,	0.285334,	0.361423,	0.114134,	0.1712,	0.152178,	1.90223,	0.1712,	0.247289,	0.0380445,	0.532623,	0.285334,	0.741868,	0.076089,	0.0380445,	0.190223,	2.89138,	0.342401,	0.0570668,	0.41849,	0.494579,	0.190223,	0.0190223,	1.1984,	0.1712,	1.57885,	0.247289,	0,	1.73103,	4.3561,	0.1712,	2.14951,	0.0190223,	0.304356,	0.437512,	0.0380445,	0.798935,	0.285334,	0.0190223,	0.0190223,	0.41849,	0.494579,	1.0272,	0.0380445,	0.076089,	
HAEpiC,	0.0964692,	41.1538,	1.23481,	2.72043,	0.694578,	0.308702,	0.463052,	1.11904,	0.231526,	0.0964692,	0.829635,	0.540228,	1.73645,	0.173645,	4.90064,	0.115763,	1.54351,	0.115763,	0.173645,	0.192938,	0.559521,	0.135057,	0.0385877,	0.231526,	0.0964692,	0.25082,	1.92938,	0.135057,	0.192938,	0.733166,	0.25082,	0.791048,	0.327995,	0.636697,	0.212232,	0.0771754,	0.578815,	0.308702,	0.308702,	1.04187,	1.27339,	0.154351,	0,	0.675285,	0.0771754,	0.0578815,	0,	0.135057,	0.694578,	0.424465,	0.0771754,	0.0964692,	0.617403,	1.29269,	1.29269,	0.771754,	0.192938,	0.50164,	0.115763,	0.173645,	0.231526,	2.56608,	0.25082,	0.212232,	0.0385877,	0.926105,	0.115763,	0.906811,	0.173645,	0.0192938,	0.289408,	2.04515,	0.0771754,	0.154351,	0.675285,	0.617403,	0.366583,	0,	1.98727,	0.270114,	2.23809,	0.694578,	0.0192938,	1.31198,	3.64654,	0.270114,	1.29269,	0.0385877,	0.366583,	0.443758,	0.0578815,	0.231526,	0.366583,	0.0385877,	0.0578815,	0.192938,	0.405171,	0.424465,	0.0385877,	0.0385877,	
HCF,	0.0191755,	45.7335,	0.767018,	3.01055,	0.42186,	0.153404,	0.230105,	1.05465,	0.191755,	0.0958773,	0.517737,	0.306807,	1.86002,	0.172579,	5.00479,	0.115053,	1.36146,	0.134228,	0.153404,	0.0958773,	0.402685,	0.0767018,	0.0383509,	0.0191755,	0.0383509,	0.230105,	2.12848,	0.0383509,	0.115053,	0.728667,	0.402685,	0.402685,	0.191755,	0.594439,	0.134228,	0.0383509,	0.383509,	0.268456,	0.268456,	0.997124,	0.997124,	0.0383509,	0.0191755,	0.709492,	0.153404,	0.115053,	0,	0.115053,	0.479386,	0.345158,	0,	0.0958773,	0.556088,	1.26558,	0.997124,	0.767018,	0.0767018,	0.383509,	0.134228,	0.21093,	0.172579,	2.47363,	0.115053,	0.191755,	0,	0.862895,	0.230105,	0.958773,	0.21093,	0.0383509,	0.172579,	2.58869,	0.0575264,	0.153404,	0.460211,	0.287632,	0.115053,	0.0191755,	2.186,	0.191755,	2.39693,	0.536913,	0.0575264,	1.20805,	3.91179,	0.191755,	1.07383,	0.0383509,	0.594439,	0.287632,	0.0575264,	0.230105,	0.306807,	0.0191755,	0.0383509,	0.172579,	0.441035,	0.441035,	0.0575264,	0.0958773,	
