cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.312221,	22.8368,	0.579839,	2.85459,	0.892061,	2.31936,	0.0892061,	2.58698,	1.02587,	0.133809,	0.267618,	0.401427,	1.02587,	1.5165,	0.579839,	0.669046,	0.490633,	0.044603,	0.44603,	0.713648,	1.69492,	0.0892061,	0.579839,	4.63872,	0,	0.356824,	0.312221,	0.44603,	0.044603,	0.267618,	0.44603,	1.02587,	0.223015,	1.56111,	1.60571,	0.713648,	0.267618,	2.27475,	1.4273,	0.802855,	0.669046,	0.133809,	0.044603,	1.11508,	0.267618,	0.44603,	0.936664,	0,	0.312221,	1.96253,	0.892061,	0.178412,	0.133809,	0.669046,	1.69492,	0.267618,	0.044603,	0.267618,	0.0892061,	0.981267,	2.09634,	0.624442,	3.79126,	0.401427,	0.847458,	0.981267,	0.401427,	1.24888,	2.36396,	0.178412,	0.044603,	1.38269,	0.267618,	0.178412,	0.713648,	0.356824,	3.65745,	0.44603,	0.936664,	0,	0.44603,	0.044603,	0.044603,	0.133809,	0.401427,	0.178412,	2.27475,	0,	1.38269,	0.044603,	0.758252,	1.20428,	0.178412,	0.267618,	0,	0.044603,	0.133809,	0.044603,	1.73952,	0.0892061,	
AoAF,	0.656168,	19.0726,	0.437445,	4.33071,	1.00612,	1.79353,	0.131234,	2.75591,	0.743657,	0.131234,	0.306212,	0.306212,	0.656168,	1.22485,	1.00612,	0.48119,	0.699913,	0.0437445,	0.874891,	0.656168,	1.09361,	0.0437445,	0.612423,	3.54331,	0.0874891,	0.524934,	0.306212,	0.349956,	0.131234,	0.131234,	0.699913,	1.00612,	0.0874891,	1.70604,	2.05599,	0.48119,	0.743657,	2.31846,	1.88101,	0.874891,	0.918635,	0.262467,	0.131234,	1.35608,	0.131234,	0.262467,	0.787402,	0.0437445,	0.0874891,	3.14961,	1.00612,	0.0437445,	0.131234,	1.1811,	1.35608,	0.349956,	0,	0.0874891,	0,	0.918635,	2.49344,	0.656168,	4.06824,	0.437445,	0.699913,	1.53106,	0.524934,	0.918635,	2.05599,	0.131234,	0.0874891,	2.14348,	0.393701,	0.306212,	0.393701,	0.437445,	3.58705,	0.612423,	0.656168,	0.0437445,	0.218723,	0,	0.0874891,	0.131234,	0.524934,	0.262467,	2.88714,	0.0437445,	1.35608,	0.0874891,	0.524934,	1.39983,	0.218723,	0.174978,	0,	0,	0.306212,	0,	1.13736,	0.262467,	
CD20+,	0.555556,	23.0093,	0.648148,	3.24074,	1.01852,	1.2037,	0.138889,	1.38889,	1.2963,	0.0462963,	0.185185,	1.11111,	0.833333,	0.833333,	0.37037,	0.787037,	0.138889,	0,	0.601852,	0.833333,	1.48148,	0.138889,	0.277778,	3.75,	0,	0.277778,	0.185185,	0.277778,	0.138889,	0.37037,	0.833333,	1.11111,	0.138889,	1.80556,	1.71296,	0.555556,	0.555556,	3.28704,	0.972222,	1.25,	0.555556,	0.37037,	0.0462963,	0.787037,	0.0462963,	0.555556,	0.555556,	0,	0.416667,	2.73148,	0.87963,	0.0462963,	0.138889,	0.87963,	1.15741,	0.555556,	0.0462963,	0.0462963,	0,	0.925926,	1.52778,	0.555556,	3.42593,	0.509259,	0.740741,	0.694444,	0.509259,	1.11111,	2.5,	0.138889,	0.231481,	1.71296,	0.185185,	0.416667,	1.01852,	0.277778,	4.39815,	0.416667,	0.972222,	0.0462963,	0.37037,	0.0925926,	0,	0.185185,	0.231481,	0.324074,	4.53704,	0.0462963,	0.509259,	0.185185,	0.509259,	0.833333,	0.37037,	0.555556,	0,	0,	0.231481,	0.0462963,	1.11111,	0.37037,	
GM06990,	0.379816,	30.6565,	2.87575,	4.9376,	1.89908,	0.0542594,	0.0542594,	0.596853,	1.24797,	0.108519,	0.0542594,	1.30222,	1.84482,	0.217037,	0.705372,	0.922409,	0.596853,	0.705372,	0.325556,	0.596853,	0.542594,	0.325556,	0.488334,	1.13945,	0.542594,	0.0542594,	0.488334,	0.542594,	0.271297,	0.217037,	0.108519,	0.379816,	0.705372,	0.705372,	0.542594,	0.217037,	0.379816,	1.24797,	0.542594,	1.30222,	1.03093,	0.596853,	0.108519,	0.651112,	0,	0.542594,	0.271297,	0.651112,	1.57352,	0.922409,	0,	0.325556,	0.434075,	1.68204,	3.68964,	0.86815,	0.271297,	0.596853,	0.162778,	0.379816,	0.596853,	0.434075,	0.0542594,	0.162778,	0.0542594,	0.108519,	0,	0.705372,	0.705372,	0,	0.596853,	1.51926,	0.0542594,	0.325556,	2.65871,	0.162778,	1.89908,	0.162778,	3.2013,	0.379816,	0.976668,	0.651112,	0.0542594,	0.271297,	1.7363,	0.271297,	1.7363,	0.108519,	0.162778,	0.81389,	0,	0.0542594,	1.24797,	0.488334,	0,	0.0542594,	0.0542594,	0.434075,	0.325556,	1.19371,	
GM12865,	1.12511,	15.4365,	0.855086,	2.65527,	1.0351,	1.93519,	0.135013,	2.25023,	1.26013,	0.135013,	0.405041,	0.765077,	1.21512,	1.0351,	0.585059,	0.765077,	0.315031,	0.0450045,	0.49505,	0.90009,	0.810081,	0,	0.765077,	5.85058,	0,	0.49505,	0.0450045,	0.540054,	0.135013,	0.135013,	0.270027,	0.810081,	0.225023,	1.57516,	1.44014,	0.540054,	0.765077,	3.37534,	1.08011,	0.675067,	0.225023,	0.450045,	0,	1.35013,	0.270027,	0.49505,	0.765077,	0.0450045,	0.49505,	2.20522,	0.90009,	0.0450045,	0.180018,	0.675067,	0.765077,	0.450045,	0,	0.135013,	0,	1.17012,	3.10531,	0.675067,	4.68047,	0.585059,	0.90009,	1.08011,	0.630063,	1.26013,	3.10531,	0.450045,	0,	1.35013,	0.270027,	0.450045,	0.990099,	0.405041,	4.9955,	0.540054,	1.30513,	0.0450045,	0.450045,	0.135013,	0.090009,	0.0450045,	0.180018,	0.360036,	2.07021,	0,	1.17012,	0.0450045,	0.810081,	1.62016,	0.270027,	0.270027,	0,	0,	0.225023,	0.135013,	1.57516,	0.225023,	
H7-hESC,	0.534759,	15.2406,	0.713012,	3.16399,	1.02496,	1.38146,	0.26738,	2.04991,	0.980392,	0.311943,	0.623886,	0.668449,	1.15865,	1.64884,	0.311943,	0.579323,	0.579323,	0.0891266,	0.534759,	1.38146,	1.47059,	0.0445633,	0.713012,	4.63458,	0.0445633,	0.534759,	0.178253,	0.401069,	0,	0.401069,	0.623886,	0.311943,	0.178253,	1.11408,	1.64884,	0.846702,	0.401069,	2.62923,	1.51515,	1.20321,	0.891266,	0.534759,	0.13369,	1.42602,	0.26738,	0.713012,	0.668449,	0,	0.401069,	2.49554,	0.713012,	0.0445633,	0.222816,	1.15865,	1.20321,	0.490196,	0,	0.0891266,	0,	1.20321,	3.11943,	0.757576,	3.78788,	0.713012,	1.06952,	1.02496,	0.891266,	0.802139,	2.09447,	0.222816,	0.0445633,	1.51515,	0.713012,	0.534759,	1.3369,	0.490196,	4.27807,	0.668449,	1.02496,	0,	0.311943,	0.13369,	0.0891266,	0.178253,	0.534759,	0.26738,	2.62923,	0,	1.3369,	0.0445633,	0.534759,	1.73797,	0.311943,	0.579323,	0,	0,	0.222816,	0.0445633,	0.802139,	0.356506,	
HA-h,	0.684932,	16.2243,	0.684932,	3.38185,	0.684932,	1.66952,	0.0856164,	2.0976,	1.5839,	0.171233,	0.428082,	0.342466,	1.0274,	1.49829,	0.513699,	0.642123,	0.385274,	0.128425,	0.47089,	0.941781,	1.84075,	0,	0.513699,	4.10959,	0.0428082,	0.47089,	0.171233,	0.556507,	0.0856164,	0.171233,	0.984589,	0.72774,	0.171233,	1.07021,	1.79795,	0.556507,	0.556507,	2.14041,	1.11301,	0.47089,	0.984589,	0.256849,	0.171233,	1.49829,	0.0856164,	0.642123,	0.72774,	0.0428082,	0.0856164,	3.25342,	1.11301,	0,	0.385274,	1.11301,	1.62671,	0.342466,	0.0428082,	0.171233,	0.128425,	0.856164,	2.26884,	0.642123,	5.30822,	0.642123,	1.28425,	1.0274,	0.513699,	0.684932,	2.0976,	0.171233,	0.0856164,	1.5839,	0.513699,	0.72774,	0.599315,	0.428082,	3.16781,	0.299658,	0.72774,	0,	0.47089,	0.0856164,	0.128425,	0.428082,	0.214041,	0.214041,	4.28082,	0.0428082,	1.79795,	0.0856164,	0.941781,	1.5839,	0.428082,	0.342466,	0,	0,	0.428082,	0.0428082,	0.898973,	0.0856164,	
HAEpiC,	0.310835,	19.8046,	1.02131,	3.5968,	1.11012,	2.30906,	0.133215,	2.44227,	0.79929,	0.44405,	0.71048,	0.577265,	0.888099,	1.11012,	0.843695,	0.62167,	0.666075,	0,	0.53286,	1.02131,	1.06572,	0.044405,	0.35524,	4.08526,	0.044405,	0.44405,	0.222025,	0.35524,	0,	0.26643,	0.79929,	1.06572,	0.26643,	1.46536,	1.37655,	0.35524,	0.310835,	1.95382,	1.64298,	0.79929,	0.71048,	0.17762,	0,	1.55417,	0.133215,	0.53286,	0.666075,	0.044405,	0.133215,	2.22025,	0.754885,	0.08881,	0.310835,	0.888099,	2.04263,	0.71048,	0.08881,	0.17762,	0,	0.932504,	2.13144,	0.62167,	3.50799,	0.53286,	0.577265,	1.37655,	0.53286,	1.06572,	1.73179,	0.310835,	0.222025,	1.7762,	0.35524,	0.310835,	0.71048,	0.577265,	3.19716,	0.17762,	0.53286,	0,	0.577265,	0,	0.17762,	0.577265,	0.577265,	0.26643,	3.33037,	0,	2.22025,	0.044405,	0.35524,	1.68739,	0.222025,	0.222025,	0.133215,	0,	0.17762,	0,	0.888099,	0.26643,	
HCF,	0.662544,	17.9329,	0.485866,	3.9311,	0.927562,	1.85512,	0.176678,	2.25265,	1.23675,	0.176678,	0.353357,	0.353357,	0.927562,	1.36926,	0.618375,	0.530035,	0.397527,	0.265018,	0.441696,	1.0159,	1.59011,	0.0883392,	0.353357,	4.19611,	0.0441696,	0.706714,	0.220848,	0.220848,	0.0441696,	0.176678,	0.662544,	1.10424,	0.441696,	0.839223,	1.28092,	0.618375,	0.574205,	2.0318,	1.32509,	0.662544,	0.574205,	0.441696,	0.0441696,	1.36926,	0.220848,	0.441696,	1.0159,	0,	0.132509,	2.73852,	1.28092,	0.0441696,	0.132509,	0.883392,	1.23675,	0.530035,	0.0441696,	0.220848,	0,	1.59011,	2.82686,	0.795053,	4.68198,	0.706714,	1.06007,	1.23675,	0.441696,	0.795053,	2.16431,	0.176678,	0.0441696,	1.76678,	0.397527,	0.353357,	0.574205,	0.530035,	3.62191,	0.574205,	1.06007,	0.0441696,	0.397527,	0.0441696,	0.0883392,	0.0883392,	0.397527,	0.265018,	2.60601,	0,	1.41343,	0,	0.397527,	1.63428,	0.441696,	0.441696,	0,	0,	0.176678,	0,	1.28092,	0.441696,	
HCM,	0.578292,	15.7028,	0.44484,	3.6032,	0.756228,	1.60142,	0.133452,	2.53559,	1.29004,	0.177936,	0.311388,	0.22242,	0.978648,	1.46797,	0.44484,	0.533808,	0.622776,	0,	0.44484,	1.02313,	1.55694,	0.088968,	0.578292,	5.91637,	0.044484,	0.533808,	0.177936,	0.266904,	0.044484,	0.133452,	1.06762,	0.756228,	0.266904,	1.06762,	1.69039,	0.622776,	0.533808,	2.04626,	1.42349,	0.622776,	0.711744,	0.177936,	0.088968,	0.978648,	0.266904,	0.355872,	0.88968,	0,	0.133452,	2.4911,	0.978648,	0,	0.133452,	0.622776,	1.82384,	0.800712,	0.133452,	0.088968,	0,	0.934164,	3.38078,	0.756228,	4.67082,	0.711744,	0.978648,	1.46797,	0.800712,	0.88968,	2.17972,	0.133452,	0.044484,	1.55694,	0.578292,	0.311388,	0.578292,	0.489324,	4.09253,	0.400356,	0.489324,	0.044484,	0.400356,	0.177936,	0.044484,	0.133452,	0.489324,	0.22242,	3.0694,	0,	1.73488,	0,	0.578292,	1.9573,	0.355872,	0.266904,	0,	0,	0.177936,	0.044484,	1.51246,	0.355872,	
