cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.279916,	11.3016,	3.88383,	0.909727,	3.324,	0.489853,	0.244927,	0.069979,	0.454864,	0.174948,	0.139958,	1.88943,	0.944717,	0.209937,	0.069979,	0.454864,	0.489853,	0.174948,	7.90763,	2.02939,	1.71449,	0.559832,	0.314906,	2.58922,	0.104969,	0.559832,	0.0349895,	1.64451,	0,	0.279916,	1.53954,	0.524843,	0.349895,	1.36459,	4.68859,	0.314906,	0.279916,	9.44717,	0.349895,	0.419874,	0.559832,	0.209937,	0.209937,	0.419874,	0.524843,	0.0349895,	0.664801,	0.629811,	0.594822,	1.22463,	0.804759,	0.209937,	0.279916,	2.72918,	0.559832,	0.909727,	0.139958,	0.174948,	0,	2.55423,	0.104969,	1.18964,	0.349895,	2.86914,	0.174948,	0.419874,	0.209937,	0.629811,	0.979706,	0.209937,	0.104969,	0.769769,	0.069979,	1.64451,	1.08467,	0.944717,	0.594822,	0.839748,	0.314906,	0.104969,	0,	0.279916,	0.139958,	0.349895,	0.174948,	1.08467,	0.454864,	0,	0.804759,	0.104969,	0.174948,	0.0349895,	2.97411,	0.384885,	0.209937,	0,	0.069979,	0.0349895,	0.73478,	2.41428,	
AoAF,	0.134589,	9.75774,	4.84522,	1.3459,	2.35532,	0.134589,	0.336474,	0.100942,	0.572005,	0.0672947,	0.201884,	2.79273,	0.77389,	0.269179,	0.302826,	0.235532,	0.100942,	0.269179,	8.44549,	2.22073,	1.61507,	1.07672,	0.235532,	1.9179,	0.0336474,	0.471063,	0.0336474,	1.54778,	0,	0.0672947,	1.37954,	0.370121,	0.370121,	1.2786,	4.60969,	0.235532,	0.302826,	11.4738,	0.336474,	0.437416,	0.740242,	0.134589,	0.235532,	0.302826,	0.605653,	0.100942,	0.672948,	0.740242,	0.605653,	0.874832,	0.807537,	0.302826,	0.100942,	3.12921,	0.538358,	0.77389,	0.0336474,	0.100942,	0,	2.92732,	0.0672947,	1.17766,	0.6393,	4.20592,	0.100942,	0.0672947,	0.100942,	0.77389,	0.572005,	0.168237,	0.100942,	0.706595,	0.0672947,	0.975774,	0.807537,	1.51413,	0.6393,	0.403769,	0.437416,	0.100942,	0,	0.134589,	0.0672947,	0.437416,	0.201884,	1.04307,	0.504711,	0,	1.31225,	0.235532,	0.235532,	0.100942,	2.42261,	0.269179,	0.100942,	0,	0.0336474,	0.0672947,	0.672948,	1.74966,	
CD20+,	0.152149,	17.6113,	2.81476,	1.06504,	2.96691,	0.456447,	0.456447,	0.114112,	0.342335,	0.190186,	0.152149,	1.71168,	1.14112,	0.304298,	0.152149,	0.760746,	0.152149,	0.152149,	6.35222,	1.36934,	1.36934,	0.83682,	0.228224,	3.72765,	0.0380373,	0.760746,	0.228224,	0.646634,	0,	0.152149,	1.74971,	0.41841,	0.380373,	1.36934,	3.53747,	0.646634,	0.114112,	8.74857,	0.228224,	0.760746,	0.456447,	0.760746,	0.190186,	0.342335,	0.532522,	0.0380373,	0.950932,	0.41841,	0.83682,	1.36934,	1.10308,	0.41841,	0.304298,	3.00494,	0.532522,	0.988969,	0.0380373,	0.114112,	0.0380373,	1.71168,	0.0760746,	0.532522,	0.570559,	2.43439,	0.190186,	0.114112,	0,	0.608596,	1.06504,	0.152149,	0.114112,	0.874857,	0.114112,	1.21719,	1.6356,	1.06504,	0.722708,	0.646634,	0.83682,	0,	0.152149,	0.0760746,	0.0380373,	0.152149,	0.266261,	0.494485,	0.83682,	0,	0.912895,	0.114112,	0.266261,	0.152149,	1.59757,	0.228224,	0.0380373,	0,	0,	0.152149,	0.760746,	2.28224,	
GM06990,	0.493938,	16.8837,	3.50247,	0.359228,	1.70633,	2.82892,	0.449035,	0.269421,	0.269421,	0.0449035,	0.0898069,	3.68208,	4.40054,	0.0449035,	1.48181,	0.763359,	1.03278,	0.224517,	0.314324,	0.493938,	0.314324,	0.224517,	0.673552,	1.16749,	0,	0.13471,	0.314324,	0.987876,	0.763359,	2.73911,	0.224517,	0.13471,	4.84957,	1.57162,	0.269421,	0.0898069,	0.314324,	3.41266,	0.628648,	6.28648,	0.314324,	0.224517,	0.179614,	0.0449035,	0.314324,	0.404131,	0.0449035,	0.224517,	1.48181,	0.0898069,	0.0898069,	0.0449035,	0.583745,	1.52672,	0.493938,	0.404131,	0.224517,	0.987876,	0.224517,	0.449035,	1.52672,	1.84104,	0.359228,	1.79614,	0.0449035,	0.269421,	0.0449035,	2.11046,	0.538841,	0.493938,	0.673552,	1.39201,	0,	0.179614,	1.3022,	0.269421,	3.41266,	0,	1.70633,	0.13471,	0.359228,	0.853166,	0.0898069,	0.269421,	1.12259,	0.898069,	0.404131,	0,	0.269421,	0.179614,	0,	0.224517,	0.404131,	0.224517,	0.0898069,	0.404131,	0.179614,	0.0898069,	0.538841,	2.51459,	
GM12865,	0.4019,	12.8608,	3.06905,	0.913409,	3.54403,	0.328827,	0.328827,	0.109609,	0.438436,	0.0730727,	0.146145,	2.48447,	1.49799,	0.182682,	0.255754,	0.730727,	0.146145,	0.146145,	7.74571,	1.89989,	1.57106,	0.584582,	0.438436,	3.39788,	0,	0.584582,	0.0365364,	1.46145,	0.0730727,	0.146145,	1.13263,	0.438436,	0.182682,	1.42492,	4.93241,	0.292291,	0.182682,	9.82828,	0.292291,	0.657654,	0.182682,	0.511509,	0.0730727,	0.182682,	0.511509,	0,	0.438436,	0.365364,	1.09609,	0.8038,	1.38838,	0.255754,	0.146145,	3.14213,	0.438436,	0.876873,	0.0365364,	0.0365364,	0,	2.22872,	0.0730727,	0.621118,	0.548045,	3.03252,	0.219218,	0.109609,	0.0365364,	0.767263,	1.13263,	0.146145,	0.182682,	1.02302,	0.0365364,	1.89989,	1.42492,	1.05955,	0.694191,	0.840336,	0.767263,	0.219218,	0,	0.182682,	0,	0.182682,	0.182682,	1.02302,	0.657654,	0,	0.767263,	0,	0.219218,	0.0365364,	1.97296,	0.328827,	0,	0.0730727,	0.109609,	0.0365364,	0.328827,	1.38838,	
H7-hESC,	0.0705467,	11.0758,	4.40917,	1.48148,	2.43386,	0.246914,	0.388007,	0,	0.352734,	0,	0.141093,	3.80952,	1.12875,	0.21164,	0.352734,	0.705467,	0.141093,	0.0705467,	7.65432,	1.86949,	1.23457,	1.30511,	0.176367,	2.61023,	0.10582,	0.493827,	0.0352734,	1.44621,	0,	0.0352734,	1.41093,	0.246914,	0.352734,	1.65785,	4.2328,	0.282187,	0.21164,	12.9453,	0.529101,	0.670194,	0.388007,	0.246914,	0.458554,	0.246914,	0.599647,	0,	0.31746,	0.42328,	0.881834,	0.634921,	0.740741,	0.246914,	0.141093,	3.49206,	0.42328,	0.529101,	0.176367,	0.0352734,	0.0352734,	2.68078,	0.0352734,	0.705467,	0.388007,	3.56261,	0.176367,	0.10582,	0.0352734,	0.881834,	0.458554,	0.10582,	0.10582,	0.670194,	0,	1.09347,	0.952381,	1.12875,	0.705467,	0.282187,	0.42328,	0.176367,	0.176367,	0.141093,	0.141093,	0.21164,	0.0352734,	1.23457,	0.740741,	0,	1.55203,	0.0705467,	0.0352734,	0.0705467,	1.94004,	0.10582,	0.0352734,	0.0705467,	0.0352734,	0.0352734,	0.493827,	1.65785,	
HA-h,	0.464037,	9.38018,	3.38084,	1.35897,	1.69042,	0.29831,	0.397746,	0.0331455,	0.331455,	0.165728,	0.165728,	1.29267,	1.16009,	0.397746,	0.497183,	0.497183,	0.265164,	0.198873,	7.22572,	1.92244,	1.4584,	0.729201,	0.265164,	2.9831,	0.0331455,	0.497183,	0.232019,	1.4584,	0.0331455,	0.265164,	2.05502,	0.364601,	0.629765,	1.16009,	4.27577,	0.894929,	0.198873,	8.31952,	0.331455,	0.596619,	0.696056,	0.530328,	0.265164,	0.265164,	0.795492,	0,	1.12695,	0.729201,	0.29831,	0.994365,	1.39211,	0.729201,	0.29831,	2.68479,	0.729201,	0.861783,	0.066291,	0.132582,	0.0331455,	2.45277,	0.132582,	1.12695,	0.762347,	2.32019,	0.29831,	0.331455,	0.165728,	0.894929,	1.06066,	0.364601,	0.0994365,	0.828638,	0.132582,	1.42526,	1.19324,	1.55784,	0.894929,	0.994365,	0.563474,	0,	0.165728,	0.165728,	0.232019,	0.596619,	0.0994365,	1.0938,	0.563474,	0,	1.35897,	0.232019,	0.364601,	0.165728,	3.14882,	0.364601,	0.066291,	0.0331455,	0.132582,	0.0994365,	1.19324,	1.78986,	
HAEpiC,	0.280505,	11.0799,	3.78682,	1.19215,	2.62973,	0.175316,	0.245442,	0.0701262,	0.350631,	0.0701262,	0.105189,	2.6648,	0.736325,	0.175316,	0.315568,	0.210379,	0.140252,	0.105189,	7.85414,	2.10379,	1.57784,	1.12202,	0.140252,	2.48948,	0.0350631,	0.525947,	0.0350631,	1.22721,	0,	0.140252,	1.22721,	0.56101,	0.385694,	1.15708,	4.76858,	0.490884,	0.350631,	11.676,	0.350631,	0.490884,	0.45582,	0.280505,	0.245442,	0.280505,	0.771389,	0,	0.771389,	0.385694,	0.701262,	0.701262,	1.01683,	0.315568,	0.245442,	3.78682,	0.420757,	1.01683,	0.0350631,	0.0350631,	0,	3.47125,	0.0701262,	1.01683,	0.420757,	3.64656,	0.105189,	0.140252,	0,	0.56101,	0.736325,	0.210379,	0.105189,	0.525947,	0.0350631,	1.57784,	0.806452,	1.47265,	0.806452,	0.385694,	0.350631,	0.175316,	0.105189,	0.245442,	0.0701262,	0.210379,	0.175316,	0.981767,	0.525947,	0,	1.15708,	0.105189,	0.245442,	0.0701262,	1.78822,	0.140252,	0.0701262,	0.0350631,	0,	0.0350631,	0.45582,	2.45442,	
HCF,	0.2772,	10.0485,	3.0492,	1.14345,	2.80665,	0.31185,	0.3465,	0.1386,	0.485101,	0.03465,	0.1386,	1.386,	0.623701,	0.17325,	0.24255,	0.4158,	0.45045,	0.1386,	8.76646,	2.46015,	1.42065,	0.727651,	0.45045,	2.59875,	0,	0.658351,	0.1386,	1.7325,	0.03465,	0.24255,	1.62855,	0.24255,	0.51975,	1.1088,	5.12821,	0.3465,	0.2772,	9.87526,	0.3465,	0.45045,	0.658351,	0.4158,	0.1386,	0.2772,	0.623701,	0,	0.970201,	0.51975,	0.623701,	0.762301,	1.35135,	0.17325,	0.17325,	3.3264,	0.623701,	1.2474,	0.0693001,	0.0693001,	0,	2.32155,	0.03465,	0.935551,	0.831601,	2.94525,	0.1386,	0.17325,	0.0693001,	0.485101,	0.900901,	0.2079,	0.17325,	1.1781,	0.10395,	1.48995,	0.935551,	1.1088,	1.0395,	0.693001,	0.38115,	0.10395,	0.1386,	0.24255,	0.1386,	0.31185,	0.03465,	0.935551,	0.693001,	0.03465,	1.00485,	0.2079,	0.3465,	0.3465,	2.7027,	0.485101,	0,	0,	0.03465,	0,	0.727651,	1.97505,	
HCM,	0.312392,	9.26762,	3.88754,	1.11073,	2.98507,	0.312392,	0.347102,	0.104131,	0.416522,	0.104131,	0.0694203,	1.73551,	0.971885,	0.208261,	0.347102,	0.555363,	0.242971,	0.173551,	9.23291,	1.97848,	1.45783,	0.624783,	0.173551,	2.98507,	0,	0.590073,	0.173551,	1.94377,	0,	0.0694203,	0.937175,	0.555363,	0.451232,	0.902464,	5.17182,	0.381812,	0.138841,	9.09406,	0.312392,	0.451232,	0.763624,	0.416522,	0.347102,	0.485942,	0.659493,	0.0347102,	0.867754,	0.520653,	0.451232,	0.937175,	1.38841,	0.416522,	0.208261,	2.70739,	0.798334,	0.451232,	0.173551,	0.0694203,	0,	2.70739,	0.0694203,	1.04131,	0.520653,	3.47102,	0.277681,	0.208261,	0.0347102,	0.485942,	0.659493,	0.347102,	0.242971,	0.833044,	0.0347102,	1.42312,	1.31899,	1.11073,	0.763624,	0.867754,	0.347102,	0.347102,	0.138841,	0.138841,	0.0694203,	0.381812,	0.104131,	0.937175,	0.485942,	0,	0.798334,	0.173551,	0.277681,	0.138841,	2.98507,	0.485942,	0.0694203,	0,	0.0347102,	0.138841,	1.00659,	2.0479,	
