cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.122775,	22.3603,	1.33517,	1.62676,	1.08963,	0.721301,	0.33763,	0.092081,	0.445058,	0,	0.33763,	4.46593,	0.675261,	0.767342,	0.751995,	1.30448,	0.491099,	0.0767342,	1.67281,	0.199509,	2.93125,	2.01044,	0.214856,	1.12032,	0.0153468,	0.306937,	0.399018,	0.260896,	0.0153468,	0.092081,	1.48864,	1.16636,	0.214856,	1.33517,	1.68815,	0.230203,	0.951504,	9.68386,	0.245549,	0.445058,	0.491099,	0.751995,	1.56538,	0.368324,	0.168815,	0.138122,	0.0613874,	0.245549,	0.997545,	0.659914,	0.138122,	0.138122,	0.107428,	4.55801,	0.736648,	0.368324,	0.092081,	0.322284,	0.0153468,	2.70104,	0.0460405,	0.276243,	1.08963,	1.4426,	0.230203,	0.199509,	0,	0.951504,	1.50399,	0,	0.33763,	1.64211,	0.0767342,	0.352977,	1.7035,	1.39656,	0.62922,	0.138122,	0.782689,	0.214856,	0.322284,	0.0767342,	0.0306937,	0.905463,	0.352977,	2.30203,	2.01044,	0.0153468,	1.16636,	0.475752,	0.0306937,	0.0767342,	0.122775,	0.0613874,	0.0153468,	0,	0.0306937,	0.0306937,	0.276243,	0.368324,	
AoAF,	0.0431158,	17.8643,	1.49468,	1.73901,	0.704225,	0.804829,	0.474274,	0.186835,	0.632366,	0.0431158,	0.316183,	5.31762,	0.776085,	0.718597,	0.675481,	1.09227,	0.44553,	0.114976,	2.19891,	0.301811,	2.67318,	1.82524,	0.0862317,	0.617994,	0.0143719,	0.459902,	0.316183,	0.229951,	0.0574878,	0.114976,	1.6384,	1.35096,	0.201207,	1.40845,	1.8971,	0.0862317,	1.02041,	11.4976,	0.186835,	0.373671,	0.344927,	0.847945,	1.79649,	0.344927,	0.0431158,	0.0862317,	0.0574878,	0.258695,	0.934177,	0.790457,	0.273067,	0.172463,	0.0862317,	5.13078,	0.474274,	0.344927,	0.100604,	0.51739,	0.0143719,	3.01811,	0.0574878,	0.258695,	0.948548,	1.60966,	0.373671,	0.172463,	0.0143719,	0.977292,	1.0779,	0.0287439,	0.359299,	1.14976,	0.0718597,	0.301811,	1.69589,	1.43719,	0.704225,	0.215579,	0.373671,	0.244323,	0.287439,	0.0862317,	0.0143719,	1.06352,	0.388043,	2.41449,	2.31388,	0.0143719,	1.59529,	0.790457,	0.0718597,	0.100604,	0.201207,	0.0574878,	0,	0.0143719,	0.0143719,	0.0287439,	0.388043,	0.44553,	
CD20+,	0.0373622,	31.3843,	1.43845,	0.934056,	1.64394,	0.33626,	0.224173,	0.0747245,	0.392303,	0,	0.130768,	4.44611,	1.53185,	0.224173,	0.467028,	1.71866,	0.373622,	0.0186811,	1.00878,	0.186811,	1.53185,	0.896693,	0.149449,	1.86811,	0.0186811,	0.354941,	0.317579,	0.392303,	0.112087,	0.130768,	0.784607,	0.878012,	0.280217,	2.09228,	1.49449,	0.205492,	0.934056,	7.67794,	0.149449,	1.15823,	0.186811,	0.448347,	0.728563,	0.261536,	0.0373622,	0.0560433,	0.0373622,	0.0747245,	2.01756,	0.429666,	0.112087,	0.0560433,	0.0560433,	3.56809,	0.429666,	0.373622,	0.112087,	0.280217,	0,	1.36372,	0.112087,	0.224173,	0.653839,	1.19559,	0.0934056,	0.130768,	0.0186811,	0.859331,	2.12965,	0.0373622,	0.373622,	1.60658,	0.0373622,	0.261536,	2.05492,	0.392303,	1.47581,	0.0747245,	1.13955,	0.149449,	0.261536,	0.112087,	0.0186811,	0.50439,	0.280217,	1.71866,	2.05492,	0,	0.84065,	0.485709,	0.0373622,	0.0373622,	0.261536,	0.0186811,	0.0186811,	0,	0,	0.0186811,	0.373622,	1.30768,	
GM06990,	0.145419,	32.6951,	2.66602,	0.872516,	2.76297,	0.242365,	0.290839,	0.169656,	0.193892,	0.0969462,	0.169656,	1.38148,	3.90208,	0.169656,	0.484731,	1.57538,	0.727096,	0.290839,	0.339312,	0.339312,	0.339312,	0.315075,	0.412021,	0.993698,	0.145419,	0.290839,	0.145419,	0.751333,	0.315075,	0.533204,	0.0242365,	0.460494,	0.605914,	3.46583,	0.193892,	0.193892,	0.412021,	1.55114,	0.484731,	2.73873,	0.315075,	0.581677,	0.0969462,	0.0727096,	0.0484731,	0.121183,	0.0727096,	0.121183,	3.68396,	0.218129,	0.0242365,	0.0484731,	0.266602,	1.06641,	0.508968,	0.872516,	0.0969462,	0.436258,	0.508968,	0.266602,	0.169656,	0.848279,	0.169656,	0.387785,	0.0727096,	0.193892,	0.0484731,	1.33301,	1.59961,	0.315075,	0.363548,	1.45419,	0.0484731,	0.0484731,	3.87785,	0.218129,	2.9811,	0,	2.47213,	0.218129,	0.460494,	0.484731,	0.0242365,	0.339312,	0.824043,	1.06641,	1.93892,	0.0242365,	0.533204,	0.169656,	0.0242365,	0,	0.218129,	0.193892,	0.0969462,	0.0727096,	0.0242365,	0.0484731,	0.218129,	3.10228,	
GM12865,	0,	28.2954,	1.46653,	0.810904,	1.43202,	0.362319,	0.379572,	0.189786,	0.517598,	0,	0.189786,	4.55487,	1.27674,	0.431332,	0.586611,	1.91511,	0.327812,	0.120773,	1.05245,	0.15528,	1.36301,	1.36301,	0.207039,	1.53554,	0.0172533,	0.293306,	0.224293,	0.172533,	0.0517598,	0.138026,	0.966184,	0.89717,	0.172533,	2.34645,	1.27674,	0.0345066,	1.01794,	9.28226,	0.258799,	0.845411,	0.310559,	0.517598,	1.15597,	0.120773,	0.120773,	0.0690131,	0.0345066,	0.15528,	1.46653,	0.569358,	0.10352,	0.0345066,	0.120773,	4.08903,	0.465839,	0.534852,	0.0690131,	0.362319,	0.0172533,	1.89786,	0.120773,	0.276052,	0.552105,	1.34576,	0.120773,	0.0862664,	0.0172533,	1.00069,	1.8461,	0.0172533,	0.224293,	1.82885,	0,	0.241546,	2.15666,	0.707384,	1.3285,	0.0690131,	1.24224,	0.15528,	0.258799,	0.0517598,	0.0345066,	0.638371,	0.310559,	1.91511,	2.24293,	0,	0.914424,	0.276052,	0,	0.0517598,	0.10352,	0.0345066,	0.0517598,	0,	0.0345066,	0.0172533,	0.293306,	0.690131,	
H7-hESC,	0.0677851,	24.6229,	1.64379,	1.25402,	1.10151,	0.542281,	0.305033,	0.186409,	0.576174,	0.0169463,	0.389764,	5.66006,	1.16929,	0.45755,	0.355872,	1.64379,	0.423657,	0.0677851,	1.30486,	0.220302,	1.89798,	1.576,	0.101678,	1.32181,	0,	0.27114,	0.321979,	0.288087,	0.101678,	0.0338926,	1.25402,	0.796475,	0.13557,	1.77936,	1.67768,	0.321979,	0.847314,	11.4048,	0.101678,	0.59312,	0.169463,	0.694798,	1.03372,	0.254194,	0.0847314,	0.0508388,	0.0169463,	0.101678,	1.3896,	0.559227,	0.118624,	0.118624,	0.0847314,	4.5416,	0.440603,	0.389764,	0.152517,	0.305033,	0.0169463,	2.21996,	0.13557,	0.169463,	0.694798,	1.32181,	0.152517,	0.220302,	0.0169463,	1.03372,	1.72852,	0.0169463,	0.440603,	1.42349,	0,	0.355872,	2.13523,	0.59312,	0.779529,	0.0847314,	0.779529,	0.101678,	0.237248,	0.0677851,	0,	0.745636,	0.203355,	2.01661,	2.2708,	0,	0.915099,	0.389764,	0.0169463,	0.0508388,	0.203355,	0.0847314,	0.0338926,	0.0169463,	0.0169463,	0,	0.220302,	0.745636,	
HA-h,	0.0569152,	18.6824,	2.10586,	2.33352,	0.882186,	0.697211,	0.412635,	0.213432,	1.05293,	0.0569152,	0.398406,	3.34377,	0.839499,	0.569152,	1.09562,	0.967558,	0.526466,	0.0853728,	1.66477,	0.284576,	2.98805,	1.4798,	0.313034,	1.09562,	0.0284576,	0.82527,	0.384178,	0.298805,	0.0426864,	0.199203,	1.94935,	1.23791,	0.398406,	1.10985,	2.17701,	0.270347,	1.02447,	8.53728,	0.313034,	0.554923,	0.46955,	0.768355,	1.82129,	0.455322,	0.199203,	0.071144,	0.184974,	0.313034,	0.569152,	1.02447,	0.256118,	0.284576,	0.128059,	4.95162,	0.82527,	0.483779,	0.184974,	0.384178,	0.0284576,	1.86397,	0.128059,	0.270347,	1.50825,	1.4798,	0.498008,	0.270347,	0,	1.05293,	1.22368,	0.0569152,	0.341491,	1.10985,	0.128059,	0.540694,	1.32328,	1.23791,	0.782584,	0.11383,	0.754126,	0.256118,	0.412635,	0.213432,	0.0142288,	1.19522,	0.512237,	1.79283,	2.0774,	0.0142288,	1.65054,	0.483779,	0.0853728,	0.199203,	0.313034,	0.11383,	0.0426864,	0.0142288,	0.0996016,	0.0284576,	0.369949,	0.526466,	
HAEpiC,	0.076864,	20.1691,	1.47579,	1.73713,	1.0146,	0.922367,	0.522675,	0.0922367,	0.476557,	0.0153728,	0.245965,	4.84243,	0.845503,	0.491929,	0.476557,	1.21445,	0.338201,	0.076864,	1.90623,	0.215219,	3.15142,	2.35204,	0.0922367,	1.13759,	0.0307456,	0.399693,	0.353574,	0.169101,	0.0461184,	0.0461184,	1.76787,	1.35281,	0.184473,	1.26057,	1.67563,	0.0922367,	0.922367,	11.0069,	0.184473,	0.430438,	0.338201,	0.814758,	1.89085,	0.38432,	0.0922367,	0.0307456,	0.0307456,	0.153728,	1.29131,	0.55342,	0.169101,	0.122982,	0.0922367,	5.10377,	0.245965,	0.430438,	0.0922367,	0.368947,	0,	2.9362,	0.076864,	0.245965,	0.968486,	1.49116,	0.138355,	0.076864,	0.0307456,	0.906995,	1.4143,	0.0153728,	0.322829,	1.39892,	0.0153728,	0.322829,	1.52191,	1.2452,	0.584166,	0.184473,	0.507302,	0.245965,	0.27671,	0.0922367,	0.0153728,	0.76864,	0.338201,	2.0907,	2.44427,	0,	1.30669,	0.906995,	0.0153728,	0.138355,	0.169101,	0.0922367,	0,	0.0153728,	0,	0.0461184,	0.215219,	0.399693,	
HCF,	0.0460688,	20.8999,	1.50491,	1.65848,	0.952088,	0.78317,	0.429975,	0.138206,	0.614251,	0.0614251,	0.399263,	4.76044,	0.875307,	0.552826,	0.767813,	1.39742,	0.291769,	0.0460688,	1.64312,	0.199631,	2.7027,	2.02703,	0.0921376,	1.01351,	0.0460688,	0.522113,	0.307125,	0.230344,	0.0307125,	0.0921376,	1.36671,	1.10565,	0.214988,	1.35135,	1.5817,	0.184275,	1.19779,	10.1044,	0.214988,	0.522113,	0.429975,	0.675676,	1.53563,	0.199631,	0.0614251,	0.153563,	0.0460688,	0.199631,	1.13636,	0.875307,	0.261057,	0.199631,	0.0921376,	4.85258,	0.752457,	0.460688,	0.0921376,	0.261057,	0.0153563,	2.62592,	0.0307125,	0.307125,	0.875307,	1.52027,	0.230344,	0.399263,	0,	1.02887,	1.36671,	0.0153563,	0.291769,	1.56634,	0.107494,	0.429975,	1.45885,	1.50491,	0.890663,	0.153563,	0.752457,	0.168919,	0.276413,	0.0460688,	0,	1.07494,	0.460688,	2.30344,	2.0731,	0,	1.07494,	0.537469,	0.0614251,	0.0614251,	0.12285,	0.0460688,	0.0307125,	0,	0.0153563,	0.0460688,	0.399263,	0.414619,	
