cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.19802,	19.2574,	2.82178,	1.53465,	1.43564,	0.39604,	0.29703,	0.693069,	0.940594,	0.29703,	0.0990099,	3.21782,	2.27723,	0.19802,	0.693069,	1.13861,	0.29703,	0.29703,	0.445545,	0.544554,	0.29703,	1.28713,	0.39604,	0.891089,	0.742574,	0.0990099,	0.792079,	0.544554,	0.49505,	0.0990099,	0.39604,	0.49505,	1.23762,	1.43564,	0.594059,	0.049505,	0.693069,	0.346535,	1.73267,	1.23762,	0.445545,	1.43564,	0.39604,	0.49505,	0,	1.13861,	0.148515,	1.38614,	1.33663,	0.39604,	0.0990099,	0.544554,	1.53465,	4.05941,	1.58416,	0.594059,	0.0990099,	0.990099,	0.19802,	1.43564,	0.594059,	0.544554,	0.594059,	0.940594,	1.18812,	0.594059,	0.0990099,	1.13861,	1.18812,	0.19802,	0.693069,	2.72277,	0.049505,	0.346535,	2.92079,	0.049505,	2.17822,	0.247525,	1.93069,	0.346535,	0.891089,	0.39604,	0,	0.49505,	0.594059,	1.48515,	1.63366,	0.049505,	0.148515,	0.148515,	0,	0.049505,	2.27723,	1.28713,	0.0990099,	0,	0.346535,	0.148515,	0.792079,	1.33663,	
AoAF,	0,	18.0396,	3.0833,	1.97883,	1.56466,	0.598251,	0.0920387,	0.414174,	1.01243,	0,	0.184077,	2.99126,	3.12931,	0.322135,	1.28854,	0.874367,	0.414174,	0.552232,	0.506213,	0.736309,	0.276116,	1.1965,	0.644271,	0.874367,	0.552232,	0.138058,	0.828348,	0.782329,	0.460193,	0.138058,	0.230097,	1.28854,	0.828348,	1.4266,	0.460193,	0.230097,	0.828348,	0.644271,	1.51864,	1.24252,	0.828348,	1.38058,	0.414174,	0.552232,	0,	0.460193,	0.184077,	1.05844,	1.01243,	0.69029,	0.0920387,	0.230097,	1.10446,	4.41786,	1.4266,	1.01243,	0.138058,	0.782329,	0.276116,	1.47262,	0.460193,	0.460193,	0.368155,	0.828348,	0.782329,	0.460193,	0,	1.10446,	1.1965,	0.0460193,	1.05844,	3.31339,	0.0920387,	0.644271,	2.6231,	0.138058,	2.30097,	0.138058,	1.61068,	0.414174,	0.828348,	0.506213,	0.0460193,	0.782329,	0.506213,	1.1965,	1.84077,	0,	0.322135,	0.230097,	0,	0,	2.25495,	1.24252,	0.0460193,	0.138058,	0.368155,	0.0920387,	0.414174,	1.24252,	
CD20+,	0.0525762,	24.5531,	2.62881,	1.15668,	1.20925,	0.315457,	0.262881,	0.157729,	0.998949,	0.157729,	0.105152,	3.15457,	3.04942,	0.0525762,	0.473186,	1.41956,	0.157729,	0.578339,	0.105152,	0.525762,	0.0525762,	0.630915,	0.578339,	2.36593,	0.42061,	0.157729,	0.315457,	0.998949,	0.473186,	0.210305,	0.262881,	0.368034,	0.893796,	1.15668,	0.630915,	0.105152,	0.368034,	0.893796,	1.1041,	1.68244,	0.315457,	1.15668,	0.157729,	0.315457,	0,	0.368034,	0.0525762,	1.20925,	1.31441,	0.42061,	0.157729,	0.262881,	0.578339,	3.36488,	0.525762,	0.630915,	0.0525762,	0.42061,	0.578339,	0.998949,	0.630915,	0.210305,	0.473186,	1.05152,	0.788643,	0.736067,	0,	0.630915,	1.15668,	0.105152,	0.630915,	3.41746,	0.210305,	0.42061,	4.88959,	0.0525762,	3.68034,	0.0525762,	2.62881,	0.368034,	0.630915,	0.683491,	0.0525762,	0.262881,	0.210305,	1.1041,	1.05152,	0.0525762,	0.105152,	0.315457,	0,	0.0525762,	1.36698,	1.20925,	0.0525762,	0.0525762,	0.210305,	0.210305,	0.736067,	1.84017,	
GM06990,	0.210674,	27.5983,	1.40449,	1.19382,	4.42416,	0.491573,	0.421348,	0.280899,	0.210674,	0.140449,	0.140449,	1.89607,	2.52809,	0.210674,	0.0702247,	2.03652,	0.772472,	0,	0.351124,	0.983146,	0.702247,	0.210674,	0.491573,	3.44101,	0,	0.421348,	0.140449,	0.0702247,	0.351124,	0.351124,	0.351124,	0.140449,	0.351124,	3.93258,	1.05337,	0.491573,	0.421348,	3.16011,	0.140449,	2.94944,	0.561798,	0.702247,	0.0702247,	0.702247,	0.210674,	0.210674,	0.351124,	0,	1.33427,	0.421348,	0,	0,	0.280899,	1.19382,	0.210674,	0.561798,	0,	0.351124,	0,	0.280899,	0.632022,	1.47472,	0.491573,	0.983146,	0.210674,	0.561798,	0.0702247,	1.75562,	2.10674,	0.210674,	0.421348,	2.31742,	0.0702247,	0.842697,	1.54494,	0.421348,	3.79213,	0.0702247,	2.59831,	0.0702247,	0.491573,	0.280899,	0.351124,	0.140449,	0.0702247,	0.842697,	0.842697,	0,	0.772472,	0.0702247,	0.140449,	0.210674,	0.632022,	0.421348,	0.0702247,	0.140449,	0.0702247,	0.0702247,	0.632022,	1.1236,	
GM12865,	0.1997,	19.3709,	2.24663,	1.14828,	1.54768,	0.549176,	0.349476,	0.399401,	0.948577,	0.149775,	0.0499251,	3.79431,	3.49476,	0.299551,	0.748877,	1.29805,	0.249626,	0.399401,	0.1997,	0.549176,	0.0998502,	0.898652,	0.798802,	1.64753,	0.349476,	0.1997,	0.599101,	0.948577,	0.549176,	0.1997,	0.249626,	0.549176,	0.599101,	1.54768,	0.349476,	0.1997,	0.549176,	0.998502,	1.1982,	2.04693,	0.798802,	0.649026,	0.249626,	0.249626,	0,	0.649026,	0.1997,	0.998502,	1.64753,	0.399401,	0.0998502,	0.449326,	1.3979,	3.99401,	1.09835,	0.349476,	0.1997,	0.449326,	0.149775,	1.24813,	0.349476,	0.249626,	0.599101,	0.848727,	0.948577,	0.399401,	0.0499251,	1.14828,	1.1982,	0.249626,	0.649026,	3.09536,	0.0998502,	0.549176,	3.64453,	0,	4.19371,	0,	1.997,	0.249626,	0.499251,	0.698952,	0.0499251,	0.399401,	0.499251,	1.14828,	1.94708,	0,	0.1997,	0.1997,	0.0499251,	0.149775,	1.89715,	1.14828,	0.0499251,	0.0499251,	0.349476,	0.249626,	0.599101,	1.44783,	
H7-hESC,	0.0487567,	20.234,	3.21794,	1.90151,	1.36519,	0.536324,	0.0975134,	0.195027,	0.58508,	0.0975134,	0.390054,	3.16919,	2.87665,	0.243784,	1.1214,	1.02389,	0.536324,	0.390054,	0.195027,	0.536324,	0.243784,	1.07265,	0.926377,	1.26767,	0.43881,	0.341297,	1.07265,	0.682594,	0.633837,	0.29254,	0.0975134,	0.975134,	1.07265,	0.975134,	0.0975134,	0.0975134,	0.633837,	0.828864,	1.56021,	1.804,	0.877621,	1.21892,	0.29254,	0.487567,	0,	0.828864,	0.14627,	1.60897,	1.36519,	0.487567,	0.14627,	0.58508,	0.975134,	3.99805,	1.36519,	0.975134,	0,	0.487567,	0.43881,	1.4627,	0.58508,	0.633837,	0.29254,	0.633837,	1.02389,	0.341297,	0,	1.1214,	1.17016,	0.0487567,	1.26767,	2.97416,	0.0975134,	0.390054,	2.24281,	0,	2.24281,	0.0975134,	1.804,	0.633837,	0.877621,	0.29254,	0.0487567,	0.390054,	0.682594,	1.1214,	1.31643,	0,	0.341297,	0.29254,	0.0487567,	0.0487567,	1.21892,	1.31643,	0.0975134,	0,	0.926377,	0,	0.0975134,	1.65773,	
HA-h,	0.311665,	12.3776,	2.84951,	2.00356,	1.42476,	0.445236,	0.311665,	0.311665,	1.02404,	0.356189,	0.445236,	2.71594,	1.86999,	0.356189,	0.712378,	0.667854,	0.356189,	0.445236,	0.445236,	0.400712,	0.445236,	1.55833,	0.979519,	0.934996,	0.845948,	0.356189,	0.979519,	1.29118,	0.756901,	0.311665,	0.267142,	0.534283,	0.890472,	0.445236,	0.578807,	0.0445236,	0.222618,	0.979519,	2.62689,	0.979519,	0.845948,	1.73642,	0.133571,	0.801425,	0,	1.06857,	0.178094,	1.73642,	1.06857,	0.667854,	0,	0.48976,	1.95904,	2.84951,	2.53785,	0.934996,	0.267142,	0.667854,	0.801425,	1.20214,	1.46928,	0.400712,	0.534283,	1.20214,	1.06857,	0.267142,	0,	1.24666,	0.62333,	0.267142,	0.578807,	2.35975,	0.133571,	0.712378,	3.78451,	0.0445236,	3.82903,	0.311665,	1.86999,	0.267142,	0.890472,	0.62333,	0.178094,	0.578807,	0.62333,	1.02404,	1.20214,	0.178094,	0.0445236,	0.356189,	0.0445236,	0.178094,	2.71594,	2.00356,	0.133571,	0.0890472,	0.356189,	0.0890472,	1.33571,	0.578807,	
HAEpiC,	0.0988142,	21.5909,	2.71739,	1.3834,	1.63043,	0.642292,	0.0988142,	0.494071,	0.296443,	0.34585,	0.148221,	3.16206,	2.32213,	0.247036,	0.988142,	1.23518,	0.6917,	0.741107,	0.494071,	0.839921,	0.247036,	0.592885,	0.6917,	1.03755,	0.444664,	0.296443,	0.938735,	0.839921,	0.395257,	0.247036,	0.395257,	1.18577,	0.938735,	1.18577,	0.494071,	0,	0.988142,	0.543478,	1.97628,	1.48221,	0.889328,	1.03755,	0.247036,	0.889328,	0,	0.444664,	0.0988142,	1.53162,	1.67984,	0.296443,	0.0988142,	0.197628,	1.03755,	3.85375,	1.28458,	1.18577,	0.197628,	0.34585,	0.148221,	1.53162,	0.790514,	0.543478,	0.543478,	0.34585,	0.395257,	0.543478,	0,	0.988142,	0.741107,	0.0988142,	1.3834,	2.51976,	0.0988142,	0.444664,	2.71739,	0.148221,	2.71739,	0.247036,	1.43281,	0.247036,	0.839921,	0.592885,	0.0988142,	0.790514,	0.494071,	1.03755,	1.67984,	0.0494071,	0.148221,	0.247036,	0,	0.0494071,	1.77866,	0.592885,	0.148221,	0.0494071,	0.34585,	0.148221,	0.494071,	1.3834,	
HCF,	0.194458,	19.4458,	2.62518,	1.99319,	1.21536,	0.291687,	0.097229,	0.194458,	0.777832,	0.194458,	0.291687,	2.81964,	3.06271,	0.340301,	0.826446,	0.97229,	0.43753,	0.486145,	0.388916,	0.534759,	0.388916,	1.31259,	0.875061,	1.21536,	0.534759,	0.243072,	0.923675,	0.631988,	0.486145,	0.194458,	0.340301,	0.777832,	0.534759,	1.50705,	0.777832,	0.243072,	0.875061,	0.826446,	1.70151,	1.60428,	0.583374,	0.777832,	0.145843,	0.388916,	0,	0.631988,	0.097229,	1.36121,	1.11813,	0.583374,	0.097229,	0.486145,	1.21536,	3.64609,	2.04181,	0.826446,	0.340301,	0.777832,	0.243072,	1.16675,	0.43753,	0.43753,	0.875061,	0.534759,	0.97229,	0.388916,	0.0486145,	1.21536,	1.16675,	0.097229,	0.680603,	3.30578,	0.194458,	0.729217,	2.91687,	0.097229,	3.0141,	0.194458,	1.31259,	0.43753,	0.243072,	0.534759,	0,	0.583374,	0.583374,	1.31259,	1.31259,	0.0486145,	0.194458,	0.340301,	0,	0.0486145,	2.43072,	0.923675,	0.097229,	0.097229,	0.291687,	0.097229,	0.534759,	1.55566,	
HCM,	0.150451,	19.2076,	2.80843,	1.65496,	1.35406,	0.601805,	0.250752,	0.451354,	0.702106,	0.100301,	0.300903,	2.95888,	2.70812,	0.150451,	1.10331,	0.702106,	0.601805,	0.451354,	0.351053,	0.451354,	0.200602,	1.10331,	0.952859,	1.10331,	0.551655,	0.451354,	0.702106,	0.551655,	0.451354,	0.100301,	0.250752,	0.852558,	0.501504,	1.35406,	0.551655,	0.200602,	0.852558,	0.752257,	1.50451,	1.80542,	1.05316,	1.00301,	0.401204,	0.401204,	0,	0.952859,	0.150451,	1.40421,	0.952859,	0.702106,	0.200602,	0.150451,	1.90572,	4.31294,	1.50451,	0.802407,	0.150451,	0.702106,	0.150451,	1.55466,	0.551655,	0.351053,	0.501504,	0.551655,	0.601805,	1.10331,	0,	1.00301,	0.852558,	0.200602,	0.852558,	2.20662,	0.200602,	0.601805,	2.95888,	0.0501505,	2.60782,	0.250752,	1.85557,	0.300903,	0.351053,	0.451354,	0.150451,	0.702106,	0.501504,	1.20361,	1.80542,	0.100301,	0.200602,	0.200602,	0,	0.0501505,	2.25677,	1.10331,	0.200602,	0.0501505,	0.601805,	0.100301,	0.651956,	1.40421,	
