cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.187668,	33.3423,	1.33155,	3.36014,	1.28686,	0.77748,	0.250223,	0.786416,	0.169794,	0.125112,	0.196604,	0.375335,	2.27882,	0.241287,	1.35836,	0.393208,	0.589812,	0.652368,	0.571939,	0.277033,	0.598749,	0.446828,	1.08132,	0.589812,	0.330652,	0.0983021,	0.250223,	0.384272,	0.277033,	0.151921,	0.250223,	2.92225,	0.77748,	0.437891,	0.187668,	0.268097,	0.795353,	0.446828,	1.69794,	0.49151,	1.87668,	0.741734,	0.134048,	0.554066,	0.0357462,	0.223414,	0.580876,	0.223414,	0.875782,	0.437891,	0.384272,	0.0625559,	0.80429,	0.920465,	4.41466,	1.32261,	0.134048,	0.428954,	0.768543,	0.28597,	0.759607,	0.49151,	0.268097,	0.196604,	0.125112,	0.294906,	0.0714924,	1.0992,	1.82306,	0.178731,	0.312779,	1.93029,	0.160858,	0.0714924,	2.94013,	0.339589,	3.12779,	0.0714924,	0.974084,	0.402145,	0.714924,	0.28597,	0.0357462,	0.563003,	1.11707,	0.732797,	1.2958,	0.116175,	0.080429,	0.223414,	0.0625559,	0.0357462,	0.160858,	0.482574,	0.0268097,	0.125112,	0.580876,	0.116175,	0.366399,	0.991957,	
AoAF,	0.219974,	33.4184,	0.906291,	4.1795,	0.897492,	0.703916,	0.202376,	0.91509,	0.114386,	0.228773,	0.0791905,	0.24637,	2.07655,	0.175979,	1.09987,	0.33436,	0.378355,	0.739111,	0.24637,	0.123185,	0.651122,	0.554334,	1.11747,	0.439947,	0.369556,	0.16718,	0.140783,	0.360757,	0.202376,	0.123185,	0.114386,	3.44039,	0.633524,	0.33436,	0.184778,	0.395952,	0.862296,	0.307963,	1.6454,	0.431148,	2.12934,	1.06467,	0.105587,	0.633524,	0.0175979,	0.158381,	0.58073,	0.158381,	0.756709,	0.33436,	0.527937,	0.0175979,	0.589529,	0.563132,	5.58733,	1.41663,	0.0791905,	0.325561,	1.09987,	0.219974,	0.74791,	0.431148,	0.360757,	0.105587,	0.0967884,	0.175979,	0.0439947,	0.967884,	1.47822,	0.0791905,	0.16718,	2.05015,	0.0703916,	0.0703916,	3.38759,	0.343159,	3.87154,	0.0615926,	1.12626,	0.422349,	0.923889,	0.211175,	0.0351958,	0.457545,	1.05587,	0.659921,	1.37264,	0.114386,	0.0439947,	0.24637,	0.0175979,	0.0703916,	0.211175,	0.404751,	0.0263968,	0.158381,	0.58073,	0.211175,	0.228773,	0.783106,	
CD20+,	0.206928,	35.0157,	1.80837,	2.05128,	1.28655,	0.710751,	0.17094,	0.683761,	0.116959,	0.17094,	0.116959,	0.683761,	2.31219,	0.224921,	1.07962,	0.665767,	0.62978,	0.584795,	0.359874,	0.242915,	0.737742,	0.377868,	0.746739,	0.755736,	0.296896,	0.179937,	0.278902,	0.422852,	0.368871,	0.107962,	0.260909,	2.61808,	0.575798,	0.503824,	0.278902,	0.260909,	0.809717,	0.854701,	1.4305,	0.926676,	1.46649,	0.890688,	0.14395,	0.494827,	0.0269906,	0.206928,	0.530814,	0.206928,	1.25956,	0.575798,	0.548808,	0.0809717,	0.944669,	1.04363,	3.53576,	1.04363,	0.0899685,	0.350877,	0.728745,	0.377868,	0.476833,	0.773729,	0.305893,	0.395861,	0.134953,	0.305893,	0.0449843,	1.06163,	2.03329,	0.206928,	0.179937,	1.7184,	0.134953,	0.0809717,	2.36617,	0.404858,	2.72605,	0.062978,	1.1516,	0.287899,	0.890688,	0.260909,	0.0449843,	0.692758,	1.24157,	0.647773,	1.28655,	0.107962,	0.125956,	0.152946,	0.0179937,	0.0449843,	0.287899,	0.413855,	0.0179937,	0.17094,	0.422852,	0.116959,	0.31489,	1.4215,	
GM06990,	0.335026,	36.3774,	1.23203,	2.20469,	2.05339,	0.248568,	0.486329,	0.637631,	0.183724,	0.108073,	0.194532,	1.46979,	1.178,	0.594402,	0.551173,	1.26445,	0.367448,	0.0972658,	0.648438,	0.302605,	0.994272,	0.183724,	0.345834,	2.55052,	0.0324219,	0.475521,	0.453907,	0.324219,	0.313412,	0.356641,	0.172917,	0.507943,	0.237761,	3.41511,	1.82643,	0.205339,	0.659246,	2.56133,	0.205339,	0.84297,	0.84297,	0.540365,	0.0972658,	0.507943,	0.0432292,	0.172917,	0.129688,	0.0216146,	0.918621,	0.983465,	0.302605,	0.16211,	0.237761,	1.67513,	1.02669,	0.788933,	0.172917,	0.183724,	0.0324219,	0.410678,	0.788933,	0.572787,	0.216146,	0.335026,	0.11888,	0.918621,	0.0324219,	0.659246,	1.1888,	0.248568,	0.226953,	1.58867,	0.108073,	0.821355,	2.39922,	0.270183,	1.69675,	0.11888,	2.73425,	0.194532,	0.799741,	0.291797,	0.0648438,	0.205339,	1.40495,	0.821355,	0.886199,	0.0432292,	1.1888,	0.259375,	0.0216146,	0.0432292,	0.518751,	0.356641,	0.259375,	0.0540365,	0.0864584,	0.0540365,	0.259375,	0.691668,	
GM12865,	0.1221,	28.0656,	1.35182,	3.38392,	1.21228,	0.802372,	0.252922,	0.784929,	0.104657,	0.139543,	0.200593,	0.313972,	2.46817,	0.235479,	1.26461,	0.392465,	0.418629,	0.96808,	0.383743,	0.287807,	0.750044,	0.375022,	1.29949,	0.627944,	0.401186,	0.18315,	0.313972,	0.566893,	0.296529,	0.104657,	0.148264,	2.9304,	0.828537,	0.444793,	0.191872,	0.470958,	0.90703,	0.601779,	1.92744,	0.662829,	2.03209,	1.11634,	0.104657,	0.444793,	0.00872144,	0.226757,	0.514565,	0.331415,	0.959358,	0.409908,	0.819815,	0.0436072,	0.854701,	0.924472,	4.80551,	1.45648,	0.0784929,	0.287807,	1.0989,	0.30525,	0.584336,	0.584336,	0.436072,	0.1221,	0.139543,	0.287807,	0.156986,	1.03785,	1.80534,	0.18315,	0.2442,	1.69196,	0.130822,	0.0872144,	3.57579,	0.444793,	3.65428,	0.0523286,	1.08146,	0.348857,	0.96808,	0.279086,	0.0436072,	0.680272,	0.924472,	0.584336,	1.50881,	0.139543,	0.0872144,	0.200593,	0.0348857,	0.0872144,	0.235479,	0.715158,	0.0784929,	0.0872144,	0.706436,	0.174429,	0.30525,	1.50009,	
H7-hESC,	0.198842,	28.7715,	0.994208,	4.63387,	0.726204,	0.778076,	0.155615,	1.15847,	0.112389,	0.268004,	0.172906,	0.112389,	2.03164,	0.155615,	1.12389,	0.397683,	0.354457,	1.29679,	0.233423,	0.14697,	0.536008,	0.536008,	1.40918,	0.406328,	0.31123,	0.103743,	0.207487,	0.345811,	0.233423,	0.0864528,	0.112389,	3.34573,	0.804011,	0.285294,	0.190196,	0.216132,	0.717559,	0.233423,	1.89332,	0.371747,	2.36881,	1.22763,	0.138325,	0.536008,	0.00864528,	0.0950981,	0.743494,	0.354457,	0.75214,	0.302585,	0.786721,	0.0259359,	0.60517,	0.631106,	5.62808,	1.91925,	0.129679,	0.432264,	1.17576,	0.242068,	0.838593,	0.440909,	0.337166,	0.0864528,	0.0950981,	0.190196,	0.0778076,	0.959626,	1.14118,	0.0778076,	0.216132,	2.05758,	0.224777,	0.0778076,	4.30535,	0.406328,	4.38316,	0.0518717,	1.05472,	0.501426,	0.9164,	0.250713,	0.0172906,	0.561943,	0.994208,	0.466845,	1.21034,	0.181551,	0.0172906,	0.224777,	0.0259359,	0.0864528,	0.138325,	0.561943,	0.00864528,	0.14697,	1.03743,	0.181551,	0.198842,	0.976917,	
HA-h,	0.299248,	29.9077,	1.53899,	2.45383,	1.00889,	0.872093,	0.222298,	0.889193,	0.205198,	0.256498,	0.188099,	0.350547,	1.90663,	0.299248,	1.47059,	0.367647,	0.854993,	0.812243,	0.538646,	0.247948,	0.957592,	0.461696,	1.10294,	0.624145,	0.555746,	0.162449,	0.367647,	0.461696,	0.418947,	0.188099,	0.247948,	3.19767,	0.512996,	0.341997,	0.273598,	0.350547,	0.837893,	0.624145,	1.68434,	0.538646,	1.77839,	0.854993,	0.170999,	0.658345,	0.0512996,	0.290698,	0.829343,	0.418947,	0.974692,	0.718194,	0.974692,	0.102599,	1.07729,	1.33379,	4.79651,	1.09439,	0.153899,	0.504446,	1.19699,	0.367647,	0.752394,	0.829343,	0.461696,	0.299248,	0.179549,	0.410397,	0.145349,	0.966142,	1.37654,	0.239398,	0.256498,	1.60739,	0.239398,	0.128249,	1.83824,	0.675445,	1.70144,	0.145349,	0.863543,	0.367647,	0.837893,	0.359097,	0.0256498,	0.897743,	1.64159,	0.581395,	1.17134,	0.136799,	0.0512996,	0.153899,	0.0854993,	0.0940493,	0.324897,	0.615595,	0.0256498,	0.179549,	0.692544,	0.179549,	0.410397,	1.10294,	
HAEpiC,	0.151881,	30.3315,	1.18824,	3.44858,	1.06316,	0.768337,	0.21442,	1.1257,	0.134012,	0.21442,	0.187617,	0.312695,	1.76003,	0.160815,	1.05423,	0.491379,	0.536049,	1.00956,	0.312695,	0.169749,	0.58072,	0.634325,	1.31332,	0.402037,	0.375235,	0.169749,	0.25909,	0.410971,	0.21442,	0.0893416,	0.169749,	3.98463,	0.68793,	0.21442,	0.134012,	0.375235,	0.821942,	0.330564,	2.02805,	0.607523,	2.26034,	1.0721,	0.0804074,	0.58072,	0,	0.21442,	0.589654,	0.241222,	0.857679,	0.375235,	0.47351,	0.0625391,	0.813008,	0.759403,	4.96739,	1.42946,	0.0714732,	0.419905,	0.616457,	0.250156,	0.705798,	0.464576,	0.455642,	0.125078,	0.0804074,	0.196551,	0.0446708,	0.929152,	1.45627,	0.0982757,	0.294827,	1.84937,	0.160815,	0.0268025,	3.85956,	0.482444,	3.65407,	0.0625391,	1.22398,	0.47351,	1.0453,	0.223354,	0.0268025,	0.714732,	0.839811,	0.643259,	1.63495,	0.134012,	0.0357366,	0.187617,	0.0714732,	0.0357366,	0.116144,	0.544983,	0.0446708,	0.0804074,	0.750469,	0.25909,	0.241222,	1.15251,	
HCF,	0.237008,	32.4087,	1.22015,	3.47612,	0.948034,	0.746138,	0.158006,	0.798806,	0.175562,	0.166784,	0.193118,	0.219452,	1.96629,	0.237008,	1.31671,	0.395014,	0.456461,	0.974368,	0.447683,	0.149228,	0.517907,	0.526685,	1.1236,	0.447683,	0.333567,	0.114115,	0.298455,	0.421348,	0.324789,	0.131671,	0.149228,	2.94066,	0.78125,	0.298455,	0.201896,	0.316011,	0.904143,	0.605688,	1.83462,	0.649579,	2.15941,	0.807584,	0.0702247,	0.667135,	0.0175562,	0.219452,	0.693469,	0.316011,	0.974368,	0.36868,	0.55302,	0.0526685,	0.939256,	0.983146,	4.65239,	1.22893,	0.0877809,	0.359902,	1.1236,	0.210674,	0.658357,	0.526685,	0.421348,	0.166784,	0.096559,	0.219452,	0.114115,	1.11482,	1.58006,	0.140449,	0.289677,	1.94874,	0.149228,	0.0526685,	3.125,	0.447683,	3.05478,	0.096559,	1.16749,	0.333567,	0.798806,	0.210674,	0.0351124,	0.702247,	1.04459,	0.395014,	1.32549,	0.105337,	0.0702247,	0.18434,	0.0175562,	0.0614466,	0.219452,	0.509129,	0.0526685,	0.149228,	0.73736,	0.166784,	0.324789,	1.08848,	
HCM,	0.168023,	32.8086,	1.0612,	3.42236,	1.14079,	0.742837,	0.114963,	0.848957,	0.185709,	0.194553,	0.123806,	0.256456,	1.84825,	0.300672,	1.16732,	0.512911,	0.583658,	0.999293,	0.530598,	0.150336,	0.663247,	0.486381,	1.0612,	0.406792,	0.477538,	0.159179,	0.265299,	0.371418,	0.203396,	0.123806,	0.176866,	3.20127,	0.601344,	0.433322,	0.114963,	0.353732,	0.83127,	0.504068,	1.919,	0.504068,	2.20198,	0.760523,	0.141493,	0.530598,	0,	0.203396,	0.636717,	0.371418,	0.972763,	0.459851,	0.601344,	0.0265299,	0.733994,	0.707464,	5.28829,	1.37071,	0.0707464,	0.362575,	0.680934,	0.238769,	0.769367,	0.601344,	0.389105,	0.159179,	0.088433,	0.247612,	0.0353732,	1.03467,	1.72444,	0.141493,	0.194553,	1.9809,	0.150336,	0.0442165,	2.88291,	0.459851,	2.94482,	0.114963,	0.822427,	0.397948,	0.88433,	0.203396,	0.0619031,	0.680934,	1.14963,	0.504068,	1.35302,	0.185709,	0.088433,	0.141493,	0.0442165,	0.0707464,	0.168023,	0.477538,	0.0619031,	0.0707464,	0.72515,	0.114963,	0.274142,	1.17616,	
