cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.140393,	13.3775,	2.12595,	1.26354,	1.66466,	1.02286,	0.561572,	0.501404,	0.541516,	2.04573,	0.220618,	1.18331,	2.78781,	0.0601685,	0.802246,	0.200562,	0.842359,	1.34376,	0.461292,	0.280786,	1.04292,	0.381067,	2.36663,	0.742078,	1.40393,	0.160449,	0.401123,	0.561572,	0.26073,	0.180505,	0.501404,	4.31207,	0.441235,	0.481348,	0.381067,	0.441235,	0.300842,	1.18331,	1.66466,	1.88528,	0.641797,	0.381067,	0,	0.320899,	0.0601685,	0.120337,	0.822302,	0.541516,	1.24348,	0.842359,	0.220618,	0.0802246,	1.80505,	1.50421,	4.97393,	0.882471,	0.200562,	0.200562,	0.661853,	1.06298,	0.140393,	0.581629,	1.20337,	0.361011,	0.421179,	0.401123,	0.0802246,	1.28359,	2.70758,	0.441235,	0.0200562,	1.60449,	0.320899,	0.0802246,	1.66466,	0.481348,	3.83073,	0.401123,	1.50421,	0.140393,	1.10309,	0.581629,	0.0401123,	1.08303,	0.320899,	0.100281,	1.68472,	0.0802246,	0.160449,	0.0401123,	0.0601685,	0.300842,	0.160449,	3.89089,	0.0601685,	0.140393,	2.16606,	0.160449,	1.34376,	1.76494,	
AoAF,	0.0977135,	12.3705,	1.71976,	1.38753,	1.17256,	1.23119,	0.664452,	0.605824,	0.547196,	1.62204,	0.332226,	0.879422,	2.2865,	0.0781708,	0.840336,	0.175884,	0.664452,	1.28982,	0.566738,	0.234512,	0.93805,	0.488568,	2.87278,	0.664452,	1.38753,	0.195427,	0.390854,	0.527653,	0.175884,	0.21497,	0.664452,	5.3547,	0.566738,	0.371311,	0.351769,	0.644909,	0.312683,	1.17256,	1.28982,	1.85656,	0.918507,	0.293141,	0.0390854,	0.293141,	0.0390854,	0.117256,	0.762165,	0.410397,	0.93805,	0.742623,	0.293141,	0,	1.70022,	1.4657,	6.19504,	1.05531,	0.117256,	0.234512,	0.371311,	1.05531,	0.136799,	0.547196,	1.05531,	0.371311,	0.390854,	0.50811,	0.0390854,	1.28982,	2.83369,	0.332226,	0.0586281,	1.3289,	0.449482,	0.0586281,	2.38421,	0.488568,	3.55677,	0.195427,	1.40707,	0.293141,	0.957592,	0.488568,	0.0390854,	0.898964,	0.410397,	0.175884,	1.58296,	0.234512,	0.0586281,	0,	0.0586281,	0.0781708,	0.0977135,	5.04202,	0.0195427,	0.0390854,	2.34512,	0.156342,	1.38753,	1.95427,	
CD20+,	0.126877,	14.0833,	1.48023,	0.930429,	0.909283,	0.782406,	0.549799,	0.528653,	0.65553,	2.55868,	0.232607,	1.05731,	3.04504,	0.148023,	0.740114,	0.338338,	0.570945,	1.39564,	0.2749,	0.169169,	0.718968,	0.486361,	1.882,	0.888137,	1.26877,	0.296046,	0.359484,	0.486361,	0.359484,	0.232607,	0.401776,	5.43455,	0.465215,	0.697822,	0.296046,	0.422922,	0.296046,	1.01501,	1.31106,	2.17805,	0.401776,	0.507507,	0.0211461,	0.190315,	0.105731,	0.148023,	0.718968,	0.634384,	1.48023,	0.507507,	0.317192,	0.0211461,	1.71284,	1.31106,	4.77902,	1.07845,	0.105731,	0.2749,	0.634384,	0.845845,	0.2749,	0.528653,	1.01501,	0.359484,	0.465215,	0.549799,	0.105731,	1.12074,	2.7067,	0.401776,	0.0634384,	1.71284,	0.359484,	0.0634384,	2.41066,	0.2749,	3.40453,	0.38063,	1.69169,	0.105731,	1.41679,	0.38063,	0.0422922,	0.993868,	0.444069,	0.317192,	1.69169,	0.105731,	0.126877,	0.169169,	0.0422922,	0.317192,	0.148023,	4.88475,	0.0422922,	0.0845845,	2.03003,	0.169169,	1.14189,	1.58596,	
GM06990,	0.528973,	21.1349,	1.2503,	2.47656,	1.39457,	0.553018,	0.360664,	0.913681,	0.240442,	0.096177,	0.192354,	1.53883,	2.64487,	0.913681,	0.841549,	1.58692,	0.649195,	0.16831,	0.504929,	0.312575,	0.865593,	0.456841,	0.120221,	1.61096,	0.0480885,	0.504929,	0.721327,	0.504929,	0.312575,	2.81318,	0.16831,	0.553018,	0.360664,	1.87545,	1.29839,	0.216398,	1.08199,	2.2842,	0.312575,	0.841549,	2.62082,	0.841549,	0.216398,	0.432796,	0.192354,	0.144265,	0.096177,	0.216398,	1.0339,	0.913681,	0.192354,	0.192354,	0.889637,	0.745372,	1.05795,	0.553018,	0.360664,	1.6831,	0.120221,	0.432796,	0.360664,	1.00986,	0.216398,	0.456841,	0.0721327,	1.63501,	0.240442,	0.721327,	1.34648,	0.240442,	0.360664,	1.34648,	0.408752,	1.34648,	3.19788,	0.312575,	1.13008,	0.0721327,	3.24597,	0.312575,	1.56288,	0.721327,	0.0240442,	1.00986,	1.63501,	1.27434,	0.745372,	0.144265,	2.2842,	1.10604,	0.601106,	0.0240442,	0.601106,	0.384708,	0.240442,	0.144265,	0.096177,	0.192354,	0.096177,	0.889637,	
GM12865,	0.123457,	14.2181,	1.31687,	1.02881,	1.74897,	0.967078,	0.761317,	0.432099,	0.534979,	1.87243,	0.226337,	0.925926,	2.96296,	0.123457,	0.473251,	0.349794,	0.555556,	1.27572,	0.473251,	0.226337,	0.802469,	0.308642,	2.11934,	0.884774,	1.25514,	0.144033,	0.411523,	0.493827,	0.123457,	0.102881,	0.329218,	5.9465,	0.534979,	0.843621,	0.26749,	0.473251,	0.308642,	1.15226,	1.56379,	2.05761,	0.534979,	0.37037,	0.0205761,	0.185185,	0.0411523,	0.0617284,	0.823045,	0.596708,	1.04938,	0.63786,	0.288066,	0,	1.87243,	1.04938,	4.9177,	1.09053,	0.164609,	0.205761,	0.37037,	0.823045,	0.205761,	0.288066,	0.884774,	0.246914,	0.473251,	0.349794,	0.0205761,	1.27572,	3.1893,	0.349794,	0.102881,	1.72839,	0.37037,	0.0823045,	2.22222,	0.349794,	3.55967,	0.308642,	1.893,	0.226337,	1.15226,	0.473251,	0.0411523,	0.967078,	0.390947,	0.205761,	1.68724,	0.123457,	0.205761,	0.0411523,	0,	0.226337,	0.102881,	5.34979,	0.0205761,	0.0823045,	2.09877,	0.0617284,	1.00823,	1.8107,	
H7-hESC,	0.0397614,	12.2664,	1.1332,	1.17296,	1.27237,	1.35189,	0.656064,	0.775348,	0.437376,	1.76938,	0.218688,	0.735586,	2.72366,	0.139165,	0.337972,	0.198807,	0.715706,	1.19284,	0.337972,	0.218688,	0.994036,	0.337972,	2.52485,	0.576541,	1.6501,	0.159046,	0.377734,	0.516899,	0.238569,	0.178926,	0.337972,	6.40159,	0.457256,	0.218688,	0.198807,	0.695825,	0.27833,	0.854871,	1.43141,	1.5507,	0.954274,	0.497018,	0.139165,	0.27833,	0.0397614,	0.159046,	1.09344,	0.576541,	1.31213,	0.55666,	0.457256,	0.0397614,	1.47117,	1.31213,	6.58052,	1.27237,	0.159046,	0.0994036,	0.27833,	0.83499,	0.0795229,	0.457256,	1.33201,	0.377734,	0.318091,	0.417495,	0.0795229,	0.914513,	2.54473,	0.417495,	0.0397614,	2.00795,	0.417495,	0.0596421,	2.6839,	0.27833,	3.51889,	0.218688,	1.21272,	0.178926,	1.17296,	0.397614,	0.0397614,	0.815109,	0.437376,	0.198807,	1.82903,	0.139165,	0.0397614,	0.0198807,	0.139165,	0.139165,	0.119284,	5.76541,	0,	0.0198807,	2.64414,	0.119284,	1.09344,	1.53082,	
HA-h,	0.15241,	9.90665,	1.90512,	1.10497,	1.00972,	0.990665,	0.742999,	0.666794,	0.838255,	2.66717,	0.400076,	0.990665,	2.85769,	0.133359,	0.742999,	0.171461,	0.800152,	1.82892,	0.342922,	0.400076,	0.952562,	0.571537,	1.88607,	0.647742,	1.37169,	0.400076,	0.419127,	0.476281,	0.342922,	0.228615,	0.742999,	5.08668,	0.857306,	0.342922,	0.400076,	0.60964,	0.361974,	0.933511,	1.86702,	1.80987,	0.838255,	0.381025,	0.133359,	0.171461,	0.209564,	0.133359,	1.00972,	0.952562,	0.933511,	0.514384,	0.476281,	0.190512,	1.84797,	1.63841,	4.26748,	1.25738,	0.0952562,	0.30482,	0.838255,	0.76205,	0.30482,	0.742999,	1.35264,	0.590589,	0.685845,	0.876357,	0.133359,	1.25738,	1.98133,	0.723947,	0.114307,	1.14307,	0.495332,	0.114307,	1.39074,	0.495332,	2.64812,	0.381025,	1.21928,	0.266717,	1.37169,	0.419127,	0.0381025,	0.990665,	0.476281,	0.30482,	1.46695,	0.0381025,	0.171461,	0.0571537,	0.0952562,	0.45723,	0.266717,	4.91522,	0.0381025,	0.114307,	2.59097,	0.228615,	1.29548,	1.82892,	
HAEpiC,	0.0606306,	12.4495,	1.1924,	0.990299,	1.09135,	1.73808,	0.606306,	0.464834,	0.424414,	2.20291,	0.303153,	0.586095,	2.5869,	0.161681,	0.545675,	0.303153,	0.828618,	1.43492,	0.424414,	0.222312,	0.808407,	0.666936,	2.9709,	0.606306,	1.47534,	0.141471,	0.323363,	0.383994,	0.121261,	0.101051,	0.363783,	6.91188,	0.383994,	0.262732,	0.282943,	0.525465,	0.343573,	0.808407,	1.11156,	1.57639,	0.828618,	0.424414,	0.101051,	0.242522,	0,	0.101051,	1.07114,	0.505255,	0.929669,	0.666936,	0.323363,	0.0404204,	1.73808,	1.15198,	6.12369,	1.35408,	0.0606306,	0.141471,	0.343573,	0.767987,	0.202102,	0.303153,	0.929669,	0.101051,	0.404204,	0.323363,	0.0808407,	1.09135,	2.7688,	0.282943,	0.0606306,	1.85934,	0.262732,	0.0808407,	2.99111,	0.343573,	3.25384,	0.303153,	1.31366,	0.262732,	1.17219,	0.565885,	0.0404204,	0.929669,	0.242522,	0.121261,	1.9806,	0.101051,	0.121261,	0.0202102,	0.0404204,	0.121261,	0.0202102,	6.7502,	0,	0.0808407,	2.3848,	0.161681,	0.788197,	1.43492,	
HCF,	0.0791766,	13.0245,	1.74188,	0.890736,	1.08868,	1.12827,	0.692795,	0.395883,	0.653207,	1.88044,	0.3365,	0.969913,	3.00871,	0.138559,	0.752177,	0.118765,	0.712589,	1.66271,	0.395883,	0.316706,	0.910531,	0.475059,	2.25653,	0.870942,	1.20744,	0.178147,	0.57403,	0.593824,	0.23753,	0.197941,	0.296912,	5.12668,	0.653207,	0.356295,	0.494853,	0.57403,	0.395883,	1.0293,	1.76168,	2.43468,	0.633412,	0.455265,	0.0791766,	0.277118,	0.0197941,	0.138559,	0.633412,	0.613618,	1.18765,	0.732383,	0.395883,	0.0593824,	1.92003,	1.50435,	5.22565,	1.06888,	0.178147,	0.3365,	0.435471,	1.0095,	0.23753,	0.673001,	0.890736,	0.475059,	0.534442,	0.178147,	0.0989707,	1.20744,	2.15756,	0.435471,	0.0395883,	1.38559,	0.356295,	0.0989707,	2.19715,	0.475059,	3.0483,	0.257324,	1.44497,	0.257324,	1.3658,	0.415677,	0.0395883,	0.930325,	0.435471,	0.158353,	1.56374,	0.158353,	0.118765,	0.0395883,	0.0593824,	0.23753,	0.0989707,	4.69121,	0,	0.0593824,	2.3753,	0.217736,	1.44497,	1.62312,	
