cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0735419,	39.3958,	1.67449,	1.76501,	1.39164,	0.582678,	0.158398,	0.797647,	0.0961702,	0.130113,	0.492165,	1.28415,	0.837246,	0.52045,	0.865532,	0.475194,	1.89512,	0.147084,	0.333767,	0.401652,	1.44821,	0.339424,	0.0735419,	0.537422,	0.0509136,	0.458223,	0.995644,	0.169712,	0.147084,	0.277196,	1.02393,	1.0805,	0.237597,	1.40295,	0.441251,	0.175369,	0.927759,	0.837246,	0.61662,	0.808961,	1.56701,	0.322453,	0.197997,	0.825932,	0.118798,	0.186683,	0.181026,	0.0961702,	0.497822,	0.899474,	0.243254,	0.147084,	0.412966,	3.97126,	1.30678,	0.950387,	0.13577,	0.181026,	0.141427,	0.537422,	0.254568,	2.22323,	0.390338,	0.401652,	0.101827,	0.260225,	0.079199,	1.60095,	0.673191,	0.0961702,	0.356395,	1.48215,	0.124456,	0.345081,	1.01827,	0.961702,	0.537422,	0.0452565,	0.995644,	0.277196,	1.22193,	0.237597,	0.0395995,	0.678848,	2.35334,	0.56005,	1.40861,	0.0678848,	0.831589,	0.32811,	0.084856,	0.118798,	0.197997,	0.0226283,	0.124456,	0.124456,	0.311139,	0.0735419,	0.0905131,	0.610963,	
AoAF,	0.0669979,	36.419,	1.39579,	1.6917,	1.54095,	0.496901,	0.251242,	0.932388,	0.173078,	0.12283,	0.351739,	1.98202,	0.42432,	0.664396,	0.642063,	0.485735,	1.93736,	0.150745,	0.200994,	0.44107,	1.17246,	0.329406,	0.0390821,	0.480152,	0.0669979,	0.457819,	1.18363,	0.161912,	0.128413,	0.195411,	0.854224,	1.04405,	0.111663,	1.61912,	0.351739,	0.139579,	1.02172,	0.625314,	0.552733,	0.714645,	2.18302,	0.435487,	0.178661,	0.753727,	0.0781643,	0.12283,	0.206577,	0.0893306,	0.575066,	1.01614,	0.206577,	0.173078,	0.390821,	5.56083,	1.35113,	0.720228,	0.173078,	0.139579,	0.0725811,	0.709061,	0.189827,	3.02049,	0.407571,	0.251242,	0.0949137,	0.295908,	0.0390821,	1.63028,	0.669979,	0.0614148,	0.452236,	1.56329,	0.0837474,	0.295908,	1.36787,	0.535983,	0.44107,	0.0502485,	0.809558,	0.407571,	1.5577,	0.240076,	0.10608,	0.407571,	2.79716,	0.586232,	1.66937,	0.0502485,	0.943554,	0.485735,	0.12283,	0.0949137,	0.100497,	0.0837474,	0.217743,	0.128413,	0.418737,	0.0949137,	0.0502485,	0.418737,	
CD20+,	0.169863,	45.8247,	1.77534,	1.70411,	1.08493,	0.465753,	0.136986,	0.882192,	0.131507,	0.0767123,	0.345205,	1.05205,	0.871233,	0.438356,	0.986301,	0.405479,	1.61096,	0.136986,	0.350685,	0.416438,	0.854795,	0.378082,	0.109589,	0.509589,	0.0547945,	0.432877,	0.761644,	0.180822,	0.0986301,	0.235616,	1.06849,	0.827397,	0.191781,	1.30411,	0.432877,	0.213699,	0.59726,	0.79452,	0.482192,	0.553425,	1.35342,	0.273973,	0.126027,	0.789041,	0.115068,	0.208219,	0.191781,	0.0986301,	0.443836,	0.953425,	0.158904,	0.169863,	0.432877,	3.44658,	1.13425,	0.608219,	0.169863,	0.180822,	0.158904,	0.443836,	0.252055,	1.58356,	0.367123,	0.460274,	0.136986,	0.443836,	0.0712329,	1.05753,	0.460274,	0.115068,	0.263014,	1.40274,	0.169863,	0.235616,	0.876712,	0.964384,	0.580822,	0.0547945,	0.767123,	0.378082,	1.12877,	0.213699,	0.0273973,	0.635616,	1.96164,	0.613699,	1.34247,	0.0712329,	0.652055,	0.389041,	0.136986,	0.147945,	0.273973,	0.0876712,	0.147945,	0.158904,	0.263014,	0.0657534,	0.115068,	0.520548,	
GM06990,	0.0457195,	44.1765,	1.17728,	1.78878,	2.47457,	0.314322,	0.160018,	0.394331,	0.154303,	0.228598,	0.102869,	1.4916,	0.725797,	0.251457,	1.75449,	0.445765,	0.611498,	0.394331,	0.548634,	0.177163,	0.737227,	0.480055,	0.325752,	0.502915,	0.091439,	0.468625,	0.457195,	0.114299,	0.0800091,	0.091439,	0.46291,	1.23443,	0.291462,	0.96011,	0.217168,	0.194308,	0.628643,	0.697223,	0.468625,	0.354326,	1.31444,	0.542919,	0.0685793,	0.662933,	0.0514344,	0.0742942,	0.120014,	0.165733,	0.617213,	0.89153,	0.091439,	0.0742942,	0.828666,	4.65196,	2.44599,	2.51457,	0.0742942,	0.245742,	0.120014,	0.468625,	0.137159,	0.805806,	0.291462,	0.308607,	0.0400046,	0.657218,	0.0171448,	0.748657,	0.531489,	0.0742942,	0.211453,	1.7602,	0.097154,	0.251457,	1.31444,	0.725797,	0.845811,	0.0742942,	0.657218,	0.217168,	0.645788,	0.0800091,	0.0285747,	0.582924,	1.46874,	0.674363,	2.3317,	0.091439,	0.280032,	0.457195,	0.0457195,	0.0685793,	0.120014,	0.188593,	0.0400046,	0.0285747,	0.108584,	0.097154,	0.148588,	0.445765,	
GM12865,	0.087604,	38.6881,	1.63162,	1.7247,	1.40166,	0.421594,	0.11498,	0.722733,	0.0930793,	0.065703,	0.509198,	1.39071,	0.678931,	0.54205,	0.810337,	0.443495,	2.05869,	0.20806,	0.399693,	0.383268,	1.14433,	0.377792,	0.087604,	0.553,	0.0821288,	0.377792,	0.963644,	0.131406,	0.131406,	0.235436,	1.34691,	1.11148,	0.164258,	1.53855,	0.290188,	0.251862,	0.96912,	0.722733,	0.492773,	0.558476,	1.54402,	0.279238,	0.180683,	0.788436,	0.147832,	0.158782,	0.197109,	0.0930793,	0.618703,	0.782961,	0.180683,	0.175208,	0.553,	4.78537,	1.21003,	0.86509,	0.142357,	0.169733,	0.131406,	0.591327,	0.284713,	2.7212,	0.492773,	0.509198,	0.136881,	0.416119,	0.0492773,	1.50569,	0.613228,	0.0492773,	0.372317,	1.73018,	0.125931,	0.301139,	1.1717,	0.914367,	0.536575,	0.0492773,	0.772011,	0.361367,	1.1717,	0.224485,	0.0602278,	0.574901,	2.17915,	0.602278,	1.5276,	0.0602278,	0.782961,	0.377792,	0.0602278,	0.120456,	0.191634,	0.043802,	0.11498,	0.158782,	0.459921,	0.0711783,	0.131406,	0.470872,	
H7-hESC,	0.0599357,	38.5169,	1.68365,	1.60737,	1.4766,	0.566665,	0.0926279,	0.790062,	0.114423,	0.130769,	0.490383,	1.62371,	0.326922,	0.479486,	0.915382,	0.261538,	2.20127,	0.196153,	0.223397,	0.490383,	1.00801,	0.430447,	0.0708331,	0.468588,	0.0653844,	0.626601,	1.12788,	0.141666,	0.141666,	0.130769,	0.828202,	0.893587,	0.158012,	1.38942,	0.332371,	0.0926279,	0.904484,	0.479486,	0.632049,	0.621152,	2.10865,	0.326922,	0.217948,	0.931728,	0.0926279,	0.185256,	0.136218,	0.0817305,	0.381409,	0.811856,	0.12532,	0.141666,	0.359614,	6.32594,	1.41666,	0.828202,	0.185256,	0.190705,	0.103525,	0.54487,	0.158012,	2.93685,	0.370512,	0.305127,	0.0871792,	0.408653,	0.0435896,	1.59647,	0.441345,	0.108974,	0.523075,	1.38397,	0.0708331,	0.299679,	1.17147,	0.653844,	0.326922,	0.0653844,	0.681088,	0.523075,	1.32403,	0.234294,	0.0599357,	0.452242,	2.65352,	0.414101,	1.67275,	0.0708331,	1.01891,	0.365063,	0.0272435,	0.119871,	0.108974,	0.0435896,	0.0817305,	0.108974,	0.326922,	0.103525,	0.0490383,	0.321473,	
HA-h,	0.187436,	36.368,	1.83688,	2.17426,	1.11391,	0.530177,	0.16066,	0.98538,	0.219568,	0.16066,	0.647994,	1.08713,	0.73368,	0.626573,	1.26386,	0.283832,	2.24924,	0.182081,	0.374873,	0.471269,	1.17282,	0.455203,	0.139238,	0.481979,	0.0535533,	0.556954,	1.055,	0.203502,	0.224924,	0.348096,	1.75119,	0.996091,	0.262411,	1.01751,	0.423071,	0.214213,	0.872918,	0.765812,	0.65335,	0.396294,	1.38703,	0.310609,	0.358807,	0.867563,	0.257056,	0.257056,	0.24099,	0.133883,	0.460558,	1.13533,	0.16066,	0.166015,	0.74439,	3.7166,	1.22637,	0.739035,	0.230279,	0.214213,	0.230279,	0.690837,	0.257056,	2.4099,	0.669416,	0.631928,	0.262411,	0.465913,	0.139238,	1.11391,	0.396294,	0.166015,	0.289188,	1.24244,	0.235634,	0.380228,	0.631928,	1.24244,	0.444492,	0.0910405,	0.583731,	0.455203,	1.18353,	0.267766,	0.101751,	0.98538,	2.60804,	0.503401,	1.16211,	0.0749746,	0.926471,	0.407005,	0.128528,	0.182081,	0.358807,	0.0535533,	0.17137,	0.219568,	0.599797,	0.0963959,	0.0696192,	0.562309,	
HAEpiC,	0.0676857,	38.5075,	1.67522,	1.95725,	1.53421,	0.552767,	0.146652,	0.586609,	0.107169,	0.0958881,	0.699419,	1.82751,	0.502002,	0.490721,	0.891195,	0.366631,	1.78239,	0.208698,	0.400474,	0.569688,	1.29731,	0.310226,	0.0789667,	0.59225,	0.0225619,	0.366631,	1.20706,	0.203057,	0.191776,	0.24254,	1.004,	0.975802,	0.163574,	1.13938,	0.389193,	0.107169,	0.795307,	0.778386,	0.569688,	0.800948,	1.46088,	0.2369,	0.169214,	0.817869,	0.101529,	0.180495,	0.197417,	0.0902476,	0.445598,	0.812229,	0.146652,	0.152293,	0.507643,	5.38101,	1.2127,	0.913757,	0.141012,	0.141012,	0.11281,	0.755824,	0.225619,	2.70743,	0.304586,	0.417395,	0.0789667,	0.36099,	0.0451238,	1.48345,	0.659936,	0.0733262,	0.338429,	1.3932,	0.141012,	0.2369,	1.16758,	0.83479,	0.406114,	0.0507643,	0.874274,	0.530205,	1.55677,	0.394833,	0.0451238,	0.552767,	2.27311,	0.451238,	1.52293,	0.0394833,	0.83479,	0.203057,	0.0902476,	0.12409,	0.169214,	0.0451238,	0.11845,	0.129731,	0.304586,	0.0846071,	0.0564048,	0.490721,	
HCF,	0.0822368,	38.1031,	1.72149,	1.63377,	1.27193,	0.466009,	0.197368,	1.01974,	0.158991,	0.060307,	0.444079,	1.55154,	0.592105,	0.542763,	0.877193,	0.317982,	2.06689,	0.164474,	0.345395,	0.400219,	1.26096,	0.350877,	0.120614,	0.564693,	0.0328947,	0.520833,	0.95943,	0.197368,	0.109649,	0.241228,	1.44189,	0.942982,	0.148026,	1.35417,	0.296053,	0.202851,	1.00329,	0.575658,	0.60307,	0.707237,	1.62829,	0.323465,	0.180921,	0.767544,	0.148026,	0.148026,	0.153509,	0.115132,	0.526316,	0.674342,	0.164474,	0.175439,	0.537281,	5.32895,	1.3432,	0.932018,	0.175439,	0.191886,	0.148026,	0.685307,	0.219298,	2.85088,	0.372807,	0.405702,	0.137061,	0.323465,	0.0822368,	1.40351,	0.619518,	0.126096,	0.345395,	1.3432,	0.109649,	0.241228,	1.08553,	1.0636,	0.515351,	0.0219298,	0.685307,	0.3125,	1.28289,	0.235746,	0.0767544,	0.712719,	2.26425,	0.592105,	1.41996,	0.0822368,	0.794956,	0.372807,	0.0877193,	0.142544,	0.224781,	0.0328947,	0.208333,	0.126096,	0.416667,	0.0932017,	0.0548246,	0.515351,	
HCM,	0.0657931,	40.8685,	1.65031,	1.67772,	1.31038,	0.471517,	0.131586,	0.795,	0.159,	0.0877241,	0.641483,	1.44197,	0.553758,	0.53731,	0.860793,	0.383793,	1.95186,	0.175448,	0.290586,	0.389276,	1.22814,	0.427655,	0.0877241,	0.350896,	0.0383793,	0.427655,	1.03624,	0.142552,	0.148034,	0.191896,	1.272,	0.970448,	0.0822414,	1.12945,	0.268655,	0.224793,	0.871758,	0.657931,	0.520862,	0.657931,	1.38165,	0.285103,	0.159,	0.690827,	0.104172,	0.202862,	0.230276,	0.0822414,	0.460552,	0.910138,	0.197379,	0.131586,	0.531827,	4.95093,	1.33231,	0.904655,	0.148034,	0.191896,	0.0877241,	0.603103,	0.25769,	2.71945,	0.383793,	0.520862,	0.142552,	0.345414,	0.0822414,	1.37617,	0.531827,	0.0877241,	0.290586,	1.43648,	0.0986896,	0.213828,	0.975931,	1.25007,	0.339931,	0.0712758,	0.559241,	0.372827,	1.09655,	0.263172,	0.0438621,	0.69631,	2.28631,	0.608586,	1.20621,	0.0712758,	0.844344,	0.356379,	0.0932069,	0.0877241,	0.180931,	0.0274138,	0.0986896,	0.0932069,	0.455069,	0.0986896,	0.0822414,	0.487965,	
