cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.141804,	15.6835,	2.60919,	2.07033,	2.3823,	0.311968,	0.170164,	0.453772,	0.0283607,	0,	0.964266,	0.510493,	0.425411,	0.794101,	0.311968,	1.67328,	0.935905,	0.709019,	0.879183,	4.16903,	0.39705,	0.0567215,	0.0850822,	1.90017,	0.0283607,	2.12706,	0.340329,	2.52411,	0.226886,	0.311968,	0.36869,	0.510493,	0.0567215,	3.43165,	3.1764,	0.0850822,	0.453772,	1.61656,	0.822462,	0.567215,	1.02099,	0.113443,	0.198525,	2.97788,	0.113443,	0,	4.08395,	0.0850822,	0.510493,	0.850823,	0.36869,	2.83607,	0.113443,	1.19115,	0.39705,	0.538854,	0.0850822,	0.170164,	0.0567215,	0.595576,	0.170164,	1.16279,	0.198525,	0.113443,	0.0567215,	0.822462,	0.255247,	0.623936,	0.595576,	0.595576,	0.794101,	2.46739,	0.226886,	2.8928,	3.43165,	0.311968,	0.36869,	0.0850822,	0.992626,	1.02099,	0.482133,	1.55984,	1.36132,	0,	1.10607,	1.13443,	0.850823,	0.113443,	1.73001,	0.652297,	0.113443,	0.0283607,	0.935905,	0.0850822,	0.510493,	0,	0.0283607,	0.0850822,	0.0567215,	1.36132,	
AoAF,	0.303951,	15.5015,	3.56452,	2.34872,	2.04476,	0.469743,	0.13816,	0.386847,	0.0552639,	0,	0.85659,	1.02238,	0.386847,	1.02238,	0.110528,	1.57502,	1.32633,	0.939486,	1.21581,	5.83034,	0.331583,	0.0828958,	0,	2.29345,	0.110528,	1.35397,	0.248687,	1.93424,	0.0828958,	0.193424,	0.331583,	0.303951,	0.110528,	3.23294,	3.92374,	0.0828958,	0.497375,	1.9066,	0.939486,	0.276319,	1.02238,	0.165792,	0.193424,	2.84609,	0.0552639,	0,	3.59215,	0.0552639,	0.303951,	1.24344,	0.359215,	2.34872,	0.0276319,	0.967118,	0.442111,	0.276319,	0,	0.193424,	0.110528,	0.442111,	0.165792,	1.54739,	0.165792,	0.221056,	0.0276319,	0.718431,	0.13816,	0.442111,	0.414479,	0.884222,	0.746062,	2.0724,	0.193424,	3.09478,	2.29345,	0.221056,	0.193424,	0.0552639,	1.07765,	1.2987,	0.607903,	1.93424,	1.16054,	0.0552639,	1.40923,	0.939486,	0.635535,	0.0552639,	1.32633,	0.469743,	0.221056,	0.0276319,	1.16054,	0.0552639,	0.414479,	0.0828958,	0.0276319,	0,	0.0276319,	1.43686,	
CD20+,	0.521312,	17.0193,	3.15854,	1.74793,	2.29991,	0.306654,	0.183993,	0.245324,	0.153327,	0.0613309,	0.735971,	1.01196,	0.950629,	0.797301,	0.153327,	2.45324,	0.735971,	0.705305,	1.13462,	4.84514,	0.153327,	0.0613309,	0.183993,	3.12787,	0.214658,	1.37994,	0.613309,	2.11592,	0.33732,	0.67464,	0.367985,	0.275989,	0.214658,	3.12787,	2.85189,	0.122662,	0.306654,	1.71726,	0.827967,	0.67464,	0.521312,	0.245324,	0.183993,	2.11592,	0.245324,	0.0306654,	4.32383,	0.0919963,	0.582643,	0.705305,	0.245324,	3.06654,	0.0306654,	1.25728,	0.0613309,	0.521312,	0.0613309,	0.122662,	0.0306654,	0.398651,	0.122662,	0.919963,	0.245324,	0.398651,	0.0306654,	0.613309,	0.735971,	0.643974,	0.521312,	0.950629,	0.521312,	1.7786,	0.429316,	2.23858,	2.3919,	0.214658,	0.551978,	0.153327,	1.44128,	1.10396,	0.367985,	1.25728,	0.950629,	0.0919963,	0.735971,	1.07329,	0.459982,	0.0613309,	1.56394,	0.429316,	0.214658,	0.0306654,	1.13462,	0.153327,	0.33732,	0.0306654,	0.0306654,	0.0306654,	0.122662,	1.50261,	
GM06990,	0.812434,	16.284,	1.16567,	1.44825,	2.04875,	1.55422,	0.10597,	0.282586,	1.62487,	1.0597,	0.247262,	2.57859,	2.50795,	0.0706464,	1.02437,	1.34228,	0.88308,	0.0706464,	0.423878,	0.706464,	0.635818,	0.282586,	1.48357,	1.02437,	0.529848,	0.141293,	0.98905,	0.211939,	0.176616,	0.317909,	0.176616,	0.247262,	2.26069,	0.600495,	0.388555,	0.247262,	0.423878,	1.94278,	0.494525,	5.29848,	0.565171,	0.88308,	0.0706464,	0.388555,	0.10597,	0.529848,	0,	0.0353232,	1.66019,	0.211939,	0.0706464,	0,	0.282586,	2.79053,	1.34228,	0.741787,	0.10597,	0.88308,	0.317909,	0.847757,	0.529848,	2.64924,	1.76616,	1.62487,	0.141293,	0.211939,	0.0353232,	1.5189,	1.5189,	0.529848,	0.529848,	1.20099,	0,	0.494525,	1.27164,	0.459202,	2.96715,	0.565171,	2.86118,	0.0706464,	1.13034,	0.741787,	0.0353232,	0.565171,	0.211939,	0.812434,	2.36665,	0,	0.282586,	0.317909,	0,	1.0597,	0.317909,	2.33133,	0.0353232,	0.141293,	0.88308,	0.317909,	0.812434,	0.741787,	
GM12865,	0.20564,	16.6863,	2.64395,	1.6745,	2.37955,	0.20564,	0.20564,	0.352526,	0.0587544,	0,	0.822562,	1.11633,	0.910693,	0.675676,	0.293772,	2.43831,	0.675676,	0.440658,	0.998825,	4.96475,	0.176263,	0.0881316,	0,	2.46768,	0.0587544,	1.61575,	0.323149,	2.11516,	0.0587544,	0.293772,	0.323149,	0.293772,	0.117509,	3.11398,	3.76028,	0.117509,	0.293772,	1.43948,	0.881316,	0.646298,	0.470035,	0.264395,	0.0881316,	2.14454,	0.20564,	0.0293772,	4.20094,	0.0587544,	0.616921,	1.08696,	0.20564,	2.84959,	0.0293772,	1.05758,	0.146886,	0.587544,	0.0587544,	0.0587544,	0.0293772,	0.499412,	0.146886,	0.998825,	0.0881316,	0.176263,	0.0293772,	0.499412,	0.293772,	0.793185,	0.940071,	0.705053,	0.558167,	2.14454,	0.117509,	3.31962,	3.23149,	0.20564,	0.646298,	0.0881316,	1.14571,	1.05758,	0.352526,	1.52761,	1.58637,	0.0587544,	0.969448,	1.14571,	0.675676,	0.0293772,	1.35135,	0.52879,	0.176263,	0,	1.0282,	0.0881316,	0.381904,	0.0587544,	0.0587544,	0.0293772,	0.146886,	1.99765,	
H7-hESC,	0.258621,	13.5057,	3.96552,	1.78161,	2.61494,	0.344828,	0.0862069,	0.287356,	0,	0.0287356,	1.49425,	0.833333,	0.316092,	0.862069,	0.114943,	1.6954,	0.890805,	0.804598,	1.81034,	6.55172,	0.229885,	0.0574713,	0,	2.29885,	0.0862069,	1.2069,	0.316092,	2.87356,	0.0574713,	0.143678,	0.45977,	0.316092,	0.0574713,	3.16092,	3.73563,	0.0287356,	0.143678,	2.06897,	1.55172,	0.431034,	0.747126,	0.172414,	0.201149,	2.5,	0.114943,	0.143678,	4.1954,	0.0574713,	0.488506,	0.91954,	0.201149,	2.78736,	0.0287356,	1.09195,	0.287356,	0.287356,	0,	0.287356,	0,	0.488506,	0.0574713,	1.2931,	0.201149,	0.632184,	0.0287356,	0.603448,	0.201149,	0.488506,	0.431034,	0.977012,	0.488506,	2.38506,	0.201149,	3.3046,	1.55172,	0.316092,	0.258621,	0.0574713,	1.2069,	1.06322,	0.344828,	1.40805,	1.06322,	0,	1.37931,	1.03448,	0.517241,	0,	1.75287,	0.316092,	0.143678,	0,	1.00575,	0.0574713,	0.344828,	0.0574713,	0.0287356,	0.0574713,	0.143678,	2.12644,	
HA-h,	0.433839,	10.846,	2.60304,	2.27766,	2.27766,	0.244035,	0.16269,	0.32538,	0,	0.0542299,	0.894794,	0.704989,	0.488069,	0.921909,	0.298265,	2.08785,	1.22017,	0.569414,	0.921909,	4.74512,	0.406724,	0.135575,	0,	1.95228,	0.189805,	2.14208,	0.569414,	2.03362,	0.16269,	0.677874,	0.623644,	0.460954,	0.244035,	3.00976,	3.33514,	0.21692,	0.515184,	1.2744,	0.759219,	0.10846,	1.22017,	0.488069,	0.10846,	2.87419,	0.298265,	0.135575,	4.82646,	0.189805,	0.352495,	1.40998,	0.433839,	3.57918,	0.027115,	1.24729,	0.32538,	0.406724,	0.027115,	0.21692,	0.0542299,	0.650759,	0.406724,	1.32863,	0.32538,	0.37961,	0.0542299,	0.596529,	0.569414,	0.623644,	0.488069,	1.0846,	0.759219,	1.51844,	0.244035,	2.49458,	1.6269,	0.37961,	0.433839,	0.10846,	1.00325,	1.46421,	0.569414,	1.92516,	1.49132,	0.135575,	1.49132,	1.22017,	0.515184,	0.0813449,	1.89805,	0.623644,	0.488069,	0.0542299,	1.2744,	0.0542299,	0.704989,	0.0813449,	0,	0.10846,	0.189805,	1.43709,	
HAEpiC,	0.114877,	12.8087,	3.27398,	2.03906,	2.12522,	0.287191,	0.0574383,	0.373349,	0,	0.0574383,	0.804136,	0.574383,	0.287191,	0.890293,	0.172315,	1.66571,	0.631821,	1.17748,	1.46468,	7.17978,	0.172315,	0.0574383,	0.0287191,	2.78576,	0.114877,	1.40724,	0.31591,	3.04423,	0.201034,	0.172315,	0.258472,	0.114877,	0.0287191,	2.64216,	4.5089,	0.0287191,	0.258472,	2.46984,	1.98162,	0.775416,	0.545663,	0.201034,	0.229753,	3.13038,	0.114877,	0.0574383,	4.5089,	0.114877,	0.402068,	1.12005,	0.172315,	2.84319,	0.0574383,	0.631821,	0.114877,	0.430787,	0.0287191,	0.31591,	0,	0.488225,	0.114877,	1.23492,	0.114877,	0.229753,	0.0287191,	0.574383,	0.229753,	0.488225,	0.430787,	0.890293,	0.890293,	1.78059,	0.143596,	4.42275,	1.83802,	0.172315,	0.287191,	0.0574383,	1.00517,	1.12005,	0.31591,	1.40724,	1.57955,	0.0287191,	0.947731,	0.746697,	0.430787,	0.0287191,	1.40724,	0.258472,	0.229753,	0.0287191,	1.12005,	0.0861574,	0.373349,	0,	0.0287191,	0.0861574,	0.0574383,	1.92418,	
HCF,	0.196574,	14.6869,	2.78012,	2.13423,	2.35889,	0.308902,	0.084246,	0.28082,	0,	0.14041,	1.03903,	0.954788,	0.365066,	1.03903,	0.168492,	2.16231,	1.03903,	0.617804,	1.12328,	4.71778,	0.28082,	0.14041,	0.112328,	2.33081,	0.084246,	1.74108,	0.505476,	1.79725,	0.252738,	0.168492,	0.393148,	0.336984,	0.028082,	3.48217,	3.36984,	0.056164,	0.477394,	1.29177,	0.814378,	0.477394,	1.17944,	0.252738,	0.14041,	3.06094,	0.112328,	0.084246,	4.46504,	0.056164,	0.533558,	1.4041,	0.28082,	2.72395,	0.056164,	1.31985,	0.42123,	0.477394,	0.028082,	0.308902,	0.112328,	0.365066,	0.196574,	1.26369,	0.252738,	0.224656,	0.028082,	0.84246,	0.365066,	0.730132,	0.365066,	0.84246,	0.617804,	1.85341,	0.196574,	2.78012,	3.20135,	0.28082,	0.505476,	0.084246,	0.673968,	1.20753,	0.56164,	1.85341,	1.31985,	0.112328,	1.03903,	0.954788,	0.505476,	0.112328,	1.51643,	0.533558,	0.224656,	0,	0.98287,	0.112328,	0.28082,	0.028082,	0.028082,	0.084246,	0.084246,	1.43218,	
HCM,	0.226629,	13.0878,	2.88952,	2.09632,	2.20963,	0.368272,	0.113314,	0.311615,	0,	0.0566572,	1.01983,	0.651558,	0.481586,	0.991501,	0.141643,	2.43626,	1.13314,	0.566572,	1.33144,	5.12748,	0.339943,	0.226629,	0.0566572,	2.69122,	0.0849858,	1.75637,	0.566572,	2.5779,	0.141643,	0.254958,	0.396601,	0.339943,	0.0283286,	2.52125,	3.99433,	0.0283286,	0.368272,	1.7847,	1.01983,	0.254958,	0.82153,	0.226629,	0.169972,	3.00283,	0.141643,	0,	5.09915,	0.0566572,	0.396601,	1.13314,	0.226629,	3.42776,	0.0566572,	1.16147,	0.339943,	0.226629,	0.0283286,	0.141643,	0,	0.509915,	0.1983,	1.1898,	0.1983,	0.1983,	0.0566572,	0.509915,	0.1983,	0.566572,	0.396601,	0.878187,	0.594901,	1.69972,	0.0849858,	3.48442,	3.05949,	0.1983,	0.424929,	0.0849858,	1.07649,	0.679887,	0.538244,	2.06799,	1.35977,	0.0283286,	1.3881,	0.991501,	0.424929,	0.0849858,	1.33144,	0.594901,	0.169972,	0,	1.01983,	0.0849858,	0.453258,	0.0283286,	0.0849858,	0.0849858,	0.113314,	1.52974,	
