cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.151844,	27.961,	1.19306,	2.4295,	1.12798,	0.477223,	0.412147,	0.932755,	0.433839,	0.21692,	0.195228,	1.54013,	2.49458,	0.433839,	1.27983,	0.0650759,	0.650759,	0.173536,	0.672451,	0.260304,	0.932755,	1.12798,	0.672451,	1.06291,	0.21692,	0.347072,	0.455531,	0.281996,	0.238612,	0.368764,	0.694143,	2.66811,	0.498915,	0.845987,	0.542299,	0.650759,	0.21692,	1.56182,	0.694143,	0.780911,	0.867679,	0.173536,	0.151844,	0.672451,	0.021692,	0.173536,	0.130152,	0.911063,	1.36659,	1.21475,	0.390456,	0.0867679,	3.08026,	3.03688,	2.73319,	1.36659,	0.260304,	0.021692,	0.130152,	1.6269,	0.238612,	0.368764,	0.390456,	0.368764,	0.32538,	0.520607,	0.021692,	0.629067,	1.97397,	0.0867679,	0.151844,	1.99566,	0.498915,	0.32538,	1.99566,	0.759219,	1.86551,	0.260304,	1.19306,	0.173536,	0.477223,	0.173536,	0,	2.25597,	0.867679,	0.260304,	1.99566,	0.195228,	0.173536,	0.0867679,	0.151844,	0.0650759,	0.759219,	0.694143,	0.0650759,	0.151844,	0.195228,	0.0433839,	0.368764,	0.498915,	
AoAF,	0.21245,	24.368,	1.041,	2.42192,	1.40217,	0.467389,	0.594859,	1.25345,	0.254939,	0.12747,	0.148715,	1.21096,	3.22923,	0.509879,	1.33843,	0.297429,	0.871043,	0.148715,	0.722328,	0.191205,	0.849798,	1.2747,	0.892288,	1.16847,	0.191205,	0.233694,	0.276184,	0.191205,	0.233694,	0.297429,	0.679839,	3.48417,	0.722328,	0.722328,	0.382409,	0.509879,	0.318674,	1.76333,	0.403654,	0.977268,	0.977268,	0.552369,	0.12747,	0.382409,	0.0849798,	0.16996,	0.361164,	0.786063,	1.55088,	1.38092,	0.467389,	0.0637349,	3.33546,	2.16699,	2.35819,	1.65711,	0.382409,	0.0637349,	0.254939,	1.95454,	0.254939,	0.297429,	0.446144,	0.552369,	0.361164,	0.552369,	0.0849798,	0.849798,	2.27321,	0.021245,	0.021245,	2.06076,	0.446144,	0.382409,	2.06076,	0.892288,	2.27321,	0.12747,	1.18972,	0.148715,	0.403654,	0.0849798,	0.021245,	2.7406,	0.658594,	0.21245,	1.48715,	0.12747,	0.318674,	0.106225,	0.148715,	0.021245,	0.977268,	0.552369,	0.12747,	0.106225,	0.276184,	0.0637349,	0.276184,	0.531124,	
CD20+,	0.231911,	26.4842,	1.57699,	1.87848,	1.64657,	0.718924,	0.347866,	0.950835,	0.301484,	0.0695733,	0.0463822,	2.01763,	3.43228,	0.533395,	1.11317,	0.347866,	0.718924,	0.0463822,	0.510204,	0.487013,	0.62616,	0.904453,	0.672542,	1.87848,	0.185529,	0.20872,	0.371058,	0.20872,	0.41744,	0.324675,	0.347866,	1.8321,	0.602968,	1.53061,	0.904453,	0.440631,	0.510204,	1.66976,	0.41744,	1.11317,	0.742115,	0.347866,	0.115955,	0.394249,	0.0231911,	0.255102,	0.324675,	0.602968,	1.76252,	1.27551,	0.463822,	0.139147,	1.57699,	2.0872,	1.53061,	0.765306,	0.347866,	0.139147,	0.278293,	1.8321,	0.347866,	0.394249,	0.347866,	0.579777,	0.510204,	0.533395,	0.115955,	0.85807,	2.36549,	0.139147,	0.139147,	2.11039,	0.487013,	0.463822,	2.22635,	0.440631,	2.62059,	0.324675,	1.66976,	0.278293,	0.347866,	0.278293,	0.0695733,	1.53061,	0.463822,	0.394249,	1.92486,	0.0463822,	0.301484,	0.0695733,	0.20872,	0.0695733,	0.881262,	0.85807,	0.139147,	0.115955,	0.301484,	0.0927644,	0.533395,	0.788497,	
GM06990,	0.636943,	26.5577,	2.18776,	2.57546,	2.52008,	0.52617,	0.221545,	0.886181,	0.193852,	0.166159,	0.193852,	1.05234,	1.71698,	0.443091,	0.553863,	1.99391,	0.581556,	0.221545,	0.332318,	0.60925,	0.803102,	0.138466,	0.636943,	1.6062,	0.221545,	0.166159,	0.360011,	0.360011,	0.221545,	0.166159,	0.387704,	0.803102,	0.52617,	1.74467,	0.692329,	0.249238,	0.52617,	2.16007,	0.415397,	1.91083,	0.692329,	1.10773,	0.138466,	0.803102,	0,	0.0553863,	0.0830795,	0.166159,	1.2185,	0.553863,	0.0553863,	0.0276932,	0.0276932,	1.55082,	1.46774,	1.74467,	0.221545,	0.304625,	0.581556,	0.166159,	0.941567,	0.996954,	0.498477,	0.664636,	0.0553863,	0.470784,	0.0830795,	1.08003,	1.88313,	0.221545,	0.969261,	1.52312,	0.193852,	0.52617,	2.16007,	0.221545,	3.12933,	0.0276932,	3.96012,	0.0830795,	1.66159,	0.830795,	0.193852,	0.276932,	0.941567,	1.2185,	1.32927,	0.0830795,	0.360011,	0.387704,	0,	0.110773,	0.443091,	0.360011,	0.138466,	0.193852,	0.276932,	0.221545,	0.498477,	1.55082,	
GM12865,	0.32996,	21.0735,	1.27585,	1.78179,	1.20985,	0.681918,	0.505939,	0.945886,	0.571931,	0.351958,	0.0879894,	1.80378,	4.2015,	0.571931,	0.725913,	0.307963,	0.527937,	0.131984,	0.74791,	0.373955,	1.09987,	1.58381,	0.857897,	1.47382,	0.153982,	0.241971,	0.461945,	0.197976,	0.307963,	0.351958,	0.351958,	2.79366,	0.681918,	1.03388,	0.637923,	0.593929,	0.395952,	1.82578,	0.549934,	1.07787,	0.637923,	0.637923,	0.153982,	0.241971,	0,	0.153982,	0.373955,	0.879894,	2.17774,	1.01188,	0.373955,	0.0219974,	2.08975,	2.06775,	1.78179,	1.20985,	0.461945,	0.131984,	0.241971,	2.41971,	0.32996,	0.41795,	0.351958,	0.681918,	0.351958,	0.483942,	0.0439947,	0.901892,	3.21161,	0.131984,	0.0219974,	1.82578,	0.351958,	0.351958,	2.37571,	0.681918,	2.39771,	0.32996,	1.45183,	0.197976,	0.681918,	0.175979,	0.0879894,	2.85966,	0.945886,	0.373955,	1.84778,	0.109987,	0.219974,	0.0659921,	0.175979,	0.0219974,	0.901892,	0.923889,	0.0219974,	0.0659921,	0.285966,	0.0879894,	0.637923,	0.659921,	
H7-hESC,	0.300365,	19.8241,	1.15855,	2.38146,	1.35164,	0.536366,	0.536366,	1.43746,	0.386183,	0.236001,	0.0643639,	1.48037,	4.52693,	0.55782,	1.18,	0.0429092,	0.665093,	0.128728,	0.686548,	0.107273,	1.22291,	1.63055,	0.922549,	1.02982,	0.150182,	0.386183,	0.55782,	0.27891,	0.27891,	0.472002,	0.429092,	3.7331,	0.665093,	0.772366,	0.493456,	0.750912,	0.364729,	1.45891,	0.407638,	0.386183,	0.750912,	0.55782,	0.107273,	0.257455,	0.0429092,	0.171637,	0.407638,	1.09419,	1.6091,	1.69492,	0.386183,	0.0858185,	2.46728,	1.86655,	2.10255,	1.30873,	0.407638,	0.107273,	0.343274,	2.98219,	0.236001,	0.214546,	0.236001,	0.600729,	0.386183,	0.407638,	0.0214546,	0.536366,	2.91783,	0.0858185,	0.0643639,	1.73782,	0.600729,	0.386183,	2.0811,	0.922549,	2.44583,	0.214546,	1.3731,	0.171637,	0.450547,	0.27891,	0.0214546,	3.54001,	0.665093,	0.171637,	1.45891,	0.128728,	0.300365,	0.0643639,	0.343274,	0.0214546,	1.33019,	1.00837,	0.0858185,	0.128728,	0.364729,	0.128728,	0.514911,	0.622184,	
HA-h,	0.450912,	24.1033,	1.41422,	3.27936,	1.16827,	0.430416,	0.266448,	0.860832,	0.553392,	0.163968,	0.20496,	0.983808,	2.0291,	0.61488,	1.63968,	0.10248,	1.12728,	0.163968,	0.594384,	0.389424,	0.860832,	1.18877,	0.737856,	1.45522,	0.245952,	0.389424,	0.655872,	0.163968,	0.30744,	0.450912,	0.860832,	2.62349,	0.737856,	0.553392,	0.778848,	0.553392,	0.286944,	0.737856,	0.676368,	0.758352,	1.63968,	0.40992,	0.30744,	0.655872,	0.020496,	0.327936,	0.553392,	1.0248,	1.14778,	1.96762,	0.5124,	0.10248,	2.29555,	1.88563,	2.52101,	1.10678,	0.471408,	0.061488,	0.286944,	1.90613,	0.389424,	0.491904,	0.5124,	0.5124,	0.5124,	0.573888,	0.20496,	0.92232,	1.49621,	0.184464,	0.143472,	2.0496,	0.881328,	0.594384,	1.33224,	0.799344,	1.72166,	0.430416,	0.983808,	0.286944,	0.430416,	0.245952,	0.061488,	2.31605,	1.0248,	0.327936,	1.08629,	0.163968,	0.450912,	0.10248,	0.225456,	0.10248,	1.25026,	0.532896,	0.163968,	0.245952,	0.430416,	0.081984,	0.430416,	0.532896,	
HAEpiC,	0.110914,	26.5528,	0.909494,	2.92813,	0.887311,	0.421473,	0.55457,	1.19787,	0.465839,	0.15528,	0.133097,	1.44188,	2.99468,	0.643301,	1.1535,	0.15528,	0.931677,	0.221828,	0.621118,	0.0887311,	1.50843,	1.39752,	0.842946,	0.931677,	0.15528,	0.15528,	0.377107,	0.199645,	0.266193,	0.15528,	0.465839,	3.54925,	0.621118,	0.510204,	0.354925,	0.510204,	0.288376,	1.5528,	0.377107,	0.621118,	1.06477,	0.443656,	0.133097,	0.332742,	0.0887311,	0.266193,	0.310559,	0.887311,	1.48625,	1.4197,	0.39929,	0.133097,	2.72848,	1.95209,	2.55102,	1.77462,	0.465839,	0.0443656,	0.266193,	2.01863,	0.288376,	0.199645,	0.488021,	0.377107,	0.310559,	0.133097,	0.0221828,	0.687666,	2.97249,	0.0443656,	0,	1.9299,	0.266193,	0.332742,	1.9299,	0.887311,	2.32919,	0.133097,	1.02041,	0.221828,	0.55457,	0.133097,	0,	3.19432,	0.621118,	0.244011,	1.46406,	0.177462,	0.266193,	0.0443656,	0.15528,	0,	0.709849,	0.776398,	0.0665484,	0.0665484,	0.332742,	0.0221828,	0.221828,	0.199645,	
HCF,	0.191367,	23.5594,	0.978099,	1.91367,	1.3821,	0.637891,	0.382734,	0.935573,	0.467787,	0.106315,	0.127578,	1.27578,	3.16819,	0.680417,	1.19073,	0.170104,	0.893047,	0.21263,	0.765469,	0.170104,	1.10568,	1.40336,	0.956836,	0.871784,	0.148841,	0.276419,	0.42526,	0.148841,	0.233893,	0.233893,	0.659154,	3.59345,	0.42526,	0.595365,	0.680417,	0.616628,	0.297682,	1.16947,	0.637891,	0.786732,	1.25452,	0.361471,	0.21263,	0.552839,	0.0850521,	0.127578,	0.318945,	0.893047,	1.46715,	1.80736,	0.595365,	0.148841,	3.63598,	2.31767,	2.3602,	1.48841,	0.595365,	0.042526,	0.318945,	2.10504,	0.148841,	0.255156,	0.382734,	0.574102,	0.382734,	0.510313,	0.0850521,	0.829258,	2.14757,	0.0637891,	0.021263,	2.01999,	0.510313,	0.340208,	1.61599,	0.893047,	2.33893,	0.21263,	1.10568,	0.0850521,	0.574102,	0.127578,	0.042526,	3.06188,	0.829258,	0.170104,	1.31831,	0.106315,	0.191367,	0.042526,	0.191367,	0.0637891,	1.12694,	0.850521,	0.127578,	0.148841,	0.255156,	0.0850521,	0.403997,	0.595365,	
HCM,	0.27969,	25.1936,	1.1833,	2.68933,	1.52754,	0.55938,	0.344234,	1.07573,	0.322719,	0.193632,	0.129088,	1.39845,	3.22719,	0.451807,	1.48451,	0.129088,	0.946644,	0.258176,	0.473322,	0.193632,	1.07573,	1.1833,	0.817556,	0.688468,	0.215146,	0.150602,	0.55938,	0.129088,	0.258176,	0.344234,	0.774527,	3.48537,	0.60241,	0.709983,	0.430293,	0.494837,	0.451807,	1.44148,	0.60241,	0.709983,	1.14028,	0.60241,	0.150602,	0.473322,	0.0430293,	0.215146,	0.322719,	0.731497,	1.48451,	1.63511,	0.580895,	0.129088,	3.07659,	2.08692,	2.43115,	1.26936,	0.430293,	0.0430293,	0.344234,	2.12995,	0.215146,	0.344234,	0.365749,	0.537866,	0.365749,	0.236661,	0.129088,	0.8821,	2.40964,	0.0430293,	0,	1.89329,	0.301205,	0.322719,	1.48451,	0.753012,	2.0654,	0.236661,	0.903614,	0.193632,	0.430293,	0.0430293,	0,	2.86145,	0.968158,	0.172117,	1.26936,	0.0860585,	0.193632,	0.0430293,	0.215146,	0.129088,	0.925129,	0.989673,	0.0215146,	0.0645439,	0.365749,	0.0430293,	0.430293,	0.55938,	
