cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.214362,	25.0268,	5.0911,	2.19721,	1.17899,	1.82208,	0.107181,	1.7149,	0,	0.107181,	0.107181,	0.857449,	2.2508,	0.696677,	0.750268,	0.589496,	0.96463,	0.214362,	0.160772,	0.696677,	0.267953,	0.0535906,	0.160772,	4.23365,	0.535906,	0.0535906,	0.267953,	1.33976,	0.321543,	0.321543,	0.321543,	0.696677,	0.535906,	0.750268,	1.07181,	0.375134,	0.321543,	1.1254,	0.589496,	0.857449,	0.91104,	1.17899,	0.160772,	1.07181,	0,	0,	0.857449,	2.03644,	0.803859,	1.98285,	1.07181,	0.0535906,	0.96463,	0.803859,	1.23258,	0.803859,	0.107181,	0.803859,	0.96463,	0.857449,	0.107181,	0.482315,	0.214362,	0.428725,	0.0535906,	0.107181,	0.267953,	1.7149,	2.19721,	0.214362,	0.160772,	0.803859,	0.267953,	0.107181,	1.82208,	0.107181,	1.82208,	0,	1.44695,	0.428725,	0.0535906,	0.96463,	0.160772,	0.482315,	4.93033,	0.267953,	0.321543,	0,	0.214362,	0.267953,	0.267953,	0,	0.857449,	0.107181,	0,	0.91104,	0.267953,	0.0535906,	0.107181,	1.39335,	
AoAF,	0.308008,	19.9179,	7.28953,	3.02875,	1.43737,	1.54004,	0.462012,	2.20739,	0.0513347,	0.102669,	0.102669,	0.616016,	2.31006,	0.770021,	1.1807,	0.154004,	0.718686,	0.205339,	0.359343,	0.975359,	0.256674,	0.102669,	0.205339,	3.59343,	0.770021,	0.154004,	0.102669,	1.02669,	0.102669,	0.359343,	0.359343,	1.07803,	1.02669,	0.308008,	1.07803,	0.359343,	0.410678,	0.564682,	0.821355,	0.718686,	2.05339,	0.616016,	0.0513347,	0.975359,	0,	0,	0.410678,	2.05339,	0.564682,	2.46407,	1.02669,	0.154004,	0.667351,	1.1807,	1.23203,	0.667351,	0.205339,	0.667351,	0.924025,	0.87269,	0.102669,	0.821355,	0.359343,	0.410678,	0,	0.205339,	0.205339,	1.79671,	1.69405,	0.359343,	0.308008,	1.28337,	0.102669,	0.256674,	1.79671,	0.205339,	3.18275,	0.154004,	0.513347,	0.410678,	0.205339,	0.410678,	0.154004,	0.718686,	4.67146,	0.410678,	0.564682,	0,	0.154004,	0.154004,	0.359343,	0,	0.924025,	0.308008,	0.0513347,	1.07803,	0.410678,	0,	0.205339,	1.12936,	
CD20+,	0.227661,	28.2299,	4.15481,	1.93512,	1.4798,	0.910643,	0.227661,	0.967558,	0,	0,	0,	1.1383,	3.24417,	0.11383,	0.341491,	1.02447,	0.398406,	0.0569152,	0.398406,	0.626067,	0.227661,	0,	0,	3.69949,	0.682982,	0.11383,	0.227661,	0.455322,	0.11383,	0.455322,	0.398406,	0.853728,	0.853728,	1.25213,	0.967558,	0.512237,	0.569152,	0.739898,	0.512237,	1.36596,	0.967558,	0.341491,	0.0569152,	0.853728,	0,	0,	0.398406,	1.19522,	1.08139,	2.27661,	0.739898,	0.0569152,	0.455322,	1.02447,	0.455322,	0.853728,	0.0569152,	0.398406,	0.853728,	0.796813,	0.170746,	0.739898,	0.398406,	0.455322,	0,	0,	0.170746,	0.853728,	2.39044,	0.11383,	0.455322,	1.70746,	0,	0.455322,	2.33352,	0.227661,	2.10586,	0,	1.70746,	0.341491,	0.284576,	0.626067,	0.11383,	0.398406,	5.6346,	0.341491,	0.853728,	0.0569152,	0.11383,	0.227661,	0.11383,	0.0569152,	0.910643,	0.170746,	0,	0.796813,	0.170746,	0.0569152,	0.227661,	1.8782,	
GM06990,	0.491228,	35.9298,	1.33333,	2.17544,	1.54386,	0.210526,	0.210526,	0.350877,	0.701754,	0.210526,	0.210526,	1.26316,	1.89474,	0.140351,	0.491228,	1.19298,	0.77193,	0.210526,	0.210526,	0.140351,	1.19298,	0.350877,	0.491228,	0.421053,	0.491228,	0.491228,	0.280702,	0.280702,	0.350877,	0.280702,	0.280702,	0.421053,	0.631579,	1.12281,	0.350877,	0.421053,	0.280702,	2.17544,	0.561404,	2.24561,	0.982456,	0.280702,	0,	0.77193,	0.350877,	0.421053,	0.0701754,	0.0701754,	0.77193,	0.210526,	0,	0,	0.350877,	1.75439,	2.45614,	1.05263,	0.140351,	0.140351,	0.210526,	0.491228,	0.842105,	0.350877,	2.10526,	0.701754,	0.280702,	0.210526,	0.0701754,	0.842105,	1.75439,	0,	0.421053,	1.54386,	0.140351,	0.140351,	1.89474,	0.350877,	2.80702,	0.350877,	2.94737,	0,	0.982456,	0.140351,	0,	0.561404,	0.701754,	0.350877,	2.73684,	0,	0.842105,	0.140351,	0.0701754,	0.280702,	0,	0.421053,	0,	0,	0.140351,	0.140351,	0.350877,	1.05263,	
GM12865,	0.390843,	20.8822,	6.53266,	2.12172,	1.73088,	1.34003,	0.390843,	1.56337,	0.111669,	0,	0.0558347,	1.06086,	2.62423,	0.390843,	0.502513,	0.670017,	0.725851,	0.0558347,	0.167504,	0.670017,	0.279174,	0,	0.223339,	5.19263,	0.446678,	0,	0.223339,	1.06086,	0.223339,	0.223339,	0.223339,	0.725851,	0.893356,	0.837521,	1.11669,	0.446678,	0.446678,	1.00503,	0.446678,	1.17253,	0.390843,	0.725851,	0.167504,	1.17253,	0,	0,	0.614182,	3.40592,	1.39587,	2.23339,	0.781686,	0.111669,	0.725851,	0.781686,	0.781686,	1.00503,	0.223339,	0.614182,	0.670017,	1.50754,	0.167504,	0.670017,	0.446678,	0.279174,	0,	0.0558347,	0.167504,	1.67504,	2.62423,	0.167504,	0.223339,	1.50754,	0.167504,	0.502513,	1.89838,	0.111669,	2.40089,	0.111669,	1.22836,	0.279174,	0.335008,	0.446678,	0,	0.502513,	4.07593,	0.502513,	0.502513,	0,	0.167504,	0.111669,	0.446678,	0.0558347,	0.502513,	0.167504,	0.0558347,	1.4517,	0.0558347,	0,	0.167504,	1.2842,	
H7-hESC,	0.702703,	19.6216,	6.81081,	2.37838,	1.62162,	1.2973,	0.27027,	2.05405,	0.0540541,	0.378378,	0,	1.40541,	2.75676,	0.594595,	0.810811,	0.810811,	0.918919,	0.162162,	0.378378,	0.972973,	0.324324,	0.162162,	0.648649,	4.48649,	0.540541,	0.324324,	0.324324,	0.864865,	0.162162,	0.324324,	0.27027,	0.702703,	1.18919,	0.918919,	1.02703,	0.324324,	0.216216,	0.378378,	0.648649,	0.972973,	1.35135,	0.594595,	0,	1.24324,	0,	0.0540541,	0.432432,	2.37838,	0.810811,	2.10811,	0.540541,	0.0540541,	0.864865,	0.702703,	0.972973,	0.702703,	0,	0.972973,	0.594595,	1.24324,	0.162162,	0.432432,	0.378378,	0.540541,	0.0540541,	0.108108,	0.378378,	1.24324,	2.10811,	0.432432,	0.108108,	1.08108,	0.162162,	0.594595,	1.83784,	0.0540541,	3.24324,	0.162162,	0.756757,	0.378378,	0.108108,	0.486486,	0.162162,	0.594595,	3.78378,	0.648649,	0.378378,	0,	0.378378,	0.108108,	0.162162,	0,	0.864865,	0.432432,	0,	1.02703,	0.0540541,	0,	0.324324,	1.83784,	
HA-h,	0.25355,	19.2191,	4.96957,	1.87627,	0.963489,	1.57201,	0.405679,	1.5213,	0.10142,	0.20284,	0.10142,	1.47059,	2.33266,	0.659229,	0.709939,	0.507099,	1.0142,	0.20284,	0.456389,	0.760649,	0.456389,	0.25355,	0.20284,	3.90467,	0.811359,	0.20284,	0.10142,	0.35497,	0.507099,	0.608519,	0.608519,	1.21704,	1.11562,	0.659229,	0.709939,	0.10142,	0.35497,	0.760649,	0.456389,	0.963489,	1.72414,	0.456389,	0.20284,	1.21704,	0,	0.10142,	0.608519,	2.33266,	0.912779,	2.23124,	0.963489,	0,	1.47059,	1.26775,	1.11562,	0.709939,	0.20284,	0.608519,	1.06491,	1.36917,	0.10142,	0.811359,	0.30426,	0.557809,	0.0507099,	0.20284,	0.35497,	1.62272,	1.92698,	0.30426,	0.25355,	1.16633,	0.15213,	0.507099,	1.47059,	0.20284,	1.97769,	0.20284,	0.963489,	0.760649,	0.456389,	0.760649,	0.0507099,	0.659229,	6.08519,	0.30426,	0.709939,	0.20284,	0.405679,	0.35497,	0.15213,	0,	0.963489,	0.405679,	0.10142,	1.06491,	0.15213,	0.10142,	0,	0.963489,	
HAEpiC,	0.373932,	20.7799,	6.51709,	2.45726,	1.9765,	1.28205,	0.106838,	2.08333,	0.0534188,	0.160256,	0.106838,	0.747863,	2.02991,	0.42735,	1.12179,	0.42735,	1.60256,	0.160256,	0.267094,	1.01496,	0.42735,	0.373932,	0.0534188,	5.28846,	0.373932,	0.213675,	0.160256,	0.747863,	0,	0.480769,	0.213675,	0.480769,	0.854701,	0.801282,	0.854701,	0.534188,	0.373932,	0.480769,	0.694444,	1.22863,	1.60256,	0.801282,	0,	1.06838,	0.0534188,	0,	0.373932,	2.19017,	0.587607,	2.8312,	0.373932,	0.106838,	1.22863,	1.49573,	1.81624,	0.854701,	0.160256,	0.641026,	0.747863,	1.28205,	0.106838,	0.534188,	0.373932,	0.213675,	0,	0.0534188,	0.213675,	1.86966,	1.33547,	0.213675,	0.373932,	1.44231,	0.160256,	0.42735,	1.81624,	0.267094,	2.29701,	0,	0.42735,	0.854701,	0.106838,	0.267094,	0.213675,	0.694444,	4.59402,	0.267094,	0.694444,	0,	0.106838,	0,	0.0534188,	0,	0.801282,	0.267094,	0.106838,	0.90812,	0.213675,	0.106838,	0.213675,	0.854701,	
HCF,	0.371945,	20.5101,	6.16366,	2.92242,	1.00956,	1.80659,	0.31881,	1.54091,	0,	0.053135,	0,	0.850159,	2.1254,	0.53135,	1.11583,	0.53135,	0.74389,	0.21254,	0.371945,	1.16897,	0.21254,	0.265675,	0.21254,	4.88842,	0.63762,	0.10627,	0.159405,	1.00956,	0.265675,	0.478215,	0.42508,	0.797024,	0.63762,	0.63762,	0.850159,	0.478215,	0.74389,	0.53135,	0.797024,	0.956429,	1.2221,	0.850159,	0.371945,	1.32837,	0,	0,	0.74389,	2.23167,	0.690755,	2.17853,	0.690755,	0.10627,	0.74389,	0.956429,	1.2221,	0.42508,	0.21254,	0.584485,	0.903294,	1.00956,	0.159405,	0.63762,	0.21254,	0.265675,	0,	0.265675,	0.159405,	1.16897,	2.23167,	0.42508,	0.265675,	1.43464,	0.21254,	0.21254,	2.1254,	0.265675,	2.07226,	0.10627,	0.63762,	0.478215,	0.21254,	0.850159,	0.053135,	0.584485,	6.11052,	0.31881,	0.478215,	0.053135,	0.21254,	0.371945,	0.31881,	0.053135,	0.690755,	0.42508,	0,	0.797024,	0.10627,	0,	0.053135,	1.0627,	
HCM,	0.592353,	18.9553,	6.73129,	1.88476,	0.915455,	2.15401,	0.430802,	1.99246,	0.0538503,	0.107701,	0.161551,	0.592353,	1.88476,	0.107701,	0.915455,	0.430802,	0.753904,	0.161551,	0.269251,	0.807754,	0.215401,	0.323102,	0.323102,	5.60043,	0.538503,	0.215401,	0.107701,	0.861605,	0.323102,	0.484653,	0.269251,	0.269251,	1.13086,	1.23856,	0.969305,	0.538503,	0.538503,	0.646204,	0.538503,	1.13086,	1.61551,	0.592353,	0.107701,	1.13086,	0,	0,	0.861605,	3.39257,	0.753904,	2.53096,	0.753904,	0.161551,	1.07701,	0.861605,	1.23856,	0.646204,	0.215401,	0.753904,	0.969305,	1.61551,	0.215401,	0.376952,	0.269251,	0.323102,	0,	0.0538503,	0.376952,	0.861605,	1.88476,	0.215401,	0.215401,	1.34626,	0.430802,	0.269251,	1.66936,	0.107701,	2.04631,	0.0538503,	0.753904,	0.807754,	0.215401,	0.538503,	0,	0.430802,	5.76198,	0.161551,	0.807754,	0,	0.107701,	0.0538503,	0.215401,	0.0538503,	0.969305,	0.269251,	0,	1.13086,	0.107701,	0,	0.0538503,	1.40011,	
