cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0939739,	29.3199,	1.72677,	1.75026,	1.89123,	0.61083,	0.211441,	1.38612,	0.152708,	0.775285,	0.258428,	0.974979,	0.552097,	0.963233,	0.822272,	0.481616,	1.56232,	0.599084,	0.375896,	0.458123,	0.587337,	0.422883,	0.516857,	0.775285,	0.317162,	0.599084,	0.657817,	0.270175,	0.211441,	0.223188,	0.622577,	1.48009,	0.223188,	2.20839,	0.375896,	0.305415,	0.974979,	0.587337,	1.35088,	1.18642,	1.38612,	0.493363,	0.117467,	0.927992,	0.129214,	0.281922,	0.187948,	0.129214,	0.516857,	0.834019,	0.0939739,	0.258428,	0.364149,	3.38306,	2.14965,	1.44485,	0.0587337,	0.328909,	0.164454,	0.434629,	0.622577,	1.2569,	0.881006,	0.187948,	0.117467,	0.763538,	0.129214,	1.76201,	0.798778,	0.270175,	0.810525,	1.50358,	0.258428,	0.375896,	1.37437,	0.54035,	1.0807,	0.211441,	1.50358,	0.50511,	1.58581,	0.352402,	0.211441,	0.411136,	3.13638,	0.810525,	1.91472,	0.0352402,	0.892752,	0.246682,	0.0234935,	0.187948,	0.0939739,	0.305415,	0.0704804,	0.281922,	0.810525,	0.246682,	0.176201,	0.704804,	
AoAF,	0.0818713,	27.9298,	1.64912,	1.87135,	2.14035,	0.900585,	0.187135,	1.46199,	0.210526,	0.783626,	0.269006,	1.33333,	0.608187,	1.25146,	0.877193,	0.690058,	1.49708,	0.491228,	0.222222,	0.549708,	0.608187,	0.350877,	0.421053,	0.678363,	0.245614,	0.538012,	0.608187,	0.210526,	0.128655,	0.222222,	0.538012,	1.52047,	0.233918,	2.25731,	0.280702,	0.187135,	1.39181,	0.374269,	1.33333,	1.07602,	1.73099,	0.479532,	0.152047,	1.00585,	0.105263,	0.245614,	0.128655,	0.0701754,	0.538012,	0.701754,	0.0467836,	0.0935673,	0.327485,	3.9883,	2.24561,	1.67251,	0.0467836,	0.421053,	0.210526,	0.608187,	0.608187,	1.57895,	0.947368,	0.245614,	0.152047,	0.935673,	0.140351,	1.73099,	0.666667,	0.222222,	1.01754,	1.4386,	0.19883,	0.350877,	1.47368,	0.374269,	1.02924,	0.339181,	1.25146,	0.292398,	1.32164,	0.432749,	0.175439,	0.538012,	3.16959,	0.549708,	2.50292,	0.0701754,	0.631579,	0.19883,	0.0233918,	0.0935673,	0.0818713,	0.280702,	0.128655,	0.187135,	0.643275,	0.19883,	0.152047,	0.596491,	
CD20+,	0.137583,	30.0504,	1.41023,	1.71979,	1.27264,	0.722311,	0.206375,	1.30704,	0.149048,	0.733777,	0.252236,	0.882825,	1.03187,	1.02041,	1.00894,	0.550332,	1.10066,	0.733777,	0.183444,	0.515937,	0.596194,	0.493006,	0.561798,	0.687916,	0.343958,	0.710846,	0.596194,	0.298097,	0.263701,	0.298097,	0.596194,	1.60514,	0.298097,	1.92616,	0.493006,	0.43568,	0.951617,	0.584728,	1.30704,	1.06627,	1.78858,	0.527402,	0.0917221,	1.02041,	0.171979,	0.401284,	0.21784,	0.206375,	0.447145,	0.573263,	0.126118,	0.137583,	0.389819,	2.71727,	2.4421,	1.58221,	0.0687916,	0.286631,	0.355423,	0.45861,	0.687916,	1.3873,	0.733777,	0.332493,	0.114653,	1.14653,	0.149048,	1.74272,	0.779638,	0.183444,	0.45861,	1.20385,	0.401284,	0.286631,	1.53634,	0.401284,	1.60514,	0.252236,	1.03187,	0.275166,	1.04334,	0.286631,	0.194909,	0.630589,	2.85485,	0.515937,	2.10961,	0.0343958,	0.699381,	0.21784,	0.0573263,	0.309562,	0.206375,	0.378354,	0.045861,	0.343958,	0.89429,	0.21784,	0.343958,	0.791103,	
GM06990,	0.130984,	33.4365,	1.54799,	1.44082,	1.82186,	0.333413,	0.738271,	0.845439,	0.273875,	0.059538,	0.464396,	1.30984,	1.16694,	0.261967,	1.59562,	0.535842,	0.381043,	0.29769,	1.07168,	0.202429,	1.20267,	0.952608,	0.25006,	0.738271,	0.0952608,	0.369135,	0.666825,	0.285782,	0.261967,	0.273875,	0.797809,	1.34556,	0.273875,	0.928793,	0.416766,	0.381043,	0.881162,	1.78614,	0.309598,	0.226244,	1.16694,	1.23839,	0.381043,	0.416766,	0.0952608,	0.142891,	0.190522,	0.309598,	0.89307,	1.13122,	0.261967,	0.166706,	1.00024,	2.38152,	2.65539,	2.3458,	0.285782,	0.416766,	0.107168,	0.881162,	0.166706,	0.964515,	0.202429,	0.714456,	0.130984,	0.392951,	0.0476304,	0.654918,	1.05978,	0.0476304,	0.238152,	1.95285,	0.0952608,	0.34532,	2.21481,	1.84568,	0.690641,	0.0833532,	1.35747,	0.381043,	0.714456,	0.34532,	0.0119076,	1.21457,	1.14313,	1.23839,	1.27411,	0.369135,	0.452489,	0.571565,	0.119076,	0.0833532,	0.333413,	0.226244,	0.142891,	0.0238152,	0.130984,	0.0952608,	0.261967,	0.833532,	
GM12865,	0.0801741,	29.1719,	1.77528,	1.38587,	1.72947,	0.6643,	0.206162,	1.38587,	0.125988,	0.836101,	0.355057,	0.939182,	0.73302,	1.11098,	0.710113,	0.469591,	1.60348,	0.538312,	0.240522,	0.561219,	0.69866,	0.355057,	0.492498,	0.69866,	0.206162,	0.526858,	0.652846,	0.229069,	0.148895,	0.171802,	0.549765,	1.69511,	0.206162,	2.62284,	0.458138,	0.183255,	1.46604,	0.458138,	1.37441,	1.39732,	1.45459,	0.36651,	0.0916275,	1.03081,	0.0916275,	0.263429,	0.286336,	0.114534,	0.458138,	0.629939,	0.137441,	0.114534,	0.320696,	3.42458,	2.07307,	1.75238,	0.0687207,	0.36651,	0.125988,	0.389417,	0.538312,	1.6722,	0.69866,	0.355057,	0.0801741,	1.03081,	0.103081,	1.85546,	0.481045,	0.183255,	0.69866,	1.59203,	0.343603,	0.309243,	1.53476,	0.389417,	1.31715,	0.240522,	1.1797,	0.33215,	1.3286,	0.377964,	0.194709,	0.561219,	3.18406,	0.6643,	2.11889,	0.0687207,	0.767381,	0.183255,	0.0687207,	0.171802,	0.0458138,	0.355057,	0.114534,	0.148895,	0.69866,	0.355057,	0.263429,	0.618486,	
H7-hESC,	0.0689497,	27.4764,	1.88462,	1.7812,	2.01103,	0.884854,	0.172374,	1.49391,	0.137899,	0.815904,	0.35624,	1.12618,	0.666513,	0.953804,	0.953804,	0.597564,	1.71225,	0.609055,	0.28729,	0.574581,	0.71248,	0.241324,	0.563089,	0.620547,	0.367732,	0.563089,	0.655022,	0.310273,	0.137899,	0.137899,	0.71248,	1.56286,	0.229832,	2.03402,	0.321765,	0.195357,	1.27557,	0.298782,	1.2296,	1.14916,	1.52838,	0.471156,	0.149391,	1.01126,	0.0689497,	0.28729,	0.172374,	0.149391,	0.597564,	0.597564,	0.0919329,	0.103425,	0.241324,	4.44725,	2.11446,	1.7812,	0.0689497,	0.42519,	0.126408,	0.574581,	0.494139,	1.45943,	0.896346,	0.183866,	0.103425,	1.04574,	0.0344748,	1.99954,	0.551597,	0.218341,	0.907837,	1.5054,	0.310273,	0.310273,	1.44794,	0.448173,	1.0917,	0.379223,	0.861871,	0.321765,	1.31004,	0.344748,	0.172374,	0.850379,	3.47047,	0.609055,	2.07998,	0.0344748,	0.689497,	0.241324,	0.0574581,	0.103425,	0.0804413,	0.310273,	0.149391,	0.298782,	0.655022,	0.183866,	0.137899,	0.758446,	
HA-h,	0.212528,	24.3289,	1.46532,	2.10291,	1.28635,	0.659955,	0.313199,	1.65548,	0.324385,	1.12975,	0.391499,	0.894855,	0.715884,	1.24161,	1.0179,	0.436242,	1.52125,	1.06264,	0.234899,	0.581655,	0.760626,	0.436242,	0.727069,	0.536913,	0.447427,	0.581655,	0.727069,	0.33557,	0.268456,	0.246085,	0.883669,	1.54362,	0.369128,	1.84564,	0.380313,	0.436242,	0.961969,	0.402685,	1.54362,	1.0962,	1.45414,	0.514541,	0.1566,	1.24161,	0.246085,	0.536913,	0.425056,	0.1566,	0.536913,	0.760626,	0.346756,	0.201342,	0.480984,	2.93065,	2.56152,	1.63311,	0.0894855,	0.268456,	0.357942,	0.324385,	0.850112,	1.73378,	1.20805,	0.503356,	0.134228,	1.15213,	0.223714,	1.53244,	0.615213,	0.257271,	0.671141,	0.917226,	0.447427,	0.313199,	0.90604,	0.894855,	1.28635,	0.503356,	0.883669,	0.324385,	1.27517,	0.313199,	0.234899,	0.738255,	3.41163,	0.41387,	1.93512,	0.0894855,	0.659955,	0.268456,	0.134228,	0.33557,	0.0894855,	0.447427,	0.033557,	0.33557,	1.15213,	0.369128,	0.268456,	0.805369,	
HAEpiC,	0.106787,	28.3579,	1.89843,	1.45942,	2.1832,	0.830565,	0.249169,	1.04414,	0.106787,	0.830565,	0.379687,	1.51875,	0.771239,	0.937352,	0.961082,	0.498339,	1.86284,	0.355956,	0.201709,	0.735643,	0.84243,	0.320361,	0.664452,	0.878026,	0.154248,	0.5458,	0.688182,	0.367822,	0.225439,	0.237304,	0.498339,	1.28144,	0.308495,	2.17133,	0.498339,	0.284765,	0.925486,	0.533934,	1.49502,	1.41196,	1.26958,	0.29663,	0.189843,	1.15093,	0.106787,	0.201709,	0.166113,	0.0830565,	0.593261,	0.889891,	0.118652,	0.154248,	0.261035,	4.23588,	1.61367,	1.49502,	0.106787,	0.320361,	0.201709,	0.723778,	0.237304,	1.48315,	0.949217,	0.308495,	0.0830565,	0.84243,	0.0593261,	1.77978,	0.628856,	0.177978,	0.84243,	1.40009,	0.154248,	0.427148,	1.26958,	0.439013,	1.10346,	0.29663,	1.10346,	0.439013,	1.3289,	0.700047,	0.249169,	0.723778,	2.50356,	0.711913,	1.85097,	0.0949217,	0.711913,	0.237304,	0.0118652,	0.118652,	0.118652,	0.308495,	0.0593261,	0.166113,	0.688182,	0.249169,	0.29663,	1.04414,	
HCF,	0.103199,	28.139,	1.71999,	1.69705,	1.61679,	0.630662,	0.183465,	1.59385,	0.229332,	0.733861,	0.343997,	1.05492,	0.756794,	1.04346,	0.997592,	0.504529,	1.73145,	0.687994,	0.252265,	0.665061,	0.642128,	0.40133,	0.676528,	0.607728,	0.206398,	0.573329,	0.676528,	0.263731,	0.183465,	0.160532,	0.607728,	1.45625,	0.149065,	2.28185,	0.321064,	0.229332,	1.00906,	0.40133,	1.21546,	1.49065,	1.69705,	0.355464,	0.103199,	1.23839,	0.114666,	0.447196,	0.229332,	0.183465,	0.550396,	0.642128,	0.080266,	0.183465,	0.240798,	3.89864,	2.23598,	1.78879,	0.080266,	0.298131,	0.217865,	0.504529,	0.573329,	1.67412,	0.745327,	0.309598,	0.137599,	0.665061,	0.103199,	1.92638,	0.538929,	0.252265,	0.687994,	1.39892,	0.355464,	0.298131,	1.30719,	0.493063,	0.997592,	0.252265,	0.951726,	0.355464,	1.30719,	0.309598,	0.149065,	0.584795,	3.40557,	0.653595,	2.01812,	0.0687994,	0.642128,	0.137599,	0.0229331,	0.206398,	0.0573329,	0.36693,	0.194932,	0.40133,	0.894393,	0.252265,	0.263731,	0.710928,	
HCM,	0.149031,	29.6802,	1.65081,	1.59349,	1.66227,	0.722229,	0.217815,	1.53617,	0.160495,	0.848332,	0.43563,	1.05468,	0.573197,	1.22664,	0.92858,	0.49295,	1.6852,	0.607589,	0.240743,	0.745157,	0.527342,	0.298063,	0.43563,	0.664909,	0.263671,	0.641981,	0.653445,	0.206351,	0.171959,	0.171959,	0.710765,	1.5247,	0.194887,	1.8113,	0.298063,	0.275135,	1.18079,	0.286599,	1.50178,	1.2725,	1.45592,	0.389774,	0.137567,	1.30689,	0.137567,	0.298063,	0.263671,	0.194887,	0.366846,	0.641981,	0.114639,	0.126103,	0.309527,	4.21873,	2.31572,	1.45592,	0.103176,	0.286599,	0.0917116,	0.515878,	0.458558,	1.74252,	0.962971,	0.32099,	0.103176,	0.940044,	0.0802476,	1.57056,	0.573197,	0.229279,	0.791012,	1.22664,	0.309527,	0.309527,	1.14639,	0.43563,	1.06615,	0.309527,	1.03176,	0.252207,	1.41007,	0.401238,	0.194887,	0.676373,	3.06087,	0.401238,	1.9718,	0.0687837,	0.573197,	0.229279,	0.0458558,	0.160495,	0.0687837,	0.343918,	0.137567,	0.343918,	1.03176,	0.160495,	0.206351,	0.619053,	
