cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.545344,	16.4815,	3.04989,	1.83801,	1.53504,	0.0807918,	0.343365,	0.605938,	0.424157,	0.504948,	0.121188,	1.53504,	3.41345,	0.282771,	0.868511,	0.868511,	0.424157,	0.201979,	0.282771,	1.63603,	0.302969,	0.343365,	0.767522,	1.77742,	1.03009,	0.0807918,	0.525146,	1.37346,	0.868511,	0.989699,	0.222177,	0.383761,	1.17148,	2.01979,	1.25227,	0.222177,	0.403959,	0.626136,	0.504948,	1.89861,	0.626136,	0.78772,	0.0807918,	0.706928,	0.0807918,	0.302969,	0.262573,	0.424157,	0.989699,	0.383761,	0.0403959,	0.666532,	0.424157,	1.41386,	0.949303,	0.969501,	0.282771,	0.807918,	0.383761,	0.424157,	1.05029,	0.666532,	0.282771,	0.323167,	0.0201979,	0.828116,	0.262573,	1.43405,	0.68673,	0.444355,	0.646334,	1.67643,	0.0201979,	0.727126,	4.12038,	0.161584,	3.15088,	0.0201979,	5.65542,	0.343365,	0.848314,	1.05029,	0.10099,	0.383761,	0.848314,	0.747324,	0.58574,	0.10099,	0.262573,	0.424157,	0.0403959,	0.181781,	4.48394,	1.9996,	0.141386,	0.201979,	0.121188,	0.424157,	0.302969,	1.41386,	
AoAF,	0.74474,	12.1765,	3.89127,	1.93632,	1.41501,	0.37237,	0.484081,	0.930925,	0.446844,	0.651648,	0.279278,	1.34053,	4.07745,	0.577174,	0.558555,	0.912307,	0.37237,	0.167567,	0.353752,	2.17837,	0.297896,	0.223422,	0.87507,	1.99218,	0.688885,	0.111711,	0.335133,	1.52672,	1.09849,	1.13573,	0.13033,	0.37237,	1.17297,	1.99218,	1.17297,	0.279278,	0.390989,	0.968162,	0.539937,	1.84323,	0.688885,	0.912307,	0.0558555,	0.446844,	0.0930925,	0.260659,	0.465463,	0.279278,	0.912307,	0.409607,	0.0186185,	0.558555,	0.353752,	0.912307,	1.26606,	0.912307,	0.297896,	0.651648,	0.353752,	0.353752,	1.41501,	0.688885,	0.223422,	0.614411,	0.037237,	0.670266,	0.167567,	1.5081,	0.595792,	0.353752,	0.595792,	1.43362,	0.037237,	0.763359,	4.50568,	0.148948,	3.05344,	0.0558555,	6.55371,	0.186185,	0.800596,	0.912307,	0.167567,	0.37237,	1.02402,	0.428226,	0.577174,	0.0558555,	0.558555,	0.390989,	0,	0.242041,	5.17594,	2.42041,	0.037237,	0.260659,	0.242041,	0.204804,	0.223422,	1.07987,	
CD20+,	0.291474,	23.8766,	2.52611,	0.923002,	2.89045,	0.218606,	0.291474,	0.51008,	0.340053,	0.121448,	0.170027,	2.04032,	4.76075,	0.315764,	0.582949,	1.57882,	0.242895,	0.145737,	0.218606,	0.777265,	0.218606,	0.194316,	0.340053,	2.64756,	0.631528,	0.0242895,	0.340053,	0.971581,	0.364343,	0.582949,	0.0971581,	0.170027,	0.728686,	3.06048,	1.1659,	0.194316,	0.461501,	1.89458,	0.388633,	2.23464,	0.291474,	0.364343,	0.121448,	0.194316,	0.0242895,	0.218606,	0.145737,	0.170027,	2.04032,	0.315764,	0.0485791,	0.194316,	0.315764,	1.14161,	0.631528,	0.728686,	0.170027,	0.388633,	0.0485791,	0.437212,	0.777265,	0.752975,	0.242895,	0.51008,	0,	0.582949,	0.194316,	1.67598,	1.36021,	0.315764,	0.364343,	2.62327,	0,	0.485791,	4.42069,	0.0971581,	3.37624,	0.0242895,	4.85791,	0.121448,	0.53437,	0.53437,	0.0485791,	0.170027,	0.437212,	1.02016,	0.825844,	0.0971581,	0.340053,	0.121448,	0.0728686,	0.145737,	1.48166,	0.825844,	0.0728686,	0.0728686,	0.145737,	0.218606,	0.194316,	2.33179,	
GM06990,	0.512,	27.008,	1.888,	0.8,	2.784,	0.576,	0.16,	0.416,	0.192,	0.096,	0.192,	1.472,	1.952,	0.672,	0.096,	1.536,	0.096,	0.032,	0.672,	0.48,	0.352,	0.128,	0.512,	4.48,	0.128,	0.096,	0.064,	0.704,	0.16,	0.16,	0.128,	0.576,	0.288,	2.496,	1.184,	0.512,	0.256,	4.832,	0.192,	2.144,	0.096,	0.544,	0.032,	0.224,	0.064,	0.064,	0.192,	0.064,	2.048,	0.384,	0.16,	0.064,	0.096,	0.704,	0.736,	0.576,	0.192,	0.096,	0,	0.192,	0.896,	0.256,	0.448,	1.024,	0.128,	0.256,	0.032,	0.896,	4.576,	0.256,	0.192,	2.464,	0.128,	0.448,	3.968,	0.352,	5.664,	0.032,	2.784,	0.064,	0.224,	0.096,	0.032,	0.064,	0.352,	0.64,	0.864,	0.032,	0.384,	0.096,	0.064,	0.096,	0.704,	0.768,	0.128,	0.032,	0.032,	0.064,	1.024,	1.888,	
GM12865,	0.365047,	23.4771,	3.05727,	1.09514,	2.19028,	0.205339,	0.342231,	0.365047,	0.296601,	0.205339,	0.114077,	1.84805,	3.92425,	0.136893,	0.638832,	1.36893,	0.205339,	0.0456308,	0.205339,	1.27766,	0.114077,	0.387862,	0.342231,	2.32717,	0.661647,	0.0912617,	0.228154,	0.912617,	0.616016,	0.775724,	0.0912617,	0.387862,	0.821355,	2.53251,	1.02669,	0.159708,	0.638832,	1.43737,	0.479124,	2.32717,	0.433493,	0.479124,	0.0228154,	0.365047,	0.0684463,	0.136893,	0.296601,	0.273785,	1.43737,	0.228154,	0.0456308,	0.296601,	0.296601,	1.34611,	0.79854,	0.79854,	0.0912617,	0.501939,	0.0684463,	0.387862,	1.00388,	0.479124,	0.228154,	0.456308,	0.0456308,	0.570386,	0.136893,	0.981063,	1.14077,	0.159708,	0.433493,	2.44125,	0.0684463,	0.684463,	4.51745,	0.159708,	3.33105,	0.0456308,	5.56696,	0.136893,	0.707278,	0.889802,	0.0456308,	0.228154,	0.342231,	0.958248,	0.707278,	0,	0.365047,	0.205339,	0,	0.0684463,	2.23591,	1.43737,	0.0912617,	0.136893,	0.182523,	0.228154,	0.433493,	2.05339,	
H7-hESC,	0.751049,	20.1016,	3.35763,	2.01016,	1.81135,	0.265076,	0.331345,	0.441794,	0.265076,	0.242987,	0.198807,	1.21493,	4.21913,	0.154628,	0.508063,	0.949856,	0.331345,	0.110448,	0.220897,	1.78926,	0.198807,	0.154628,	0.751049,	2.12061,	1.03822,	0.0883587,	0.176717,	1.43583,	0.530152,	0.68478,	0.110448,	0.353435,	0.861498,	2.93793,	1.12657,	0.198807,	0.220897,	1.59046,	0.618511,	2.5624,	0.309256,	0.640601,	0.0441794,	0.375525,	0.0220897,	0.176717,	0.220897,	0.265076,	1.10448,	0.353435,	0.0883587,	0.309256,	0.375525,	0.927767,	0.883587,	0.883587,	0.198807,	0.397614,	0.198807,	0.309256,	1.23702,	0.618511,	0.265076,	0.419704,	0,	0.552242,	0.154628,	1.34747,	1.03822,	0.176717,	0.375525,	1.70091,	0.0441794,	0.70687,	4.30749,	0.0883587,	2.93793,	0.0441794,	6.22929,	0.220897,	0.596421,	0.70687,	0.0441794,	0.287166,	0.552242,	0.70687,	0.508063,	0,	0.331345,	0.198807,	0.0220897,	0.0883587,	3.95405,	1.85553,	0.132538,	0.154628,	0.176717,	0.220897,	0.353435,	1.52419,	
HA-h,	0.61032,	11.966,	3.23655,	1.59053,	1.55354,	0.425375,	0.517847,	0.776771,	0.61032,	0.277418,	0.425375,	1.683,	3.51396,	0.480858,	0.869244,	0.665804,	0.684298,	0.332902,	0.628815,	1.44257,	0.258924,	0.480858,	0.443869,	1.47956,	1.92343,	0.314407,	0.591825,	1.38709,	1.09118,	0.869244,	0.0924727,	0.369891,	0.998705,	2.07139,	0.739782,	0.295913,	0.61032,	0.869244,	0.81376,	1.71999,	0.628815,	1.18365,	0.110967,	0.628815,	0.110967,	0.425375,	0.462364,	0.536342,	1.3686,	0.351396,	0.0554836,	0.554836,	0.739782,	1.7015,	0.850749,	1.23913,	0.314407,	0.702793,	0.332902,	0.499353,	1.20215,	1.12817,	0.351396,	0.758276,	0.0184945,	0.850749,	0.443869,	1.683,	0.702793,	0.499353,	0.554836,	1.60903,	0.0739782,	0.739782,	3.45848,	0.184945,	2.16386,	0.110967,	4.71611,	0.221935,	1.0172,	0.776771,	0.0369891,	0.665804,	1.10967,	0.721287,	0.998705,	0.221935,	0.61032,	0.388385,	0.129462,	0.332902,	4.23525,	1.38709,	0.184945,	0.295913,	0.40688,	0.647309,	0.425375,	1.42408,	
HAEpiC,	0.665591,	14.7237,	2.9044,	2.1783,	1.10932,	0.282372,	0.383219,	0.847116,	0.282372,	0.544574,	0.221864,	1.41186,	4.17507,	0.403388,	0.68576,	0.806777,	0.544574,	0.302541,	0.322711,	2.19847,	0.221864,	0.221864,	0.746269,	2.03711,	0.907624,	0.100847,	0.423558,	1.53288,	0.645422,	1.06898,	0.221864,	0.322711,	0.907624,	2.01694,	1.16983,	0.121017,	0.302541,	1.04881,	0.70593,	2.13796,	0.665591,	0.70593,	0,	0.504236,	0.121017,	0.181525,	0.181525,	0.322711,	0.665591,	0.463897,	0.0403388,	0.625252,	0.403388,	1.35135,	1.06898,	1.06898,	0.201694,	0.584913,	0.383219,	0.302541,	1.47237,	0.605083,	0.282372,	0.262203,	0.0201694,	0.766438,	0.221864,	1.33118,	0.847116,	0.463897,	0.443727,	1.63372,	0.0201694,	0.605083,	3.91287,	0.121017,	3.81202,	0,	5.97015,	0.141186,	0.766438,	1.2505,	0.121017,	0.322711,	0.907624,	0.484066,	0.403388,	0.141186,	0.403388,	0.302541,	0.0806777,	0.161355,	4.73981,	2.15813,	0.100847,	0.242033,	0.302541,	0.423558,	0.282372,	1.77491,	
HCF,	0.335902,	15.3527,	3.22071,	1.83758,	1.8771,	0.37542,	0.454456,	0.810117,	0.573009,	0.573009,	0.335902,	1.46216,	4.26793,	0.37542,	0.592768,	0.869393,	0.434697,	0.237107,	0.355661,	1.73879,	0.316143,	0.414938,	0.790358,	2.13397,	0.92867,	0.138313,	0.454456,	1.30409,	0.75084,	1.32385,	0.17783,	0.17783,	0.869393,	1.8771,	0.75084,	0.197589,	0.355661,	0.829876,	0.790358,	2.5489,	0.513732,	0.671804,	0.0987947,	0.612527,	0.0790358,	0.335902,	0.256866,	0.316143,	1.02746,	0.395179,	0.0987947,	0.632286,	0.454456,	0.908911,	1.28433,	1.08674,	0.17783,	0.790358,	0.17783,	0.434697,	1.32385,	0.612527,	0.414938,	0.37542,	0.0790358,	0.573009,	0.296384,	1.24481,	0.414938,	0.414938,	0.513732,	1.62023,	0.0790358,	0.849635,	4.07034,	0.217348,	2.78601,	0.0790358,	5.71033,	0.217348,	0.810117,	1.16578,	0.158072,	0.454456,	0.691563,	0.671804,	0.731081,	0,	0.513732,	0.37542,	0.0790358,	0.256866,	4.16914,	1.99565,	0.0197589,	0.197589,	0.197589,	0.474215,	0.17783,	1.40288,	
HCM,	0.640512,	15.2322,	3.08247,	2.06165,	1.48118,	0.5004,	0.420336,	0.620496,	0.360288,	0.480384,	0.360288,	1.44115,	3.72298,	0.440352,	0.880705,	1.06085,	0.580464,	0.280224,	0.240192,	1.96157,	0.180144,	0.280224,	0.940753,	1.6213,	1.30104,	0.180144,	0.440352,	1.54123,	0.840673,	1.02082,	0.060048,	0.180144,	0.920737,	1.92154,	0.880705,	0.160128,	0.260208,	0.800641,	0.460368,	2.14171,	0.560448,	0.740592,	0.120096,	0.560448,	0.0800641,	0.30024,	0.380304,	0.480384,	0.880705,	0.30024,	0.10008,	0.540432,	0.440352,	1.1209,	0.880705,	0.840673,	0.240192,	0.760608,	0.180144,	0.30024,	1.20096,	0.920737,	0.440352,	0.40032,	0,	0.720576,	0.30024,	1.24099,	0.70056,	0.360288,	0.580464,	1.48118,	0.040032,	0.640512,	3.78303,	0.180144,	3.24259,	0.0800641,	5.84468,	0.180144,	1.0008,	0.980785,	0.140112,	0.5004,	0.880705,	0.560448,	0.580464,	0.10008,	0.480384,	0.420336,	0.020016,	0.140112,	4.80384,	2.48199,	0.180144,	0.240192,	0.160128,	0.420336,	0.440352,	1.34107,	
