cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.346913,	20.3789,	1.96139,	1.91692,	2.21936,	0.791674,	0.271304,	0.591532,	0.400285,	0.609322,	0.302437,	1.47216,	2.99324,	0.262409,	1.42323,	1.04519,	1.19196,	0.422523,	0.524818,	0.609322,	0.698274,	0.42697,	1.27202,	0.974026,	0.311332,	0.333571,	0.547056,	0.369151,	0.364704,	0.604875,	0.805017,	0.974026,	0.787226,	1.4855,	0.529265,	0.640455,	0.933998,	1.2142,	1.50774,	2.18377,	0.81836,	0.760541,	0.244618,	0.63156,	0.209038,	0.271304,	0.284647,	0.128981,	1.17862,	0.449208,	0.262409,	0.155666,	0.587084,	2.56182,	1.77904,	1.23643,	0.133428,	0.689379,	0.320228,	0.627113,	0.564846,	1.62782,	0.907312,	0.845045,	0.40918,	0.658246,	0.120085,	1.61448,	1.30315,	0.61377,	0.453656,	1.54332,	0.209038,	0.466999,	1.401,	0.640455,	3.13112,	0.333571,	1.37431,	0.249066,	0.542608,	0.369151,	0.164561,	0.969578,	1.15193,	1.02295,	1.09856,	0.0800569,	0.524818,	0.471446,	0.0622665,	0.266856,	0.391389,	1.1119,	0.0711617,	0.422523,	0.693827,	0.213485,	0.933998,	0.942893,	
AoAF,	0.181747,	21.4938,	2.07279,	2.37137,	1.97758,	0.592843,	0.337531,	0.59717,	0.259639,	0.575533,	0.281276,	1.29387,	2.98152,	0.363495,	1.75256,	1.01259,	1.17703,	0.411095,	0.627461,	0.454368,	1.04721,	0.458696,	0.969319,	0.882773,	0.246657,	0.389459,	0.488987,	0.302912,	0.350513,	0.558224,	0.735644,	1.43667,	0.683716,	1.41503,	0.463023,	0.718335,	1.11212,	1.06019,	1.61409,	1.33714,	0.977974,	0.752953,	0.186075,	0.82219,	0.151456,	0.186075,	0.263966,	0.203384,	1.16405,	0.579861,	0.263966,	0.095201,	0.714008,	2.52715,	2.28482,	1.38907,	0.147129,	0.778917,	0.285603,	0.640443,	0.506296,	1.28089,	0.796227,	0.666407,	0.363495,	0.752953,	0.125492,	1.27656,	1.43234,	0.389459,	0.536587,	1.46263,	0.333204,	0.341858,	1.49292,	0.653425,	2.59639,	0.207711,	1.1727,	0.238003,	0.722662,	0.255312,	0.12982,	1.2679,	1.71362,	1.09914,	1.28521,	0.0908737,	0.679389,	0.540915,	0.0778917,	0.212039,	0.302912,	0.688044,	0.095201,	0.450041,	0.558224,	0.134147,	0.618807,	0.95201,	
CD20+,	0.45792,	20.9665,	2.134,	1.55604,	2.2896,	0.889166,	0.3201,	0.72467,	0.35122,	0.342329,	0.288979,	1.46268,	2.86756,	0.417908,	1.26706,	0.942515,	0.826924,	0.449029,	0.640199,	0.662428,	0.764682,	0.333437,	0.844707,	0.911395,	0.324545,	0.271195,	0.555728,	0.422354,	0.400124,	0.45792,	0.844707,	1.21816,	0.77802,	1.71164,	0.604633,	0.569066,	0.960299,	1.50714,	1.1159,	1.95616,	0.711332,	0.818032,	0.226737,	0.551283,	0.177833,	0.231183,	0.355666,	0.204508,	1.25817,	0.462366,	0.248966,	0.16005,	0.595741,	2.39186,	1.33375,	1.44045,	0.2134,	0.506824,	0.360112,	0.622416,	0.555728,	1.65829,	0.791357,	0.875828,	0.391233,	0.586849,	0.168941,	1.50714,	1.72943,	0.56462,	0.40457,	1.70275,	0.208954,	0.346775,	2.03619,	0.520162,	2.84088,	0.346775,	1.95616,	0.275641,	0.649091,	0.413462,	0.0933624,	0.706887,	1.20482,	1.14258,	1.07144,	0.0889165,	0.417908,	0.346775,	0.0622416,	0.26675,	0.444583,	0.77802,	0.0933624,	0.369004,	0.644645,	0.302316,	0.978082,	1.17814,	
GM06990,	0.26067,	25.1981,	2.96448,	1.21646,	2.09558,	0.715563,	0.419116,	0.695119,	0.255558,	0.0766675,	0.695119,	1.04779,	1.31868,	0.654229,	0.582673,	0.971122,	0.935344,	0.250447,	0.705341,	1.03246,	1.41068,	0.301559,	0.230003,	2.41247,	0.235114,	0.347559,	0.608229,	0.690008,	0.48045,	0.194224,	0.577562,	0.986455,	0.163557,	1.97802,	1.52824,	0.281114,	0.623562,	3.17404,	0.521339,	1.07335,	0.87401,	0.398671,	0.240225,	0.853565,	0.102223,	0.112446,	0.342448,	0.204447,	1.45668,	0.996678,	0.296448,	0.184002,	0.235114,	1.52824,	0.894454,	0.868899,	0.270892,	0.230003,	0.158446,	0.654229,	0.332226,	1.29824,	0.337337,	0.807564,	0.235114,	0.240225,	0.0715563,	1.10401,	1.47202,	0.153335,	0.408893,	1.89113,	0.092001,	0.572451,	2.23358,	0.868899,	1.20624,	0.17378,	3.33759,	0.695119,	1.17557,	1.25224,	0.122668,	0.316892,	1.32379,	0.838232,	1.43113,	0.153335,	0.720675,	0.291337,	0.117557,	0.143113,	0.444672,	0.153335,	0.286225,	0.0971122,	0.112446,	0.148224,	0.449783,	2.08025,	
GM12865,	0.263597,	21.738,	2.05167,	1.64309,	2.28012,	0.68096,	0.254811,	0.509621,	0.325103,	0.465688,	0.241631,	1.61234,	3.03576,	0.316317,	1.29163,	1.1774,	0.997276,	0.30753,	0.549161,	0.632633,	0.645813,	0.434935,	0.98849,	1.0456,	0.298744,	0.32071,	0.369036,	0.382216,	0.377823,	0.505228,	0.733679,	1.08954,	0.865478,	1.55522,	0.61506,	0.6546,	0.992883,	1.57719,	1.32677,	2.17028,	0.711713,	0.707319,	0.188911,	0.540374,	0.140585,	0.171338,	0.30753,	0.166945,	1.19058,	0.448115,	0.184518,	0.101046,	0.544768,	2.52614,	1.41464,	1.25648,	0.140585,	0.579914,	0.303137,	0.593094,	0.606274,	1.51568,	0.825938,	0.891837,	0.259204,	0.685353,	0.101046,	1.73535,	1.58598,	0.470082,	0.492048,	1.66506,	0.202091,	0.470082,	1.77489,	0.452509,	3.273,	0.263597,	1.7661,	0.175731,	0.637027,	0.329497,	0.140585,	0.808365,	1.1115,	1.07196,	1.18179,	0.0263597,	0.500835,	0.364643,	0.0527194,	0.246024,	0.351463,	1.10272,	0.0527194,	0.391003,	0.584307,	0.254811,	0.878657,	1.15983,	
H7-hESC,	0.232198,	21.259,	2.14998,	2.25318,	1.98658,	0.821293,	0.296698,	0.730994,	0.240798,	0.455796,	0.348297,	1.24269,	3.15617,	0.378397,	1.95648,	0.950292,	1.14379,	0.485896,	0.614895,	0.348297,	1.15669,	0.442896,	0.941692,	0.705194,	0.279498,	0.399897,	0.563295,	0.365497,	0.253698,	0.524596,	0.765394,	1.43619,	0.877193,	1.43619,	0.408497,	0.644995,	1.08789,	1.08359,	1.56089,	1.27709,	0.976092,	0.730994,	0.219298,	0.696594,	0.167699,	0.184899,	0.288098,	0.159099,	1.15669,	0.507396,	0.262298,	0.137599,	0.700894,	2.83368,	1.86619,	1.52219,	0.262298,	0.902993,	0.309598,	0.666495,	0.464396,	1.31149,	0.881493,	0.726694,	0.352597,	0.752494,	0.0773994,	1.34589,	1.35019,	0.309598,	0.472996,	1.66839,	0.275198,	0.356897,	1.56949,	0.812693,	2.51118,	0.223598,	1.11799,	0.236498,	0.657895,	0.348297,	0.120399,	1.01049,	1.53079,	1.06209,	1.29859,	0.0644995,	0.632095,	0.515996,	0.0773994,	0.210698,	0.352597,	0.571895,	0.0644995,	0.442896,	0.511696,	0.189198,	0.653595,	1.05349,	
HA-h,	0.69655,	14.2711,	2.08965,	2.15111,	1.59797,	0.901418,	0.290912,	0.733426,	0.569532,	0.643284,	0.434319,	1.17184,	2.6305,	0.376956,	1.64304,	0.737524,	1.27428,	0.499877,	0.647382,	0.708842,	0.91371,	0.41793,	0.995657,	0.966975,	0.561337,	0.483488,	0.639187,	0.426125,	0.516266,	0.577727,	1.02434,	1.20462,	0.856347,	1.04892,	0.708842,	0.966975,	1.09399,	1.09809,	1.59797,	1.81103,	1.04892,	0.958781,	0.327788,	0.815373,	0.303204,	0.35647,	0.454806,	0.266328,	1.2333,	0.577727,	0.409735,	0.21716,	0.762108,	2.65918,	1.5406,	1.42178,	0.331886,	0.753913,	0.454806,	0.762108,	0.610506,	1.97083,	1.09809,	1.02844,	0.749816,	0.725232,	0.258133,	1.45456,	1.22101,	0.794887,	0.430222,	1.02024,	0.409735,	0.397443,	1.33983,	0.749816,	2.36008,	0.561337,	1.38081,	0.303204,	0.831763,	0.467098,	0.180284,	0.909612,	1.3931,	0.946489,	1.05712,	0.102434,	0.684258,	0.475293,	0.0655576,	0.458904,	0.676063,	0.950586,	0.0737524,	0.487585,	0.99156,	0.471196,	1.13087,	1.14726,	
HAEpiC,	0.241158,	21.9453,	2.03644,	2.29546,	2.24634,	0.750268,	0.375134,	0.53144,	0.263487,	0.580564,	0.446588,	1.52287,	3.02787,	0.312612,	1.65238,	0.955698,	1.10307,	0.464452,	0.674348,	0.540372,	0.884244,	0.406395,	0.995891,	0.777063,	0.254555,	0.384066,	0.544837,	0.299214,	0.294748,	0.652019,	0.73687,	1.09861,	0.808324,	1.54966,	0.540372,	0.629689,	1.01822,	1.22812,	1.50947,	1.58092,	0.924437,	0.629689,	0.138442,	0.678814,	0.147374,	0.196499,	0.290282,	0.147374,	1.03608,	0.491247,	0.272419,	0.0625223,	0.526974,	2.92515,	1.81761,	1.33083,	0.142908,	0.803859,	0.241158,	0.611826,	0.535906,	1.42908,	0.866381,	0.727939,	0.267953,	0.785995,	0.0937835,	1.43801,	1.30404,	0.522508,	0.513576,	1.63898,	0.214362,	0.459986,	1.69257,	0.714541,	2.59468,	0.308146,	1.21025,	0.250089,	0.567167,	0.317078,	0.15184,	1.00929,	1.23705,	1.1522,	1.18792,	0.07592,	0.656484,	0.43319,	0.0669882,	0.205431,	0.317078,	0.794927,	0.0580564,	0.437656,	0.437656,	0.183101,	0.638621,	0.928903,	
HCF,	0.391078,	18.6815,	1.87374,	1.96828,	2.04994,	0.756371,	0.249259,	0.575873,	0.459839,	0.657527,	0.296532,	1.51274,	2.80201,	0.266449,	1.45687,	1.00993,	1.36663,	0.442649,	0.661825,	0.717693,	0.691908,	0.378186,	1.30216,	0.838025,	0.270746,	0.373888,	0.524303,	0.356698,	0.365293,	0.601659,	0.906786,	1.10018,	0.971249,	1.31935,	0.468434,	0.674717,	0.941166,	1.02282,	1.88233,	2.32498,	0.889596,	0.790752,	0.270746,	0.691908,	0.163307,	0.275044,	0.305127,	0.150415,	0.919679,	0.47703,	0.240664,	0.137522,	0.726288,	2.88796,	1.64597,	1.34943,	0.180498,	0.68761,	0.386781,	0.764966,	0.554386,	1.82217,	1.18183,	0.816537,	0.416864,	0.674717,	0.137522,	1.50844,	1.07439,	0.721991,	0.408269,	1.50844,	0.31802,	0.438351,	1.34943,	0.696205,	3.22747,	0.468434,	1.12596,	0.197688,	0.644634,	0.343805,	0.1762,	0.928274,	1.242,	0.898191,	1.30646,	0.0429756,	0.502815,	0.438351,	0.0429756,	0.305127,	0.33521,	1.16464,	0.0558683,	0.47703,	0.734883,	0.330912,	0.98844,	0.941166,	
HCM,	0.418807,	18.2376,	1.99905,	2.02496,	2.10267,	0.902379,	0.263374,	0.496524,	0.30655,	0.643323,	0.202927,	1.48957,	2.9921,	0.280644,	1.68818,	1.06645,	1.18302,	0.440395,	0.660593,	0.820345,	0.746945,	0.401537,	1.2521,	0.911014,	0.297915,	0.362679,	0.405855,	0.341091,	0.470619,	0.565606,	0.850568,	1.14416,	1.02327,	1.20893,	0.556971,	0.798757,	0.915332,	1.0794,	1.71409,	2.29265,	0.928285,	0.863521,	0.194292,	0.660593,	0.211563,	0.263374,	0.310867,	0.202927,	1.05781,	0.470619,	0.233151,	0.120893,	0.643323,	3.03527,	1.71409,	1.26074,	0.172704,	0.682181,	0.315185,	0.595829,	0.556971,	1.96451,	1.06213,	0.898061,	0.423125,	0.833297,	0.189975,	1.51116,	1.14848,	0.755581,	0.375631,	1.23052,	0.263374,	0.418807,	1.31687,	0.716722,	2.89279,	0.418807,	1.28233,	0.168387,	0.574241,	0.32382,	0.194292,	1.03191,	1.40754,	1.06645,	1.0535,	0.0561288,	0.526748,	0.43176,	0.0518112,	0.319503,	0.297915,	1.20029,	0.0474936,	0.509477,	0.777169,	0.289279,	0.993049,	0.923967,	
