cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.568182,	18.4975,	1.38889,	3.2197,	1.64141,	0.378788,	0.189394,	1.13636,	1.07323,	0.189394,	0.378788,	3.59848,	5.99747,	0.189394,	1.07323,	1.19949,	1.45202,	0,	0.315657,	0.252525,	0.631313,	0.694444,	0.631313,	0.820707,	0,	0.126263,	0.631313,	0.0631313,	1.13636,	0.820707,	0.252525,	0.820707,	0.568182,	1.76768,	0.631313,	0.126263,	1.70455,	1.07323,	0.189394,	1.32576,	0.631313,	0.50505,	0.252525,	0.126263,	0,	0.252525,	0.0631313,	0.126263,	1.07323,	0.94697,	0,	0.0631313,	0.0631313,	2.77778,	0.94697,	1.07323,	0.50505,	1.38889,	0.441919,	2.46212,	0.757576,	0.883838,	0.315657,	1.19949,	0.126263,	0.568182,	0.0631313,	1.51515,	1.26263,	0.189394,	1.76768,	1.07323,	0.0631313,	0.50505,	0.50505,	0.189394,	1.70455,	0,	4.41919,	0.126263,	2.0202,	0.378788,	0,	2.14646,	1.32576,	1.07323,	1.26263,	0,	0.94697,	0.757576,	0.126263,	0.126263,	0.820707,	0,	0.189394,	0.189394,	0.378788,	0,	0.126263,	0.441919,	
AoAF,	0.414692,	18.4834,	1.24408,	4.02844,	1.30332,	0.592417,	0.177725,	0.888626,	1.71801,	0.0592417,	0.236967,	3.37678,	4.91706,	0.414692,	1.24408,	1.12559,	1.30332,	0.0592417,	0.236967,	0.236967,	0.888626,	0.533175,	0.533175,	0.829384,	0.0592417,	0.118483,	0.888626,	0.296209,	1.4218,	1.24408,	0.35545,	0.533175,	0.592417,	1.59953,	0.7109,	0.177725,	1.71801,	1.71801,	0.0592417,	1.48104,	0.414692,	0.414692,	0.533175,	0.236967,	0,	0.177725,	0.0592417,	0.177725,	1.24408,	1.06635,	0,	0.177725,	0.473934,	2.60664,	1.00711,	0.651659,	0.473934,	0.947867,	0.35545,	1.83649,	0.7109,	1.00711,	0.473934,	1.00711,	0,	0.296209,	0.0592417,	1.4218,	0.947867,	0.0592417,	0.829384,	1.4218,	0.118483,	0.592417,	0.770142,	0.236967,	1.77725,	0.0592417,	3.49526,	0.118483,	2.07346,	0.414692,	0,	2.60664,	1.59953,	1.24408,	1.30332,	0.118483,	1.30332,	1.00711,	0.0592417,	0.0592417,	0.7109,	0.177725,	0.118483,	0.35545,	0.414692,	0,	0.35545,	0,	
CD20+,	0.327439,	25.1473,	1.24427,	2.75049,	1.17878,	0.720367,	0.196464,	1.37525,	0.91683,	0.327439,	0.261952,	2.685,	4.19122,	0.392927,	0.523903,	2.03012,	1.11329,	0.0654879,	0.0654879,	0.130976,	1.04781,	0.261952,	0.392927,	1.04781,	0.196464,	0.0654879,	0.589391,	0.523903,	0.851343,	1.24427,	0.392927,	0.785855,	0.458415,	2.81598,	0.851343,	0.785855,	0.720367,	2.685,	0.130976,	1.96464,	0.589391,	0.785855,	0.392927,	0.0654879,	0.130976,	0.327439,	0,	0.458415,	1.11329,	0.589391,	0,	0.0654879,	0.0654879,	1.96464,	0.589391,	0.720367,	0.720367,	0.196464,	0.261952,	1.70269,	0.458415,	1.04781,	0.261952,	0.851343,	0.0654879,	0.196464,	0,	1.04781,	1.11329,	0.0654879,	0.523903,	1.11329,	0,	0.654879,	1.50622,	0.130976,	1.57171,	0.0654879,	3.66732,	0.0654879,	0.982318,	0.261952,	0.196464,	2.22659,	1.37525,	1.04781,	1.17878,	0.0654879,	0.458415,	0.720367,	0.130976,	0.196464,	0.720367,	0,	0,	0.261952,	0.654879,	0,	0.130976,	0.785855,	
GM06990,	0.841622,	21.4231,	3.97858,	2.67789,	2.29533,	0.382555,	0.153022,	0.841622,	0.0765111,	0.841622,	0.229533,	1.91278,	0.994644,	0.612089,	0.306044,	1.22418,	0.459067,	0.306044,	0.229533,	2.29533,	0.459067,	0.153022,	1.22418,	3.06044,	0.306044,	0.229533,	0.229533,	0.918133,	0.382555,	0.153022,	0.153022,	0.459067,	0.535578,	1.91278,	1.60673,	0.0765111,	0.535578,	2.14231,	1.83627,	2.29533,	1.22418,	0.918133,	0,	0.612089,	0,	0.0765111,	0.459067,	0.0765111,	0.841622,	0.306044,	0.229533,	0.153022,	0.229533,	1.3772,	1.30069,	0.765111,	0,	0.459067,	0.0765111,	0.306044,	0.535578,	0.459067,	1.30069,	0.306044,	0.0765111,	0.918133,	0,	1.3772,	0.918133,	0.459067,	0.459067,	0.994644,	0.153022,	3.21347,	3.443,	0.229533,	4.43764,	0.0765111,	1.68324,	0,	0.382555,	0.229533,	0.612089,	0.153022,	0.459067,	0.612089,	0.612089,	0.0765111,	0.535578,	0.382555,	0.0765111,	0,	0.459067,	1.3772,	0.306044,	0.153022,	0.153022,	0.153022,	1.07116,	0.994644,	
GM12865,	0.258065,	20.9032,	1.29032,	3.03226,	0.83871,	0.387097,	0.129032,	0.645161,	0.967742,	0,	0.322581,	3.22581,	6.45161,	0.387097,	0.580645,	1.41935,	0.83871,	0.0645161,	0.193548,	0.322581,	0.709677,	0.516129,	0.580645,	1.80645,	0,	0.193548,	0.451613,	0.0645161,	2.06452,	1.16129,	0.322581,	0.645161,	0.451613,	2.06452,	0.516129,	0.387097,	1.87097,	2,	0.129032,	1.35484,	0.387097,	0.709677,	0.193548,	0,	0,	0.258065,	0,	0.0645161,	1.80645,	0.709677,	0.129032,	0.0645161,	0.387097,	2.70968,	0.580645,	0.516129,	0.83871,	0.516129,	0.645161,	2,	0.83871,	0.580645,	0.451613,	0.83871,	0,	0.451613,	0.0645161,	1.29032,	1.48387,	0.0645161,	0.967742,	1.29032,	0.129032,	0.967742,	1.54839,	0.193548,	1.74194,	0,	3.22581,	0.129032,	1.22581,	0.645161,	0.0645161,	1.67742,	1.22581,	1.93548,	1.09677,	0,	0.645161,	0.967742,	0,	0.129032,	0.387097,	0.129032,	0.0645161,	0.387097,	0.451613,	0,	0.193548,	0.451613,	
H7-hESC,	0.675676,	17.3219,	2.08845,	3.74693,	1.53563,	0.798526,	0.552826,	1.53563,	0.429975,	0,	0.2457,	2.64128,	5.28256,	0.307125,	0.552826,	1.04423,	0.921376,	0.0614251,	0.0614251,	0.4914,	1.2285,	0.429975,	0.614251,	1.53563,	0,	0.12285,	0.552826,	0,	1.59705,	1.16708,	0.2457,	0.921376,	0.921376,	1.28993,	0.614251,	0.36855,	1.28993,	2.57985,	0.36855,	1.7199,	0.552826,	0.798526,	0.4914,	0.307125,	0,	0.36855,	0,	0.2457,	1.7199,	0.859951,	0,	0.2457,	0.12285,	2.14988,	0.859951,	0.614251,	0.614251,	0.859951,	0.307125,	2.76413,	0.982801,	1.04423,	0.798526,	1.65848,	0.0614251,	0.2457,	0.0614251,	1.10565,	1.65848,	0.184275,	1.10565,	0.921376,	0.36855,	0.675676,	1.59705,	0.0614251,	1.65848,	0,	3.86978,	0.0614251,	0.859951,	0.552826,	0,	1.16708,	1.28993,	0.737101,	0.737101,	0.0614251,	0.737101,	0.614251,	0,	0,	1.41278,	0.184275,	0.2457,	0.184275,	0.737101,	0.12285,	0.12285,	0.36855,	
HA-h,	0.815376,	14.9097,	2.15492,	3.37798,	1.10658,	0.698893,	0.116482,	1.16482,	1.16482,	0.232964,	0.174723,	2.62085,	3.9604,	0.582411,	1.51427,	1.04834,	1.92196,	0,	0.116482,	0.407688,	1.45603,	0.815376,	0.465929,	0.873617,	0.116482,	0.291206,	1.10658,	0.232964,	1.39779,	0.931858,	0.582411,	0.698893,	0.640652,	1.04834,	0.582411,	0.465929,	1.51427,	1.16482,	0.407688,	1.04834,	0.873617,	0.582411,	0.465929,	0.407688,	0.349447,	0.407688,	0.0582411,	0.349447,	1.92196,	1.2813,	0.0582411,	0.174723,	0.465929,	2.32964,	0.873617,	0.990099,	0.873617,	0.873617,	0.873617,	2.03844,	0.52417,	1.22306,	0.52417,	0.931858,	0,	0.52417,	0.174723,	1.16482,	0.582411,	0.174723,	0.873617,	0.52417,	0.116482,	0.582411,	0.815376,	0.349447,	1.33955,	0.174723,	2.91206,	0.291206,	1.92196,	0.640652,	0.0582411,	2.44613,	1.68899,	1.68899,	1.04834,	0.291206,	1.10658,	0.815376,	0.174723,	0.174723,	1.39779,	0.291206,	0.291206,	0.407688,	0.815376,	0.465929,	0.0582411,	0.232964,	
HAEpiC,	0.496894,	20.6832,	1.24224,	3.72671,	1.30435,	1.61491,	0.248447,	1.86335,	0.621118,	0.248447,	0.124224,	2.48447,	4.16149,	0.248447,	0.807453,	1.11801,	1.36646,	0,	0.310559,	0.434783,	1.5528,	0.248447,	0.248447,	0.68323,	0.0621118,	0.186335,	0.993789,	0.186335,	1.11801,	1.0559,	0.310559,	0.931677,	0.621118,	1.0559,	0.621118,	0.621118,	0.807453,	2.6087,	0.248447,	1.49068,	0.372671,	0.434783,	0.310559,	0.372671,	0,	0.186335,	0.0621118,	0.248447,	1.86335,	0.869565,	0,	0.0621118,	0.372671,	2.42236,	0.993789,	1.18012,	0.931677,	0.745342,	0.124224,	1.73913,	0.621118,	0.745342,	0.310559,	0.993789,	0.0621118,	0.559006,	0.0621118,	1.0559,	1.30435,	0.186335,	0.869565,	0.745342,	0.0621118,	0.559006,	1.18012,	0.186335,	2.23602,	0,	3.97516,	0,	1.61491,	0.248447,	0.0621118,	2.42236,	0.993789,	0.993789,	0.68323,	0.124224,	1.67702,	1.30435,	0.0621118,	0.0621118,	0.496894,	0.0621118,	0.124224,	0.310559,	0.496894,	0.0621118,	0.0621118,	0.372671,	
HCF,	0.30012,	16.9868,	1.08043,	2.7611,	0.960384,	0.540216,	0.240096,	0.660264,	1.02041,	0.180072,	0.30012,	3.90156,	4.62185,	0.180072,	1.2605,	0.90036,	2.10084,	0.060024,	0.360144,	0.360144,	0.480192,	0.480192,	0.360144,	0.90036,	0,	0.420168,	0.840336,	0.240096,	1.80072,	1.7407,	0.720288,	0.540216,	0.720288,	1.38055,	0.660264,	0.360144,	1.86074,	1.20048,	0.30012,	1.38055,	0.660264,	0.60024,	0.540216,	0.660264,	0,	0.240096,	0.060024,	0,	1.44058,	0.90036,	0.180072,	0.180072,	0.240096,	3.2413,	1.14046,	0.720288,	0.780312,	1.08043,	0.420168,	2.58103,	0.720288,	1.20048,	0.540216,	1.20048,	0.060024,	0.240096,	0.180072,	1.08043,	1.02041,	0.120048,	1.08043,	0.90036,	0,	0.420168,	0.660264,	0.240096,	1.2605,	0,	3.72149,	0.060024,	1.68067,	0.840336,	0,	2.58103,	1.56062,	1.38055,	1.08043,	0,	0.840336,	1.38055,	0.180072,	0.120048,	0.780312,	0.060024,	0.240096,	0.480192,	0.420168,	0.060024,	0.180072,	0.60024,	
HCM,	0.741656,	19.3449,	1.2979,	3.9555,	0.803461,	0.618047,	0.432633,	1.54512,	1.05068,	0.123609,	0.185414,	2.28677,	4.01731,	0.370828,	1.42151,	1.17429,	1.66873,	0.185414,	0.0618047,	0.309023,	1.3597,	0.247219,	0.247219,	0.92707,	0.0618047,	0.247219,	0.865266,	0.185414,	1.23609,	1.66873,	0.556242,	0.92707,	0.679852,	1.05068,	0.556242,	0.123609,	1.3597,	1.11248,	0.185414,	1.2979,	0.432633,	0.309023,	0.185414,	0.309023,	0,	0.432633,	0,	0.247219,	1.54512,	0.92707,	0,	0.0618047,	0.309023,	2.41038,	0.92707,	1.17429,	1.17429,	0.679852,	0.556242,	2.6576,	0.741656,	1.3597,	0.556242,	1.11248,	0.0618047,	0.494438,	0.0618047,	1.17429,	0.803461,	0.185414,	0.803461,	0.803461,	0.0618047,	0.432633,	0.741656,	0.494438,	1.48331,	0,	3.33745,	0,	1.79234,	0.679852,	0.0618047,	3.58467,	1.60692,	0.679852,	0.865266,	0.247219,	0.92707,	1.60692,	0.123609,	0.123609,	0.679852,	0.0618047,	0.123609,	0.309023,	0.803461,	0,	0,	0.185414,	
