cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.325165,	17.9538,	4.1807,	1.93938,	3.63489,	0.360005,	0.220648,	0.499361,	0.673557,	0.0929044,	0.336779,	1.16131,	0.406457,	0.557427,	0.290326,	1.20776,	0.185809,	0.661944,	2.05551,	0.673557,	1.19614,	0.348392,	1.27744,	1.18453,	0.429683,	0.917431,	0.406457,	0.592266,	0.197422,	0.0812914,	0.127744,	2.39229,	0.98711,	0.615492,	1.41679,	0.766461,	0.603879,	2.75229,	1.35873,	0.243874,	0.882592,	0.731622,	0.650331,	0.499361,	0.0929044,	0.0812914,	1.26582,	0.2671,	0.696783,	0.83614,	0.209035,	0.336779,	0.139357,	2.96133,	1.52131,	1.5097,	0.15097,	0.360005,	0.139357,	0.56904,	0.336779,	0.383231,	0.522587,	1.09163,	0.348392,	0.487748,	0.0348392,	0.243874,	1.73034,	1.01034,	0.56904,	0.801301,	0.429683,	0.603879,	1.13808,	2.70584,	2.68262,	0.15097,	1.45163,	0.95227,	1.52131,	1.09163,	0.220648,	0.325165,	0.615492,	1.40518,	1.20776,	0.127744,	0.243874,	0.232261,	0.0580653,	0.116131,	0.0929044,	0.661944,	0.104517,	0.0464522,	0.15097,	0.0464522,	1.61421,	3.22843,	
AoAF,	0.322321,	17.5665,	3.48797,	1.93392,	4.19017,	0.448947,	0.310809,	0.736733,	0.610107,	0.0345344,	0.333832,	0.966962,	0.345344,	0.736733,	0.126626,	1.32382,	0.241741,	0.448947,	1.65765,	0.656153,	1.74974,	0.322321,	1.2087,	1.15115,	0.333832,	0.966962,	0.494992,	0.782779,	0.138137,	0.0460458,	0.195695,	2.19869,	1.0015,	0.978474,	1.32382,	0.702199,	0.71371,	2.79728,	1.27777,	0.195695,	0.564061,	0.782779,	0.805802,	0.667664,	0.0460458,	0.0690687,	1.23173,	0.207206,	0.564061,	1.18568,	0.241741,	0.287786,	0.103603,	3.06205,	1.71521,	1.51951,	0.103603,	0.322321,	0.172672,	0.483481,	0.276275,	0.483481,	0.494992,	1.27777,	0.310809,	0.437435,	0.0115115,	0.230229,	1.81881,	0.851848,	0.518015,	1.03603,	0.276275,	0.863359,	1.42742,	2.42892,	2.24473,	0.115115,	1.68067,	0.828825,	1.84183,	0.989985,	0.218718,	0.241741,	0.805802,	1.32382,	1.07057,	0.0345344,	0.356855,	0.264763,	0.115115,	0.115115,	0.149649,	0.679176,	0.115115,	0.0345344,	0.0575573,	0.0460458,	1.38137,	3.34983,	
CD20+,	0.499603,	15.3174,	4.56455,	1.68048,	3.202,	0.249801,	0.386057,	0.556376,	0.794822,	0.102191,	0.351993,	1.18088,	0.431475,	0.840241,	0.227092,	0.965141,	0.136255,	0.772113,	2.04383,	0.783468,	0.999205,	0.374702,	1.53287,	1.09004,	0.601794,	1.20359,	0.397411,	0.635858,	0.215737,	0.0454184,	0.283865,	1.88486,	1.23765,	0.828886,	1.28307,	0.86295,	0.794822,	2.73646,	1.23765,	0.124901,	0.726695,	0.897014,	0.806177,	0.56773,	0.0908368,	0.14761,	1.73725,	0.317929,	0.760758,	1.03327,	0.181674,	0.408766,	0.193028,	2.77052,	1.89622,	1.27172,	0.136255,	0.29522,	0.283865,	0.522312,	0.499603,	0.476893,	0.601794,	1.03327,	0.510957,	0.510957,	0,	0.215737,	1.31713,	0.931078,	0.454184,	0.658567,	0.476893,	0.42012,	1.24901,	2.21415,	3.15658,	0.0908368,	1.57829,	1.01056,	1.65777,	0.942432,	0.181674,	0.306574,	0.703985,	1.29442,	0.987851,	0.0794822,	0.306574,	0.238447,	0.193028,	0.14761,	0.204383,	0.635858,	0.124901,	0.0227092,	0.124901,	0.0340638,	2.41853,	3.48586,	
GM06990,	0.515527,	19.8478,	1.1538,	1.82889,	1.09243,	0.957408,	0.589174,	1.25199,	0.147293,	0.405057,	0.405057,	1.27654,	5.05708,	0.392783,	2.39352,	0.761016,	1.7798,	0.208666,	0.319136,	0.650546,	0.699644,	0.294587,	0.135019,	1.50976,	0.122745,	0.0981957,	0.589174,	0.417332,	1.01878,	1.19062,	0.601448,	0.576899,	0.429606,	2.14803,	0.810114,	0.233215,	1.19062,	1.43611,	0.380508,	2.52854,	1.1047,	0.527802,	0.0981957,	1.49748,	0.0859212,	0.147293,	0.11047,	0.171842,	1.6325,	0.466429,	0.245489,	0.147293,	1.2029,	0.90831,	1.09243,	0.896035,	0.405057,	0.724193,	0.196391,	0.527802,	0.478704,	2.87222,	0.392783,	0.761016,	0.0245489,	0.576899,	0.319136,	2.29532,	1.08015,	0.0981957,	0.44188,	1.93936,	0.0368234,	0.490978,	3.03179,	0.208666,	0.90831,	0.270038,	3.03179,	0.147293,	0.785565,	0.466429,	0.0368234,	0.79784,	1.49748,	0.761016,	0.822389,	0.184117,	0.994231,	0.466429,	0.0490978,	0.355959,	1.54658,	0.147293,	0.122745,	0.44188,	0.638272,	0.552351,	0.0736467,	0.22094,	
GM12865,	0.25974,	17.1203,	4.51722,	1.73913,	3.50085,	0.327499,	0.203275,	0.451722,	0.756635,	0.0338792,	0.350085,	1.18577,	0.55336,	0.508187,	0.203275,	1.10672,	0.271033,	0.564653,	2.05534,	0.835686,	1.49068,	0.327499,	1.42292,	1.23094,	0.451722,	1.16318,	0.440429,	0.621118,	0.203275,	0.101637,	0.14681,	1.9537,	0.926031,	0.869565,	1.40034,	0.700169,	0.688876,	2.99266,	1.24224,	0.327499,	0.55336,	0.8131,	0.824393,	0.564653,	0.0338792,	0.135517,	1.66008,	0.180689,	0.926031,	1.10672,	0.282326,	0.282326,	0.169396,	3.02654,	1.69396,	1.27612,	0.112931,	0.463015,	0.191982,	0.688876,	0.361378,	0.383964,	0.440429,	0.948617,	0.316206,	0.474308,	0.0112931,	0.542067,	1.94241,	0.869565,	0.350085,	0.858272,	0.372671,	0.575946,	1.28741,	2.2699,	2.58611,	0.0903444,	1.33258,	0.926031,	1.43422,	1.01637,	0.271033,	0.304912,	0.700169,	1.37775,	1.20836,	0.0677583,	0.282326,	0.214568,	0.112931,	0.14681,	0.135517,	0.643704,	0.158103,	0,	0.0790514,	0,	1.76172,	2.91361,	
H7-hESC,	0.362894,	14.2663,	3.66296,	2.05262,	3.88977,	0.215468,	0.340213,	0.567022,	0.691767,	0.0453618,	0.487639,	1.02064,	0.385575,	0.725788,	0.238149,	1.31549,	0.238149,	0.691767,	2.09798,	0.873214,	1.24745,	0.385575,	1.70107,	1.39487,	0.419596,	0.805171,	0.555682,	0.737129,	0.136085,	0.0793831,	0.204128,	2.08664,	0.839193,	0.827852,	1.61034,	0.873214,	0.703107,	3.20934,	1.5423,	0.136085,	0.737129,	0.873214,	0.669086,	0.635065,	0.0907235,	0.170107,	1.34951,	0.24949,	0.623724,	1.07734,	0.306192,	0.453618,	0.158766,	2.42685,	1.6557,	1.31549,	0.192787,	0.283511,	0.192787,	0.612384,	0.408256,	0.533001,	0.52166,	0.873214,	0.408256,	0.464958,	0.0113404,	0.283511,	1.99592,	1.066,	0.340213,	0.714448,	0.51032,	0.975278,	1.66704,	2.54026,	2.44954,	0.102064,	1.68973,	1.05466,	1.45158,	1.55364,	0.204128,	0.283511,	0.635065,	1.4289,	1.16807,	0.124745,	0.396915,	0.26083,	0.136085,	0.181447,	0.0680426,	0.635065,	0.147426,	0.0226809,	0.124745,	0.0680426,	1.4856,	3.27739,	
HA-h,	0.456621,	11.6438,	4.49011,	2.17439,	2.84845,	0.22831,	0.347902,	0.576212,	1.00022,	0.130463,	0.478365,	0.510981,	0.260926,	0.945858,	0.195695,	0.717547,	0.152207,	1.08719,	2.69624,	0.684932,	1.00022,	0.369646,	1.86997,	0.869754,	0.761035,	1.66341,	0.56534,	0.641444,	0.163079,	0.130463,	0.108719,	2.15264,	1.22853,	0.6197,	1.1633,	0.804523,	0.597956,	2.26136,	1.5112,	0.0761035,	0.782779,	1.04371,	1.05458,	0.543596,	0.108719,	0.0761035,	2.51142,	0.380517,	0.434877,	1.00022,	0.217439,	0.33703,	0.250054,	3.04414,	1.95695,	1.42422,	0.152207,	0.380517,	0.456621,	0.597956,	0.347902,	0.424005,	0.717547,	1.25027,	0.90237,	0.554468,	0.0543596,	0.206567,	0.945858,	1.19591,	0.467493,	0.521853,	0.739291,	0.641444,	0.924114,	2.8267,	2.25049,	0.0978474,	1.35899,	1.05458,	1.9352,	1.32638,	0.195695,	0.391389,	0.869754,	1.05458,	0.84801,	0.119591,	0.250054,	0.163079,	0.293542,	0.163079,	0.152207,	1.00022,	0.206567,	0.0326158,	0.0869754,	0.0326158,	2.87019,	3.58774,	
HAEpiC,	0.296454,	16.1864,	3.59303,	2.03961,	4.0555,	0.355745,	0.320171,	0.486185,	0.592909,	0.166014,	0.415036,	1.09095,	0.39132,	0.545476,	0.106724,	1.49413,	0.225305,	0.533618,	2.41907,	0.711491,	1.47041,	0.272738,	1.25697,	1.70758,	0.332029,	0.877505,	0.332029,	0.6522,	0.0711491,	0.0592909,	0.142298,	1.80244,	0.948654,	0.806356,	1.71944,	0.758923,	0.628483,	3.16613,	0.984229,	0.177873,	0.6522,	0.664058,	0.723349,	0.675916,	0.0948654,	0.0948654,	1.74315,	0.189731,	0.699632,	1.19768,	0.201589,	0.355745,	0.118582,	2.64437,	1.35183,	1.38741,	0.106724,	0.343887,	0.166014,	0.747065,	0.296454,	0.426894,	0.438753,	1.05538,	0.272738,	0.426894,	0.0237164,	0.177873,	2.12261,	1.05538,	0.379462,	0.569192,	0.367603,	1.00794,	1.69572,	2.31234,	2.47836,	0.0948654,	1.83802,	0.806356,	1.73129,	1.10281,	0.272738,	0.367603,	0.509902,	1.62457,	1.09095,	0.118582,	0.284596,	0.379462,	0.166014,	0.0711491,	0.118582,	0.592909,	0.106724,	0.0474327,	0.142298,	0.0237164,	1.39926,	3.65232,	
HCF,	0.293752,	15.7383,	4.40628,	1.70602,	3.88657,	0.338945,	0.293752,	0.485821,	0.73438,	0.101683,	0.384137,	0.915151,	0.350243,	0.73438,	0.316348,	1.12982,	0.225963,	0.73438,	2.11276,	0.723082,	1.52525,	0.259858,	1.53655,	1.2315,	0.542312,	1.16371,	0.259858,	0.610101,	0.169472,	0.101683,	0.180771,	2.03367,	1.08462,	0.621399,	1.46876,	0.711784,	0.55361,	2.92622,	1.34448,	0.158174,	0.937747,	0.643995,	0.960343,	0.508417,	0.0338945,	0.146876,	1.52525,	0.316348,	0.564908,	1.08462,	0.248559,	0.327647,	0.192069,	3.0844,	1.80771,	1.27669,	0.203367,	0.418032,	0.271156,	0.55361,	0.327647,	0.497119,	0.677889,	0.960343,	0.384137,	0.474523,	0.0451926,	0.293752,	1.55915,	0.915151,	0.350243,	0.790871,	0.372839,	0.779573,	1.31059,	2.60987,	2.4404,	0.146876,	1.41227,	1.09592,	1.58174,	1.05073,	0.248559,	0.271156,	0.677889,	1.26539,	0.892555,	0.180771,	0.259858,	0.293752,	0.169472,	0.0451926,	0.248559,	0.677889,	0.169472,	0.0225963,	0.112982,	0.0564908,	1.89809,	3.23127,	
HCM,	0.305016,	16.5951,	3.92002,	2.07863,	3.96521,	0.338906,	0.203344,	0.643922,	0.576141,	0.124266,	0.440578,	0.779485,	0.417985,	0.54225,	0.259828,	1.16358,	0.146859,	0.598735,	2.31586,	0.68911,	1.49119,	0.417985,	1.29914,	1.27655,	0.463172,	1.22006,	0.384094,	0.666516,	0.101672,	0.0790782,	0.18075,	2.13511,	0.881157,	0.666516,	1.53638,	0.598735,	0.50836,	2.5418,	1.32174,	0.124266,	0.768188,	1.02802,	0.779485,	0.564844,	0.112969,	0.101672,	1.96566,	0.214641,	0.564844,	1.17488,	0.282422,	0.305016,	0.203344,	2.83552,	1.78491,	1.49119,	0.169453,	0.372797,	0.146859,	0.621328,	0.214641,	0.463172,	0.54225,	1.14099,	0.474469,	0.485766,	0.0338906,	0.305016,	1.62675,	0.86986,	0.429282,	0.677813,	0.429282,	0.824672,	1.06191,	2.82422,	2.1803,	0.135563,	1.4347,	0.835969,	1.90917,	1.02802,	0.248531,	0.282422,	0.813376,	1.20877,	1.0732,	0.0564844,	0.18075,	0.282422,	0.146859,	0.135563,	0.158156,	0.677813,	0.18075,	0,	0.0677813,	0.0677813,	1.8188,	3.18572,	
