cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.344269,	20.5954,	1.41758,	0.749291,	2.8149,	0.405022,	0.870798,	0.283516,	0.18226,	0.303767,	0.101256,	2.24787,	1.66059,	2.12637,	0.101256,	0.830296,	0.18226,	0.121507,	1.13406,	0.708789,	0.54678,	0.567031,	0.303767,	3.07817,	0.101256,	0.891049,	0.141758,	0.72904,	0.283516,	1.11381,	0.222762,	0.405022,	0.445525,	8.86999,	1.41758,	0.567031,	0.202511,	2.8149,	0.486027,	1.07331,	0.243013,	0.18226,	0.0405022,	0.243013,	0.222762,	0.101256,	0.384771,	0.141758,	1.43783,	0.567031,	0.0607533,	0.303767,	0.222762,	1.49858,	0.405022,	1.23532,	0.18226,	0.162009,	0.101256,	0.607533,	1.37708,	0.526529,	0.243013,	0.445525,	0.18226,	2.43013,	0.101256,	0.9113,	1.45808,	1.19482,	0.0607533,	0.870798,	0.263264,	3.19968,	2.32888,	0.324018,	2.91616,	0.0202511,	2.36938,	0.0810045,	0.506278,	0.202511,	0.344269,	0.324018,	0.668287,	0.445525,	1.13406,	0,	2.22762,	0.0202511,	0.18226,	0.0405022,	0.405022,	0.425273,	0.162009,	0.0405022,	0.0405022,	0.0405022,	0.36452,	1.33657,	
AoAF,	0.538849,	14.6358,	1.51225,	1.12985,	2.58995,	0.330262,	1.47749,	0.382409,	0.417174,	0.382409,	0.0521467,	2.8333,	1.0777,	2.86807,	0.208587,	0.816965,	0.330262,	0.208587,	1.18199,	0.799583,	0.434556,	0.486703,	0.573614,	2.53781,	0.0869112,	0.886494,	0.260734,	1.49487,	0.31288,	1.51225,	0.121676,	0.365027,	0.417174,	7.78724,	1.33843,	0.799583,	0.225969,	2.62472,	0.31288,	0.712672,	0.434556,	0.330262,	0.104293,	0.278116,	0.295498,	0.15644,	0.191205,	0.173822,	0.695289,	0.590996,	0.0521467,	0.399791,	0.208587,	1.25152,	0.573614,	1.3732,	0.0695289,	0.139058,	0.121676,	0.643143,	1.33843,	0.608378,	0.330262,	0.608378,	0.191205,	3.58074,	0.104293,	0.886494,	1.2689,	1.72084,	0.0173822,	0.799583,	0.608378,	3.94577,	2.10325,	0.62576,	2.38137,	0.0521467,	2.08587,	0.139058,	0.62576,	0.191205,	0.225969,	0.451938,	1.19937,	0.62576,	1.04293,	0,	3.44168,	0.0869112,	0.486703,	0.104293,	0.260734,	0.521467,	0.382409,	0.191205,	0.0869112,	0.0521467,	0.504085,	0.973405,	
CD20+,	0.426569,	21.7144,	1.60471,	0.771887,	3.63599,	0.385944,	0.690636,	0.304692,	0.264067,	0.0609385,	0.101564,	2.43754,	2.17347,	1.56409,	0.203128,	0.812513,	0.223441,	0.0406256,	0.65001,	0.629697,	0.325005,	0.345318,	0.406256,	3.41255,	0.0812513,	0.446882,	0.101564,	0.914077,	0.203128,	0.771887,	0.121877,	0.771887,	0.406256,	7.51574,	1.46252,	0.406256,	0.325005,	3.3313,	0.345318,	1.25939,	0.203128,	0.365631,	0.101564,	0.243754,	0.14219,	0.14219,	0.284379,	0.0812513,	1.76722,	0.690636,	0.101564,	0.325005,	0.162503,	1.44221,	0.446882,	0.7922,	0.0406256,	0.182815,	0.0203128,	0.670323,	0.832826,	0.528133,	0.345318,	0.65001,	0.203128,	1.54377,	0.162503,	0.751574,	2.05159,	0.710949,	0.121877,	1.30002,	0.406256,	2.09222,	2.33597,	0.264067,	3.81881,	0.0609385,	2.31566,	0.101564,	0.264067,	0.345318,	0.101564,	0.264067,	0.853138,	0.731261,	1.15783,	0,	1.78753,	0.0812513,	0.325005,	0.0406256,	0.446882,	0.365631,	0.101564,	0.223441,	0.0609385,	0.0609385,	0.528133,	1.80784,	
GM06990,	0.273448,	28.1105,	1.88679,	0.73831,	1.96883,	0.656276,	0.546896,	0.382827,	0.109379,	0.109379,	0.109379,	2.16024,	3.22669,	0.136724,	0.328138,	2.02352,	0.410172,	0.164069,	0.519552,	0.437517,	0.464862,	0.628931,	0.382827,	2.21493,	0.355483,	0.0546896,	0.273448,	0.765655,	0.382827,	0.136724,	0.109379,	0.410172,	0.437517,	1.61334,	0.957069,	0.0820345,	0.519552,	2.40634,	0.328138,	2.95324,	0.574241,	1.50397,	0.0273448,	0.0546896,	0.0546896,	0.0273448,	0.0820345,	0.273448,	1.31255,	0.273448,	0.164069,	0.0273448,	0.410172,	1.42193,	0.793,	0.765655,	0.191414,	0.328138,	0.0273448,	0.492207,	0.273448,	0.328138,	0.164069,	0.546896,	0.0546896,	0.300793,	0,	1.44928,	2.21493,	0.0820345,	0.300793,	2.40634,	0,	0.300793,	7.65655,	0.0273448,	2.89855,	0.0820345,	3.55483,	0.0820345,	0.546896,	0.300793,	0,	0.136724,	0.300793,	1.14848,	0.492207,	0.109379,	0.273448,	0.300793,	0,	0,	0.574241,	1.91414,	0.0546896,	0,	0.191414,	0.0820345,	0.410172,	1.85945,	
GM12865,	0.268148,	21.5284,	1.81957,	0.612909,	3.50508,	0.191534,	0.612909,	0.287301,	0.210688,	0.114921,	0.114921,	2.48994,	1.47481,	1.37905,	0.0957671,	0.746983,	0.229841,	0.134074,	0.78529,	0.804444,	0.363915,	0.325608,	0.555449,	2.75809,	0.0383068,	0.612909,	0.191534,	0.689523,	0.306455,	0.900211,	0.153227,	0.67037,	0.459682,	8.12105,	1.37905,	0.306455,	0.517142,	2.89217,	0.287301,	1.26413,	0.210688,	0.402222,	0.0766137,	0.134074,	0.114921,	0.114921,	0.248994,	0.134074,	1.37905,	0.612909,	0.134074,	0.344762,	0.0957671,	1.53227,	0.268148,	0.861904,	0.0766137,	0.114921,	0.0383068,	0.440529,	1.30243,	0.478835,	0.248994,	0.497989,	0.114921,	2.27926,	0.114921,	1.03428,	1.99196,	0.84275,	0.210688,	1.60889,	0.210688,	3.14116,	2.52825,	0.210688,	3.42846,	0,	2.62402,	0.134074,	0.497989,	0.248994,	0.172381,	0.325608,	0.823597,	0.938518,	1.07259,	0.0191534,	2.16434,	0.172381,	0.191534,	0.0383068,	0.383068,	0.497989,	0.191534,	0.0766137,	0.0766137,	0.0383068,	0.344762,	1.18751,	
H7-hESC,	0.574197,	14.4626,	2.08146,	1.23811,	3.06837,	0.376817,	1.20223,	0.287098,	0.574197,	0.251211,	0.125606,	3.64256,	1.59699,	1.95586,	0.251211,	0.663915,	0.358873,	0.19738,	1.86614,	0.574197,	0.53831,	0.430648,	0.466535,	2.02763,	0.107662,	0.610084,	0.161493,	1.41755,	0.466535,	1.07662,	0.19738,	0.466535,	0.592141,	6.38794,	1.59699,	0.951014,	0.179437,	3.03248,	0.556253,	0.843352,	0.269155,	0.287098,	0.0897183,	0.287098,	0.287098,	0.0897183,	0.305042,	0.0358873,	0.861296,	0.592141,	0.0897183,	0.251211,	0.19738,	1.83025,	0.340929,	1.36372,	0.0897183,	0.233268,	0.0717746,	0.717746,	1.14839,	1.02279,	0.340929,	0.879239,	0.179437,	2.94276,	0.143549,	0.93307,	1.25606,	1.48932,	0.0717746,	0.807465,	0.556253,	3.85789,	1.77642,	0.466535,	2.51211,	0.0717746,	2.35062,	0.233268,	0.484479,	0.287098,	0.340929,	0.305042,	1.14839,	0.645972,	0.93307,	0.053831,	3.26575,	0.107662,	0.39476,	0.107662,	0.340929,	0.484479,	0.322986,	0.125606,	0.0358873,	0.0897183,	0.699803,	1.04073,	
HA-h,	0.801637,	13.3379,	1.63739,	1.48388,	2.88248,	0.716357,	1.38155,	0.511683,	0.30701,	0.324066,	0.136449,	2.20024,	1.41566,	2.3708,	0.187617,	0.784581,	0.460515,	0.0852806,	1.29626,	0.989255,	0.750469,	0.341122,	0.61402,	2.45608,	0.221729,	0.750469,	0.221729,	1.26215,	0.289954,	1.51799,	0.238786,	0.716357,	0.750469,	5.62852,	1.51799,	0.784581,	0.562852,	2.7972,	0.443459,	0.92103,	0.272898,	0.375235,	0.170561,	0.596964,	0.511683,	0.341122,	0.52874,	0.153505,	1.41566,	0.83575,	0.187617,	0.460515,	0.30701,	1.73972,	0.579908,	0.972198,	0.136449,	0.187617,	0.170561,	0.903974,	1.33038,	0.733413,	0.460515,	0.733413,	0.477571,	1.72267,	0.30701,	0.972198,	1.10865,	1.43271,	0.136449,	0.648132,	0.682245,	2.35374,	1.84206,	0.494627,	2.3708,	0.0852806,	2.23435,	0.221729,	0.750469,	0.409347,	0.443459,	0.409347,	1.21098,	0.648132,	1.33038,	0.0170561,	2.74603,	0.187617,	0.579908,	0.153505,	0.494627,	0.52874,	0.392291,	0.238786,	0.153505,	0.187617,	0.579908,	1.2451,	
HAEpiC,	0.459221,	13.8501,	1.46951,	1.28582,	3.23292,	0.293902,	1.4144,	0.404115,	0.349008,	0.47759,	0.128582,	3.19618,	1.21234,	2.02057,	0.275533,	0.771492,	0.183688,	0.128582,	2.03894,	0.753123,	0.551065,	0.551065,	0.606172,	2.29611,	0.0918442,	0.826598,	0.31227,	1.13887,	0.422483,	1.52461,	0.183688,	0.385746,	0.495959,	7.12711,	1.61646,	0.734754,	0.128582,	2.60838,	0.275533,	0.753123,	0.330639,	0.330639,	0.0918442,	0.293902,	0.330639,	0.220426,	0.110213,	0.0734754,	0.95518,	0.587803,	0.0551065,	0.238795,	0.128582,	1.92873,	0.385746,	1.46951,	0.146951,	0.202057,	0.0367377,	0.753123,	1.1205,	0.679647,	0.532697,	0.826598,	0.128582,	3.60029,	0.220426,	0.569434,	0.973549,	1.37766,	0.0918442,	0.551065,	0.293902,	4.44526,	2.42469,	0.64291,	2.31447,	0.0918442,	2.31447,	0.0734754,	0.624541,	0.422483,	0.661278,	0.385746,	1.04702,	0.716385,	0.275533,	0,	4.13299,	0.0918442,	0.495959,	0.183688,	0.349008,	0.495959,	0.220426,	0.110213,	0.0551065,	0.0367377,	0.31227,	0.863336,	
HCF,	0.439399,	15.2142,	1.44636,	1.17173,	3.18565,	0.292933,	1.19004,	0.347858,	0.530941,	0.201391,	0.0732332,	2.56316,	1.20835,	2.39839,	0.238008,	0.860491,	0.311241,	0.146466,	1.35482,	0.768949,	0.604174,	0.366166,	0.585866,	2.03222,	0.238008,	0.860491,	0.2197,	0.915416,	0.347858,	1.57451,	0.0732332,	0.457708,	0.659099,	8.00073,	1.61113,	0.457708,	0.256316,	3.24057,	0.512633,	0.823874,	0.256316,	0.292933,	0.10985,	0.347858,	0.128158,	0.0915416,	0.2197,	0.10985,	1.50128,	0.714024,	0.183083,	0.384475,	0.146466,	1.50128,	0.604174,	1.06188,	0.146466,	0.10985,	0.0549249,	0.695716,	1.5379,	0.659099,	0.366166,	0.549249,	0.347858,	2.81948,	0.0915416,	0.604174,	1.37312,	1.3182,	0.0732332,	0.604174,	0.695716,	4.08275,	2.10546,	0.677408,	2.48993,	0.0366166,	1.95899,	0.256316,	0.457708,	0.311241,	0.439399,	0.256316,	1.39143,	0.714024,	0.640791,	0.0366166,	3.02087,	0.10985,	0.238008,	0.0732332,	0.476016,	0.421091,	0.256316,	0.164775,	0.183083,	0.0366166,	0.530941,	1.15342,	
HCM,	0.445021,	15.7983,	1.4834,	0.890043,	2.67013,	0.185426,	1.24235,	0.556277,	0.370851,	0.389394,	0.0556277,	2.76284,	1.16818,	2.31782,	0.278138,	1.22381,	0.259596,	0.296681,	1.4834,	0.908585,	0.463564,	0.537734,	0.574819,	2.18802,	0.185426,	0.927128,	0.0556277,	1.20527,	0.445021,	1.52049,	0.185426,	0.389394,	0.370851,	7.50973,	1.35361,	0.556277,	0.241053,	2.68867,	0.315223,	0.852958,	0.463564,	0.259596,	0.111255,	0.14834,	0.278138,	0.166883,	0.315223,	0.222511,	1.33506,	0.482106,	0.111255,	0.389394,	0.222511,	1.42778,	0.611904,	0.8715,	0.0927128,	0.166883,	0.0741702,	0.500649,	1.16818,	0.686075,	0.315223,	0.482106,	0.203968,	3.76414,	0.14834,	0.500649,	1.01984,	1.52049,	0.0927128,	0.611904,	0.482106,	4.41313,	1.72446,	0.686075,	2.31782,	0.0370851,	2.22511,	0.0741702,	0.500649,	0.278138,	0.482106,	0.315223,	1.53903,	0.537734,	0.704617,	0.0927128,	3.56017,	0.0556277,	0.482106,	0.14834,	0.519192,	0.556277,	0.296681,	0.14834,	0.0556277,	0.111255,	0.500649,	1.03838,	
HCPEpiC,	0.58216,	16.0939,	1.37089,	1.0892,	2.92958,	0.375587,	1.05164,	0.450704,	0.244131,	0.469484,	0.056338,	2.57277,	0.86385,	2.02817,	0.319249,	0.600939,	0.187793,	0.112676,	1.22066,	0.58216,	0.469484,	0.525822,	0.694836,	2.44131,	0.0938967,	0.638498,	0.206573,	1.35211,	0.262911,	1.35211,	0.0375587,	0.488263,	0.56338,	8.82629,	1.35211,	0.507042,	0.131455,	2.77934,	0.300469,	0.995305,	0.413146,	0.488263,	0.150235,	0.244131,	0.300469,	0.131455,	0.338028,	0.187793,	1.12676,	0.826291,	0.0375587,	0.319249,	0.112676,	1.6338,	0.450704,	0.938967,	0.262911,	0.0751174,	0.0375587,	0.413146,	1.48357,	0.638498,	0.375587,	0.544601,	0.262911,	3.09859,	0.112676,	0.544601,	1.25822,	1.57746,	0.150235,	0.713615,	0.375587,	4.30047,	1.95305,	0.450704,	2.85446,	0.0751174,	1.8216,	0.131455,	0.713615,	0.319249,	0.58216,	0.375587,	1.35211,	0.920188,	0.713615,	0,	3.00469,	0.112676,	0.431925,	0.0751174,	0.431925,	0.600939,	0.28169,	0.056338,	0.0938967,	0.0375587,	0.450704,	1.01408,	
HEEpiC,	0.375469,	17.5934,	1.53764,	0.911854,	3.62954,	0.375469,	1.16217,	0.446987,	0.250313,	0.268192,	0.0536385,	2.2707,	1.484,	1.91311,	0.250313,	0.71518,	0.268192,	0.178795,	1.01913,	0.911854,	0.375469,	0.536385,	0.625782,	2.86072,	0.143036,	0.840336,	0.143036,	1.25156,	0.214554,	1.3052,	0.125156,	0.572144,	0.375469,	8.90399,	1.484,	0.429108,	0.250313,	2.89648,	0.232433,	0.947613,	0.268192,	0.303951,	0.0893975,	0.178795,	0.303951,	0.035759,	0.196674,	0.250313,	1.16217,	0.607903,	0.0893975,	0.321831,	0.250313,	1.5734,	0.500626,	1.01913,	0.0536385,	0.125156,	0.0178795,	0.6973,	1.41248,	0.446987,	0.250313,	0.500626,	0.250313,	2.77132,	0.107277,	0.858216,	1.18005,	1.10853,	0.160915,	0.840336,	0.446987,	3.59378,	2.32433,	0.303951,	3.03951,	0.035759,	2.1813,	0.125156,	0.464867,	0.107277,	0.125156,	0.196674,	1.25156,	0.6973,	1.01913,	0,	2.77132,	0.125156,	0.286072,	0.071518,	0.411228,	0.607903,	0.160915,	0.0536385,	0.0536385,	0.0178795,	0.303951,	1.16217,	
HFF,	0.519673,	17.5761,	1.8003,	0.742391,	3.2294,	0.389755,	0.909428,	0.408315,	0.501114,	0.278396,	0.111359,	2.22717,	1.7075,	1.87454,	0.204157,	0.927988,	0.222717,	0.204157,	1.16927,	0.81663,	0.482554,	0.296956,	0.445434,	2.80252,	0.148478,	0.705271,	0.222717,	1.13215,	0.389755,	1.07647,	0.0927988,	0.482554,	0.482554,	6.90423,	1.55902,	1.05791,	0.296956,	3.17372,	0.352636,	0.927988,	0.408315,	0.334076,	0.0742391,	0.315516,	0.352636,	0.148478,	0.389755,	0.129918,	1.87454,	0.649592,	0.148478,	0.296956,	0.204157,	1.46622,	0.334076,	0.835189,	0.0371195,	0.296956,	0.0742391,	0.556793,	1.07647,	0.631032,	0.352636,	0.723831,	0.352636,	1.8931,	0.334076,	0.927988,	1.8003,	1.28062,	0.0742391,	1.09503,	0.519673,	2.72829,	2.13437,	0.426875,	3.17372,	0.0556793,	1.87454,	0.0556793,	0.482554,	0.278396,	0.222717,	0.167038,	0.909428,	1.16927,	1.07647,	0.0185598,	2.15293,	0.0927988,	0.426875,	0.222717,	0.668151,	0.538233,	0.426875,	0.204157,	0.0742391,	0.0371195,	0.463994,	1.07647,	
HIPEpiC,	0.570207,	16.4113,	1.67498,	0.997862,	3.11832,	0.392017,	1.46115,	0.51675,	0.463293,	0.320741,	0.0712758,	2.24519,	1.14041,	2.33428,	0.285103,	0.801853,	0.320741,	0.213828,	1.22951,	0.784034,	0.588026,	0.409836,	0.552388,	2.63721,	0.160371,	0.819672,	0.17819,	1.14041,	0.213828,	1.42552,	0.196009,	0.51675,	0.463293,	8.41055,	1.53243,	0.51675,	0.356379,	2.58375,	0.374198,	0.819672,	0.267284,	0.285103,	0.0712758,	0.320741,	0.356379,	0.106914,	0.320741,	0.124733,	1.08696,	0.712758,	0.0890948,	0.213828,	0.267284,	1.74626,	0.570207,	0.997862,	0.0890948,	0.160371,	0,	0.766215,	1.3186,	0.570207,	0.463293,	0.534569,	0.196009,	3.0114,	0.17819,	0.748396,	1.10478,	1.08696,	0.142552,	0.766215,	0.392017,	3.72416,	2.26301,	0.552388,	2.76194,	0.0356379,	1.9779,	0.106914,	0.481112,	0.320741,	0.285103,	0.285103,	1.17605,	0.694939,	0.997862,	0.017819,	2.83321,	0.124733,	0.445474,	0.0712758,	0.356379,	0.463293,	0.213828,	0.0890948,	0.0356379,	0.0534569,	0.534569,	0.784034,	
