cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.279226,	17.4051,	0.707372,	2.04765,	1.95458,	2.30827,	0.353686,	1.00521,	0.428146,	0.279226,	0.14892,	1.19136,	0.483991,	0.725987,	0.409531,	1.37751,	0.22338,	0.353686,	0.670142,	0.595681,	0.967982,	0.763217,	2.4758,	1.80566,	0.11169,	0.521221,	0.204765,	0.353686,	0,	0.0930752,	0.465376,	2.41996,	0.297841,	0.837677,	1.88012,	1.1169,	0.856292,	2.2338,	0.893522,	0.465376,	1.17275,	1.4892,	0.390916,	1.02383,	0.0558451,	0.14892,	1.58228,	0.0930752,	0.353686,	1.30305,	1.17275,	0.14892,	0.279226,	1.67535,	3.49963,	1.43336,	0.0744602,	0.297841,	0,	2.3455,	0.725987,	0.260611,	1.07967,	0.297841,	0.428146,	1.3589,	0.0930752,	0.800447,	3.36932,	0.130305,	0.11169,	2.2338,	0.688757,	0.409531,	3.25763,	0.595681,	3.89054,	0.539836,	0.595681,	0.130305,	0.260611,	0.0558451,	0.0372301,	0.22338,	0.260611,	1.19136,	1.02383,	0.0558451,	0.465376,	0.204765,	0.316456,	0.316456,	0.167535,	1.7312,	0.0930752,	0.018615,	0.446761,	0.0744602,	0.874907,	0.930752,	
AoAF,	0.146092,	19.2111,	1.24178,	2.39226,	2.28269,	1.97224,	0.219138,	1.00438,	0.255661,	0.273923,	0.109569,	1.24178,	0.584368,	0.529584,	0.200877,	1.58875,	0.292184,	0.493061,	1.187,	0.36523,	0.766983,	0.657414,	1.97224,	2.30095,	0.127831,	0.493061,	0.182615,	0.438276,	0.0547845,	0.073046,	0.529584,	2.59313,	0.346969,	1.24178,	1.62527,	1.00438,	1.05917,	1.73484,	1.04091,	0.620891,	1.55223,	1.35135,	0.346969,	0.547845,	0.036523,	0.182615,	1.20526,	0.0913075,	0.675676,	1.02264,	0.766983,	0.109569,	0.273923,	1.53397,	3.28707,	2.10007,	0.0547845,	0.219138,	0.0182615,	1.91746,	0.584368,	0.273923,	0.840029,	0.401753,	0.2374,	1.46092,	0.182615,	1.20526,	2.66618,	0.146092,	0.146092,	2.15486,	0.36523,	0.547845,	3.25055,	0.493061,	4.34624,	0.36523,	0.748722,	0.146092,	0.182615,	0.073046,	0.0547845,	0.255661,	0.164354,	0.785245,	1.36961,	0.0547845,	0.383492,	0.2374,	0.182615,	0.219138,	0.200877,	1.49744,	0.0547845,	0,	0.219138,	0.073046,	0.639153,	1.04091,	
CD20+,	0.111359,	26.4365,	1.00223,	1.06904,	2.85078,	0.890869,	0.512249,	0.489978,	0.356347,	0.155902,	0.155902,	2.3608,	1.00223,	0.64588,	0.13363,	1.80401,	0.423163,	0.13363,	0.690423,	0.356347,	0.734967,	0.378619,	1.0245,	2.73942,	0.0668151,	0.222717,	0.200445,	0.244989,	0.0445434,	0.0668151,	0.200445,	1.40312,	0.244989,	2.049,	1.53675,	0.77951,	0.890869,	3.94209,	0.534521,	1.22494,	0.356347,	0.935412,	0.200445,	0.423163,	0.0222717,	0.111359,	0.489978,	0.0668151,	1.24722,	0.824053,	0.423163,	0.0890869,	0.111359,	1.82628,	1.13586,	1.09131,	0.0445434,	0.289532,	0.0445434,	1.29176,	0.311804,	0.267261,	0.579065,	0.623608,	0.244989,	0.601336,	0.0890869,	1.06904,	4.098,	0.0222717,	0.267261,	3.02895,	0.200445,	0.378619,	3.49666,	0.244989,	5.05568,	0.222717,	1.0245,	0.155902,	0.200445,	0.0890869,	0.0445434,	0.111359,	0.0668151,	1.00223,	1.26949,	0.0445434,	0.400891,	0.222717,	0.0890869,	0.222717,	0.289532,	0.77951,	0.0890869,	0.0222717,	0.155902,	0.0890869,	0.77951,	0.91314,	
GM06990,	0.149076,	31.3059,	1.3715,	0.715563,	3.30948,	0.119261,	0.775194,	0.447227,	0.208706,	0.0298151,	0.0596303,	2.32558,	3.36911,	0.208706,	0.447227,	1.81872,	0.477042,	0.149076,	0.327967,	0.208706,	0.268336,	0.447227,	0.178891,	2.17651,	0.149076,	0.0596303,	0.327967,	0.417412,	0.566488,	0.536673,	0.0298151,	0.477042,	0.149076,	3.45856,	0.655933,	0.417412,	0.357782,	1.61002,	0.119261,	1.31187,	0.298151,	0.417412,	0.0894454,	0.268336,	0.149076,	0.0298151,	0.0298151,	0.149076,	3.07096,	0.268336,	0.0894454,	0.0894454,	0.357782,	1.01372,	0.596303,	0.954085,	0.149076,	0.327967,	0.119261,	0.566488,	0.417412,	0.715563,	0.0596303,	0.566488,	0,	0.566488,	0.0298151,	0.805009,	1.49076,	0.208706,	0.447227,	2.14669,	0.0298151,	0.596303,	4.47227,	0.119261,	1.25224,	0,	5.5158,	0.178891,	0.894454,	0.477042,	0.0894454,	0.447227,	0.954085,	1.04353,	1.78891,	0.0298151,	0.417412,	0.298151,	0.0298151,	0.0596303,	0.834824,	0.208706,	0.298151,	0.149076,	0.0298151,	0.149076,	0.149076,	1.46094,	
GM12865,	0.164136,	24.3742,	1.10792,	1.14895,	2.23636,	1.43619,	0.410341,	0.55396,	0.20517,	0.143619,	0.0410341,	2.07222,	1.10792,	0.697579,	0.123102,	1.51826,	0.369307,	0.164136,	0.718096,	0.369307,	0.697579,	0.512926,	1.49774,	2.79032,	0.102585,	0.246204,	0.164136,	0.430858,	0.0820681,	0.0410341,	0.328272,	1.96963,	0.143619,	2.11325,	1.72343,	0.861715,	0.861715,	3.11859,	0.533443,	1.18999,	0.697579,	0.984817,	0.20517,	0.512926,	0.020517,	0.123102,	0.636028,	0.0820681,	1.04637,	0.574477,	0.677062,	0.102585,	0.184653,	1.76446,	1.49774,	1.16947,	0.0820681,	0.20517,	0.020517,	1.18999,	0.55396,	0.55396,	0.533443,	0.287238,	0.225687,	0.677062,	0.020517,	1.16947,	3.67255,	0.307755,	0.369307,	2.66721,	0.20517,	0.636028,	3.75462,	0.20517,	4.84202,	0.123102,	1.29257,	0.020517,	0.246204,	0.0820681,	0.0615511,	0.123102,	0.307755,	1.16947,	1.60033,	0.020517,	0.430858,	0.307755,	0.123102,	0.143619,	0.184653,	1.04637,	0.123102,	0.020517,	0.164136,	0.0410341,	0.430858,	1.10792,	
H7-hESC,	0.202265,	22.1481,	1.25405,	1.57767,	2.91262,	1.43608,	0.46521,	0.707929,	0.121359,	0.182039,	0.161812,	1.47654,	0.52589,	0.52589,	0.141586,	1.47654,	0.323625,	0.364078,	0.707929,	0.364078,	0.52589,	0.46521,	1.63835,	2.6699,	0.0606796,	0.182039,	0.141586,	0.444984,	0.0404531,	0.0606796,	0.202265,	2.06311,	0.161812,	1.6788,	1.92152,	0.910194,	0.9911,	2.40696,	1.03155,	0.768608,	0.910194,	1.2945,	0.343851,	0.58657,	0.0809062,	0.0809062,	1.05178,	0.0606796,	1.07201,	0.869741,	0.950647,	0.202265,	0.161812,	1.41586,	1.94175,	1.39563,	0.0404531,	0.121359,	0,	1.2945,	0.647249,	0.303398,	0.788835,	0.323625,	0.283172,	0.869741,	0.161812,	1.21359,	3.72168,	0.202265,	0.0809062,	2.42718,	0.303398,	0.46521,	4.5712,	0.364078,	4.53074,	0.202265,	0.930421,	0.262945,	0.283172,	0.141586,	0.0404531,	0.182039,	0.182039,	1.35518,	1.39563,	0.0202265,	0.505663,	0.202265,	0.121359,	0.182039,	0.182039,	1.09223,	0.141586,	0,	0.0809062,	0.0606796,	0.788835,	1.07201,	
HA-h,	0.346399,	16.9736,	1.16682,	2.0237,	1.89608,	1.51322,	0.510483,	0.765725,	0.546946,	0.273473,	0.255242,	1.3309,	0.838651,	0.911577,	0.273473,	1.45852,	0.546946,	0.346399,	0.94804,	0.783956,	1.07566,	0.692798,	1.62261,	1.96901,	0.0364631,	0.401094,	0.401094,	0.47402,	0.0546946,	0.200547,	0.802188,	1.84139,	0.309936,	1.3309,	1.58614,	0.966272,	1.40383,	2.73473,	0.71103,	0.583409,	0.929808,	1.40383,	0.437557,	0.875114,	0.0911577,	0.309936,	1.22151,	0.182315,	0.601641,	0.984503,	1.23974,	0.218778,	0.23701,	2.16955,	1.95077,	1.40383,	0.0911577,	0.218778,	0.0364631,	1.75023,	0.820419,	0.510483,	1.14859,	0.729262,	0.273473,	1.11212,	0.255242,	1.23974,	2.97174,	0.0911577,	0.309936,	2.24248,	0.346399,	1.20328,	2.78943,	0.656335,	3.57338,	0.528715,	0.984503,	0.0911577,	0.182315,	0.0911577,	0.109389,	0.309936,	0.255242,	1.56791,	1.36737,	0.0546946,	0.546946,	0.291705,	0.255242,	0.291705,	0.328168,	1.0392,	0.145852,	0,	0.309936,	0.127621,	0.838651,	0.747493,	
HAEpiC,	0.238284,	20.5123,	1.15171,	1.82685,	2.6807,	2.42256,	0.317712,	0.873709,	0.277998,	0.238284,	0.0992851,	1.33042,	0.436855,	0.555997,	0.119142,	1.46942,	0.317712,	0.317712,	0.595711,	0.555997,	0.754567,	0.675139,	2.38284,	2.16442,	0.178713,	0.397141,	0.238284,	0.377284,	0.0397141,	0.0397141,	0.436855,	2.04527,	0.277998,	1.37014,	1.80699,	0.814138,	0.93328,	1.76728,	0.794281,	0.754567,	1.13185,	1.38999,	0.297855,	0.73471,	0.0992851,	0.218427,	1.05242,	0.138999,	1.11199,	1.01271,	0.893566,	0.138999,	0.158856,	1.33042,	3.41541,	1.62828,	0.0595711,	0.238284,	0,	1.46942,	0.615568,	0.317712,	0.635425,	0.397141,	0.178713,	1.37014,	0.0595711,	1.19142,	3.27641,	0.0794281,	0.0992851,	1.94599,	0.476569,	0.496426,	4.22955,	0.416998,	4.05083,	0.277998,	0.794281,	0.19857,	0.158856,	0.0595711,	0.0794281,	0.238284,	0.19857,	1.23114,	1.56871,	0.0595711,	0.357427,	0.158856,	0.0794281,	0.238284,	0.0992851,	1.35028,	0.138999,	0,	0.258141,	0.0595711,	0.258141,	1.19142,	
HCF,	0.173444,	20.6013,	0.867219,	1.9657,	2.1006,	1.9657,	0.366159,	0.732318,	0.616689,	0.211987,	0.134901,	1.48391,	0.674504,	0.635961,	0.289073,	1.38755,	0.423974,	0.366159,	0.75159,	0.578146,	0.539603,	0.713047,	1.77298,	1.73444,	0.0963577,	0.308345,	0.211987,	0.404702,	0.0385431,	0.0770861,	0.50106,	1.85007,	0.25053,	1.40682,	1.67662,	1.15629,	1.11775,	2.33186,	0.674504,	0.75159,	0.963577,	1.52245,	0.269801,	0.674504,	0.134901,	0.211987,	1.29119,	0.0578146,	1.09848,	1.23338,	0.982848,	0.134901,	0.289073,	1.79225,	2.2355,	1.8308,	0.0770861,	0.25053,	0,	1.65735,	0.462517,	0.635961,	0.809405,	0.520331,	0.327616,	0.944305,	0.154172,	1.25265,	2.92927,	0.192715,	0.0770861,	2.42821,	0.289073,	0.520331,	3.3147,	0.481788,	3.89285,	0.423974,	0.693775,	0.154172,	0.154172,	0.0385431,	0.0385431,	0.192715,	0.269801,	1.23338,	1.79225,	0.0192715,	0.597418,	0.25053,	0.154172,	0.211987,	0.192715,	1.29119,	0.0963577,	0.0192715,	0.231258,	0.0578146,	1.05993,	0.944305,	
HCM,	0.273224,	21.8384,	0.897736,	1.71741,	2.18579,	1.99063,	0.39032,	0.819672,	0.351288,	0.19516,	0.09758,	1.3466,	0.897736,	0.624512,	0.331772,	1.65886,	0.409836,	0.507416,	0.702576,	0.507416,	0.644028,	0.526932,	1.91257,	2.18579,	0.09758,	0.429352,	0.29274,	0.312256,	0.039032,	0.078064,	0.351288,	1.99063,	0.351288,	1.36612,	1.79547,	1.01483,	0.761124,	1.87354,	0.839188,	0.761124,	1.22951,	1.40515,	0.351288,	0.936768,	0.09758,	0.136612,	1.03435,	0.09758,	0.722092,	1.05386,	0.858704,	0.058548,	0.156128,	1.67838,	2.88837,	1.17096,	0.039032,	0.19516,	0,	1.69789,	0.604996,	0.448868,	0.936768,	0.351288,	0.312256,	1.11241,	0.19516,	1.24902,	3.16159,	0.117096,	0.156128,	2.24434,	0.39032,	0.644028,	3.51288,	0.565964,	3.94223,	0.429352,	0.546448,	0.253708,	0.234192,	0,	0.019516,	0.156128,	0.253708,	0.936768,	1.4637,	0.058548,	0.4879,	0.214676,	0.117096,	0.214676,	0.156128,	1.3466,	0.117096,	0,	0.253708,	0.136612,	0.546448,	0.936768,	
