cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.314218,	17.2182,	1.97368,	1.53181,	2.8967,	0.279851,	0.544972,	0.43696,	0.495876,	0.162019,	0.270031,	0.962294,	0.736449,	0.43696,	0.417321,	1.04085,	0.324038,	0.741359,	2.58739,	0.328947,	1.06049,	1.63983,	1.21269,	1.61528,	0.608798,	1.15868,	0.279851,	0.760998,	0.171838,	0.304399,	0.515514,	1.43853,	0.476237,	1.55145,	1.97859,	0.702082,	0.490966,	3.82954,	0.952474,	0.392773,	1.10467,	1.05558,	0.328947,	0.716811,	0.162019,	0.14729,	1.70856,	0.402592,	1.43362,	1.07031,	0.829733,	0.230754,	0.677533,	1.3698,	1.56618,	1.45817,	0.574431,	0.260212,	0.0785546,	0.540063,	0.44187,	0.643166,	0.402592,	0.43205,	0.220935,	0.476237,	0.058916,	0.594069,	1.23723,	0.805185,	0.240573,	1.1194,	0.216025,	0.736449,	3.14709,	0.849372,	2.00314,	0.564611,	1.76257,	0.471328,	0.819914,	0.378044,	0.127651,	0.255302,	0.952474,	1.1194,	1.58582,	0.0490966,	0.849372,	0.28967,	0.235664,	0.0834643,	0.652985,	1.0163,	0.770817,	0.0540063,	0.0883739,	0.14729,	1.19796,	2.34682,	
AoAF,	0.303895,	17.1443,	2.15064,	1.97765,	2.3096,	0.336622,	0.589088,	0.416102,	0.46753,	0.112207,	0.261817,	0.874281,	0.724672,	0.589088,	0.383375,	0.958437,	0.420777,	0.808827,	1.73921,	0.453504,	1.16415,	1.61765,	1.12675,	1.53817,	0.635841,	1.64571,	0.289869,	0.532984,	0.233765,	0.299219,	0.504932,	1.97765,	0.420777,	1.43999,	1.97765,	0.663893,	0.579737,	3.22596,	0.977138,	0.420777,	1.72519,	1.07532,	0.462855,	1.03792,	0.135584,	0.15896,	1.5522,	0.420777,	1.36051,	1.20623,	0.682594,	0.219739,	0.677919,	1.52415,	2.02441,	1.28103,	0.509608,	0.374024,	0.0841554,	0.528309,	0.411426,	0.462855,	0.54701,	0.374024,	0.163636,	0.504932,	0.0327271,	0.579737,	1.15947,	0.621815,	0.350648,	1.11272,	0.303895,	0.85558,	3.02959,	0.832204,	1.80934,	0.425452,	1.52415,	0.495582,	0.864931,	0.406751,	0.14961,	0.280518,	1.23428,	1.33246,	1.65973,	0.0981813,	0.846229,	0.350648,	0.163636,	0.0981813,	0.780775,	0.780775,	0.715321,	0.0607789,	0.0654542,	0.177661,	0.921034,	2.08051,	
CD20+,	0.224318,	19.0925,	2.25338,	1.27963,	2.54397,	0.316085,	0.463931,	0.377262,	0.530206,	0.112159,	0.239613,	1.43768,	1.06551,	0.535305,	0.326281,	0.978843,	0.361968,	0.65766,	1.6365,	0.484323,	0.887076,	1.23375,	0.932959,	2.27887,	0.469029,	1.00433,	0.321183,	0.60158,	0.249809,	0.341575,	0.428244,	1.28983,	0.38236,	1.74866,	1.9067,	0.596482,	0.509814,	3.65027,	0.902371,	0.652562,	1.091,	1.05022,	0.377262,	0.73923,	0.142748,	0.112159,	1.32042,	0.402753,	1.52434,	1.01963,	0.545501,	0.198827,	0.504716,	1.50395,	1.42238,	1.19296,	0.616875,	0.229416,	0.0815702,	0.632169,	0.367066,	0.372164,	0.484323,	0.514912,	0.193729,	0.412949,	0.0560795,	0.581188,	1.66199,	0.412949,	0.254907,	1.25924,	0.198827,	0.774917,	3.71145,	0.871782,	2.17691,	0.418047,	2.4675,	0.38236,	0.932959,	0.351772,	0.0917665,	0.147846,	0.611777,	1.04002,	1.60591,	0.0407851,	0.723936,	0.244711,	0.147846,	0.0611777,	0.764721,	0.652562,	0.912567,	0.0407851,	0.112159,	0.173337,	1.38669,	2.37063,	
GM06990,	0.381841,	26.1349,	1.06067,	1.83041,	1.85466,	0.381841,	0.363658,	0.842475,	0.357597,	0.115158,	0.12728,	2.20013,	2.95169,	0.539427,	1.00006,	1.5213,	0.781866,	0.0848536,	0.345475,	0.454573,	0.509122,	0.593975,	0.630341,	1.67283,	0.115158,	0.424268,	0.412146,	0.284866,	0.545488,	1.32735,	0.303049,	0.909146,	0.715195,	3.17595,	0.630341,	0.369719,	0.890963,	1.67889,	0.351536,	1.89102,	0.666707,	0.806109,	0.151524,	0.333354,	0.133341,	0.206073,	0.109098,	0.157585,	1.70313,	0.733378,	0.0606097,	0.0848536,	0.424268,	1.80011,	0.878841,	0.727317,	0.424268,	0.630341,	0.200012,	0.842475,	0.87278,	0.612158,	0.406085,	0.848536,	0.0848536,	0.775805,	0.0666707,	1.25462,	1.69101,	0.200012,	0.515183,	1.22432,	0.109098,	1.04249,	2.15771,	0.296988,	2.43651,	0.145463,	2.72138,	0.115158,	0.709134,	0.266683,	0.115158,	1.00612,	1.38796,	1.15158,	1.41827,	0.0545488,	1.14552,	0.600036,	0.103037,	0.103037,	0.666707,	0.260622,	0.121219,	0.200012,	0.18789,	0.109098,	0.236378,	0.7455,	
GM12865,	0.241213,	19.4349,	2.11184,	1.4079,	3.06685,	0.246136,	0.625185,	0.246136,	0.418431,	0.132913,	0.231368,	1.07315,	1.02392,	0.364281,	0.324899,	1.16176,	0.324899,	0.703948,	2.16107,	0.413508,	0.763021,	1.24052,	1.019,	2.01339,	0.47258,	0.955006,	0.265827,	0.713793,	0.246136,	0.305208,	0.310131,	1.4079,	0.364281,	1.59004,	1.80171,	0.787634,	0.571035,	4.11539,	0.802402,	0.600571,	1.06823,	1.019,	0.285517,	0.74333,	0.132913,	0.0886088,	1.4522,	0.270749,	1.5162,	0.945161,	0.68918,	0.18214,	0.679334,	1.38328,	1.39313,	1.39805,	0.585803,	0.324899,	0.068918,	0.615339,	0.438121,	0.482426,	0.315054,	0.39874,	0.147681,	0.423353,	0.0196909,	0.68918,	1.43743,	0.753175,	0.275672,	1.32913,	0.18214,	0.827016,	3.28345,	0.674412,	2.42197,	0.418431,	2.11184,	0.39874,	0.600571,	0.300286,	0.118145,	0.18214,	0.664566,	1.2996,	1.80171,	0.0787634,	0.782711,	0.196909,	0.137836,	0.103377,	0.58088,	0.748252,	0.669489,	0.00492271,	0.0984543,	0.113222,	1.11253,	2.47612,	
H7-hESC,	0.181888,	18.6483,	2.41241,	1.89546,	2.3789,	0.287191,	0.469079,	0.426,	0.464293,	0.114877,	0.253686,	0.852001,	0.698832,	0.516944,	0.421214,	0.909439,	0.378135,	0.650967,	1.68964,	0.411641,	1.08654,	1.42638,	1.03868,	1.79495,	0.53609,	1.39288,	0.325483,	0.560023,	0.162742,	0.291978,	0.363776,	1.99119,	0.445147,	1.58913,	2.14436,	0.670113,	0.598315,	3.41758,	0.933372,	0.363776,	1.69443,	1.00517,	0.469079,	1.03868,	0.177101,	0.100517,	1.61306,	0.306337,	1.36895,	1.45032,	0.497798,	0.253686,	0.713192,	1.51254,	1.74229,	1.30672,	0.430787,	0.430787,	0.12445,	0.603102,	0.368562,	0.469079,	0.430787,	0.430787,	0.138809,	0.531304,	0.0287191,	0.502585,	1.29715,	0.469079,	0.349416,	1.04825,	0.23454,	0.813709,	3.17346,	0.832855,	1.78059,	0.34463,	1.58434,	0.665326,	0.952518,	0.349416,	0.162742,	0.349416,	0.923799,	1.13441,	1.83324,	0.0526517,	0.780203,	0.378135,	0.20582,	0.105303,	0.655753,	0.617461,	0.574383,	0.0622248,	0.0957304,	0.0813709,	0.895079,	2.26402,	
HA-h,	0.32806,	12.5652,	2.19756,	1.7931,	2.17958,	0.359518,	0.620169,	0.512314,	0.674097,	0.211217,	0.269639,	0.939241,	0.530289,	0.566241,	0.44041,	0.808916,	0.516807,	0.795434,	2.26047,	0.548265,	1.12349,	1.53245,	1.15945,	1.66727,	0.741506,	1.55042,	0.32806,	0.799928,	0.35053,	0.516807,	0.539277,	1.55492,	0.525795,	1.37965,	2.04027,	0.759482,	0.494338,	3.00647,	1.23135,	0.341542,	1.39313,	1.35269,	0.50782,	1.02912,	0.251663,	0.175265,	2.15262,	0.512314,	1.06058,	1.23584,	0.728024,	0.364012,	0.638145,	1.83354,	1.62682,	1.28977,	0.763976,	0.355024,	0.152795,	0.777458,	0.494338,	0.503326,	0.48535,	0.516807,	0.341542,	0.512314,	0.0943735,	0.498832,	0.867338,	0.777458,	0.233687,	0.939241,	0.287615,	1.24933,	3.01546,	0.961711,	1.73018,	0.683085,	1.60884,	0.552759,	0.916771,	0.498832,	0.224699,	0.269639,	0.961711,	1.0426,	1.48301,	0.116843,	1.11001,	0.296603,	0.301097,	0.0898796,	1.0471,	0.849362,	1.06058,	0.0494338,	0.139313,	0.292109,	1.70771,	2.22901,	
HAEpiC,	0.202439,	18.6047,	2.18239,	1.82689,	2.24658,	0.30119,	0.508567,	0.434504,	0.488816,	0.167876,	0.212314,	0.933195,	0.735693,	0.533254,	0.429566,	0.952945,	0.518442,	0.765319,	1.79233,	0.478941,	1.0912,	1.37264,	1.00232,	1.81208,	0.646818,	1.3677,	0.325878,	0.681381,	0.207377,	0.246877,	0.380191,	1.68864,	0.439441,	1.54051,	2.21202,	0.56288,	0.62213,	3.08102,	0.839382,	0.32094,	1.48126,	1.02701,	0.513504,	1.07638,	0.138251,	0.113563,	1.54051,	0.355503,	1.43189,	1.39732,	0.701131,	0.227127,	0.66163,	1.47632,	2.05402,	1.27882,	0.424628,	0.365378,	0.118501,	0.577692,	0.30119,	0.469066,	0.434504,	0.404878,	0.177751,	0.459191,	0.0543129,	0.483879,	1.25414,	0.553005,	0.355503,	1.12576,	0.182689,	0.819632,	3.21434,	0.794944,	1.83183,	0.355503,	1.72814,	0.577692,	0.952945,	0.449316,	0.172814,	0.241939,	1.0122,	1.30351,	1.55533,	0.108626,	0.701131,	0.385128,	0.197502,	0.0691256,	0.666568,	0.725818,	0.646818,	0.0543129,	0.0691256,	0.123439,	0.997383,	2.27127,	
HCF,	0.245921,	14.9728,	1.91535,	1.6174,	2.91795,	0.274297,	0.671554,	0.241192,	0.491842,	0.156065,	0.198629,	0.879641,	0.766139,	0.482384,	0.349965,	0.799243,	0.454008,	0.926933,	2.82336,	0.468196,	1.08773,	1.54174,	1.60795,	1.48026,	0.662095,	1.21542,	0.25538,	0.832348,	0.156065,	0.392528,	0.496571,	1.65524,	0.458737,	1.34311,	1.96264,	0.931662,	0.364152,	3.93947,	0.941121,	0.387799,	1.40932,	0.997872,	0.383069,	0.860724,	0.165524,	0.104044,	1.88224,	0.373611,	1.34311,	1.1965,	0.803973,	0.302672,	0.766139,	1.35257,	1.67415,	1.38094,	0.714117,	0.37834,	0.0662095,	0.487113,	0.359423,	0.600615,	0.416174,	0.548593,	0.217546,	0.515488,	0.0331048,	0.510759,	1.13502,	0.941121,	0.321589,	1.09719,	0.25538,	0.775597,	3.05982,	0.917475,	2.166,	0.576969,	1.58903,	0.562781,	0.751951,	0.401986,	0.122961,	0.25538,	0.88437,	1.15394,	1.48026,	0.0993143,	0.936392,	0.279026,	0.293214,	0.0803973,	0.737763,	1.02625,	0.803973,	0.0236463,	0.104044,	0.184441,	1.32419,	2.44975,	
HCM,	0.329026,	14.9778,	1.91693,	1.38763,	2.67989,	0.271804,	0.605598,	0.352868,	0.462543,	0.147823,	0.233656,	0.82018,	0.586524,	0.50546,	0.405322,	0.972772,	0.414859,	0.824949,	2.68943,	0.367174,	1.05384,	1.5736,	1.47823,	1.60698,	0.786801,	1.30657,	0.267035,	0.739116,	0.176434,	0.362405,	0.462543,	1.63559,	0.438701,	1.39717,	2.0886,	0.929856,	0.44347,	3.8291,	1.02046,	0.371942,	1.483,	1.14444,	0.329026,	0.901245,	0.166897,	0.138286,	1.80726,	0.486386,	1.18259,	1.14921,	1.08722,	0.309952,	0.777264,	1.3924,	2.01707,	1.41624,	0.610367,	0.376711,	0.128749,	0.534071,	0.338563,	0.60083,	0.453007,	0.658052,	0.185971,	0.510228,	0.0715273,	0.491154,	1.1206,	0.991846,	0.319489,	0.920319,	0.228888,	0.824949,	3.28072,	0.910782,	1.80726,	0.619904,	1.62606,	0.514997,	0.767727,	0.44347,	0.147823,	0.176434,	0.82018,	1.18735,	1.31133,	0.0858328,	0.834486,	0.25273,	0.19074,	0.109675,	0.782032,	1.00138,	0.882171,	0.0381479,	0.119212,	0.15736,	1.24458,	2.61313,	
