cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.197628,	11.3966,	0.658762,	1.6469,	0.988142,	3.35968,	0.0658762,	0.85639,	0.395257,	0.724638,	0,	0.658762,	1.84453,	0.922266,	1.18577,	0.329381,	0.724638,	0.527009,	0,	0.263505,	0.395257,	0,	3.95257,	0.263505,	0.724638,	0.197628,	0.658762,	0.263505,	0.197628,	0.329381,	0.461133,	6.52174,	0.263505,	0.461133,	0.0658762,	2.10804,	2.23979,	0.263505,	3.55731,	0.85639,	0.790514,	1.44928,	0.263505,	0.329381,	0,	0.395257,	0.131752,	0.131752,	0.263505,	0.131752,	0.131752,	0,	0.131752,	1.18577,	3.55731,	1.91041,	0.0658762,	0.658762,	0.527009,	0.658762,	0.85639,	0.85639,	1.3834,	0.329381,	0.724638,	0.658762,	0.131752,	0.85639,	5.5336,	0.461133,	0.461133,	0.592885,	0.658762,	0.263505,	0.790514,	0.461133,	8.23452,	0.0658762,	0.461133,	0,	0.461133,	0.395257,	0.197628,	1.25165,	0.592885,	0.395257,	0.922266,	0.131752,	0.131752,	0.0658762,	0.0658762,	0.395257,	0.0658762,	2.43742,	0,	0.0658762,	3.35968,	0.0658762,	0.922266,	1.05402,	
AoAF,	0.129786,	11.9403,	1.16807,	1.75211,	0.973394,	3.17975,	0.129786,	1.23297,	0.194679,	0.648929,	0.259572,	0.259572,	2.40104,	0.648929,	0.713822,	0.45425,	0.389358,	0.519143,	0.0648929,	0.0648929,	0.584036,	0,	3.6989,	0.324465,	0.584036,	0.259572,	0.324465,	0.259572,	0.324465,	0.259572,	0.259572,	7.59247,	0.324465,	0.778715,	0.129786,	1.62232,	3.43933,	0.0648929,	3.37443,	1.16807,	0.194679,	1.03829,	0.194679,	0.45425,	0.0648929,	0.45425,	0.259572,	0.129786,	0.259572,	0,	0.259572,	0,	0.0648929,	0.843608,	4.41272,	2.66061,	0.0648929,	0.519143,	0,	0.908501,	0.908501,	0.713822,	2.01168,	0.259572,	0.45425,	0.519143,	0.324465,	0.973394,	4.67229,	0.194679,	0.519143,	0.584036,	1.03829,	0.0648929,	1.16807,	0.324465,	8.04672,	0.129786,	0.713822,	0.0648929,	0.908501,	0.129786,	0.194679,	0.973394,	0.389358,	0.45425,	0.648929,	0,	0.194679,	0,	0,	0.129786,	0,	2.33615,	0,	0.0648929,	2.85529,	0.0648929,	0.713822,	0.973394,	
CD20+,	0.257732,	12.8866,	0.708763,	1.28866,	1.22423,	1.54639,	0.193299,	1.22423,	0.193299,	1.03093,	0.064433,	0.773196,	1.80412,	0.64433,	1.03093,	0.064433,	0.708763,	1.28866,	0.128866,	0.515464,	0.322165,	0.064433,	1.67526,	0.128866,	0.837629,	0.128866,	0.386598,	0.064433,	0.128866,	0.064433,	0.708763,	6.76546,	0.257732,	0.708763,	0.128866,	1.35309,	2.70619,	0.451031,	3.99485,	1.09536,	0.837629,	1.15979,	0.193299,	0.064433,	0,	0.128866,	0.579897,	0.064433,	0.451031,	0.257732,	0.128866,	0.064433,	0,	1.61082,	6.25,	2.06186,	0,	0.64433,	0.64433,	0.708763,	0.386598,	1.41753,	1.93299,	0.322165,	0.386598,	0.773196,	0.128866,	0.579897,	2.57732,	0.257732,	0.386598,	1.54639,	0.902062,	0.128866,	1.93299,	1.09536,	4.89691,	0,	0.451031,	0.257732,	0.579897,	0.322165,	0,	1.61082,	0.773196,	0.451031,	1.41753,	0.064433,	0.064433,	0.128866,	0.064433,	0.386598,	0,	2.57732,	0,	0.322165,	2.96392,	0.193299,	0.515464,	1.80412,	
GM06990,	0.265781,	17.8738,	1.79402,	1.06312,	1.12957,	0.199336,	1.3289,	0.265781,	0.0664452,	0,	0,	2.45847,	0.398671,	0.265781,	0.664452,	0.930233,	0.598007,	1.19601,	2.25914,	0.730897,	0.730897,	2.65781,	0.0664452,	3.25581,	0.0664452,	0.730897,	0.797342,	1.39535,	0.0664452,	0.0664452,	0.332226,	0.265781,	0.199336,	2.52492,	2.65781,	0,	0.0664452,	1.3289,	0.0664452,	0.13289,	4.58472,	1.19601,	0,	1.3289,	0.265781,	0.0664452,	0.332226,	0.930233,	0.398671,	2.12625,	0.398671,	0.465116,	1.06312,	1.52824,	2.92359,	1.3289,	0.199336,	0.0664452,	0,	0.664452,	0,	0.332226,	0.199336,	0.13289,	0,	0.664452,	0,	0.930233,	0.398671,	0.0664452,	0.0664452,	0.996678,	0.0664452,	5.84718,	6.51163,	0.398671,	0.265781,	0.531561,	1.86047,	0.0664452,	0.465116,	0.0664452,	0.13289,	0.465116,	1.12957,	0.531561,	0.531561,	0.0664452,	2.39203,	0.398671,	0.0664452,	0,	0.265781,	0.531561,	1.72757,	0.13289,	0,	0.398671,	0.265781,	0.332226,	
GM12865,	0.128949,	11.9278,	0.515796,	1.67634,	1.22502,	3.67505,	0.128949,	1.61186,	0.322373,	1.28949,	0.257898,	0.451322,	1.35397,	0.580271,	0.451322,	0.644745,	0.451322,	0.386847,	0,	0.128949,	0.451322,	0.128949,	3.99742,	0.257898,	0.644745,	0,	0.128949,	0.0644745,	0.0644745,	0.128949,	0.128949,	6.96325,	0.257898,	0.451322,	0.0644745,	2.06318,	3.93295,	0.128949,	4.90006,	1.16054,	0.322373,	0.838169,	0.386847,	0.322373,	0.0644745,	0.257898,	0.386847,	0,	0.257898,	0.257898,	0.0644745,	0,	0.0644745,	0.773694,	3.73952,	1.86976,	0.0644745,	0.193424,	0.128949,	1.03159,	0.580271,	0.902643,	1.28949,	0.193424,	0.644745,	0.70922,	0.257898,	0.838169,	5.28691,	0.451322,	0.451322,	0.838169,	1.09607,	0,	0.515796,	0.322373,	7.99484,	0,	0.451322,	0,	0.515796,	0,	0,	1.03159,	0.322373,	0.128949,	1.09607,	0.128949,	0.193424,	0.128949,	0.0644745,	0.128949,	0.0644745,	3.15925,	0,	0.0644745,	3.93295,	0.128949,	0.386847,	1.54739,	
H7-hESC,	0.322997,	8.72093,	1.29199,	2.19638,	1.42119,	2.77778,	0.193798,	1.55039,	0.129199,	0.775194,	0.258398,	0.452196,	1.42119,	1.16279,	0.645995,	0.193798,	0.645995,	0.322997,	0.129199,	0.322997,	0.904393,	0,	4.45736,	0.387597,	0.516796,	0.258398,	0.452196,	0.129199,	0.0645995,	0.258398,	0.322997,	7.17054,	0.193798,	0.645995,	0.258398,	2.51938,	3.81137,	0.129199,	4.13437,	0.775194,	0.581395,	1.48579,	0.193798,	0.193798,	0.0645995,	0.387597,	0.129199,	0,	0.129199,	0.322997,	0.129199,	0,	0.0645995,	0.968992,	3.74677,	2.00258,	0,	0.452196,	0.258398,	0.839793,	0.645995,	0.904393,	1.29199,	0.193798,	0.322997,	0.904393,	0.193798,	1.16279,	4.90956,	0.581395,	0.452196,	0.968992,	1.22739,	0.129199,	0.904393,	0.129199,	7.62274,	0.129199,	0.387597,	0.193798,	0.387597,	0.193798,	0.0645995,	1.48579,	0.710594,	0.322997,	0.904393,	0,	0.258398,	0.0645995,	0,	0.0645995,	0,	1.93798,	0,	0.0645995,	4.06977,	0.193798,	0.322997,	1.42119,	
HA-h,	0.189753,	9.55092,	0.822264,	1.96078,	1.58128,	2.02404,	0.189753,	1.58128,	0.189753,	1.58128,	0.189753,	0.316256,	2.46679,	0.56926,	1.20177,	0.0632511,	0.695762,	0.885515,	0.0632511,	0.126502,	0.759013,	0,	2.5933,	0.189753,	1.13852,	0.379507,	0.316256,	0.253004,	0.189753,	0.126502,	0.632511,	5.24984,	0.253004,	0.632511,	0.316256,	2.15054,	2.34029,	0.0632511,	5.62935,	0.759013,	0.442758,	1.01202,	0.253004,	0.379507,	0.189753,	0.379507,	0.442758,	0,	0.189753,	0.0632511,	0.189753,	0.0632511,	0.253004,	1.07527,	4.30108,	1.58128,	0.0632511,	0.442758,	0.632511,	0.506009,	0.759013,	1.39152,	2.65655,	0.506009,	1.32827,	0.442758,	0.253004,	1.20177,	2.9728,	0.379507,	0.379507,	0.885515,	1.26502,	0.189753,	1.01202,	0.316256,	5.5661,	0.0632511,	0.316256,	0.126502,	0.695762,	0.189753,	0.126502,	2.02404,	0.56926,	0.189753,	1.13852,	0.0632511,	0.189753,	0,	0,	0.506009,	0.189753,	2.7198,	0,	0.316256,	3.92157,	0.126502,	0.759013,	1.58128,	
HAEpiC,	0.198151,	13.7384,	0.660502,	1.5852,	1.38705,	2.11361,	0.198151,	1.4531,	0,	0.726552,	0.198151,	0.396301,	2.37781,	0.660502,	0.660502,	0.264201,	0.726552,	0.858653,	0.0660502,	0.330251,	0.660502,	0.198151,	2.24571,	0.264201,	0.792602,	0.264201,	0.396301,	0.1321,	0,	0.198151,	0.594452,	5.81242,	0.594452,	0.594452,	0.264201,	1.51915,	3.63276,	0.1321,	3.03831,	1.5852,	0.792602,	1.4531,	0.264201,	0.264201,	0,	0.330251,	0.462351,	0.0660502,	0.594452,	0.0660502,	0.0660502,	0.1321,	0.198151,	1.25495,	3.63276,	2.24571,	0,	0.858653,	0.396301,	0.792602,	0.462351,	0.858653,	1.1889,	0.330251,	0.396301,	0.528402,	0.264201,	1.321,	3.83091,	0.396301,	0.396301,	1.1889,	0.858653,	0.198151,	1.5852,	0.396301,	5.61427,	0.0660502,	0.924703,	0.264201,	0.198151,	0.330251,	0,	2.11361,	0.726552,	0.858653,	0.990753,	0.1321,	0.198151,	0.0660502,	0.0660502,	0.1321,	0.0660502,	1.84941,	0,	0.0660502,	3.76486,	0.0660502,	0.528402,	1.38705,	
HCF,	0,	9.70437,	0.835476,	1.86375,	1.02828,	3.92031,	0.0642674,	1.34961,	0.128535,	0.771208,	0.449871,	0.128535,	1.54242,	0.642674,	0.835476,	0.192802,	0.514139,	0.385604,	0.0642674,	0.192802,	0.771208,	0.128535,	4.88432,	0.321337,	0.578406,	0.128535,	0.321337,	0.192802,	0.0642674,	0,	0.321337,	6.81234,	0.257069,	0.514139,	0.0642674,	2.63496,	3.40617,	0.128535,	4.11311,	1.09254,	0.706941,	1.02828,	0.385604,	0.128535,	0.0642674,	0.192802,	0.192802,	0,	0.449871,	0.257069,	0.192802,	0.128535,	0.128535,	0.899743,	3.85604,	1.54242,	0,	0.449871,	0.514139,	0.706941,	0.642674,	0.96401,	1.09254,	0.385604,	0.578406,	0.642674,	0,	0.96401,	6.55527,	0.578406,	0.321337,	0.385604,	1.15681,	0,	0.514139,	0.128535,	8.22622,	0,	0.257069,	0.0642674,	0.642674,	0.385604,	0,	1.34961,	0.257069,	0.449871,	1.22108,	0.192802,	0.321337,	0,	0,	0.192802,	0.0642674,	2.31362,	0,	0.128535,	3.5347,	0.0642674,	0.771208,	1.47815,	
