cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.421372,	13.13,	0.539356,	1.70234,	0.707905,	0.269678,	0.235968,	1.12928,	0.370807,	0,	0.303388,	1.53379,	12.658,	0.589921,	0.876454,	1.65178,	0.134839,	0.0337098,	0.387662,	0.117984,	0.202259,	0.286533,	0.0674195,	1.63492,	0.151694,	0.0168549,	0.640485,	0.117984,	1.24726,	1.9046,	0.0337098,	0.876454,	0.539356,	0.825889,	0.69105,	0.185404,	0.707905,	1.24726,	0.0842744,	1.24726,	0.775324,	1.7192,	0.101129,	0.134839,	0.0842744,	0.117984,	0.0337098,	0.101129,	0.960728,	0.75847,	0.151694,	0.0674195,	0.337098,	0.775324,	0.539356,	0.353952,	0.741615,	0.640485,	0.0337098,	2.7642,	0.438227,	0.488792,	0.0505646,	0.337098,	0.0168549,	0.202259,	0.134839,	0.539356,	3.94404,	0,	1.48323,	1.41581,	0.202259,	0.421372,	3.2867,	0.0337098,	2.15742,	0.0168549,	12.6749,	0.0337098,	1.55065,	0.455082,	0,	1.39895,	0.320243,	1.14613,	0.556211,	0.134839,	0.151694,	0.471937,	0.370807,	0.0842744,	2.91589,	0.168549,	0.0337098,	0.0337098,	0.0842744,	1.1967,	0.0674195,	0.286533,	
AoAF,	0.679852,	8.79172,	0.478986,	1.86959,	0.633498,	0.293572,	0.386279,	1.48331,	0.478986,	0.0618047,	0.370828,	1.11248,	13.0099,	0.401731,	0.911619,	1.80779,	0.139061,	0.0154512,	0.231768,	0.185414,	0.278121,	0.355377,	0.0618047,	1.48331,	0.108158,	0.0309023,	0.710754,	0.092707,	1.63782,	2.5958,	0.0772559,	0.710754,	0.92707,	0.803461,	0.726205,	0.185414,	0.78801,	1.06613,	0.0618047,	1.00433,	0.834363,	1.94685,	0.185414,	0.154512,	0.0772559,	0.154512,	0.0463535,	0.169963,	1.01978,	0.710754,	0.123609,	0.0618047,	0.278121,	0.618047,	0.478986,	0.386279,	1.267,	0.509889,	0.0618047,	2.78121,	0.432633,	0.417182,	0.0463535,	0.309023,	0.0618047,	0.278121,	0.231768,	0.509889,	3.72373,	0.0154512,	2.03956,	0.818912,	0.200865,	0.417182,	2.54944,	0.0154512,	2.19407,	0.0309023,	14.246,	0.0463535,	1.66873,	0.695303,	0,	1.49876,	0.26267,	1.15884,	0.355377,	0.200865,	0.092707,	0.463535,	0.26267,	0.0463535,	3.8937,	0.139061,	0.0154512,	0.0463535,	0.092707,	1.267,	0.0772559,	0.26267,	
CD20+,	0.291971,	25.1095,	0.458811,	0.563087,	1.35558,	0.354536,	0.208551,	0.500521,	0.229406,	0.0208551,	0.229406,	2.58603,	8.38373,	0.458811,	0.458811,	2.83629,	0.104275,	0.0417101,	0.291971,	0.187696,	0.417101,	0.250261,	0.0834202,	2.878,	0.0625652,	0.0208551,	0.291971,	0.0625652,	0.855057,	0.813347,	0.0834202,	0.896767,	0.354536,	2.10636,	0.917623,	0.271116,	0.896767,	2.25235,	0.145985,	1.56413,	0.333681,	1.04275,	0,	0.145985,	0.0208551,	0.0834202,	0.0417101,	0.0625652,	1.2513,	0.437956,	0.104275,	0.0417101,	0.12513,	1.39729,	0.250261,	0.437956,	0.563087,	0.396246,	0.0417101,	1.75182,	0.333681,	0.333681,	0.0208551,	0.354536,	0,	0.208551,	0.0625652,	0.792492,	4.46298,	0,	1.0219,	2.2732,	0.12513,	0.417101,	3.85819,	0.0417101,	1.79353,	0.0625652,	7.34098,	0.0417101,	0.959333,	0.208551,	0,	0.625652,	0.12513,	1.58498,	0.709072,	0.0625652,	0.229406,	0.187696,	0.12513,	0.0417101,	1.54327,	0.104275,	0.0417101,	0.0417101,	0.0834202,	0.250261,	0.104275,	1.00104,	
GM06990,	0.528402,	24.0687,	0.845443,	0.660502,	1.98151,	0.634082,	0.317041,	0.554822,	0.211361,	0.15852,	0.0792602,	1.1889,	2.32497,	1.4531,	0.15852,	1.5852,	0.10568,	0,	0.15852,	0.264201,	0.10568,	0.10568,	1.53236,	1.66446,	0.290621,	0.1321,	0.15852,	0.343461,	0.0792602,	0.317041,	0,	1.55878,	0.396301,	4.06869,	0.369881,	0.686922,	0.554822,	1.71731,	0.184941,	2.03435,	0.184941,	0.581242,	0.10568,	0.0528402,	0.0528402,	0.0528402,	0.15852,	0.0792602,	1.84941,	0.184941,	0,	0.0264201,	0,	0.607662,	0.501981,	0.422721,	0.0792602,	0.211361,	0.0264201,	0.581242,	1.47952,	0.237781,	0.475561,	0.237781,	0.1321,	0.369881,	0.0264201,	0.554822,	8.37516,	0.290621,	0.317041,	1.26816,	0.184941,	0.449141,	3.67239,	0.0264201,	10.2246,	0.0264201,	5.54822,	0.0264201,	0.237781,	0.211361,	0,	0.0792602,	0.264201,	0.475561,	1.29458,	0.0264201,	0.317041,	0,	0.0528402,	0.264201,	0.0792602,	1.42668,	0.10568,	0,	0.237781,	0.0264201,	0.396301,	1.24174,	
GM12865,	0.235294,	22.1961,	0.784314,	0.764706,	1.29412,	0.156863,	0.235294,	0.627451,	0.254902,	0,	0.294118,	1.98039,	11.1569,	0.156863,	0.490196,	2.60784,	0.156863,	0.0392157,	0.137255,	0.0980392,	0.176471,	0.215686,	0.156863,	1.72549,	0.0392157,	0.0392157,	0.372549,	0.0784314,	0.588235,	1.43137,	0,	0.72549,	0.509804,	1.52941,	0.784314,	0.215686,	0.686275,	2.03922,	0.0784314,	0.960784,	0.235294,	1.01961,	0.117647,	0.156863,	0.0196078,	0.0784314,	0.117647,	0.0588235,	1.45098,	0.372549,	0.0196078,	0.0784314,	0.196078,	0.686275,	0.215686,	0.529412,	0.529412,	0.470588,	0.0196078,	2.09804,	0.372549,	0.254902,	0.0392157,	0.196078,	0.0196078,	0.137255,	0.176471,	0.784314,	4.09804,	0,	1.19608,	1.94118,	0.0392157,	0.529412,	3.66667,	0.0196078,	1.92157,	0.0392157,	11.1765,	0.0392157,	0.980392,	0.411765,	0,	0.588235,	0.156863,	1.27451,	0.72549,	0.0784314,	0.235294,	0.235294,	0.156863,	0.0588235,	2.11765,	0.196078,	0.0392157,	0,	0.0784314,	0.392157,	0.0784314,	1.05882,	
H7-hESC,	0.378034,	22.3637,	0.616793,	0.915241,	1.05452,	0.318345,	0.51731,	0.775965,	0.0596896,	0,	0.378034,	2.02945,	10.9431,	0.278552,	0.795862,	2.06924,	0.218862,	0,	0.198965,	0.159172,	0.238758,	0.179069,	0.0994827,	2.16872,	0.0397931,	0.0795862,	0.437724,	0.119379,	1.01472,	1.01472,	0.0397931,	0.775965,	0.756068,	1.27338,	0.636689,	0.198965,	0.955034,	1.85038,	0.119379,	1.1739,	0.577,	1.03462,	0.0795862,	0.119379,	0.0397931,	0.0397931,	0.0596896,	0.0795862,	1.23359,	0.338241,	0.0596896,	0.0596896,	0.238758,	1.23359,	0.278552,	0.417827,	0.397931,	0.51731,	0.0596896,	1.89017,	0.378034,	0.51731,	0.0994827,	0.139276,	0,	0.218862,	0.0397931,	0.636689,	4.25786,	0.0198965,	1.29327,	1.96976,	0.119379,	0.298448,	3.02427,	0.0397931,	1.61162,	0.0397931,	10.5253,	0,	1.33307,	0.497413,	0,	0.915241,	0.318345,	1.55193,	0.716275,	0.139276,	0.179069,	0.238758,	0.119379,	0.0596896,	1.57183,	0.0795862,	0.0397931,	0.0397931,	0.0596896,	0.278552,	0.0198965,	0.616793,	
HA-h,	0.643036,	12.5784,	0.799874,	1.86637,	0.643036,	0.595985,	0.392095,	1.75659,	0.470514,	0.0313676,	0.392095,	1.42723,	6.71267,	0.784191,	1.03513,	1.78795,	0.32936,	0.172522,	0.32936,	0.32936,	0.470514,	0.564617,	0.156838,	1.67817,	0.235257,	0.0784191,	0.941029,	0.125471,	1.08218,	1.45859,	0.0784191,	1.1606,	0.580301,	0.878294,	0.893977,	0.313676,	1.11355,	1.63112,	0.141154,	0.98808,	1.01945,	2.19573,	0.172522,	0.313676,	0.109787,	0.156838,	0.0627353,	0.282309,	1.12923,	1.09787,	0.172522,	0.313676,	0.392095,	1.33312,	0.548934,	0.595985,	1.27039,	0.611669,	0.0784191,	3.37202,	0.407779,	0.690088,	0.0941029,	0.454831,	0.188206,	0.20389,	0.407779,	0.941029,	3.59159,	0,	1.48996,	1.42723,	0.454831,	0.815558,	2.69762,	0.125471,	1.96048,	0.109787,	8.07716,	0.0470514,	1.58407,	0.580301,	0.0156838,	1.7409,	0.486198,	1.83501,	0.595985,	0.235257,	0.250941,	0.595985,	0.439147,	0.250941,	2.27415,	0.32936,	0.0627353,	0.109787,	0.109787,	1.03513,	0.0313676,	0.376412,	
HAEpiC,	0.509944,	13.2245,	0.492946,	1.98878,	0.849907,	0.560938,	0.305966,	1.13887,	0.509944,	0.0169981,	0.339963,	1.37685,	11.4227,	0.339963,	1.03689,	1.47884,	0.27197,	0.0679925,	0.254972,	0.0849907,	0.441951,	0.237974,	0.0849907,	1.42784,	0.152983,	0,	0.781914,	0.101989,	1.24086,	2.31175,	0.0509944,	0.985892,	0.560938,	1.01989,	0.764916,	0.203978,	0.883903,	1.18987,	0.0849907,	0.934897,	1.22387,	1.34285,	0.135985,	0.254972,	0.0679925,	0.101989,	0,	0.152983,	1.17287,	0.645929,	0.0849907,	0.0849907,	0.407955,	0.73092,	0.424953,	0.594935,	0.934897,	0.441951,	0.0509944,	2.46473,	0.441951,	0.509944,	0.0679925,	0.305966,	0.0509944,	0.237974,	0.186979,	0.713921,	3.68859,	0,	1.69981,	1.63182,	0.220976,	0.54394,	2.56672,	0.0169981,	2.07377,	0,	12.2387,	0.0169981,	2.05677,	0.45895,	0,	1.69981,	0.305966,	1.07088,	0.475948,	0.135985,	0.101989,	0.45895,	0.237974,	0.0509944,	3.02567,	0.152983,	0.118987,	0.0679925,	0.135985,	0.781914,	0.101989,	0.288968,	
HCF,	0.444065,	14.3126,	0.59778,	1.84458,	0.802733,	0.409906,	0.358668,	0.939368,	0.341588,	0,	0.324509,	1.26388,	11.4603,	0.444065,	0.88813,	1.79334,	0.170794,	0.0683177,	0.239112,	0.102477,	0.409906,	0.324509,	0.0683177,	1.81042,	0.119556,	0.0512383,	0.614859,	0.102477,	1.28096,	1.96413,	0.0683177,	0.683177,	0.529462,	0.973527,	0.717336,	0.187874,	0.700256,	1.36635,	0.136635,	1.076,	0.939368,	1.63962,	0.0683177,	0.187874,	0.0512383,	0.119556,	0.0853971,	0.187874,	1.09308,	0.666097,	0.0683177,	0.0853971,	0.30743,	0.922289,	0.546541,	0.358668,	0.88813,	0.700256,	0.0512383,	2.52775,	0.392827,	0.546541,	0.0853971,	0.187874,	0.0170794,	0.358668,	0.187874,	0.563621,	3.24509,	0.0170794,	1.22972,	1.40051,	0.119556,	0.700256,	3.31341,	0.0853971,	1.81042,	0.0170794,	12.8266,	0.0341588,	1.72502,	0.392827,	0,	1.60547,	0.273271,	1.17848,	0.512383,	0.204953,	0.153715,	0.358668,	0.256191,	0.187874,	2.88642,	0.170794,	0.102477,	0.0512383,	0.0683177,	0.683177,	0.0512383,	0.512383,	
HCM,	0.489339,	13.4044,	0.768962,	1.46802,	0.751485,	0.24467,	0.401957,	0.891297,	0.576721,	0.0174764,	0.401957,	1.32821,	12.7053,	0.611674,	0.699056,	1.67774,	0.0699056,	0.0524292,	0.174764,	0.174764,	0.19224,	0.227193,	0.0524292,	1.93988,	0.087382,	0.0174764,	0.699056,	0.087382,	1.22335,	2.18455,	0.0174764,	0.908773,	0.838868,	0.734009,	0.524292,	0.209717,	0.68158,	1.66026,	0.0699056,	1.22335,	0.576721,	1.32821,	0.122335,	0.227193,	0.0349528,	0.0699056,	0.0524292,	0.139811,	0.891297,	0.629151,	0.19224,	0.087382,	0.24467,	0.786438,	0.646627,	0.367005,	0.821391,	0.559245,	0.104858,	2.63894,	0.332052,	0.349528,	0.087382,	0.209717,	0.0349528,	0.19224,	0.279622,	0.576721,	3.44285,	0.0174764,	1.5554,	1.67774,	0.122335,	0.524292,	2.5166,	0.0524292,	1.76512,	0.0349528,	13.8064,	0.087382,	1.74764,	0.524292,	0,	1.27578,	0.279622,	1.27578,	0.419434,	0.174764,	0.139811,	0.314575,	0.19224,	0.104858,	3.28556,	0.139811,	0.0349528,	0.0174764,	0.0524292,	0.92625,	0.087382,	0.332052,	
