cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.305966,	24.1713,	1.47884,	1.01989,	2.65171,	0.968893,	0.968893,	0.81591,	0.866905,	0.101989,	0.203978,	1.32585,	1.01989,	1.22387,	0.101989,	1.17287,	0.45895,	0.0509944,	0.152983,	0.560938,	1.17287,	0.45895,	0.917899,	2.80469,	0.407955,	0.81591,	0.0509944,	0.407955,	0.0509944,	0.101989,	0.203978,	1.98878,	0.254972,	2.54972,	0.713921,	0.81591,	1.22387,	2.39674,	1.22387,	0.713921,	0.560938,	0.917899,	0.45895,	0.305966,	0,	0.152983,	0.81591,	0,	0.866905,	0.611933,	0.356961,	0.101989,	0,	1.27486,	2.03978,	0.611933,	0,	0.254972,	0.203978,	1.01989,	0.611933,	0.152983,	1.22387,	0.203978,	0.560938,	0.713921,	0.305966,	0.356961,	3.31464,	0.560938,	0.407955,	1.88679,	1.12188,	0.305966,	2.60071,	0.356961,	4.48751,	0,	1.47884,	0.101989,	0.81591,	0.356961,	0.0509944,	0.101989,	0.356961,	1.47884,	1.37685,	0.0509944,	0.45895,	0.356961,	0.101989,	0.152983,	0.0509944,	0.713921,	0.101989,	0.0509944,	0.407955,	0,	1.27486,	1.52983,	
AoAF,	0.189843,	20.2183,	2.08828,	1.66113,	2.1832,	0.56953,	0.806834,	0.56953,	0.522069,	0.237304,	0.332226,	0.806834,	0.379687,	0.949217,	0.142383,	1.70859,	0.427148,	0.379687,	0.284765,	0.616991,	1.3289,	0.284765,	1.18652,	1.94589,	0.379687,	0.854295,	0.474608,	0.474608,	0.142383,	0.142383,	0.379687,	1.80351,	0.379687,	1.80351,	1.61367,	0.664452,	1.37636,	2.56289,	1.47129,	0.522069,	0.522069,	0.901756,	0.522069,	0.522069,	0.0474608,	0.0474608,	1.23398,	0.0474608,	1.04414,	0.949217,	0.522069,	0.0949217,	0.0474608,	0.996678,	2.51542,	1.18652,	0.237304,	0.284765,	0.0949217,	0.996678,	1.18652,	0.189843,	1.0916,	0.427148,	0.616991,	1.13906,	0.142383,	0.616991,	2.51542,	0.379687,	0.332226,	1.56621,	0.949217,	0.56953,	2.99003,	0.522069,	4.31894,	0.142383,	1.66113,	0.332226,	0.759373,	0.427148,	0.189843,	0.189843,	0.664452,	1.28144,	1.13906,	0.0949217,	0.854295,	0.379687,	0.189843,	0.189843,	0,	0.759373,	0.0474608,	0,	0.379687,	0,	1.3289,	1.75605,	
CD20+,	0.722196,	17.3327,	1.44439,	1.25181,	1.82956,	0.866635,	0.52961,	1.25181,	1.3481,	0.0962927,	0.0481464,	1.05922,	0.337025,	1.44439,	0.192585,	1.39624,	0.144439,	0.144439,	0.433317,	0.0481464,	0.770342,	0.192585,	1.39624,	2.26288,	0.674049,	0.481464,	0.0481464,	0.240732,	0.0481464,	0,	0.0962927,	2.16659,	0.577756,	1.68512,	0.770342,	1.20366,	1.05922,	2.26288,	1.20366,	0.770342,	0.240732,	0.770342,	0.818488,	0.337025,	0.0481464,	0.288878,	1.974,	0,	0.433317,	0.818488,	0.722196,	0.0962927,	0,	1.20366,	2.11844,	0.914781,	0.0962927,	0.674049,	0.144439,	1.05922,	1.68512,	0.0481464,	1.10737,	0.577756,	0.914781,	1.3481,	0.288878,	0.818488,	3.85171,	0.433317,	0.192585,	1.39624,	2.11844,	0.240732,	2.88878,	0.385171,	6.49976,	0.0481464,	2.16659,	0.0962927,	0.770342,	0.240732,	0.0481464,	0.0481464,	0.288878,	1.39624,	1.05922,	0,	0.52961,	0.144439,	0.433317,	0.192585,	0.144439,	1.25181,	0.0481464,	0,	0.433317,	0.0481464,	1.87771,	1.3481,	
GM06990,	0.516944,	21.1373,	1.9529,	1.72315,	2.18265,	0.516944,	0.631821,	0.516944,	0.574383,	0.0574383,	0.229753,	1.14877,	3.96324,	0.229753,	1.14877,	1.2062,	0.689259,	0.114877,	0.861574,	0.34463,	0.287191,	0.574383,	0.172315,	1.43596,	0.287191,	0.0574383,	0.459506,	0.402068,	0.746697,	1.2062,	0,	0.574383,	0.631821,	1.9529,	0.631821,	0.229753,	0.287191,	1.37852,	0.172315,	2.01034,	0.631821,	0.746697,	0.172315,	0.459506,	0.172315,	0.229753,	0,	1.03389,	3.21654,	0.459506,	0.229753,	0.172315,	1.26364,	1.49339,	1.03389,	0.574383,	0.861574,	1.2062,	0.34463,	0.689259,	0.97645,	0.459506,	0.229753,	0.34463,	0.0574383,	0.229753,	0.459506,	0.97645,	1.43596,	0.114877,	0.574383,	1.37852,	0.0574383,	0.402068,	4.02068,	0.114877,	1.26364,	0.114877,	4.6525,	0.229753,	1.78059,	0.631821,	0,	0.97645,	0.97645,	1.03389,	1.37852,	0.114877,	0.631821,	1.03389,	0.287191,	0.287191,	1.78059,	0.287191,	0.114877,	0.574383,	0.229753,	0.34463,	0.172315,	1.03389,	
GM12865,	0.419776,	16.1847,	1.21269,	1.53918,	2.0056,	1.02612,	0.652985,	1.21269,	0.699627,	0.139925,	0.51306,	1.07276,	0.886194,	1.30597,	0.326493,	1.35261,	0.186567,	0.466418,	0.466418,	0.373134,	0.699627,	0.279851,	1.16604,	2.70522,	0.746269,	0.606343,	0.279851,	0.419776,	0.139925,	0.0932836,	0.233209,	2.61194,	0.51306,	2.42537,	1.21269,	1.07276,	1.53918,	2.23881,	1.25933,	0.51306,	0.233209,	0.886194,	0.51306,	0.559702,	0.0932836,	0.139925,	1.39925,	0,	0.886194,	1.30597,	0.606343,	0.0932836,	0.0466418,	0.932836,	1.81903,	0.839552,	0.326493,	0.419776,	0,	1.07276,	1.58582,	0.186567,	1.16604,	0.373134,	0.839552,	1.07276,	0.186567,	0.606343,	2.42537,	0.419776,	0.419776,	1.63246,	2.33209,	0.419776,	2.33209,	0.51306,	4.10448,	0.0932836,	2.28545,	0.186567,	0.746269,	0.373134,	0.0466418,	0.139925,	0.419776,	1.16604,	1.58582,	0.0932836,	0.979478,	0.466418,	0.0932836,	0.373134,	0.139925,	0.79291,	0,	0.0932836,	0.186567,	0.0466418,	2.42537,	1.6791,	
H7-hESC,	0.377181,	12.3055,	2.21594,	1.74446,	2.68741,	0.612918,	1.03725,	1.08439,	0.895804,	0.330033,	0.18859,	0.612918,	0.282885,	1.46157,	0.235738,	1.22584,	0.612918,	0.377181,	0.942951,	0.754361,	1.79161,	0.18859,	1.08439,	3.53607,	0.612918,	0.282885,	0.18859,	0.471476,	0,	0.0471476,	0.235738,	1.60302,	0.424328,	1.83876,	1.69731,	0.942951,	0.754361,	2.82885,	1.22584,	0.377181,	0.141443,	1.03725,	0.377181,	0.612918,	0.0471476,	0.0471476,	2.02735,	0.0471476,	0.707214,	2.31023,	0.707214,	0.282885,	0,	1.50872,	1.79161,	0.707214,	0.0471476,	0.565771,	0.141443,	1.46157,	1.13154,	0.330033,	1.9802,	0.565771,	1.13154,	0.801509,	0.377181,	0.282885,	2.59312,	0.235738,	0.471476,	1.32013,	1.79161,	0.471476,	3.01744,	0.660066,	4.57331,	0.18859,	1.22584,	0.141443,	0.754361,	0.471476,	0.141443,	0.0942951,	0.330033,	1.17869,	1.32013,	0.141443,	0.801509,	0.424328,	0.377181,	0.18859,	0.377181,	0.565771,	0.0942951,	0.0471476,	0.377181,	0.0471476,	3.06459,	1.22584,	
HA-h,	0.569925,	12.4945,	1.35905,	1.00833,	1.31521,	1.44673,	0.657606,	2.0605,	1.8413,	0.131521,	0.0876808,	0.613766,	0.569925,	1.70978,	0.219202,	0.789128,	0.263043,	0.219202,	0.526085,	0.438404,	0.920649,	0.219202,	2.10434,	1.8413,	0.657606,	0.701447,	0.438404,	0.438404,	0.175362,	0.0876808,	0.394564,	2.0605,	0.482245,	1.31521,	0.613766,	1.88514,	1.22753,	1.70978,	1.40289,	0.306883,	0.569925,	1.44673,	0.569925,	0.175362,	0.0876808,	0.350723,	2.2797,	0.131521,	0.789128,	1.22753,	0.701447,	0.219202,	0.0438404,	1.22753,	2.63043,	1.13985,	0.0438404,	0.482245,	0.0438404,	1.44673,	1.88514,	0.263043,	1.53441,	0.350723,	1.00833,	1.13985,	0.438404,	0.306883,	2.45506,	0.394564,	0.482245,	1.09601,	2.14818,	0.526085,	2.0605,	0.394564,	5.78694,	0.131521,	1.88514,	0.350723,	1.27137,	0.438404,	0.131521,	0.526085,	0.701447,	1.18369,	1.09601,	0.0438404,	0.657606,	0.131521,	0.394564,	0.306883,	0.0876808,	1.31521,	0.175362,	0,	0.569925,	0.0438404,	2.01666,	1.35905,	
HAEpiC,	0.200401,	21.2425,	1.75351,	1.95391,	2.30461,	0.551102,	0.751503,	0.551102,	0.450902,	0.1002,	0.300601,	1.0521,	0.450902,	0.901804,	0.300601,	1.40281,	0.250501,	0.250501,	0.551102,	0.551102,	1.55311,	0.350701,	0.801603,	2.60521,	0.350701,	0.701403,	0.1002,	0.300601,	0.200401,	0.150301,	0.350701,	2.25451,	0.501002,	1.70341,	1.45291,	0.501002,	1.1523,	2.30461,	1.40281,	0.501002,	0.651303,	1.1022,	0.501002,	0.701403,	0.0501002,	0.0501002,	0.701403,	0.200401,	1.0521,	1.40281,	0.350701,	0.150301,	0.150301,	1.2525,	2.25451,	0.651303,	0.1002,	0.400802,	0.1002,	0.851703,	0.801603,	0.250501,	1.002,	0.350701,	0.801603,	1.0521,	0.200401,	0.651303,	2.40481,	0.501002,	0.400802,	1.75351,	1.30261,	0.300601,	3.70741,	0.601202,	4.35872,	0.0501002,	0.901804,	0.350701,	0.751503,	0.601202,	0.1002,	0.0501002,	0.801603,	1.30261,	1.35271,	0.1002,	0.801603,	0.250501,	0.350701,	0.300601,	0.1002,	0.851703,	0,	0,	0.150301,	0,	1.55311,	1.0521,	
HCF,	0.148736,	20.7238,	1.98314,	1.43778,	2.7764,	0.743679,	0.644522,	1.43778,	0.545364,	0.148736,	0.297471,	0.941993,	0.793257,	0.892414,	0.297471,	1.3882,	0.34705,	0.198314,	0.247893,	0.545364,	0.892414,	0.297471,	0.941993,	2.42935,	0.396629,	0.545364,	0.198314,	0.297471,	0.148736,	0.0495786,	0.34705,	1.83441,	0.297471,	2.13188,	0.743679,	1.14031,	1.3882,	2.67724,	1.48736,	0.34705,	0.34705,	0.644522,	0.545364,	0.34705,	0.0495786,	0.247893,	1.23946,	0.247893,	0.793257,	1.33862,	0.446207,	0.0495786,	0,	1.3882,	2.23104,	1.09073,	0.0495786,	0.495786,	0.0991572,	1.04115,	1.14031,	0.297471,	0.991572,	0.644522,	0.6941,	1.18989,	0.198314,	0.446207,	2.52851,	0.297471,	0.446207,	1.73525,	1.04115,	0.545364,	2.92514,	0.148736,	4.1646,	0.198314,	1.73525,	0.148736,	0.991572,	0.34705,	0.34705,	0.0991572,	0.396629,	0.941993,	1.83441,	0,	1.09073,	0.148736,	0.198314,	0.198314,	0.198314,	0.594943,	0.0495786,	0.0495786,	0.0495786,	0.0991572,	1.93356,	1.09073,	
