cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.200848,	21.7809,	3.48137,	1.60678,	1.85227,	0.156215,	0.602544,	0.535595,	0.490962,	0.0446329,	1.16046,	1.20509,	0.736443,	0.200848,	0.736443,	0.825709,	0.37938,	1.51752,	2.1647,	0.825709,	2.14238,	0.624861,	0.513278,	0.914974,	0.580228,	1.04887,	1.24972,	0.848025,	0.669493,	0.0446329,	0.424012,	0.267797,	0.290114,	0.937291,	0.870341,	0.245481,	0.468645,	2.74492,	1.80763,	0.781076,	1.82995,	0.513278,	0.178532,	0.803392,	0.111582,	0.0892658,	0.267797,	0.223164,	0.914974,	0.468645,	0.200848,	0.334747,	0.178532,	1.56215,	3.28052,	1.13814,	0.602544,	0.669493,	0.0892658,	0.31243,	0.37938,	0.825709,	0.267797,	0.647177,	0.178532,	0.669493,	0.0223164,	0.736443,	0.401696,	0.401696,	0.446329,	1.67373,	0.0669493,	0.37938,	3.526,	1.02656,	1.04887,	0.0446329,	2.90114,	1.24972,	1.51752,	1.2274,	0.0669493,	0.133899,	1.02656,	1.51752,	1.2274,	0.156215,	0.490962,	0.223164,	0.0223164,	0.133899,	0.758759,	0.602544,	0.178532,	0,	0.0669493,	0.290114,	0.580228,	1.13814,	
AoAF,	0.128315,	21.2575,	3.48589,	1.90334,	1.66809,	0.171086,	0.641574,	0.769889,	0.384944,	0.0641574,	1.02652,	1.11206,	0.620188,	0.192472,	0.641574,	0.705731,	0.427716,	1.73225,	1.60393,	0.556031,	2.35244,	0.684346,	0.384944,	0.748503,	0.684346,	0.81266,	1.28315,	0.769889,	0.534645,	0.0641574,	0.427716,	0.40633,	0.213858,	0.855432,	1.02652,	0.171086,	0.449102,	3.22926,	1.45423,	0.769889,	1.98888,	0.834046,	0.192472,	0.748503,	0.106929,	0.0213858,	0.128315,	0.299401,	0.556031,	0.66296,	0.235244,	0.25663,	0.235244,	1.49701,	3.14371,	1.32592,	0.641574,	0.855432,	0.0213858,	0.427716,	0.278015,	1.13345,	0.66296,	0.684346,	0.106929,	0.577417,	0,	0.556031,	0.556031,	0.449102,	0.491873,	1.53978,	0,	0.577417,	3.29341,	1.13345,	0.940975,	0.320787,	3.6142,	1.00513,	1.41146,	1.36869,	0.0641574,	0.149701,	1.06929,	1.28315,	1.21899,	0.235244,	0.556031,	0.192472,	0.0641574,	0.106929,	0.513259,	0.684346,	0.192472,	0.0641574,	0.0213858,	0.25663,	1.0479,	0.983747,	
CD20+,	0.129333,	28.7636,	2.69012,	0.853595,	2.53492,	0.206932,	0.491464,	0.284532,	0.336265,	0.0517331,	0.310398,	2.17279,	1.37093,	0.155199,	0.387998,	1.78479,	0.258665,	0.491464,	1.26746,	0.439731,	0.982928,	0.750129,	0.284532,	1.81066,	0.413864,	0.439731,	0.517331,	0.750129,	0.387998,	0.0775996,	0.181066,	0.336265,	0.258665,	1.44853,	0.957062,	0.103466,	0.439731,	3.87998,	0.491464,	0.957062,	0.698396,	0.724263,	0.232799,	0.232799,	0.0517331,	0.103466,	0.0517331,	0.284532,	1.42266,	0.387998,	0.103466,	0.0775996,	0.129333,	1.88826,	0.957062,	0.853595,	0.310398,	0.129333,	0.155199,	0.362131,	0.439731,	0.620797,	0.258665,	0.491464,	0.155199,	0.310398,	0,	0.775996,	0.750129,	0.439731,	0.413864,	2.81945,	0.0517331,	0.284532,	5.66477,	0.387998,	2.45732,	0.103466,	3.59545,	0.336265,	0.698396,	0.569064,	0.0258665,	0.232799,	0.620797,	1.99172,	1.16399,	0.129333,	0.310398,	0.0517331,	0,	0.0517331,	0.801862,	0.698396,	0.103466,	0.0258665,	0.0258665,	0.0517331,	0.724263,	1.75892,	
GM06990,	0.207039,	32.6432,	1.41477,	1.10421,	2.657,	0.862664,	0.483092,	0.862664,	0,	0.0345066,	0.0345066,	1.89786,	5.245,	0.379572,	0.690131,	1.10421,	0.310559,	0.0345066,	0.345066,	0,	0.483092,	0.310559,	0.138026,	1.24224,	0.10352,	0.0345066,	0.138026,	0.172533,	0.310559,	1.0697,	0.172533,	1.41477,	0.517598,	2.82954,	0.483092,	1.00069,	0.345066,	2.6225,	0.310559,	1.72533,	0.138026,	0.345066,	0.0345066,	0.10352,	0.0345066,	0.0690131,	0.0690131,	0.10352,	2.20842,	0.345066,	0,	0.0345066,	0.724638,	1.86335,	0.414079,	1.0352,	0,	0.552105,	0,	1.0697,	0.172533,	0.379572,	0.138026,	0.552105,	0.172533,	0.172533,	0,	1.44928,	4.7619,	0.0690131,	0.207039,	2.00138,	0.0690131,	0.379572,	2.58799,	0.207039,	2.76052,	0,	2.27743,	0.0345066,	0.10352,	0.276052,	0,	0.89717,	0.621118,	0.586611,	1.13872,	0,	0.448585,	0.241546,	0.0690131,	0,	0.276052,	0.10352,	0,	0.276052,	0.138026,	0.0690131,	0.138026,	1.34576,	
GM12865,	0.196367,	29.2587,	2.4055,	0.760923,	2.60187,	0.0981836,	0.54001,	0.245459,	0.466372,	0,	0.54001,	1.89003,	1.86549,	0.0490918,	0.319097,	1.4973,	0.319097,	0.466372,	0.859107,	0.589102,	1.15366,	0.392734,	0.368189,	1.27639,	0.245459,	0.441826,	0.589102,	1.08002,	0.466372,	0.0981836,	0.196367,	0.368189,	0.245459,	1.8164,	0.883652,	0.270005,	0.834561,	3.82916,	0.810015,	1.00638,	0.490918,	0.662739,	0.0736377,	0.147275,	0,	0.0245459,	0.0981836,	0.0981836,	1.32548,	0.711831,	0.294551,	0.196367,	0.171821,	1.57094,	1.30093,	1.00638,	0.319097,	0.294551,	0.0736377,	0.441826,	0.441826,	0.564556,	0.12273,	0.490918,	0.196367,	0.589102,	0,	1.03093,	0.859107,	0.220913,	0.368189,	2.62641,	0.0245459,	0.441826,	5.05646,	0.392734,	2.57732,	0.12273,	3.9028,	0.220913,	0.981836,	0.662739,	0.0245459,	0.0981836,	0.41728,	1.37457,	1.10457,	0.0981836,	0.441826,	0.171821,	0,	0.0736377,	0.490918,	0.638193,	0.245459,	0.0490918,	0,	0.0981836,	0.687285,	1.44821,	
H7-hESC,	0.158658,	19.175,	4.19311,	1.79057,	2.31188,	0.135993,	0.679964,	0.430644,	0.407978,	0.0679964,	1.06528,	1.3146,	0.74796,	0.181324,	0.521306,	0.74796,	0.294651,	1.49592,	1.9039,	0.793291,	2.33454,	0.679964,	0.294651,	1.40526,	0.407978,	0.475975,	0.815956,	1.3146,	0.657298,	0.0679964,	0.271986,	0.181324,	0.362647,	0.974615,	1.33726,	0.0906618,	0.453309,	3.71714,	1.54125,	0.99728,	1.2466,	0.702629,	0.158658,	0.725295,	0.0453309,	0.0226655,	0.113327,	0.135993,	0.838622,	0.74796,	0.317316,	0.24932,	0.203989,	1.72257,	1.63191,	0.929284,	0.543971,	0.634633,	0.135993,	0.407978,	0.385313,	1.1786,	0.611967,	0.49864,	0.135993,	0.543971,	0,	0.861287,	0.634633,	0.407978,	0.430644,	1.74524,	0.0226655,	0.725295,	4.03445,	1.11061,	1.26927,	0.226655,	4.14778,	0.770626,	1.33726,	1.60925,	0.0226655,	0.113327,	0.679964,	1.49592,	1.11061,	0.271986,	0.657298,	0.113327,	0.0226655,	0.181324,	0.702629,	0.589302,	0.317316,	0.0453309,	0.0453309,	0.294651,	0.951949,	1.38259,	
HA-h,	0.248963,	16.5353,	3.09129,	2.40664,	1.84647,	0.207469,	0.60166,	0.435685,	0.705394,	0.145228,	1.12033,	1.24481,	0.850622,	0.0829876,	0.975104,	0.518672,	0.414938,	2.80083,	2.6971,	0.705394,	1.57676,	1.16183,	0.560166,	0.414938,	0.93361,	0.829876,	1.0166,	1.16183,	0.26971,	0.145228,	0.705394,	0.394191,	0.684647,	0.705394,	1.03734,	0.165975,	0.60166,	2.05394,	1.3278,	0.580913,	1.88797,	1.16183,	0.248963,	0.705394,	0.207469,	0.311203,	0.145228,	0.622407,	0.726141,	0.767635,	0.290456,	0.165975,	0.497925,	2.40664,	3.361,	1.55602,	0.850622,	0.643154,	0.33195,	0.456432,	0.560166,	0.809129,	0.580913,	0.93361,	0.456432,	0.954357,	0,	0.767635,	0.311203,	0.497925,	0.228216,	1.39004,	0.0622407,	0.394191,	3.54772,	1.18257,	1.09959,	0.248963,	2.46888,	0.93361,	0.912863,	1.16183,	0.0829876,	0.26971,	0.975104,	1.36929,	1.20332,	0.26971,	0.456432,	0.145228,	0,	0.186722,	0.892116,	0.954357,	0.248963,	0.0414938,	0.0622407,	0.33195,	0.93361,	0.767635,	
HAEpiC,	0.135808,	20.6202,	3.75736,	1.85604,	2.12766,	0.203712,	0.67904,	0.497963,	0.407424,	0.113173,	1.35808,	0.860118,	0.588502,	0.135808,	0.497963,	0.656406,	0.407424,	1.83341,	2.2861,	0.792214,	2.33137,	0.67904,	0.271616,	1.08646,	0.430059,	0.882752,	1.47125,	1.35808,	0.497963,	0.0452694,	0.226347,	0.248981,	0.33952,	0.701675,	1.177,	0.067904,	0.384789,	4.66274,	1.67497,	0.882752,	1.49389,	0.407424,	0.158443,	0.701675,	0.181077,	0.0452694,	0.181077,	0.158443,	0.72431,	0.497963,	0.203712,	0.181077,	0.135808,	1.42598,	2.01449,	1.13173,	0.497963,	0.67904,	0.067904,	0.588502,	0.203712,	0.973291,	0.362155,	0.633771,	0.294251,	0.588502,	0,	0.520598,	0.294251,	0.294251,	0.452693,	1.44862,	0,	0.588502,	3.55364,	1.35808,	0.950656,	0.271616,	4.34586,	0.905387,	1.22227,	1.7655,	0.135808,	0.0452694,	0.520598,	1.24491,	1.33545,	0.271616,	0.656406,	0.135808,	0.0226347,	0.158443,	0.407424,	0.452693,	0.271616,	0.0226347,	0.0226347,	0.294251,	0.746944,	1.51652,	
HCF,	0.0656312,	21.3739,	3.19405,	1.53139,	1.6189,	0.196893,	0.853205,	0.240648,	0.393787,	0.0437541,	1.18136,	1.0501,	0.940713,	0.218771,	0.634435,	0.918836,	0.656312,	1.88143,	2.16583,	0.546926,	1.9033,	0.700066,	0.350033,	0.678189,	0.437541,	1.0501,	1.00634,	1.02822,	0.612557,	0.0875082,	0.328156,	0.196893,	0.350033,	0.940713,	1.02822,	0.175016,	0.809451,	2.69088,	1.94706,	0.656312,	2.16583,	0.853205,	0.131262,	0.896959,	0.131262,	0.0875082,	0.109385,	0.218771,	0.634435,	0.415664,	0.284402,	0.328156,	0.393787,	1.72829,	3.34719,	1.46576,	0.393787,	0.503172,	0.240648,	0.37191,	0.437541,	1.09385,	0.568803,	0.74382,	0.175016,	0.546926,	0,	0.74382,	0.306279,	0.525049,	0.262525,	1.50952,	0.0218771,	0.415664,	4.15664,	0.809451,	1.11573,	0.175016,	2.88777,	0.896959,	1.18136,	1.55327,	0.0437541,	0.131262,	0.765697,	1.35638,	1.09385,	0.131262,	0.568803,	0.240648,	0.0656312,	0.131262,	0.546926,	0.678189,	0.306279,	0.0218771,	0.0656312,	0.218771,	0.896959,	1.22511,	
HCM,	0.022237,	20.3691,	3.38003,	1.75673,	1.51212,	0.0667111,	0.75606,	0.6004,	0.489215,	0.0889482,	1.11185,	1.06738,	0.555926,	0.155659,	0.75606,	0.689348,	0.422504,	1.53436,	2.31265,	0.644874,	1.89015,	0.911719,	0.355793,	0.555926,	0.667111,	0.845008,	1.13409,	1.06738,	0.644874,	0.0889482,	0.355793,	0.289082,	0.311319,	1.15633,	1.08962,	0.0667111,	0.489215,	3.02424,	1.53436,	0.6004,	2.00133,	0.778297,	0.177896,	0.800534,	0.0889482,	0.0667111,	0.177896,	0.155659,	0.75606,	0.533689,	0.289082,	0.355793,	0.155659,	1.82344,	2.91305,	1.15633,	0.6004,	0.622637,	0.155659,	0.555926,	0.200133,	1.04514,	0.489215,	0.689348,	0.155659,	0.667111,	0,	0.466978,	0.355793,	0.37803,	0.266845,	1.66778,	0.022237,	0.400267,	4.26951,	1.22304,	1.44541,	0.266845,	3.42451,	0.845008,	1.24527,	1.66778,	0,	0.133422,	1.0229,	1.51212,	1.44541,	0.133422,	0.444741,	0.155659,	0.0444741,	0.155659,	0.533689,	0.733823,	0.266845,	0.0444741,	0.0444741,	0.511452,	1.2008,	0.889482,	
