cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.181415,	22.8785,	1.57226,	1.35053,	1.65289,	0.463616,	1.10865,	1.83431,	0.241887,	0.0604717,	0.624874,	1.39085,	2.33824,	1.06833,	0.544245,	0.866761,	0.423302,	0.100786,	0.846604,	0.241887,	1.47148,	0.463616,	0.120943,	1.99557,	0.0806289,	0.36283,	1.10865,	0.665188,	0.403145,	0.322516,	0.141101,	1.57226,	0.302358,	2.53981,	1.41101,	0.302358,	0.645031,	5.09978,	0.181415,	0.423302,	0.503931,	0.665188,	0.423302,	0.262044,	0.0604717,	0.181415,	0.403145,	0.201572,	1.89478,	0.907075,	0.685346,	0.100786,	0.826446,	0.907075,	0.685346,	1.02802,	0.262044,	0.463616,	0.0604717,	0.58456,	0.58456,	0.58456,	0.221729,	0.342673,	0.0604717,	0.544245,	0.100786,	0.624874,	2.90264,	0.0604717,	0.100786,	1.91494,	0.120943,	0.685346,	2.90264,	0.665188,	0.745817,	0.0403145,	4.59585,	0.181415,	2.11651,	0.544245,	0.0806289,	0.524088,	0.886918,	0.907075,	2.03588,	0.100786,	1.1288,	0.221729,	0.483773,	0.0806289,	0.524088,	0.120943,	0.241887,	0.0403145,	0.100786,	0.0604717,	0.161258,	1.14896,	
AoAF,	0.310106,	17.8767,	1.53229,	1.22218,	1.64174,	0.620212,	1.31339,	2.93688,	0.182415,	0.0547246,	0.83911,	1.00328,	2.24371,	1.67822,	0.437796,	0.60197,	0.273623,	0.0547246,	1.03977,	0.36483,	2.20722,	0.383072,	0.182415,	1.42284,	0.0729661,	0.474279,	1.05801,	0.456038,	0.747902,	0.456038,	0.109449,	1.64174,	0.291864,	1.97008,	1.6235,	0.729661,	0.510763,	6.80409,	0.328347,	0.620212,	0.620212,	0.310106,	0.437796,	0.419555,	0.127691,	0.218898,	0.218898,	0.164174,	1.51405,	0.583729,	1.07625,	0.127691,	0.747902,	1.16746,	0.583729,	0.766144,	0.401313,	0.492521,	0.109449,	0.9668,	0.729661,	0.565487,	0.164174,	0.36483,	0.145932,	0.23714,	0.127691,	0.60197,	3.50237,	0.0729661,	0.109449,	1.34987,	0.0729661,	0.729661,	3.61182,	0.674936,	1.24042,	0.036483,	5.12587,	0.127691,	1.9336,	0.784385,	0,	0.328347,	0.9668,	0.802627,	1.45932,	0.182415,	1.09449,	0.401313,	0.474279,	0.036483,	0.747902,	0.0912076,	0.145932,	0.0547246,	0.200657,	0.036483,	0.346589,	0.948559,	
CD20+,	0.227376,	27.4898,	1.31878,	0.841292,	2.41019,	0.500227,	0.295589,	0.795816,	0.272851,	0.0682128,	0.295589,	1.22783,	2.79673,	1.20509,	0.227376,	1.04593,	0.159163,	0.0682128,	1.02319,	0.250114,	0.545703,	0.522965,	0.181901,	2.70578,	0.0909504,	0.227376,	0.545703,	0.47749,	0.545703,	0.454752,	0.272851,	1.04593,	0.181901,	4.52478,	1.15962,	0.613915,	0.318327,	4.88859,	0.136426,	1.13688,	0.272851,	0.522965,	0.0682128,	0.159163,	0.0454752,	0.181901,	0.204638,	0.0454752,	2.56935,	0.682128,	0.272851,	0.0909504,	0.386539,	1.15962,	0.363802,	0.704866,	0.113688,	0.250114,	0.0227376,	0.591178,	0.818554,	0.432015,	0.136426,	0.454752,	0.136426,	0.500227,	0.0909504,	0.773079,	3.88813,	0.0682128,	0.204638,	2.31924,	0.0682128,	0.636653,	3.27422,	0.409277,	1.61437,	0.0454752,	3.86539,	0.0909504,	0.795816,	0.318327,	0.0227376,	0.159163,	0.47749,	0.613915,	1.47794,	0.0909504,	0.818554,	0.0682128,	0.432015,	0.0227376,	0.841292,	0.136426,	0.113688,	0.113688,	0.113688,	0.0454752,	0.250114,	1.45521,	
GM06990,	0.360469,	31.3608,	1.3818,	0.480625,	3.03394,	0.210273,	0.871132,	0.510664,	0.420547,	0.0600781,	0.33043,	1.68219,	3.33433,	0.0901172,	0.420547,	2.01262,	0.120156,	0.150195,	0.450586,	0.0901172,	0.420547,	0.33043,	0.270351,	1.50195,	0.120156,	0.210273,	0.210273,	0.420547,	0.510664,	0.390508,	0.0901172,	0.63082,	0.510664,	2.28297,	0.300391,	0.0901172,	0.901172,	2.52328,	0.0600781,	1.53199,	0.420547,	1.29168,	0.0901172,	0.120156,	0,	0.0600781,	0.030039,	0.0901172,	1.65215,	0.390508,	0.0901172,	0.0600781,	0.270351,	1.05137,	0.781015,	0.991289,	0.180234,	0.510664,	0.030039,	0.420547,	1.14148,	0.360469,	0.180234,	0.33043,	0.120156,	0.390508,	0,	0.540703,	2.73355,	0.120156,	0.450586,	2.25293,	0,	0.300391,	5.58726,	0.180234,	3.51457,	0,	4.62601,	0.0901172,	0.33043,	0.540703,	0,	0.180234,	0.540703,	1.26164,	0.931211,	0.0600781,	0.480625,	0.120156,	0.0901172,	0.0600781,	0.33043,	0.33043,	0,	0.030039,	0.0901172,	0.0901172,	0.600781,	1.80234,	
GM12865,	0.126476,	24.5363,	1.24368,	0.906408,	2.02361,	0.779933,	0.758853,	1.13828,	0.126476,	0.0210793,	0.526981,	1.53879,	2.8457,	0.990725,	0.316189,	1.24368,	0.316189,	0,	0.653457,	0.421585,	1.1172,	0.189713,	0.105396,	2.15008,	0.0421585,	0.27403,	0.822091,	0.463744,	0.400506,	0.379427,	0.168634,	1.03288,	0.210793,	3.28836,	1.43339,	0.29511,	0.653457,	5.75464,	0.084317,	1.1172,	0.27403,	0.548061,	0.126476,	0.105396,	0.0421585,	0.147555,	0.27403,	0.084317,	2.2344,	0.590219,	0.632378,	0.0210793,	0.548061,	1.18044,	0.526981,	0.695615,	0.231872,	0.316189,	0.0421585,	0.442664,	0.801012,	0.421585,	0.210793,	0.421585,	0.0421585,	0.421585,	0.0632378,	0.801012,	4.48988,	0.0632378,	0.147555,	2.59275,	0.105396,	0.400506,	3.60455,	0.189713,	1.60202,	0,	4.72175,	0.126476,	1.07504,	0.779933,	0.084317,	0.210793,	0.779933,	0.86425,	1.45447,	0.105396,	0.948567,	0.147555,	0.168634,	0.0210793,	0.442664,	0.168634,	0.147555,	0.0210793,	0.105396,	0.0210793,	0.27403,	1.39123,	
H7-hESC,	0.197122,	20.4416,	1.7741,	1.30101,	1.9318,	0.670215,	0.926473,	2.28662,	0.256259,	0.0197122,	0.413956,	1.24187,	2.18805,	1.24187,	0.63079,	0.788488,	0.374532,	0.0591366,	0.63079,	0.453381,	2.03036,	0.256259,	0.17741,	2.14863,	0.0394244,	0.35482,	1.16302,	0.551942,	0.256259,	0.492805,	0.137985,	1.37985,	0.295683,	2.54287,	0.887049,	0.492805,	0.512517,	5.9728,	0.157698,	0.551942,	0.453381,	0.453381,	0.275971,	0.394244,	0.0197122,	0.118273,	0.275971,	0.275971,	1.91208,	0.965898,	0.591366,	0.118273,	1.08417,	0.867337,	0.729352,	0.867337,	0.236546,	0.946186,	0.0591366,	0.689927,	0.729352,	0.453381,	0.137985,	0.275971,	0.0197122,	0.473093,	0.137985,	0.768776,	3.66647,	0.0591366,	0.17741,	1.75439,	0.0197122,	0.709639,	3.05539,	0.512517,	1.36014,	0.0394244,	4.79007,	0.0394244,	1.69525,	0.532229,	0.0394244,	0.197122,	1.04475,	0.847625,	1.71496,	0.157698,	1.08417,	0.275971,	0.433668,	0.0788488,	0.926473,	0.118273,	0.256259,	0.0394244,	0.197122,	0.0788488,	0.236546,	1.30101,	
HA-h,	0.24911,	14.8754,	1.76157,	1.70819,	1.26335,	1.06762,	1.01423,	2.24199,	0.409253,	0.0711744,	0.907473,	1.49466,	2.01068,	1.69039,	0.551601,	0.747331,	0.320285,	0.19573,	1.28114,	0.427046,	1.85053,	0.551601,	0.266904,	1.58363,	0.088968,	0.302491,	1.13879,	0.604982,	0.765125,	0.462633,	0.355872,	1.6548,	0.462633,	2.2242,	1.76157,	1.1032,	0.711744,	4.91103,	0.231317,	0.587189,	0.551601,	0.604982,	0.355872,	0.462633,	0.24911,	0.587189,	0.391459,	0.142349,	1.6548,	1.06762,	1.06762,	0.24911,	1.22776,	0.996441,	0.765125,	0.996441,	0.302491,	0.409253,	0.142349,	0.533808,	0.871886,	0.782918,	0.231317,	0.462633,	0.19573,	0.640569,	0.302491,	0.427046,	2.38434,	0.124555,	0.160142,	1.54804,	0.373665,	0.658363,	2.68683,	1.03203,	1.31673,	0.0533808,	3.68327,	0.142349,	2.06406,	0.818505,	0.0711744,	0.569395,	1.31673,	0.925267,	1.58363,	0.142349,	1.04982,	0.391459,	1.15658,	0.124555,	1.15658,	0.19573,	0.391459,	0.0355872,	0.160142,	0.0533808,	0.24911,	0.800712,	
HAEpiC,	0.256815,	18.6092,	1.5804,	1.22481,	1.63967,	0.967997,	1.24457,	2.90399,	0.15804,	0.0395101,	0.651916,	1.1853,	2.68669,	1.38285,	0.553141,	0.671671,	0.217305,	0.0395101,	0.987752,	0.316081,	1.95575,	0.375346,	0.15804,	1.67918,	0.0790202,	0.434611,	1.1853,	0.651916,	0.632161,	0.829712,	0.276571,	1.63967,	0.138285,	1.54089,	0.928487,	0.434611,	0.414856,	7.03279,	0.11853,	0.474121,	0.493876,	0.316081,	0.276571,	0.19755,	0.0987752,	0.138285,	0.256815,	0.0987752,	1.81746,	0.572896,	0.632161,	0.11853,	0.790201,	0.967997,	0.809957,	0.987752,	0.335836,	0.790201,	0.0987752,	0.829712,	0.474121,	0.513631,	0.23706,	0.454366,	0.11853,	0.375346,	0.0592651,	0.533386,	4.06954,	0.138285,	0.15804,	1.61991,	0.0395101,	0.474121,	3.39787,	0.592651,	0.967997,	0.0987752,	5.27459,	0.15804,	2.23232,	0.928487,	0.0592651,	0.434611,	0.671671,	0.730936,	1.38285,	0.217305,	1.02726,	0.355591,	0.316081,	0.0790202,	0.750691,	0.138285,	0.19755,	0.0592651,	0.375346,	0.0592651,	0.138285,	1.16555,	
HCF,	0.218731,	20.8789,	1.8095,	1.23285,	1.82939,	0.517001,	0.656194,	1.72997,	0.278385,	0.0397693,	0.616425,	1.2925,	2.08789,	1.2925,	0.676079,	0.775502,	0.497117,	0.059654,	1.2925,	0.318155,	1.51123,	0.676079,	0.059654,	2.04812,	0,	0.457347,	0.974349,	0.556771,	0.715848,	0.437463,	0.178962,	1.39193,	0.178962,	2.7242,	1.31239,	0.497117,	0.676079,	5.64725,	0.278385,	0.616425,	0.497117,	0.59654,	0.437463,	0.238616,	0.119308,	0.198847,	0.377809,	0.119308,	1.90893,	0.835156,	0.715848,	0.0994233,	0.715848,	1.05389,	0.656194,	0.974349,	0.29827,	0.656194,	0.0397693,	0.815271,	0.656194,	0.59654,	0.198847,	0.636309,	0.0994233,	0.556771,	0.159077,	0.517001,	3.00259,	0.0795387,	0.0994233,	1.9487,	0.198847,	0.755617,	3.16166,	0.477232,	1.15331,	0.0397693,	4.33486,	0.198847,	1.63054,	0.775502,	0,	0.258501,	0.855041,	0.715848,	1.74985,	0.178962,	0.934579,	0.159077,	0.497117,	0.059654,	0.517001,	0.278385,	0.198847,	0.0397693,	0.198847,	0.0795387,	0.258501,	1.35216,	
HCM,	0.221729,	20.8829,	1.43116,	1.22959,	1.83431,	0.685346,	1.14896,	1.99557,	0.181415,	0,	0.36283,	1.35053,	2.80185,	1.37069,	0.524088,	0.826446,	0.524088,	0.141101,	1.14896,	0.322516,	1.49163,	0.322516,	0.100786,	1.59242,	0.100786,	0.221729,	1.1288,	0.524088,	0.645031,	0.322516,	0.241887,	1.49163,	0.201572,	2.13667,	1.31022,	0.604717,	0.806289,	5.72465,	0.161258,	0.58456,	0.302358,	0.382987,	0.221729,	0.36283,	0.141101,	0.161258,	0.241887,	0.181415,	1.95525,	0.685346,	0.846604,	0.141101,	0.665188,	0.967547,	0.765975,	1.02802,	0.322516,	0.665188,	0.0403145,	0.846604,	0.685346,	0.604717,	0.201572,	0.463616,	0.161258,	0.403145,	0.0201572,	0.564402,	3.87019,	0.0806289,	0.141101,	1.97541,	0.161258,	0.564402,	3.26547,	0.604717,	1.02802,	0.0604717,	4.27333,	0.161258,	1.87462,	0.705503,	0.0403145,	0.36283,	1.00786,	0.665188,	1.57226,	0.181415,	0.987704,	0.302358,	0.564402,	0.0403145,	0.604717,	0.262044,	0.221729,	0.0403145,	0.141101,	0.0403145,	0.241887,	1.22959,	
