cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0655738,	16.1967,	0.655738,	1.04918,	1.31148,	1.90164,	0.459016,	0.983607,	0.262295,	2.09836,	0,	0.983607,	2.7541,	0.52459,	0.262295,	0.983607,	0.262295,	0.131148,	0.131148,	0.196721,	0.52459,	0.262295,	3.93443,	0.327869,	0.131148,	0.327869,	0,	0.196721,	0.0655738,	0.0655738,	0.327869,	6.29508,	0.786885,	1.04918,	0.327869,	1.83607,	2.68852,	0.786885,	1.2459,	1.37705,	0.131148,	0.655738,	0.327869,	0.0655738,	0.131148,	0.327869,	0.262295,	0,	0.852459,	0.131148,	0.327869,	0.131148,	0.131148,	1.04918,	1.83607,	1.11475,	0.0655738,	0.52459,	0.0655738,	1.63934,	0.590164,	0.459016,	2.42623,	0,	0.393443,	0.786885,	0.131148,	1.5082,	7.54098,	0.459016,	0.393443,	1.37705,	0.590164,	0,	1.04918,	0.590164,	9.11475,	0.0655738,	0.52459,	0.0655738,	0,	0,	0,	0.655738,	0.327869,	1.11475,	1.37705,	0.0655738,	0.327869,	0.131148,	0.131148,	0.131148,	0.0655738,	1.44262,	0,	0.131148,	1.11475,	0,	0.590164,	0.786885,	
AoAF,	0.0625391,	13.3208,	0.625391,	1.75109,	1.31332,	1.50094,	0.0625391,	1.1257,	0.68793,	2.50156,	0.0625391,	0.68793,	2.8768,	0.250156,	0.312695,	0.938086,	0.375235,	0.0625391,	0.0625391,	0.0625391,	1.31332,	0.0625391,	2.93934,	0.312695,	0.312695,	0.500313,	0.0625391,	0,	0.0625391,	0.187617,	0.187617,	6.00375,	0.68793,	0.875547,	0.125078,	1.68856,	1.62602,	0.750469,	1.62602,	1.25078,	0.375235,	1.62602,	0.125078,	0.125078,	0,	0.312695,	0.187617,	0,	0.68793,	0.187617,	0.187617,	0.0625391,	0.125078,	2.00125,	2.93934,	1.25078,	0,	0.750469,	0.0625391,	1.68856,	0.500313,	0.0625391,	3.18949,	0.187617,	0.125078,	1.18824,	0.125078,	0.813008,	8.44278,	0.125078,	0.375235,	0.68793,	0.375235,	0.250156,	1.00063,	0.625391,	8.19262,	0.187617,	0.625391,	0.125078,	0.250156,	0.0625391,	0.312695,	0.625391,	0.500313,	0.875547,	1.4384,	0,	0.125078,	0.250156,	0.250156,	0.0625391,	0.250156,	2.37649,	0,	0,	1.50094,	0,	0.813008,	1.18824,	
CD20+,	0.1443,	21.5007,	1.51515,	0.721501,	1.5873,	0.865801,	0.21645,	0.793651,	0.21645,	1.37085,	0,	1.37085,	3.3189,	0.577201,	0.0721501,	1.22655,	0.4329,	0.1443,	0.21645,	0.0721501,	0.50505,	0,	1.8759,	0.793651,	0.50505,	0.21645,	0,	0.0721501,	0.0721501,	0.21645,	0.4329,	4.329,	0.36075,	1.65945,	0.36075,	1.37085,	2.4531,	1.8759,	1.37085,	1.443,	0.1443,	0.649351,	0.1443,	0.0721501,	0.0721501,	0.21645,	0.1443,	0.0721501,	2.1645,	0.2886,	0.36075,	0,	0,	1.22655,	1.08225,	1.1544,	0.0721501,	0.50505,	0.0721501,	1.37085,	0.21645,	0.4329,	2.1645,	0.865801,	0.1443,	0.865801,	0,	0.793651,	6.06061,	0.21645,	0.2886,	2.3088,	0.36075,	0,	1.65945,	0.2886,	7.72006,	0.1443,	1.0101,	0,	0.21645,	0.0721501,	0,	0.4329,	0.0721501,	1.443,	1.80375,	0,	0.4329,	0.21645,	0.1443,	0.21645,	0.0721501,	0.937951,	0.0721501,	0,	0.36075,	0,	0.721501,	1.1544,	
GM06990,	0.374181,	25.725,	2.43218,	1.87091,	2.15154,	0.187091,	0.467727,	1.12254,	0.0935454,	0.0935454,	0.374181,	1.029,	1.96445,	0.467727,	0.374181,	1.87091,	0.280636,	0,	0.374181,	0.561272,	0.280636,	0.748363,	0.561272,	2.89991,	0.935454,	0.0935454,	0.374181,	0.280636,	0.467727,	0.654818,	0,	1.12254,	0.187091,	2.71282,	0.935454,	0.187091,	0.374181,	1.77736,	0,	1.30964,	0.561272,	0.654818,	0.0935454,	0.841908,	0,	0,	0.374181,	0.187091,	2.43218,	1.029,	0,	0.0935454,	0.748363,	1.21609,	1.21609,	0.561272,	0.467727,	0.187091,	0.280636,	0.187091,	0.841908,	0.561272,	0.187091,	0.561272,	0,	0.654818,	0.280636,	0.467727,	1.12254,	0.374181,	0.561272,	1.12254,	0.0935454,	0.467727,	5.42563,	0.187091,	2.43218,	0,	3.27409,	0.187091,	0.935454,	0.748363,	0,	0.561272,	1.68382,	1.029,	1.68382,	0,	0.467727,	0.0935454,	0,	0,	1.21609,	0.841908,	0.748363,	0.0935454,	0.0935454,	0.0935454,	0.280636,	1.77736,	
GM12865,	0.0693962,	21.3046,	1.11034,	0.624566,	2.01249,	1.17974,	0.0693962,	1.11034,	0.55517,	1.73491,	0,	1.17974,	3.12283,	0.763359,	0.208189,	1.11034,	0.138792,	0,	0.346981,	0.138792,	0.416378,	0.138792,	2.15128,	0.624566,	0.416378,	0.485774,	0.208189,	0.208189,	0,	0.0693962,	0,	4.09438,	0.55517,	1.8043,	0.138792,	1.8737,	1.8737,	0.971547,	0.971547,	1.59611,	0,	1.04094,	0.277585,	0,	0.0693962,	0.0693962,	0.138792,	0.138792,	1.31853,	0.138792,	0.0693962,	0,	0.0693962,	1.38793,	0.832755,	0.416378,	0,	0.416378,	0,	0.971547,	0.277585,	0.277585,	2.42887,	0.208189,	0.0693962,	1.04094,	0.0693962,	1.45732,	8.53574,	0.0693962,	0.485774,	2.01249,	0.138792,	0.138792,	1.38793,	0.485774,	8.74393,	0,	0.902151,	0,	0,	0.0693962,	0.208189,	0.624566,	0.138792,	0.971547,	1.52672,	0,	0.138792,	0.208189,	0.0693962,	0.0693962,	0.138792,	1.73491,	0.0693962,	0,	0.624566,	0.0693962,	0.416378,	1.45732,	
H7-hESC,	0.264375,	14.805,	1.0575,	0.85922,	1.52016,	1.0575,	0.0660939,	1.0575,	0.330469,	1.78453,	0.0660939,	1.0575,	4.16391,	0.330469,	0.330469,	1.58625,	0.264375,	0.264375,	0.396563,	0.0660939,	0.330469,	0.132188,	3.04032,	0.991408,	0.0660939,	0.528751,	0.132188,	0.132188,	0,	0.198282,	0.330469,	5.94845,	0.528751,	1.38797,	0.0660939,	1.52016,	2.24719,	1.32188,	1.25578,	1.98282,	0.132188,	1.38797,	0.462657,	0,	0,	0,	0.330469,	0,	1.25578,	0.198282,	0.198282,	0,	0.198282,	1.65235,	2.115,	0.925314,	0,	0.330469,	0.0660939,	0.85922,	0.594845,	0.198282,	2.57766,	0.396563,	0.198282,	0.594845,	0.0660939,	0.793126,	8.19564,	0.330469,	0.594845,	1.38797,	0.462657,	0.330469,	1.32188,	0.396563,	8.06345,	0.198282,	0.462657,	0,	0.132188,	0.132188,	0,	0.594845,	0.0660939,	0.793126,	1.91672,	0,	0.264375,	0.132188,	0.0660939,	0.132188,	0.0660939,	1.71844,	0,	0,	1.65235,	0,	0.793126,	0.793126,	
HA-h,	0.184615,	12.1231,	1.53846,	1.6,	1.53846,	2.21538,	0.0615385,	0.8,	0.246154,	1.90769,	0,	0.553846,	2.46154,	0.923077,	0.676923,	0.615385,	0.184615,	0.246154,	0.369231,	0.184615,	1.16923,	0.184615,	2.83077,	0.307692,	0.369231,	0.492308,	0.246154,	0.246154,	0.184615,	0.123077,	0.246154,	5.23077,	0.246154,	1.16923,	0.184615,	1.6,	2.03077,	1.10769,	1.72308,	1.10769,	0.307692,	1.29231,	0.369231,	0,	0.123077,	0.492308,	0.369231,	0.0615385,	0.369231,	0.676923,	0.307692,	0.0615385,	0.123077,	1.6,	2.58462,	0.923077,	0,	0.307692,	0.246154,	1.6,	0.676923,	0.492308,	3.13846,	0.8,	0.553846,	1.10769,	0.184615,	1.16923,	4.8,	0.492308,	0.676923,	1.23077,	0.492308,	0.0615385,	1.23077,	0.984615,	6.4,	0.184615,	1.04615,	0.184615,	0.307692,	0,	0.246154,	1.35385,	0.492308,	1.23077,	2.21538,	0.246154,	0.307692,	0.0615385,	0.553846,	0.307692,	0.184615,	1.47692,	0,	0,	1.72308,	0,	0.861538,	1.47692,	
HAEpiC,	0.265428,	15.1294,	0.729927,	1.3935,	1.858,	1.32714,	0.199071,	0.398142,	0.066357,	2.72064,	0,	0.66357,	4.11413,	0.530856,	0,	1.3935,	0.398142,	0,	0.199071,	0,	0.597213,	0.265428,	3.58328,	0.66357,	0.265428,	0.265428,	0.066357,	0.199071,	0,	0.132714,	0.199071,	5.77306,	0.464499,	1.26078,	0.132714,	1.92435,	1.79164,	0.928998,	1.3935,	1.92435,	0.331785,	0.729927,	0.398142,	0.199071,	0,	0.132714,	0.398142,	0,	0.928998,	0.331785,	0.199071,	0,	0.132714,	1.858,	1.3935,	1.26078,	0,	0.995355,	0,	1.32714,	0.331785,	0.331785,	2.98607,	0.398142,	0.132714,	0.796284,	0.132714,	1.52621,	7.43198,	0.066357,	0.398142,	1.12807,	0.199071,	0.066357,	1.65893,	0.729927,	8.89184,	0.066357,	0.597213,	0.066357,	0.199071,	0.066357,	0.066357,	0.729927,	0.464499,	0.530856,	1.06171,	0,	0,	0.066357,	0.331785,	0.199071,	0.132714,	2.25614,	0,	0,	0.862641,	0,	0.398142,	0.862641,	
HCF,	0.130976,	14.9312,	0.523903,	1.44073,	1.44073,	1.50622,	0.130976,	1.04781,	0.196464,	2.61952,	0.130976,	0.982318,	4.3222,	0.91683,	0.458415,	0.982318,	0.327439,	0.130976,	0.327439,	0.130976,	0.91683,	0.0654879,	3.86379,	0.392927,	0.261952,	0.0654879,	0.130976,	0.130976,	0,	0.196464,	0,	5.23903,	0.654879,	0.982318,	0.130976,	2.09561,	1.70269,	0.851343,	1.6372,	1.50622,	0.327439,	1.04781,	0.196464,	0.0654879,	0.0654879,	0.196464,	0.458415,	0,	1.24427,	0.0654879,	0.196464,	0,	0.130976,	1.44073,	1.96464,	1.37525,	0,	0.589391,	0.196464,	0.982318,	0.654879,	0.392927,	3.14342,	0.130976,	0.0654879,	0.91683,	0.0654879,	0.720367,	8.1205,	0.261952,	0.261952,	1.30976,	0.523903,	0.0654879,	0.720367,	0.458415,	8.51342,	0.0654879,	0.392927,	0,	0.196464,	0,	0.130976,	0.392927,	0.196464,	0.851343,	1.11329,	0,	0.261952,	0.130976,	0.327439,	0,	0.0654879,	1.96464,	0,	0.0654879,	1.44073,	0,	0.589391,	1.44073,	
HCM,	0.132275,	14.0212,	0.661376,	1.19048,	1.85185,	1.32275,	0,	0.727513,	0.198413,	2.77778,	0,	0.925926,	3.57143,	0.396825,	0.198413,	1.32275,	0.26455,	0.0661376,	0.0661376,	0,	0.727513,	0,	3.04233,	0.198413,	0.396825,	0.132275,	0,	0.198413,	0.0661376,	0.0661376,	0.462963,	7.60582,	0.727513,	1.32275,	0.132275,	2.1164,	1.91799,	1.12434,	1.5873,	1.19048,	0.198413,	1.12434,	0.0661376,	0.0661376,	0,	0.132275,	0.462963,	0,	0.859788,	0.396825,	0.132275,	0,	0.132275,	1.71958,	1.78571,	1.25661,	0,	0.462963,	0.0661376,	1.12434,	0.595238,	0.529101,	2.71164,	0.330688,	0.198413,	1.45503,	0.0661376,	1.19048,	7.47354,	0.330688,	0.26455,	1.12434,	0.396825,	0.26455,	1.25661,	0.727513,	8.33333,	0.198413,	0.529101,	0.198413,	0.26455,	0,	0,	0.793651,	0.26455,	0.859788,	1.52116,	0,	0.0661376,	0.330688,	0.529101,	0.0661376,	0.26455,	1.71958,	0,	0,	1.32275,	0.0661376,	0.26455,	0.793651,	
